actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
32,PT09M05.00S,2024-11-10T22:14:13.6Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,7,9,2024-11-10T22:14:14Z,320000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Left Center,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT08M59.00S,2024-11-10T22:14:21.3Z,1,REGULAR,foul,personal,['2freethrow'],1630169,,,1610612752,7,9,2024-11-10T22:14:26Z,330000,False,,,0,,T. Haliburton shooting personal FOUL (1 PF) (Hart 2 FT),"[1630169, 1628404]",1610612754.0,IND,shooting,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1155.0,,,1.0,0.0,Hart,1628404.0,,,
36,PT08M59.00S,2024-11-10T22:14:52.8Z,1,REGULAR,freethrow,1 of 2,[],1628404,,,1610612752,7,10,2024-11-10T22:15:12Z,350000,False,,,0,,J. Hart Free Throw 1 of 2 (3 PTS),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
37,PT08M59.00S,2024-11-10T22:14:52.8Z,1,REGULAR,freethrow,2 of 2,[],1628404,,,1610612752,7,10,2024-11-10T22:15:12Z,360000,False,,,0,,MISS J. Hart Free Throw 2 of 2,[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
38,PT08M58.00S,2024-11-10T22:14:53.8Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,7,10,2024-11-10T22:15:12Z,370000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:1),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,
39,PT08M41.00S,2024-11-10T22:15:28.5Z,1,REGULAR,2pt,Jump Shot,[],1631097,78.0059132720105,47.794117647058826,1610612754,9,10,2024-11-10T22:15:32Z,380000,False,-11.0,154.0,1,right,B. Mathurin 15' pullup Jump Shot (2 PTS) (M. Turner 1 AST),"[1631097, 1626167]",1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Mid-Range,8-16 Center,15.46,Made,,,,,2.0,M. Turner,1626167.0,1.0,,,,,,,,,,
41,PT08M29.00S,2024-11-10T22:15:40.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,9.411957950065702,62.00980392156863,1610612752,9,12,2024-11-10T22:15:45Z,400000,False,-60.0,36.0,1,left,J. Brunson 7' driving Layup (2 PTS),[1628973],1610612752.0,NYK,driving,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,7.0,Made,,,,,2.0,,,,,,,,,,,,,
42,PT08M29.00S,2024-11-10T22:15:43.9Z,1,REGULAR,foul,personal,['1freethrow'],1641767,,,1610612752,9,12,2024-11-10T22:15:48Z,410000,False,,,0,,B. Sheppard shooting personal FOUL (1 PF) (Brunson 1 FT),"[1641767, 1628973]",1610612754.0,IND,shooting,,,Sheppard,B. Sheppard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627524.0,,,1.0,0.0,Brunson,1628973.0,,,
44,PT08M29.00S,2024-11-10T22:16:10.8Z,1,REGULAR,freethrow,1 of 1,[],1628973,,,1610612752,9,13,2024-11-10T22:16:10Z,430000,False,,,0,,J. Brunson Free Throw 1 of 1 (3 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
45,PT08M18.00S,2024-11-10T22:16:24.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,84.05059132720105,39.21568627450981,1610612754,11,13,2024-11-10T22:16:27Z,440000,False,-54.0,97.0,1,right,P. Siakam 11' pullup Jump Shot (5 PTS) (B. Mathurin 1 AST),"[1627783, 1631097]",1610612754.0,IND,pullup,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,11.13,Made,,,,,5.0,B. Mathurin,1631097.0,1.0,,,,,,,,,,
46,PT08M02.00S,2024-11-10T22:16:40.4Z,1,REGULAR,2pt,Jump Shot,[],1628973,17.16491458607096,81.86274509803921,1610612752,11,13,2024-11-10T22:16:48Z,450000,False,-159.0,109.0,1,left,MISS J. Brunson 19' pullup Shot,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Left,19.3,Missed,,,,,,,,,,,,,,,,,,
47,PT07M59.00S,2024-11-10T22:16:43.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,11,13,2024-11-10T22:16:48Z,460000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,
48,PT07M51.00S,2024-11-10T22:16:50.8Z,1,REGULAR,3pt,Jump Shot,[],1627783,91.80354796320631,96.32352941176471,1610612754,11,13,2024-11-10T22:16:54Z,470000,False,232.0,25.0,1,right,MISS P. Siakam 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Right Corner 3,24+ Right,23.29,Missed,,,,,,,,,,,,,,,,,,
49,PT07M49.00S,2024-11-10T22:16:52.8Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,11,13,2024-11-10T22:16:54Z,480000,False,,,0,,M. Bridges REBOUND (Off:0 Def:3),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,,,48.0,3.0,3.0,0.0,,,,,,,,,,,,,,
50,PT07M41.00S,2024-11-10T22:17:00.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628384,4.944152431011826,50.0,1610612752,11,15,2024-11-10T22:17:04Z,490000,False,0.0,-6.0,1,left,O. Anunoby driving Layup (5 PTS) (M. Bridges 1 AST),"[1628384, 1628969]",1610612752.0,NYK,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,0.6,Made,,,,,5.0,M. Bridges,1628969.0,1.0,,,,,,,,,,
52,PT07M41.00S,2024-11-10T22:17:04.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,11,15,2024-11-10T22:17:04Z,510000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M29.00S,2024-11-10T22:20:10.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626167,95.48291721419186,45.34313725490196,1610612754,13,15,2024-11-10T22:24:01Z,520000,False,-23.0,-10.0,1,right,M. Turner DUNK (6 PTS) (T. Haliburton 3 AST),"[1626167, 1630169]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,2.54,Made,,,,,6.0,T. Haliburton,1630169.0,3.0,,,,,,,,,,
55,PT07M08.00S,2024-11-10T22:20:29.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,4.812746386333772,55.88235294117647,1610612752,13,15,2024-11-10T22:20:33Z,540000,False,-29.0,-7.0,1,left,MISS J. Hart cutting Layup,[1628404],1610612752.0,NYK,cutting,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,3.03,Missed,,,,,,,,,,,,,,,,,,
56,PT07M06.00S,2024-11-10T22:20:31.8Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,13,15,2024-11-10T22:24:37Z,550000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:2),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,,,55.0,2.0,2.0,0.0,,,,,,,,,,,,,,
57,PT07M03.00S,2024-11-10T22:20:35.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631097,67.62483574244416,38.48039215686275,1610612754,16,15,2024-11-10T22:20:41Z,560000,False,-58.0,252.0,1,right,B. Mathurin 25' 3PT running (5 PTS) (T. Haliburton 4 AST),"[1631097, 1630169]",1610612754.0,IND,running,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Center,25.83,Made,,,,,5.0,T. Haliburton,1630169.0,4.0,,,,,,,,,,
59,PT06M39.00S,2024-11-10T22:20:59.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,11.12023653088042,39.21568627450981,1610612752,16,15,2024-11-10T22:26:32Z,580000,False,54.0,52.0,1,left,MISS K. Towns 7' driving Layup,[1626157],1610612752.0,NYK,driving,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,7.49,Missed,,,,,,,,,,,,,,,,,,
60,PT06M37.00S,2024-11-10T22:21:01.3Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,16,15,2024-11-10T22:21:05Z,590000,False,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,59.0,2.0,2.0,0.0,,,,,,,,,,,,,,
61,PT06M32.00S,2024-11-10T22:21:06.7Z,1,REGULAR,3pt,Jump Shot,[],1641767,81.553876478318,3.6764705882352944,1610612754,16,15,2024-11-10T22:27:37Z,600000,False,-232.0,121.0,1,right,MISS B. Sheppard 26' 3PT,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Above the Break 3,24+ Left Center,26.13,Missed,,,,,,,,,,,,,,,,,,
62,PT06M29.00S,2024-11-10T22:21:09.7Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,16,15,2024-11-10T22:21:12Z,610000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,61.0,1.0,1.0,0.0,,,,,,,,,,,,,,
63,PT06M24.00S,2024-11-10T22:21:15.2Z,1,REGULAR,3pt,Jump Shot,[],1628969,5.601182654402102,95.58823529411765,1610612752,16,15,2024-11-10T22:29:15Z,620000,False,-228.0,0.0,1,left,MISS M. Bridges 3PT,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,22.79,Missed,,,,,,,,,,,,,,,,,,
64,PT06M20.00S,2024-11-10T22:21:19.2Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,16,15,2024-11-10T22:21:19Z,630000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:3),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Left Corner 3,24+ Left,,,63.0,3.0,3.0,0.0,,,,,,,,,,,,,,
65,PT06M15.00S,2024-11-10T22:21:23.3Z,1,REGULAR,3pt,Jump Shot,[],1630169,75.90341655716163,11.27450980392157,1610612754,19,15,2024-11-10T22:30:33Z,640000,False,-194.0,174.0,1,right,T. Haliburton 26' 3PT pullup (3 PTS) (P. Siakam 1 AST),"[1630169, 1627783]",1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,26.03,Made,,,,,3.0,P. Siakam,1627783.0,1.0,,,,,,,,,,
68,PT05M52.00S,2024-11-10T22:21:45.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,7.30946123521682,53.18627450980392,1610612752,19,17,2024-11-10T22:21:53Z,670000,False,-16.0,16.0,1,left,K. Towns driving reverse Layup (4 PTS),[1626157],1610612752.0,NYK,driving reverse,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,2.27,Made,,,,,4.0,,,,,,,,,,,,,
70,PT05M38.00S,2024-11-10T22:21:59.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,91.40932982917214,45.83333333333333,1610612754,19,17,2024-11-10T22:22:03Z,680000,False,-21.0,28.0,1,right,MISS P. Siakam Layup - blocked,"[1627783, 1628969]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,3.51,Missed,,,,,,,,,,Bridges,1628969.0,,,,,,,
71,PT05M38.00S,2024-11-10T22:21:59.7Z,1,REGULAR,block,,[],1628969,,,1610612754,19,17,2024-11-10T22:22:01Z,690000,False,,,0,,M. Bridges BLOCK (1 BLK),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
72,PT05M35.00S,2024-11-10T22:22:02.7Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612754,19,17,2024-11-10T22:22:03Z,700000,False,,,0,,P. Siakam REBOUND (Off:1 Def:2),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,70.0,3.0,2.0,1.0,,,,,,,,,,,,,,
73,PT05M35.00S,2024-11-10T22:22:03.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627783,94.40999984741211,50.0,1610612754,19,17,2024-11-10T22:24:12Z,710000,False,0.0,0.0,1,right,MISS P. Siakam putback Layup,[1627783],1610612754.0,IND,putback,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
74,PT05M35.00S,2024-11-10T22:22:03.4Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,19,17,2024-11-10T22:22:06Z,720000,False,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,73.0,2.0,2.0,0.0,,,,,,,,,,,,,,
75,PT05M28.00S,2024-11-10T22:22:10.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,6.389618922470433,56.86274509803921,1610612752,19,17,2024-11-10T22:22:16Z,730000,False,-34.0,8.0,1,left,MISS K. Towns Layup,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,3.51,Missed,,,,,,,,,,,,,,,,,,
76,PT05M25.00S,2024-11-10T22:22:13.3Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,19,17,2024-11-10T22:22:16Z,740000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,75.0,1.0,1.0,0.0,,,,,,,,,,,,,,
77,PT05M21.00S,2024-11-10T22:22:17.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631097,73.14388961892247,85.5392156862745,1610612754,22,17,2024-11-10T22:22:22Z,750000,False,178.0,200.0,1,right,B. Mathurin 26' 3PT running (8 PTS) (T. Haliburton 5 AST),"[1631097, 1630169]",1610612754.0,IND,running,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Right Center,26.75,Made,,,,,8.0,T. Haliburton,1630169.0,5.0,,,,,,,,,,
79,PT05M11.00S,2024-11-10T22:22:29.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,22,17,2024-11-10T22:22:29Z,770000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M11.00S,2024-11-10T22:24:53.2Z,1,REGULAR,substitution,out,[],1626167,,,1610612752,22,17,2024-11-10T22:25:17Z,780000,False,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M11.00S,2024-11-10T22:24:53.2Z,1,REGULAR,substitution,out,[],1627783,,,1610612752,22,17,2024-11-10T22:25:17Z,790000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M11.00S,2024-11-10T22:24:53.2Z,1,REGULAR,substitution,out,[],1628404,,,1610612752,22,17,2024-11-10T22:25:17Z,800000,False,,,0,,SUB out: J. Hart,[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M11.00S,2024-11-10T22:24:53.2Z,1,REGULAR,substitution,out,[],1626157,,,1610612752,22,17,2024-11-10T22:25:17Z,810000,False,,,0,,SUB out: K. Towns,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M11.00S,2024-11-10T22:24:53.2Z,1,REGULAR,substitution,in,[],1641716,,,1610612752,22,17,2024-11-10T22:25:17Z,820000,False,,,0,,SUB in: J. Walker,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M11.00S,2024-11-10T22:24:53.2Z,1,REGULAR,substitution,in,[],1642402,,,1610612752,22,17,2024-11-10T22:25:17Z,830000,False,,,0,,SUB in: E. Freeman,[1642402],1610612754.0,IND,,,,Freeman,E. Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M11.00S,2024-11-10T22:24:53.2Z,1,REGULAR,substitution,in,[],1630579,,,1610612752,22,17,2024-11-10T22:25:17Z,840000,False,,,0,,SUB in: J. Sims,[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M11.00S,2024-11-10T22:24:53.2Z,1,REGULAR,substitution,in,[],1630540,,,1610612752,22,17,2024-11-10T22:25:17Z,850000,False,,,0,,SUB in: M. McBride,[1630540],1610612752.0,NYK,,,,McBride,M. McBride,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M01.00S,2024-11-10T22:25:34.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630540,9.280551905387648,53.431372549019606,1610612752,22,19,2024-11-10T22:25:38Z,860000,False,-17.0,35.0,1,left,M. McBride driving Layup (2 PTS) (J. Brunson 2 AST),"[1630540, 1628973]",1610612752.0,NYK,driving,,,McBride,M. McBride,,,,,Restricted Area,0-8 Center,3.87,Made,,,,,2.0,J. Brunson,1628973.0,2.0,,,,,,,,,,
