actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
18,PT10M47.00S,2025-04-10T23:07:34.4Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612739,6,0,2025-04-10T23:07:39Z,170000,False,,,0,,P. Siakam shooting personal FOUL (1 PF) (Allen 2 FT),"[1627783, 1628386]",1610612754.0,IND,shooting,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,204058.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,,,
20,PT10M47.00S,2025-04-10T23:07:57.6Z,1,REGULAR,freethrow,1 of 2,[],1628386,,,1610612739,6,0,2025-04-10T23:07:57Z,190000,False,,,0,,MISS J. Allen Free Throw 1 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
21,PT10M47.00S,2025-04-10T23:07:57.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,6,0,2025-04-10T23:07:57Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
22,PT10M47.00S,2025-04-10T23:08:10.5Z,1,REGULAR,freethrow,2 of 2,[],1628386,,,1610612739,6,1,2025-04-10T23:08:10Z,210000,False,,,0,,J. Allen Free Throw 2 of 2 (1 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
23,PT10M31.00S,2025-04-10T23:08:28.2Z,1,REGULAR,3pt,Jump Shot,[],1630169,39.37253613666228,52.69607843137255,1610612754,6,1,2025-04-10T23:08:32Z,220000,False,-13.0,318.0,1,left,MISS T. Haliburton 31' 3PT,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,31.79,Missed,,,,,,,,,,,,,,,,,,
24,PT10M28.00S,2025-04-10T23:08:31.2Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612739,6,1,2025-04-10T23:08:32Z,230000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Center,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,
25,PT10M17.00S,2025-04-10T23:08:43.9Z,1,REGULAR,foul,personal,['2freethrow'],1629614,,,1610612739,6,1,2025-04-10T23:08:49Z,240000,False,,,0,,A. Nembhard shooting personal FOUL (1 PF) (Jerome 2 FT),"[1629614, 1629660]",1610612754.0,IND,shooting,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,,,,202901.0,1.0,0.0,Jerome,1629660.0,,,,,,,,,,,,
27,PT10M17.00S,2025-04-10T23:09:05.4Z,1,REGULAR,freethrow,1 of 2,[],1629660,,,1610612739,6,2,2025-04-10T23:09:05Z,260000,False,,,0,,T. Jerome Free Throw 1 of 2 (1 PTS),[1629660],1610612739.0,CLE,,,,Jerome,T. Jerome,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
28,PT10M17.00S,2025-04-10T23:09:18.9Z,1,REGULAR,freethrow,2 of 2,[],1629660,,,1610612739,6,3,2025-04-10T23:09:18Z,270000,False,,,0,,T. Jerome Free Throw 2 of 2 (2 PTS),[1629660],1610612739.0,CLE,,,,Jerome,T. Jerome,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
29,PT10M04.00S,2025-04-10T23:09:33.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630174,8.754927726675426,45.588235294117645,1610612754,6,3,2025-04-10T23:10:45Z,280000,False,22.0,30.0,1,left,MISS A. Nesmith driving floating Shot,[1630174],1610612754.0,IND,driving floating,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,3.71,Missed,,,,,,,,,,,,,,,,,,
30,PT10M00.00S,2025-04-10T23:09:37.9Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,6,3,2025-04-10T23:09:37Z,290000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,
31,PT09M52.00S,2025-04-10T23:09:44.7Z,1,REGULAR,2pt,Jump Shot,[],1629731,74.98357424441524,47.05882352941176,1610612739,6,5,2025-04-10T23:09:48Z,300000,False,-15.0,183.0,1,right,D. Wade 18' pullup Jump Shot (2 PTS),[1629731],1610612739.0,CLE,pullup,,,Wade,D. Wade,,,,,Mid-Range,16-24 Center,18.33,Made,2.0,,,,,,,,,,,,,,,,,
32,PT09M43.00S,2025-04-10T23:09:54.9Z,1,REGULAR,foul,personal,['2freethrow'],1629631,,,1610612754,6,5,2025-04-10T23:09:59Z,310000,False,,,0,,D. Hunter shooting personal FOUL (2 PF) (Turner 2 FT),"[1629631, 1626167]",1610612739.0,CLE,shooting,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),0-8 Center,,,,202901.0,2.0,0.0,Turner,1626167.0,,,,,,,,,,,,
34,PT09M43.00S,2025-04-10T23:10:18.1Z,1,REGULAR,freethrow,1 of 2,[],1626167,,,1610612754,7,5,2025-04-10T23:10:18Z,330000,False,,,0,,M. Turner Free Throw 1 of 2 (4 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
35,PT09M43.00S,2025-04-10T23:10:33.6Z,1,REGULAR,freethrow,2 of 2,[],1626167,,,1610612754,8,5,2025-04-10T23:10:33Z,340000,False,,,0,,M. Turner Free Throw 2 of 2 (5 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
36,PT09M27.00S,2025-04-10T23:10:51.4Z,1,REGULAR,3pt,Jump Shot,[],1629631,70.90998685939553,18.872549019607842,1610612739,8,5,2025-04-10T23:10:57Z,350000,False,-156.0,221.0,1,right,MISS D. Hunter 27' 3PT,[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,27.02,Missed,,,,,,,,,,,,,,,,,,
37,PT09M23.00S,2025-04-10T23:10:55.4Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,8,5,2025-04-10T23:11:15Z,360000,False,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,36.0,2.0,1.0,1.0,,,,,,
38,PT09M18.00S,2025-04-10T23:11:00.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630241,72.48685939553219,17.401960784313726,1610612739,8,8,2025-04-10T23:11:08Z,370000,False,-163.0,206.0,1,right,S. Merrill 26' 3PT  (3 PTS) (D. Wade 1 AST),"[1630241, 1629731]",1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Left Center,26.28,Made,3.0,,,,,,,,,,,,D. Wade,1629731.0,1.0,,,
41,PT09M09.00S,2025-04-10T23:11:19.8Z,1,REGULAR,2pt,Jump Shot,[],1627783,11.645860709592641,29.65686274509804,1610612754,8,8,2025-04-10T23:12:46Z,400000,False,102.0,57.0,1,left,MISS P. Siakam 11' driving floating bank Shot,[1627783],1610612754.0,IND,driving floating bank,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Right,11.66,Missed,,,,,,,,,,,,,,,,,,
42,PT09M05.00S,2025-04-10T23:11:23.8Z,1,REGULAR,rebound,offensive,[],1630174,,,1610612754,8,8,2025-04-10T23:14:44Z,410000,False,,,0,,A. Nesmith REBOUND (Off:1 Def:0),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Mid-Range,8-16 Right,,,,,,,,,,,41.0,1.0,0.0,1.0,,,,,,
43,PT08M55.00S,2025-04-10T23:11:33.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627783,5.075558475689881,96.32352941176471,1610612754,8,8,2025-04-10T23:11:37Z,420000,False,-232.0,-5.0,1,left,MISS P. Siakam 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Left Corner 3,24+ Left,23.16,Missed,,,,,,,,,,,,,,,,,,
44,PT08M51.00S,2025-04-10T23:11:37.0Z,1,REGULAR,rebound,defensive,[],1630241,,,1610612739,8,8,2025-04-10T23:12:49Z,430000,False,,,0,,S. Merrill REBOUND (Off:0 Def:1),[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Left Corner 3,24+ Left,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,
45,PT08M45.00S,2025-04-10T23:11:42.8Z,1,REGULAR,2pt,Jump Shot,[],1629660,89.56964520367937,70.83333333333334,1610612739,8,8,2025-04-10T23:17:02Z,440000,False,104.0,46.0,1,right,MISS T. Jerome 11' driving floating bank Shot,[1629660],1610612739.0,CLE,driving floating bank,,,Jerome,T. Jerome,,,,,Mid-Range,8-16 Right,11.37,Missed,,,,,,,,,,,,,,,,,,
46,PT08M43.00S,2025-04-10T23:11:44.8Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,8,8,2025-04-10T23:11:46Z,450000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Right,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,
47,PT08M34.00S,2025-04-10T23:11:54.8Z,1,REGULAR,3pt,Jump Shot,[],1630174,8.360709592641262,3.6764705882352944,1610612754,8,8,2025-04-10T23:11:58Z,460000,False,232.0,26.0,1,left,MISS A. Nesmith 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Right Corner 3,24+ Right,23.31,Missed,,,,,,,,,,,,,,,,,,
48,PT08M31.00S,2025-04-10T23:11:57.8Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,8,8,2025-04-10T23:11:58Z,470000,False,,,0,,J. Allen REBOUND (Off:1 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Right Corner 3,24+ Right,,,,,,,,,,,47.0,3.0,2.0,1.0,,,,,,
49,PT08M12.00S,2025-04-10T23:12:16.8Z,1,REGULAR,2pt,Jump Shot,[],1629631,90.75229960578186,83.57843137254902,1610612739,8,10,2025-04-10T23:12:20Z,480000,False,168.0,34.0,1,right,D. Hunter 17' Jump Shot (2 PTS) (T. Jerome 1 AST),"[1629631, 1629660]",1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Right,17.14,Made,2.0,,,,,,,,,,,,T. Jerome,1629660.0,1.0,,,
51,PT07M47.00S,2025-04-10T23:12:40.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,15.062417871222076,42.64705882352941,1610612754,8,10,2025-04-10T23:12:44Z,500000,False,37.0,89.0,1,left,MISS M. Turner 9' turnaround fadeaway Shot,[1626167],1610612754.0,IND,turnaround fadeaway,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,9.64,Missed,,,,,,,,,,,,,,,,,,
52,PT07M45.00S,2025-04-10T23:12:42.9Z,1,REGULAR,rebound,defensive,[],1630241,,,1610612739,8,10,2025-04-10T23:12:44Z,510000,False,,,0,,S. Merrill REBOUND (Off:0 Def:2),[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,51.0,2.0,2.0,0.0,,,,,,
53,PT07M33.00S,2025-04-10T23:12:55.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,90.62089356110381,55.392156862745104,1610612739,8,10,2025-04-10T23:12:58Z,520000,False,27.0,36.0,1,right,MISS J. Allen Hook,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,4.48,Missed,,,,,,,,,,,,,,,,,,
54,PT07M31.00S,2025-04-10T23:12:57.1Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,8,10,2025-04-10T23:12:58Z,530000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,53.0,1.0,1.0,0.0,,,,,,
55,PT07M29.00S,2025-04-10T23:13:00.8Z,1,REGULAR,foul,personal,['2freethrow'],1630241,,,1610612754,8,10,2025-04-10T23:13:24Z,540000,False,,,0,,S. Merrill shooting personal FOUL (1 PF) (Nesmith 2 FT),"[1630241, 1630174]",1610612739.0,CLE,shooting,,,Merrill,S. Merrill,,,,,Restricted Area,0-8 Center,,,,204058.0,1.0,0.0,Nesmith,1630174.0,,,,,,,,,,,,
58,PT07M29.00S,2025-04-10T23:15:31.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630174,,,1610612754,9,10,2025-04-10T23:36:36Z,570000,False,,,0,,A. Nesmith Free Throw 1 of 2 (1 PTS),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
59,PT07M29.00S,2025-04-10T23:15:31.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630174,,,1610612754,10,10,2025-04-10T23:36:36Z,580000,False,,,0,,A. Nesmith Free Throw 2 of 2 (2 PTS),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
60,PT07M16.00S,2025-04-10T23:16:05.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,90.22667542706965,46.81372549019608,1610612739,10,10,2025-04-10T23:16:08Z,590000,False,-16.0,39.0,1,right,MISS D. Hunter Layup,[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,4.25,Missed,,,,,,,,,,,,,,,,,,
61,PT07M14.00S,2025-04-10T23:16:07.9Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,10,10,2025-04-10T23:16:08Z,600000,False,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,,,60.0,2.0,2.0,0.0,,,,,,
62,PT07M09.00S,2025-04-10T23:16:13.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630174,11.645860709592641,3.1862745098039214,1610612754,13,10,2025-04-10T23:16:17Z,610000,False,234.0,57.0,1,left,A. Nesmith 24' 3PT running (5 PTS) (T. Haliburton 1 AST),"[1630174, 1630169]",1610612754.0,IND,running,,,Nesmith,A. Nesmith,,,,,Right Corner 3,24+ Right,24.09,Made,5.0,,,,,,,,,,,,T. Haliburton,1630169.0,1.0,,,
64,PT06M55.00S,2025-04-10T23:16:27.5Z,1,REGULAR,foul,personal,[],1626167,,,1610612739,13,10,2025-04-10T23:16:35Z,630000,False,,,0,,M. Turner personal FOUL (1 PF),"[1626167, 1629660]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,,,,202901.0,1.0,0.0,Jerome,1629660.0,,,,,,,,,,,,
66,PT06M55.00S,2025-04-10T23:16:36.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,13,10,2025-04-10T23:16:36Z,650000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M55.00S,2025-04-10T23:19:14.0Z,1,REGULAR,substitution,out,[],1630174,,,1610612739,13,10,2025-04-10T23:19:51Z,660000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M55.00S,2025-04-10T23:19:14.0Z,1,REGULAR,substitution,out,[],1627783,,,1610612739,13,10,2025-04-10T23:19:51Z,670000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M55.00S,2025-04-10T23:19:14.0Z,1,REGULAR,substitution,out,[],1629731,,,1610612739,13,10,2025-04-10T23:19:51Z,680000,False,,,0,,SUB out: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M55.00S,2025-04-10T23:19:14.0Z,1,REGULAR,substitution,out,[],1630241,,,1610612739,13,10,2025-04-10T23:19:51Z,690000,False,,,0,,SUB out: S. Merrill,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M55.00S,2025-04-10T23:19:14.0Z,1,REGULAR,substitution,in,[],1631097,,,1610612739,13,10,2025-04-10T23:19:51Z,700000,False,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M55.00S,2025-04-10T23:19:14.0Z,1,REGULAR,substitution,in,[],1630167,,,1610612739,13,10,2025-04-10T23:19:51Z,710000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M55.00S,2025-04-10T23:19:14.0Z,1,REGULAR,substitution,in,[],1641854,,,1610612739,13,10,2025-04-10T23:19:51Z,720000,False,,,0,,SUB in: C. Porter Jr.,[1641854],1610612739.0,CLE,,,,Porter Jr.,C. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M55.00S,2025-04-10T23:19:14.0Z,1,REGULAR,substitution,in,[],1630171,,,1610612739,13,10,2025-04-10T23:19:51Z,730000,False,,,0,,SUB in: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M48.00S,2025-04-10T23:20:10.8Z,1,REGULAR,turnover,lost ball,[],1629631,,,1610612739,13,10,2025-04-10T23:20:13Z,740000,False,,,0,,D. Hunter lost ball TURNOVER (1 TO),"[1629631, 1631097]",1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,1.0,Mathurin,1631097.0
76,PT06M48.00S,2025-04-10T23:20:10.8Z,1,REGULAR,steal,,[],1631097,,,1610612754,13,10,2025-04-10T23:20:12Z,750000,False,,,0,,B. Mathurin STEAL (1 STL),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
77,PT06M43.00S,2025-04-10T23:20:16.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631097,7.5722733245729295,45.09803921568628,1610612754,15,10,2025-04-10T23:20:20Z,760000,False,25.0,19.0,1,left,B. Mathurin running Layup (2 PTS) (O. Toppin 1 AST),"[1631097, 1630167]",1610612754.0,IND,running,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,3.08,Made,2.0,,,,,,,,,,,,O. Toppin,1630167.0,1.0,,,
79,PT06M29.00S,2025-04-10T23:20:33.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630171,92.19776609724047,36.76470588235294,1610612739,15,12,2025-04-10T23:20:36Z,780000,False,-66.0,21.0,1,right,I. Okoro 6' driving floating Jump Shot (2 PTS) (D. Hunter 1 AST),"[1630171, 1629631]",1610612739.0,CLE,driving floating,,,Okoro,I. Okoro,,,,,In The Paint (Non-RA),0-8 Center,6.94,Made,2.0,,,,,,,,,,,,D. Hunter,1629631.0,1.0,,,
81,PT06M29.00S,2025-04-10T23:20:35.2Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1631097,,,1610612739,15,12,2025-04-10T23:20:39Z,800000,False,,,0,,B. Mathurin shooting personal FOUL (1 PF) (Okoro 1 FT),"[1631097, 1630171]",1610612754.0,IND,shooting,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),0-8 Center,,,,200832.0,1.0,0.0,Okoro,1630171.0,,,,,,,,,,,,
83,PT06M29.00S,2025-04-10T23:20:55.4Z,1,REGULAR,freethrow,1 of 1,[],1630171,,,1610612739,15,13,2025-04-10T23:20:55Z,820000,False,,,0,,I. Okoro Free Throw 1 of 1 (3 PTS),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
84,PT06M06.00S,2025-04-10T23:21:20.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630167,5.338370565045992,47.05882352941176,1610612754,17,13,2025-04-10T23:21:23Z,830000,False,15.0,-2.0,1,left,O. Toppin alley-oop DUNK (2 PTS) (A. Nembhard 2 AST),"[1630167, 1629614]",1610612754.0,IND,alley-oop,,,Toppin,O. Toppin,,,,,Restricted Area,0-8 Center,1.49,Made,2.0,,,,,,,,,,,,A. Nembhard,1629614.0,2.0,,,
86,PT05M50.00S,2025-04-10T23:21:36.3Z,1,REGULAR,3pt,Jump Shot,[],1629660,93.24901445466492,3.1862745098039214,1610612739,17,16,2025-04-10T23:21:40Z,850000,False,-234.0,11.0,1,right,T. Jerome 3PT  (5 PTS) (C. Porter Jr. 1 AST),"[1629660, 1641854]",1610612739.0,CLE,,,,Jerome,T. Jerome,,,,,Left Corner 3,24+ Left,23.44,Made,5.0,,,,,,,,,,,,C. Porter Jr.,1641854.0,1.0,,,
88,PT05M41.00S,2025-04-10T23:21:45.2Z,1,REGULAR,3pt,Jump Shot,[],1630169,32.013797634691194,27.941176470588236,1610612754,17,16,2025-04-10T23:21:49Z,870000,False,110.0,248.0,1,left,MISS T. Haliburton 27' pullup 3PT,[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,27.18,Missed,,,,,,,,,,,,,,,,,,
89,PT05M38.00S,2025-04-10T23:21:48.2Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,17,16,2025-04-10T23:21:51Z,880000,False,,,0,,J. Allen REBOUND (Off:1 Def:3),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,88.0,4.0,3.0,1.0,,,,,,
