actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
15,PT11M05.00S,2024-10-30T23:14:27.6Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,2,0,2024-10-30T23:14:32Z,150000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Left Corner 3,24+ Left,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M54.00S,2024-10-30T23:14:38.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630174,91.27792378449409,54.65686274509803,1610612754,2,0,2024-10-30T23:14:41Z,160000,False,23.0,29.0,1,right,MISS A. Nesmith driving Layup,[1630174],1610612754.0,IND,driving,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,3.76,Missed,,,,,,,,,,,,,,,,,,
17,PT10M53.00S,2024-10-30T23:14:39.3Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,2,0,2024-10-30T23:14:41Z,170000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M39.00S,2024-10-30T23:14:56.5Z,1,REGULAR,turnover,bad pass,[],1628401,,,1610612738,2,0,2024-10-30T23:15:08Z,180000,False,,,0,,D. White bad pass TURNOVER (1 TO),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,,,,,,,,,,
19,PT10M39.00S,2024-10-30T23:15:00.9Z,1,REGULAR,foul,personal,[],1627759,,,1610612754,2,0,2024-10-30T23:15:05Z,190000,False,,,0,,J. Brown loose ball personal FOUL (1 PF),"[1627759, 1630174]",1610612738.0,BOS,loose ball,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,2530.0,1.0,0.0,Nesmith,1630174.0,,,,,,,
21,PT10M24.00S,2024-10-30T23:15:19.4Z,1,REGULAR,turnover,bad pass,[],1629614,,,1610612754,2,0,2024-10-30T23:15:22Z,210000,False,,,0,,A. Nembhard bad pass TURNOVER (1 TO),"[1629614, 201143]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,,,,Horford,201143.0,,,,,
22,PT10M24.00S,2024-10-30T23:15:19.4Z,1,REGULAR,steal,,[],201143,,,1610612738,2,0,2024-10-30T23:15:20Z,220000,False,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M20.00S,2024-10-30T23:15:24.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627759,7.703679369250986,51.9607843137255,1610612738,2,2,2024-10-30T23:15:29Z,230000,False,-10.0,20.0,1,left,J. Brown running DUNK (2 PTS) (J. Holiday 1 AST),"[1627759, 201950]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.22,Made,2.0,,,,,,,,,,,,,J. Holiday,201950.0,1.0,,
25,PT10M11.00S,2024-10-30T23:15:32.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630543,92.59198423127464,54.65686274509803,1610612754,2,2,2024-10-30T23:15:35Z,250000,False,23.0,17.0,1,right,MISS I. Jackson driving Layup,[1630543],1610612754.0,IND,driving,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,2.89,Missed,,,,,,,,,,,,,,,,,,
26,PT10M09.00S,2024-10-30T23:15:34.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,2,2,2024-10-30T23:15:35Z,260000,False,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,
27,PT10M04.00S,2024-10-30T23:15:39.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,5.469776609724048,54.90196078431373,1610612738,2,2,2024-10-30T23:15:44Z,270000,False,-25.0,-1.0,1,left,MISS J. Brown running finger roll Layup,[1627759],1610612738.0,BOS,running finger roll,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,,
28,PT10M02.00S,2024-10-30T23:15:41.1Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,2,2,2024-10-30T23:15:44Z,280000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:2),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,,
29,PT09M56.00S,2024-10-30T23:15:46.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630543,92.72339027595268,50.98039215686274,1610612754,4,2,2024-10-30T23:15:54Z,290000,False,5.0,16.0,1,right,I. Jackson running Layup (2 PTS) (T. Haliburton 1 AST),"[1630543, 1630169]",1610612754.0,IND,running,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,1.66,Made,2.0,,,,,,,,,,,,,T. Haliburton,1630169.0,1.0,,
31,PT09M41.00S,2024-10-30T23:16:04.3Z,1,REGULAR,violation,kicked ball,[],1630174,,,1610612738,4,2,2024-10-30T23:16:09Z,310000,False,,,0,,A. Nesmith kicked ball VIOLATION,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,2530.0,,,,,,,,,,,
32,PT09M40.00S,2024-10-30T23:16:22.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627759,7.30946123521682,49.26470588235294,1610612738,4,4,2024-10-30T23:16:25Z,320000,False,4.0,16.0,1,left,J. Brown driving DUNK (4 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.66,Made,4.0,,,,,,,,,,,,,J. Tatum,1628369.0,1.0,,
34,PT09M18.00S,2024-10-30T23:16:42.7Z,1,REGULAR,3pt,Jump Shot,[],1630174,79.188567674113,92.64705882352942,1610612754,4,4,2024-10-30T23:16:46Z,340000,False,213.0,143.0,1,right,MISS A. Nesmith 25' 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,25.68,Missed,,,,,,,,,,,,,,,,,,
35,PT09M16.00S,2024-10-30T23:16:44.7Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612754,4,4,2024-10-30T23:16:46Z,350000,False,,,0,,P. Siakam REBOUND (Off:2 Def:0),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,,34.0,2.0,0.0,2.0,,,,,,,,,,,,,
37,PT09M15.00S,2024-10-30T23:16:46.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627783,96.40275952693824,50.49019607843137,1610612754,6,4,2024-10-30T23:16:51Z,370000,False,2.0,-19.0,1,right,P. Siakam putback Layup (2 PTS),[1627783],1610612754.0,IND,putback,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,1.89,Made,2.0,,,,,,,,,,,,,,,,,
38,PT08M58.00S,2024-10-30T23:17:02.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,16.770696452036795,49.50980392156863,1610612738,6,6,2024-10-30T23:17:07Z,380000,False,2.0,105.0,1,left,J. Brown 10' turnaround fadeaway Jump Shot (6 PTS) (A. Horford 1 AST),"[1627759, 201143]",1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,10.51,Made,6.0,,,,,,,,,,,,,A. Horford,201143.0,1.0,,
40,PT08M49.00S,2024-10-30T23:17:12.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,82.7365308804205,38.48039215686275,1610612754,8,6,2024-10-30T23:17:16Z,400000,False,-58.0,110.0,1,right,P. Siakam 12' Jump Shot (4 PTS) (A. Nembhard 1 AST),"[1627783, 1629614]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,12.4,Made,4.0,,,,,,,,,,,,,A. Nembhard,1629614.0,1.0,,
42,PT08M38.00S,2024-10-30T23:17:23.1Z,1,REGULAR,3pt,Jump Shot,[],201143,30.17411300919842,22.794117647058822,1610612738,8,9,2024-10-30T23:17:26Z,420000,False,136.0,231.0,1,left,A. Horford 26' 3PT  (3 PTS) (J. Holiday 2 AST),"[201143, 201950]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,26.81,Made,3.0,,,,,,,,,,,,,J. Holiday,201950.0,2.0,,
44,PT08M26.00S,2024-10-30T23:17:34.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,88.38699080157687,38.72549019607843,1610612754,10,9,2024-10-30T23:17:39Z,440000,False,-56.0,57.0,1,right,P. Siakam 8' floating Jump Shot (6 PTS),[1627783],1610612754.0,IND,floating,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,8.0,Made,6.0,,,,,,,,,,,,,,,,,
45,PT08M09.00S,2024-10-30T23:17:51.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,7.835085413929041,57.59803921568627,1610612738,10,11,2024-10-30T23:17:55Z,450000,False,-38.0,21.0,1,left,A. Horford Layup (5 PTS) (J. Holiday 3 AST),"[201143, 201950]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,4.35,Made,5.0,,,,,,,,,,,,,J. Holiday,201950.0,3.0,,
46,PT07M59.00S,2024-10-30T23:18:01.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630174,91.14651773981603,52.450980392156865,1610612754,12,11,2024-10-30T23:18:05Z,460000,False,12.0,31.0,1,right,A. Nesmith driving Layup (2 PTS) (T. Haliburton 2 AST),"[1630174, 1630169]",1610612754.0,IND,driving,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,3.31,Made,2.0,,,,,,,,,,,,,T. Haliburton,1630169.0,2.0,,
48,PT07M39.00S,2024-10-30T23:18:21.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,10.463206307490145,46.32352941176471,1610612738,12,13,2024-10-30T23:18:25Z,480000,False,18.0,46.0,1,left,J. Brown driving Layup (8 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,4.95,Made,8.0,,,,,,,,,,,,,,,,,
49,PT07M25.00S,2024-10-30T23:18:39.8Z,1,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612754,12,13,2024-10-30T23:18:47Z,490000,False,,,0,,D. White shooting personal FOUL (1 PF) (Jackson 2 FT),"[1628401, 1630543]",1610612738.0,BOS,shooting,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,201246.0,1.0,0.0,Jackson,1630543.0,,,,,,,
51,PT07M25.00S,2024-10-30T23:19:08.2Z,1,REGULAR,freethrow,1 of 2,[],1630543,,,1610612754,13,13,2024-10-30T23:19:08Z,510000,False,,,0,,I. Jackson Free Throw 1 of 2 (3 PTS),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
52,PT07M25.00S,2024-10-30T23:19:28.1Z,1,REGULAR,freethrow,2 of 2,[],1630543,,,1610612754,14,13,2024-10-30T23:19:28Z,520000,False,,,0,,I. Jackson Free Throw 2 of 2 (4 PTS),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
53,PT07M14.00S,2024-10-30T23:19:40.1Z,1,REGULAR,turnover,bad pass,[],201950,,,1610612738,14,13,2024-10-30T23:19:44Z,530000,False,,,0,,J. Holiday bad pass TURNOVER (1 TO),"[201950, 1629614]",1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,,,,,,Nembhard,1629614.0,,,,,
54,PT07M14.00S,2024-10-30T23:19:40.1Z,1,REGULAR,steal,,[],1629614,,,1610612754,14,13,2024-10-30T23:23:24Z,540000,False,,,0,,A. Nembhard STEAL (1 STL),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
55,PT07M08.00S,2024-10-30T23:19:45.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630543,91.80354796320631,50.245098039215684,1610612754,16,13,2024-10-31T00:22:54Z,550000,False,1.0,25.0,1,right,I. Jackson running DUNK (6 PTS) (P. Siakam 1 AST),"[1630543, 1627783]",1610612754.0,IND,running,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,2.45,Made,6.0,,,,,,,,,,,,,P. Siakam,1627783.0,1.0,,
57,PT06M57.00S,2024-10-30T23:19:59.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,16,13,2024-10-30T23:19:59Z,570000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M57.00S,2024-10-30T23:22:45.3Z,1,REGULAR,substitution,out,[],1629614,,,1610612738,16,13,2024-10-30T23:23:25Z,580000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M57.00S,2024-10-30T23:22:45.3Z,1,REGULAR,substitution,out,[],1627783,,,1610612738,16,13,2024-10-30T23:23:25Z,590000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M57.00S,2024-10-30T23:22:45.3Z,1,REGULAR,substitution,out,[],1628401,,,1610612738,16,13,2024-10-30T23:23:25Z,600000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M57.00S,2024-10-30T23:22:45.3Z,1,REGULAR,substitution,out,[],201143,,,1610612738,16,13,2024-10-30T23:23:25Z,610000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M57.00S,2024-10-30T23:22:45.3Z,1,REGULAR,substitution,in,[],1631097,,,1610612738,16,13,2024-10-30T23:23:25Z,620000,False,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M57.00S,2024-10-30T23:22:45.3Z,1,REGULAR,substitution,in,[],1630167,,,1610612738,16,13,2024-10-30T23:23:25Z,630000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M57.00S,2024-10-30T23:22:45.3Z,1,REGULAR,substitution,in,[],1630202,,,1610612738,16,13,2024-10-30T23:23:25Z,640000,False,,,0,,SUB in: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M57.00S,2024-10-30T23:22:45.3Z,1,REGULAR,substitution,in,[],1628436,,,1610612738,16,13,2024-10-30T23:23:25Z,650000,False,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M50.00S,2024-10-30T23:23:44.8Z,1,REGULAR,foul,personal,[],1630169,,,1610612738,16,13,2024-10-30T23:23:52Z,660000,False,,,0,,T. Haliburton personal FOUL (1 PF),"[1630169, 1630202]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Left,,,,,,,,,201246.0,1.0,0.0,Pritchard,1630202.0,,,,,,,
69,PT06M44.00S,2024-10-30T23:24:06.7Z,1,REGULAR,3pt,Jump Shot,[],1628369,22.683968462549277,93.62745098039215,1610612738,16,13,2024-10-30T23:24:13Z,680000,False,-218.0,161.0,1,left,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,27.09,Missed,,,,,,,,,,,,,,,,,,
70,PT06M38.00S,2024-10-30T23:24:12.7Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612754,16,13,2024-10-30T23:24:13Z,690000,False,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Above the Break 3,24+ Left Center,,,,69.0,1.0,1.0,0.0,,,,,,,,,,,,,
71,PT06M28.00S,2024-10-30T23:24:22.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630543,91.01511169513797,48.529411764705884,1610612754,18,13,2024-10-30T23:24:25Z,700000,False,-7.0,32.0,1,right,I. Jackson Layup (8 PTS),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,3.28,Made,8.0,,,,,,,,,,,,,,,,,
72,PT06M11.00S,2024-10-30T23:24:39.3Z,1,REGULAR,turnover,bad pass,[],1630202,,,1610612738,18,13,2024-10-30T23:24:42Z,710000,False,,,0,,P. Pritchard bad pass TURNOVER (1 TO),"[1630202, 1630167]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Mid-Range,16-24 Left,,,,,,,,1.0,,,,,,Toppin,1630167.0,,,,,
73,PT06M11.00S,2024-10-30T23:24:39.3Z,1,REGULAR,steal,,[],1630167,,,1610612754,18,13,2024-10-30T23:24:40Z,720000,False,,,0,,O. Toppin STEAL (1 STL),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
74,PT06M09.00S,2024-10-30T23:24:41.8Z,1,REGULAR,turnover,bad pass,[],1630167,,,1610612754,18,13,2024-10-30T23:24:44Z,730000,False,,,0,,O. Toppin bad pass TURNOVER (1 TO),"[1630167, 1630202]",1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Mid-Range,24+ Center,,,,,,,,1.0,,,,,,Pritchard,1630202.0,,,,,
75,PT06M09.00S,2024-10-30T23:24:41.8Z,1,REGULAR,steal,,[],1630202,,,1610612738,18,13,2024-10-30T23:24:43Z,740000,False,,,0,,P. Pritchard STEAL (1 STL),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Mid-Range,24+ Center,,,,,,,,,,,,,,,,,,,,
76,PT06M06.00S,2024-10-30T23:24:44.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,9.017739816031538,56.372549019607845,1610612738,18,13,2024-10-30T23:24:52Z,750000,False,-32.0,32.0,1,left,MISS J. Brown driving finger roll Layup - blocked,"[1627759, 1630543]",1610612738.0,BOS,driving finger roll,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,4.54,Missed,,,,,,,,,,,,,,,,,Jackson,1630543.0
77,PT06M06.00S,2024-10-30T23:24:44.5Z,1,REGULAR,block,,[],1630543,,,1610612738,18,13,2024-10-30T23:24:47Z,760000,False,,,0,,I. Jackson BLOCK (1 BLK),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
78,PT06M04.00S,2024-10-30T23:24:46.5Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612754,18,13,2024-10-30T23:24:52Z,770000,False,,,0,,O. Toppin REBOUND (Off:0 Def:2),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,In The Paint (Non-RA),0-8 Center,,,,76.0,2.0,2.0,0.0,,,,,,,,,,,,,
79,PT06M04.00S,2024-10-30T23:24:49.7Z,1,REGULAR,foul,personal,['1freethrow'],1630202,,,1610612754,18,13,2024-10-30T23:25:14Z,780000,False,,,0,,P. Pritchard transition take personal FOUL (1 PF) (Toppin 1 FT),"[1630202, 1630167]",1610612738.0,BOS,transition take,,,Pritchard,P. Pritchard,,,,,Mid-Range,8-16 Center,,,,,,,,,201246.0,1.0,0.0,Toppin,1630167.0,,,,,,,
81,PT06M04.00S,2024-10-30T23:25:25.0Z,1,REGULAR,freethrow,1 of 1,[],1630169,,,1610612754,19,13,2024-10-30T23:25:25Z,800000,False,,,0,,T. Haliburton transition take Free Throw 1 of 1 (1 PTS),[1630169],1610612754.0,IND,transition take,,,Haliburton,T. Haliburton,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
82,PT06M04.00S,2024-10-30T23:25:29.4Z,1,REGULAR,substitution,out,[],1627759,,,1610612738,19,13,2024-10-30T23:25:38Z,810000,False,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M04.00S,2024-10-30T23:25:29.4Z,1,REGULAR,substitution,in,[],1630573,,,1610612738,19,13,2024-10-30T23:25:38Z,820000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M04.00S,2024-10-30T23:25:44.2Z,1,REGULAR,substitution,out,[],1630174,,,1610612738,19,13,2024-10-30T23:25:50Z,830000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M04.00S,2024-10-30T23:25:44.2Z,1,REGULAR,substitution,in,[],204456,,,1610612738,19,13,2024-10-30T23:25:50Z,840000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
