actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
16,PT10M40.00S,2025-03-24T23:12:27.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627783,24.917871222076215,65.93137254901961,1610612754,2,0,2025-03-24T23:12:32Z,160000,False,-80.0,182.0,1,left,P. Siakam 19' turnaround Jump Shot (2 PTS),[1627783],1610612754.0,IND,turnaround,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Left Center,19.84,Made,,,,,2.0,,,,,,,,,,,,,
17,PT10M27.00S,2025-03-24T23:12:42.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630183,88.78120893561103,44.11764705882353,1610612750,2,0,2025-03-24T23:12:45Z,170000,False,-29.0,53.0,1,right,MISS J. McDaniels 6' driving Layup - blocked,"[1630183, 1630169]",1610612750.0,MIN,driving,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,6.06,Missed,,,,,,Haliburton,1630169.0,,,,,,,,,,,
18,PT10M27.00S,2025-03-24T23:12:42.2Z,1,REGULAR,block,,[],1630169,,,1610612750,2,0,2025-03-24T23:12:43Z,180000,False,,,0,,T. Haliburton BLOCK (1 BLK),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M25.00S,2025-03-24T23:12:44.2Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,2,0,2025-03-24T23:16:54Z,190000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M22.00S,2025-03-24T23:12:50.3Z,1,REGULAR,foul,personal,['2freethrow'],1630162,,,1610612754,2,0,2025-03-24T23:12:58Z,200000,False,,,0,,A. Edwards shooting personal FOUL (1 PF) (Siakam 2 FT),"[1630162, 1627783]",1610612750.0,MIN,shooting,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,,,,202035.0,1.0,0.0,Siakam,1627783.0,,,,,,
22,PT10M22.00S,2025-03-24T23:13:19.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627783,,,1610612754,3,0,2025-03-24T23:13:19Z,220000,False,,,0,,P. Siakam Free Throw 1 of 2 (3 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
23,PT10M22.00S,2025-03-24T23:13:36.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627783,,,1610612754,4,0,2025-03-24T23:13:36Z,230000,False,,,0,,P. Siakam Free Throw 2 of 2 (4 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
24,PT10M05.00S,2025-03-24T23:13:56.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630183,91.01511169513797,54.65686274509803,1610612750,4,2,2025-03-24T23:14:00Z,240000,False,23.0,32.0,1,right,J. McDaniels driving Layup (2 PTS) (A. Edwards 1 AST),"[1630183, 1630162]",1610612750.0,MIN,driving,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,3.96,Made,,,,,2.0,,,,,,,,A. Edwards,1630162.0,1.0,,,
26,PT10M02.00S,2025-03-24T23:14:04.0Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612754,4,2,2025-03-24T23:14:08Z,260000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,202035.0,,,,,,,,,,
27,PT09M41.00S,2025-03-24T23:14:27.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629614,10.33180026281209,50.49019607843137,1610612754,4,2,2025-03-24T23:14:31Z,270000,False,-2.0,45.0,1,left,MISS A. Nembhard driving finger roll Layup - blocked,"[1629614, 201144]",1610612754.0,IND,driving finger roll,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,4.47,Missed,,,,,,Conley,201144.0,,,,,,,,,,,
28,PT09M41.00S,2025-03-24T23:14:27.8Z,1,REGULAR,block,,[],201144,,,1610612754,4,2,2025-03-24T23:14:29Z,280000,False,,,0,,M. Conley BLOCK (1 BLK),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT09M38.00S,2025-03-24T23:14:30.8Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,4,2,2025-03-24T23:14:31Z,290000,False,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT09M34.00S,2025-03-24T23:14:34.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630183,90.75229960578186,47.794117647058826,1610612750,4,2,2025-03-24T23:14:38Z,300000,False,-11.0,34.0,1,right,MISS J. McDaniels running Layup - blocked,"[1630183, 1626167]",1610612750.0,MIN,running,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,3.61,Missed,,,,,,Turner,1626167.0,,,,,,,,,,,
31,PT09M34.00S,2025-03-24T23:14:34.4Z,1,REGULAR,block,,[],1626167,,,1610612750,4,2,2025-03-24T23:14:36Z,310000,False,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
32,PT09M31.00S,2025-03-24T23:14:37.4Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,4,2,2025-03-24T23:14:38Z,320000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT09M26.00S,2025-03-24T23:14:42.6Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629614,9.067017082785808,90.95435049019608,1610612754,4,2,2025-03-25T00:23:41Z,330000,False,-205.0,33.0,1,left,MISS A. Nembhard 20' running Shot,[1629614],1610612754.0,IND,running,,,Nembhard,A. Nembhard,,,,,Mid-Range,16-24 Left,20.74,Missed,,,,,,,,,,,,,,,,,,
34,PT09M23.00S,2025-03-24T23:14:45.6Z,1,REGULAR,rebound,defensive,[],201144,,,1610612750,4,2,2025-03-24T23:14:49Z,340000,False,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Left Corner 3,24+ Left,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
35,PT09M14.00S,2025-03-24T23:14:54.9Z,1,REGULAR,3pt,Jump Shot,[],1630162,91.93495400788436,94.36274509803921,1610612750,4,2,2025-03-24T23:14:58Z,350000,False,222.0,23.0,1,right,MISS A. Edwards 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Right Corner 3,24+ Right,22.3,Missed,,,,,,,,,,,,,,,,,,
36,PT09M11.00S,2025-03-24T23:14:57.9Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,4,2,2025-03-24T23:15:16Z,360000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:1),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Right Corner 3,24+ Right,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT09M11.00S,2025-03-24T23:15:00.8Z,1,REGULAR,foul,personal,[],1630183,,,1610612754,4,2,2025-03-24T23:15:31Z,370000,False,,,0,,J. McDaniels personal FOUL (1 PF),"[1630183, 1629614]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,202058.0,1.0,0.0,Nembhard,1629614.0,,,,,,
39,PT09M05.00S,2025-03-24T23:15:29.0Z,1,REGULAR,3pt,Jump Shot,[],1629614,29.517082785808146,23.284313725490197,1610612754,4,2,2025-03-24T23:15:33Z,390000,False,134.0,225.0,1,left,MISS A. Nembhard 26' 3PT,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Right Center,26.17,Missed,,,,,,,,,,,,,,,,,,
40,PT09M01.00S,2025-03-24T23:15:31.7Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,4,2,2025-03-24T23:15:31Z,400000,False,,,0,,R. Gobert REBOUND (Off:0 Def:3),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,39.0,3.0,3.0,0.0,,,,,,,,,,,,,,
41,PT08M52.00S,2025-03-24T23:15:40.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,91.67214191852825,46.32352941176471,1610612750,4,4,2025-03-24T23:15:45Z,410000,False,-18.0,26.0,1,right,A. Edwards driving Layup (2 PTS),[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,3.17,Made,,,,,2.0,,,,,,,,,,,,,
42,PT08M45.00S,2025-03-24T23:15:47.5Z,1,REGULAR,3pt,Jump Shot,[],1627783,7.440867279894875,96.07843137254902,1610612754,4,4,2025-03-24T23:15:51Z,420000,False,-230.0,17.0,1,left,MISS P. Siakam 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Left Corner 3,24+ Left,23.11,Missed,,,,,,,,,,,,,,,,,,
43,PT08M43.00S,2025-03-24T23:15:49.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,4,4,2025-03-24T23:15:51Z,430000,False,,,0,,R. Gobert REBOUND (Off:0 Def:4),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Left Corner 3,24+ Left,,,42.0,4.0,4.0,0.0,,,,,,,,,,,,,,
44,PT08M31.00S,2025-03-24T23:16:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,91.80354796320631,51.470588235294116,1610612750,4,4,2025-03-24T23:16:06Z,440000,False,7.0,25.0,1,right,MISS J. Randle driving Layup,[203944],1610612750.0,MIN,driving,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,2.56,Missed,,,,,,,,,,,,,,,,,,
45,PT08M29.00S,2025-03-24T23:16:04.2Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,4,4,2025-03-24T23:16:06Z,450000,False,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,44.0,2.0,2.0,0.0,,,,,,,,,,,,,,
46,PT08M23.00S,2025-03-24T23:16:09.9Z,1,REGULAR,3pt,Jump Shot,[],1630169,33.590670170827856,50.0,1610612754,4,4,2025-03-24T23:20:09Z,460000,False,0.0,263.0,1,left,MISS T. Haliburton 26' 3PT,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,26.33,Missed,,,,,,,,,,,,,,,,,,
47,PT08M20.00S,2025-03-24T23:16:12.9Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,4,4,2025-03-24T23:16:17Z,470000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,
48,PT08M14.00S,2025-03-24T23:16:18.5Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,4,4,2025-03-24T23:16:30Z,480000,False,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 1626167]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Turner,1626167.0
49,PT08M14.00S,2025-03-24T23:16:18.5Z,1,REGULAR,steal,,[],1626167,,,1610612754,4,4,2025-03-24T23:16:19Z,490000,False,,,0,,M. Turner STEAL (1 STL),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
50,PT08M09.00S,2025-03-24T23:16:23.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630174,9.017739816031538,3.431372549019608,1610612754,7,4,2025-03-24T23:16:32Z,500000,False,233.0,32.0,1,left,A. Nesmith 3PT running (3 PTS) (T. Haliburton 1 AST),"[1630174, 1630169]",1610612754.0,IND,running,,,Nesmith,A. Nesmith,,,,,Right Corner 3,24+ Right,23.5,Made,,,,,3.0,,,,,,,,T. Haliburton,1630169.0,1.0,,,
52,PT07M50.00S,2025-03-24T23:16:42.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,79.97700394218134,50.0,1610612750,7,4,2025-03-24T23:16:47Z,520000,False,0.0,136.0,1,right,MISS J. McDaniels 13' pullup Shot,[1630183],1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,13.57,Missed,,,,,,,,,,,,,,,,,,
53,PT07M47.00S,2025-03-24T23:16:45.3Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,7,4,2025-03-24T23:16:47Z,530000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:2),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),8-16 Center,,,52.0,2.0,2.0,0.0,,,,,,,,,,,,,,
54,PT07M41.00S,2025-03-24T23:16:51.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630169,6.1268068331143235,53.431372549019606,1610612754,9,4,2025-03-24T23:16:59Z,540000,False,-17.0,5.0,1,left,T. Haliburton running finger roll Layup (2 PTS),[1630169],1610612754.0,IND,running finger roll,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,1.79,Made,,,,,2.0,,,,,,,,,,,,,
55,PT07M24.00S,2025-03-24T23:17:08.6Z,1,REGULAR,3pt,Jump Shot,[],201144,69.59592641261499,17.15686274509804,1610612750,9,7,2025-03-24T23:17:13Z,550000,False,-164.0,233.0,1,right,M. Conley 28' 3PT pullup (3 PTS) (R. Gobert 1 AST),"[201144, 203497]",1610612750.0,MIN,pullup,,,Conley,M. Conley,,,,,Above the Break 3,24+ Left Center,28.53,Made,,,,,3.0,,,,,,,,R. Gobert,203497.0,1.0,,,
57,PT07M11.00S,2025-03-24T23:17:21.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,15.062417871222076,34.55882352941176,1610612754,11,7,2025-03-24T23:17:26Z,570000,False,77.0,89.0,1,left,T. Haliburton 11' driving floating Jump Shot (4 PTS) (P. Siakam 1 AST),"[1630169, 1627783]",1610612754.0,IND,driving floating,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),8-16 Right,11.79,Made,,,,,4.0,,,,,,,,P. Siakam,1627783.0,1.0,,,
59,PT06M52.00S,2025-03-24T23:17:40.1Z,1,REGULAR,3pt,Jump Shot,[],203944,67.7562417871222,66.42156862745098,1610612750,11,7,2025-03-24T23:17:45Z,590000,False,82.0,251.0,1,right,MISS J. Randle 26' 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,26.37,Missed,,,,,,,,,,,,,,,,,,
60,PT06M49.00S,2025-03-24T23:17:43.1Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,11,7,2025-03-24T23:17:45Z,600000,False,,,0,,M. Turner REBOUND (Off:0 Def:3),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,,,59.0,3.0,3.0,0.0,,,,,,,,,,,,,,
61,PT06M44.00S,2025-03-24T23:17:48.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630174,7.30946123521682,45.83333333333333,1610612754,13,7,2025-03-24T23:17:52Z,610000,False,21.0,16.0,1,left,A. Nesmith running Layup (5 PTS) (P. Siakam 2 AST),"[1630174, 1627783]",1610612754.0,IND,running,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,2.64,Made,,,,,5.0,,,,,,,,P. Siakam,1627783.0,2.0,,,
63,PT06M30.00S,2025-03-24T23:18:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,92.06636005256242,48.03921568627451,1610612750,13,9,2025-03-24T23:23:19Z,630000,False,-10.0,22.0,1,right,R. Gobert cutting finger roll Layup (2 PTS) (M. Conley 1 AST),"[203497, 201144]",1610612750.0,MIN,cutting finger roll,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,2.42,Made,,,,,2.0,,,,,,,,M. Conley,201144.0,1.0,,,
65,PT06M19.00S,2025-03-24T23:18:13.4Z,1,REGULAR,2pt,Jump Shot,[],1627783,15.325229960578188,29.411764705882355,1610612754,13,9,2025-03-24T23:23:35Z,650000,False,103.0,92.0,1,left,MISS P. Siakam 13' turnaround fadeaway Shot,[1627783],1610612754.0,IND,turnaround fadeaway,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Right,13.78,Missed,,,,,,,,,,,,,,,,,,
66,PT06M17.00S,2025-03-24T23:18:15.4Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,13,9,2025-03-24T23:18:17Z,660000,False,,,0,,R. Gobert REBOUND (Off:0 Def:5),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Right,,,65.0,5.0,5.0,0.0,,,,,,,,,,,,,,
67,PT06M12.00S,2025-03-24T23:18:22.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,91.5407358738502,53.67647058823529,1610612750,13,9,2025-03-24T23:18:33Z,670000,False,18.0,27.0,1,right,MISS R. Gobert driving Layup - blocked,"[203497, 1626167]",1610612750.0,MIN,driving,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,3.27,Missed,,,,,,Turner,1626167.0,,,,,,,,,,,
68,PT06M12.00S,2025-03-24T23:18:22.5Z,1,REGULAR,block,,[],1626167,,,1610612750,13,9,2025-03-24T23:18:24Z,680000,False,,,0,,M. Turner BLOCK (2 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
69,PT06M11.00S,2025-03-24T23:18:23.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,13,9,2025-03-24T23:18:33Z,690000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Restricted Area,0-8 Center,,,67.0,,,,,,,,,,,,,,,,,
71,PT06M11.00S,2025-03-24T23:18:27.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,13,9,2025-03-24T23:18:27Z,710000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M11.00S,2025-03-24T23:20:56.7Z,1,REGULAR,substitution,out,[],1630174,,,1610612750,13,9,2025-03-24T23:21:14Z,720000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M11.00S,2025-03-24T23:20:56.7Z,1,REGULAR,substitution,out,[],1627783,,,1610612750,13,9,2025-03-24T23:21:14Z,730000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M11.00S,2025-03-24T23:20:56.7Z,1,REGULAR,substitution,out,[],201144,,,1610612750,13,9,2025-03-24T23:21:14Z,740000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M11.00S,2025-03-24T23:20:56.7Z,1,REGULAR,substitution,out,[],203944,,,1610612750,13,9,2025-03-24T23:21:14Z,750000,False,,,0,,SUB out: J. Randle,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M11.00S,2025-03-24T23:20:56.7Z,1,REGULAR,substitution,in,[],1630167,,,1610612750,13,9,2025-03-24T23:21:14Z,760000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M11.00S,2025-03-24T23:20:56.7Z,1,REGULAR,substitution,in,[],1631097,,,1610612750,13,9,2025-03-24T23:21:14Z,770000,False,,,0,,SUB in: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M11.00S,2025-03-24T23:20:56.7Z,1,REGULAR,substitution,in,[],1628978,,,1610612750,13,9,2025-03-24T23:21:14Z,780000,False,,,0,,SUB in: D. DiVincenzo,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M11.00S,2025-03-24T23:20:56.7Z,1,REGULAR,substitution,in,[],1629675,,,1610612750,13,9,2025-03-24T23:21:14Z,790000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M06.00S,2025-03-24T23:21:41.8Z,1,REGULAR,turnover,traveling,[],1630162,,,1610612750,13,9,2025-03-24T23:21:46Z,800000,False,,,0,,A. Edwards traveling TURNOVER (2 TO),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,201245.0,,,,,,,,2.0,,
81,PT05M55.00S,2025-03-24T23:22:04.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626167,7.703679369250986,43.38235294117647,1610612754,15,9,2025-03-24T23:22:07Z,810000,False,33.0,20.0,1,left,M. Turner driving Layup (2 PTS) (T. Haliburton 2 AST),"[1626167, 1630169]",1610612754.0,IND,driving,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,3.86,Made,,,,,2.0,,,,,,,,T. Haliburton,1630169.0,2.0,,,
