actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,descriptor,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
16,PT10M31.00S,2025-03-02T22:12:28.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630581,91.93495400788436,42.8921568627451,1610612741,6,4,2025-03-02T22:12:33Z,160000,False,-36.0,23.0,1,right,MISS J. Giddey running Layup,[1630581],1610612741.0,CHI,,Giddey,J. Giddey,Restricted Area,0-8 Center,4.25,Missed,,,,,running,,,,,,,,,,,,,,,,,,,
17,PT10M29.00S,2025-03-02T22:12:31.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,6,4,2025-03-02T22:12:31Z,170000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,Restricted Area,0-8 Center,,,,,,,,,,,16.0,,,,,,,,,,,,,,,
19,PT10M18.00S,2025-03-02T22:12:55.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629632,88.12417871222075,38.72549019607843,1610612741,6,6,2025-03-02T22:14:00Z,190000,False,-56.0,59.0,1,right,C. White 8' floating Jump Shot (2 PTS),[1629632],1610612741.0,CHI,,White,C. White,In The Paint (Non-RA),8-16 Left,8.17,Made,2.0,,,,floating,,,,,,,,,,,,,,,,,,,
20,PT09M57.00S,2025-03-02T22:13:15.2Z,1,REGULAR,2pt,Jump Shot,[],1630174,11.777266754270697,25.98039215686275,1610612754,6,6,2025-03-02T22:13:19Z,200000,False,120.0,58.0,1,left,MISS A. Nesmith 13' turnaround fadeaway Shot,[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,Mid-Range,8-16 Right,13.35,Missed,,,,,turnaround fadeaway,,,,,,,,,,,,,,,,,,,
21,PT09M55.00S,2025-03-02T22:13:17.2Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,6,6,2025-03-02T22:13:19Z,210000,False,,,0,,C. White REBOUND (Off:0 Def:2),[1629632],1610612741.0,CHI,,White,C. White,Mid-Range,8-16 Right,,,,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,
22,PT09M43.00S,2025-03-02T22:13:30.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628380,94.56307490144546,55.392156862745104,1610612741,6,8,2025-03-02T22:13:33Z,220000,False,27.0,-1.0,1,right,Z. Collins Layup (4 PTS) (M. Buzelis 1 AST),"[1628380, 1641824]",1610612741.0,CHI,,Collins,Z. Collins,Restricted Area,0-8 Center,2.7,Made,4.0,M. Buzelis,1641824.0,1.0,,,,,,,,,,,,,,,,,,,,
24,PT09M32.00S,2025-03-02T22:13:45.8Z,1,REGULAR,foul,personal,['2freethrow'],1641824,,,1610612754,6,8,2025-03-02T22:13:50Z,240000,False,,,0,,M. Buzelis shooting personal FOUL (1 PF) (Siakam 2 FT),"[1641824, 1627783]",1610612741.0,CHI,203591.0,Buzelis,M. Buzelis,In The Paint (Non-RA),0-8 Center,,,,,,,shooting,,,,,,,,1.0,0.0,Siakam,1627783.0,,,,,,,,
26,PT09M32.00S,2025-03-02T22:14:11.9Z,1,REGULAR,freethrow,1 of 2,[],1627783,,,1610612754,7,8,2025-03-02T22:14:12Z,260000,False,,,0,,P. Siakam Free Throw 1 of 2 (1 PTS),[1627783],1610612754.0,IND,,Siakam,P. Siakam,,,,Made,1.0,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M32.00S,2025-03-02T22:14:11.9Z,1,REGULAR,freethrow,2 of 2,[],1627783,,,1610612754,7,8,2025-03-02T22:14:34Z,270000,False,,,0,,MISS P. Siakam Free Throw 2 of 2,[1627783],1610612754.0,IND,,Siakam,P. Siakam,,,,Missed,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M31.00S,2025-03-02T22:14:12.9Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,7,8,2025-03-02T22:14:36Z,280000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,Giddey,J. Giddey,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,
29,PT09M14.00S,2025-03-02T22:14:49.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631207,88.38699080157687,52.450980392156865,1610612741,7,8,2025-03-02T22:14:53Z,290000,False,12.0,57.0,1,right,MISS D. Terry turnaround Shot,[1631207],1610612741.0,CHI,,Terry,D. Terry,In The Paint (Non-RA),0-8 Center,5.8,Missed,,,,,turnaround,,,,,,,,,,,,,,,,,,,
30,PT09M12.00S,2025-03-02T22:14:51.7Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,7,8,2025-03-02T22:14:53Z,300000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,Haliburton,T. Haliburton,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,
31,PT09M06.00S,2025-03-02T22:14:57.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627783,6.652431011826544,57.35294117647059,1610612754,7,8,2025-03-02T22:15:04Z,310000,False,-37.0,10.0,1,left,MISS P. Siakam running finger roll Layup,[1627783],1610612754.0,IND,,Siakam,P. Siakam,Restricted Area,0-8 Center,3.81,Missed,,,,,running finger roll,,,,,,,,,,,,,,,,,,,
32,PT09M04.00S,2025-03-02T22:14:59.4Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612741,7,8,2025-03-02T22:15:04Z,320000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612741.0,CHI,,Collins,Z. Collins,Restricted Area,0-8 Center,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,
33,PT08M59.00S,2025-03-02T22:15:04.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629632,68.80749014454665,22.058823529411764,1610612741,7,8,2025-03-02T22:15:08Z,330000,False,-140.0,241.0,1,right,MISS C. White 27' running 3PT,[1629632],1610612741.0,CHI,,White,C. White,Above the Break 3,24+ Left Center,27.83,Missed,,,,,running,,,,,,,,,,,,,,,,,,,
34,PT08M55.00S,2025-03-02T22:15:08.2Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,7,8,2025-03-02T22:15:08Z,340000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,Siakam,P. Siakam,Above the Break 3,24+ Left Center,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,
35,PT08M45.00S,2025-03-02T22:15:17.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,6.389618922470433,47.05882352941176,1610612754,9,8,2025-03-02T22:15:22Z,350000,False,15.0,8.0,1,left,P. Siakam driving finger roll Layup (3 PTS) (A. Nembhard 2 AST),"[1627783, 1629614]",1610612754.0,IND,,Siakam,P. Siakam,Restricted Area,0-8 Center,1.65,Made,3.0,A. Nembhard,1629614.0,2.0,driving finger roll,,,,,,,,,,,,,,,,,,,
37,PT08M36.00S,2025-03-02T22:15:27.6Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612741,9,8,2025-03-02T22:15:30Z,370000,False,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 1630169]",1610612741.0,CHI,,Giddey,J. Giddey,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,Haliburton,1630169.0,,,,,,,,,,,,,,,,
38,PT08M36.00S,2025-03-02T22:15:27.6Z,1,REGULAR,steal,,[],1630169,,,1610612754,9,8,2025-03-02T22:15:29Z,380000,False,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,Haliburton,T. Haliburton,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M32.00S,2025-03-02T22:15:31.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627783,7.046649145860711,45.588235294117645,1610612754,11,8,2025-03-02T22:15:37Z,390000,False,22.0,14.0,1,left,P. Siakam running finger roll Layup (5 PTS) (T. Haliburton 2 AST),"[1627783, 1630169]",1610612754.0,IND,,Siakam,P. Siakam,Restricted Area,0-8 Center,2.6,Made,5.0,T. Haliburton,1630169.0,2.0,running finger roll,,,,,,,,,,,,,,,,,,,
41,PT08M13.00S,2025-03-02T22:15:50.2Z,1,REGULAR,3pt,Jump Shot,[],1641824,68.41327201051249,24.509803921568626,1610612741,11,11,2025-03-02T22:15:54Z,410000,False,-127.0,244.0,1,right,M. Buzelis 27' 3PT pullup (5 PTS) (Z. Collins 1 AST),"[1641824, 1628380]",1610612741.0,CHI,,Buzelis,M. Buzelis,Above the Break 3,24+ Left Center,27.57,Made,5.0,Z. Collins,1628380.0,1.0,pullup,,,,,,,,,,,,,,,,,,,
43,PT07M58.00S,2025-03-02T22:16:04.5Z,1,REGULAR,3pt,Jump Shot,[],1626167,30.962549277266753,64.95098039215686,1610612754,11,11,2025-03-02T22:16:10Z,430000,False,-75.0,239.0,1,left,MISS M. Turner 25' 3PT,[1626167],1610612754.0,IND,,Turner,M. Turner,Above the Break 3,24+ Center,25.0,Missed,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M54.00S,2025-03-02T22:16:08.5Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,11,11,2025-03-02T22:16:10Z,440000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,Buzelis,M. Buzelis,Above the Break 3,24+ Center,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,
45,PT07M36.00S,2025-03-02T22:16:30.4Z,1,REGULAR,foul,personal,['2freethrow'],1630169,,,1610612741,11,11,2025-03-02T22:16:35Z,450000,False,,,0,,T. Haliburton shooting personal FOUL (1 PF) (Giddey 2 FT),"[1630169, 1630581]",1610612754.0,IND,202056.0,Haliburton,T. Haliburton,Restricted Area,0-8 Center,,,,,,,shooting,,,,,,,,1.0,0.0,Giddey,1630581.0,,,,,,,,
47,PT07M36.00S,2025-03-02T22:16:54.1Z,1,REGULAR,freethrow,1 of 2,[],1630581,,,1610612741,11,12,2025-03-02T22:16:54Z,470000,False,,,0,,J. Giddey Free Throw 1 of 2 (1 PTS),[1630581],1610612741.0,CHI,,Giddey,J. Giddey,,,,Made,1.0,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M36.00S,2025-03-02T22:16:54.5Z,1,REGULAR,substitution,out,[],1629632,,,1610612741,11,12,2025-03-02T22:16:57Z,480000,False,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M36.00S,2025-03-02T22:16:54.5Z,1,REGULAR,substitution,in,[],1628975,,,1610612741,11,12,2025-03-02T22:16:57Z,490000,False,,,0,,SUB in: J. Carter,[1628975],1610612741.0,CHI,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M36.00S,2025-03-02T22:16:54.1Z,1,REGULAR,freethrow,2 of 2,[],1630581,,,1610612741,11,12,2025-03-02T22:17:14Z,500000,False,,,0,,MISS J. Giddey Free Throw 2 of 2,[1630581],1610612741.0,CHI,,Giddey,J. Giddey,,,,Missed,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M35.00S,2025-03-02T22:16:55.1Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,11,12,2025-03-02T22:17:14Z,510000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,,,,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,
52,PT07M27.00S,2025-03-02T22:17:21.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,15.982260183968464,46.32352941176471,1610612754,13,12,2025-03-02T22:17:25Z,520000,False,18.0,98.0,1,left,T. Haliburton 9' pullup Jump Shot (2 PTS),[1630169],1610612754.0,IND,,Haliburton,T. Haliburton,In The Paint (Non-RA),8-16 Center,9.94,Made,2.0,,,,pullup,,,,,,,,,,,,,,,,,,,
53,PT07M27.00S,2025-03-02T22:17:25.0Z,1,REGULAR,foul,personal,['1freethrow'],1631207,,,1610612754,13,12,2025-03-02T22:17:31Z,530000,False,,,0,,D. Terry shooting personal FOUL (1 PF) (Haliburton 1 FT),"[1631207, 1630169]",1610612741.0,CHI,202056.0,Terry,D. Terry,In The Paint (Non-RA),8-16 Center,,,,,,,shooting,,,,,,,,1.0,0.0,Haliburton,1630169.0,,,,,,,,
55,PT07M27.00S,2025-03-02T22:17:44.4Z,1,REGULAR,freethrow,1 of 1,[],1630169,,,1610612754,14,12,2025-03-02T22:17:44Z,550000,False,,,0,,T. Haliburton Free Throw 1 of 1 (3 PTS),[1630169],1610612754.0,IND,,Haliburton,T. Haliburton,,,,Made,3.0,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M16.00S,2025-03-02T22:18:00.6Z,1,REGULAR,foul,personal,[],1626167,,,1610612741,14,12,2025-03-02T22:18:08Z,560000,False,,,0,,M. Turner personal FOUL (1 PF),"[1626167, 1628380]",1610612754.0,IND,2005.0,Turner,M. Turner,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,1.0,0.0,Collins,1628380.0,,,,,,,,
58,PT07M06.00S,2025-03-02T22:18:30.4Z,1,REGULAR,foul,offensive,[],1641824,,,1610612741,14,12,2025-03-02T22:18:36Z,580000,False,,,0,,M. Buzelis charge offensive FOUL (2 PF),"[1641824, 1630174]",1610612741.0,CHI,203591.0,Buzelis,M. Buzelis,In The Paint (Non-RA),0-8 Center,,,,,,,charge,,,,,,,,2.0,0.0,Nesmith,1630174.0,,,,,,,,
60,PT07M06.00S,2025-03-02T22:18:30.4Z,1,REGULAR,turnover,offensive foul,[],1641824,,,1610612741,14,12,2025-03-02T22:18:30Z,600000,False,,,0,,M. Buzelis offensive foul TURNOVER (1 TO),[1641824],1610612741.0,CHI,203591.0,Buzelis,M. Buzelis,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
61,PT06M50.00S,2025-03-02T22:18:57.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626167,31.35676741130092,69.6078431372549,1610612754,17,12,2025-03-02T22:19:02Z,610000,False,-98.0,242.0,1,left,M. Turner 26' 3PT  (3 PTS) (T. Haliburton 3 AST),"[1626167, 1630169]",1610612754.0,IND,,Turner,M. Turner,Above the Break 3,24+ Left Center,26.14,Made,3.0,T. Haliburton,1630169.0,3.0,,,,,,,,,,,,,,,,,,,,
63,PT06M38.00S,2025-03-02T22:19:09.2Z,1,REGULAR,3pt,Jump Shot,[],1628975,93.51182654402102,3.1862745098039214,1610612741,17,12,2025-03-02T22:19:13Z,630000,False,-234.0,8.0,1,right,MISS J. Carter 3PT,[1628975],1610612741.0,CHI,,Carter,J. Carter,Left Corner 3,24+ Left,23.43,Missed,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M36.00S,2025-03-02T22:19:11.2Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,17,12,2025-03-02T22:19:13Z,640000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,Turner,M. Turner,Left Corner 3,24+ Left,,,,,,,,,,,63.0,1.0,1.0,0.0,,,,,,,,,,,,
65,PT06M31.00S,2025-03-02T22:19:17.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626167,34.641918528252305,53.18627450980392,1610612754,17,12,2025-03-02T22:19:22Z,650000,False,-16.0,273.0,1,left,MISS M. Turner 27' running 3PT,[1626167],1610612754.0,IND,,Turner,M. Turner,Above the Break 3,24+ Center,27.36,Missed,,,,,running,,,,,,,,,,,,,,,,,,,
66,PT06M27.00S,2025-03-02T22:19:21.4Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,17,12,2025-03-02T22:19:22Z,660000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:2),[1641824],1610612741.0,CHI,,Buzelis,M. Buzelis,Above the Break 3,24+ Center,,,,,,,,,,,65.0,2.0,2.0,0.0,,,,,,,,,,,,
67,PT06M14.00S,2025-03-02T22:19:33.0Z,1,REGULAR,2pt,Jump Shot,[],1628975,83.52496714848883,79.90196078431373,1610612741,17,12,2025-03-02T22:19:37Z,670000,False,150.0,102.0,1,right,MISS J. Carter 18' step back Shot,[1628975],1610612741.0,CHI,,Carter,J. Carter,Mid-Range,16-24 Right,18.12,Missed,,,,,step back,,,,,,,,,,,,,,,,,,,
68,PT06M12.00S,2025-03-02T22:19:35.0Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,17,12,2025-03-02T22:19:37Z,680000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:2),[1630169],1610612754.0,IND,,Haliburton,T. Haliburton,Mid-Range,16-24 Right,,,,,,,,,,,67.0,2.0,2.0,0.0,,,,,,,,,,,,
69,PT06M07.00S,2025-03-02T22:19:40.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630174,11.12023653088042,94.85294117647058,1610612754,17,12,2025-03-02T22:19:44Z,690000,False,-224.0,52.0,1,left,MISS A. Nesmith running 3PT,[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,Left Corner 3,24+ Left,23.02,Missed,,,,,running,,,,,,,,,,,,,,,,,,,
70,PT06M04.00S,2025-03-02T22:19:43.2Z,1,REGULAR,rebound,offensive,[],1630174,,,1610612754,17,12,2025-03-02T22:19:43Z,700000,False,,,0,,A. Nesmith REBOUND (Off:1 Def:1),[1630174],1610612754.0,IND,,Nesmith,A. Nesmith,Left Corner 3,24+ Left,,,,,,,,,,,69.0,2.0,1.0,1.0,,,,,,,,,,,,
71,PT06M01.00S,2025-03-02T22:19:46.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627783,15.588042049934298,46.568627450980394,1610612754,19,12,2025-03-02T22:19:50Z,710000,False,17.0,94.0,1,left,P. Siakam 9' floating Jump Shot (7 PTS) (A. Nesmith 1 AST),"[1627783, 1630174]",1610612754.0,IND,,Siakam,P. Siakam,In The Paint (Non-RA),8-16 Center,9.56,Made,7.0,A. Nesmith,1630174.0,1.0,floating,,,,,,,,,,,,,,,,,,,
73,PT06M00.00S,2025-03-02T22:19:50.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,19,12,2025-03-02T22:19:50Z,730000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M00.00S,2025-03-02T22:21:53.8Z,1,REGULAR,substitution,out,[],1626167,,,1610612741,19,12,2025-03-02T22:22:27Z,740000,False,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M00.00S,2025-03-02T22:21:53.8Z,1,REGULAR,substitution,out,[],1627783,,,1610612741,19,12,2025-03-02T22:22:27Z,750000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M00.00S,2025-03-02T22:21:53.8Z,1,REGULAR,substitution,out,[],1641824,,,1610612741,19,12,2025-03-02T22:22:27Z,760000,False,,,0,,SUB out: M. Buzelis,[1641824],1610612741.0,CHI,,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M00.00S,2025-03-02T22:21:53.8Z,1,REGULAR,substitution,out,[],1631207,,,1610612741,19,12,2025-03-02T22:22:27Z,770000,False,,,0,,SUB out: D. Terry,[1631207],1610612741.0,CHI,,Terry,D. Terry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M00.00S,2025-03-02T22:21:53.8Z,1,REGULAR,substitution,in,[],1630167,,,1610612741,19,12,2025-03-02T22:22:27Z,780000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M00.00S,2025-03-02T22:21:53.8Z,1,REGULAR,substitution,in,[],1628418,,,1610612741,19,12,2025-03-02T22:22:27Z,790000,False,,,0,,SUB in: T. Bryant,[1628418],1610612754.0,IND,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M00.00S,2025-03-02T22:21:53.8Z,1,REGULAR,substitution,in,[],1629659,,,1610612741,19,12,2025-03-02T22:22:27Z,800000,False,,,0,,SUB in: T. Horton-Tucker,[1629659],1610612741.0,CHI,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M00.00S,2025-03-02T22:21:53.8Z,1,REGULAR,substitution,in,[],1641763,,,1610612741,19,12,2025-03-02T22:22:27Z,810000,False,,,0,,SUB in: J. Phillips,[1641763],1610612741.0,CHI,,Phillips,J. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M50.00S,2025-03-02T22:23:02.2Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612741,19,12,2025-03-02T22:23:05Z,820000,False,,,0,,J. Giddey bad pass TURNOVER (2 TO),"[1630581, 1630169]",1610612741.0,CHI,,Giddey,J. Giddey,In The Paint (Non-RA),8-16 Left,,,,,,,,2.0,Haliburton,1630169.0,,,,,,,,,,,,,,,,
83,PT05M50.00S,2025-03-02T22:23:02.2Z,1,REGULAR,steal,,[],1630169,,,1610612754,19,12,2025-03-02T22:23:03Z,830000,False,,,0,,T. Haliburton STEAL (2 STL),[1630169],1610612754.0,IND,,Haliburton,T. Haliburton,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M45.00S,2025-03-02T22:23:06.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630174,6.915243101182654,54.90196078431373,1610612754,19,12,2025-03-02T22:23:11Z,840000,False,-25.0,13.0,1,left,MISS A. Nesmith running Layup - blocked,"[1630174, 1641763]",1610612754.0,IND,,Nesmith,A. Nesmith,Restricted Area,0-8 Center,2.75,Missed,,,,,running,,,,,,,,,,,,Phillips,1641763.0,,,,,,
