actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
18,PT10M55.00S,2025-02-01T22:14:13.9Z,1,REGULAR,block,,[],1631230,,,1610612754,0,2,2025-02-01T22:14:17Z,180000,False,,,0,,D. Barlow BLOCK (1 BLK),[1631230],1610612737.0,ATL,,,,Barlow,D. Barlow,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
19,PT10M53.00S,2025-02-01T22:14:15.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,0,2,2025-02-01T22:14:30Z,190000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Left Corner 3,24+ Left,,,17.0,,,,,,,,,,,,,,,,,
20,PT10M53.00S,2025-02-01T22:14:20.0Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612754,0,2,2025-02-01T22:14:33Z,200000,False,,,0,,IND shot clock Team TURNOVER,[],1610612754.0,IND,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1830.0,,,,,,,
22,PT10M40.00S,2025-02-01T22:14:47.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631230,15.193823915900131,59.31372549019608,1610612737,0,4,2025-02-01T22:16:08Z,220000,False,-47.0,90.0,1,left,D. Barlow 10' Jump Shot (2 PTS) (T. Young 1 AST),"[1631230, 1629027]",1610612737.0,ATL,,,,Barlow,D. Barlow,,,,,In The Paint (Non-RA),8-16 Center,10.16,Made,,,,,2.0,T. Young,1629027.0,1.0,,,,,,,,,,
24,PT10M29.00S,2025-02-01T22:14:58.3Z,1,REGULAR,2pt,Jump Shot,[],1630169,89.96386333771353,77.94117647058823,1610612754,2,4,2025-02-01T22:15:02Z,240000,False,140.0,42.0,1,right,T. Haliburton 14' pullup Jump Shot (2 PTS),[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Right,14.58,Made,,,,,2.0,,,,,,,,,,,,,
25,PT10M14.00S,2025-02-01T22:15:13.4Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,2,4,2025-02-01T22:15:16Z,250000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1630169]",1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,1.0,Haliburton,1630169.0,,,,
26,PT10M14.00S,2025-02-01T22:15:13.4Z,1,REGULAR,steal,,[],1630169,,,1610612754,2,4,2025-02-01T22:15:14Z,260000,False,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
27,PT10M10.00S,2025-02-01T22:15:17.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631097,92.32917214191852,47.794117647058826,1610612754,4,4,2025-02-01T22:15:22Z,270000,False,-11.0,20.0,1,right,B. Mathurin running alley-oop DUNK (2 PTS) (T. Haliburton 1 AST),"[1631097, 1630169]",1610612754.0,IND,running alley-oop,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,2.25,Made,,,,,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,
30,PT09M59.00S,2025-02-01T22:15:40.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,19.136005256241788,46.07843137254902,1610612737,4,6,2025-02-01T22:17:10Z,300000,False,20.0,127.0,1,left,T. Young 12' floating Jump Shot (2 PTS) (D. Daniels 1 AST),"[1629027, 1630700]",1610612737.0,ATL,floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,12.89,Made,,,,,2.0,D. Daniels,1630700.0,1.0,,,,,,,,,,
32,PT09M34.00S,2025-02-01T22:16:05.2Z,1,REGULAR,3pt,Jump Shot,[],1627783,67.09921156373193,59.31372549019608,1610612754,4,6,2025-02-01T22:16:09Z,320000,False,47.0,257.0,1,right,MISS P. Siakam 26' 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,26.1,Missed,,,,,,,,,,,,,,,,,,
33,PT09M30.00S,2025-02-01T22:16:09.2Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,4,6,2025-02-01T22:16:09Z,330000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT09M17.00S,2025-02-01T22:16:22.0Z,1,REGULAR,3pt,Jump Shot,[],1630700,27.414586070959263,79.41176470588235,1610612737,4,9,2025-02-01T22:16:26Z,340000,False,-147.0,205.0,1,left,D. Daniels 25' 3PT  (5 PTS) (T. Young 2 AST),"[1630700, 1629027]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,25.25,Made,,,,,5.0,T. Young,1629027.0,2.0,,,,,,,,,,
36,PT08M59.00S,2025-02-01T22:16:40.3Z,1,REGULAR,turnover,bad pass,[],1627783,,,1610612754,4,9,2025-02-01T22:16:43Z,360000,False,,,0,,P. Siakam bad pass TURNOVER (1 TO),"[1627783, 1630700]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,1.0,Daniels,1630700.0,,,,
37,PT08M59.00S,2025-02-01T22:16:40.3Z,1,REGULAR,steal,,[],1630700,,,1610612737,4,9,2025-02-01T22:16:42Z,370000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
38,PT08M54.00S,2025-02-01T22:16:47.1Z,1,REGULAR,turnover,out-of-bounds,[],1630700,,,1610612737,4,9,2025-02-01T22:16:52Z,380000,False,,,0,,D. Daniels bad pass out-of-bounds TURNOVER (1 TO),[1630700],1610612737.0,ATL,bad pass,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,1627534.0,1.0,,,,,,
40,PT08M33.00S,2025-02-01T22:17:28.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631097,93.24901445466492,51.71568627450981,1610612754,6,9,2025-02-01T22:17:31Z,400000,False,9.0,11.0,1,right,B. Mathurin driving finger roll Layup (4 PTS),[1631097],1610612754.0,IND,driving finger roll,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,1.4,Made,,,,,4.0,,,,,,,,,,,,,
41,PT08M17.00S,2025-02-01T22:17:43.8Z,1,REGULAR,3pt,Jump Shot,[],1631230,6.258212877792378,4.411764705882353,1610612737,6,9,2025-02-01T22:17:47Z,410000,False,228.0,6.0,1,left,MISS D. Barlow 3PT,[1631230],1610612737.0,ATL,,,,Barlow,D. Barlow,,,,,Right Corner 3,24+ Right,22.8,Missed,,,,,,,,,,,,,,,,,,
42,PT08M14.00S,2025-02-01T22:17:46.8Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,6,9,2025-02-01T22:17:47Z,420000,False,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Right Corner 3,24+ Right,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,
43,PT08M05.00S,2025-02-01T22:17:56.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629614,92.85479632063075,54.65686274509803,1610612754,8,9,2025-02-01T22:17:59Z,430000,False,23.0,15.0,1,right,A. Nembhard driving finger roll Layup (2 PTS) (M. Turner 1 AST),"[1629614, 1626167]",1610612754.0,IND,driving finger roll,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,2.75,Made,,,,,2.0,M. Turner,1626167.0,1.0,,,,,,,,,,
44,PT07M50.00S,2025-02-01T22:18:11.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,9.806176084099869,52.20588235294118,1610612737,8,9,2025-02-01T22:19:54Z,440000,False,-11.0,40.0,1,left,MISS D. Daniels driving Layup,[1630700],1610612737.0,ATL,driving,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,4.12,Missed,,,,,,,,,,,,,,,,,,
45,PT07M47.00S,2025-02-01T22:18:14.6Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,8,9,2025-02-01T22:18:14Z,450000,False,,,0,,M. Turner REBOUND (Off:0 Def:3),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,44.0,3.0,3.0,0.0,,,,,,,,,,,,,,
46,PT07M39.00S,2025-02-01T22:18:24.9Z,1,REGULAR,foul,personal,[],1630700,,,1610612754,8,9,2025-02-01T22:19:03Z,460000,False,,,0,,D. Daniels personal FOUL (1 PF),"[1630700, 1626167]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1830.0,,,,1.0,0.0,Turner,1626167.0
48,PT07M28.00S,2025-02-01T22:18:58.3Z,1,REGULAR,3pt,Jump Shot,[],1629614,74.58935611038108,7.598039215686274,1610612754,11,9,2025-02-01T22:19:01Z,480000,False,-212.0,186.0,1,right,A. Nembhard 28' 3PT  (5 PTS) (T. Haliburton 2 AST),"[1629614, 1630169]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Left Center,28.23,Made,,,,,5.0,T. Haliburton,1630169.0,2.0,,,,,,,,,,
50,PT07M17.00S,2025-02-01T22:19:09.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630168,11.777266754270697,47.549019607843135,1610612737,11,9,2025-02-01T22:19:16Z,500000,False,12.0,58.0,1,left,MISS O. Okongwu driving Hook,[1630168],1610612737.0,ATL,driving,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,5.95,Missed,,,,,,,,,,,,,,,,,,
51,PT07M14.00S,2025-02-01T22:19:12.3Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,11,9,2025-02-01T22:19:13Z,510000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,
52,PT07M10.00S,2025-02-01T22:19:16.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631097,85.3646517739816,96.56862745098039,1610612754,11,9,2025-02-01T22:19:22Z,520000,False,233.0,85.0,1,right,MISS B. Mathurin 24' running 3PT,[1631097],1610612754.0,IND,running,,,Mathurin,B. Mathurin,,,,,Right Corner 3,24+ Right,24.79,Missed,,,,,,,,,,,,,,,,,,
53,PT07M07.00S,2025-02-01T22:19:19.8Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,11,9,2025-02-01T22:19:22Z,530000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Right Corner 3,24+ Right,,,52.0,2.0,2.0,0.0,,,,,,,,,,,,,,
54,PT07M04.00S,2025-02-01T22:19:24.7Z,1,REGULAR,turnover,out-of-bounds,[],1630700,,,1610612737,11,9,2025-02-01T22:19:29Z,540000,False,,,0,,D. Daniels bad pass out-of-bounds TURNOVER (2 TO),[1630700],1610612737.0,ATL,bad pass,,,Daniels,D. Daniels,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1830.0,2.0,,,,,,
55,PT06M54.00S,2025-02-01T22:19:43.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630169,75.77201051248358,12.009803921568627,1610612754,14,9,2025-02-01T22:19:49Z,550000,False,-190.0,175.0,1,right,T. Haliburton 25' 3PT step back (5 PTS) (P. Siakam 1 AST),"[1630169, 1627783]",1610612754.0,IND,step back,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,25.84,Made,,,,,5.0,P. Siakam,1627783.0,1.0,,,,,,,,,,
57,PT06M42.00S,2025-02-01T22:19:57.3Z,1,REGULAR,foul,personal,[],1629614,,,1610612737,14,9,2025-02-01T22:20:05Z,570000,False,,,0,,A. Nembhard personal FOUL (1 PF),"[1629614, 1629027]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,2005.0,,,,1.0,0.0,Young,1629027.0
59,PT06M42.00S,2025-02-01T22:20:06.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,14,9,2025-02-01T22:20:06Z,590000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M42.00S,2025-02-01T22:22:19.9Z,1,REGULAR,substitution,out,[],1631097,,,1610612737,14,9,2025-02-01T22:23:01Z,600000,False,,,0,,SUB out: B. Mathurin,[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M42.00S,2025-02-01T22:22:19.9Z,1,REGULAR,substitution,out,[],1629614,,,1610612737,14,9,2025-02-01T22:23:01Z,610000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M42.00S,2025-02-01T22:22:19.9Z,1,REGULAR,substitution,out,[],1631230,,,1610612737,14,9,2025-02-01T22:23:01Z,620000,False,,,0,,SUB out: D. Barlow,[1631230],1610612737.0,ATL,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M42.00S,2025-02-01T22:22:19.9Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,14,9,2025-02-01T22:23:01Z,630000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M42.00S,2025-02-01T22:22:19.9Z,1,REGULAR,substitution,in,[],1630174,,,1610612737,14,9,2025-02-01T22:23:01Z,640000,False,,,0,,SUB in: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M42.00S,2025-02-01T22:22:19.9Z,1,REGULAR,substitution,in,[],1641767,,,1610612737,14,9,2025-02-01T22:23:01Z,650000,False,,,0,,SUB in: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M42.00S,2025-02-01T22:22:19.9Z,1,REGULAR,substitution,in,[],1629631,,,1610612737,14,9,2025-02-01T22:23:01Z,660000,False,,,0,,SUB in: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M42.00S,2025-02-01T22:22:19.9Z,1,REGULAR,substitution,in,[],1630811,,,1610612737,14,9,2025-02-01T22:23:01Z,670000,False,,,0,,SUB in: K. Wallace,[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M35.00S,2025-02-01T22:23:22.6Z,1,REGULAR,turnover,lost ball,[],1629631,,,1610612737,14,9,2025-02-01T22:23:27Z,680000,False,,,0,,D. Hunter lost ball TURNOVER (1 TO),"[1629631, 1627783]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1.0,Siakam,1627783.0,,,,
70,PT06M35.00S,2025-02-01T22:23:22.6Z,1,REGULAR,steal,,[],1627783,,,1610612754,14,9,2025-02-01T22:23:27Z,690000,False,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
71,PT06M30.00S,2025-02-01T22:23:27.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641767,92.46057818659659,54.65686274509803,1610612754,16,9,2025-02-01T22:23:31Z,700000,False,23.0,18.0,1,right,B. Sheppard running Layup (2 PTS) (P. Siakam 2 AST),"[1641767, 1627783]",1610612754.0,IND,running,,,Sheppard,B. Sheppard,,,,,Restricted Area,0-8 Center,2.97,Made,,,,,2.0,P. Siakam,1627783.0,2.0,,,,,,,,,,
73,PT06M13.00S,2025-02-01T22:23:44.5Z,1,REGULAR,3pt,Jump Shot,[],1630700,25.18068331143233,84.80392156862744,1610612737,16,12,2025-02-01T22:23:48Z,720000,False,-174.0,184.0,1,left,D. Daniels 25' 3PT  (8 PTS) (K. Wallace 1 AST),"[1630700, 1630811]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left Center,25.34,Made,,,,,8.0,K. Wallace,1630811.0,1.0,,,,,,,,,,
75,PT05M56.00S,2025-02-01T22:24:01.1Z,1,REGULAR,3pt,Jump Shot,[],1630174,69.46452036793693,22.058823529411764,1610612754,19,12,2025-02-01T22:24:06Z,740000,False,-140.0,235.0,1,right,A. Nesmith 27' 3PT  (3 PTS) (B. Sheppard 1 AST),"[1630174, 1641767]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,27.3,Made,,,,,3.0,B. Sheppard,1641767.0,1.0,,,,,,,,,,
77,PT05M41.00S,2025-02-01T22:24:17.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630168,7.178055190538765,51.470588235294116,1610612737,19,14,2025-02-01T22:25:05Z,760000,False,-7.0,15.0,1,left,O. Okongwu DUNK (2 PTS),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,1.67,Made,,,,,2.0,,,,,,,,,,,,,
78,PT05M31.00S,2025-02-01T22:24:28.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,90.88370565045992,44.36274509803921,1610612754,21,14,2025-02-01T22:24:31Z,770000,False,-28.0,33.0,1,right,M. Turner driving Layup (2 PTS) (T. Haliburton 3 AST),"[1626167, 1630169]",1610612754.0,IND,driving,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,4.36,Made,,,,,2.0,T. Haliburton,1630169.0,3.0,,,,,,,,,,
80,PT05M31.00S,2025-02-01T22:24:30.4Z,1,REGULAR,foul,personal,['1freethrow'],1630168,,,1610612754,21,14,2025-02-01T22:24:36Z,790000,False,,,0,,O. Okongwu shooting personal FOUL (1 PF) (Turner 1 FT),"[1630168, 1626167]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2005.0,,,,1.0,0.0,Turner,1626167.0
82,PT05M31.00S,2025-02-01T22:24:37.0Z,1,REGULAR,substitution,out,[],1630168,,,1610612754,21,14,2025-02-01T22:25:05Z,810000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M31.00S,2025-02-01T22:24:37.0Z,1,REGULAR,substitution,in,[],1626204,,,1610612754,21,14,2025-02-01T22:25:05Z,820000,False,,,0,,SUB in: L. Nance Jr.,[1626204],1610612737.0,ATL,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M31.00S,2025-02-01T22:25:01.1Z,1,REGULAR,freethrow,1 of 1,[],1626167,,,1610612754,22,14,2025-02-01T22:25:01Z,830000,False,,,0,,M. Turner Free Throw 1 of 1 (3 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
85,PT05M15.00S,2025-02-01T22:25:19.6Z,1,REGULAR,3pt,Jump Shot,[],1630811,6.783837056504599,95.83333333333334,1610612737,22,14,2025-02-01T22:25:24Z,840000,False,-229.0,11.0,1,left,MISS K. Wallace 3PT,[1630811],1610612737.0,ATL,,,,Wallace,K. Wallace,,,,,Left Corner 3,24+ Left,22.95,Missed,,,,,,,,,,,,,,,,,,
86,PT05M12.00S,2025-02-01T22:25:22.6Z,1,REGULAR,rebound,defensive,[],1641767,,,1610612754,22,14,2025-02-01T22:25:24Z,850000,False,,,0,,B. Sheppard REBOUND (Off:0 Def:1),[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Left Corner 3,24+ Left,,,85.0,1.0,1.0,0.0,,,,,,,,,,,,,,
87,PT05M05.00S,2025-02-01T22:25:29.6Z,1,REGULAR,3pt,Jump Shot,[],1630169,71.82982917214193,75.98039215686273,1610612754,25,14,2025-02-01T22:25:33Z,860000,False,130.0,212.0,1,right,T. Haliburton 24' 3PT pullup (8 PTS),[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,24.89,Made,,,,,8.0,,,,,,,,,,,,,
88,PT04M56.00S,2025-02-01T22:25:38.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642258,9.280551905387648,61.76470588235294,1610612737,25,14,2025-02-01T22:26:40Z,870000,False,-59.0,35.0,1,left,MISS Z. Risacher 6' driving Layup - blocked,"[1642258, 1630169]",1610612737.0,ATL,driving,,,Risacher,Z. Risacher,,,,,In The Paint (Non-RA),0-8 Center,6.83,Missed,,,,,,,,,Haliburton,1630169.0,,,,,,,,
89,PT04M56.00S,2025-02-01T22:25:38.4Z,1,REGULAR,block,,[],1630169,,,1610612737,25,14,2025-02-01T22:25:39Z,880000,False,,,0,,T. Haliburton BLOCK (1 BLK),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
90,PT04M52.00S,2025-02-01T22:25:42.4Z,1,REGULAR,rebound,offensive,[],1642258,,,1610612737,25,14,2025-02-01T22:25:42Z,890000,False,,,0,,Z. Risacher REBOUND (Off:1 Def:0),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,In The Paint (Non-RA),0-8 Center,,,88.0,1.0,0.0,1.0,,,,,,,,,,,,,,
