actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
30,PT09M47.00S,2024-12-08T22:14:06.8Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,0,5,2024-12-08T22:14:07Z,290000,False,,,0,,N. Richards REBOUND (Off:0 Def:3),[1630208],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Center,,,Richards,N. Richards,29.0,3.0,3.0,0.0,,,,,,,,,,,,,,
31,PT09M34.00S,2024-12-08T22:14:18.9Z,1,REGULAR,3pt,Jump Shot,[],1628998,33.590670170827856,43.627450980392155,1610612766,0,8,2024-12-08T22:14:22Z,300000,False,32.0,263.0,1,left,C. Martin 26' 3PT  (6 PTS) (J. Green 1 AST),"[1628998, 1630182]",1610612766.0,CHA,,,,,,,Above the Break 3,24+ Center,26.52,Made,Martin,C. Martin,,,,,6.0,J. Green,1630182.0,1.0,,,,,,,,,,
33,PT09M10.00S,2024-12-08T22:14:42.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,87.72996057818659,56.372549019607845,1610612754,0,8,2024-12-08T22:14:46Z,320000,False,32.0,63.0,1,right,MISS M. Turner 7' turnaround Shot,[1626167],1610612754.0,IND,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,7.04,Missed,Turner,M. Turner,,,,,,,,,,,,,,,,,,
34,PT09M07.00S,2024-12-08T22:14:45.3Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,0,8,2024-12-08T22:14:46Z,330000,False,,,0,,N. Richards REBOUND (Off:0 Def:4),[1630208],1610612766.0,CHA,,,,,,,In The Paint (Non-RA),0-8 Center,,,Richards,N. Richards,33.0,4.0,4.0,0.0,,,,,,,,,,,,,,
35,PT08M49.00S,2024-12-08T22:15:10.9Z,1,REGULAR,foul,personal,['2freethrow'],1631097,,,1610612766,0,8,2024-12-08T22:15:15Z,340000,False,,,0,,B. Mathurin shooting personal FOUL (1 PF) (Green 2 FT),"[1631097, 1630182]",1610612754.0,IND,shooting,,,,,,Restricted Area,0-8 Center,,,Mathurin,B. Mathurin,,,,,,,,,204059.0,1.0,0.0,Green,1630182.0,,,,,
37,PT08M49.00S,2024-12-08T22:15:31.0Z,1,REGULAR,freethrow,1 of 2,[],1630182,,,1610612766,0,8,2024-12-08T22:15:31Z,360000,False,,,0,,MISS J. Green Free Throw 1 of 2,[1630182],1610612766.0,CHA,,,,,,,,,,Missed,Green,J. Green,,,,,,,,,,,,,,,,,,
38,PT08M49.00S,2024-12-08T22:15:31.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,0,8,2024-12-08T22:15:31Z,370000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,
39,PT08M49.00S,2024-12-08T22:15:44.2Z,1,REGULAR,freethrow,2 of 2,[],1630182,,,1610612766,0,9,2024-12-08T22:15:44Z,380000,False,,,0,,J. Green Free Throw 2 of 2 (3 PTS),[1630182],1610612766.0,CHA,,,,,,,,,,Made,Green,J. Green,,,,,3.0,,,,,,,,,,,,,
41,PT08M38.00S,2024-12-08T22:16:17.6Z,1,REGULAR,3pt,Jump Shot,[],1626167,94.30026281208936,96.81372549019608,1610612754,3,9,2024-12-08T22:16:21Z,400000,False,234.0,1.0,1,right,M. Turner 3PT  (3 PTS) (T. Haliburton 1 AST),"[1626167, 1630169]",1610612754.0,IND,,,,,,,Right Corner 3,24+ Right,23.41,Made,Turner,M. Turner,,,,,3.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,
43,PT08M16.00S,2024-12-08T22:16:38.3Z,1,REGULAR,turnover,lost ball,[],1630208,,,1610612766,3,9,2024-12-08T22:16:41Z,420000,False,,,0,,N. Richards lost ball TURNOVER (1 TO),"[1630208, 1627783]",1610612766.0,CHA,,,,,,,Mid-Range,8-16 Right,,,Richards,N. Richards,,,,,,,,,,,,,,1.0,Siakam,1627783.0,,
44,PT08M16.00S,2024-12-08T22:16:38.3Z,1,REGULAR,steal,,[],1627783,,,1610612754,3,9,2024-12-08T22:16:39Z,430000,False,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612754.0,IND,,,,,,,Mid-Range,8-16 Right,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,
45,PT07M59.00S,2024-12-08T22:16:55.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626167,82.21090670170827,58.82352941176471,1610612754,3,9,2024-12-08T22:16:59Z,440000,False,44.0,115.0,1,right,MISS M. Turner 12' Jump Shot,[1626167],1610612754.0,IND,,,,,,,In The Paint (Non-RA),8-16 Center,12.29,Missed,Turner,M. Turner,,,,,,,,,,,,,,,,,,
46,PT07M56.00S,2024-12-08T22:16:58.8Z,1,REGULAR,rebound,defensive,[],1628998,,,1610612766,3,9,2024-12-08T22:16:59Z,450000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628998],1610612766.0,CHA,,,,,,,In The Paint (Non-RA),8-16 Center,,,Martin,C. Martin,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
47,PT07M46.00S,2024-12-08T22:17:10.2Z,1,REGULAR,turnover,out-of-bounds,[],203995,,,1610612766,3,9,2024-12-08T22:17:15Z,460000,False,,,0,,V. Micić bad pass out-of-bounds TURNOVER (1 TO),[203995],1610612766.0,CHA,bad pass,,,,,,In The Paint (Non-RA),0-8 Center,,,Micić,V. Micić,,,,,,,,,202053.0,,,,,1.0,,,,
48,PT07M33.00S,2024-12-08T22:17:34.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1631097,73.80091984231275,45.34313725490196,1610612754,5,9,2024-12-08T22:17:38Z,470000,False,-23.0,194.0,1,right,B. Mathurin 19' pullup Jump Shot (2 PTS),[1631097],1610612754.0,IND,pullup,,,,,,Mid-Range,16-24 Center,19.52,Made,Mathurin,B. Mathurin,,,,,2.0,,,,,,,,,,,,,
49,PT07M18.00S,2024-12-08T22:17:48.8Z,1,REGULAR,2pt,Jump Shot,[],1628998,23.866622864651774,63.48039215686274,1610612766,5,9,2024-12-08T22:17:52Z,480000,False,-67.0,172.0,1,left,MISS C. Martin 18' step back Shot,[1628998],1610612766.0,CHA,step back,,,,,,Mid-Range,16-24 Left Center,18.45,Missed,Martin,C. Martin,,,,,,,,,,,,,,,,,,
50,PT07M16.00S,2024-12-08T22:17:50.8Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,5,9,2024-12-08T22:17:52Z,490000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:1),[1631097],1610612754.0,IND,,,,,,,Mid-Range,16-24 Left Center,,,Mathurin,B. Mathurin,49.0,1.0,1.0,0.0,,,,,,,,,,,,,,
51,PT07M05.00S,2024-12-08T22:18:01.9Z,1,REGULAR,turnover,bad pass,[],1626167,,,1610612754,5,9,2024-12-08T22:18:06Z,500000,False,,,0,,M. Turner bad pass TURNOVER (1 TO),"[1626167, 1630182]",1610612754.0,IND,,,,,,,Restricted Area,0-8 Center,,,Turner,M. Turner,,,,,,,,,,,,,,1.0,Green,1630182.0,,
52,PT07M05.00S,2024-12-08T22:18:01.9Z,1,REGULAR,steal,,[],1630182,,,1610612766,5,9,2024-12-08T22:18:38Z,510000,False,,,0,,J. Green STEAL (1 STL),[1630182],1610612766.0,CHA,,,,,,,Restricted Area,0-8 Center,,,Green,J. Green,,,,,,,,,,,,,,,,,,
53,PT06M50.00S,2024-12-08T22:18:19.0Z,1,REGULAR,foul,offensive,[],1641706,,,1610612766,5,9,2024-12-08T22:18:24Z,520000,False,,,0,,B. Miller offensive FOUL (1 PF),"[1641706, 1630169]",1610612766.0,CHA,,,,,,,Mid-Range,8-16 Left,,,Miller,B. Miller,,,,,,,,,202053.0,1.0,0.0,Haliburton,1630169.0,,,,,
55,PT06M50.00S,2024-12-08T22:18:19.0Z,1,REGULAR,turnover,offensive foul,[],1641706,,,1610612766,5,9,2024-12-08T22:18:19Z,540000,False,,,0,,B. Miller offensive foul TURNOVER (1 TO),[1641706],1610612766.0,CHA,,,,,,,Mid-Range,8-16 Left,,,Miller,B. Miller,,,,,,,,,202053.0,,,,,1.0,,,,
56,PT06M50.00S,2024-12-08T22:18:26.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,5,9,2024-12-08T22:18:28Z,550000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M50.00S,2024-12-08T22:20:45.8Z,1,REGULAR,substitution,out,[],1630182,,,1610612754,5,9,2024-12-08T22:21:17Z,560000,False,,,0,,SUB out: J. Green,[1630182],1610612766.0,CHA,,,,,,,,,,,Green,J. Green,,,,,,,,,,,,,,,,,,
58,PT06M50.00S,2024-12-08T22:20:45.8Z,1,REGULAR,substitution,out,[],203995,,,1610612754,5,9,2024-12-08T22:21:17Z,570000,False,,,0,,SUB out: V. Micić,[203995],1610612766.0,CHA,,,,,,,,,,,Micić,V. Micić,,,,,,,,,,,,,,,,,,
59,PT06M50.00S,2024-12-08T22:20:45.8Z,1,REGULAR,substitution,out,[],1630208,,,1610612754,5,9,2024-12-08T22:21:17Z,580000,False,,,0,,SUB out: N. Richards,[1630208],1610612766.0,CHA,,,,,,,,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,
60,PT06M50.00S,2024-12-08T22:20:45.8Z,1,REGULAR,substitution,in,[],201959,,,1610612754,5,9,2024-12-08T22:21:17Z,590000,False,,,0,,SUB in: T. Gibson,[201959],1610612766.0,CHA,,,,,,,,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,
61,PT06M50.00S,2024-12-08T22:20:45.8Z,1,REGULAR,substitution,in,[],1642354,,,1610612754,5,9,2024-12-08T22:21:17Z,600000,False,,,0,,SUB in: K. Simpson,[1642354],1610612766.0,CHA,,,,,,,,,,,Simpson,K. Simpson,,,,,,,,,,,,,,,,,,
62,PT06M50.00S,2024-12-08T22:20:45.8Z,1,REGULAR,substitution,in,[],1641733,,,1610612754,5,9,2024-12-08T22:21:17Z,610000,False,,,0,,SUB in: N. Smith Jr.,[1641733],1610612766.0,CHA,,,,,,,,,,,Smith Jr.,N. Smith Jr.,,,,,,,,,,,,,,,,,,
63,PT06M30.00S,2024-12-08T22:21:46.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627783,66.04796320630749,60.78431372549019,1610612754,5,9,2024-12-08T22:21:50Z,620000,False,54.0,267.0,1,right,MISS P. Siakam 27' 3PT,[1627783],1610612754.0,IND,,,,,,,Above the Break 3,24+ Center,27.2,Missed,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,
64,PT06M26.00S,2024-12-08T22:21:50.3Z,1,REGULAR,rebound,defensive,[],201959,,,1610612766,5,9,2024-12-08T22:21:50Z,630000,False,,,0,,T. Gibson REBOUND (Off:0 Def:1),[201959],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Center,,,Gibson,T. Gibson,63.0,1.0,1.0,0.0,,,,,,,,,,,,,,
65,PT06M18.00S,2024-12-08T22:21:59.3Z,1,REGULAR,turnover,double dribble,[],1641706,,,1610612766,5,9,2024-12-08T22:22:12Z,640000,False,,,0,,B. Miller double dribble TURNOVER (2 TO),[1641706],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Center,,,Miller,B. Miller,,,,,,,,,202053.0,,,,,2.0,,,,
66,PT06M09.00S,2024-12-08T22:22:25.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629614,91.27792378449409,55.88235294117647,1610612754,7,9,2024-12-08T22:23:07Z,650000,False,29.0,29.0,1,right,A. Nembhard driving Layup (2 PTS),[1629614],1610612754.0,IND,driving,,,,,,Restricted Area,0-8 Center,4.16,Made,Nembhard,A. Nembhard,,,,,2.0,,,,,,,,,,,,,
67,PT05M49.00S,2024-12-08T22:22:45.4Z,1,REGULAR,2pt,Jump Shot,[],201959,6.783837056504599,73.0392156862745,1610612766,7,9,2024-12-08T22:22:49Z,660000,False,-115.0,11.0,1,left,MISS T. Gibson 11' Jump Shot,[201959],1610612766.0,CHA,,,,,,,Mid-Range,8-16 Left,11.58,Missed,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,
68,PT05M46.00S,2024-12-08T22:22:48.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,7,9,2024-12-08T22:22:49Z,670000,False,,,0,,P. Siakam REBOUND (Off:0 Def:3),[1627783],1610612754.0,IND,,,,,,,Mid-Range,8-16 Left,,,Siakam,P. Siakam,67.0,3.0,3.0,0.0,,,,,,,,,,,,,,
69,PT05M45.00S,2024-12-08T22:22:49.6Z,1,REGULAR,turnover,lost ball,[],1627783,,,1610612754,7,9,2024-12-08T22:22:52Z,680000,False,,,0,,P. Siakam lost ball TURNOVER (1 TO),"[1627783, 1641733]",1610612754.0,IND,,,,,,,Above the Break 3,24+ Center,,,Siakam,P. Siakam,,,,,,,,,,,,,,1.0,Smith Jr.,1641733.0,,
70,PT05M45.00S,2024-12-08T22:22:49.6Z,1,REGULAR,steal,,[],1641733,,,1610612766,7,9,2024-12-08T22:22:51Z,690000,False,,,0,,N. Smith Jr. STEAL (1 STL),[1641733],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Center,,,Smith Jr.,N. Smith Jr.,,,,,,,,,,,,,,,,,,
71,PT05M33.00S,2024-12-08T22:23:01.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201959,5.601182654402102,46.81372549019608,1610612766,7,11,2024-12-08T22:23:07Z,700000,False,16.0,0.0,1,left,T. Gibson reverse Layup (2 PTS) (B. Miller 1 AST),"[201959, 1641706]",1610612766.0,CHA,reverse,,,,,,Restricted Area,0-8 Center,1.59,Made,Gibson,T. Gibson,,,,,2.0,B. Miller,1641706.0,1.0,,,,,,,,,,
73,PT05M33.00S,2024-12-08T22:23:04.4Z,1,REGULAR,foul,personal,['1freethrow'],1626167,,,1610612766,7,11,2024-12-08T22:23:13Z,720000,False,,,0,,M. Turner shooting personal FOUL (1 PF) (Gibson 1 FT),"[1626167, 201959]",1610612754.0,IND,shooting,,,,,,Restricted Area,0-8 Center,,,Turner,M. Turner,,,,,,,,,204059.0,1.0,0.0,Gibson,201959.0,,,,,
75,PT05M33.00S,2024-12-08T22:23:14.5Z,1,REGULAR,substitution,out,[],1627783,,,1610612766,7,11,2024-12-08T22:24:04Z,740000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,,,,,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,
76,PT05M33.00S,2024-12-08T22:23:14.5Z,1,REGULAR,substitution,out,[],1628998,,,1610612766,7,11,2024-12-08T22:24:04Z,750000,False,,,0,,SUB out: C. Martin,[1628998],1610612766.0,CHA,,,,,,,,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,
77,PT05M33.00S,2024-12-08T22:23:14.5Z,1,REGULAR,substitution,in,[],1630167,,,1610612766,7,11,2024-12-08T22:24:04Z,760000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,,,,,,,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,
78,PT05M33.00S,2024-12-08T22:23:14.5Z,1,REGULAR,substitution,in,[],1629610,,,1610612766,7,11,2024-12-08T22:24:04Z,770000,False,,,0,,SUB in: D. Jeffries,[1629610],1610612766.0,CHA,,,,,,,,,,,Jeffries,D. Jeffries,,,,,,,,,,,,,,,,,,
79,PT05M33.00S,2024-12-08T22:23:41.6Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],201959,,,1610612766,7,12,2024-12-08T22:23:41Z,780000,False,,,0,,T. Gibson Free Throw 1 of 1 (3 PTS),[201959],1610612766.0,CHA,,,,,,,,,,Made,Gibson,T. Gibson,,,,,3.0,,,,,,,,,,,,,
80,PT05M25.00S,2024-12-08T22:23:51.2Z,1,REGULAR,3pt,Jump Shot,[],1626167,65.78515111695138,54.65686274509803,1610612754,10,12,2024-12-08T22:23:55Z,790000,False,23.0,269.0,1,right,M. Turner 27' 3PT  (6 PTS) (T. Haliburton 2 AST),"[1626167, 1630169]",1610612754.0,IND,,,,,,,Above the Break 3,24+ Center,27.01,Made,Turner,M. Turner,,,,,6.0,T. Haliburton,1630169.0,2.0,,,,,,,,,,
82,PT05M16.00S,2024-12-08T22:24:00.4Z,1,REGULAR,3pt,Jump Shot,[],1641733,31.61957950065703,50.73529411764706,1610612766,10,12,2024-12-08T22:26:18Z,810000,False,-4.0,245.0,1,left,MISS N. Smith Jr. 24' 3PT,[1641733],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Center,24.47,Missed,Smith Jr.,N. Smith Jr.,,,,,,,,,,,,,,,,,,
83,PT05M13.00S,2024-12-08T22:24:03.4Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,10,12,2024-12-08T22:25:58Z,820000,False,,,0,,A. Nembhard REBOUND (Off:1 Def:1),[1629614],1610612754.0,IND,,,,,,,Above the Break 3,24+ Center,,,Nembhard,A. Nembhard,82.0,2.0,1.0,1.0,,,,,,,,,,,,,,
85,PT05M11.00S,2024-12-08T22:24:09.4Z,1,REGULAR,substitution,out,[],1629614,,,1610612754,10,12,2024-12-08T22:24:18Z,840000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,,,,,,,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,
86,PT05M11.00S,2024-12-08T22:24:09.4Z,1,REGULAR,substitution,in,[],204456,,,1610612754,10,12,2024-12-08T22:24:18Z,850000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,,,,,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,
87,PT05M04.00S,2024-12-08T22:24:29.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204456,93.64323258869908,50.245098039215684,1610612754,12,12,2024-12-08T22:24:32Z,860000,False,1.0,7.0,1,right,T. McConnell driving reverse Layup (2 PTS),[204456],1610612754.0,IND,driving reverse,,,,,,Restricted Area,0-8 Center,0.74,Made,McConnell,T. McConnell,,,,,2.0,,,,,,,,,,,,,
88,PT05M03.00S,2024-12-08T22:24:32.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,12,12,2024-12-08T22:24:32Z,870000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
