actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
73,PT06M15.00S,2024-11-26T00:21:44.7Z,1,REGULAR,substitution,out,[],1626167,,,1610612740,18,8,2024-11-26T00:22:06Z,730000,False,,,0,,SUB out: M. Turner,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M15.00S,2024-11-26T00:21:44.7Z,1,REGULAR,substitution,out,[],203468,,,1610612740,18,8,2024-11-26T00:22:06Z,740000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M15.00S,2024-11-26T00:21:44.7Z,1,REGULAR,substitution,out,[],1630530,,,1610612740,18,8,2024-11-26T00:22:06Z,750000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M15.00S,2024-11-26T00:21:44.7Z,1,REGULAR,substitution,in,[],1629650,,,1610612740,18,8,2024-11-26T00:22:06Z,760000,False,,,0,,SUB in: M. Brown,[1629650],1610612754.0,IND,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M15.00S,2024-11-26T00:21:44.7Z,1,REGULAR,substitution,in,[],1641716,,,1610612740,18,8,2024-11-26T00:22:06Z,770000,False,,,0,,SUB in: J. Walker,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M15.00S,2024-11-26T00:21:44.7Z,1,REGULAR,substitution,in,[],1641722,,,1610612740,18,8,2024-11-26T00:22:06Z,780000,False,,,0,,SUB in: J. Hawkins,[1641722],1610612740.0,NOP,,,,Hawkins,J. Hawkins,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M15.00S,2024-11-26T00:21:44.7Z,1,REGULAR,substitution,in,[],1630526,,,1610612740,18,8,2024-11-26T00:22:06Z,790000,False,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M03.00S,2024-11-26T00:22:31.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628464,80.3712220762155,52.69607843137255,1610612740,18,10,2024-11-26T00:22:38Z,800000,False,13.0,132.0,1,right,D. Theis 13' Jump Shot (4 PTS) (B. Boston Jr. 1 AST),"[1628464, 1630527]",1610612740.0,NOP,,,,Theis,D. Theis,,,,,In The Paint (Non-RA),8-16 Center,13.27,Made,,,4.0,B. Boston Jr.,1630527.0,1.0,,,,,,,,,,,,
82,PT05M49.00S,2024-11-26T00:22:45.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641716,6.652431011826544,49.50980392156863,1610612754,20,10,2024-11-26T00:22:49Z,820000,False,2.0,10.0,1,left,J. Walker driving DUNK (2 PTS),[1641716],1610612754.0,IND,driving,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,1.03,Made,,,2.0,,,,,,,,,,,,,,,
84,PT05M36.00S,2024-11-26T00:23:07.5Z,1,REGULAR,3pt,Jump Shot,[],1641722,70.90998685939553,81.37254901960785,1610612740,20,10,2024-11-26T00:23:11Z,840000,False,157.0,221.0,1,right,MISS J. Hawkins 27' pullup 3PT,[1641722],1610612740.0,NOP,pullup,,,Hawkins,J. Hawkins,,,,,Above the Break 3,24+ Right Center,27.1,Missed,,,,,,,,,,,,,,,,,,
85,PT05M33.00S,2024-11-26T00:23:10.5Z,1,REGULAR,rebound,defensive,[],1631245,,,1610612754,20,10,2024-11-26T00:23:11Z,850000,False,,,0,,Q. Jackson REBOUND (Off:0 Def:1),[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,Above the Break 3,24+ Right Center,,,84.0,,,,,,,,,,,,,1.0,1.0,0.0,,
86,PT05M22.00S,2024-11-26T00:23:20.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629650,8.360709592641262,50.245098039215684,1610612754,22,10,2024-11-26T00:23:24Z,860000,False,-1.0,26.0,1,left,M. Brown DUNK (2 PTS) (T. Haliburton 2 AST),"[1629650, 1630169]",1610612754.0,IND,,,,Brown,M. Brown,,,,,Restricted Area,0-8 Center,2.61,Made,,,2.0,T. Haliburton,1630169.0,2.0,,,,,,,,,,,,
88,PT05M12.00S,2024-11-26T00:23:30.3Z,1,REGULAR,3pt,Jump Shot,[],1628464,68.41327201051249,20.833333333333336,1610612740,22,10,2024-11-26T00:23:35Z,880000,False,-146.0,244.0,1,right,MISS D. Theis 28' 3PT,[1628464],1610612740.0,NOP,,,,Theis,D. Theis,,,,,Above the Break 3,24+ Left Center,28.46,Missed,,,,,,,,,,,,,,,,,,
89,PT05M09.00S,2024-11-26T00:23:33.3Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,22,10,2024-11-26T00:23:35Z,890000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,,,88.0,,,,,,,,,,,,,1.0,1.0,0.0,,
90,PT05M00.00S,2024-11-26T00:23:43.3Z,1,REGULAR,turnover,bad pass,[],1629650,,,1610612754,22,10,2024-11-26T00:23:46Z,900000,False,,,0,,M. Brown bad pass TURNOVER (1 TO),"[1629650, 1629750]",1610612754.0,IND,,,,Brown,M. Brown,,,,,Mid-Range,8-16 Right,,,,,,,,,1.0,Green,1629750.0,,,,,,,,,
91,PT05M00.00S,2024-11-26T00:23:43.3Z,1,REGULAR,steal,,[],1629750,,,1610612740,22,10,2024-11-26T00:23:45Z,910000,False,,,0,,J. Green STEAL (2 STL),[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
