actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
169,PT11M08.00S,2025-12-05T00:41:25.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641774,89.43823915900131,50.73529411764706,1610612764,30,34,2025-12-05T00:41:31Z,1630000,False,4.0,47.0,1,right,T. Vukcevic driving floating Jump Shot (4 PTS) (K. George 1 AST),"[1641774, 1642273]",1610612764.0,WAS,driving floating,,,Vukcevic,T. Vukcevic,,,,,In The Paint (Non-RA),0-8 Center,4.69,Made,4.0,K. George,1642273.0,1.0,,,,,,,,,,,,,,
170,PT10M51.00S,2025-12-05T00:41:42.3Z,2,REGULAR,3pt,Jump Shot,[],1630202,33.459264126149804,56.86274509803921,1610612738,30,37,2025-12-05T00:41:46Z,1640000,False,-34.0,262.0,1,left,P. Pritchard 26' 3PT pullup (6 PTS) (J. Minott 1 AST),"[1630202, 1631169]",1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,26.42,Made,6.0,J. Minott,1631169.0,1.0,,,,,,,,,,,,,,
171,PT10M39.00S,2025-12-05T00:41:56.9Z,2,REGULAR,foul,personal,['2freethrow'],1642864,,,1610612764,30,37,2025-12-05T00:42:02Z,1650000,False,,,0,,H. González shooting personal FOUL (2 PF) (Vukcevic 2 FT),"[1642864, 1641774]",1610612738.0,BOS,shooting,,,González,H. González,,,,,Mid-Range,16-24 Center,,,,,,,,1628487.0,,,,,2.0,0.0,Vukcevic,1641774.0,,,,
173,PT10M39.00S,2025-12-05T00:42:19.6Z,2,REGULAR,freethrow,1 of 2,[],1641774,,,1610612764,31,37,2025-12-05T00:42:19Z,1670000,False,,,0,,T. Vukcevic Free Throw 1 of 2 (5 PTS),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
174,PT10M39.00S,2025-12-05T00:42:20.1Z,2,REGULAR,substitution,out,[],1642864,,,1610612764,31,37,2025-12-05T00:42:24Z,1680000,False,,,0,,SUB out: H. González,[1642864],1610612738.0,BOS,,,,González,H. González,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT10M39.00S,2025-12-05T00:42:20.1Z,2,REGULAR,substitution,in,[],1641775,,,1610612764,31,37,2025-12-05T00:42:24Z,1690000,False,,,0,,SUB in: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT10M39.00S,2025-12-05T00:42:38.6Z,2,REGULAR,freethrow,2 of 2,[],1641774,,,1610612764,32,37,2025-12-05T00:42:38Z,1700000,False,,,0,,T. Vukcevic Free Throw 2 of 2 (6 PTS),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
178,PT10M26.00S,2025-12-05T00:42:52.5Z,2,REGULAR,3pt,Jump Shot,[],1631169,4.155716162943495,96.32352941176471,1610612738,32,37,2025-12-05T00:42:56Z,1710000,False,-232.0,-13.0,1,left,MISS J. Minott 3PT,[1631169],1610612738.0,BOS,,,,Minott,J. Minott,,,,,Left Corner 3,24+ Left,23.2,Missed,,,,,,,,,,,,,,,,,,
179,PT10M24.00S,2025-12-05T00:42:54.5Z,2,REGULAR,rebound,defensive,[],1641774,,,1610612764,32,37,2025-12-05T00:42:56Z,1720000,False,,,0,,T. Vukcevic REBOUND (Off:1 Def:2),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,Left Corner 3,24+ Left,,,,,,,178.0,,,3.0,2.0,1.0,,,,,,,,
180,PT10M20.00S,2025-12-05T00:43:00.7Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1642860,89.83245729303549,59.80392156862745,1610612764,32,37,2025-12-05T00:44:23Z,1730000,False,49.0,43.0,1,right,MISS W. Riley 6' running Layup - blocked,"[1642860, 1641775]",1610612764.0,WAS,running,,,Riley,W. Riley,,,,,In The Paint (Non-RA),0-8 Center,6.53,Missed,,,,,,,,,,,,,,,,,Walsh,1641775.0
181,PT10M20.00S,2025-12-05T00:43:00.7Z,2,REGULAR,block,,[],1641775,,,1610612764,32,37,2025-12-05T00:43:02Z,1740000,False,,,0,,J. Walsh BLOCK (1 BLK),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
182,PT10M18.00S,2025-12-05T00:43:02.7Z,2,REGULAR,rebound,defensive,[],1629014,,,1610612738,32,37,2025-12-05T00:44:23Z,1750000,False,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612738.0,BOS,,,,Simons,A. Simons,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,180.0,,,1.0,1.0,0.0,,,,,,,,
183,PT10M12.00S,2025-12-05T00:43:09.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641775,6.258212877792378,54.166666666666664,1610612738,32,39,2025-12-05T00:43:14Z,1760000,False,-21.0,6.0,1,left,J. Walsh driving Layup (4 PTS) (A. Simons 2 AST),"[1641775, 1629014]",1610612738.0,BOS,driving,,,Walsh,J. Walsh,,,,,Restricted Area,0-8 Center,2.17,Made,4.0,A. Simons,1629014.0,2.0,,,,,,,,,,,,,,
185,PT10M12.00S,2025-12-05T00:43:11.4Z,2,REGULAR,foul,personal,['1freethrow'],1641715,,,1610612738,32,39,2025-12-05T00:43:18Z,1780000,False,,,0,,C. Whitmore shooting personal FOUL (1 PF) (Walsh 1 FT),"[1641715, 1641775]",1610612764.0,WAS,shooting,,,Whitmore,C. Whitmore,,,,,Restricted Area,0-8 Center,,,,,,,,1628487.0,,,,,1.0,0.0,Walsh,1641775.0,,,,
188,PT10M12.00S,2025-12-05T00:43:35.8Z,2,REGULAR,freethrow,1 of 1,[],1641775,,,1610612738,32,40,2025-12-05T00:43:35Z,1800000,False,,,0,,J. Walsh Free Throw 1 of 1 (5 PTS),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
189,PT09M56.00S,2025-12-05T00:43:53.9Z,2,REGULAR,2pt,Jump Shot,[],1642273,93.51182654402102,81.37254901960785,1610612764,34,40,2025-12-05T00:43:58Z,1810000,False,157.0,8.0,1,right,K. George 15' step back Jump Shot (10 PTS) (C. Whitmore 1 AST),"[1642273, 1641715]",1610612764.0,WAS,step back,,,George,K. George,,,,,Mid-Range,8-16 Right,15.71,Made,10.0,C. Whitmore,1641715.0,1.0,,,,,,,,,,,,,,
191,PT09M31.00S,2025-12-05T00:44:17.1Z,2,REGULAR,3pt,Jump Shot,[],1630202,35.56176084099869,55.392156862745104,1610612738,34,43,2025-12-05T00:44:23Z,1830000,False,-27.0,282.0,1,left,P. Pritchard 28' 3PT  (9 PTS) (A. Simons 3 AST),"[1630202, 1629014]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,28.31,Made,9.0,A. Simons,1629014.0,3.0,,,,,,,,,,,,,,
193,PT09M18.00S,2025-12-05T00:44:30.2Z,2,REGULAR,3pt,Jump Shot,[],1641715,86.02168199737189,4.411764705882353,1610612764,34,43,2025-12-05T00:44:34Z,1850000,False,-228.0,79.0,1,right,MISS C. Whitmore 24' pullup 3PT,[1641715],1610612764.0,WAS,pullup,,,Whitmore,C. Whitmore,,,,,Left Corner 3,24+ Left,24.12,Missed,,,,,,,,,,,,,,,,,,
194,PT09M16.00S,2025-12-05T00:44:32.2Z,2,REGULAR,rebound,defensive,[],1629014,,,1610612738,34,43,2025-12-05T00:44:34Z,1860000,False,,,0,,A. Simons REBOUND (Off:0 Def:2),[1629014],1610612738.0,BOS,,,,Simons,A. Simons,,,,,Left Corner 3,24+ Left,,,,,,,193.0,,,2.0,2.0,0.0,,,,,,,,
195,PT09M09.00S,2025-12-05T00:44:40.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,5.863994743758213,38.48039215686275,1610612738,34,43,2025-12-05T00:46:17Z,1870000,False,58.0,3.0,1,left,MISS P. Pritchard driving Layup - blocked,"[1630202, 1641715]",1610612738.0,BOS,driving,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),0-8 Center,5.77,Missed,,,,,,,,,,,,,,,,,Whitmore,1641715.0
196,PT09M09.00S,2025-12-05T00:44:40.6Z,2,REGULAR,block,,[],1641715,,,1610612738,34,43,2025-12-05T00:44:42Z,1880000,False,,,0,,C. Whitmore BLOCK (1 BLK),[1641715],1610612764.0,WAS,,,,Whitmore,C. Whitmore,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
197,PT09M06.00S,2025-12-05T00:44:43.6Z,2,REGULAR,rebound,offensive,[],1630202,,,1610612738,34,43,2025-12-05T00:44:45Z,1890000,False,,,0,,P. Pritchard REBOUND (Off:2 Def:0),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,195.0,,,2.0,0.0,2.0,,,,,,,,
198,PT09M02.00S,2025-12-05T00:44:48.8Z,2,REGULAR,foul,personal,['2freethrow'],1641774,,,1610612738,34,43,2025-12-05T00:44:53Z,1900000,False,,,0,,T. Vukcevic shooting personal FOUL (1 PF) (Walsh 2 FT),"[1641774, 1641775]",1610612764.0,WAS,shooting,,,Vukcevic,T. Vukcevic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1148.0,,,,,1.0,0.0,Walsh,1641775.0,,,,
200,PT09M02.00S,2025-12-05T00:45:13.4Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1641775,,,1610612738,34,43,2025-12-05T00:45:13Z,1920000,False,,,0,,MISS J. Walsh Free Throw 1 of 2,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
201,PT09M02.00S,2025-12-05T00:45:13.4Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,34,43,2025-12-05T00:45:13Z,1930000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,
202,PT09M02.00S,2025-12-05T00:45:14.0Z,2,REGULAR,substitution,out,[],1641715,,,1610612738,34,43,2025-12-05T00:45:19Z,1940000,False,,,0,,SUB out: C. Whitmore,[1641715],1610612764.0,WAS,,,,Whitmore,C. Whitmore,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT09M02.00S,2025-12-05T00:45:14.0Z,2,REGULAR,substitution,out,[],1642267,,,1610612738,34,43,2025-12-05T00:45:19Z,1950000,False,,,0,,SUB out: B. Carrington,[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT09M02.00S,2025-12-05T00:45:14.0Z,2,REGULAR,substitution,in,[],1630551,,,1610612738,34,43,2025-12-05T00:45:19Z,1960000,False,,,0,,SUB in: J. Champagnie,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT09M02.00S,2025-12-05T00:45:14.0Z,2,REGULAR,substitution,in,[],203468,,,1610612738,34,43,2025-12-05T00:45:19Z,1970000,False,,,0,,SUB in: C. McCollum,[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT09M02.00S,2025-12-05T00:45:36.9Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1641775,,,1610612738,34,44,2025-12-05T00:45:36Z,1980000,False,,,0,,J. Walsh Free Throw 2 of 2 (6 PTS),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
207,PT08M45.00S,2025-12-05T00:45:55.4Z,2,REGULAR,turnover,lost ball,[],1642273,,,1610612764,34,44,2025-12-05T00:46:01Z,1990000,False,,,0,,K. George lost ball TURNOVER (1 TO),"[1642273, 1631169]",1610612764.0,WAS,,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,,,,,,,,Minott,1631169.0,,
208,PT08M45.00S,2025-12-05T00:45:55.4Z,2,REGULAR,steal,,[],1631169,,,1610612738,34,44,2025-12-05T00:45:57Z,2000000,False,,,0,,J. Minott STEAL (1 STL),[1631169],1610612738.0,BOS,,,,Minott,J. Minott,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
209,PT08M36.00S,2025-12-05T00:46:04.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641775,7.440867279894875,51.470588235294116,1610612738,34,46,2025-12-05T00:46:08Z,2010000,False,-7.0,17.0,1,left,J. Walsh reverse Layup (8 PTS) (J. Minott 2 AST),"[1641775, 1631169]",1610612738.0,BOS,reverse,,,Walsh,J. Walsh,,,,,Restricted Area,0-8 Center,1.89,Made,8.0,J. Minott,1631169.0,2.0,,,,,,,,,,,,,,
211,PT08M36.00S,2025-12-05T00:46:08.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,34,46,2025-12-05T00:46:08Z,2030000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT08M36.00S,2025-12-05T00:46:09.3Z,2,REGULAR,substitution,out,[],1642860,,,1610612764,34,46,2025-12-05T00:48:48Z,2040000,False,,,0,,SUB out: W. Riley,[1642860],1610612764.0,WAS,,,,Riley,W. Riley,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT08M36.00S,2025-12-05T00:46:09.3Z,2,REGULAR,substitution,in,[],203114,,,1610612764,34,46,2025-12-05T00:48:48Z,2050000,False,,,0,,SUB in: K. Middleton,[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT08M25.00S,2025-12-05T00:49:16.7Z,2,REGULAR,turnover,bad pass,[],1630551,,,1610612764,34,46,2025-12-05T00:49:39Z,2060000,False,,,0,,J. Champagnie bad pass TURNOVER (1 TO),"[1630551, 1641775]",1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,,,,,,,,,1.0,,,,,,,,Walsh,1641775.0,,
215,PT08M25.00S,2025-12-05T00:49:16.7Z,2,REGULAR,steal,,[],1641775,,,1610612738,34,46,2025-12-05T00:49:18Z,2070000,False,,,0,,J. Walsh STEAL (2 STL),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
216,PT08M21.00S,2025-12-05T00:49:18.8Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641775,5.075558475689881,50.0,1610612738,34,48,2025-12-05T00:49:44Z,2080000,False,0.0,-5.0,1,left,J. Walsh running DUNK (10 PTS),[1641775],1610612738.0,BOS,running,,,Walsh,J. Walsh,,,,,Restricted Area,0-8 Center,0.48,Made,10.0,,,,,,,,,,,,,,,,,
218,PT08M11.00S,2025-12-05T00:49:33.1Z,2,REGULAR,substitution,out,[],1641774,,,1610612764,34,48,2025-12-05T00:49:46Z,2100000,False,,,0,,SUB out: T. Vukcevic,[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT08M11.00S,2025-12-05T00:49:33.1Z,2,REGULAR,substitution,out,[],1629014,,,1610612764,34,48,2025-12-05T00:49:46Z,2110000,False,,,0,,SUB out: A. Simons,[1629014],1610612738.0,BOS,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT08M11.00S,2025-12-05T00:49:33.1Z,2,REGULAR,substitution,in,[],1628963,,,1610612764,34,48,2025-12-05T00:49:46Z,2120000,False,,,0,,SUB in: M. Bagley III,[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT08M11.00S,2025-12-05T00:49:33.1Z,2,REGULAR,substitution,in,[],1629674,,,1610612764,34,48,2025-12-05T00:49:46Z,2130000,False,,,0,,SUB in: N. Queta,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT07M59.00S,2025-12-05T00:50:08.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630551,94.56307490144546,38.970588235294116,1610612764,34,48,2025-12-05T00:51:23Z,2140000,False,-55.0,-1.0,1,right,MISS J. Champagnie Layup,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),0-8 Center,5.51,Missed,,,,,,,,,,,,,,,,,,
223,PT07M58.00S,2025-12-05T00:50:09.0Z,2,REGULAR,rebound,offensive,[],1628963,,,1610612764,34,48,2025-12-05T00:51:23Z,2150000,False,,,0,,M. Bagley III REBOUND (Off:1 Def:1),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,222.0,,,2.0,1.0,1.0,,,,,,,,
224,PT07M58.00S,2025-12-05T00:50:11.4Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628963,92.59198423127464,55.63725490196079,1610612764,34,48,2025-12-05T00:51:32Z,2160000,False,28.0,17.0,1,right,MISS M. Bagley III tip Layup - blocked,"[1628963, 1629674]",1610612764.0,WAS,tip,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,3.3,Missed,,,,,,,,,,,,,,,,,Queta,1629674.0
248,PT07M58.00S,2025-12-05T00:50:11.4Z,2,REGULAR,block,,[],1629674,,,1610612764,34,48,2025-12-05T00:54:39Z,2165000,False,,,0,,N. Queta BLOCK (1 BLK),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
225,PT07M57.00S,2025-12-05T00:50:12.4Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,34,48,2025-12-05T00:51:32Z,2170000,False,,,0,,P. Pritchard REBOUND (Off:2 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Restricted Area,0-8 Center,,,,,,,224.0,,,3.0,1.0,2.0,,,,,,,,
226,PT07M51.00S,2025-12-05T00:50:14.4Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1631248,25.312089356110377,11.029411764705882,1610612738,34,48,2025-12-05T00:52:04Z,2180000,False,195.0,185.0,1,left,MISS B. Scheierman 26' running 3PT,[1631248],1610612738.0,BOS,running,,,Scheierman,B. Scheierman,,,,,Above the Break 3,24+ Right Center,26.9,Missed,,,,,,,,,,,,,,,,,,
227,PT07M49.00S,2025-12-05T00:50:16.4Z,2,REGULAR,rebound,defensive,[],1628963,,,1610612764,34,48,2025-12-05T00:50:20Z,2190000,False,,,0,,M. Bagley III REBOUND (Off:1 Def:2),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Above the Break 3,24+ Right Center,,,,,,,226.0,,,3.0,2.0,1.0,,,,,,,,
228,PT07M40.00S,2025-12-05T00:50:25.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628963,93.51182654402102,43.872549019607845,1610612764,34,48,2025-12-05T00:52:47Z,2200000,False,-31.0,8.0,1,right,MISS M. Bagley III driving Layup - blocked,"[1628963, 1629674]",1610612764.0,WAS,driving,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,3.18,Missed,,,,,,,,,,,,,,,,,Queta,1629674.0
229,PT07M40.00S,2025-12-05T00:50:25.6Z,2,REGULAR,block,,[],1629674,,,1610612764,34,48,2025-12-05T00:50:28Z,2210000,False,,,0,,N. Queta BLOCK (2 BLK),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
230,PT07M40.00S,2025-12-05T00:50:25.6Z,2,REGULAR,rebound,offensive,[],1628963,,,1610612764,34,48,2025-12-05T00:50:30Z,2220000,False,,,0,,M. Bagley III REBOUND (Off:2 Def:2),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,,,,,,,228.0,,,4.0,2.0,2.0,,,,,,,,
231,PT07M40.00S,2025-12-05T00:50:30.3Z,2,REGULAR,foul,personal,['2freethrow'],1629674,,,1610612764,34,48,2025-12-05T00:50:38Z,2230000,False,,,0,,N. Queta shooting personal FOUL (2 PF) (Bagley III 2 FT),"[1629674, 1628963]",1610612738.0,BOS,shooting,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,,,1148.0,,,,,2.0,0.0,Bagley III,1628963.0,,,,
233,PT07M40.00S,2025-12-05T00:50:57.0Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1628963,,,1610612764,35,48,2025-12-05T00:51:25Z,2250000,False,,,0,,M. Bagley III Free Throw 1 of 2 (3 PTS),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
234,PT07M40.00S,2025-12-05T00:50:57.0Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1628963,,,1610612764,35,48,2025-12-05T00:51:25Z,2260000,False,,,0,,MISS M. Bagley III Free Throw 2 of 2,[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
235,PT07M38.00S,2025-12-05T00:50:59.0Z,2,REGULAR,rebound,defensive,[],1631248,,,1610612738,35,48,2025-12-05T00:51:25Z,2270000,False,,,0,,B. Scheierman REBOUND (Off:0 Def:1),[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,,,,,,,,,234.0,,,1.0,1.0,0.0,,,,,,,,
236,PT07M19.00S,2025-12-05T00:51:43.0Z,2,REGULAR,2pt,Jump Shot,[],1630202,9.017739816031538,70.58823529411765,1610612738,35,48,2025-12-05T00:51:49Z,2280000,False,-103.0,32.0,1,left,MISS P. Pritchard 10' fadeaway Shot,[1630202],1610612738.0,BOS,fadeaway,,,Pritchard,P. Pritchard,,,,,Mid-Range,8-16 Left,10.79,Missed,,,,,,,,,,,,,,,,,,
237,PT07M15.00S,2025-12-05T00:51:47.0Z,2,REGULAR,rebound,defensive,[],1628963,,,1610612764,35,48,2025-12-05T00:51:49Z,2290000,False,,,0,,M. Bagley III REBOUND (Off:2 Def:3),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Mid-Range,8-16 Left,,,,,,,236.0,,,5.0,3.0,2.0,,,,,,,,
238,PT07M04.00S,2025-12-05T00:51:57.2Z,2,REGULAR,2pt,Jump Shot,[],203114,82.47371879106439,31.61764705882353,1610612764,37,48,2025-12-05T00:52:00Z,2300000,False,-92.0,112.0,1,right,K. Middleton 14' fadeaway Jump Shot (6 PTS),[203114],1610612764.0,WAS,fadeaway,,,Middleton,K. Middleton,,,,,Mid-Range,8-16 Left,14.5,Made,6.0,,,,,,,,,,,,,,,,,
239,PT06M43.00S,2025-12-05T00:52:18.3Z,2,REGULAR,3pt,Jump Shot,[],1631169,27.808804204993432,87.99019607843137,1610612738,37,51,2025-12-05T00:52:23Z,2310000,False,-190.0,209.0,1,left,J. Minott 28' 3PT  (6 PTS) (J. Walsh 2 AST),"[1631169, 1641775]",1610612738.0,BOS,,,,Minott,J. Minott,,,,,Above the Break 3,24+ Left Center,28.24,Made,6.0,J. Walsh,1641775.0,2.0,,,,,,,,,,,,,,
241,PT06M18.00S,2025-12-05T00:52:43.4Z,2,REGULAR,3pt,Jump Shot,[],203114,67.36202365308804,47.30392156862745,1610612764,37,51,2025-12-05T00:52:47Z,2330000,False,-13.0,254.0,1,right,MISS K. Middleton 25' 3PT,[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Center,25.47,Missed,,,,,,,,,,,,,,,,,,
242,PT06M15.00S,2025-12-05T00:52:46.4Z,2,REGULAR,rebound,defensive,[],1641775,,,1610612738,37,51,2025-12-05T00:52:47Z,2340000,False,,,0,,J. Walsh REBOUND (Off:1 Def:1),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Center,,,,,,,241.0,,,2.0,1.0,1.0,,,,,,,,
243,PT06M02.00S,2025-12-05T00:52:59.2Z,2,REGULAR,3pt,Jump Shot,[],1630202,36.61300919842313,53.431372549019606,1610612738,37,51,2025-12-05T00:53:04Z,2350000,False,-17.0,292.0,1,left,MISS P. Pritchard 29' 3PT,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,29.22,Missed,,,,,,,,,,,,,,,,,,
244,PT05M58.00S,2025-12-05T00:53:03.2Z,2,REGULAR,rebound,offensive,[],1631248,,,1610612738,37,51,2025-12-05T00:53:04Z,2360000,False,,,0,,B. Scheierman REBOUND (Off:1 Def:1),[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Above the Break 3,24+ Center,,,,,,,243.0,,,2.0,1.0,1.0,,,,,,,,
245,PT05M52.00S,2025-12-05T00:53:09.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1641775,18.084756898817346,95.34313725490196,1610612738,37,54,2025-12-05T00:53:13Z,2370000,False,-227.0,117.0,1,left,J. Walsh 25' 3PT  (13 PTS) (P. Pritchard 4 AST),"[1641775, 1630202]",1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Left Center,25.53,Made,13.0,P. Pritchard,1630202.0,4.0,,,,,,,,,,,,,,
247,PT05M51.00S,2025-12-05T00:53:13.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,37,54,2025-12-05T00:53:13Z,2390000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT05M51.00S,2025-12-05T00:53:14.3Z,2,REGULAR,substitution,out,[],1642273,,,1610612764,37,54,2025-12-05T00:55:53Z,2400000,False,,,0,,SUB out: K. George,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT05M51.00S,2025-12-05T00:53:14.3Z,2,REGULAR,substitution,out,[],1631248,,,1610612764,37,54,2025-12-05T00:55:53Z,2410000,False,,,0,,SUB out: B. Scheierman,[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT05M51.00S,2025-12-05T00:53:14.3Z,2,REGULAR,substitution,in,[],1642267,,,1610612764,37,54,2025-12-05T00:55:53Z,2420000,False,,,0,,SUB in: B. Carrington,[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,,,,,,,,,,,,,,,,,,,
