actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
33,PT08M59.00S,2025-12-05T00:18:14.3Z,1,REGULAR,foul,personal,[],1641775,,,1610612764,4,11,2025-12-05T00:18:19Z,330000,False,,,0,,J. Walsh personal FOUL (1 PF),"[1641775, 203468]",1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,16-24 Left,,,,,,,,1148.0,,,,,1.0,0.0,McCollum,203468.0,,,,
35,PT08M49.00S,2025-12-05T00:18:35.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628963,94.82588699080158,45.34313725490196,1610612764,6,11,2025-12-05T00:18:38Z,350000,False,-23.0,-4.0,1,right,M. Bagley III Layup (2 PTS) (K. Middleton 1 AST),"[1628963, 203114]",1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,2.36,Made,2.0,K. Middleton,203114.0,1.0,,,,,,,,,,,,,,
37,PT08M40.00S,2025-12-05T00:18:44.6Z,1,REGULAR,3pt,Jump Shot,[],1630573,33.722076215505915,72.05882352941177,1610612738,6,11,2025-12-05T00:18:48Z,370000,False,-110.0,264.0,1,left,MISS S. Hauser 28' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,28.66,Missed,,,,,,,,,,,,,,,,,,
38,PT08M37.00S,2025-12-05T00:18:47.6Z,1,REGULAR,rebound,defensive,[],1642364,,,1610612764,6,11,2025-12-05T00:18:48Z,380000,False,,,0,,J. Watkins REBOUND (Off:0 Def:1),[1642364],1610612764.0,WAS,,,,Watkins,J. Watkins,,,,,Above the Break 3,24+ Left Center,,,,,,,37.0,,,1.0,1.0,0.0,,,,,,,,
39,PT08M24.00S,2025-12-05T00:19:00.9Z,1,REGULAR,3pt,Jump Shot,[],1642273,95.74572930354796,4.166666666666666,1610612764,6,11,2025-12-05T00:19:07Z,390000,False,-229.0,-13.0,1,right,MISS K. George 3PT,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Left Corner 3,24+ Left,22.95,Missed,,,,,,,,,,,,,,,,,,
40,PT08M22.00S,2025-12-05T00:19:02.9Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,6,11,2025-12-05T00:19:46Z,400000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,,,,,,,39.0,,,1.0,1.0,0.0,,,,,,,,
41,PT08M21.00S,2025-12-05T00:19:07.6Z,1,REGULAR,turnover,bad pass,[],1628401,,,1610612738,6,11,2025-12-05T00:19:51Z,410000,False,,,0,,D. White bad pass TURNOVER (1 TO),"[1628401, 1642273]",1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,8-16 Left,,,,,,,,,1.0,,,,,,,,George,1642273.0,,
42,PT08M21.00S,2025-12-05T00:19:07.6Z,1,REGULAR,steal,,[],1642273,,,1610612764,6,11,2025-12-05T00:19:09Z,420000,False,,,0,,K. George STEAL (1 STL),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
43,PT08M08.00S,2025-12-05T00:19:16.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1642273,78.9257555847569,46.07843137254902,1610612764,8,11,2025-12-05T00:19:20Z,430000,False,-20.0,146.0,1,right,K. George 14' pullup Jump Shot (2 PTS),[1642273],1610612764.0,WAS,pullup,,,George,K. George,,,,,Mid-Range,8-16 Center,14.69,Made,2.0,,,,,,,,,,,,,,,,,
44,PT07M51.00S,2025-12-05T00:19:35.7Z,1,REGULAR,foul,personal,[],1642273,,,1610612738,8,11,2025-12-05T00:19:42Z,440000,False,,,0,,K. George personal FOUL (1 PF),"[1642273, 1628401]",1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Center,,,,,,,,1628487.0,,,,,1.0,0.0,White,1628401.0,,,,
