actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
33,PT08M59.00S,2025-11-01T23:14:47.3Z,1,REGULAR,foul,personal,[],1642273,,,1610612753,9,10,2025-11-01T23:14:54Z,330000,False,,,0,,K. George personal FOUL (1 PF),"[1642273, 1628976]",1610612764.0,WAS,,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,200833.0,1.0,0.0,Carter Jr.,1628976.0,,,,,,,,
35,PT08M50.00S,2025-11-01T23:15:14.9Z,1,REGULAR,3pt,Jump Shot,[],1631094,32.933639947437584,35.049019607843135,1610612753,9,10,2025-11-01T23:15:19Z,350000,False,75.0,257.0,1,left,MISS P. Banchero 26' 3PT,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,26.78,Missed,,,,,,,,,,,,,,,,,,
36,PT08M46.00S,2025-11-01T23:15:18.9Z,1,REGULAR,rebound,defensive,[],203468,,,1610612764,9,10,2025-11-01T23:15:19Z,360000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,,,35.0,,,,,,,,,,1.0,1.0,0.0,,,,,
37,PT08M39.00S,2025-11-01T23:15:26.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642259,85.89027595269383,50.49019607843137,1610612764,9,10,2025-11-01T23:15:29Z,370000,False,2.0,80.0,1,right,MISS A. Sarr 8' floating Shot,[1642259],1610612764.0,WAS,floating,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),8-16 Center,8.01,Missed,,,,,,,,,,,,,,,,,,
38,PT08M37.00S,2025-11-01T23:15:28.0Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,9,10,2025-11-01T23:15:29Z,380000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,37.0,,,,,,,,,,1.0,1.0,0.0,,,,,
39,PT08M23.00S,2025-11-01T23:15:42.8Z,1,REGULAR,3pt,Jump Shot,[],1630532,25.969119579500656,84.80392156862744,1610612753,9,10,2025-11-01T23:15:48Z,390000,False,-174.0,192.0,1,left,MISS F. Wagner 25' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,25.88,Missed,,,,,,,,,,,,,,,,,,
40,PT08M19.00S,2025-11-01T23:15:46.8Z,1,REGULAR,rebound,defensive,[],203468,,,1610612764,9,10,2025-11-01T23:15:48Z,400000,False,,,0,,C. McCollum REBOUND (Off:0 Def:2),[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,,,39.0,,,,,,,,,,2.0,2.0,0.0,,,,,
41,PT08M18.00S,2025-11-01T23:15:47.4Z,1,REGULAR,turnover,bad pass,[],203468,,,1610612764,9,10,2025-11-01T23:15:51Z,410000,False,,,0,,C. McCollum bad pass TURNOVER (1 TO),"[203468, 1630532]",1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,Wagner,1630532.0,,
42,PT08M18.00S,2025-11-01T23:15:47.4Z,1,REGULAR,steal,,[],1630532,,,1610612753,9,10,2025-11-01T23:15:49Z,420000,False,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
43,PT08M06.00S,2025-11-01T23:16:02.0Z,1,REGULAR,foul,personal,['2freethrow'],1642273,,,1610612753,9,10,2025-11-01T23:16:09Z,430000,False,,,0,,K. George shooting personal FOUL (2 PF) (Wagner 2 FT),"[1642273, 1630532]",1610612764.0,WAS,shooting,,,George,K. George,,,,,Restricted Area,0-8 Center,,,,,,,,2530.0,2.0,0.0,Wagner,1630532.0,,,,,,,,
45,PT08M06.00S,2025-11-01T23:16:32.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630532,,,1610612753,9,11,2025-11-01T23:16:32Z,450000,False,,,0,,F. Wagner Free Throw 1 of 2 (3 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,,3.0,,,,,,,,,,,,,,,,
46,PT08M06.00S,2025-11-01T23:16:32.9Z,1,REGULAR,substitution,out,[],1630591,,,1610612753,9,11,2025-11-01T23:16:37Z,460000,False,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M06.00S,2025-11-01T23:16:32.9Z,1,REGULAR,substitution,in,[],1641710,,,1610612753,9,11,2025-11-01T23:16:37Z,470000,False,,,0,,SUB in: A. Black,[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M06.00S,2025-11-01T23:16:51.8Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630532,,,1610612753,9,12,2025-11-01T23:16:51Z,480000,False,,,0,,F. Wagner Free Throw 2 of 2 (4 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,,4.0,,,,,,,,,,,,,,,,
49,PT07M57.00S,2025-11-01T23:17:02.5Z,1,REGULAR,3pt,Jump Shot,[],203114,70.51576872536137,21.813725490196077,1610612764,12,12,2025-11-01T23:17:07Z,490000,False,-141.0,225.0,1,right,K. Middleton 26' 3PT  (3 PTS) (B. Coulibaly 2 AST),"[203114, 1641731]",1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,26.52,Made,,3.0,B. Coulibaly,1641731.0,2.0,,,,,,,,,,,,,
51,PT07M39.00S,2025-11-01T23:17:18.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,6.915243101182654,53.18627450980392,1610612753,12,12,2025-11-01T23:17:23Z,510000,False,-16.0,13.0,1,left,MISS F. Wagner driving Layup - blocked,"[1630532, 1642259]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,2.02,Missed,,,,,,,,,,,,,,,,,Sarr,1642259.0
52,PT07M39.00S,2025-11-01T23:17:18.7Z,1,REGULAR,block,,[],1642259,,,1610612753,12,12,2025-11-01T23:17:21Z,520000,False,,,0,,A. Sarr BLOCK (1 BLK),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
53,PT07M37.00S,2025-11-01T23:17:20.7Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,12,12,2025-11-01T23:17:23Z,530000,False,,,0,,A. Sarr REBOUND (Off:0 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,51.0,,,,,,,,,,1.0,1.0,0.0,,,,,
54,PT07M32.00S,2025-11-01T23:17:26.7Z,1,REGULAR,3pt,Jump Shot,[],1641731,72.88107752956637,13.23529411764706,1610612764,12,12,2025-11-01T23:17:31Z,540000,False,-184.0,202.0,1,right,MISS B. Coulibaly 27' 3PT,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Left Center,27.34,Missed,,,,,,,,,,,,,,,,,,
55,PT07M32.00S,2025-11-01T23:17:26.7Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,12,12,2025-11-01T23:17:38Z,550000,False,,,0,,P. Banchero REBOUND (Off:0 Def:2),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,54.0,,,,,,,,,,2.0,2.0,0.0,,,,,
56,PT07M23.00S,2025-11-01T23:17:35.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631094,6.389618922470433,46.32352941176471,1610612753,12,14,2025-11-01T23:18:25Z,560000,False,18.0,8.0,1,left,P. Banchero running Layup (4 PTS),[1631094],1610612753.0,ORL,running,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,1.99,Made,,4.0,,,,,,,,,,,,,,,,
57,PT07M08.00S,2025-11-01T23:17:51.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641731,86.67871222076215,43.872549019607845,1610612764,12,14,2025-11-01T23:17:55Z,570000,False,-31.0,73.0,1,right,MISS B. Coulibaly 7' driving Layup,[1641731],1610612764.0,WAS,driving,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,7.89,Missed,,,,,,,,,,,,,,,,,,
58,PT07M05.00S,2025-11-01T23:17:54.4Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,12,14,2025-11-01T23:17:55Z,580000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,57.0,,,,,,,,,,2.0,2.0,0.0,,,,,
59,PT07M02.00S,2025-11-01T23:17:57.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,32.933639947437584,68.62745098039215,1610612753,12,14,2025-11-01T23:19:21Z,590000,False,-93.0,257.0,1,left,MISS D. Bane 27' running 3PT,[1630217],1610612753.0,ORL,running,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,27.34,Missed,,,,,,,,,,,,,,,,,,
60,PT06M58.00S,2025-11-01T23:18:01.0Z,1,REGULAR,rebound,defensive,[],203114,,,1610612764,12,14,2025-11-01T23:18:04Z,600000,False,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,,,59.0,,,,,,,,,,1.0,1.0,0.0,,,,,
61,PT06M53.00S,2025-11-01T23:18:05.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642259,91.27792378449409,49.754901960784316,1610612764,14,14,2025-11-01T23:20:08Z,610000,False,-1.0,29.0,1,right,A. Sarr running Layup (2 PTS) (K. Middleton 1 AST),"[1642259, 203114]",1610612764.0,WAS,running,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,2.95,Made,,2.0,K. Middleton,203114.0,1.0,,,,,,,,,,,,,
63,PT06M35.00S,2025-11-01T23:18:23.4Z,1,REGULAR,3pt,Jump Shot,[],1628976,32.933639947437584,60.5392156862745,1610612753,14,17,2025-11-01T23:18:27Z,630000,False,-53.0,257.0,1,left,W. Carter Jr. 26' 3PT  (7 PTS) (D. Bane 2 AST),"[1628976, 1630217]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,26.24,Made,,7.0,D. Bane,1630217.0,2.0,,,,,,,,,,,,,
65,PT06M28.00S,2025-11-01T23:18:35.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,14,17,2025-11-01T23:18:35Z,650000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M28.00S,2025-11-01T23:19:58.1Z,1,REGULAR,substitution,out,[],1630532,,,1610612764,14,17,2025-11-01T23:21:16Z,660000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M28.00S,2025-11-01T23:19:58.1Z,1,REGULAR,substitution,out,[],1628976,,,1610612764,14,17,2025-11-01T23:21:16Z,670000,False,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M28.00S,2025-11-01T23:19:58.1Z,1,REGULAR,substitution,in,[],1629048,,,1610612764,14,17,2025-11-01T23:21:16Z,680000,False,,,0,,SUB in: G. Bitadze,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M28.00S,2025-11-01T23:19:58.1Z,1,REGULAR,substitution,in,[],1641783,,,1610612764,14,17,2025-11-01T23:21:16Z,690000,False,,,0,,SUB in: T. da Silva,[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M24.00S,2025-11-01T23:21:37.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,93.77463863337714,48.529411764705884,1610612764,14,17,2025-11-01T23:21:44Z,700000,False,-7.0,6.0,1,right,MISS C. McCollum driving finger roll Layup,[203468],1610612764.0,WAS,driving finger roll,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,0.95,Missed,,,,,,,,,,,,,,,,,,
71,PT06M21.00S,2025-11-01T23:21:40.1Z,1,REGULAR,rebound,defensive,[],1641783,,,1610612753,14,17,2025-11-01T23:21:44Z,710000,False,,,0,,T. da Silva REBOUND (Off:0 Def:1),[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Restricted Area,0-8 Center,,,70.0,,,,,,,,,,1.0,1.0,0.0,,,,,
72,PT06M17.00S,2025-11-01T23:21:44.7Z,1,REGULAR,foul,personal,['2freethrow'],203114,,,1610612753,14,17,2025-11-01T23:21:52Z,720000,False,,,0,,K. Middleton shooting personal FOUL (1 PF) (Banchero 2 FT),"[203114, 1631094]",1610612764.0,WAS,shooting,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1630888.0,1.0,0.0,Banchero,1631094.0,,,,,,,,
74,PT06M17.00S,2025-11-01T23:22:11.4Z,1,REGULAR,freethrow,1 of 2,[],1631094,,,1610612753,14,18,2025-11-01T23:22:11Z,740000,False,,,0,,P. Banchero Free Throw 1 of 2 (5 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,5.0,,,,,,,,,,,,,,,,
75,PT06M17.00S,2025-11-01T23:22:12.0Z,1,REGULAR,substitution,out,[],1641731,,,1610612753,14,18,2025-11-01T23:22:16Z,750000,False,,,0,,SUB out: B. Coulibaly,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M17.00S,2025-11-01T23:22:12.0Z,1,REGULAR,substitution,in,[],1642848,,,1610612753,14,18,2025-11-01T23:22:16Z,760000,False,,,0,,SUB in: T. Johnson,[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M17.00S,2025-11-01T23:22:28.2Z,1,REGULAR,freethrow,2 of 2,[],1631094,,,1610612753,14,19,2025-11-01T23:22:28Z,770000,False,,,0,,P. Banchero Free Throw 2 of 2 (6 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,6.0,,,,,,,,,,,,,,,,
78,PT06M11.00S,2025-11-01T23:22:37.0Z,1,REGULAR,foul,personal,[],1630217,,,1610612764,14,19,2025-11-01T23:22:45Z,780000,False,,,0,,D. Bane personal FOUL (2 PF),"[1630217, 1642259]",1610612753.0,ORL,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,2530.0,2.0,0.0,Sarr,1642259.0,,,,,,,,
80,PT06M11.00S,2025-11-01T23:22:46.1Z,1,REGULAR,substitution,out,[],203114,,,1610612764,14,19,2025-11-01T23:22:49Z,800000,False,,,0,,SUB out: K. Middleton,[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M11.00S,2025-11-01T23:22:46.1Z,1,REGULAR,substitution,in,[],1641715,,,1610612764,14,19,2025-11-01T23:22:49Z,810000,False,,,0,,SUB in: C. Whitmore,[1641715],1610612764.0,WAS,,,,Whitmore,C. Whitmore,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M05.00S,2025-11-01T23:23:01.9Z,1,REGULAR,2pt,Jump Shot,[],1642273,90.3580814717477,32.59803921568628,1610612764,16,19,2025-11-01T23:23:15Z,820000,False,-87.0,38.0,1,right,K. George 9' step back Jump Shot (8 PTS),[1642273],1610612764.0,WAS,step back,,,George,K. George,,,,,Mid-Range,8-16 Left,9.5,Made,,8.0,,,,,,,,,,,,,,,,
83,PT05M39.00S,2025-11-01T23:23:27.4Z,1,REGULAR,3pt,Jump Shot,[],1641783,31.882391590013142,24.264705882352942,1610612753,16,19,2025-11-01T23:23:32Z,830000,False,129.0,247.0,1,left,MISS T. da Silva 27' pullup 3PT,[1641783],1610612753.0,ORL,pullup,,,da Silva,T. da Silva,,,,,Above the Break 3,24+ Right Center,27.87,Missed,,,,,,,,,,,,,,,,,,
84,PT05M35.00S,2025-11-01T23:23:31.4Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,16,19,2025-11-01T23:23:32Z,840000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,83.0,,,,,,,,,,1.0,1.0,0.0,,,,,
85,PT05M32.00S,2025-11-01T23:23:34.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642848,93.64323258869908,2.696078431372549,1610612764,16,19,2025-11-01T23:23:57Z,850000,False,-237.0,7.0,1,right,MISS T. Johnson running 3PT,[1642848],1610612764.0,WAS,running,,,Johnson,T. Johnson,,,,,Left Corner 3,24+ Left,23.66,Missed,,,,,,,,,,,,,,,,,,
