actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
16,PT10M27.00S,2026-04-07T23:12:42.6Z,1,REGULAR,foul,personal,['2freethrow'],1641778,,,1610612741,4,0,2026-04-07T23:12:46Z,160000,False,,,0,,L. Black shooting personal FOUL (1 PF) (Sexton 2 FT),"[1641778, 1629012]",1610612764.0,WAS,shooting,,,Black,L. Black,,,,,Restricted Area,0-8 Center,,,,,,,,1627962.0,1.0,0.0,Sexton,1629012.0,,,,,,,,
18,PT10M27.00S,2026-04-07T23:13:06.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629012,,,1610612741,4,1,2026-04-07T23:13:57Z,180000,False,,,0,,C. Sexton Free Throw 1 of 2 (1 PTS),[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
19,PT10M27.00S,2026-04-07T23:13:06.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629012,,,1610612741,4,2,2026-04-07T23:13:57Z,190000,False,,,0,,C. Sexton Free Throw 2 of 2 (2 PTS),[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M12.00S,2026-04-07T23:13:38.8Z,1,REGULAR,2pt,Jump Shot,[],1641731,22.026938239159,41.17647058823529,1610612764,6,2,2026-04-07T23:13:43Z,210000,False,44.0,155.0,1,left,B. Coulibaly 16' pullup Jump Shot (6 PTS),[1641731],1610612764.0,WAS,pullup,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,16-24 Center,16.08,Made,6.0,,,,,,,,,,,,,,,,,
22,PT09M58.00S,2026-04-07T23:13:52.6Z,1,REGULAR,3pt,Jump Shot,[],1630171,80.23981603153744,4.166666666666666,1610612741,6,2,2026-04-07T23:13:56Z,220000,False,-229.0,133.0,1,right,MISS I. Okoro 26' 3PT,[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Left Center,26.51,Missed,,,,,,,,,,,,,,,,,,
23,PT09M56.00S,2026-04-07T23:13:54.6Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,6,2,2026-04-07T23:13:56Z,230000,False,,,0,,B. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Left Center,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT09M53.00S,2026-04-07T23:13:58.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642267,32.933639947437584,62.254901960784316,1610612764,6,2,2026-04-07T23:15:04Z,240000,False,-61.0,257.0,1,left,MISS B. Carrington 26' running pullup 3PT,[1642267],1610612764.0,WAS,running pullup,,,Carrington,B. Carrington,,,,,Above the Break 3,24+ Center,26.43,Missed,,,,,,,,,,,,,,,,,,
25,PT09M49.00S,2026-04-07T23:14:02.5Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612741,6,2,2026-04-07T23:14:04Z,250000,False,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Center,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,
27,PT09M46.00S,2026-04-07T23:14:07.6Z,1,REGULAR,foul,offensive,[],1630200,,,1610612741,6,2,2026-04-07T23:14:30Z,270000,False,,,0,,T. Jones charge offensive FOUL (1 PF),"[1630200, 1630264]",1610612741.0,CHI,charge,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,201639.0,1.0,0.0,Gill,1630264.0,,,,,,,,
29,PT09M46.00S,2026-04-07T23:14:07.6Z,1,REGULAR,turnover,offensive foul,[],1630200,,,1610612741,6,2,2026-04-07T23:14:07Z,290000,False,,,0,,T. Jones offensive foul TURNOVER (1 TO),[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,201639.0,,,,,1.0,,,,,,,
30,PT09M33.00S,2026-04-07T23:14:38.7Z,1,REGULAR,foul,personal,['2freethrow'],1631159,,,1610612764,6,2,2026-04-07T23:14:48Z,300000,False,,,0,,L. Miller shooting personal FOUL (1 PF) (Gill 2 FT),"[1631159, 1630264]",1610612741.0,CHI,shooting,,,Miller,L. Miller,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1627539.0,1.0,0.0,Gill,1630264.0,,,,,,,,
32,PT09M33.00S,2026-04-07T23:15:20.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630264,,,1610612764,6,2,2026-04-07T23:15:20Z,320000,False,,,0,,MISS A. Gill Free Throw 1 of 2,[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
33,PT09M33.00S,2026-04-07T23:15:20.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,6,2,2026-04-07T23:15:20Z,330000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,
34,PT09M33.00S,2026-04-07T23:15:20.8Z,1,REGULAR,substitution,out,[],1631159,,,1610612764,6,2,2026-04-07T23:15:25Z,340000,False,,,0,,SUB out: L. Miller,[1631159],1610612741.0,CHI,,,,Miller,L. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M33.00S,2026-04-07T23:15:20.8Z,1,REGULAR,substitution,in,[],1630172,,,1610612764,6,2,2026-04-07T23:15:25Z,350000,False,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M33.00S,2026-04-07T23:15:20.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630264,,,1610612764,6,2,2026-04-07T23:15:46Z,360000,False,,,0,,MISS A. Gill Free Throw 2 of 2,[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
37,PT09M31.00S,2026-04-07T23:15:22.0Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,6,2,2026-04-07T23:15:46Z,370000,False,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,
38,PT09M20.00S,2026-04-07T23:15:58.1Z,1,REGULAR,violation,kicked ball,[],1642882,,,1610612741,6,2,2026-04-07T23:16:02Z,380000,False,,,0,,J. Reese kicked ball VIOLATION,[1642882],1610612764.0,WAS,,,,Reese,J. Reese,,,,,,,,,,,,,,1627962.0,,,,,,,,,,,,
39,PT09M12.00S,2026-04-07T23:16:17.5Z,1,REGULAR,3pt,Jump Shot,[],1630172,65.39093298291722,53.18627450980392,1610612741,6,5,2026-04-07T23:16:21Z,390000,False,16.0,273.0,1,right,P. Williams 27' 3PT  (3 PTS) (T. Jones 1 AST),"[1630172, 1630200]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Center,27.33,Made,3.0,,,,,,,,,,,T. Jones,1630200.0,1.0,,,,
41,PT08M51.00S,2026-04-07T23:16:38.5Z,1,REGULAR,turnover,lost ball,[],1641731,,,1610612764,6,5,2026-04-07T23:16:44Z,410000,False,,,0,,B. Coulibaly lost ball TURNOVER (1 TO),"[1641731, 1630200]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,,,,Jones,1630200.0,,
42,PT08M51.00S,2026-04-07T23:16:38.5Z,1,REGULAR,steal,,[],1630200,,,1610612741,6,5,2026-04-07T23:17:02Z,420000,False,,,0,,T. Jones STEAL (1 STL),[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
43,PT08M47.00S,2026-04-07T23:16:43.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629012,92.72339027595268,52.20588235294118,1610612741,6,5,2026-04-07T23:16:47Z,430000,False,11.0,16.0,1,right,MISS C. Sexton running Layup,[1629012],1610612741.0,CHI,running,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,1.93,Missed,,,,,,,,,,,,,,,,,,
44,PT08M45.00S,2026-04-07T23:16:45.0Z,1,REGULAR,rebound,defensive,[],1642882,,,1610612764,6,5,2026-04-07T23:16:47Z,440000,False,,,0,,J. Reese REBOUND (Off:0 Def:1),[1642882],1610612764.0,WAS,,,,Reese,J. Reese,,,,,Restricted Area,0-8 Center,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,
45,PT08M41.00S,2026-04-07T23:16:49.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641778,29.6484888304862,74.26470588235294,1610612764,6,5,2026-04-07T23:18:01Z,450000,False,-121.0,226.0,1,left,MISS L. Black 25' running pullup 3PT,[1641778],1610612764.0,WAS,running pullup,,,Black,L. Black,,,,,Above the Break 3,24+ Left Center,25.67,Missed,,,,,,,,,,,,,,,,,,
46,PT08M37.00S,2026-04-07T23:16:53.1Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612741,6,5,2026-04-07T23:16:53Z,460000,False,,,0,,I. Okoro REBOUND (Off:0 Def:2),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Left Center,,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,
47,PT08M31.00S,2026-04-07T23:16:58.9Z,1,REGULAR,3pt,Jump Shot,[],1630171,69.46452036793693,69.11764705882352,1610612741,6,8,2026-04-07T23:17:04Z,470000,False,96.0,235.0,1,right,I. Okoro 25' 3PT  (3 PTS) (T. Jones 2 AST),"[1630171, 1630200]",1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Right Center,25.32,Made,3.0,,,,,,,,,,,T. Jones,1630200.0,2.0,,,,
49,PT08M16.00S,2026-04-07T23:17:13.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642882,19.004599211563733,47.794117647058826,1610612764,8,8,2026-04-07T23:17:19Z,490000,False,11.0,126.0,1,left,J. Reese 12' Jump Shot (2 PTS) (B. Carrington 1 AST),"[1642882, 1642267]",1610612764.0,WAS,,,,Reese,J. Reese,,,,,In The Paint (Non-RA),8-16 Center,12.66,Made,2.0,,,,,,,,,,,B. Carrington,1642267.0,1.0,,,,
51,PT07M57.00S,2026-04-07T23:17:32.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,92.9862023653088,47.549019607843135,1610612741,8,10,2026-04-07T23:19:16Z,510000,False,-12.0,13.0,1,right,T. Jones driving reverse Layup (2 PTS),[1630200],1610612741.0,CHI,driving reverse,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,1.82,Made,2.0,,,,,,,,,,,,,,,,,
52,PT07M48.00S,2026-04-07T23:17:43.4Z,1,REGULAR,foul,personal,['2freethrow'],1629012,,,1610612764,8,10,2026-04-07T23:17:53Z,520000,False,,,0,,C. Sexton shooting personal FOUL (1 PF) (Coulibaly 2 FT),"[1629012, 1641731]",1610612741.0,CHI,shooting,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1627962.0,1.0,0.0,Coulibaly,1641731.0,,,,,,,,
55,PT07M48.00S,2026-04-07T23:19:33.8Z,1,REGULAR,freethrow,1 of 2,[],1641731,,,1610612764,9,10,2026-04-07T23:19:52Z,550000,False,,,0,,B. Coulibaly Free Throw 1 of 2 (7 PTS),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
56,PT07M48.00S,2026-04-07T23:19:35.4Z,1,REGULAR,substitution,out,[],1630264,,,1610612764,9,10,2026-04-07T23:19:48Z,560000,False,,,0,,SUB out: A. Gill,[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M48.00S,2026-04-07T23:19:35.4Z,1,REGULAR,substitution,out,[],1630200,,,1610612764,9,10,2026-04-07T23:19:48Z,570000,False,,,0,,SUB out: T. Jones,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M48.00S,2026-04-07T23:19:35.4Z,1,REGULAR,substitution,in,[],1630536,,,1610612764,9,10,2026-04-07T23:19:48Z,580000,False,,,0,,SUB in: S. Cooper,[1630536],1610612764.0,WAS,,,,Cooper,S. Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M48.00S,2026-04-07T23:19:35.4Z,1,REGULAR,substitution,in,[],1642265,,,1610612764,9,10,2026-04-07T23:19:48Z,590000,False,,,0,,SUB in: R. Dillingham,[1642265],1610612741.0,CHI,,,,Dillingham,R. Dillingham,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M48.00S,2026-04-07T23:19:33.8Z,1,REGULAR,freethrow,2 of 2,[],1641731,,,1610612764,9,10,2026-04-07T23:19:52Z,600000,False,,,0,,MISS B. Coulibaly Free Throw 2 of 2,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
61,PT07M43.00S,2026-04-07T23:19:38.8Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,9,10,2026-04-07T23:19:52Z,610000,False,,,0,,P. Williams REBOUND (Off:0 Def:2),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,,,,
62,PT07M31.00S,2026-04-07T23:20:03.2Z,1,REGULAR,3pt,Jump Shot,[],1627824,80.6340341655716,95.09803921568627,1610612741,9,13,2026-04-07T23:20:05Z,620000,False,225.0,130.0,1,right,G. Yabusele 26' 3PT  (3 PTS) (I. Okoro 1 AST),"[1627824, 1630171]",1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Right Center,26.0,Made,3.0,,,,,,,,,,,I. Okoro,1630171.0,1.0,,,,
64,PT07M13.00S,2026-04-07T23:20:21.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642882,6.783837056504599,53.67647058823529,1610612764,11,13,2026-04-07T23:20:25Z,640000,False,-18.0,11.0,1,left,J. Reese cutting Layup (4 PTS) (B. Carrington 2 AST),"[1642882, 1642267]",1610612764.0,WAS,cutting,,,Reese,J. Reese,,,,,Restricted Area,0-8 Center,2.16,Made,4.0,,,,,,,,,,,B. Carrington,1642267.0,2.0,,,,
66,PT07M05.00S,2026-04-07T23:20:30.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627824,92.06636005256242,53.92156862745098,1610612741,11,15,2026-04-07T23:20:36Z,660000,False,20.0,22.0,1,right,G. Yabusele cutting DUNK (5 PTS) (P. Williams 1 AST),"[1627824, 1630172]",1610612741.0,CHI,cutting,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,2.95,Made,5.0,,,,,,,,,,,P. Williams,1630172.0,1.0,,,,
68,PT07M05.00S,2026-04-07T23:20:32.8Z,1,REGULAR,foul,personal,['1freethrow'],1642267,,,1610612741,11,15,2026-04-07T23:20:40Z,680000,False,,,0,,B. Carrington shooting personal FOUL (1 PF) (Yabusele 1 FT),"[1642267, 1627824]",1610612764.0,WAS,shooting,,,Carrington,B. Carrington,,,,,Restricted Area,0-8 Center,,,,,,,,201639.0,1.0,0.0,Yabusele,1627824.0,,,,,,,,
70,PT07M05.00S,2026-04-07T23:21:01.2Z,1,REGULAR,freethrow,1 of 1,[],1627824,,,1610612741,11,16,2026-04-07T23:21:01Z,700000,False,,,0,,G. Yabusele Free Throw 1 of 1 (6 PTS),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
71,PT06M49.00S,2026-04-07T23:21:18.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641731,9.149145860709593,43.627450980392155,1610612764,11,16,2026-04-07T23:21:25Z,710000,False,32.0,34.0,1,left,MISS B. Coulibaly driving Layup,[1641731],1610612764.0,WAS,driving,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,4.63,Missed,,,,,,,,,,,,,,,,,,
72,PT06M49.00S,2026-04-07T23:21:23.8Z,1,REGULAR,rebound,offensive,[],1642882,,,1610612764,11,16,2026-04-07T23:21:23Z,720000,False,,,0,,J. Reese REBOUND (Off:1 Def:1),[1642882],1610612764.0,WAS,,,,Reese,J. Reese,,,,,In The Paint (Non-RA),0-8 Center,,,,71.0,2.0,1.0,1.0,,,,,,,,,,,,,
73,PT06M49.00S,2026-04-07T23:21:23.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1642882,5.590000152587891,50.0,1610612764,11,16,2026-04-07T23:21:31Z,730000,False,0.0,0.0,1,left,MISS J. Reese tip Layup,[1642882],1610612764.0,WAS,tip,,,Reese,J. Reese,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
74,PT06M49.00S,2026-04-07T23:21:23.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,11,16,2026-04-07T23:22:12Z,740000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Restricted Area,0-8 Center,,,,73.0,,,,,,,,,,,,,,,,
75,PT06M49.00S,2026-04-07T23:21:27.9Z,1,REGULAR,foul,personal,[],1627824,,,1610612764,11,16,2026-04-07T23:23:34Z,750000,False,,,0,,G. Yabusele loose ball personal FOUL (1 PF),"[1627824, 1641731]",1610612741.0,CHI,loose ball,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,201639.0,1.0,0.0,Coulibaly,1641731.0,,,,,,,,
77,PT06M49.00S,2026-04-07T23:21:42.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,11,16,2026-04-07T23:21:42Z,770000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M49.00S,2026-04-07T23:24:36.1Z,1,REGULAR,turnover,5-second-violation,['team'],0,,,1610612764,11,16,2026-04-07T23:24:43Z,780000,False,,,0,,WAS 5-second-violation Team TURNOVER,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,201639.0,,,,,,,,,,,,
79,PT06M41.00S,2026-04-07T23:24:50.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642265,80.6340341655716,40.68627450980392,1610612741,11,16,2026-04-07T23:24:57Z,790000,False,-47.0,130.0,1,right,MISS R. Dillingham 13' pullup Shot,[1642265],1610612741.0,CHI,pullup,,,Dillingham,R. Dillingham,,,,,In The Paint (Non-RA),8-16 Center,13.76,Missed,,,,,,,,,,,,,,,,,,
80,PT06M37.00S,2026-04-07T23:24:54.9Z,1,REGULAR,rebound,defensive,[],1641778,,,1610612764,11,16,2026-04-07T23:24:57Z,800000,False,,,0,,L. Black REBOUND (Off:0 Def:3),[1641778],1610612764.0,WAS,,,,Black,L. Black,,,,,In The Paint (Non-RA),8-16 Center,,,,79.0,3.0,3.0,0.0,,,,,,,,,,,,,
81,PT06M27.00S,2026-04-07T23:25:05.1Z,1,REGULAR,turnover,bad pass,[],1630536,,,1610612764,11,16,2026-04-07T23:25:08Z,810000,False,,,0,,S. Cooper bad pass TURNOVER (1 TO),"[1630536, 1629012]",1610612764.0,WAS,,,,Cooper,S. Cooper,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,1.0,,,,Sexton,1629012.0,,
82,PT06M27.00S,2026-04-07T23:25:05.1Z,1,REGULAR,steal,,[],1629012,,,1610612741,11,16,2026-04-07T23:25:06Z,820000,False,,,0,,C. Sexton STEAL (1 STL),[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
83,PT06M22.00S,2026-04-07T23:25:09.7Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'fromturnover']",1642265,85.54533508541394,8.60140931372549,1610612741,11,18,2026-04-07T23:26:22Z,830000,False,-207.0,83.0,1,right,R. Dillingham 22' running Jump Shot (2 PTS) (C. Sexton 1 AST),"[1642265, 1629012]",1610612741.0,CHI,running,,,Dillingham,R. Dillingham,,,,,Mid-Range,16-24 Left,22.32,Made,2.0,,,,,,,,,,,C. Sexton,1629012.0,1.0,,,,
86,PT06M07.00S,2026-04-07T23:25:29.6Z,1,REGULAR,substitution,out,[],1641731,,,1610612764,11,18,2026-04-07T23:25:38Z,860000,False,,,0,,SUB out: B. Coulibaly,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M07.00S,2026-04-07T23:25:29.6Z,1,REGULAR,substitution,out,[],1642882,,,1610612764,11,18,2026-04-07T23:25:38Z,870000,False,,,0,,SUB out: J. Reese,[1642882],1610612764.0,WAS,,,,Reese,J. Reese,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT06M07.00S,2026-04-07T23:25:29.6Z,1,REGULAR,substitution,in,[],1630264,,,1610612764,11,18,2026-04-07T23:25:38Z,880000,False,,,0,,SUB in: A. Gill,[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT06M07.00S,2026-04-07T23:25:29.6Z,1,REGULAR,substitution,in,[],1630551,,,1610612764,11,18,2026-04-07T23:25:38Z,890000,False,,,0,,SUB in: J. Champagnie,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M59.00S,2026-04-07T23:25:54.9Z,1,REGULAR,3pt,Jump Shot,[],1630536,19.66162943495401,94.11764705882352,1610612764,11,18,2026-04-07T23:26:01Z,900000,False,-221.0,132.0,1,left,MISS S. Cooper 25' 3PT,[1630536],1610612764.0,WAS,,,,Cooper,S. Cooper,,,,,Above the Break 3,24+ Left Center,25.72,Missed,,,,,,,,,,,,,,,,,,
