actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
42,PT09M20.00S,2023-02-04T01:14:41.1Z,1,REGULAR,turnover,offensive foul,[],1631094,,,1610612753,6,2,2023-02-04T01:14:41Z,420000,False,,,0,,P. Banchero offensive foul TURNOVER (1 TO),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,203591.0,1.0,,,,,,,,,,,
43,PT09M07.00S,2023-02-04T01:15:07.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626156,26.888961892247043,19.362745098039216,1610612750,6,2,2023-02-04T01:15:11Z,430000,False,153.0,200.0,1,left,MISS D. Russell 25' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,25.22,Missed,,,,,,,,,,,,,,,,,,
44,PT09M05.00S,2023-02-04T01:15:09.7Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,6,2,2023-02-04T01:15:11Z,440000,False,,,0,,G. Harris REBOUND (Off:0 Def:2),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Above the Break 3,24+ Right Center,,,43.0,2.0,2.0,0.0,,,,,,,,,,,,,,
45,PT08M56.00S,2023-02-04T01:15:18.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628365,88.78120893561103,50.49019607843137,1610612753,6,2,2023-02-04T01:15:25Z,450000,False,2.0,53.0,1,right,MISS M. Fultz driving Hook,[1628365],1610612753.0,ORL,driving,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),0-8 Center,5.31,Missed,,,,,,,,,,,,,,,,,,
46,PT08M53.00S,2023-02-04T01:15:21.1Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,6,2,2023-02-04T01:15:25Z,460000,False,,,0,,D. Russell REBOUND (Off:0 Def:2),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,
47,PT08M51.00S,2023-02-04T01:15:26.9Z,1,REGULAR,turnover,out-of-bounds,[],1630183,,,1610612750,6,2,2023-02-04T01:15:34Z,470000,False,,,0,,J. McDaniels step out-of-bounds TURNOVER (1 TO),[1630183],1610612750.0,MIN,step,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,,,203591.0,1.0,,,,,,,,,,,
48,PT08M40.00S,2023-02-04T01:15:45.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203914,87.59855453350855,48.77450980392157,1610612753,6,2,2023-02-04T01:15:53Z,480000,False,-6.0,64.0,1,right,MISS G. Harris 6' floating Shot,[203914],1610612753.0,ORL,floating,,,Harris,G. Harris,,,,,In The Paint (Non-RA),0-8 Center,6.44,Missed,,,,,,,,,,,,,,,,,,
49,PT08M38.00S,2023-02-04T01:15:47.5Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,6,2,2023-02-04T01:15:53Z,490000,False,,,0,,D. Russell REBOUND (Off:0 Def:3),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,,,48.0,3.0,3.0,0.0,,,,,,,,,,,,,,
50,PT08M37.00S,2023-02-04T01:15:49.2Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612750,6,2,2023-02-04T01:15:57Z,500000,False,,,0,,D. Russell bad pass TURNOVER (2 TO),"[1626156, 1628365]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,Mid-Range,16-24 Center,,,,,,,,,2.0,,,,Fultz,1628365.0,,,,,,
51,PT08M37.00S,2023-02-04T01:15:49.2Z,1,REGULAR,steal,,[],1628365,,,1610612753,6,2,2023-02-04T01:15:51Z,510000,False,,,0,,M. Fultz STEAL (1 STL),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
52,PT08M32.00S,2023-02-04T01:15:53.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631094,82.9993429697766,55.63725490196079,1610612753,6,2,2023-02-04T01:20:39Z,520000,False,28.0,107.0,1,right,MISS P. Banchero 11' pullup Shot,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,11.09,Missed,,,,,,,,,,,,,,,,,,
53,PT08M28.00S,2023-02-04T01:15:57.9Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,6,2,2023-02-04T01:16:05Z,530000,False,,,0,,R. Gobert REBOUND (Off:2 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,,,52.0,3.0,1.0,2.0,,,,,,,,,,,,,,
54,PT08M25.00S,2023-02-04T01:16:01.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630183,8.886333771353483,46.81372549019608,1610612750,8,2,2023-02-04T01:16:10Z,540000,False,16.0,31.0,1,left,J. McDaniels running Layup (2 PTS),[1630183],1610612750.0,MIN,running,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,3.48,Made,,,,,2.0,,,,,,,,,,,,,
55,PT08M10.00S,2023-02-04T01:16:15.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,92.72339027595268,50.0,1610612753,8,2,2023-02-04T01:16:21Z,550000,False,0.0,16.0,1,right,MISS P. Banchero driving Layup,[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,1.59,Missed,,,,,,,,,,,,,,,,,,
56,PT08M07.00S,2023-02-04T01:16:18.2Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612753,8,2,2023-02-04T01:16:21Z,560000,False,,,0,,M. Bamba REBOUND (Off:1 Def:0),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,Restricted Area,0-8 Center,,,55.0,1.0,0.0,1.0,,,,,,,,,,,,,,
57,PT08M06.00S,2023-02-04T01:16:19.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203914,95.74572930354796,95.09803921568627,1610612753,8,5,2023-02-04T01:16:25Z,570000,False,225.0,-13.0,1,right,G. Harris 3PT  (3 PTS) (M. Bamba 1 AST),"[203914, 1628964]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,Right Corner 3,24+ Right,22.58,Made,,,,,3.0,,,M. Bamba,1628964.0,1.0,,,,,,,,
59,PT07M46.00S,2023-02-04T01:16:39.6Z,1,REGULAR,3pt,Jump Shot,[],1630183,6.915243101182654,3.431372549019608,1610612750,11,5,2023-02-04T01:16:43Z,590000,False,233.0,13.0,1,left,J. McDaniels 3PT  (5 PTS) (R. Gobert 1 AST),"[1630183, 203497]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,23.31,Made,,,,,5.0,,,R. Gobert,203497.0,1.0,,,,,,,,
61,PT07M35.00S,2023-02-04T01:16:49.9Z,1,REGULAR,3pt,Jump Shot,[],1628964,67.36202365308804,37.745098039215684,1610612753,11,8,2023-02-04T01:16:54Z,610000,False,-61.0,254.0,1,right,M. Bamba 26' 3PT  (3 PTS) (M. Fultz 1 AST),"[1628964, 1628365]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,Above the Break 3,24+ Center,26.16,Made,,,,,3.0,,,M. Fultz,1628365.0,1.0,,,,,,,,
63,PT07M17.00S,2023-02-04T01:17:10.4Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612750,11,8,2023-02-04T01:17:40Z,630000,False,,,0,,D. Russell bad pass TURNOVER (3 TO),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,,,,,,,,,3.0,,,,,,,,,,,
65,PT07M16.00S,2023-02-04T01:17:15.1Z,1,REGULAR,foul,personal,[],203937,,,1610612753,11,8,2023-02-04T01:17:32Z,650000,False,,,0,,K. Anderson loose ball personal FOUL (1 PF),"[203937, 1631094]",1610612750.0,MIN,loose ball,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Center,,,,,,,,202037.0,,,,,,,,,1.0,0.0,Banchero,1631094.0
67,PT07M04.00S,2023-02-04T01:17:51.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628964,69.07030223390277,33.088235294117645,1610612753,11,11,2023-02-04T01:17:56Z,670000,False,-85.0,238.0,1,right,M. Bamba 25' 3PT  (6 PTS) (F. Wagner 1 AST),"[1628964, 1630532]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,Above the Break 3,24+ Left Center,25.28,Made,,,,,6.0,,,F. Wagner,1630532.0,1.0,,,,,,,,
69,PT06M52.00S,2023-02-04T01:18:03.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,18.873193166885677,55.88235294117647,1610612750,13,11,2023-02-04T01:18:07Z,690000,False,-29.0,125.0,1,left,D. Russell 12' pullup Jump Shot (2 PTS),[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,12.83,Made,,,,,2.0,,,,,,,,,,,,,
70,PT06M38.00S,2023-02-04T01:18:17.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628365,90.62089356110381,44.11764705882353,1610612753,13,13,2023-02-04T01:23:47Z,700000,False,-29.0,36.0,1,right,M. Fultz driving bank Hook (2 PTS),[1628365],1610612753.0,ORL,driving bank,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),0-8 Center,4.62,Made,,,,,2.0,,,,,,,,,,,,,
71,PT06M38.00S,2023-02-04T01:18:23.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,13,13,2023-02-04T01:18:23Z,710000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M38.00S,2023-02-04T01:20:40.1Z,1,REGULAR,substitution,out,[],203937,,,1610612750,13,13,2023-02-04T01:21:04Z,720000,False,,,0,,SUB out: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M38.00S,2023-02-04T01:20:40.1Z,1,REGULAR,substitution,out,[],203914,,,1610612750,13,13,2023-02-04T01:21:04Z,730000,False,,,0,,SUB out: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M38.00S,2023-02-04T01:20:40.1Z,1,REGULAR,substitution,in,[],1627752,,,1610612750,13,13,2023-02-04T01:21:04Z,740000,False,,,0,,SUB in: T. Prince,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M38.00S,2023-02-04T01:20:40.1Z,1,REGULAR,substitution,in,[],1628371,,,1610612750,13,13,2023-02-04T01:21:04Z,750000,False,,,0,,SUB in: J. Isaac,[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M23.00S,2023-02-04T01:21:34.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,9.017739816031538,53.67647058823529,1610612750,15,13,2023-02-04T01:26:23Z,760000,False,-18.0,32.0,1,left,D. Russell driving finger roll Layup (4 PTS),[1626156],1610612750.0,MIN,driving finger roll,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,3.72,Made,,,,,4.0,,,,,,,,,,,,,
77,PT06M08.00S,2023-02-04T01:21:49.0Z,1,REGULAR,3pt,Jump Shot,[],1628964,68.67608409986859,67.40196078431373,1610612753,15,13,2023-02-04T01:21:54Z,770000,False,87.0,242.0,1,right,MISS M. Bamba 25' 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,Above the Break 3,24+ Right Center,25.71,Missed,,,,,,,,,,,,,,,,,,
78,PT06M06.00S,2023-02-04T01:21:51.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,15,13,2023-02-04T01:21:54Z,780000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Right Center,,,77.0,,,,,,,,,,,,,,,,,
86,PT06M06.00S,2023-02-04T01:22:03.1Z,1,REGULAR,substitution,out,[],1630532,,,1610612750,15,13,2023-02-04T01:23:08Z,795000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M06.00S,2023-02-04T01:22:03.1Z,1,REGULAR,substitution,in,[],203914,,,1610612750,15,13,2023-02-04T01:23:08Z,797500,False,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M55.00S,2023-02-04T01:22:22.3Z,1,REGULAR,2pt,Jump Shot,[],1626156,14.668199737187912,65.93137254901961,1610612750,15,13,2023-02-04T01:38:26Z,808750,False,-80.0,85.0,1,left,MISS D. Russell 11' pullup Shot,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,Mid-Range,8-16 Left,11.68,Missed,,,,,,,,,,,,,,,,,,
