actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT11M06.00S,2022-10-20T00:14:32.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629026,71.30420499342969,26.96078431372549,1610612760,2,0,2022-10-20T00:16:45Z,150000,-115.0,217.0,1,right,MISS K. Williams 24' running pullup 3PT,[1629026],1610612760.0,OKC,running pullup,,,Williams,K. Williams,,,,,Above the Break 3,24+ Left Center,24.59,Missed,,,,,,,,,,,,,,,,,,
16,PT11M04.00S,2022-10-20T00:14:34.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,2,0,2022-10-20T00:14:42Z,160000,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,,,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,
17,PT10M55.00S,2022-10-20T00:14:44.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,14.4053876478318,53.18627450980392,1610612750,2,0,2022-10-20T00:14:49Z,170000,-16.0,83.0,1,left,MISS D. Russell 8' driving floating Shot - blocked,"[1626156, 1628983]",1610612750.0,MIN,driving floating,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,8.44,Missed,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,,,,,
18,PT10M55.00S,2022-10-20T00:14:44.1Z,1,REGULAR,block,,[],1628983,,,1610612750,2,0,2022-10-20T00:14:46Z,180000,,,0,,S. Gilgeous-Alexander BLOCK (1 BLK),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M52.00S,2022-10-20T00:14:47.1Z,1,REGULAR,rebound,defensive,[],1629026,,,1610612760,2,0,2022-10-20T00:14:49Z,190000,,,0,,K. Williams REBOUND (Off:0 Def:2),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,
20,PT10M47.00S,2022-10-20T00:14:52.0Z,1,REGULAR,3pt,Jump Shot,[],1628983,68.9388961892247,33.088235294117645,1610612760,2,0,2022-10-20T00:15:07Z,200000,-85.0,239.0,1,right,MISS S. Gilgeous-Alexander 25' 3PT,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,25.4,Missed,,,,,,,,,,,,,,,,,,
21,PT10M42.00S,2022-10-20T00:14:57.0Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,2,0,2022-10-20T00:15:07Z,210000,,,0,,R. Gobert REBOUND (Off:1 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Left Center,,,,,20.0,2.0,1.0,1.0,,,,,,,,,,,,
22,PT10M25.00S,2022-10-20T00:15:13.2Z,1,REGULAR,turnover,bad pass,[],1630183,,,1610612750,2,0,2022-10-20T00:15:17Z,220000,,,0,,J. McDaniels bad pass TURNOVER (1 TO),"[1630183, 1628983]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,1.0,Gilgeous-Alexander,1628983.0,,,,,,,,
23,PT10M25.00S,2022-10-20T00:15:13.2Z,1,REGULAR,steal,,[],1628983,,,1610612760,2,0,2022-10-20T00:15:14Z,230000,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
24,PT10M21.00S,2022-10-20T00:15:17.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628983,92.46057818659659,52.20588235294118,1610612760,2,0,2022-10-20T00:15:30Z,240000,11.0,18.0,1,right,MISS S. Gilgeous-Alexander running Layup,[1628983],1610612760.0,OKC,running,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,2.14,Missed,,,,,,,,,,,,,,,,,,
25,PT10M18.00S,2022-10-20T00:15:20.2Z,1,REGULAR,rebound,offensive,[],1630197,,,1610612760,2,0,2022-10-20T00:15:30Z,250000,,,0,,A. Pokusevski REBOUND (Off:1 Def:0),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Restricted Area,0-8 Center,,,,,24.0,1.0,0.0,1.0,,,,,,,,,,,,
26,PT10M18.00S,2022-10-20T00:15:20.2Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1630197,94.40999984741211,50.0,1610612760,2,2,2022-10-20T00:18:32Z,260000,0.0,0.0,1,right,A. Pokusevski tip DUNK (2 PTS),[1630197],1610612760.0,OKC,tip,,,Pokusevski,A. Pokusevski,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,2.0,,,,,,,,,,,
27,PT10M09.00S,2022-10-20T00:15:29.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,7.30946123521682,49.50980392156863,1610612750,4,2,2022-10-20T00:15:36Z,270000,2.0,16.0,1,left,A. Edwards driving Layup (2 PTS) (K. Towns 1 AST),"[1630162, 1626157]",1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,1.64,Made,,,,,,,2.0,,,,K. Towns,1626157.0,1.0,,,,,
29,PT09M56.00S,2022-10-20T00:15:42.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,88.17345597897503,45.16314338235294,1610612760,4,4,2022-10-20T00:15:50Z,290000,-24.0,59.0,1,right,J. Giddey 6' driving floating Jump Shot (2 PTS),[1630581],1610612760.0,OKC,driving floating,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,6.35,Made,,,,,,,2.0,,,,,,,,,,,
30,PT09M47.00S,2022-10-20T00:15:53.6Z,1,REGULAR,turnover,out-of-bounds,[],1626156,,,1610612750,4,4,2022-10-20T00:16:07Z,300000,,,0,,D. Russell bad pass out-of-bounds TURNOVER (1 TO),[1626156],1610612750.0,MIN,bad pass,,,Russell,D. Russell,,,,,Mid-Range,16-24 Center,,,,,,,,,,1.0,,,,,,203591.0,,,,
32,PT09M35.00S,2022-10-20T00:16:28.8Z,1,REGULAR,foul,personal,[],1630162,,,1610612760,4,4,2022-10-20T00:16:37Z,320000,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 1628983]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Gilgeous-Alexander,1628983.0
34,PT09M28.00S,2022-10-20T00:16:45.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629652,91.67214191852825,48.529411764705884,1610612760,4,4,2022-10-20T00:16:50Z,340000,-7.0,26.0,1,right,MISS L. Dort driving Layup - blocked,"[1629652, 1626156]",1610612760.0,OKC,driving,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,2.68,Missed,Russell,1626156.0,,,,,,,,,,,,,,,,
35,PT09M28.00S,2022-10-20T00:16:45.1Z,1,REGULAR,block,,[],1626156,,,1610612760,4,4,2022-10-20T00:16:47Z,350000,,,0,,D. Russell BLOCK (1 BLK),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT09M27.00S,2022-10-20T00:16:46.1Z,1,REGULAR,rebound,offensive,[],1629652,,,1610612760,4,4,2022-10-20T00:17:05Z,360000,,,0,,L. Dort REBOUND (Off:1 Def:0),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,34.0,1.0,0.0,1.0,,,,,,,,,,,,
37,PT09M26.00S,2022-10-20T00:16:48.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629652,86.94152431011827,53.431372549019606,1610612760,4,4,2022-10-20T00:16:56Z,370000,17.0,70.0,1,right,MISS L. Dort 7' Jump Shot,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,7.23,Missed,,,,,,,,,,,,,,,,,,
38,PT09M26.00S,2022-10-20T00:16:48.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,4,4,2022-10-20T00:16:56Z,380000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,37.0,,,,,,,,,,,,,,,
40,PT09M16.00S,2022-10-20T00:17:15.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628983,87.46714848883047,52.20588235294118,1610612760,4,4,2022-10-20T00:17:19Z,400000,11.0,65.0,1,right,MISS S. Gilgeous-Alexander 6' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,6.62,Missed,,,,,,,,,,,,,,,,,,
41,PT09M14.00S,2022-10-20T00:17:17.0Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,4,4,2022-10-20T00:17:19Z,410000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,
42,PT09M07.00S,2022-10-20T00:17:23.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,8.229303547963205,52.20588235294118,1610612750,4,4,2022-10-20T00:17:30Z,420000,-11.0,25.0,1,left,MISS R. Gobert cutting Layup,[203497],1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,2.72,Missed,,,,,,,,,,,,,,,,,,
43,PT09M04.00S,2022-10-20T00:17:26.8Z,1,REGULAR,rebound,defensive,[],1629026,,,1610612760,4,4,2022-10-20T00:17:30Z,430000,,,0,,K. Williams REBOUND (Off:0 Def:3),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Restricted Area,0-8 Center,,,,,42.0,3.0,3.0,0.0,,,,,,,,,,,,
44,PT08M59.00S,2022-10-20T00:17:31.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630581,72.88107752956637,17.15686274509804,1610612760,4,4,2022-10-20T00:22:11Z,440000,-164.0,202.0,1,right,MISS J. Giddey 26' running 3PT,[1630581],1610612760.0,OKC,running,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,26.06,Missed,,,,,,,,,,,,,,,,,,
45,PT08M56.00S,2022-10-20T00:17:34.6Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,4,4,2022-10-20T00:17:38Z,450000,,,0,,R. Gobert REBOUND (Off:1 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Left Center,,,,,44.0,3.0,2.0,1.0,,,,,,,,,,,,
46,PT08M46.00S,2022-10-20T00:17:44.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,6.652431011826544,50.0,1610612750,6,4,2022-10-20T00:17:51Z,460000,0.0,10.0,1,left,R. Gobert alley-oop DUNK (4 PTS) (K. Towns 2 AST),"[203497, 1626157]",1610612750.0,MIN,alley-oop,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.0,Made,,,,,,,4.0,,,,K. Towns,1626157.0,2.0,,,,,
48,PT08M34.00S,2022-10-20T00:17:56.7Z,1,REGULAR,turnover,bad pass,[],1630197,,,1610612760,6,4,2022-10-20T00:18:00Z,480000,,,0,,A. Pokusevski bad pass TURNOVER (1 TO),"[1630197, 1626156]",1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Mid-Range,8-16 Center,,,,,,,,,,1.0,Russell,1626156.0,,,,,,,,
49,PT08M34.00S,2022-10-20T00:17:56.7Z,1,REGULAR,steal,,[],1626156,,,1610612750,6,4,2022-10-20T00:17:58Z,490000,,,0,,D. Russell STEAL (1 STL),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
50,PT08M29.00S,2022-10-20T00:18:03.2Z,1,REGULAR,turnover,out-of-bounds,[],1626156,,,1610612750,6,4,2022-10-20T00:18:09Z,500000,,,0,,D. Russell bad pass out-of-bounds TURNOVER (2 TO),[1626156],1610612750.0,MIN,bad pass,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,,,,,,,,,,2.0,,,,,,203591.0,,,,
51,PT08M13.00S,2022-10-20T00:18:27.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628983,92.46057818659659,53.431372549019606,1610612760,6,6,2022-10-20T00:18:32Z,510000,17.0,18.0,1,right,S. Gilgeous-Alexander driving Layup (2 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,2.52,Made,,,,,,,2.0,,,,,,,,,,,
52,PT08M04.00S,2022-10-20T00:18:37.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,7.30946123521682,49.754901960784316,1610612750,8,6,2022-10-20T00:18:43Z,520000,1.0,16.0,1,left,R. Gobert cutting finger roll Layup (6 PTS) (K. Towns 3 AST),"[203497, 1626157]",1610612750.0,MIN,cutting finger roll,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.62,Made,,,,,,,6.0,,,,K. Towns,1626157.0,3.0,,,,,
54,PT07M50.00S,2022-10-20T00:18:52.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,87.99277266754271,51.225490196078425,1610612760,8,6,2022-10-20T00:19:07Z,540000,6.0,60.0,1,right,MISS J. Giddey 6' running pullup Shot - blocked,"[1630581, 1630183]",1610612760.0,OKC,running pullup,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,6.07,Missed,McDaniels,1630183.0,,,,,,,,,,,,,,,,
55,PT07M50.00S,2022-10-20T00:18:52.3Z,1,REGULAR,block,,[],1630183,,,1610612760,8,6,2022-10-20T00:18:54Z,550000,,,0,,J. McDaniels BLOCK (1 BLK),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
56,PT07M49.00S,2022-10-20T00:18:53.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,8,6,2022-10-20T00:19:07Z,560000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,54.0,,,,,,,,,,,,,,,
58,PT07M49.00S,2022-10-20T00:19:10.8Z,1,REGULAR,turnover,out-of-bounds,[],1630581,,,1610612760,8,6,2022-10-20T00:19:17Z,580000,,,0,,J. Giddey bad pass out-of-bounds TURNOVER (1 TO),[1630581],1610612760.0,OKC,bad pass,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1.0,,,,,,2002.0,,,,
59,PT07M29.00S,2022-10-20T00:19:47.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630162,32.88230946123522,43.830422794117645,1610612750,8,6,2022-10-20T00:19:54Z,590000,31.0,257.0,1,left,MISS A. Edwards 25' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,25.84,Missed,,,,,,,,,,,,,,,,,,
60,PT07M26.00S,2022-10-20T00:19:50.4Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,8,6,2022-10-20T00:19:54Z,600000,,,0,,L. Dort REBOUND (Off:1 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,,,,,59.0,2.0,1.0,1.0,,,,,,,,,,,,
61,PT07M17.00S,2022-10-20T00:19:59.1Z,1,REGULAR,3pt,Jump Shot,[],1630197,73.01248357424441,19.11764705882353,1610612760,8,6,2022-10-20T00:20:03Z,610000,-154.0,201.0,1,right,MISS A. Pokusevski 25' 3PT,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Above the Break 3,24+ Left Center,25.36,Missed,,,,,,,,,,,,,,,,,,
62,PT07M15.00S,2022-10-20T00:20:01.6Z,1,REGULAR,rebound,offensive,[],1629026,,,1610612760,8,6,2022-10-20T00:20:01Z,620000,,,0,,K. Williams REBOUND (Off:1 Def:3),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Above the Break 3,24+ Left Center,,,,,61.0,4.0,3.0,1.0,,,,,,,,,,,,
63,PT07M13.00S,2022-10-20T00:20:03.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629652,67.09921156373193,52.69607843137255,1610612760,8,6,2022-10-20T00:20:07Z,630000,13.0,257.0,1,right,MISS L. Dort 25' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,25.72,Missed,,,,,,,,,,,,,,,,,,
64,PT07M10.00S,2022-10-20T00:20:06.2Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,8,6,2022-10-20T00:20:07Z,640000,,,0,,R. Gobert REBOUND (Off:1 Def:3),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Center,,,,,63.0,4.0,3.0,1.0,,,,,,,,,,,,
65,PT07M04.00S,2022-10-20T00:20:11.5Z,1,REGULAR,3pt,Jump Shot,[],1626157,32.40801576872536,53.92156862745098,1610612750,11,6,2022-10-20T00:20:16Z,650000,-20.0,252.0,1,left,K. Towns 25' 3PT  (3 PTS) (D. Russell 1 AST),"[1626157, 1626156]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,25.29,Made,,,,,,,3.0,,,,D. Russell,1626156.0,1.0,,,,,
67,PT06M52.00S,2022-10-20T00:20:27.5Z,1,REGULAR,turnover,out-of-bounds,[],1628983,,,1610612760,11,6,2022-10-20T00:20:33Z,670000,,,0,,S. Gilgeous-Alexander lost ball out-of-bounds TURNOVER (1 TO),[1628983],1610612760.0,OKC,lost ball,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,1.0,,,,,,2002.0,,,,
68,PT06M52.00S,2022-10-20T00:20:33.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,11,6,2022-10-20T00:20:33Z,680000,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M42.00S,2022-10-20T00:23:34.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626156,8.754927726675426,52.94117647058824,1610612750,13,6,2022-10-20T00:23:41Z,690000,-15.0,30.0,1,left,D. Russell driving Layup (2 PTS) (A. Edwards 1 AST),"[1626156, 1630162]",1610612750.0,MIN,driving,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,3.32,Made,,,,,,,2.0,,,,A. Edwards,1630162.0,1.0,,,,,
70,PT06M31.00S,2022-10-20T00:23:47.0Z,1,REGULAR,violation,kicked ball,[],1626157,,,1610612760,13,6,2022-10-20T00:55:12Z,700000,,,0,,K. Towns kicked ball VIOLATION,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,2002.0,,,,
71,PT06M19.00S,2022-10-20T00:24:15.2Z,1,REGULAR,turnover,out-of-bounds,[],1630197,,,1610612760,13,6,2022-10-20T00:24:27Z,710000,,,0,,A. Pokusevski bad pass out-of-bounds TURNOVER (2 TO),[1630197],1610612760.0,OKC,bad pass,,,Pokusevski,A. Pokusevski,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,2.0,,,,,,203591.0,,,,
72,PT06M11.00S,2022-10-20T00:24:36.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626156,31.61957950065703,64.4607843137255,1610612750,13,6,2022-10-20T00:24:42Z,720000,-72.0,245.0,1,left,MISS D. Russell 25' pullup 3PT,[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,25.52,Missed,,,,,,,,,,,,,,,,,,
73,PT06M06.00S,2022-10-20T00:24:41.0Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,13,6,2022-10-20T00:24:42Z,730000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,,,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,
74,PT05M49.00S,2022-10-20T00:24:57.3Z,1,REGULAR,3pt,Jump Shot,[],1629652,94.03745072273325,5.392156862745098,1610612760,13,6,2022-10-20T00:25:01Z,740000,-223.0,4.0,1,right,MISS L. Dort 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Left Corner 3,24+ Left,22.3,Missed,,,,,,,,,,,,,,,,,,
75,PT05M46.00S,2022-10-20T00:25:00.3Z,1,REGULAR,rebound,offensive,[],1630197,,,1610612760,13,6,2022-10-20T00:25:01Z,750000,,,0,,A. Pokusevski REBOUND (Off:2 Def:0),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Left Corner 3,24+ Left,,,,,74.0,2.0,0.0,2.0,,,,,,,,,,,,
76,PT05M43.00S,2022-10-20T00:25:03.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629026,73.80091984231275,54.90196078431373,1610612760,13,6,2022-10-20T00:25:07Z,760000,25.0,194.0,1,right,MISS K. Williams 19' Jump Shot,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Mid-Range,16-24 Center,19.53,Missed,,,,,,,,,,,,,,,,,,
77,PT05M41.00S,2022-10-20T00:25:05.1Z,1,REGULAR,rebound,offensive,[],1630197,,,1610612760,13,6,2022-10-20T00:25:07Z,770000,,,0,,A. Pokusevski REBOUND (Off:3 Def:0),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Mid-Range,16-24 Center,,,,,76.0,3.0,0.0,3.0,,,,,,,,,,,,
