actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
18,PT10M40.00S,2022-10-29T00:13:02.8Z,1,REGULAR,3pt,Jump Shot,[],1630183,72.48685939553219,77.20588235294117,1610612750,5,5,2022-10-29T00:13:56Z,180000,136.0,206.0,1,right,J. McDaniels 24' 3PT pullup (3 PTS) (K. Towns 2 AST),"[1630183, 1626157]",1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,24.69,Made,3.0,K. Towns,1626157.0,2.0,,,,,,,,,,,,,,
20,PT10M29.00S,2022-10-29T00:13:13.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201976,13.87976346911958,46.81372549019608,1610612747,5,7,2022-10-29T00:13:19Z,200000,16.0,78.0,1,left,P. Beverley 7' driving floating Jump Shot (2 PTS),[201976],1610612747.0,LAL,driving floating,,,Beverley,P. Beverley,,,,,In The Paint (Non-RA),0-8 Center,7.96,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M10.00S,2022-10-29T00:13:34.2Z,1,REGULAR,foul,personal,['2freethrow'],201976,,,1610612750,5,7,2022-10-29T00:13:44Z,210000,,,0,,P. Beverley shooting personal FOUL (1 PF) (Gobert 2 FT),"[201976, 203497]",1610612747.0,LAL,shooting,,,Beverley,P. Beverley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,201639.0,1.0,0.0,Gobert,203497.0,,,
23,PT10M10.00S,2022-10-29T00:14:06.9Z,1,REGULAR,freethrow,1 of 2,[],203497,,,1610612750,6,7,2022-10-29T00:14:06Z,230000,,,0,,R. Gobert Free Throw 1 of 2 (3 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
24,PT10M10.00S,2022-10-29T00:14:27.2Z,1,REGULAR,freethrow,2 of 2,[],203497,,,1610612750,7,7,2022-10-29T00:14:27Z,240000,,,0,,R. Gobert Free Throw 2 of 2 (4 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
25,PT09M57.00S,2022-10-29T00:14:44.1Z,1,REGULAR,3pt,Jump Shot,[],2544,32.933639947437584,48.28431372549019,1610612747,7,7,2022-10-29T00:14:49Z,250000,9.0,257.0,1,left,MISS L. James 25' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Center,25.72,Missed,,,,,,,,,,,,,,,,,,
26,PT09M54.00S,2022-10-29T00:14:47.1Z,1,REGULAR,rebound,offensive,[],1627745,,,1610612747,7,7,2022-10-29T00:14:49Z,260000,,,0,,D. Jones REBOUND (Off:1 Def:0),[1627745],1610612747.0,LAL,,,,Jones,D. Jones,,,,,Above the Break 3,24+ Center,,,,,,,,,25.0,1.0,0.0,1.0,,,,,,,,
27,PT09M48.00S,2022-10-29T00:14:52.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628972,22.421156373193167,29.166666666666668,1610612747,7,7,2022-10-29T00:15:00Z,270000,104.0,158.0,1,left,MISS T. Brown Jr. 18' step back Shot,[1628972],1610612747.0,LAL,step back,,,Brown Jr.,T. Brown Jr.,,,,,Mid-Range,16-24 Right Center,18.95,Missed,,,,,,,,,,,,,,,,,,
28,PT09M45.00S,2022-10-29T00:14:55.8Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,7,7,2022-10-29T00:15:00Z,280000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,16-24 Right Center,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,
29,PT09M36.00S,2022-10-29T00:15:05.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,93.9060446780552,49.01960784313725,1610612750,9,7,2022-10-29T00:15:10Z,290000,-5.0,5.0,1,right,A. Edwards driving finger roll Layup (2 PTS),[1630162],1610612750.0,MIN,driving finger roll,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,0.69,Made,2.0,,,,,,,,,,,,,,,,,
30,PT09M30.00S,2022-10-29T00:15:13.2Z,1,REGULAR,foul,personal,[],1630162,,,1610612747,9,7,2022-10-29T00:15:23Z,300000,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 1629022]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,1627524.0,1.0,0.0,Walker IV,1629022.0,,,
32,PT09M24.00S,2022-10-29T00:15:36.5Z,1,REGULAR,3pt,Jump Shot,[],1629022,21.23850197109067,90.44117647058823,1610612747,9,7,2022-10-29T00:15:40Z,320000,-202.0,147.0,1,left,MISS L. Walker IV 25' 3PT,[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,Above the Break 3,24+ Left Center,25.0,Missed,,,,,,,,,,,,,,,,,,
33,PT09M21.00S,2022-10-29T00:15:39.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,9,7,2022-10-29T00:15:40Z,330000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,
34,PT09M10.00S,2022-10-29T00:15:52.0Z,1,REGULAR,turnover,traveling,[],203497,,,1610612750,9,7,2022-10-29T00:15:57Z,340000,,,0,,R. Gobert traveling TURNOVER (1 TO),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,201639.0,,,,,1.0,,
35,PT08M56.00S,2022-10-29T00:16:19.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",2544,19.004599211563733,45.34313725490196,1610612747,9,7,2022-10-29T00:16:28Z,350000,23.0,126.0,1,left,MISS L. James 12' step back Shot,[2544],1610612747.0,LAL,step back,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Center,12.82,Missed,,,,,,,,,,,,,,,,,,
36,PT08M54.00S,2022-10-29T00:16:21.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,9,7,2022-10-29T00:16:28Z,360000,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,
37,PT08M46.00S,2022-10-29T00:16:32.4Z,1,REGULAR,foul,personal,['2freethrow'],1629022,,,1610612750,9,7,2022-10-29T00:16:41Z,370000,,,0,,L. Walker IV shooting personal FOUL (1 PF) (Russell 2 FT),"[1629022, 1626156]",1610612747.0,LAL,shooting,,,Walker IV,L. Walker IV,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1627524.0,1.0,0.0,Russell,1626156.0,,,
39,PT08M46.00S,2022-10-29T00:16:55.0Z,1,REGULAR,freethrow,1 of 2,[],1626156,,,1610612750,9,7,2022-10-29T00:16:55Z,390000,,,0,,MISS D. Russell Free Throw 1 of 2,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
40,PT08M46.00S,2022-10-29T00:16:55.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,9,7,2022-10-29T00:16:55Z,400000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,
41,PT08M46.00S,2022-10-29T00:17:14.2Z,1,REGULAR,freethrow,2 of 2,[],1626156,,,1610612750,10,7,2022-10-29T00:17:14Z,410000,,,0,,D. Russell Free Throw 2 of 2 (1 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
42,PT08M37.00S,2022-10-29T00:17:24.4Z,1,REGULAR,3pt,Jump Shot,[],1628972,28.728646517739815,77.94117647058823,1610612747,10,10,2022-10-29T00:17:30Z,420000,-140.0,218.0,1,left,T. Brown Jr. 25' 3PT step back (3 PTS) (L. James 1 AST),"[1628972, 2544]",1610612747.0,LAL,step back,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Left Center,25.85,Made,3.0,L. James,2544.0,1.0,,,,,,,,,,,,,,
44,PT08M17.00S,2022-10-29T00:17:44.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,92.9862023653088,48.28431372549019,1610612750,12,10,2022-10-29T00:17:48Z,440000,-9.0,13.0,1,right,R. Gobert Layup (6 PTS) (J. McDaniels 1 AST),"[203497, 1630183]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.59,Made,6.0,J. McDaniels,1630183.0,1.0,,,,,,,,,,,,,,
46,PT08M04.00S,2022-10-29T00:17:58.9Z,1,REGULAR,foul,personal,[],1626156,,,1610612747,12,10,2022-10-29T00:18:05Z,460000,,,0,,D. Russell personal FOUL (1 PF),"[1626156, 201976]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,201639.0,1.0,0.0,Beverley,201976.0,,,
48,PT07M58.00S,2022-10-29T00:18:23.0Z,1,REGULAR,turnover,bad pass,[],1629022,,,1610612747,12,10,2022-10-29T00:18:27Z,480000,,,0,,L. Walker IV bad pass TURNOVER (1 TO),"[1629022, 1626157]",1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,1.0,Towns,1626157.0
49,PT07M58.00S,2022-10-29T00:18:23.0Z,1,REGULAR,steal,,[],1626157,,,1610612750,12,10,2022-10-29T00:18:25Z,490000,,,0,,K. Towns STEAL (1 STL),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
50,PT07M42.00S,2022-10-29T00:18:38.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630162,68.15045992115637,29.166666666666668,1610612750,12,10,2022-10-29T00:18:43Z,500000,-104.0,247.0,1,right,MISS A. Edwards 26' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,26.8,Missed,,,,,,,,,,,,,,,,,,
51,PT07M40.00S,2022-10-29T00:18:40.7Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612747,12,10,2022-10-29T00:18:43Z,510000,,,0,,T. Brown Jr. REBOUND (Off:0 Def:1),[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,
52,PT07M28.00S,2022-10-29T00:18:54.4Z,1,REGULAR,turnover,out-of-bounds,[],201976,,,1610612747,12,10,2022-10-29T00:19:04Z,520000,,,0,,P. Beverley bad pass out-of-bounds TURNOVER (1 TO),[201976],1610612747.0,LAL,bad pass,,,Beverley,P. Beverley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,202026.0,,,,,1.0,,
53,PT07M28.00S,2022-10-29T00:19:00.4Z,1,REGULAR,substitution,out,[],1628972,,,1610612750,12,10,2022-10-29T00:19:08Z,530000,,,0,,SUB out: T. Brown Jr.,[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M28.00S,2022-10-29T00:19:00.4Z,1,REGULAR,substitution,in,[],201566,,,1610612750,12,10,2022-10-29T00:19:08Z,540000,,,0,,SUB in: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M17.00S,2022-10-29T00:19:23.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626156,75.3777923784494,83.08823529411765,1610612750,15,10,2022-10-29T00:19:29Z,550000,165.0,179.0,1,right,D. Russell 24' 3PT  (4 PTS) (R. Gobert 1 AST),"[1626156, 203497]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,24.36,Made,4.0,R. Gobert,203497.0,1.0,,,,,,,,,,,,,,
57,PT07M07.00S,2022-10-29T00:19:36.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,8.886333771353483,48.28431372549019,1610612747,15,10,2022-10-29T00:19:51Z,570000,9.0,31.0,1,left,MISS R. Westbrook driving Layup,[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,3.22,Missed,,,,,,,,,,,,,,,,,,
58,PT07M06.00S,2022-10-29T00:19:37.0Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,15,10,2022-10-29T00:19:51Z,580000,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,57.0,2.0,2.0,0.0,,,,,,,,
60,PT06M50.00S,2022-10-29T00:20:01.2Z,1,REGULAR,2pt,Jump Shot,[],1626156,76.16622864651774,32.59803921568628,1610612750,17,10,2022-10-29T00:20:06Z,600000,-87.0,172.0,1,right,D. Russell 19' pullup Jump Shot (6 PTS) (R. Gobert 2 AST),"[1626156, 203497]",1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,Mid-Range,16-24 Left Center,19.23,Made,6.0,R. Gobert,203497.0,2.0,,,,,,,,,,,,,,
62,PT06M36.00S,2022-10-29T00:20:15.2Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,17,10,2022-10-29T00:20:19Z,620000,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 1626156]",1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,1.0,Russell,1626156.0
63,PT06M36.00S,2022-10-29T00:20:15.2Z,1,REGULAR,steal,,[],1626156,,,1610612750,17,10,2022-10-29T00:20:17Z,630000,,,0,,D. Russell STEAL (1 STL),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
64,PT06M30.00S,2022-10-29T00:20:21.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626157,94.30026281208936,50.245098039215684,1610612750,19,10,2022-10-29T00:20:29Z,640000,1.0,1.0,1,right,K. Towns running finger roll Layup (2 PTS) (D. Russell 1 AST),"[1626157, 1626156]",1610612750.0,MIN,running finger roll,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,0.16,Made,2.0,D. Russell,1626156.0,1.0,,,,,,,,,,,,,,
66,PT06M30.00S,2022-10-29T00:20:29.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,19,10,2022-10-29T00:20:29Z,660000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M30.00S,2022-10-29T00:22:53.7Z,1,REGULAR,substitution,out,[],201976,,,1610612747,19,10,2022-10-29T00:23:11Z,670000,,,0,,SUB out: P. Beverley,[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M30.00S,2022-10-29T00:22:53.7Z,1,REGULAR,substitution,in,[],1630559,,,1610612747,19,10,2022-10-29T00:23:11Z,680000,,,0,,SUB in: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M19.00S,2022-10-29T00:23:37.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,7.046649145860711,48.03921568627451,1610612747,19,10,2022-10-29T00:23:48Z,690000,10.0,14.0,1,left,MISS L. James driving Layup,[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,Restricted Area,0-8 Center,1.68,Missed,,,,,,,,,,,,,,,,,,
70,PT06M18.00S,2022-10-29T00:23:38.9Z,1,REGULAR,rebound,offensive,[],1627745,,,1610612747,19,10,2022-10-29T00:23:48Z,700000,,,0,,D. Jones REBOUND (Off:2 Def:0),[1627745],1610612747.0,LAL,,,,Jones,D. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,69.0,2.0,0.0,2.0,,,,,,,,
71,PT06M18.00S,2022-10-29T00:23:43.1Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1627745,5.590000152587891,50.0,1610612747,19,12,2022-10-29T00:23:53Z,710000,0.0,0.0,1,left,D. Jones tip DUNK (2 PTS),[1627745],1610612747.0,LAL,tip,,,Jones,D. Jones,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
72,PT06M01.00S,2022-10-29T00:23:56.9Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612750,19,12,2022-10-29T00:24:00Z,720000,,,0,,D. Russell bad pass TURNOVER (1 TO),"[1626156, 2544]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,James,2544.0
73,PT06M01.00S,2022-10-29T00:23:56.9Z,1,REGULAR,steal,,[],2544,,,1610612747,19,12,2022-10-29T00:23:58Z,730000,,,0,,L. James STEAL (1 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
74,PT05M54.00S,2022-10-29T00:24:03.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629022,6.389618922470433,79.41176470588235,1610612747,19,12,2022-10-29T00:24:08Z,740000,-147.0,8.0,1,left,MISS L. Walker IV 14' pullup Shot,[1629022],1610612747.0,LAL,pullup,,,Walker IV,L. Walker IV,,,,,Mid-Range,8-16 Left,14.73,Missed,,,,,,,,,,,,,,,,,,
75,PT05M52.00S,2022-10-29T00:24:05.6Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,19,12,2022-10-29T00:24:08Z,750000,,,0,,R. Gobert REBOUND (Off:0 Def:3),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Left,,,,,,,,,74.0,3.0,3.0,0.0,,,,,,,,
76,PT05M43.00S,2022-10-29T00:24:15.1Z,1,REGULAR,3pt,Jump Shot,[],1630162,68.80749014454665,37.99019607843137,1610612750,19,12,2022-10-29T00:24:20Z,760000,-60.0,241.0,1,right,MISS A. Edwards 24' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,24.81,Missed,,,,,,,,,,,,,,,,,,
77,PT05M39.00S,2022-10-29T00:24:19.1Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,19,12,2022-10-29T00:24:20Z,770000,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Center,,,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,
79,PT05M32.00S,2022-10-29T00:24:25.1Z,1,REGULAR,turnover,bad pass,[],1627745,,,1610612747,19,12,2022-10-29T00:25:19Z,790000,,,0,,D. Jones bad pass TURNOVER (1 TO),"[1627745, 203497]",1610612747.0,LAL,,,,Jones,D. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,1.0,Gobert,203497.0
80,PT05M32.00S,2022-10-29T00:24:25.1Z,1,REGULAR,steal,,[],203497,,,1610612750,19,12,2022-10-29T00:24:31Z,800000,,,0,,R. Gobert STEAL (1 STL),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
81,PT05M23.00S,2022-10-29T00:24:34.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630162,94.82588699080158,49.754901960784316,1610612750,21,12,2022-10-29T00:24:39Z,810000,-1.0,-4.0,1,right,A. Edwards driving finger roll Layup (4 PTS) (D. Russell 2 AST),"[1630162, 1626156]",1610612750.0,MIN,driving finger roll,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,0.41,Made,4.0,D. Russell,1626156.0,2.0,,,,,,,,,,,,,,
83,PT05M11.00S,2022-10-29T00:24:49.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627745,9.149145860709593,49.50980392156863,1610612747,21,12,2022-10-29T00:25:16Z,830000,2.0,34.0,1,left,MISS D. Jones cutting Layup - blocked,"[1627745, 1626156]",1610612747.0,LAL,cutting,,,Jones,D. Jones,,,,,Restricted Area,0-8 Center,3.36,Missed,,,,,Russell,1626156.0,,,,,,,,,,,,
84,PT05M11.00S,2022-10-29T00:24:49.9Z,1,REGULAR,block,,[],1626156,,,1610612747,21,12,2022-10-29T00:24:52Z,840000,,,0,,D. Russell BLOCK (1 BLK),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
85,PT05M10.00S,2022-10-29T00:24:50.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,21,12,2022-10-29T00:25:16Z,850000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,83.0,,,,,,,,,,,
87,PT05M10.00S,2022-10-29T00:25:00.3Z,1,REGULAR,substitution,out,[],1626156,,,1610612747,21,12,2022-10-29T00:25:08Z,870000,,,0,,SUB out: D. Russell,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M10.00S,2022-10-29T00:25:00.3Z,1,REGULAR,substitution,out,[],203497,,,1610612747,21,12,2022-10-29T00:25:08Z,880000,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M10.00S,2022-10-29T00:25:00.3Z,1,REGULAR,substitution,in,[],203085,,,1610612747,21,12,2022-10-29T00:25:08Z,890000,,,0,,SUB in: A. Rivers,[203085],1610612750.0,MIN,,,,Rivers,A. Rivers,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M10.00S,2022-10-29T00:25:00.3Z,1,REGULAR,substitution,in,[],1627752,,,1610612747,21,12,2022-10-29T00:25:08Z,900000,,,0,,SUB in: T. Prince,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
