actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
37,PT09M22.00S,2022-10-22T00:16:05.6Z,1,REGULAR,foul,personal,['1freethrow'],201144,,,1610612750,12,3,2022-10-22T00:16:19Z,370000,False,,,0,,M. Conley shooting personal FOUL (1 PF) (McDaniels 1 FT),"[201144, 1630183]",1610612762.0,UTA,shooting,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,,,,1155.0,1.0,0.0,McDaniels,1630183.0,,,,,,,,,,,,
39,PT09M22.00S,2022-10-22T00:16:29.4Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1630183,,,1610612750,13,3,2022-10-22T00:16:29Z,390000,False,,,0,,J. McDaniels Free Throw 1 of 1 (3 PTS),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
40,PT09M09.00S,2022-10-22T00:16:43.5Z,1,REGULAR,3pt,Jump Shot,[],201144,28.07161629434954,20.588235294117645,1610612762,13,3,2022-10-22T00:16:48Z,400000,False,147.0,211.0,1,left,MISS M. Conley 25' pullup 3PT,[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,25.75,Missed,,,,,,,,,,,,,,,,,,
41,PT09M06.00S,2022-10-22T00:16:46.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,13,3,2022-10-22T00:16:48Z,410000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,
42,PT08M53.00S,2022-10-22T00:17:00.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,93.24901445466492,47.05882352941176,1610612750,13,3,2022-10-22T00:17:27Z,420000,False,-15.0,11.0,1,right,MISS A. Edwards driving Layup,[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,1.84,Missed,,,,,,,,,,,,,,,,,,
43,PT08M52.00S,2022-10-22T00:17:01.8Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,13,3,2022-10-22T00:17:27Z,430000,False,,,0,,R. Gobert REBOUND (Off:1 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,42.0,3.0,2.0,1.0,,,,
44,PT08M51.00S,2022-10-22T00:17:02.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203497,94.03745072273325,50.73529411764706,1610612750,13,3,2022-10-22T00:17:17Z,440000,False,4.0,4.0,1,right,MISS R. Gobert Layup,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,0.51,Missed,,,,,,,,,,,,,,,,,,
45,PT08M50.00S,2022-10-22T00:17:03.9Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,13,3,2022-10-22T00:17:17Z,450000,False,,,0,,K. Towns REBOUND (Off:1 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,44.0,2.0,1.0,1.0,,,,
46,PT08M50.00S,2022-10-22T00:17:08.5Z,1,REGULAR,foul,personal,['2freethrow'],1629020,,,1610612750,13,3,2022-10-22T00:17:22Z,460000,False,,,0,,J. Vanderbilt shooting personal FOUL (2 PF) (Towns 2 FT),"[1629020, 1626157]",1610612762.0,UTA,shooting,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,,,,1629183.0,2.0,0.0,Towns,1626157.0,,,,,,,,,,,,
48,PT08M50.00S,2022-10-22T00:17:37.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626157,,,1610612750,14,3,2022-10-22T00:18:34Z,480000,False,,,0,,K. Towns Free Throw 1 of 2 (4 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
49,PT08M50.00S,2022-10-22T00:17:39.5Z,1,REGULAR,substitution,out,[],1629020,,,1610612750,14,3,2022-10-22T00:17:44Z,490000,False,,,0,,SUB out: J. Vanderbilt,[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M50.00S,2022-10-22T00:17:39.5Z,1,REGULAR,substitution,in,[],1631117,,,1610612750,14,3,2022-10-22T00:17:44Z,500000,False,,,0,,SUB in: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M50.00S,2022-10-22T00:17:37.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1626157,,,1610612750,15,3,2022-10-22T00:25:25Z,510000,False,,,0,,K. Towns Free Throw 2 of 2 (5 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
94,PT08M41.00S,2022-10-22T00:17:38.6Z,1,REGULAR,3pt,Jump Shot,[],203903,31.45532194480947,28.92156862745098,1610612762,15,3,2022-10-22T00:26:06Z,525000,False,105.0,243.0,1,left,MISS J. Clarkson 26' pullup 3PT,[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,26.51,Missed,,,,,,,,,,,,,,,,,,
95,PT08M40.00S,2022-10-22T00:17:39.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,15,3,2022-10-22T00:26:22Z,532500,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,94.0,,,,,,,
55,PT08M27.00S,2022-10-22T00:18:31.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,93.77463863337714,35.049019607843135,1610612750,15,3,2022-10-22T00:26:06Z,550000,False,-75.0,6.0,1,right,MISS K. Towns 7' floating Shot,[1626157],1610612750.0,MIN,floating,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,7.5,Missed,,,,,,,,,,,,,,,,,,
56,PT08M26.00S,2022-10-22T00:18:32.0Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,15,3,2022-10-22T00:22:34Z,560000,False,,,0,,J. Clarkson REBOUND (Off:0 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,55.0,1.0,1.0,0.0,,,,
57,PT08M15.00S,2022-10-22T00:18:44.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,14.011169513797633,55.63725490196079,1610612762,15,5,2022-10-22T00:19:17Z,570000,False,-28.0,79.0,1,left,L. Markkanen 8' Jump Shot (2 PTS),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Center,8.41,Made,2.0,,,,,,,,,,,,,,,,,
58,PT08M15.00S,2022-10-22T00:18:49.0Z,1,REGULAR,foul,personal,['1freethrow'],1630183,,,1610612762,15,5,2022-10-22T00:18:58Z,580000,False,,,0,,J. McDaniels shooting personal FOUL (1 PF) (Markkanen 1 FT),"[1630183, 1628374]",1610612750.0,MIN,shooting,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,,1155.0,1.0,0.0,Markkanen,1628374.0,,,,,,,,,,,,
173,PT08M15.00S,2022-10-22T00:19:21.5Z,1,REGULAR,violation,double lane,[],203497,,,1610612762,15,5,2022-10-22T00:37:37Z,600000,False,,,0,,R. Gobert double lane VIOLATION,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT08M15.00S,2022-10-22T00:19:21.5Z,1,REGULAR,violation,double lane,[],1631117,,,1610612762,15,5,2022-10-22T00:37:37Z,605000,False,,,0,,W. Kessler double lane VIOLATION,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT08M09.00S,2022-10-22T00:19:54.0Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612762,15,5,2022-10-22T00:21:46Z,610000,False,,,0,,Jump Ball R. Gobert vs. W. Kessler: Tip to D. Russell,"[1626156, 203497, 1631117]",1610612750.0,MIN,doubleviolation,D. Russell,1626156.0,Russell,D. Russell,Gobert,203497.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
64,PT08M01.00S,2022-10-22T00:20:02.0Z,1,REGULAR,2pt,Jump Shot,[],1626156,77.61169513797634,41.66666666666667,1610612750,17,5,2022-10-22T00:20:06Z,640000,False,-42.0,158.0,1,right,D. Russell 16' Jump Shot (6 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Mid-Range,16-24 Center,16.34,Made,6.0,,,,,,,,,,,,,,,,,
65,PT07M45.00S,2022-10-22T00:20:17.3Z,1,REGULAR,3pt,Jump Shot,[],203482,32.276609724047304,36.029411764705884,1610612762,17,8,2022-10-22T00:20:56Z,650000,False,70.0,251.0,1,left,K. Olynyk 26' 3PT  (3 PTS) (W. Kessler 1 AST),"[203482, 1631117]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Center,26.05,Made,3.0,,,,,,,W. Kessler,1631117.0,1.0,,,,,,,,
66,PT07M40.00S,2022-10-22T00:20:25.3Z,1,REGULAR,foul,offensive,[],1626157,,,1610612750,17,8,2022-10-22T00:39:08Z,660000,False,,,0,,K. Towns offensive FOUL (1 PF),"[1626157, 203482]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Left,,,,1629183.0,1.0,0.0,Olynyk,203482.0,,,,,,,,,,,,
68,PT07M40.00S,2022-10-22T00:20:25.3Z,1,REGULAR,turnover,offensive foul,[],1626157,,,1610612750,17,8,2022-10-22T00:38:47Z,680000,False,,,0,,K. Towns offensive foul TURNOVER (1 TO),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Left,,,,1155.0,,,,,1.0,,,,,,,,,,,
70,PT07M26.00S,2022-10-22T00:20:51.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628374,7.046649145860711,49.26470588235294,1610612762,17,10,2022-10-22T00:20:59Z,690000,False,4.0,14.0,1,left,L. Markkanen DUNK (4 PTS) (M. Conley 1 AST),"[1628374, 201144]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,1.42,Made,4.0,,,,,,,M. Conley,201144.0,1.0,,,,,,,,
71,PT07M11.00S,2022-10-22T00:21:06.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,93.38042049934296,48.529411764705884,1610612750,19,10,2022-10-22T00:21:12Z,700000,False,-7.0,10.0,1,right,A. Edwards driving Layup (5 PTS),[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,1.22,Made,5.0,,,,,,,,,,,,,,,,,
72,PT06M59.00S,2022-10-22T00:21:18.3Z,1,REGULAR,3pt,Jump Shot,[],1628374,5.469776609724048,96.07843137254902,1610612762,19,13,2022-10-22T00:21:25Z,710000,False,-230.0,-1.0,1,left,L. Markkanen 3PT  (7 PTS) (M. Conley 2 AST),"[1628374, 201144]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Left Corner 3,24+ Left,23.04,Made,7.0,,,,,,,M. Conley,201144.0,2.0,,,,,,,,
74,PT06M47.00S,2022-10-22T00:21:30.5Z,1,REGULAR,2pt,Jump Shot,[],1626156,93.77463863337714,24.509803921568626,1610612750,21,13,2022-10-22T00:40:51Z,730000,False,-127.0,6.0,1,right,D. Russell 12' step back Jump Shot (8 PTS),[1626156],1610612750.0,MIN,step back,,,Russell,D. Russell,,,,,Mid-Range,8-16 Left,12.76,Made,8.0,,,,,,,,,,,,,,,,,
75,PT06M33.00S,2022-10-22T00:21:44.3Z,1,REGULAR,2pt,Jump Shot,[],203482,18.873193166885677,29.166666666666668,1610612762,21,13,2022-10-22T00:21:53Z,740000,False,104.0,125.0,1,left,MISS K. Olynyk 16' Jump Shot,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Right Center,16.27,Missed,,,,,,,,,,,,,,,,,,
76,PT06M31.00S,2022-10-22T00:21:46.3Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,21,13,2022-10-22T00:21:53Z,750000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,75.0,1.0,1.0,0.0,,,,
77,PT06M27.00S,2022-10-22T00:21:50.7Z,1,REGULAR,turnover,lost ball,[],1630162,,,1610612750,21,13,2022-10-22T00:21:56Z,760000,False,,,0,,A. Edwards lost ball TURNOVER (2 TO),"[1630162, 201144]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Center,,,,,,,,,2.0,,,,,,,,Conley,201144.0,,
78,PT06M27.00S,2022-10-22T00:21:50.7Z,1,REGULAR,steal,,[],201144,,,1610612762,21,13,2022-10-22T00:21:52Z,770000,False,,,0,,M. Conley STEAL (1 STL),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
79,PT06M21.00S,2022-10-22T00:22:00.0Z,1,REGULAR,foul,personal,[],1630183,,,1610612762,21,13,2022-10-22T00:22:13Z,780000,False,,,0,,J. McDaniels personal FOUL (2 PF),"[1630183, 1631117]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,1629183.0,2.0,0.0,Kessler,1631117.0,,,,,,,,,,,,
81,PT06M21.00S,2022-10-22T00:22:09.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,21,13,2022-10-22T00:22:09Z,800000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M21.00S,2022-10-22T00:24:00.1Z,1,REGULAR,substitution,out,[],1630183,,,1610612762,21,13,2022-10-22T00:24:51Z,810000,False,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M21.00S,2022-10-22T00:24:00.1Z,1,REGULAR,substitution,out,[],201144,,,1610612762,21,13,2022-10-22T00:24:51Z,820000,False,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M21.00S,2022-10-22T00:24:00.1Z,1,REGULAR,substitution,in,[],203937,,,1610612762,21,13,2022-10-22T00:24:51Z,830000,False,,,0,,SUB in: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M21.00S,2022-10-22T00:24:00.1Z,1,REGULAR,substitution,in,[],1629012,,,1610612762,21,13,2022-10-22T00:24:51Z,840000,False,,,0,,SUB in: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M12.00S,2022-10-22T00:25:20.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628374,28.728646517739815,74.26470588235294,1610612762,21,13,2022-10-22T00:25:24Z,850000,False,-121.0,218.0,1,left,MISS L. Markkanen 24' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,24.9,Missed,,,,,,,,,,,,,,,,,,
