actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
17,PT10M48.00S,2023-01-01T01:12:40.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630162,92.59198423127464,51.71568627450981,1610612750,4,2,2023-01-01T01:12:45Z,160000,False,9.0,17.0,1,right,A. Edwards driving Layup (2 PTS) (D. Russell 1 AST),"[1630162, 1626156]",1610612750.0,MIN,,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,Made,2.0,1.91,,,,,,D. Russell,1626156.0,1.0,,,,
19,PT10M35.00S,2023-01-01T01:12:54.7Z,1,REGULAR,2pt,Jump Shot,[],202711,5.601182654402102,73.2843137254902,1610612765,4,2,2023-01-01T01:14:43Z,180000,False,-116.0,0.0,1,left,MISS B. Bogdanovic 11' step back Shot,[202711],1610612765.0,DET,,step back,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Left,,,,,Missed,,11.64,,,,,,,,,,,,
20,PT10M34.00S,2023-01-01T01:12:55.7Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,4,2,2023-01-01T01:14:43Z,190000,False,,,0,,I. Stewart REBOUND (Off:1 Def:0),[1630191],1610612765.0,DET,,,,,Stewart,I. Stewart,,,,,Mid-Range,8-16 Left,,,,,,,,19.0,1.0,0.0,1.0,,,,,,,,
21,PT10M34.00S,2023-01-01T01:12:59.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630191,5.590000152587891,50.0,1610612765,4,4,2023-01-01T01:14:49Z,200000,False,0.0,0.0,1,left,I. Stewart tip Layup (2 PTS),[1630191],1610612765.0,DET,,tip,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,,,,,Made,2.0,0.0,,,,,,,,,,,,
22,PT10M23.00S,2023-01-01T01:13:09.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,84.83902759526939,38.23529411764706,1610612750,6,4,2023-01-01T01:13:32Z,210000,False,-59.0,90.0,1,right,D. Russell 10' driving floating bank Jump Shot (2 PTS),[1626156],1610612750.0,MIN,,driving floating bank,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Left,,,,,Made,2.0,10.75,,,,,,,,,,,,
23,PT10M23.00S,2023-01-01T01:13:13.3Z,1,REGULAR,foul,personal,['1freethrow'],1630191,,,1610612750,6,4,2023-01-01T01:13:22Z,220000,False,,,0,,I. Stewart shooting personal FOUL (2 PF) (Russell 1 FT),"[1630191, 1626156]",1610612765.0,DET,2004.0,shooting,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),8-16 Left,2.0,0.0,Russell,1626156.0,,,,,,,,,,,,,,,
25,PT10M23.00S,2023-01-01T01:13:40.4Z,1,REGULAR,freethrow,1 of 1,[],1626156,,,1610612750,7,4,2023-01-01T01:13:40Z,240000,False,,,0,,D. Russell Free Throw 1 of 1 (3 PTS),[1626156],1610612750.0,MIN,,,,,Russell,D. Russell,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
26,PT10M10.00S,2023-01-01T01:13:57.2Z,1,REGULAR,foul,personal,[],1626156,,,1610612765,7,4,2023-01-01T01:14:08Z,250000,False,,,0,,D. Russell personal FOUL (1 PF),"[1626156, 1630180]",1610612750.0,MIN,1628954.0,,,,Russell,D. Russell,,,,,Mid-Range,16-24 Left,1.0,0.0,Bey,1630180.0,,,,,,,,,,,,,,,
28,PT10M03.00S,2023-01-01T01:14:19.4Z,1,REGULAR,3pt,Jump Shot,[],1630180,27.54599211563732,19.852941176470587,1610612765,7,4,2023-01-01T01:14:24Z,270000,False,151.0,206.0,1,left,MISS S. Bey 25' 3PT,[1630180],1610612765.0,DET,,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Right Center,,,,,Missed,,25.56,,,,,,,,,,,,
29,PT09M59.00S,2023-01-01T01:14:23.4Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,7,4,2023-01-01T01:14:24Z,280000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,
30,PT09M53.00S,2023-01-01T01:14:33.2Z,1,REGULAR,turnover,out-of-bounds,[],1630162,,,1610612750,7,4,2023-01-01T01:14:38Z,290000,False,,,0,,A. Edwards bad pass out-of-bounds TURNOVER (1 TO),[1630162],1610612750.0,MIN,1628954.0,bad pass,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1.0,,,,,,,
31,PT09M44.00S,2023-01-01T01:14:46.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631093,33.85348226018397,50.0,1610612765,7,4,2023-01-01T01:14:50Z,300000,False,0.0,266.0,1,left,MISS J. Ivey 26' pullup 3PT,[1631093],1610612765.0,DET,,pullup,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Center,,,,,Missed,,26.57,,,,,,,,,,,,
32,PT09M42.00S,2023-01-01T01:14:48.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,7,4,2023-01-01T01:14:50Z,310000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,31.0,,,,,,,,,,,
35,PT09M32.00S,2023-01-01T01:15:14.9Z,1,REGULAR,foul,offensive,[],203497,,,1610612750,7,4,2023-01-01T01:15:36Z,340000,False,,,0,,R. Gobert offensive FOUL (1 PF),"[203497, 1630191]",1610612750.0,MIN,1628954.0,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Right,1.0,0.0,Stewart,1630191.0,,,,,,,,,,,,,,,
37,PT09M32.00S,2023-01-01T01:15:14.9Z,1,REGULAR,turnover,offensive foul,[],203497,,,1610612750,7,4,2023-01-01T01:15:14Z,360000,False,,,0,,R. Gobert offensive foul TURNOVER (1 TO),[203497],1610612750.0,MIN,1628954.0,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,1.0,,,,,,,
38,PT09M21.00S,2023-01-01T01:15:42.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630191,23.99802890932983,12.5,1610612765,7,4,2023-01-01T01:15:47Z,370000,False,188.0,173.0,1,left,MISS I. Stewart 25' 3PT,[1630191],1610612765.0,DET,,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Right Center,,,,,Missed,,25.52,,,,,,,,,,,,
39,PT09M18.00S,2023-01-01T01:15:45.0Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,7,4,2023-01-01T01:15:47Z,380000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,
40,PT09M04.00S,2023-01-01T01:15:58.3Z,1,REGULAR,2pt,Jump Shot,[],1626156,75.3777923784494,51.470588235294116,1610612750,9,4,2023-01-01T01:16:03Z,390000,False,7.0,179.0,1,right,D. Russell 17' pullup Jump Shot (5 PTS),[1626156],1610612750.0,MIN,,pullup,,,Russell,D. Russell,,,,,Mid-Range,16-24 Center,,,,,Made,5.0,17.91,,,,,,,,,,,,
41,PT08M57.00S,2023-01-01T01:16:09.0Z,1,REGULAR,foul,personal,[],1630162,,,1610612765,9,4,2023-01-01T01:16:16Z,400000,False,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 1631093]",1610612750.0,MIN,2004.0,,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Right,1.0,0.0,Ivey,1631093.0,,,,,,,,,,,,,,,
43,PT08M51.00S,2023-01-01T01:16:33.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,19.136005256241788,39.950980392156865,1610612765,9,4,2023-01-01T01:16:40Z,420000,False,50.0,127.0,1,left,MISS S. Bey 13' turnaround Shot,[1630180],1610612765.0,DET,,turnaround,,,Bey,S. Bey,,,,,In The Paint (Non-RA),8-16 Center,,,,,Missed,,13.69,,,,,,,,,,,,
44,PT08M48.00S,2023-01-01T01:16:36.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,9,4,2023-01-01T01:16:40Z,430000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,43.0,,,,,,,,,,,
46,PT08M34.00S,2023-01-01T01:16:57.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,90.3580814717477,49.50980392156863,1610612750,11,4,2023-01-01T01:17:07Z,450000,False,-2.0,38.0,1,right,D. Russell floating Jump Shot (7 PTS) (A. Edwards 1 AST),"[1626156, 1630162]",1610612750.0,MIN,,floating,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,,,Made,7.0,3.82,,,,,,A. Edwards,1630162.0,1.0,,,,
48,PT08M33.00S,2023-01-01T01:17:02.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,11,4,2023-01-01T01:17:02Z,470000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M33.00S,2023-01-01T01:19:12.1Z,1,REGULAR,substitution,out,[],1630191,,,1610612765,11,4,2023-01-01T01:19:32Z,480000,False,,,0,,SUB out: I. Stewart,[1630191],1610612765.0,DET,,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M33.00S,2023-01-01T01:19:12.1Z,1,REGULAR,substitution,in,[],1628977,,,1610612765,11,4,2023-01-01T01:19:32Z,490000,False,,,0,,SUB in: H. Diallo,[1628977],1610612765.0,DET,,,,,Diallo,H. Diallo,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M11.00S,2023-01-01T01:20:16.5Z,1,REGULAR,foul,personal,['2freethrow'],1626156,,,1610612765,11,4,2023-01-01T01:20:24Z,500000,False,,,0,,D. Russell shooting personal FOUL (2 PF) (Bey 2 FT),"[1626156, 1630180]",1610612750.0,MIN,202035.0,shooting,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,2.0,0.0,Bey,1630180.0,,,,,,,,,,,,,,,
53,PT08M11.00S,2023-01-01T01:20:50.2Z,1,REGULAR,freethrow,1 of 2,[],1630180,,,1610612765,11,5,2023-01-01T01:20:50Z,520000,False,,,0,,S. Bey Free Throw 1 of 2 (1 PTS),[1630180],1610612765.0,DET,,,,,Bey,S. Bey,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
54,PT08M11.00S,2023-01-01T01:21:04.2Z,1,REGULAR,freethrow,2 of 2,[],1630180,,,1610612765,11,6,2023-01-01T01:21:04Z,530000,False,,,0,,S. Bey Free Throw 2 of 2 (2 PTS),[1630180],1610612765.0,DET,,,,,Bey,S. Bey,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
55,PT07M57.00S,2023-01-01T01:21:20.6Z,1,REGULAR,2pt,Jump Shot,[],1630183,94.69448094612353,81.86274509803921,1610612750,13,6,2023-01-01T01:21:24Z,540000,False,159.0,-3.0,1,right,J. McDaniels 15' pullup Jump Shot (4 PTS) (A. Edwards 2 AST),"[1630183, 1630162]",1610612750.0,MIN,,pullup,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Right,,,,,Made,4.0,15.93,,,,,,A. Edwards,1630162.0,2.0,,,,
57,PT07M37.00S,2023-01-01T01:21:40.3Z,1,REGULAR,3pt,Jump Shot,[],1628977,25.706307490144546,12.5,1610612765,13,6,2023-01-01T01:21:44Z,560000,False,188.0,189.0,1,left,MISS H. Diallo 26' 3PT,[1628977],1610612765.0,DET,,,,,Diallo,H. Diallo,,,,,Above the Break 3,24+ Right Center,,,,,Missed,,26.63,,,,,,,,,,,,
58,PT07M33.00S,2023-01-01T01:21:44.3Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,13,6,2023-01-01T01:21:44Z,570000,False,,,0,,A. Edwards REBOUND (Off:0 Def:2),[1630162],1610612750.0,MIN,,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,,,,,,,,57.0,2.0,2.0,0.0,,,,,,,,
59,PT07M24.00S,2023-01-01T01:21:52.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,92.9862023653088,50.98039215686274,1610612750,15,6,2023-01-01T01:21:56Z,580000,False,5.0,13.0,1,right,A. Edwards driving Layup (4 PTS),[1630162],1610612750.0,MIN,,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,Made,4.0,1.43,,,,,,,,,,,,
60,PT07M19.00S,2023-01-01T01:22:00.1Z,1,REGULAR,foul,personal,['2freethrow'],203497,,,1610612765,15,6,2023-01-01T01:22:05Z,590000,False,,,0,,R. Gobert shooting personal FOUL (2 PF) (Ivey 2 FT),"[203497, 1631093]",1610612750.0,MIN,1628954.0,shooting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,2.0,0.0,Ivey,1631093.0,,,,,,,,,,,,,,,
62,PT07M19.00S,2023-01-01T01:22:21.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631093,,,1610612765,15,7,2023-01-01T01:22:58Z,610000,False,,,0,,J. Ivey Free Throw 1 of 2 (1 PTS),[1631093],1610612765.0,DET,,,,,Ivey,J. Ivey,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
63,PT07M19.00S,2023-01-01T01:22:21.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631093,,,1610612765,15,7,2023-01-01T01:22:58Z,620000,False,,,0,,MISS J. Ivey Free Throw 2 of 2,[1631093],1610612765.0,DET,,,,,Ivey,J. Ivey,,,,,,,,,,,Missed,,,,,,,,,,,,,,
64,PT07M19.00S,2023-01-01T01:22:21.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,15,7,2023-01-01T01:22:58Z,630000,False,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,
65,PT07M19.00S,2023-01-01T01:22:43.3Z,1,REGULAR,foul,personal,['2freethrow'],1631105,,,1610612750,15,7,2023-01-01T01:25:23Z,640000,False,,,0,,J. Duren personal FOUL (1 PF) (Gobert 2 FT),"[1631105, 203497]",1610612765.0,DET,202035.0,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),8-16 Center,1.0,0.0,Gobert,203497.0,,,,,,,,,,,,,,,
67,PT07M19.00S,2023-01-01T01:22:51.0Z,1,REGULAR,substitution,out,[],203497,,,1610612750,15,7,2023-01-01T01:22:53Z,660000,False,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M19.00S,2023-01-01T01:22:51.0Z,1,REGULAR,substitution,in,[],1629675,,,1610612750,15,7,2023-01-01T01:22:53Z,670000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M08.00S,2023-01-01T01:23:10.4Z,1,REGULAR,3pt,Jump Shot,[],1626156,74.19513797634691,18.872549019607842,1610612750,18,7,2023-01-01T01:23:48Z,680000,False,-156.0,190.0,1,right,D. Russell 24' 3PT  (10 PTS) (K. Anderson 1 AST),"[1626156, 203937]",1610612750.0,MIN,,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,,,,,Made,10.0,24.57,,,,,,K. Anderson,203937.0,1.0,,,,
71,PT06M53.00S,2023-01-01T01:23:27.4Z,1,REGULAR,turnover,traveling,[],1631093,,,1610612765,18,7,2023-01-01T01:23:37Z,700000,False,,,0,,J. Ivey traveling TURNOVER (2 TO),[1631093],1610612765.0,DET,202035.0,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,2.0,,,,,,,
72,PT06M37.00S,2023-01-01T01:23:53.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626156,70.12155059132719,23.03921568627451,1610612750,21,7,2023-01-01T01:23:58Z,710000,False,-135.0,228.0,1,right,D. Russell 26' 3PT  (13 PTS),[1626156],1610612750.0,MIN,,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,,,,,Made,13.0,26.52,,,,,,,,,,,,
73,PT06M22.00S,2023-01-01T01:24:12.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630162,,,1610612765,21,7,2023-01-01T01:24:18Z,720000,False,,,0,,A. Edwards personal FOUL (2 PF) (Bogdanovic 2 FT),"[1630162, 202711]",1610612750.0,MIN,1628954.0,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left Center,2.0,0.0,Bogdanovic,202711.0,,,,,,,,,,,,,,,
75,PT06M22.00S,2023-01-01T01:24:40.9Z,1,REGULAR,freethrow,1 of 2,[],202711,,,1610612765,21,8,2023-01-01T01:24:40Z,740000,False,,,0,,B. Bogdanovic Free Throw 1 of 2 (3 PTS),[202711],1610612765.0,DET,,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
76,PT06M22.00S,2023-01-01T01:24:41.6Z,1,REGULAR,substitution,out,[],1631093,,,1610612765,21,8,2023-01-01T01:24:55Z,750000,False,,,0,,SUB out: J. Ivey,[1631093],1610612765.0,DET,,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M22.00S,2023-01-01T01:24:41.6Z,1,REGULAR,substitution,out,[],1630180,,,1610612765,21,8,2023-01-01T01:24:55Z,760000,False,,,0,,SUB out: S. Bey,[1630180],1610612765.0,DET,,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M22.00S,2023-01-01T01:24:41.6Z,1,REGULAR,substitution,in,[],202692,,,1610612765,21,8,2023-01-01T01:24:55Z,770000,False,,,0,,SUB in: A. Burks,[202692],1610612765.0,DET,,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M22.00S,2023-01-01T01:24:41.6Z,1,REGULAR,substitution,in,[],202709,,,1610612765,21,8,2023-01-01T01:24:55Z,780000,False,,,0,,SUB in: C. Joseph,[202709],1610612765.0,DET,,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M22.00S,2023-01-01T01:25:09.4Z,1,REGULAR,freethrow,2 of 2,[],202711,,,1610612765,21,9,2023-01-01T01:25:09Z,790000,False,,,0,,B. Bogdanovic Free Throw 2 of 2 (4 PTS),[202711],1610612765.0,DET,,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
81,PT06M05.00S,2023-01-01T01:25:27.6Z,1,REGULAR,3pt,Jump Shot,[],1626156,72.22404730617609,23.03921568627451,1610612750,21,9,2023-01-01T01:25:32Z,800000,False,-135.0,209.0,1,right,MISS D. Russell 24' step back 3PT,[1626156],1610612750.0,MIN,,step back,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,,,,,Missed,,24.84,,,,,,,,,,,,
82,PT06M02.00S,2023-01-01T01:25:30.6Z,1,REGULAR,rebound,defensive,[],202692,,,1610612765,21,9,2023-01-01T01:25:32Z,810000,False,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612765.0,DET,,,,,Burks,A. Burks,,,,,Above the Break 3,24+ Left Center,,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,
83,PT05M53.00S,2023-01-01T01:25:42.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203937,,,1610612765,21,9,2023-01-01T01:26:16Z,820000,False,,,0,,K. Anderson personal FOUL (1 PF) (Duren 2 FT),"[203937, 1631105]",1610612750.0,MIN,202035.0,,,,Anderson,K. Anderson,,,,,Mid-Range,8-16 Right,1.0,0.0,Duren,1631105.0,,,,,,,,,,,,,,,
85,PT05M53.00S,2023-01-01T01:26:19.0Z,1,REGULAR,freethrow,1 of 2,[],1631105,,,1610612765,21,10,2023-01-01T01:26:43Z,840000,False,,,0,,J. Duren Free Throw 1 of 2 (1 PTS),[1631105],1610612765.0,DET,,,,,Duren,J. Duren,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
86,PT05M53.00S,2023-01-01T01:26:19.6Z,1,REGULAR,substitution,out,[],202711,,,1610612765,21,10,2023-01-01T01:26:27Z,850000,False,,,0,,SUB out: B. Bogdanovic,[202711],1610612765.0,DET,,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M53.00S,2023-01-01T01:26:19.6Z,1,REGULAR,substitution,in,[],203585,,,1610612765,21,10,2023-01-01T01:26:27Z,860000,False,,,0,,SUB in: R. McGruder,[203585],1610612765.0,DET,,,,,McGruder,R. McGruder,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M53.00S,2023-01-01T01:26:19.0Z,1,REGULAR,freethrow,2 of 2,[],1631105,,,1610612765,21,10,2023-01-01T01:26:43Z,870000,False,,,0,,MISS J. Duren Free Throw 2 of 2,[1631105],1610612765.0,DET,,,,,Duren,J. Duren,,,,,,,,,,,Missed,,,,,,,,,,,,,,
89,PT05M51.00S,2023-01-01T01:26:21.0Z,1,REGULAR,rebound,defensive,[],1629675,,,1610612750,21,10,2023-01-01T01:26:43Z,880000,False,,,0,,N. Reid REBOUND (Off:0 Def:1),[1629675],1610612750.0,MIN,,,,,Reid,N. Reid,,,,,,,,,,,,,,88.0,1.0,1.0,0.0,,,,,,,,
90,PT05M41.00S,2023-01-01T01:26:52.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629675,93.24901445466492,50.49019607843137,1610612750,23,10,2023-01-01T01:27:01Z,890000,False,2.0,11.0,1,right,N. Reid cutting Layup (2 PTS) (K. Anderson 2 AST),"[1629675, 203937]",1610612750.0,MIN,,cutting,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,,,Made,2.0,1.13,,,,,,K. Anderson,203937.0,2.0,,,,
92,PT05M18.00S,2023-01-01T01:27:15.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628977,11.514454664914586,50.245098039215684,1610612765,23,10,2023-01-01T01:27:21Z,910000,False,-1.0,56.0,1,left,MISS H. Diallo DUNK - blocked,"[1628977, 1629675]",1610612765.0,DET,,,,,Diallo,H. Diallo,,,,,In The Paint (Non-RA),0-8 Center,,,,,Missed,,5.57,,,,,,,,,Reid,1629675.0,,
