actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M07.00S,2023-03-08T00:35:17.8Z,1,REGULAR,3pt,Jump Shot,[],201144,31.488173455978973,71.56862745098039,1610612750,8,6,2023-03-08T00:37:50Z,170000,False,-108.0,243.0,1,left,M. Conley 26' 3PT step back (3 PTS) (R. Gobert 1 AST),"[201144, 203497]",1610612750.0,MIN,step back,,,Conley,M. Conley,,,,,Above the Break 3,24+ Left Center,,,,,26.63,Made,3.0,R. Gobert,203497.0,1.0,,,,,,,,,,
19,PT09M54.00S,2023-03-08T00:35:31.5Z,1,REGULAR,turnover,bad pass,[],1629001,,,1610612755,8,6,2023-03-08T00:35:37Z,190000,False,,,0,,D. Melton bad pass TURNOVER (1 TO),"[1629001, 203497]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,Mid-Range,16-24 Left,1.0,Gobert,203497.0,,,,,,,,,,,,,,,,,
20,PT09M54.00S,2023-03-08T00:35:31.5Z,1,REGULAR,steal,,[],203497,,,1610612750,8,6,2023-03-08T00:35:34Z,200000,False,,,0,,R. Gobert STEAL (1 STL),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
21,PT09M49.00S,2023-03-08T00:35:35.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630162,7.046649145860711,51.470588235294116,1610612750,10,6,2023-03-08T00:35:42Z,210000,False,-7.0,14.0,1,left,A. Edwards running DUNK (5 PTS) (R. Gobert 2 AST),"[1630162, 203497]",1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,1.56,Made,5.0,R. Gobert,203497.0,2.0,,,,,,,,,,
23,PT09M25.00S,2023-03-08T00:36:00.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,93.11760840998686,50.245098039215684,1610612755,10,8,2023-03-08T00:36:05Z,230000,False,1.0,12.0,1,right,J. Embiid driving Layup (6 PTS) (T. Harris 1 AST),"[203954, 202699]",1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,1.23,Made,6.0,T. Harris,202699.0,1.0,,,,,,,,,,
25,PT09M12.00S,2023-03-08T00:36:13.3Z,1,REGULAR,2pt,Jump Shot,[],203497,16.245072273324574,68.13725490196079,1610612750,12,8,2023-03-08T00:36:19Z,250000,False,-91.0,100.0,1,left,R. Gobert 13' floating Jump Shot (4 PTS) (J. McDaniels 1 AST),"[203497, 1630183]",1610612750.0,MIN,floating,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Left,,,,,13.52,Made,4.0,J. McDaniels,1630183.0,1.0,,,,,,,,,,
27,PT08M59.00S,2023-03-08T00:36:26.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,89.43823915900131,48.03921568627451,1610612755,12,8,2023-03-08T00:38:57Z,270000,False,-10.0,47.0,1,right,MISS J. Embiid driving Layup - blocked,"[203954, 203497]",1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,4.78,Missed,,,,,Gobert,203497.0,,,,,,,,
28,PT08M59.00S,2023-03-08T00:36:26.1Z,1,REGULAR,block,,[],203497,,,1610612755,12,8,2023-03-08T00:36:28Z,280000,False,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT08M56.00S,2023-03-08T00:36:29.1Z,1,REGULAR,rebound,offensive,[],1629001,,,1610612755,12,8,2023-03-08T00:36:30Z,290000,False,,,0,,D. Melton REBOUND (Off:1 Def:0),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,27.0,1.0,0.0,1.0,,,,
30,PT08M55.00S,2023-03-08T00:36:29.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629001,69.07030223390277,65.68627450980392,1610612755,12,11,2023-03-08T00:36:38Z,300000,False,78.0,238.0,1,right,D. Melton 25' 3PT  (3 PTS),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Center,,,,,25.08,Made,3.0,,,,,,,,,,,,,
31,PT08M42.00S,2023-03-08T00:36:43.1Z,1,REGULAR,2pt,Jump Shot,[],1630162,10.988830486202366,74.26470588235294,1610612750,12,11,2023-03-08T00:40:27Z,310000,False,-121.0,51.0,1,left,MISS A. Edwards 13' fadeaway bank Shot,[1630162],1610612750.0,MIN,fadeaway bank,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Left,,,,,13.15,Missed,,,,,,,,,,,,,,
32,PT08M40.00S,2023-03-08T00:36:45.1Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,12,11,2023-03-08T00:36:48Z,320000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,
34,PT08M22.00S,2023-03-08T00:37:15.1Z,1,REGULAR,2pt,Jump Shot,[],1630178,76.5604467805519,60.049019607843135,1610612755,12,11,2023-03-08T00:37:23Z,340000,False,50.0,168.0,1,right,MISS T. Maxey 17' pullup Shot,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Center,,,,,17.51,Missed,,,,,,,,,,,,,,
35,PT08M17.00S,2023-03-08T00:37:20.1Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,12,11,2023-03-08T00:37:23Z,350000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,
36,PT08M11.00S,2023-03-08T00:37:29.3Z,1,REGULAR,foul,offensive,[],203497,,,1610612750,12,11,2023-03-08T00:37:52Z,360000,False,,,0,,R. Gobert offensive FOUL (1 PF),"[203497, 1630178]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Center,,,,2004.0,,,,,,,,,,,,,1.0,0.0,Maxey,1630178.0
38,PT08M11.00S,2023-03-08T00:37:29.3Z,1,REGULAR,turnover,offensive foul,[],203497,,,1610612750,12,11,2023-03-08T00:37:29Z,380000,False,,,0,,R. Gobert offensive foul TURNOVER (1 TO),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Center,1.0,,,2004.0,,,,,,,,,,,,,,,,
41,PT07M57.00S,2023-03-08T00:38:22.2Z,1,REGULAR,foul,technical,['1freethrow'],203937,,,1610612755,12,11,2023-03-08T00:38:41Z,410000,False,,,0,,K. Anderson defensive-3-second technical FOUL (1 Tech),[203937],1610612750.0,MIN,defensive-3-second,,,Anderson,K. Anderson,,,,,,,,,,2005.0,,,,,,,,,,,,,0.0,1.0,,
42,PT07M57.00S,2023-03-08T00:38:34.7Z,1,REGULAR,freethrow,1 of 1,[],203954,,,1610612755,12,12,2023-03-08T00:38:34Z,420000,False,,,0,,J. Embiid technical Free Throw 1 of 1 (7 PTS),[203954],1610612755.0,PHI,technical,,,Embiid,J. Embiid,,,,,,,,,,,,Made,7.0,,,,,,,,,,,,,
43,PT07M48.00S,2023-03-08T00:38:42.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202699,73.9323258869908,49.26470588235294,1610612755,12,12,2023-03-08T00:38:47Z,430000,False,-4.0,193.0,1,right,MISS T. Harris 19' pullup Shot,[202699],1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,Mid-Range,16-24 Center,,,,,19.25,Missed,,,,,,,,,,,,,,
44,PT07M45.00S,2023-03-08T00:38:45.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,12,12,2023-03-08T00:38:47Z,440000,False,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,43.0,2.0,2.0,0.0,,,,
45,PT07M39.00S,2023-03-08T00:38:51.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630162,8.492115637319317,50.245098039215684,1610612750,12,12,2023-03-08T00:44:12Z,450000,False,-1.0,27.0,1,left,MISS A. Edwards running Layup,[1630162],1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,2.73,Missed,,,,,,,,,,,,,,
46,PT07M35.00S,2023-03-08T00:38:55.5Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,12,12,2023-03-08T00:38:56Z,460000,False,,,0,,D. Melton REBOUND (Off:1 Def:1),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,45.0,2.0,1.0,1.0,,,,
47,PT07M31.00S,2023-03-08T00:38:58.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],200782,92.46057818659659,4.411764705882353,1610612755,12,12,2023-03-08T00:46:43Z,470000,False,-228.0,18.0,1,right,MISS P. Tucker running 3PT,[200782],1610612755.0,PHI,running,,,Tucker,P. Tucker,,,,,Left Corner 3,24+ Left,,,,,22.86,Missed,,,,,,,,,,,,,,
48,PT07M29.00S,2023-03-08T00:39:00.6Z,1,REGULAR,rebound,defensive,[],203937,,,1610612750,12,12,2023-03-08T00:39:03Z,480000,False,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,47.0,1.0,1.0,0.0,,,,
49,PT07M24.00S,2023-03-08T00:39:06.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203937,9.017739816031538,46.568627450980394,1610612750,12,12,2023-03-08T00:47:13Z,490000,False,17.0,32.0,1,left,MISS K. Anderson running Layup - blocked,"[203937, 202699]",1610612750.0,MIN,running,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,,3.66,Missed,,,,,Harris,202699.0,,,,,,,,
50,PT07M24.00S,2023-03-08T00:39:06.0Z,1,REGULAR,block,,[],202699,,,1610612750,12,12,2023-03-08T00:39:08Z,500000,False,,,0,,T. Harris BLOCK (1 BLK),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
51,PT07M21.00S,2023-03-08T00:39:09.0Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,12,12,2023-03-08T00:39:12Z,510000,False,,,0,,D. Melton REBOUND (Off:1 Def:2),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,49.0,3.0,2.0,1.0,,,,
52,PT07M18.00S,2023-03-08T00:39:12.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203954,93.9060446780552,50.73529411764706,1610612755,12,14,2023-03-08T00:48:15Z,520000,False,4.0,5.0,1,right,J. Embiid running Layup (9 PTS) (D. Melton 1 AST),"[203954, 1629001]",1610612755.0,PHI,running,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,0.61,Made,9.0,D. Melton,1629001.0,1.0,,,,,,,,,,
54,PT07M07.00S,2023-03-08T00:39:22.9Z,1,REGULAR,3pt,Jump Shot,[],1630162,19.530223390275953,93.87254901960785,1610612750,15,14,2023-03-08T00:48:55Z,540000,False,-219.0,131.0,1,left,A. Edwards 25' 3PT step back (8 PTS) (M. Conley 2 AST),"[1630162, 201144]",1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,25.56,Made,8.0,M. Conley,201144.0,2.0,,,,,,,,,,
56,PT06M51.00S,2023-03-08T00:39:40.9Z,1,REGULAR,turnover,traveling,[],1630178,,,1610612755,15,14,2023-03-08T00:39:46Z,560000,False,,,0,,T. Maxey traveling TURNOVER (1 TO),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,1.0,,,2005.0,,,,,,,,,,,,,,,,
57,PT06M51.00S,2023-03-08T00:39:45.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,15,14,2023-03-08T00:39:45Z,570000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M34.00S,2023-03-08T00:43:33.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203937,12.302890932982917,95.09803921568627,1610612750,15,14,2023-03-08T00:43:38Z,580000,False,-225.0,63.0,1,left,MISS K. Anderson 3PT,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Left Corner 3,24+ Left,,,,,23.42,Missed,,,,,,,,,,,,,,
59,PT06M32.00S,2023-03-08T00:43:35.9Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,15,14,2023-03-08T00:43:38Z,590000,False,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,58.0,2.0,2.0,0.0,,,,
60,PT06M19.00S,2023-03-08T00:43:49.3Z,1,REGULAR,turnover,lost ball,[],203954,,,1610612755,15,14,2023-03-08T00:43:54Z,600000,False,,,0,,J. Embiid lost ball TURNOVER (1 TO),"[203954, 201144]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Right,1.0,Conley,201144.0,,,,,,,,,,,,,,,,,
61,PT06M19.00S,2023-03-08T00:43:49.3Z,1,REGULAR,steal,,[],201144,,,1610612750,15,14,2023-03-08T00:43:51Z,610000,False,,,0,,M. Conley STEAL (1 STL),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
62,PT06M14.00S,2023-03-08T00:43:53.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630162,8.360709592641262,50.245098039215684,1610612750,17,14,2023-03-08T00:50:25Z,620000,False,-1.0,26.0,1,left,A. Edwards running alley-oop Layup (10 PTS) (M. Conley 3 AST),"[1630162, 201144]",1610612750.0,MIN,running alley-oop,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,2.61,Made,10.0,M. Conley,201144.0,3.0,,,,,,,,,,
64,PT05M53.00S,2023-03-08T00:44:15.0Z,1,REGULAR,3pt,Jump Shot,[],1630178,68.01905387647832,20.588235294117645,1610612755,17,17,2023-03-08T00:44:20Z,640000,False,-147.0,248.0,1,right,T. Maxey 28' 3PT pullup (5 PTS),[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,28.84,Made,5.0,,,,,,,,,,,,,
65,PT05M38.00S,2023-03-08T00:44:29.8Z,1,REGULAR,turnover,bad pass,[],201144,,,1610612750,17,17,2023-03-08T00:44:33Z,650000,False,,,0,,M. Conley bad pass TURNOVER (1 TO),"[201144, 203954]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,In The Paint (Non-RA),0-8 Center,1.0,Embiid,203954.0,,,,,,,,,,,,,,,,,
66,PT05M38.00S,2023-03-08T00:44:29.8Z,1,REGULAR,steal,,[],203954,,,1610612755,17,17,2023-03-08T00:44:31Z,660000,False,,,0,,J. Embiid STEAL (1 STL),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
67,PT05M32.00S,2023-03-08T00:44:35.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630178,93.24901445466492,57.59803921568627,1610612755,17,17,2023-03-08T00:51:39Z,670000,False,38.0,11.0,1,right,MISS T. Maxey running Layup,[1630178],1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,3.96,Missed,,,,,,,,,,,,,,
68,PT05M31.00S,2023-03-08T00:44:36.5Z,1,REGULAR,rebound,defensive,[],203937,,,1610612750,17,17,2023-03-08T00:44:42Z,680000,False,,,0,,K. Anderson REBOUND (Off:0 Def:2),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,67.0,2.0,2.0,0.0,,,,
69,PT05M27.00S,2023-03-08T00:44:41.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630162,30.962549277266753,67.8921568627451,1610612750,17,17,2023-03-08T00:53:26Z,690000,False,-89.0,239.0,1,left,MISS A. Edwards 25' running pullup 3PT,[1630162],1610612750.0,MIN,running pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,25.47,Missed,,,,,,,,,,,,,,
70,PT05M23.00S,2023-03-08T00:44:45.0Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,17,17,2023-03-08T00:44:47Z,700000,False,,,0,,T. Harris REBOUND (Off:0 Def:3),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,69.0,3.0,3.0,0.0,,,,
71,PT05M20.00S,2023-03-08T00:44:48.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629001,71.82982917214193,20.833333333333336,1610612755,17,17,2023-03-08T00:54:01Z,710000,False,-146.0,212.0,1,right,MISS D. Melton 25' running pullup 3PT,[1629001],1610612755.0,PHI,running pullup,,,Melton,D. Melton,,,,,Above the Break 3,24+ Left Center,,,,,25.75,Missed,,,,,,,,,,,,,,
72,PT05M18.00S,2023-03-08T00:44:50.1Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,17,17,2023-03-08T00:44:55Z,720000,False,,,0,,R. Gobert REBOUND (Off:0 Def:3),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,71.0,3.0,3.0,0.0,,,,
73,PT05M06.00S,2023-03-08T00:45:03.2Z,1,REGULAR,foul,personal,['2freethrow'],202699,,,1610612750,17,17,2023-03-08T00:45:11Z,730000,False,,,0,,T. Harris shooting personal FOUL (1 PF) (Gobert 2 FT),"[202699, 203497]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,202026.0,,,,,,,,,,,,,1.0,0.0,Gobert,203497.0
75,PT05M06.00S,2023-03-08T00:45:30.4Z,1,REGULAR,freethrow,1 of 2,[],203497,,,1610612750,18,17,2023-03-08T00:45:30Z,750000,False,,,0,,R. Gobert Free Throw 1 of 2 (5 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,
76,PT05M06.00S,2023-03-08T00:45:33.3Z,1,REGULAR,substitution,out,[],203937,,,1610612750,18,17,2023-03-08T00:45:41Z,760000,False,,,0,,SUB out: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M06.00S,2023-03-08T00:45:33.3Z,1,REGULAR,substitution,out,[],201144,,,1610612750,18,17,2023-03-08T00:45:41Z,770000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M06.00S,2023-03-08T00:45:33.3Z,1,REGULAR,substitution,in,[],1627752,,,1610612750,18,17,2023-03-08T00:45:41Z,780000,False,,,0,,SUB in: T. Prince,[1627752],1610612750.0,MIN,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M06.00S,2023-03-08T00:45:33.3Z,1,REGULAR,substitution,in,[],1629638,,,1610612750,18,17,2023-03-08T00:45:41Z,790000,False,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M06.00S,2023-03-08T00:45:51.8Z,1,REGULAR,freethrow,2 of 2,[],203497,,,1610612750,19,17,2023-03-08T00:45:51Z,800000,False,,,0,,R. Gobert Free Throw 2 of 2 (6 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,
81,PT04M52.00S,2023-03-08T00:46:08.8Z,1,REGULAR,3pt,Jump Shot,[],1630178,79.58278580814718,92.15686274509804,1610612755,19,17,2023-03-08T00:56:18Z,810000,False,211.0,139.0,1,right,MISS T. Maxey 25' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,,,25.27,Missed,,,,,,,,,,,,,,
82,PT04M50.00S,2023-03-08T00:46:10.8Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,19,17,2023-03-08T00:46:13Z,820000,False,,,0,,R. Gobert REBOUND (Off:0 Def:4),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,81.0,4.0,4.0,0.0,,,,
83,PT04M27.00S,2023-03-08T00:46:33.9Z,1,REGULAR,3pt,Jump Shot,[],1629638,34.11629434954008,50.0,1610612750,22,17,2023-03-08T00:57:09Z,830000,False,0.0,268.0,1,left,N. Alexander-Walker 26' 3PT step back bank (3 PTS) (T. Prince 1 AST),"[1629638, 1627752]",1610612750.0,MIN,step back bank,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Center,,,,,26.82,Made,3.0,T. Prince,1627752.0,1.0,,,,,,,,,,
84,PT04M09.00S,2023-03-08T00:46:52.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629001,93.64323258869908,55.14705882352941,1610612755,22,17,2023-03-08T00:46:56Z,840000,False,26.0,7.0,1,right,MISS D. Melton driving Layup,[1629001],1610612755.0,PHI,driving,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,,,,,2.67,Missed,,,,,,,,,,,,,,
