actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
602,PT03M34.00S,2023-01-03T03:10:21.6Z,4,REGULAR,rebound,defensive,['team'],0,,,1610612743,112,105,2023-01-03T03:10:36Z,5980000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Right Center,,,601.0,,,,,,,,,,,,,,,,,
603,PT03M34.00S,2023-01-03T03:10:24.8Z,4,REGULAR,foul,personal,[],203497,,,1610612743,112,105,2023-01-03T03:10:40Z,5990000,False,,,0,,R. Gobert loose ball personal FOUL (4 PF),"[203497, 203932]",1610612750.0,MIN,loose ball,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1162.0,4.0,0.0,Gordon,203932.0,,,,,,
605,PT03M23.00S,2023-01-03T03:10:58.1Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],203932,7.5722733245729295,49.01960784313725,1610612743,112,105,2023-01-03T03:11:06Z,6010000,False,5.0,19.0,1,left,MISS A. Gordon Layup,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.93,Missed,,,,,,,,,,,,,,,,,,
607,PT03M21.00S,2023-01-03T03:11:00.1Z,4,REGULAR,rebound,offensive,[],203932,,,1610612743,112,105,2023-01-03T03:11:06Z,6030000,False,,,0,,A. Gordon REBOUND (Off:11 Def:4),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,605.0,15.0,4.0,11.0,,,,,,,,,,,,,,
608,PT03M21.00S,2023-01-03T03:11:06.2Z,4,REGULAR,turnover,lost ball,[],1629008,,,1610612743,112,105,2023-01-03T03:11:12Z,6040000,False,,,0,,M. Porter Jr. lost ball TURNOVER (2 TO),"[1629008, 203085]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Right,,,,,,,2.0,Rivers,203085.0,,,,,,,,,,,
609,PT03M21.00S,2023-01-03T03:11:06.2Z,4,REGULAR,steal,,[],203085,,,1610612750,112,105,2023-01-03T03:11:09Z,6050000,False,,,0,,A. Rivers STEAL (1 STL),[203085],1610612750.0,MIN,,,,Rivers,A. Rivers,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
610,PT03M21.00S,2023-01-03T03:11:13.2Z,4,REGULAR,timeout,full,['team'],0,,,1610612750,112,105,2023-01-03T03:11:13Z,6060000,False,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,PT03M04.00S,2023-01-03T03:12:43.3Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630162,93.11760840998686,48.529411764705884,1610612750,114,105,2023-01-03T03:12:47Z,6070000,False,-7.0,12.0,1,right,A. Edwards driving finger roll Layup (27 PTS) (K. Anderson 7 AST),"[1630162, 203937]",1610612750.0,MIN,driving finger roll,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,1.43,Made,,,,,,,,,,,,,27.0,K. Anderson,203937.0,7.0,,
613,PT02M42.00S,2023-01-03T03:13:04.9Z,4,REGULAR,2pt,Jump Shot,[],203484,5.469776609724048,79.16666666666666,1610612743,114,105,2023-01-03T03:13:09Z,6090000,False,-146.0,-1.0,1,left,MISS K. Caldwell-Pope 14' Jump Shot,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Left,14.58,Missed,,,,,,,,,,,,,,,,,,
614,PT02M41.00S,2023-01-03T03:13:05.9Z,4,REGULAR,rebound,defensive,[],1630162,,,1610612750,114,105,2023-01-03T03:13:09Z,6100000,False,,,0,,A. Edwards REBOUND (Off:1 Def:9),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Left,,,613.0,10.0,9.0,1.0,,,,,,,,,,,,,,
