actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
27,PT10M37.00S,2023-03-11T01:13:08.7Z,1,REGULAR,steal,,[],1630162,,,1610612750,4,0,2023-03-11T01:13:10Z,270000,False,,,0,,A. Edwards STEAL (1 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
28,PT10M35.00S,2023-03-11T01:13:10.7Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630162,6.521024967148489,50.73529411764706,1610612750,6,0,2023-03-11T01:18:44Z,280000,False,-4.0,9.0,1,left,A. Edwards running DUNK (2 PTS),[1630162],1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,0.95,Made,,,,,,,,2.0,,,,,
29,PT10M34.00S,2023-03-11T01:13:17.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,6,0,2023-03-11T01:13:17Z,290000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT10M21.00S,2023-03-11T01:16:23.5Z,1,REGULAR,foul,personal,[],1630162,,,1610612751,6,0,2023-03-11T02:18:18Z,300000,False,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 203915]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,2003.0,1.0,0.0,Dinwiddie,203915.0,,,,,,,,,,,,,,,
32,PT10M09.00S,2023-03-11T01:16:47.8Z,1,REGULAR,2pt,Jump Shot,[],1629661,78.13731931668858,57.107843137254896,1610612751,6,0,2023-03-11T01:16:53Z,320000,False,36.0,153.0,1,right,MISS C. Johnson 15' pullup Shot - blocked,"[1629661, 201144]",1610612751.0,BKN,pullup,,,Johnson,C. Johnson,,,,,Mid-Range,8-16 Center,,,,,,15.71,Missed,,,,,,,,,Conley,201144.0,,,
33,PT10M09.00S,2023-03-11T01:16:47.8Z,1,REGULAR,block,,[],201144,,,1610612751,6,0,2023-03-11T01:16:50Z,330000,False,,,0,,M. Conley BLOCK (1 BLK),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
34,PT10M06.00S,2023-03-11T01:16:50.8Z,1,REGULAR,rebound,defensive,[],201144,,,1610612750,6,0,2023-03-11T01:16:53Z,340000,False,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Mid-Range,8-16 Center,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,
35,PT09M59.00S,2023-03-11T01:16:57.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,12.434296977660972,43.627450980392155,1610612750,6,0,2023-03-11T01:19:46Z,350000,False,32.0,64.0,1,left,MISS A. Edwards 7' driving floating Shot,[1630162],1610612750.0,MIN,driving floating,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,7.19,Missed,,,,,,,,,,,,,
36,PT09M57.00S,2023-03-11T01:16:59.0Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,6,0,2023-03-11T01:17:01Z,360000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,
37,PT09M39.00S,2023-03-11T01:17:17.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,92.46057818659659,49.50980392156863,1610612751,6,2,2023-03-11T01:17:23Z,370000,False,-2.0,18.0,1,right,N. Claxton alley-oop DUNK (2 PTS) (S. Dinwiddie 1 AST),"[1629651, 203915]",1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,1.86,Made,,,,,,,,2.0,,,S. Dinwiddie,203915.0,1.0
39,PT09M22.00S,2023-03-11T01:17:34.3Z,1,REGULAR,3pt,Jump Shot,[],1630162,17.95335085413929,92.64705882352942,1610612750,6,2,2023-03-11T01:17:38Z,390000,False,-213.0,116.0,1,left,MISS A. Edwards 24' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,,,24.29,Missed,,,,,,,,,,,,,
40,PT09M20.00S,2023-03-11T01:17:36.3Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,6,2,2023-03-11T01:17:38Z,400000,False,,,0,,C. Johnson REBOUND (Off:0 Def:2),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,
41,PT09M14.00S,2023-03-11T01:17:43.1Z,1,REGULAR,3pt,Jump Shot,[],1629661,76.95466491458606,87.00980392156863,1610612751,6,5,2023-03-11T01:17:53Z,410000,False,185.0,164.0,1,right,C. Johnson 24' 3PT  (3 PTS) (S. Dinwiddie 2 AST),"[1629661, 203915]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,24.73,Made,,,,,,,,3.0,,,S. Dinwiddie,203915.0,2.0
43,PT08M53.00S,2023-03-11T01:18:03.1Z,1,REGULAR,2pt,Jump Shot,[],201144,6.915243101182654,19.11764705882353,1610612750,8,5,2023-03-11T01:18:07Z,430000,False,154.0,13.0,1,left,M. Conley 15' pullup Jump Shot (2 PTS),[201144],1610612750.0,MIN,pullup,,,Conley,M. Conley,,,,,Mid-Range,8-16 Right,,,,,,15.49,Made,,,,,,,,2.0,,,,,
44,PT08M37.00S,2023-03-11T01:18:18.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,93.24901445466492,51.9607843137255,1610612751,8,7,2023-03-11T01:18:23Z,440000,False,10.0,11.0,1,right,M. Bridges driving Layup (2 PTS) (S. Dinwiddie 3 AST),"[1628969, 203915]",1610612751.0,BKN,driving,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,1.47,Made,,,,,,,,2.0,,,S. Dinwiddie,203915.0,3.0
45,PT08M21.00S,2023-03-11T01:18:34.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203497,13.87976346911958,50.0,1610612750,10,7,2023-03-11T01:22:30Z,450000,False,0.0,78.0,1,left,R. Gobert 7' floating Jump Shot (4 PTS) (J. McDaniels 1 AST),"[203497, 1630183]",1610612750.0,MIN,floating,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,7.8,Made,,,,,,,,4.0,,,J. McDaniels,1630183.0,1.0
47,PT08M06.00S,2023-03-11T01:18:49.8Z,1,REGULAR,3pt,Jump Shot,[],1629661,70.51576872536137,69.36274509803921,1610612751,10,7,2023-03-11T01:18:54Z,470000,False,97.0,225.0,1,right,MISS C. Johnson 24' 3PT,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,24.47,Missed,,,,,,,,,,,,,
48,PT08M03.00S,2023-03-11T01:18:52.8Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,10,7,2023-03-11T01:18:54Z,480000,False,,,0,,R. Gobert REBOUND (Off:1 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,,,,,,47.0,3.0,2.0,1.0,,,,,,,,,
49,PT07M51.00S,2023-03-11T01:19:07.1Z,1,REGULAR,foul,personal,['2freethrow'],1629651,,,1610612750,10,7,2023-03-11T01:19:17Z,490000,False,,,0,,N. Claxton shooting personal FOUL (1 PF) (Edwards 2 FT),"[1629651, 1630162]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,2003.0,1.0,0.0,Edwards,1630162.0,,,,,,,,,,,,,,,
51,PT07M51.00S,2023-03-11T01:19:42.7Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,11,7,2023-03-11T01:20:11Z,510000,False,,,0,,A. Edwards Free Throw 1 of 2 (3 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,Made,,,,,,,,3.0,,,,,
52,PT07M51.00S,2023-03-11T01:19:42.7Z,1,REGULAR,freethrow,2 of 2,[],1630162,,,1610612750,11,7,2023-03-11T01:20:11Z,520000,False,,,0,,MISS A. Edwards Free Throw 2 of 2,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
53,PT07M50.00S,2023-03-11T01:19:43.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,11,7,2023-03-11T01:20:11Z,530000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,
54,PT07M50.00S,2023-03-11T01:20:03.4Z,1,REGULAR,foul,personal,[],1629651,,,1610612750,11,7,2023-03-11T01:20:16Z,540000,False,,,0,,N. Claxton loose ball personal FOUL (2 PF),"[1629651, 203497]",1610612751.0,BKN,loose ball,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,1627526.0,2.0,0.0,Gobert,203497.0,,,,,,,,,,,,,,,
57,PT07M37.00S,2023-03-11T01:21:09.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203937,30.042706964520367,29.901960784313726,1610612750,14,7,2023-03-11T01:21:14Z,570000,False,100.0,230.0,1,left,K. Anderson 25' 3PT  (3 PTS) (R. Gobert 1 AST),"[203937, 203497]",1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Right Center,,,,,,25.09,Made,,,,,,,,3.0,,,R. Gobert,203497.0,1.0
59,PT07M23.00S,2023-03-11T01:21:22.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203915,92.85479632063075,48.77450980392157,1610612751,14,7,2023-03-11T01:21:29Z,590000,False,-6.0,15.0,1,right,MISS S. Dinwiddie driving Layup - blocked,"[203915, 203497]",1610612751.0,BKN,driving,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,,,,1.59,Missed,,,,,,,,,Gobert,203497.0,,,
60,PT07M23.00S,2023-03-11T01:21:22.4Z,1,REGULAR,block,,[],203497,,,1610612751,14,7,2023-03-11T01:21:24Z,600000,False,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
61,PT07M19.00S,2023-03-11T01:21:26.4Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,14,7,2023-03-11T01:27:09Z,610000,False,,,0,,N. Claxton REBOUND (Off:1 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,59.0,2.0,1.0,1.0,,,,,,,,,
62,PT07M18.00S,2023-03-11T01:21:27.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628969,91.80354796320631,4.166666666666666,1610612751,14,10,2023-03-11T01:21:34Z,620000,False,-229.0,25.0,1,right,M. Bridges 3PT  (5 PTS) (N. Claxton 1 AST),"[1628969, 1629651]",1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,,,,23.05,Made,,,,,,,,5.0,,,N. Claxton,1629651.0,1.0
64,PT07M09.00S,2023-03-11T01:21:37.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,7.30946123521682,49.754901960784316,1610612750,16,10,2023-03-11T01:21:42Z,640000,False,1.0,16.0,1,left,R. Gobert cutting Layup (6 PTS) (K. Anderson 1 AST),"[203497, 203937]",1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,1.62,Made,,,,,,,,6.0,,,K. Anderson,203937.0,1.0
66,PT06M47.00S,2023-03-11T01:21:59.1Z,1,REGULAR,turnover,bad pass,[],1629651,,,1610612751,16,10,2023-03-11T01:22:03Z,660000,False,,,0,,N. Claxton bad pass TURNOVER (1 TO),"[1629651, 203937]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,Anderson,203937.0,,,,,,
67,PT06M47.00S,2023-03-11T01:21:59.1Z,1,REGULAR,steal,,[],203937,,,1610612750,16,10,2023-03-11T01:22:00Z,670000,False,,,0,,K. Anderson STEAL (1 STL),[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
68,PT06M41.00S,2023-03-11T01:22:04.7Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203497,6.521024967148489,51.225490196078425,1610612750,18,10,2023-03-11T01:27:51Z,680000,False,-6.0,9.0,1,left,R. Gobert running DUNK (8 PTS) (K. Anderson 2 AST),"[203497, 203937]",1610612750.0,MIN,running,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,1.07,Made,,,,,,,,8.0,,,K. Anderson,203937.0,2.0
71,PT06M26.00S,2023-03-11T01:22:19.5Z,1,REGULAR,3pt,Jump Shot,[],1628969,68.9388961892247,60.5392156862745,1610612751,18,13,2023-03-11T01:28:07Z,700000,False,53.0,239.0,1,right,M. Bridges 24' 3PT pullup (8 PTS),[1628969],1610612751.0,BKN,pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,,,,,,24.52,Made,,,,,,,,8.0,,,,,
72,PT06M08.00S,2023-03-11T01:22:37.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203937,10.85742444152431,61.51960784313726,1610612750,20,13,2023-03-11T01:28:23Z,710000,False,-58.0,50.0,1,left,K. Anderson 7' driving floating Jump Shot (5 PTS),[203937],1610612750.0,MIN,driving floating,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,7.6,Made,,,,,,,,5.0,,,,,
73,PT06M00.00S,2023-03-11T01:22:45.4Z,1,REGULAR,3pt,Jump Shot,[],203915,72.35545335085413,21.323529411764707,1610612751,20,16,2023-03-11T01:28:45Z,720000,False,-143.0,207.0,1,right,S. Dinwiddie 25' 3PT pullup (3 PTS),[203915],1610612751.0,BKN,pullup,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,,,,,,25.21,Made,,,,,,,,3.0,,,,,
74,PT05M44.00S,2023-03-11T01:23:01.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,13.61695137976347,40.68627450980392,1610612750,20,16,2023-03-11T01:29:07Z,730000,False,47.0,75.0,1,left,MISS J. McDaniels 8' pullup Shot,[1630183],1610612750.0,MIN,pullup,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,8.87,Missed,,,,,,,,,,,,,
75,PT05M43.00S,2023-03-11T01:23:02.1Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,20,16,2023-03-11T01:23:05Z,740000,False,,,0,,N. Claxton REBOUND (Off:1 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,74.0,3.0,2.0,1.0,,,,,,,,,
76,PT05M29.00S,2023-03-11T01:23:17.0Z,1,REGULAR,turnover,lost ball,[],1628969,,,1610612751,20,16,2023-03-11T01:23:20Z,750000,False,,,0,,M. Bridges lost ball TURNOVER (2 TO),"[1628969, 1630162]",1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,2.0,Edwards,1630162.0,,,,,,
77,PT05M29.00S,2023-03-11T01:23:17.0Z,1,REGULAR,steal,,[],1630162,,,1610612750,20,16,2023-03-11T01:23:18Z,760000,False,,,0,,A. Edwards STEAL (2 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
78,PT05M23.00S,2023-03-11T01:23:23.4Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630183,7.095926412614986,38.21231617647059,1610612750,20,16,2023-03-11T01:30:10Z,770000,False,59.0,14.0,1,left,MISS J. McDaniels 6' turnaround Shot,[1630183],1610612750.0,MIN,turnaround,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.06,Missed,,,,,,,,,,,,,
79,PT05M21.00S,2023-03-11T01:23:25.4Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,20,16,2023-03-11T01:30:10Z,780000,False,,,0,,R. Gobert REBOUND (Off:2 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,78.0,4.0,2.0,2.0,,,,,,,,,
80,PT05M20.00S,2023-03-11T01:23:26.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203497,7.703679369250986,49.50980392156863,1610612750,20,16,2023-03-11T01:30:31Z,790000,False,2.0,20.0,1,left,MISS R. Gobert putback Layup - blocked,"[203497, 1629651]",1610612750.0,MIN,putback,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,2.01,Missed,,,,,,,,,Claxton,1629651.0,,,
81,PT05M20.00S,2023-03-11T01:23:26.1Z,1,REGULAR,block,,[],1629651,,,1610612750,20,16,2023-03-11T01:23:28Z,800000,False,,,0,,N. Claxton BLOCK (3 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
82,PT05M19.00S,2023-03-11T01:23:27.1Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,20,16,2023-03-11T01:23:41Z,810000,False,,,0,,R. Gobert REBOUND (Off:3 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,80.0,5.0,2.0,3.0,,,,,,,,,
83,PT05M18.00S,2023-03-11T01:23:29.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630183,6.521024967148489,50.0,1610612750,22,16,2023-03-11T01:23:54Z,820000,False,0.0,9.0,1,left,J. McDaniels DUNK (4 PTS) (K. Anderson 3 AST),"[1630183, 203937]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,,,0.88,Made,,,,,,,,4.0,,,K. Anderson,203937.0,3.0
85,PT05M18.00S,2023-03-11T01:23:34.8Z,1,REGULAR,foul,personal,['1freethrow'],1627827,,,1610612750,22,16,2023-03-11T01:23:45Z,840000,False,,,0,,D. Finney-Smith shooting personal FOUL (1 PF) (McDaniels 1 FT),"[1627827, 1630183]",1610612751.0,BKN,shooting,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,1151.0,1.0,0.0,McDaniels,1630183.0,,,,,,,,,,,,,,,
