actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
19,PT11M03.00S,2023-01-10T01:12:16.8Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,0,0,2023-01-10T01:12:18Z,190000,False,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,In The Paint (Non-RA),8-16 Right,,,18.0,,,1.0,1.0,0.0,,,,,,,,,,,
20,PT10M59.00S,2023-01-10T01:12:20.1Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630217,9.280551905387648,38.72549019607843,1610612763,2,0,2023-01-10T01:40:34Z,200000,False,56.0,35.0,1,left,D. Bane 6' running Jump Shot (2 PTS),[1630217],1610612763.0,MEM,running,,,Bane,D. Bane,,,,,,In The Paint (Non-RA),0-8 Center,6.62,Made,,,,,,,2.0,,,,,,,,,,
21,PT10M45.00S,2023-01-10T01:12:34.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,93.11760840998686,52.450980392156865,1610612759,2,2,2023-01-10T01:40:43Z,210000,False,12.0,12.0,1,right,J. Poeltl cutting Layup (2 PTS) (R. Langford 1 AST),"[1627751, 1629641]",1610612759.0,SAS,cutting,,,Poeltl,J. Poeltl,,,,,,Restricted Area,0-8 Center,1.73,Made,,,,,,,2.0,R. Langford,1629641.0,1.0,,,,,,,
23,PT10M34.00S,2023-01-10T01:12:44.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203500,7.440867279894875,40.44117647058824,1610612763,4,2,2023-01-10T01:12:49Z,230000,False,48.0,17.0,1,left,S. Adams cutting Layup (2 PTS) (D. Bane 1 AST),"[203500, 1630217]",1610612763.0,MEM,cutting,,,Adams,S. Adams,,,,,,In The Paint (Non-RA),0-8 Center,5.09,Made,,,,,,,2.0,D. Bane,1630217.0,1.0,,,,,,,
25,PT10M27.00S,2023-01-10T01:12:52.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,94.03745072273325,53.67647058823529,1610612759,4,2,2023-01-10T01:12:57Z,250000,False,18.0,4.0,1,right,MISS T. Jones driving finger roll Layup,[1630200],1610612759.0,SAS,driving finger roll,,,Jones,T. Jones,,,,,,Restricted Area,0-8 Center,1.87,Missed,,,,,,,,,,,,,,,,,
26,PT10M24.00S,2023-01-10T01:12:56.3Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612763,4,2,2023-01-10T01:12:56Z,260000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,Restricted Area,0-8 Center,,,25.0,,,1.0,1.0,0.0,,,,,,,,,,,
27,PT10M22.00S,2023-01-10T01:12:59.5Z,1,REGULAR,turnover,traveling,[],1630217,,,1610612763,4,2,2023-01-10T01:13:05Z,270000,False,,,0,,D. Bane traveling TURNOVER (1 TO),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,202007.0,Mid-Range,16-24 Center,,,,,,,,,,,,,1.0,,,,,,
28,PT10M08.00S,2023-01-10T01:13:22.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630200,77.08607095926413,66.66666666666666,1610612759,4,2,2023-01-10T01:13:26Z,280000,False,83.0,163.0,1,right,MISS T. Jones 18' pullup Shot,[1630200],1610612759.0,SAS,pullup,,,Jones,T. Jones,,,,,,Mid-Range,16-24 Right Center,18.3,Missed,,,,,,,,,,,,,,,,,
29,PT10M05.00S,2023-01-10T01:13:25.4Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,4,2,2023-01-10T01:13:26Z,290000,False,,,0,,S. Adams REBOUND (Off:0 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Mid-Range,16-24 Right Center,,,28.0,,,2.0,2.0,0.0,,,,,,,,,,,
193,PT09M59.00S,2023-01-10T01:13:31.0Z,1,REGULAR,turnover,lost ball,[],203500,,,1610612763,4,2,2023-01-10T01:40:54Z,295000,False,,,0,,S. Adams lost ball TURNOVER (1 TO),"[203500, 1627751]",1610612763.0,MEM,,,,Adams,S. Adams,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Poeltl,1627751.0,,,,
194,PT09M59.00S,2023-01-10T01:13:31.0Z,1,REGULAR,steal,,[],1627751,,,1610612759,4,2,2023-01-10T01:40:20Z,297500,False,,,0,,J. Poeltl STEAL (1 STL),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
195,PT09M58.00S,2023-01-10T01:13:35.3Z,1,REGULAR,turnover,lost ball,[],1631110,,,1610612759,4,2,2023-01-10T01:40:47Z,298750,False,,,0,,J. Sochan lost ball TURNOVER (1 TO),"[1631110, 203500]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,1.0,Adams,203500.0,,,,
196,PT09M58.00S,2023-01-10T01:13:35.3Z,1,REGULAR,steal,,[],203500,,,1610612763,4,2,2023-01-10T01:40:47Z,299375,False,,,0,,S. Adams STEAL (1 STL),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,
30,PT09M51.00S,2023-01-10T01:13:39.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203500,7.440867279894875,50.49019607843137,1610612763,6,2,2023-01-10T01:40:47Z,300000,False,-2.0,17.0,1,left,S. Adams Hook (4 PTS) (J. Jackson Jr. 1 AST),"[203500, 1628991]",1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Restricted Area,0-8 Center,1.76,Made,,,,,,,4.0,J. Jackson Jr.,1628991.0,1.0,,,,,,,
32,PT09M29.00S,2023-01-10T01:14:00.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629641,89.04402102496715,35.294117647058826,1610612759,6,4,2023-01-10T01:14:04Z,320000,False,-74.0,50.0,1,right,R. Langford 8' driving floating bank Jump Shot (2 PTS),[1629641],1610612759.0,SAS,driving floating bank,,,Langford,R. Langford,,,,,,In The Paint (Non-RA),8-16 Left,8.92,Made,,,,,,,2.0,,,,,,,,,,
33,PT09M18.00S,2023-01-10T01:14:12.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,16.245072273324574,54.166666666666664,1610612763,6,4,2023-01-10T01:14:16Z,330000,False,-21.0,100.0,1,left,MISS T. Jones 10' driving floating Shot,[1626145],1610612763.0,MEM,driving floating,,,Jones,T. Jones,,,,,,In The Paint (Non-RA),8-16 Center,10.23,Missed,,,,,,,,,,,,,,,,,
34,PT09M15.00S,2023-01-10T01:14:15.3Z,1,REGULAR,rebound,defensive,[],1629641,,,1610612759,6,4,2023-01-10T01:14:16Z,340000,False,,,0,,R. Langford REBOUND (Off:0 Def:1),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,,In The Paint (Non-RA),8-16 Center,,,33.0,,,1.0,1.0,0.0,,,,,,,,,,,
35,PT09M06.00S,2023-01-10T01:14:24.3Z,1,REGULAR,2pt,Jump Shot,[],1630200,90.88370565045992,32.59803921568628,1610612759,6,4,2023-01-10T01:45:34Z,350000,False,-87.0,33.0,1,right,MISS T. Jones 9' driving floating Shot - blocked,"[1630200, 1628991]",1610612759.0,SAS,driving floating,,,Jones,T. Jones,,,,,,Mid-Range,8-16 Left,9.31,Missed,,Jackson Jr.,1628991.0,,,,,,,,,,,,,,
36,PT09M06.00S,2023-01-10T01:14:24.3Z,1,REGULAR,block,,[],1628991,,,1610612759,6,4,2023-01-10T01:14:27Z,360000,False,,,0,,J. Jackson Jr. BLOCK (2 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,
37,PT09M02.00S,2023-01-10T01:14:28.3Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,6,4,2023-01-10T01:14:30Z,370000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,In The Paint (Non-RA),0-8 Center,,,35.0,,,1.0,1.0,0.0,,,,,,,,,,,
38,PT08M59.00S,2023-01-10T01:14:31.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628991,30.17411300919842,33.57843137254902,1610612763,6,4,2023-01-10T01:42:18Z,380000,False,82.0,231.0,1,left,MISS J. Jackson Jr. 24' running 3PT,[1628991],1610612763.0,MEM,running,,,Jackson Jr.,J. Jackson Jr.,,,,,,Above the Break 3,24+ Right Center,24.53,Missed,,,,,,,,,,,,,,,,,
39,PT08M57.00S,2023-01-10T01:14:33.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,6,4,2023-01-10T01:14:47Z,390000,False,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,Above the Break 3,24+ Right Center,,,38.0,,,,,,,,,,,,,,,,
41,PT08M46.00S,2023-01-10T01:14:52.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,82.86793692509855,51.225490196078425,1610612759,6,4,2023-01-10T01:14:58Z,410000,False,6.0,109.0,1,right,MISS J. Poeltl 10' floating Shot,[1627751],1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,,In The Paint (Non-RA),8-16 Center,10.87,Missed,,,,,,,,,,,,,,,,,
42,PT08M42.00S,2023-01-10T01:14:56.1Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,6,4,2023-01-10T01:14:58Z,420000,False,,,0,,S. Adams REBOUND (Off:0 Def:3),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,In The Paint (Non-RA),8-16 Center,,,41.0,,,3.0,3.0,0.0,,,,,,,,,,,
43,PT08M36.00S,2023-01-10T01:15:01.7Z,1,REGULAR,2pt,Jump Shot,[],1630217,14.4053876478318,18.38235294117647,1610612763,6,4,2023-01-10T01:15:07Z,430000,False,158.0,83.0,1,left,MISS D. Bane 17' pullup Shot,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,,Mid-Range,16-24 Right,17.85,Missed,,,,,,,,,,,,,,,,,
44,PT08M32.00S,2023-01-10T01:15:05.7Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,6,4,2023-01-10T01:15:07Z,440000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,Mid-Range,16-24 Right,,,43.0,,,1.0,1.0,0.0,,,,,,,,,,,
45,PT08M17.00S,2023-01-10T01:15:21.0Z,1,REGULAR,3pt,Jump Shot,[],1631110,79.05716162943496,7.352941176470589,1610612759,6,7,2023-01-10T01:15:27Z,450000,False,-213.0,144.0,1,right,J. Sochan 25' 3PT  (3 PTS) (T. Jones 1 AST),"[1631110, 1630200]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,Above the Break 3,24+ Left Center,25.75,Made,,,,,,,3.0,T. Jones,1630200.0,1.0,,,,,,,
47,PT08M07.00S,2023-01-10T01:15:30.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,9.937582128777924,36.51960784313725,1610612763,6,7,2023-01-10T01:15:35Z,470000,False,67.0,41.0,1,left,MISS D. Brooks 7' driving floating bank Shot,[1628415],1610612763.0,MEM,driving floating bank,,,Brooks,D. Brooks,,,,,,In The Paint (Non-RA),0-8 Center,7.88,Missed,,,,,,,,,,,,,,,,,
48,PT08M04.00S,2023-01-10T01:15:33.1Z,1,REGULAR,rebound,defensive,[],1629641,,,1610612759,6,7,2023-01-10T01:15:35Z,480000,False,,,0,,R. Langford REBOUND (Off:0 Def:2),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,,In The Paint (Non-RA),0-8 Center,,,47.0,,,2.0,2.0,0.0,,,,,,,,,,,
49,PT08M00.00S,2023-01-10T01:15:37.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628966,93.24901445466492,55.63725490196079,1610612759,6,9,2023-01-10T01:41:54Z,490000,False,28.0,11.0,1,right,K. Bates-Diop running Layup (2 PTS) (T. Jones 2 AST),"[1628966, 1630200]",1610612759.0,SAS,running,,,Bates-Diop,K. Bates-Diop,,,,,,Restricted Area,0-8 Center,3.03,Made,,,,,,,2.0,T. Jones,1630200.0,2.0,,,,,,,
51,PT07M42.00S,2023-01-10T01:15:55.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,11.383048620236531,46.568627450980394,1610612763,6,9,2023-01-10T01:16:01Z,510000,False,17.0,55.0,1,left,MISS J. Jackson Jr. driving floating Shot,[1628991],1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,,In The Paint (Non-RA),0-8 Center,5.71,Missed,,,,,,,,,,,,,,,,,
52,PT07M38.00S,2023-01-10T01:15:59.5Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,6,9,2023-01-10T01:16:01Z,520000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,In The Paint (Non-RA),0-8 Center,,,51.0,,,1.0,1.0,0.0,,,,,,,,,,,
53,PT07M33.00S,2023-01-10T01:16:04.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628966,87.59855453350855,56.86274509803921,1610612759,6,9,2023-01-10T01:16:09Z,530000,False,34.0,64.0,1,right,MISS K. Bates-Diop 7' turnaround Shot,[1628966],1610612759.0,SAS,turnaround,,,Bates-Diop,K. Bates-Diop,,,,,,In The Paint (Non-RA),0-8 Center,7.27,Missed,,,,,,,,,,,,,,,,,
54,PT07M30.00S,2023-01-10T01:16:07.2Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,6,9,2023-01-10T01:16:09Z,540000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,In The Paint (Non-RA),0-8 Center,,,53.0,,,1.0,1.0,0.0,,,,,,,,,,,
55,PT07M27.00S,2023-01-10T01:16:15.2Z,1,REGULAR,foul,personal,['2freethrow'],1630200,,,1610612763,6,9,2023-01-10T01:16:24Z,550000,False,,,0,,T. Jones shooting personal FOUL (1 PF) (Brooks 2 FT),"[1630200, 1628415]",1610612759.0,SAS,shooting,,,Jones,T. Jones,,,,,2004.0,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,1.0,0.0,Brooks,1628415.0
57,PT07M27.00S,2023-01-10T01:16:37.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628415,,,1610612763,6,9,2023-01-10T01:16:37Z,570000,False,,,0,,MISS D. Brooks Free Throw 1 of 2,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
58,PT07M27.00S,2023-01-10T01:16:37.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,6,9,2023-01-10T01:16:37Z,580000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,
59,PT07M27.00S,2023-01-10T01:16:52.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628415,,,1610612763,7,9,2023-01-10T01:16:52Z,590000,False,,,0,,D. Brooks Free Throw 2 of 2 (1 PTS),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,
60,PT07M16.00S,2023-01-10T01:17:02.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,81.2910643889619,53.18627450980392,1610612759,7,9,2023-01-10T01:17:07Z,600000,False,16.0,123.0,1,right,MISS T. Jones 12' pullup Shot,[1630200],1610612759.0,SAS,pullup,,,Jones,T. Jones,,,,,,In The Paint (Non-RA),8-16 Center,12.44,Missed,,,,,,,,,,,,,,,,,
61,PT07M12.00S,2023-01-10T01:17:06.2Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,7,9,2023-01-10T01:17:06Z,610000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,In The Paint (Non-RA),8-16 Center,,,60.0,,,2.0,1.0,1.0,,,,,,,,,,,
62,PT07M12.00S,2023-01-10T01:17:12.2Z,1,REGULAR,turnover,backcourt,[],1627751,,,1610612759,7,9,2023-01-10T01:17:17Z,620000,False,,,0,,J. Poeltl backcourt TURNOVER (1 TO),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,1629178.0,Mid-Range,8-16 Right,,,,,,,,,,,,,1.0,,,,,,
63,PT06M56.00S,2023-01-10T01:17:38.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628991,6.652431011826544,94.85294117647058,1610612763,10,9,2023-01-10T01:17:43Z,630000,False,-224.0,10.0,1,left,J. Jackson Jr. 3PT  (3 PTS) (S. Adams 1 AST),"[1628991, 203500]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Left Corner 3,24+ Left,22.45,Made,,,,,,,3.0,S. Adams,203500.0,1.0,,,,,,,
65,PT06M44.00S,2023-01-10T01:17:51.1Z,1,REGULAR,2pt,Jump Shot,[],1631110,76.69185282522996,58.57843137254902,1610612759,10,9,2023-01-10T01:17:57Z,650000,False,43.0,167.0,1,right,MISS J. Sochan 17' pullup Shot,[1631110],1610612759.0,SAS,pullup,,,Sochan,J. Sochan,,,,,,Mid-Range,16-24 Center,17.2,Missed,,,,,,,,,,,,,,,,,
66,PT06M40.00S,2023-01-10T01:17:55.1Z,1,REGULAR,rebound,offensive,[],1629641,,,1610612759,10,9,2023-01-10T01:17:57Z,660000,False,,,0,,R. Langford REBOUND (Off:1 Def:2),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,,Mid-Range,16-24 Center,,,65.0,,,3.0,2.0,1.0,,,,,,,,,,,
67,PT06M40.00S,2023-01-10T01:17:55.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629641,94.40999984741211,50.0,1610612759,10,11,2023-01-10T01:17:55Z,670000,False,0.0,0.0,1,right,R. Langford tip Layup (4 PTS),[1629641],1610612759.0,SAS,tip,,,Langford,R. Langford,,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,4.0,,,,,,,,,,
68,PT06M27.00S,2023-01-10T01:18:08.5Z,1,REGULAR,2pt,Jump Shot,[],1630217,11.12023653088042,32.35294117647059,1610612763,12,11,2023-01-10T01:18:34Z,680000,False,88.0,52.0,1,left,D. Bane 10' driving floating bank Jump Shot (4 PTS),[1630217],1610612763.0,MEM,driving floating bank,,,Bane,D. Bane,,,,,,Mid-Range,8-16 Right,10.24,Made,,,,,,,4.0,,,,,,,,,,
69,PT06M15.00S,2023-01-10T01:18:19.7Z,1,REGULAR,turnover,bad pass,[],1631110,,,1610612759,12,11,2023-01-10T01:18:23Z,690000,False,,,0,,J. Sochan bad pass TURNOVER (2 TO),"[1631110, 1628415]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,2.0,Brooks,1628415.0,,,,
70,PT06M15.00S,2023-01-10T01:18:19.7Z,1,REGULAR,steal,,[],1628415,,,1610612763,12,11,2023-01-10T01:18:21Z,700000,False,,,0,,D. Brooks STEAL (1 STL),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,
71,PT06M12.00S,2023-01-10T01:18:23.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626145,7.440867279894875,41.911764705882355,1610612763,14,11,2023-01-10T01:18:31Z,710000,False,40.0,17.0,1,left,T. Jones running finger roll Layup (2 PTS) (D. Brooks 1 AST),"[1626145, 1628415]",1610612763.0,MEM,running finger roll,,,Jones,T. Jones,,,,,,In The Paint (Non-RA),0-8 Center,4.4,Made,,,,,,,2.0,D. Brooks,1628415.0,1.0,,,,,,,
73,PT06M12.00S,2023-01-10T01:18:29.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,14,11,2023-01-10T01:18:29Z,730000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M12.00S,2023-01-10T01:21:00.3Z,1,REGULAR,substitution,out,[],1628991,,,1610612759,14,11,2023-01-10T01:21:19Z,740000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M12.00S,2023-01-10T01:21:00.3Z,1,REGULAR,substitution,out,[],1630217,,,1610612759,14,11,2023-01-10T01:21:19Z,750000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M12.00S,2023-01-10T01:21:00.3Z,1,REGULAR,substitution,out,[],1630200,,,1610612759,14,11,2023-01-10T01:21:19Z,760000,False,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M12.00S,2023-01-10T01:21:00.3Z,1,REGULAR,substitution,out,[],1628966,,,1610612759,14,11,2023-01-10T01:21:19Z,770000,False,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M12.00S,2023-01-10T01:21:00.3Z,1,REGULAR,substitution,in,[],1629723,,,1610612759,14,11,2023-01-10T01:21:19Z,780000,False,,,0,,SUB in: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
