actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT11M06.00S,2022-11-19T01:11:45.2Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,2,0,2022-11-19T01:11:46Z,170000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,Restricted Area,0-8 Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT11M00.00S,2022-11-19T01:11:50.8Z,1,REGULAR,3pt,Jump Shot,[],1630581,70.51576872536137,25.0,1610612760,2,0,2022-11-19T01:11:54Z,180000,False,-125.0,225.0,1,right,MISS J. Giddey 25' 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,Above the Break 3,24+ Left Center,25.71,Missed,,,,,,,,,,,,,,,,,
19,PT10M58.00S,2022-11-19T01:11:52.8Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,2,0,2022-11-19T01:11:54Z,190000,False,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Above the Break 3,24+ Left Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT10M52.00S,2022-11-19T01:11:59.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628991,29.38567674113009,25.98039215686275,1610612763,5,0,2022-11-19T01:12:02Z,200000,False,120.0,224.0,1,left,J. Jackson Jr. 25' 3PT  (5 PTS) (D. Brooks 1 AST),"[1628991, 1628415]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Above the Break 3,24+ Right Center,25.39,Made,,,,,5.0,D. Brooks,1628415.0,1.0,,,,,,,,,
22,PT10M33.00S,2022-11-19T01:12:17.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,91.80354796320631,55.88235294117647,1610612760,5,0,2022-11-19T01:12:20Z,220000,False,29.0,25.0,1,right,MISS J. Giddey driving floating Shot - blocked,"[1630581, 1628991]",1610612760.0,OKC,driving floating,,,Giddey,J. Giddey,,,,,,Restricted Area,0-8 Center,3.83,Missed,,,,,,,,,,,,Jackson Jr.,1628991.0,,,,
23,PT10M33.00S,2022-11-19T01:12:17.3Z,1,REGULAR,block,,[],1628991,,,1610612760,5,0,2022-11-19T01:12:20Z,230000,False,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
24,PT10M30.00S,2022-11-19T01:12:20.3Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,5,0,2022-11-19T01:12:20Z,240000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,Restricted Area,0-8 Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
25,PT10M29.00S,2022-11-19T01:12:22.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629630,6.652431011826544,53.431372549019606,1610612763,5,0,2022-11-19T01:18:47Z,250000,False,-17.0,10.0,1,left,MISS J. Morant running Layup - blocked,"[1629630, 1630197]",1610612763.0,MEM,running,,,Morant,J. Morant,,,,,,Restricted Area,0-8 Center,1.99,Missed,,,,,,,,,,,,Pokusevski,1630197.0,,,,
26,PT10M29.00S,2022-11-19T01:12:22.0Z,1,REGULAR,block,,[],1630197,,,1610612763,5,0,2022-11-19T01:12:24Z,260000,False,,,0,,A. Pokusevski BLOCK (2 BLK),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
27,PT10M24.00S,2022-11-19T01:12:27.0Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,5,0,2022-11-19T01:12:26Z,270000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,Restricted Area,0-8 Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,
28,PT10M16.00S,2022-11-19T01:12:34.4Z,1,REGULAR,3pt,Jump Shot,[],1629652,64.86530880420499,56.127450980392155,1610612760,5,0,2022-11-19T01:12:38Z,280000,False,31.0,278.0,1,right,MISS L. Dort 27' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,Above the Break 3,24+ Center,27.95,Missed,,,,,,,,,,,,,,,,,
29,PT10M14.00S,2022-11-19T01:12:36.4Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,5,0,2022-11-19T01:12:38Z,290000,False,,,0,,J. Konchar REBOUND (Off:0 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,Above the Break 3,24+ Center,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,
30,PT10M05.00S,2022-11-19T01:12:47.3Z,1,REGULAR,foul,personal,['2freethrow'],1630197,,,1610612763,5,0,2022-11-19T01:12:59Z,300000,False,,,0,,A. Pokusevski shooting personal FOUL (1 PF) (Brooks 2 FT),"[1630197, 1628415]",1610612760.0,OKC,shooting,,,Pokusevski,A. Pokusevski,,,,,1627529.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,0.0,Brooks,1628415.0
32,PT10M05.00S,2022-11-19T01:13:08.3Z,1,REGULAR,freethrow,1 of 2,[],1628415,,,1610612763,5,0,2022-11-19T01:13:08Z,320000,False,,,0,,MISS D. Brooks Free Throw 1 of 2,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
33,PT10M05.00S,2022-11-19T01:13:08.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,5,0,2022-11-19T01:13:08Z,330000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,
34,PT10M05.00S,2022-11-19T01:13:38.6Z,1,REGULAR,violation,lane,[],1630197,,,1610612763,5,0,2022-11-19T01:13:38Z,340000,False,,,0,,A. Pokusevski lane VIOLATION,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT10M05.00S,2022-11-19T01:13:43.1Z,1,REGULAR,freethrow,2 of 2,[],1628415,,,1610612763,5,0,2022-11-19T01:13:43Z,350000,False,,,0,,MISS D. Brooks Free Throw 2 of 2,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
36,PT10M03.00S,2022-11-19T01:13:44.0Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,5,0,2022-11-19T01:13:44Z,360000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,
37,PT09M56.00S,2022-11-19T01:13:53.2Z,1,REGULAR,foul,personal,[],1628415,,,1610612760,5,0,2022-11-19T01:14:00Z,370000,False,,,0,,D. Brooks personal FOUL (1 PF),"[1628415, 1629652]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,1179.0,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,0.0,Dort,1629652.0
40,PT09M49.00S,2022-11-19T01:14:28.9Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612760,5,0,2022-11-19T01:14:31Z,400000,False,,,0,,J. Giddey bad pass TURNOVER (2 TO),"[1630581, 1628991]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,2.0,Jackson Jr.,1628991.0,,,,,,
41,PT09M49.00S,2022-11-19T01:14:28.9Z,1,REGULAR,steal,,[],1628991,,,1610612763,5,0,2022-11-19T01:14:30Z,410000,False,,,0,,J. Jackson Jr. STEAL (1 STL),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
42,PT09M43.00S,2022-11-19T01:14:35.1Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203500,6.258212877792378,49.01960784313725,1610612763,7,0,2022-11-19T01:21:14Z,420000,False,5.0,6.0,1,left,S. Adams running DUNK (2 PTS) (D. Brooks 2 AST),"[203500, 1628415]",1610612763.0,MEM,running,,,Adams,S. Adams,,,,,,Restricted Area,0-8 Center,0.8,Made,,,,,2.0,D. Brooks,1628415.0,2.0,,,,,,,,,
44,PT09M27.00S,2022-11-19T01:14:50.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,88.91261498028909,43.627450980392155,1610612760,7,2,2022-11-19T01:14:55Z,440000,False,-32.0,52.0,1,right,J. Giddey 6' turnaround Jump Shot (2 PTS),[1630581],1610612760.0,OKC,turnaround,,,Giddey,J. Giddey,,,,,,In The Paint (Non-RA),0-8 Center,6.07,Made,,,,,2.0,,,,,,,,,,,,
45,PT09M11.00S,2022-11-19T01:15:07.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,8.492115637319317,44.85294117647059,1610612763,7,2,2022-11-19T01:15:12Z,450000,False,26.0,27.0,1,left,MISS J. Jackson Jr. turnaround Hook,[1628991],1610612763.0,MEM,turnaround,,,Jackson Jr.,J. Jackson Jr.,,,,,,Restricted Area,0-8 Center,3.75,Missed,,,,,,,,,,,,,,,,,
46,PT09M06.00S,2022-11-19T01:15:12.5Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,7,2,2022-11-19T01:15:12Z,460000,False,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Restricted Area,0-8 Center,,,45.0,2.0,1.0,1.0,,,,,,,,,,,,,
47,PT09M06.00S,2022-11-19T01:15:11.7Z,1,REGULAR,2pt,Hook,"['2ndchance', 'pointsinthepaint']",203500,9.937582128777924,59.55882352941176,1610612763,9,2,2022-11-19T01:15:18Z,470000,False,-48.0,41.0,1,left,S. Adams 6' turnaround Hook (4 PTS),[203500],1610612763.0,MEM,turnaround,,,Adams,S. Adams,,,,,,In The Paint (Non-RA),0-8 Center,6.29,Made,,,,,4.0,,,,,,,,,,,,
48,PT08M58.00S,2022-11-19T01:15:19.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,83.39356110381078,48.77450980392157,1610612760,9,2,2022-11-19T01:15:23Z,480000,False,-6.0,104.0,1,right,MISS S. Gilgeous-Alexander 10' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,In The Paint (Non-RA),8-16 Center,10.38,Missed,,,,,,,,,,,,,,,,,
49,PT08M55.00S,2022-11-19T01:15:22.9Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,9,2,2022-11-19T01:15:23Z,490000,False,,,0,,S. Adams REBOUND (Off:1 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,In The Paint (Non-RA),8-16 Center,,,48.0,3.0,2.0,1.0,,,,,,,,,,,,,
50,PT08M51.00S,2022-11-19T01:15:26.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1628415,13.354139290407357,38.48039215686275,1610612763,9,2,2022-11-19T01:15:32Z,500000,False,58.0,73.0,1,left,MISS D. Brooks 9' driving floating Shot,[1628415],1610612763.0,MEM,driving floating,,,Brooks,D. Brooks,,,,,,In The Paint (Non-RA),8-16 Right,9.3,Missed,,,,,,,,,,,,,,,,,
51,PT08M48.00S,2022-11-19T01:15:30.1Z,1,REGULAR,rebound,offensive,[],1629723,,,1610612763,9,2,2022-11-19T01:15:30Z,510000,False,,,0,,J. Konchar REBOUND (Off:1 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,In The Paint (Non-RA),8-16 Right,,,50.0,2.0,1.0,1.0,,,,,,,,,,,,,
52,PT08M46.00S,2022-11-19T01:15:31.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629723,8.623521681997373,47.05882352941176,1610612763,11,2,2022-11-19T01:15:36Z,520000,False,15.0,29.0,1,left,J. Konchar putback Layup (2 PTS),[1629723],1610612763.0,MEM,putback,,,Konchar,J. Konchar,,,,,,Restricted Area,0-8 Center,3.22,Made,,,,,2.0,,,,,,,,,,,,
53,PT08M35.00S,2022-11-19T01:15:42.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,87.86136662286465,42.8921568627451,1610612760,11,2,2022-11-19T01:15:46Z,530000,False,-36.0,62.0,1,right,MISS J. Giddey 7' driving Layup - blocked,"[1630581, 1629723]",1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,,In The Paint (Non-RA),0-8 Center,7.11,Missed,,,,,,,,,,,,Konchar,1629723.0,,,,
54,PT08M35.00S,2022-11-19T01:15:42.8Z,1,REGULAR,block,,[],1629723,,,1610612760,11,2,2022-11-19T01:15:45Z,540000,False,,,0,,J. Konchar BLOCK (1 BLK),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
55,PT08M32.00S,2022-11-19T01:15:45.8Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,11,2,2022-11-19T01:15:46Z,550000,False,,,0,,J. Morant REBOUND (Off:0 Def:2),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,In The Paint (Non-RA),0-8 Center,,,53.0,2.0,2.0,0.0,,,,,,,,,,,,,
56,PT08M23.00S,2022-11-19T01:15:55.2Z,1,REGULAR,3pt,Jump Shot,[],1629723,8.09789750328515,95.58823529411765,1610612763,14,2,2022-11-19T01:15:58Z,560000,False,-228.0,24.0,1,left,J. Konchar 3PT  (5 PTS) (J. Morant 2 AST),"[1629723, 1629630]",1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,Left Corner 3,24+ Left,22.91,Made,,,,,5.0,J. Morant,1629630.0,2.0,,,,,,,,,
58,PT08M22.00S,2022-11-19T01:15:59.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,14,2,2022-11-19T01:15:59Z,580000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT08M09.00S,2022-11-19T01:19:04.5Z,1,REGULAR,3pt,Jump Shot,[],1630197,69.85873850197109,27.205882352941174,1610612760,14,5,2022-11-19T01:19:08Z,590000,False,-114.0,231.0,1,right,A. Pokusevski 25' 3PT  (3 PTS) (J. Giddey 1 AST),"[1630197, 1630581]",1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,Above the Break 3,24+ Left Center,25.74,Made,,,,,3.0,J. Giddey,1630581.0,1.0,,,,,,,,,
61,PT08M01.00S,2022-11-19T01:19:15.4Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612763,14,5,2022-11-19T01:19:41Z,610000,False,,,0,,L. Dort shooting personal FOUL (1 PF) (Brooks 2 FT),"[1629652, 1628415]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,1627529.0,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,0.0,Brooks,1628415.0
63,PT08M01.00S,2022-11-19T01:19:47.9Z,1,REGULAR,freethrow,1 of 2,[],1628415,,,1610612763,15,5,2022-11-19T01:19:47Z,630000,False,,,0,,D. Brooks Free Throw 1 of 2 (1 PTS),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,
64,PT08M01.00S,2022-11-19T01:20:03.9Z,1,REGULAR,freethrow,2 of 2,[],1628415,,,1610612763,16,5,2022-11-19T01:20:03Z,640000,False,,,0,,D. Brooks Free Throw 2 of 2 (2 PTS),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,
65,PT07M51.00S,2022-11-19T01:20:14.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,93.77463863337714,47.05882352941176,1610612760,16,5,2022-11-19T01:20:17Z,650000,False,-15.0,6.0,1,right,MISS S. Gilgeous-Alexander cutting finger roll Layup,[1628983],1610612760.0,OKC,cutting finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,Restricted Area,0-8 Center,1.59,Missed,,,,,,,,,,,,,,,,,
66,PT07M49.00S,2022-11-19T01:20:16.5Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,16,5,2022-11-19T01:20:17Z,660000,False,,,0,,S. Adams REBOUND (Off:1 Def:3),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Restricted Area,0-8 Center,,,65.0,4.0,3.0,1.0,,,,,,,,,,,,,
67,PT07M37.00S,2022-11-19T01:20:28.5Z,1,REGULAR,3pt,Jump Shot,[],1628991,30.831143232588698,63.970588235294116,1610612763,19,5,2022-11-19T01:20:33Z,670000,False,-70.0,237.0,1,left,J. Jackson Jr. 24' 3PT  (8 PTS) (D. Brooks 3 AST),"[1628991, 1628415]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Above the Break 3,24+ Center,24.74,Made,,,,,8.0,D. Brooks,1628415.0,3.0,,,,,,,,,
69,PT07M26.00S,2022-11-19T01:20:39.7Z,1,REGULAR,3pt,Jump Shot,[],1631114,69.20170827858082,71.81372549019608,1610612760,19,8,2022-11-19T01:20:43Z,690000,False,109.0,237.0,1,right,J. Williams 26' 3PT  (3 PTS) (J. Giddey 2 AST),"[1631114, 1630581]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,,Above the Break 3,24+ Right Center,26.09,Made,,,,,3.0,J. Giddey,1630581.0,2.0,,,,,,,,,
71,PT07M15.00S,2022-11-19T01:20:56.8Z,1,REGULAR,foul,personal,[],1630581,,,1610612763,19,8,2022-11-19T01:21:00Z,710000,False,,,0,,J. Giddey personal FOUL (1 PF),"[1630581, 1628991]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,1193.0,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,1.0,0.0,Jackson Jr.,1628991.0
73,PT07M15.00S,2022-11-19T01:21:01.7Z,1,REGULAR,substitution,out,[],1628991,,,1610612763,19,8,2022-11-19T01:21:09Z,730000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT07M15.00S,2022-11-19T01:21:01.7Z,1,REGULAR,substitution,out,[],1630197,,,1610612763,19,8,2022-11-19T01:21:09Z,740000,False,,,0,,SUB out: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT07M15.00S,2022-11-19T01:21:01.7Z,1,REGULAR,substitution,in,[],1630583,,,1610612763,19,8,2022-11-19T01:21:09Z,750000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT07M15.00S,2022-11-19T01:21:01.7Z,1,REGULAR,substitution,in,[],1630526,,,1610612763,19,8,2022-11-19T01:21:09Z,760000,False,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT07M12.00S,2022-11-19T01:21:27.3Z,1,REGULAR,foul,offensive,[],203500,,,1610612763,19,8,2022-11-19T01:21:45Z,780000,False,,,0,,S. Adams offensive FOUL (1 PF),"[203500, 1629652]",1610612763.0,MEM,,,,Adams,S. Adams,,,,,1193.0,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1.0,0.0,Dort,1629652.0
80,PT07M12.00S,2022-11-19T01:21:27.3Z,1,REGULAR,turnover,offensive foul,[],203500,,,1610612763,19,8,2022-11-19T01:21:45Z,800000,False,,,0,,S. Adams offensive foul TURNOVER (1 TO),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,1193.0,Above the Break 3,24+ Center,,,,,,,,,,,1.0,,,,,,,,
81,PT07M03.00S,2022-11-19T01:21:48.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629652,75.90341655716163,29.411764705882355,1610612760,19,8,2022-11-19T01:21:51Z,810000,False,-103.0,174.0,1,right,MISS L. Dort 20' pullup Shot,[1629652],1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,,Mid-Range,16-24 Left Center,20.21,Missed,,,,,,,,,,,,,,,,,
82,PT07M01.00S,2022-11-19T01:21:50.7Z,1,REGULAR,rebound,offensive,[],1629652,,,1610612760,19,8,2022-11-19T01:21:50Z,820000,False,,,0,,L. Dort REBOUND (Off:1 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,Mid-Range,16-24 Left Center,,,81.0,2.0,1.0,1.0,,,,,,,,,,,,,
83,PT06M59.00S,2022-11-19T01:21:52.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629652,85.89027595269383,44.85294117647059,1610612760,19,8,2022-11-19T01:21:55Z,830000,False,-26.0,80.0,1,right,MISS L. Dort 8' driving floating bank Shot,[1629652],1610612760.0,OKC,driving floating bank,,,Dort,L. Dort,,,,,,In The Paint (Non-RA),8-16 Center,8.41,Missed,,,,,,,,,,,,,,,,,
84,PT06M56.00S,2022-11-19T01:21:55.5Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,19,8,2022-11-19T01:21:55Z,840000,False,,,0,,J. Konchar REBOUND (Off:1 Def:2),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,In The Paint (Non-RA),8-16 Center,,,83.0,3.0,2.0,1.0,,,,,,,,,,,,,
