actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
32,PT09M27.00S,2022-10-19T23:48:45.0Z,1,REGULAR,freethrow,2 of 2,[],1629630,,,1610612763,7,5,2022-10-19T23:48:45Z,320000,,,0,,J. Morant Free Throw 2 of 2 (7 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
33,PT09M17.00S,2022-10-19T23:48:56.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,82.7365308804205,47.794117647058826,1610612752,7,5,2022-10-19T23:49:01Z,330000,-11.0,110.0,1,right,MISS J. Brunson 11' turnaround fadeaway Shot,[1628973],1610612752.0,NYK,turnaround fadeaway,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,11.03,Missed,,,,,,,,,,,,,,,,,,
34,PT09M16.00S,2022-10-19T23:49:00.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,7,5,2022-10-19T23:49:00Z,340000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,33.0,,,,,,,,,,,,,
35,PT09M16.00S,2022-10-19T23:49:00.8Z,1,REGULAR,foul,personal,[],203500,,,1610612752,7,5,2022-10-19T23:49:10Z,350000,,,0,,S. Adams loose ball personal FOUL (1 PF),"[203500, 1629011]",1610612763.0,MEM,loose ball,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,203592.0,1.0,0.0,Robinson,1629011.0,,,,,
37,PT09M10.00S,2022-10-19T23:49:23.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628973,77.08607095926413,44.6078431372549,1610612752,7,5,2022-10-19T23:49:26Z,370000,-27.0,163.0,1,right,MISS J. Brunson 16' pullup Shot,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Center,16.51,Missed,,,,,,,,,,,,,,,,,,
38,PT09M08.00S,2022-10-19T23:49:25.2Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,7,5,2022-10-19T23:49:26Z,380000,,,0,,D. Bane REBOUND (Off:0 Def:2),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,16-24 Center,,,,,,,37.0,2.0,2.0,0.0,,,,,,,,,,
39,PT09M01.00S,2022-10-19T23:49:33.1Z,1,REGULAR,3pt,Jump Shot,[],1630583,8.09789750328515,95.34313725490196,1610612763,10,5,2022-10-19T23:49:36Z,390000,-227.0,24.0,1,left,S. Aldama 3PT  (3 PTS) (J. Konchar 2 AST),"[1630583, 1629723]",1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Left Corner 3,24+ Left,22.79,Made,3.0,J. Konchar,1629723.0,2.0,,,,,,,,,,,,,,
41,PT08M45.00S,2022-10-19T23:49:49.0Z,1,REGULAR,2pt,Jump Shot,[],1629628,90.22667542706965,68.38235294117648,1610612752,10,5,2022-10-19T23:49:52Z,410000,92.0,39.0,1,right,MISS R. Barrett 10' driving floating Shot,[1629628],1610612752.0,NYK,driving floating,,,Barrett,R. Barrett,,,,,Mid-Range,8-16 Right,10.0,Missed,,,,,,,,,,,,,,,,,,
42,PT08M41.00S,2022-10-19T23:49:52.2Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,10,5,2022-10-19T23:49:52Z,420000,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Mid-Range,8-16 Right,,,,,,,41.0,1.0,0.0,1.0,,,,,,,,,,
43,PT08M40.00S,2022-10-19T23:49:53.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629628,94.56307490144546,95.58823529411765,1610612752,10,5,2022-10-19T23:49:57Z,430000,228.0,-1.0,1,right,MISS R. Barrett 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,22.79,Missed,,,,,,,,,,,,,,,,,,
44,PT08M37.00S,2022-10-19T23:49:56.7Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,10,5,2022-10-19T23:49:57Z,440000,,,0,,J. Konchar REBOUND (Off:0 Def:2),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Right Corner 3,24+ Right,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,,,
45,PT08M26.00S,2022-10-19T23:50:09.9Z,1,REGULAR,turnover,out-of-bounds,[],1629630,,,1610612763,10,5,2022-10-19T23:50:16Z,450000,,,0,,J. Morant bad pass out-of-bounds TURNOVER (1 TO),[1629630],1610612763.0,MEM,bad pass,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,203592.0,,,,,1.0,,,,
46,PT08M13.00S,2022-10-19T23:50:25.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628973,89.56964520367937,62.99019607843137,1610612752,10,7,2022-10-19T23:50:29Z,460000,65.0,46.0,1,right,J. Brunson 7' pullup bank Jump Shot (2 PTS),[1628973],1610612752.0,NYK,pullup bank,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,7.93,Made,2.0,,,,,,,,,,,,,,,,,
47,PT08M00.00S,2022-10-19T23:50:37.6Z,1,REGULAR,3pt,Jump Shot,[],1629630,31.09395532194481,65.44117647058823,1610612763,10,7,2022-10-19T23:50:42Z,470000,-77.0,240.0,1,left,MISS J. Morant 25' pullup 3PT,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,Above the Break 3,24+ Center,25.19,Missed,,,,,,,,,,,,,,,,,,
48,PT07M56.00S,2022-10-19T23:50:41.6Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,10,7,2022-10-19T23:50:42Z,480000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,Above the Break 3,24+ Center,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,
49,PT07M45.00S,2022-10-19T23:50:53.0Z,1,REGULAR,3pt,Jump Shot,[],1629628,92.9862023653088,95.58823529411765,1610612752,10,7,2022-10-19T23:50:56Z,490000,228.0,13.0,1,right,MISS R. Barrett 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,22.83,Missed,,,,,,,,,,,,,,,,,,
50,PT07M43.00S,2022-10-19T23:50:55.0Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,10,7,2022-10-19T23:50:56Z,500000,,,0,,J. Konchar REBOUND (Off:0 Def:3),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Right Corner 3,24+ Right,,,,,,,49.0,3.0,3.0,0.0,,,,,,,,,,
51,PT07M31.00S,2022-10-19T23:51:06.8Z,1,REGULAR,3pt,Jump Shot,[],1630583,32.013797634691194,51.71568627450981,1610612763,10,7,2022-10-19T23:51:10Z,510000,-9.0,248.0,1,left,MISS S. Aldama 24' 3PT,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Center,24.85,Missed,,,,,,,,,,,,,,,,,,
52,PT07M29.00S,2022-10-19T23:51:08.8Z,1,REGULAR,rebound,offensive,[],1629723,,,1610612763,10,7,2022-10-19T23:51:10Z,520000,,,0,,J. Konchar REBOUND (Off:1 Def:3),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Above the Break 3,24+ Center,,,,,,,51.0,4.0,3.0,1.0,,,,,,,,,,
53,PT07M26.00S,2022-10-19T23:51:14.1Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612763,10,7,2022-10-19T23:51:30Z,530000,,,0,,M. Robinson shooting personal FOUL (1 PF) (Morant 2 FT),"[1629011, 1629630]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,203592.0,1.0,0.0,Morant,1629630.0,,,,,
55,PT07M26.00S,2022-10-19T23:51:40.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629630,,,1610612763,11,7,2022-10-19T23:51:40Z,550000,,,0,,J. Morant Free Throw 1 of 2 (8 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
56,PT07M26.00S,2022-10-19T23:51:54.5Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629630,,,1610612763,12,7,2022-10-19T23:51:54Z,560000,,,0,,J. Morant Free Throw 2 of 2 (9 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
57,PT07M13.00S,2022-10-19T23:52:09.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,81.553876478318,61.51960784313726,1610612752,12,7,2022-10-19T23:52:12Z,570000,58.0,121.0,1,right,MISS E. Fournier 13' pullup Shot,[203095],1610612752.0,NYK,pullup,,,Fournier,E. Fournier,,,,,In The Paint (Non-RA),8-16 Center,13.39,Missed,,,,,,,,,,,,,,,,,,
58,PT07M11.00S,2022-10-19T23:52:11.3Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,12,7,2022-10-19T23:52:12Z,580000,,,0,,S. Aldama REBOUND (Off:0 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,
59,PT07M03.00S,2022-10-19T23:52:19.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,6.389618922470433,47.794117647058826,1610612763,12,7,2022-10-19T23:52:23Z,590000,11.0,8.0,1,left,MISS D. Bane driving finger roll Layup,[1630217],1610612763.0,MEM,driving finger roll,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,1.34,Missed,,,,,,,,,,,,,,,,,,
60,PT07M00.00S,2022-10-19T23:52:22.6Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,12,7,2022-10-19T23:52:23Z,600000,,,0,,J. Randle REBOUND (Off:0 Def:4),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,,,,,,,59.0,4.0,4.0,0.0,,,,,,,,,,
61,PT06M53.00S,2022-10-19T23:52:29.5Z,1,REGULAR,2pt,Jump Shot,[],203944,92.46057818659659,69.6078431372549,1610612752,12,7,2022-10-19T23:52:35Z,610000,98.0,18.0,1,right,MISS J. Randle 9' pullup Shot,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,Mid-Range,8-16 Right,9.97,Missed,,,,,,,,,,,,,,,,,,
62,PT06M49.00S,2022-10-19T23:52:33.5Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,12,7,2022-10-19T23:52:35Z,620000,,,0,,S. Adams REBOUND (Off:0 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Mid-Range,8-16 Right,,,,,,,61.0,2.0,2.0,0.0,,,,,,,,,,
63,PT06M47.00S,2022-10-19T23:52:37.9Z,1,REGULAR,foul,personal,['2freethrow'],1628973,,,1610612763,12,7,2022-10-19T23:56:02Z,630000,,,0,,J. Brunson shooting personal FOUL (2 PF) (Morant 2 FT),"[1628973, 1629630]",1610612752.0,NYK,shooting,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2534.0,2.0,0.0,Morant,1629630.0,,,,,
65,PT06M47.00S,2022-10-19T23:52:56.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,12,7,2022-10-19T23:52:56Z,650000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M47.00S,2022-10-19T23:55:38.8Z,1,REGULAR,substitution,out,[],1630583,,,1610612763,12,7,2022-10-19T23:56:01Z,660000,,,0,,SUB out: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M47.00S,2022-10-19T23:55:38.8Z,1,REGULAR,substitution,out,[],1630217,,,1610612763,12,7,2022-10-19T23:56:01Z,670000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M47.00S,2022-10-19T23:55:38.8Z,1,REGULAR,substitution,in,[],1629634,,,1610612763,12,7,2022-10-19T23:56:01Z,680000,,,0,,SUB in: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M47.00S,2022-10-19T23:55:38.8Z,1,REGULAR,substitution,in,[],1626145,,,1610612763,12,7,2022-10-19T23:56:01Z,690000,,,0,,SUB in: T. Jones,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT06M47.00S,2022-10-19T23:55:38.8Z,1,REGULAR,substitution,out,[],1628973,,,1610612763,12,7,2022-10-19T23:59:16Z,695000,,,0,,SUB out: J. Brunson,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PT06M47.00S,2022-10-19T23:55:38.8Z,1,REGULAR,substitution,in,[],1630193,,,1610612763,12,7,2022-10-19T23:59:16Z,697500,,,0,,SUB in: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M47.00S,2022-10-19T23:56:15.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629630,,,1610612763,12,7,2022-10-19T23:56:15Z,700000,,,0,,MISS J. Morant Free Throw 1 of 2,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
72,PT06M47.00S,2022-10-19T23:56:15.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,12,7,2022-10-19T23:56:15Z,710000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,
73,PT06M47.00S,2022-10-19T23:56:27.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629630,,,1610612763,13,7,2022-10-19T23:56:27Z,720000,,,0,,J. Morant Free Throw 2 of 2 (10 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
74,PT06M26.00S,2022-10-19T23:56:52.7Z,1,REGULAR,foul,offensive,[],1629628,,,1610612752,13,7,2022-10-19T23:57:08Z,730000,,,0,,R. Barrett charge offensive FOUL (1 PF),"[1629628, 1629723]",1610612752.0,NYK,charge,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,200832.0,1.0,0.0,Konchar,1629723.0,,,,,
76,PT06M26.00S,2022-10-19T23:56:52.7Z,1,REGULAR,turnover,offensive foul,[],1629628,,,1610612752,13,7,2022-10-19T23:56:52Z,750000,,,0,,R. Barrett offensive foul TURNOVER (1 TO),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,200832.0,,,,,1.0,,,,
77,PT06M15.00S,2022-10-19T23:57:17.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629723,6.915243101182654,54.90196078431373,1610612763,13,7,2022-10-19T23:57:23Z,760000,-25.0,13.0,1,left,MISS J. Konchar driving Layup - blocked,"[1629723, 1629011]",1610612763.0,MEM,driving,,,Konchar,J. Konchar,,,,,Restricted Area,0-8 Center,2.75,Missed,,,,,,,,,,,,,,,Robinson,1629011.0,,
78,PT06M15.00S,2022-10-19T23:57:17.3Z,1,REGULAR,block,,[],1629011,,,1610612763,13,7,2022-10-19T23:57:20Z,770000,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
79,PT06M10.00S,2022-10-19T23:57:22.3Z,1,REGULAR,rebound,offensive,[],1629723,,,1610612763,13,7,2022-10-19T23:57:23Z,780000,,,0,,J. Konchar REBOUND (Off:2 Def:3),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Restricted Area,0-8 Center,,,,,,,77.0,5.0,3.0,2.0,,,,,,,,,,
80,PT06M10.00S,2022-10-19T23:57:21.7Z,1,REGULAR,turnover,bad pass,[],1629723,,,1610612763,13,7,2022-10-19T23:57:28Z,790000,,,0,,J. Konchar bad pass TURNOVER (1 TO),"[1629723, 203095]",1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,,,Fournier,203095.0
81,PT06M10.00S,2022-10-19T23:57:21.7Z,1,REGULAR,steal,,[],203095,,,1610612752,13,7,2022-10-19T23:57:23Z,800000,,,0,,E. Fournier STEAL (1 STL),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
