actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
24,PT09M40.00S,2022-11-26T01:13:39.6Z,1,REGULAR,foul,personal,[],1628991,,,1610612740,9,2,2022-11-26T01:13:43Z,230000,False,,,0,,J. Jackson Jr. personal FOUL (1 PF),"[1628991, 1629627]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,1198.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,0.0,Williamson,1629627.0,,,,
26,PT09M33.00S,2022-11-26T01:14:05.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,6.652431011826544,54.166666666666664,1610612740,9,2,2022-11-26T01:14:09Z,250000,False,-21.0,10.0,1,left,MISS H. Jones cutting Layup - blocked,"[1630529, 1628991]",1610612740.0,NOP,cutting,,,Jones,H. Jones,,,,,,Restricted Area,0-8 Center,2.31,Missed,,,,,,,,,,,,,,Jackson Jr.,1628991.0,,
27,PT09M33.00S,2022-11-26T01:14:05.9Z,1,REGULAR,block,,[],1628991,,,1610612740,9,2,2022-11-26T01:16:39Z,260000,False,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
28,PT09M30.00S,2022-11-26T01:14:08.9Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,9,2,2022-11-26T01:14:09Z,270000,False,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Restricted Area,0-8 Center,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,
29,PT09M27.00S,2022-11-26T01:14:11.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628415,68.01905387647832,69.6078431372549,1610612763,9,2,2022-11-26T01:14:16Z,280000,False,98.0,248.0,1,right,MISS D. Brooks 26' running 3PT,[1628415],1610612763.0,MEM,running,,,Brooks,D. Brooks,,,,,,Above the Break 3,24+ Right Center,26.68,Missed,,,,,,,,,,,,,,,,,
30,PT09M22.00S,2022-11-26T01:14:16.5Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,9,2,2022-11-26T01:14:16Z,290000,False,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,Above the Break 3,24+ Right Center,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,
31,PT09M17.00S,2022-11-26T01:14:26.1Z,1,REGULAR,foul,personal,['2freethrow'],1629630,,,1610612740,9,2,2022-11-26T01:18:07Z,300000,False,,,0,,J. Morant shooting personal FOUL (1 PF) (Alvarado 2 FT),"[1629630, 1630631]",1610612763.0,MEM,shooting,,,Morant,J. Morant,,,,,203177.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,0.0,Alvarado,1630631.0,,,,
33,PT09M17.00S,2022-11-26T01:14:49.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,9,2,2022-11-26T01:14:50Z,320000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M17.00S,2022-11-26T01:18:11.9Z,1,REGULAR,freethrow,1 of 2,[],1630631,,,1610612740,9,3,2022-11-26T01:18:11Z,340000,False,,,0,,J. Alvarado Free Throw 1 of 2 (1 PTS),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,
36,PT09M17.00S,2022-11-26T01:18:26.8Z,1,REGULAR,freethrow,2 of 2,[],1630631,,,1610612740,9,4,2022-11-26T01:18:26Z,350000,False,,,0,,J. Alvarado Free Throw 2 of 2 (2 PTS),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,
37,PT08M54.00S,2022-11-26T01:18:50.8Z,1,REGULAR,3pt,Jump Shot,[],1628415,67.36202365308804,65.19607843137256,1610612763,12,4,2022-11-26T01:18:54Z,360000,False,76.0,254.0,1,right,D. Brooks 26' 3PT  (6 PTS) (J. Morant 3 AST),"[1628415, 1629630]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,Above the Break 3,24+ Center,26.54,Made,,,,,6.0,J. Morant,1629630.0,3.0,,,,,,,,,
39,PT08M34.00S,2022-11-26T01:19:09.8Z,1,REGULAR,3pt,Jump Shot,[],1630529,5.338370565045992,95.34313725490196,1610612740,12,7,2022-11-26T01:19:12Z,380000,False,-227.0,-2.0,1,left,H. Jones 3PT  (5 PTS) (Z. Williamson 1 AST),"[1630529, 1629627]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,,Left Corner 3,24+ Left,22.67,Made,,,,,5.0,Z. Williamson,1629627.0,1.0,,,,,,,,,
41,PT08M20.00S,2022-11-26T01:19:23.4Z,1,REGULAR,3pt,Jump Shot,[],1629723,70.12155059132719,73.52941176470588,1610612763,15,7,2022-11-26T01:19:26Z,400000,False,118.0,228.0,1,right,J. Konchar 25' 3PT  (3 PTS) (S. Adams 1 AST),"[1629723, 203500]",1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,Above the Break 3,24+ Right Center,25.69,Made,,,,,3.0,S. Adams,203500.0,1.0,,,,,,,,,
43,PT08M11.00S,2022-11-26T01:19:33.2Z,1,REGULAR,turnover,bad pass,[],1627742,,,1610612740,15,7,2022-11-26T01:19:36Z,420000,False,,,0,,B. Ingram bad pass TURNOVER (1 TO),"[1627742, 203500]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1.0,,,,,,,Adams,203500.0
44,PT08M11.00S,2022-11-26T01:19:33.2Z,1,REGULAR,steal,,[],203500,,,1610612763,15,7,2022-11-26T01:19:35Z,430000,False,,,0,,S. Adams STEAL (1 STL),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,
45,PT08M05.00S,2022-11-26T01:19:39.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203500,87.46714848883047,49.754901960784316,1610612763,15,7,2022-11-26T01:22:30Z,440000,False,-1.0,65.0,1,right,MISS S. Adams 6' floating Shot,[203500],1610612763.0,MEM,floating,,,Adams,S. Adams,,,,,,In The Paint (Non-RA),0-8 Center,6.53,Missed,,,,,,,,,,,,,,,,,
46,PT08M03.00S,2022-11-26T01:19:41.3Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,15,7,2022-11-26T01:22:30Z,450000,False,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,In The Paint (Non-RA),0-8 Center,,,45.0,2.0,1.0,1.0,,,,,,,,,,,,,
47,PT08M01.00S,2022-11-26T01:19:42.8Z,1,REGULAR,turnover,lost ball,[],203500,,,1610612763,15,7,2022-11-26T01:19:45Z,460000,False,,,0,,S. Adams lost ball TURNOVER (1 TO),"[203500, 1630529]",1610612763.0,MEM,,,,Adams,S. Adams,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,,,,,Jones,1630529.0
48,PT08M01.00S,2022-11-26T01:19:42.8Z,1,REGULAR,steal,,[],1630529,,,1610612740,15,7,2022-11-26T01:22:55Z,470000,False,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
49,PT07M43.00S,2022-11-26T01:20:01.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202685,32.670827858081466,59.31372549019608,1610612740,15,7,2022-11-26T01:20:04Z,480000,False,-47.0,255.0,1,left,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,Above the Break 3,24+ Center,25.88,Missed,,,,,,,,,,,,,,,,,
50,PT07M40.00S,2022-11-26T01:20:03.6Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,15,7,2022-11-26T01:20:03Z,490000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,Above the Break 3,24+ Center,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,
51,PT07M28.00S,2022-11-26T01:20:16.1Z,1,REGULAR,3pt,Jump Shot,[],1629630,67.62483574244416,60.29411764705882,1610612763,15,7,2022-11-26T01:20:22Z,500000,False,51.0,252.0,1,right,MISS J. Morant 25' 3PT,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,Above the Break 3,24+ Center,25.7,Missed,,,,,,,,,,,,,,,,,
52,PT07M27.00S,2022-11-26T01:20:17.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,15,7,2022-11-26T01:20:22Z,510000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,Above the Break 3,24+ Center,,,51.0,,,,,,,,,,,,,,,,
53,PT07M27.00S,2022-11-26T01:20:21.5Z,1,REGULAR,foul,personal,[],1630529,,,1610612763,15,7,2022-11-26T01:20:27Z,520000,False,,,0,,H. Jones loose ball personal FOUL (1 PF),"[1630529, 203500]",1610612740.0,NOP,loose ball,,,Jones,H. Jones,,,,,101284.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,0.0,Adams,203500.0,,,,
55,PT07M27.00S,2022-11-26T01:20:28.9Z,1,REGULAR,substitution,out,[],1628991,,,1610612763,15,7,2022-11-26T01:20:35Z,540000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M27.00S,2022-11-26T01:20:28.9Z,1,REGULAR,substitution,in,[],1631223,,,1610612763,15,7,2022-11-26T01:20:35Z,550000,False,,,0,,SUB in: D. Roddy,[1631223],1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M21.00S,2022-11-26T01:20:54.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203500,93.64323258869908,48.28431372549019,1610612763,17,7,2022-11-26T01:20:59Z,560000,False,-9.0,7.0,1,right,S. Adams cutting DUNK (6 PTS) (D. Brooks 1 AST),"[203500, 1628415]",1610612763.0,MEM,cutting,,,Adams,S. Adams,,,,,,Restricted Area,0-8 Center,1.13,Made,,,,,6.0,D. Brooks,1628415.0,1.0,,,,,,,,,
59,PT07M06.00S,2022-11-26T01:21:08.3Z,1,REGULAR,3pt,Jump Shot,[],1627742,6.652431011826544,95.83333333333334,1610612740,17,7,2022-11-26T01:21:14Z,580000,False,-229.0,10.0,1,left,MISS B. Ingram 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,Left Corner 3,24+ Left,22.94,Missed,,,,,,,,,,,,,,,,,
60,PT07M02.00S,2022-11-26T01:21:12.3Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612763,17,7,2022-11-26T01:24:57Z,590000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,Left Corner 3,24+ Left,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,,
75,PT07M02.00S,2022-11-26T01:21:12.5Z,1,REGULAR,turnover,lost ball,[],1628415,,,1610612763,17,7,2022-11-26T01:25:34Z,595000,False,,,0,,D. Brooks lost ball TURNOVER (1 TO),"[1628415, 1630631]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,Mid-Range,16-24 Center,,,,,,,,,,,1.0,,,,,,,Alvarado,1630631.0
76,PT07M02.00S,2022-11-26T01:21:12.5Z,1,REGULAR,steal,,[],1630631,,,1610612740,17,7,2022-11-26T01:25:34Z,597500,False,,,0,,J. Alvarado STEAL (1 STL),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,
61,PT06M58.00S,2022-11-26T01:21:16.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629627,7.440867279894875,51.470588235294116,1610612740,17,7,2022-11-26T01:25:34Z,600000,False,-7.0,17.0,1,left,MISS Z. Williamson driving finger roll Layup,[1629627],1610612740.0,NOP,driving finger roll,,,Williamson,Z. Williamson,,,,,,Restricted Area,0-8 Center,1.89,Missed,,,,,,,,,,,,,,,,,
62,PT06M55.00S,2022-11-26T01:21:19.7Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,17,7,2022-11-26T01:21:20Z,610000,False,,,0,,J. Konchar REBOUND (Off:0 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,Restricted Area,0-8 Center,,,61.0,1.0,1.0,0.0,,,,,,,,,,,,,
63,PT06M49.00S,2022-11-26T01:21:25.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631223,94.30026281208936,4.6568627450980395,1610612763,20,7,2022-11-26T01:21:31Z,620000,False,-227.0,1.0,1,right,D. Roddy 3PT  (3 PTS) (D. Brooks 2 AST),"[1631223, 1628415]",1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,,Left Corner 3,24+ Left,22.67,Made,,,,,3.0,D. Brooks,1628415.0,2.0,,,,,,,,,
65,PT06M49.00S,2022-11-26T01:21:30.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,20,7,2022-11-26T01:24:28Z,640000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M49.00S,2022-11-26T01:23:55.9Z,1,REGULAR,substitution,out,[],202685,,,1610612740,20,7,2022-11-26T01:24:15Z,650000,False,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M49.00S,2022-11-26T01:23:55.9Z,1,REGULAR,substitution,in,[],1626204,,,1610612740,20,7,2022-11-26T01:24:15Z,660000,False,,,0,,SUB in: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M33.00S,2022-11-26T01:24:40.6Z,1,REGULAR,3pt,Jump Shot,[],1630529,28.991458607095925,75.73529411764706,1610612740,20,7,2022-11-26T01:24:44Z,670000,False,-129.0,220.0,1,left,MISS H. Jones 25' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,Above the Break 3,24+ Left Center,25.49,Missed,,,,,,,,,,,,,,,,,
69,PT06M30.00S,2022-11-26T01:24:43.6Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,20,7,2022-11-26T01:24:44Z,680000,False,,,0,,S. Adams REBOUND (Off:1 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,Above the Break 3,24+ Left Center,,,68.0,3.0,2.0,1.0,,,,,,,,,,,,,
70,PT06M14.00S,2022-11-26T01:24:59.2Z,1,REGULAR,turnover,bad pass,[],1629723,,,1610612763,20,7,2022-11-26T01:25:01Z,690000,False,,,0,,J. Konchar bad pass TURNOVER (1 TO),"[1629723, 1629627]",1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,,,,,,,Williamson,1629627.0
71,PT06M14.00S,2022-11-26T01:24:59.2Z,1,REGULAR,steal,,[],1629627,,,1610612740,20,7,2022-11-26T01:25:00Z,700000,False,,,0,,Z. Williamson STEAL (1 STL),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
72,PT06M09.00S,2022-11-26T01:25:05.6Z,1,REGULAR,foul,personal,['2freethrow'],1628415,,,1610612740,20,7,2022-11-26T01:25:18Z,710000,False,,,0,,D. Brooks shooting personal FOUL (1 PF) (Ingram 2 FT),"[1628415, 1627742]",1610612763.0,MEM,shooting,,,Brooks,D. Brooks,,,,,203177.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,0.0,Ingram,1627742.0,,,,
74,PT06M09.00S,2022-11-26T01:25:32.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1627742,,,1610612740,20,8,2022-11-26T01:25:32Z,730000,False,,,0,,B. Ingram Free Throw 1 of 2 (1 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,
77,PT06M09.00S,2022-11-26T01:25:33.9Z,1,REGULAR,substitution,out,[],1630529,,,1610612740,20,8,2022-11-26T01:25:46Z,740000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M09.00S,2022-11-26T01:25:33.9Z,1,REGULAR,substitution,in,[],1630530,,,1610612740,20,8,2022-11-26T01:25:46Z,750000,False,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M09.00S,2022-11-26T01:25:54.4Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1627742,,,1610612740,20,9,2022-11-26T01:25:54Z,760000,False,,,0,,B. Ingram Free Throw 2 of 2 (2 PTS),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,
80,PT05M51.00S,2022-11-26T01:26:14.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631223,83.13074901445466,44.36274509803921,1610612763,20,9,2022-11-26T01:26:19Z,770000,False,-28.0,106.0,1,right,MISS D. Roddy 10' driving floating Shot,[1631223],1610612763.0,MEM,driving floating,,,Roddy,D. Roddy,,,,,,In The Paint (Non-RA),8-16 Center,10.98,Missed,,,,,,,,,,,,,,,,,
81,PT05M47.00S,2022-11-26T01:26:18.9Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,20,9,2022-11-26T01:26:19Z,780000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,In The Paint (Non-RA),8-16 Center,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,,
82,PT05M43.00S,2022-11-26T01:26:26.7Z,1,REGULAR,foul,personal,[],1631223,,,1610612740,20,9,2022-11-26T01:26:32Z,790000,False,,,0,,D. Roddy personal FOUL (1 PF),"[1631223, 1629627]",1610612763.0,MEM,,,,Roddy,D. Roddy,,,,,1198.0,Restricted Area,0-8 Center,,,,,,,,,,,,1.0,0.0,Williamson,1629627.0,,,,
84,PT05M43.00S,2022-11-26T01:26:38.3Z,1,REGULAR,substitution,out,[],1628415,,,1610612740,20,9,2022-11-26T01:26:53Z,810000,False,,,0,,SUB out: D. Brooks,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M43.00S,2022-11-26T01:26:38.3Z,1,REGULAR,substitution,in,[],1626145,,,1610612740,20,9,2022-11-26T01:26:53Z,820000,False,,,0,,SUB in: T. Jones,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M39.00S,2022-11-26T01:27:00.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626204,18.74178712220762,49.01960784313725,1610612740,20,9,2022-11-26T01:27:04Z,830000,False,5.0,124.0,1,left,MISS L. Nance Jr. 12' floating Shot,[1626204],1610612740.0,NOP,floating,,,Nance Jr.,L. Nance Jr.,,,,,,In The Paint (Non-RA),8-16 Center,12.38,Missed,,,,,,,,,,,,,,,,,
