actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
34,PT09M33.00S,2023-02-08T01:14:58.0Z,1,REGULAR,block,,[],1628991,,,1610612741,5,2,2023-02-08T01:15:00Z,340000,False,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,
35,PT09M29.00S,2023-02-08T01:15:02.0Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,5,2,2023-02-08T01:15:02Z,350000,False,,,0,,D. Bane REBOUND (Off:0 Def:2),[1630217],1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,Bane,D. Bane,33.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
36,PT09M27.00S,2023-02-08T01:15:03.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,67.62483574244416,40.44117647058824,1610612763,8,2,2023-02-08T01:16:02Z,360000,False,-48.0,252.0,1,right,D. Bane 25' 3PT running pullup (3 PTS),[1630217],1610612763.0,MEM,running pullup,,,,,,Above the Break 3,24+ Center,25.63,Made,Bane,D. Bane,,,,,3.0,,,,,,,,,,,,,,
37,PT09M02.00S,2023-02-08T01:15:28.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,11.12023653088042,36.029411764705884,1610612741,8,4,2023-02-08T01:15:33Z,370000,False,70.0,52.0,1,left,N. Vucevic 8' turnaround Hook (2 PTS),[202696],1610612741.0,CHI,turnaround,,,,,,In The Paint (Non-RA),8-16 Right,8.71,Made,Vucevic,N. Vucevic,,,,,2.0,,,,,,,,,,,,,,
38,PT08M44.00S,2023-02-08T01:15:46.9Z,1,REGULAR,turnover,lost ball,[],1629630,,,1610612763,8,4,2023-02-08T01:15:52Z,380000,False,,,0,,J. Morant lost ball TURNOVER (1 TO),"[1629630, 1627936]",1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,,,Morant,J. Morant,,,,,,,,,,,,,,1.0,,,Caruso,1627936.0,
39,PT08M44.00S,2023-02-08T01:15:46.9Z,1,REGULAR,steal,,[],1627936,,,1610612741,8,4,2023-02-08T01:15:50Z,390000,False,,,0,,A. Caruso STEAL (1 STL),[1627936],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Center,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,
40,PT08M40.00S,2023-02-08T01:15:51.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630245,8.623521681997373,47.794117647058826,1610612741,8,6,2023-02-08T01:15:58Z,400000,False,11.0,29.0,1,left,A. Dosunmu running finger roll Layup (2 PTS) (A. Caruso 2 AST),"[1630245, 1627936]",1610612741.0,CHI,running finger roll,,,,,,Restricted Area,0-8 Center,3.06,Made,Dosunmu,A. Dosunmu,,,,,2.0,A. Caruso,1627936.0,2.0,,,,,,,,,,,
42,PT08M28.00S,2023-02-08T01:16:03.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630214,93.64323258869908,51.9607843137255,1610612763,10,6,2023-02-08T01:16:08Z,420000,False,10.0,7.0,1,right,X. Tillman cutting DUNK (2 PTS) (D. Bane 1 AST),"[1630214, 1630217]",1610612763.0,MEM,cutting,,,,,,Restricted Area,0-8 Center,1.22,Made,Tillman,X. Tillman,,,,,2.0,D. Bane,1630217.0,1.0,,,,,,,,,,,
44,PT08M07.00S,2023-02-08T01:16:23.3Z,1,REGULAR,3pt,Jump Shot,[],1627936,22.026938239159,11.27450980392157,1610612741,10,6,2023-02-08T01:16:27Z,440000,False,194.0,155.0,1,left,MISS A. Caruso 24' 3PT,[1627936],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Right Center,24.78,Missed,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,
45,PT08M04.00S,2023-02-08T01:16:26.3Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,10,6,2023-02-08T01:16:27Z,450000,False,,,0,,D. Bane REBOUND (Off:0 Def:3),[1630217],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,Bane,D. Bane,44.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
46,PT07M57.00S,2023-02-08T01:16:35.0Z,1,REGULAR,foul,personal,['2freethrow'],1627936,,,1610612763,10,6,2023-02-08T01:16:46Z,460000,False,,,0,,A. Caruso shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[1627936, 1628991]",1610612741.0,CHI,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Caruso,A. Caruso,,,,,,,,,201246.0,1.0,0.0,Jackson Jr.,1628991.0,,,,,,
48,PT07M57.00S,2023-02-08T01:16:56.2Z,1,REGULAR,freethrow,1 of 2,[],1628991,,,1610612763,11,6,2023-02-08T01:16:56Z,480000,False,,,0,,J. Jackson Jr. Free Throw 1 of 2 (6 PTS),[1628991],1610612763.0,MEM,,,,,,,,,,Made,Jackson Jr.,J. Jackson Jr.,,,,,6.0,,,,,,,,,,,,,,
49,PT07M57.00S,2023-02-08T01:17:11.3Z,1,REGULAR,freethrow,2 of 2,[],1628991,,,1610612763,12,6,2023-02-08T01:17:11Z,490000,False,,,0,,J. Jackson Jr. Free Throw 2 of 2 (7 PTS),[1628991],1610612763.0,MEM,,,,,,,,,,Made,Jackson Jr.,J. Jackson Jr.,,,,,7.0,,,,,,,,,,,,,,
51,PT07M42.00S,2023-02-08T01:17:45.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630172,11.251642575558476,63.48039215686274,1610612741,12,6,2023-02-08T01:17:51Z,510000,False,-67.0,53.0,1,left,MISS P. Williams 8' driving floating Shot - blocked,"[1630172, 1628991]",1610612741.0,CHI,driving floating,,,,,,In The Paint (Non-RA),8-16 Left,8.59,Missed,Williams,P. Williams,,,,,,,,,,,,,,,Jackson Jr.,1628991.0,,,
52,PT07M42.00S,2023-02-08T01:17:45.8Z,1,REGULAR,block,,[],1628991,,,1610612741,12,6,2023-02-08T01:17:48Z,520000,False,,,0,,J. Jackson Jr. BLOCK (2 BLK),[1628991],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Left,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,
53,PT07M42.00S,2023-02-08T01:17:45.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,12,6,2023-02-08T01:17:51Z,530000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,In The Paint (Non-RA),8-16 Left,,,,,51.0,,,,,,,,,,,,,,,,,,
55,PT07M36.00S,2023-02-08T01:18:05.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630245,8.492115637319317,95.58823529411765,1610612741,12,6,2023-02-08T01:18:10Z,550000,False,-228.0,27.0,1,left,MISS A. Dosunmu 3PT,[1630245],1610612741.0,CHI,,,,,,,Left Corner 3,24+ Left,22.95,Missed,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,
56,PT07M32.00S,2023-02-08T01:18:09.8Z,1,REGULAR,rebound,offensive,[],203897,,,1610612741,12,6,2023-02-08T01:25:14Z,560000,False,,,0,,Z. LaVine REBOUND (Off:1 Def:1),[203897],1610612741.0,CHI,,,,,,,Left Corner 3,24+ Left,,,LaVine,Z. LaVine,55.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
57,PT07M32.00S,2023-02-08T01:18:10.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202696,6.783837056504599,44.85294117647059,1610612741,12,6,2023-02-08T01:18:16Z,570000,False,26.0,11.0,1,left,MISS N. Vucevic Layup - blocked,"[202696, 1628991]",1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,2.81,Missed,Vucevic,N. Vucevic,,,,,,,,,,,,,,,Jackson Jr.,1628991.0,,,
58,PT07M32.00S,2023-02-08T01:18:10.5Z,1,REGULAR,block,,[],1628991,,,1610612741,12,6,2023-02-08T01:18:14Z,580000,False,,,0,,J. Jackson Jr. BLOCK (3 BLK),[1628991],1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,
59,PT07M31.00S,2023-02-08T01:18:11.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,12,6,2023-02-08T01:18:16Z,590000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,Restricted Area,0-8 Center,,,,,57.0,,,,,,,,,,,,,,,,,,
65,PT07M28.00S,2023-02-08T01:18:36.4Z,1,REGULAR,turnover,out-of-bounds,[],1627936,,,1610612741,12,6,2023-02-08T01:21:24Z,610000,False,,,0,,A. Caruso bad pass out-of-bounds TURNOVER (1 TO),[1627936],1610612741.0,CHI,bad pass,,,,,,Mid-Range,8-16 Right,,,Caruso,A. Caruso,,,,,,,,,201246.0,,,,,1.0,,,,,
62,PT07M12.00S,2023-02-08T01:18:56.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628991,93.24901445466492,49.01960784313725,1610612763,14,6,2023-02-08T01:20:20Z,620000,False,-5.0,11.0,1,right,J. Jackson Jr. driving DUNK (9 PTS) (D. Brooks 2 AST),"[1628991, 1628415]",1610612763.0,MEM,driving,,,,,,Restricted Area,0-8 Center,1.2,Made,Jackson Jr.,J. Jackson Jr.,,,,,9.0,D. Brooks,1628415.0,2.0,,,,,,,,,,,
63,PT07M11.00S,2023-02-08T01:19:00.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,14,6,2023-02-08T01:19:00Z,630000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M59.00S,2023-02-08T01:22:02.4Z,1,REGULAR,turnover,bad pass,[],202696,,,1610612741,14,6,2023-02-08T01:22:06Z,640000,False,,,0,,N. Vucevic bad pass TURNOVER (1 TO),"[202696, 1628415]",1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,1.0,,,Brooks,1628415.0,
67,PT06M59.00S,2023-02-08T01:22:02.4Z,1,REGULAR,steal,,[],1628415,,,1610612763,14,6,2023-02-08T01:22:04Z,650000,False,,,0,,D. Brooks STEAL (1 STL),[1628415],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,
68,PT06M55.00S,2023-02-08T01:22:06.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630214,94.03745072273325,51.71568627450981,1610612763,16,6,2023-02-08T01:22:13Z,660000,False,9.0,4.0,1,right,X. Tillman running finger roll Layup (4 PTS) (D. Brooks 3 AST),"[1630214, 1628415]",1610612763.0,MEM,running finger roll,,,,,,Restricted Area,0-8 Center,0.93,Made,Tillman,X. Tillman,,,,,4.0,D. Brooks,1628415.0,3.0,,,,,,,,,,,
70,PT06M42.00S,2023-02-08T01:22:19.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,7.835085413929041,41.42156862745098,1610612741,16,8,2023-02-08T01:22:23Z,680000,False,43.0,21.0,1,left,A. Dosunmu driving finger roll Layup (4 PTS) (N. Vucevic 1 AST),"[1630245, 202696]",1610612741.0,CHI,driving finger roll,,,,,,In The Paint (Non-RA),0-8 Center,4.78,Made,Dosunmu,A. Dosunmu,,,,,4.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,
72,PT06M36.00S,2023-02-08T01:22:27.8Z,1,REGULAR,turnover,out-of-bounds,[],1628415,,,1610612763,16,8,2023-02-08T01:22:38Z,700000,False,,,0,,D. Brooks bad pass out-of-bounds TURNOVER (1 TO),[1628415],1610612763.0,MEM,bad pass,,,,,,Mid-Range,16-24 Right Center,,,Brooks,D. Brooks,,,,,,,,,2003.0,,,,,1.0,,,,,
73,PT06M36.00S,2023-02-08T01:22:36.1Z,1,REGULAR,substitution,out,[],1630217,,,1610612741,16,8,2023-02-08T01:22:43Z,710000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,,,,,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,
74,PT06M36.00S,2023-02-08T01:22:36.1Z,1,REGULAR,substitution,out,[],1627936,,,1610612741,16,8,2023-02-08T01:22:43Z,720000,False,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,,,,,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,
75,PT06M36.00S,2023-02-08T01:22:36.1Z,1,REGULAR,substitution,in,[],1629723,,,1610612741,16,8,2023-02-08T01:22:43Z,730000,False,,,0,,SUB in: J. Konchar,[1629723],1610612763.0,MEM,,,,,,,,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,
76,PT06M36.00S,2023-02-08T01:22:36.1Z,1,REGULAR,substitution,in,[],1629632,,,1610612741,16,8,2023-02-08T01:22:43Z,740000,False,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,,,,,,,,White,C. White,,,,,,,,,,,,,,,,,,,
77,PT06M27.00S,2023-02-08T01:22:56.7Z,1,REGULAR,turnover,bad pass,[],1630245,,,1610612741,16,8,2023-02-08T01:23:00Z,750000,False,,,0,,A. Dosunmu bad pass TURNOVER (1 TO),"[1630245, 1629630]",1610612741.0,CHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,1.0,,,Morant,1629630.0,
78,PT06M27.00S,2023-02-08T01:22:56.7Z,1,REGULAR,steal,,[],1629630,,,1610612763,16,8,2023-02-08T01:22:58Z,760000,False,,,0,,J. Morant STEAL (1 STL),[1629630],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,,
79,PT06M21.00S,2023-02-08T01:23:01.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629630,92.59198423127464,53.431372549019606,1610612763,18,8,2023-02-08T01:23:07Z,770000,False,17.0,17.0,1,right,J. Morant running Layup (2 PTS),[1629630],1610612763.0,MEM,running,,,,,,Restricted Area,0-8 Center,2.43,Made,Morant,J. Morant,,,,,2.0,,,,,,,,,,,,,,
80,PT05M59.00S,2023-02-08T01:23:23.3Z,1,REGULAR,foul,personal,['2freethrow'],1628991,,,1610612741,18,8,2023-02-08T01:23:30Z,780000,False,,,0,,J. Jackson Jr. shooting personal FOUL (1 PF) (Vucevic 2 FT),"[1628991, 202696]",1610612763.0,MEM,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,2003.0,1.0,0.0,Vucevic,202696.0,,,,,,
82,PT05M59.00S,2023-02-08T01:23:51.6Z,1,REGULAR,freethrow,1 of 2,[],202696,,,1610612741,18,9,2023-02-08T01:24:09Z,800000,False,,,0,,N. Vucevic Free Throw 1 of 2 (3 PTS),[202696],1610612741.0,CHI,,,,,,,,,,Made,Vucevic,N. Vucevic,,,,,3.0,,,,,,,,,,,,,,
83,PT05M59.00S,2023-02-08T01:23:51.6Z,1,REGULAR,freethrow,2 of 2,[],202696,,,1610612741,18,9,2023-02-08T01:24:09Z,810000,False,,,0,,MISS N. Vucevic Free Throw 2 of 2,[202696],1610612741.0,CHI,,,,,,,,,,Missed,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,
84,PT05M58.00S,2023-02-08T01:23:52.6Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,18,9,2023-02-08T01:24:09Z,820000,False,,,0,,J. Konchar REBOUND (Off:0 Def:1),[1629723],1610612763.0,MEM,,,,,,,,,,,Konchar,J. Konchar,83.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
85,PT05M55.00S,2023-02-08T01:24:11.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629630,91.93495400788436,52.20588235294118,1610612763,20,9,2023-02-08T01:24:24Z,830000,False,11.0,23.0,1,right,J. Morant running finger roll Layup (4 PTS),[1629630],1610612763.0,MEM,running finger roll,,,,,,Restricted Area,0-8 Center,2.58,Made,Morant,J. Morant,,,,,4.0,,,,,,,,,,,,,,
86,PT05M42.00S,2023-02-08T01:24:23.9Z,1,REGULAR,2pt,Jump Shot,[],1630245,18.347568988173457,28.921568627450984,1610612741,20,9,2023-02-08T01:24:27Z,840000,False,105.0,120.0,1,left,MISS A. Dosunmu 15' pullup Shot,[1630245],1610612741.0,CHI,pullup,,,,,,Mid-Range,8-16 Right,15.97,Missed,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,
87,PT05M40.00S,2023-02-08T01:24:25.9Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,20,9,2023-02-08T01:24:27Z,850000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,,,,Mid-Range,8-16 Right,,,Jackson Jr.,J. Jackson Jr.,86.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
88,PT05M31.00S,2023-02-08T01:24:35.2Z,1,REGULAR,3pt,Jump Shot,[],1628415,92.72339027595268,94.6078431372549,1610612763,20,9,2023-02-08T01:24:39Z,860000,False,223.0,16.0,1,right,MISS D. Brooks 3PT,[1628415],1610612763.0,MEM,,,,,,,Right Corner 3,24+ Right,22.36,Missed,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,
