actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M28.00S,2023-04-01T00:11:53.9Z,1,REGULAR,steal,,[],201566,,,1610612746,2,6,2023-04-01T00:11:55Z,170000,False,,,0,,R. Westbrook STEAL (1 STL),[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
18,PT10M20.00S,2023-04-01T00:12:02.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202695,8.360709592641262,4.411764705882353,1610612746,2,9,2023-04-01T00:12:08Z,180000,False,228.0,26.0,1,left,K. Leonard 3PT  (5 PTS) (E. Gordon 1 AST),"[202695, 201569]",1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Right Corner 3,24+ Right,,,,22.94,Made,5.0,,E. Gordon,201569.0,1.0,,,,,,,,,,
20,PT10M19.00S,2023-04-01T00:12:11.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,2,9,2023-04-01T00:12:11Z,200000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M03.00S,2023-04-01T00:15:21.6Z,1,REGULAR,3pt,Jump Shot,[],1629630,70.64717477003943,20.833333333333336,1610612763,2,9,2023-04-01T00:15:26Z,210000,False,-146.0,223.0,1,right,MISS J. Morant 26' 3PT,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Left Center,,,,26.68,Missed,,,,,,,,,,,,,,,
22,PT10M00.00S,2023-04-01T00:15:24.6Z,1,REGULAR,rebound,defensive,[],201569,,,1610612746,2,9,2023-04-01T00:15:26Z,220000,False,,,0,,E. Gordon REBOUND (Off:0 Def:1),[201569],1610612746.0,LAC,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,
23,PT09M50.00S,2023-04-01T00:15:35.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,7.178055190538765,50.73529411764706,1610612746,2,9,2023-04-01T00:15:41Z,230000,False,-4.0,15.0,1,left,MISS I. Zubac cutting Layup,[1627826],1610612746.0,LAC,cutting,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,1.54,Missed,,,,,,,,,,,,,,,
24,PT09M48.00S,2023-04-01T00:15:37.3Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,2,9,2023-04-01T00:16:45Z,240000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,
25,PT09M43.00S,2023-04-01T00:15:42.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628415,86.94152431011827,96.07843137254902,1610612763,2,9,2023-04-01T00:15:47Z,250000,False,230.0,70.0,1,right,MISS D. Brooks 24' running 3PT,[1628415],1610612763.0,MEM,running,,,Brooks,D. Brooks,,,,,Right Corner 3,24+ Right,,,,24.09,Missed,,,,,,,,,,,,,,,
26,PT09M39.00S,2023-04-01T00:15:46.4Z,1,REGULAR,rebound,defensive,[],201587,,,1610612746,2,9,2023-04-01T00:15:47Z,260000,False,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,Right Corner 3,24+ Right,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,
27,PT09M33.00S,2023-04-01T00:15:54.7Z,1,REGULAR,turnover,out-of-bounds,[],201566,,,1610612746,2,9,2023-04-01T00:15:59Z,270000,False,,,0,,R. Westbrook lost ball out-of-bounds TURNOVER (1 TO),[201566],1610612746.0,LAC,lost ball,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,203593.0,,,,,,,,,,,,,
28,PT09M23.00S,2023-04-01T00:16:07.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630217,89.96386333771353,57.35294117647059,1610612763,2,9,2023-04-01T00:16:11Z,280000,False,37.0,42.0,1,right,MISS D. Bane driving floating Shot,[1630217],1610612763.0,MEM,driving floating,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,,,,5.57,Missed,,,,,,,,,,,,,,,
29,PT09M21.00S,2023-04-01T00:16:09.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,2,9,2023-04-01T00:16:11Z,290000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,
30,PT09M09.00S,2023-04-01T00:16:21.6Z,1,REGULAR,3pt,Jump Shot,[],201569,30.56833114323259,80.63725490196079,1610612746,2,12,2023-04-01T00:16:26Z,300000,False,-153.0,235.0,1,left,E. Gordon 28' 3PT pullup (3 PTS),[201569],1610612746.0,LAC,pullup,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Left Center,,,,28.04,Made,3.0,,,,,,,,,,,,,,
31,PT08M44.00S,2023-04-01T00:16:46.1Z,1,REGULAR,3pt,Jump Shot,[],1628991,94.56307490144546,3.431372549019608,1610612763,2,12,2023-04-01T00:17:01Z,310000,False,-233.0,-1.0,1,right,MISS J. Jackson Jr. 3PT - blocked,"[1628991, 202695]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Left Corner 3,24+ Left,,,,23.28,Missed,,,,,,,,,,Leonard,202695.0,,,,
32,PT08M44.00S,2023-04-01T00:16:46.1Z,1,REGULAR,block,,[],202695,,,1610612763,2,12,2023-04-01T00:16:49Z,320000,False,,,0,,K. Leonard BLOCK (1 BLK),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
33,PT08M42.00S,2023-04-01T00:16:48.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,2,12,2023-04-01T00:17:01Z,330000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,,,,,31.0,,,,,,,,,
34,PT08M42.00S,2023-04-01T00:17:00.1Z,1,REGULAR,violation,kicked ball,[],1630214,,,1610612746,2,12,2023-04-01T00:17:11Z,340000,False,,,0,,X. Tillman kicked ball VIOLATION,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,,,1627964.0,,,,,,,,,,,,,
35,PT08M31.00S,2023-04-01T00:17:13.8Z,1,REGULAR,2pt,Jump Shot,[],201569,9.149145860709593,28.431372549019606,1610612746,2,12,2023-04-01T00:18:37Z,350000,False,108.0,34.0,1,left,MISS E. Gordon 11' driving floating bank Shot,[201569],1610612746.0,LAC,driving floating bank,,,Gordon,E. Gordon,,,,,Mid-Range,8-16 Right,,,,11.29,Missed,,,,,,,,,,,,,,,
36,PT08M30.00S,2023-04-01T00:17:14.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,2,12,2023-04-01T00:17:19Z,360000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,35.0,,,,,,,,,
38,PT08M16.00S,2023-04-01T00:17:36.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,86.5473061760841,49.50980392156863,1610612763,4,12,2023-04-01T00:19:14Z,380000,False,-2.0,74.0,1,right,J. Jackson Jr. 7' turnaround bank Jump Shot (4 PTS) (D. Bane 1 AST),"[1628991, 1630217]",1610612763.0,MEM,turnaround bank,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,7.4,Made,4.0,,D. Bane,1630217.0,1.0,,,,,,,,,,
40,PT08M01.00S,2023-04-01T00:17:51.9Z,1,REGULAR,turnover,lost ball,[],201566,,,1610612746,4,12,2023-04-01T00:17:56Z,400000,False,,,0,,R. Westbrook lost ball TURNOVER (2 TO),"[201566, 1628991]",1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Mid-Range,8-16 Left,2.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,
41,PT08M01.00S,2023-04-01T00:17:51.9Z,1,REGULAR,steal,,[],1628991,,,1610612763,4,12,2023-04-01T00:17:53Z,410000,False,,,0,,J. Jackson Jr. STEAL (1 STL),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
42,PT07M51.00S,2023-04-01T00:18:02.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628415,66.83639947437582,48.77450980392157,1610612763,4,12,2023-04-01T00:18:10Z,420000,False,-6.0,259.0,1,right,MISS D. Brooks 25' pullup 3PT,[1628415],1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Center,,,,25.93,Missed,,,,,,,,,,,,,,,
43,PT07M48.00S,2023-04-01T00:18:05.6Z,1,REGULAR,rebound,offensive,[],1630214,,,1610612763,4,12,2023-04-01T00:18:05Z,430000,False,,,0,,X. Tillman REBOUND (Off:1 Def:0),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Above the Break 3,24+ Center,,,,,,,,,,,42.0,1.0,0.0,1.0,,,,,,
44,PT07M44.00S,2023-04-01T00:18:08.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630217,90.53876478318003,57.306985294117645,1610612763,4,12,2023-04-01T00:20:11Z,440000,False,37.0,36.0,1,right,MISS D. Bane bank Shot,[1630217],1610612763.0,MEM,bank,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,,,,5.15,Missed,,,,,,,,,,,,,,,
45,PT07M44.00S,2023-04-01T00:18:08.7Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,4,12,2023-04-01T00:18:13Z,450000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,,,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,
46,PT07M34.00S,2023-04-01T00:18:18.3Z,1,REGULAR,3pt,Jump Shot,[],201569,8.623521681997373,95.58823529411765,1610612746,4,12,2023-04-01T00:18:23Z,460000,False,-228.0,29.0,1,left,MISS E. Gordon 3PT,[201569],1610612746.0,LAC,,,,Gordon,E. Gordon,,,,,Left Corner 3,24+ Left,,,,22.97,Missed,,,,,,,,,,,,,,,
47,PT07M34.00S,2023-04-01T00:18:18.3Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,4,12,2023-04-01T00:26:05Z,470000,False,,,0,,I. Zubac REBOUND (Off:1 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Left Corner 3,24+ Left,,,,,,,,,,,46.0,2.0,1.0,1.0,,,,,,
97,PT07M34.00S,2023-04-01T00:18:27.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627826,5.863994743758213,50.98039215686274,1610612746,4,12,2023-04-01T00:26:05Z,475000,False,-5.0,3.0,1,left,MISS I. Zubac tip Layup,[1627826],1610612746.0,LAC,tip,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,0.55,Missed,,,,,,,,,,,,,,,
98,PT07M34.00S,2023-04-01T00:18:27.4Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612763,4,12,2023-04-01T00:25:47Z,477500,False,,,0,,X. Tillman REBOUND (Off:1 Def:1),[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,Restricted Area,0-8 Center,,,,,,,,,,,97.0,2.0,1.0,1.0,,,,,,
48,PT07M17.00S,2023-04-01T00:18:36.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,86.28449408672799,49.754901960784316,1610612763,6,12,2023-04-01T00:22:02Z,480000,False,-1.0,76.0,1,right,J. Jackson Jr. 7' turnaround Jump Shot (6 PTS) (D. Bane 2 AST),"[1628991, 1630217]",1610612763.0,MEM,turnaround,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,7.64,Made,6.0,,D. Bane,1630217.0,2.0,,,,,,,,,,
50,PT07M01.00S,2023-04-01T00:18:53.8Z,1,REGULAR,foul,personal,['2freethrow'],1629630,,,1610612746,6,12,2023-04-01T00:19:17Z,500000,False,,,0,,J. Morant shooting personal FOUL (1 PF) (Zubac 2 FT),"[1629630, 1627826]",1610612763.0,MEM,shooting,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,,,,,,,201639.0,,,,,,,,,,1.0,0.0,Zubac,1627826.0
52,PT07M01.00S,2023-04-01T00:19:23.0Z,1,REGULAR,freethrow,1 of 2,[],1627826,,,1610612746,6,12,2023-04-01T00:19:23Z,520000,False,,,0,,MISS I. Zubac Free Throw 1 of 2,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
53,PT07M01.00S,2023-04-01T00:19:23.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612746,6,12,2023-04-01T00:19:23Z,530000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,
54,PT07M01.00S,2023-04-01T00:19:39.2Z,1,REGULAR,freethrow,2 of 2,[],1627826,,,1610612746,6,13,2023-04-01T00:19:39Z,540000,False,,,0,,I. Zubac Free Throw 2 of 2 (3 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
55,PT06M45.00S,2023-04-01T00:19:57.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630214,86.15308804204993,55.14705882352941,1610612763,6,13,2023-04-01T00:20:03Z,550000,False,26.0,78.0,1,right,MISS X. Tillman 8' floating Shot,[1630214],1610612763.0,MEM,floating,,,Tillman,X. Tillman,,,,,In The Paint (Non-RA),8-16 Center,,,,8.18,Missed,,,,,,,,,,,,,,,
56,PT06M42.00S,2023-04-01T00:20:00.9Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,6,13,2023-04-01T00:20:03Z,560000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,55.0,2.0,1.0,1.0,,,,,,
57,PT06M42.00S,2023-04-01T00:20:03.3Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612763,6,13,2023-04-01T00:20:27Z,570000,False,,,0,,I. Zubac shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[1627826, 1628991]",1610612746.0,LAC,shooting,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,201639.0,,,,,,,,,,1.0,0.0,Jackson Jr.,1628991.0
59,PT06M42.00S,2023-04-01T00:20:29.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628991,,,1610612763,6,13,2023-04-01T00:20:29Z,590000,False,,,0,,MISS J. Jackson Jr. Free Throw 1 of 2,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
60,PT06M42.00S,2023-04-01T00:20:29.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,6,13,2023-04-01T00:20:29Z,600000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,
61,PT06M42.00S,2023-04-01T00:20:45.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628991,,,1610612763,7,13,2023-04-01T00:20:45Z,610000,False,,,0,,J. Jackson Jr. Free Throw 2 of 2 (7 PTS),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,Made,7.0,,,,,,,,,,,,,,
62,PT06M40.00S,2023-04-01T00:20:54.1Z,1,REGULAR,foul,personal,[],1628415,,,1610612746,7,13,2023-04-01T00:21:04Z,620000,False,,,0,,D. Brooks personal FOUL (1 PF),"[1628415, 201566]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,,,,,203593.0,,,,,,,,,,1.0,0.0,Westbrook,201566.0
64,PT06M27.00S,2023-04-01T00:21:15.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,10.5946123521682,49.50980392156863,1610612746,7,15,2023-04-01T00:21:20Z,640000,False,2.0,47.0,1,left,I. Zubac turnaround Hook (5 PTS) (R. Westbrook 2 AST),"[1627826, 201566]",1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,4.72,Made,5.0,,R. Westbrook,201566.0,2.0,,,,,,,,,,
66,PT06M15.00S,2023-04-01T00:21:27.6Z,1,REGULAR,3pt,Jump Shot,[],1628415,75.64060446780552,12.745098039215685,1610612763,7,15,2023-04-01T00:25:16Z,660000,False,-186.0,176.0,1,right,MISS D. Brooks 25' step back 3PT,[1628415],1610612763.0,MEM,step back,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,,,,25.66,Missed,,,,,,,,,,,,,,,
67,PT06M12.00S,2023-04-01T00:21:30.6Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,7,15,2023-04-01T00:21:32Z,670000,False,,,0,,I. Zubac REBOUND (Off:1 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,66.0,3.0,2.0,1.0,,,,,,
68,PT06M04.00S,2023-04-01T00:21:39.0Z,1,REGULAR,3pt,Jump Shot,[],201569,33.98488830486202,43.13725490196079,1610612746,7,18,2023-04-01T00:21:43Z,680000,False,34.0,267.0,1,left,E. Gordon 26' 3PT  (6 PTS) (R. Westbrook 3 AST),"[201569, 201566]",1610612746.0,LAC,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Center,,,,26.92,Made,6.0,,R. Westbrook,201566.0,3.0,,,,,,,,,,
70,PT05M45.00S,2023-04-01T00:22:00.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,91.80354796320631,44.85294117647059,1610612763,9,18,2023-04-01T00:22:04Z,700000,False,-26.0,25.0,1,right,D. Brooks driving floating bank Jump Shot (2 PTS) (D. Bane 3 AST),"[1628415, 1630217]",1610612763.0,MEM,driving floating bank,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,,,,3.55,Made,2.0,,D. Bane,1630217.0,3.0,,,,,,,,,,
72,PT05M45.00S,2023-04-01T00:22:02.9Z,1,REGULAR,foul,personal,['1freethrow'],201587,,,1610612763,9,18,2023-04-01T00:22:29Z,720000,False,,,0,,N. Batum shooting personal FOUL (1 PF) (Brooks 1 FT),"[201587, 1628415]",1610612746.0,LAC,shooting,,,Batum,N. Batum,,,,,Restricted Area,0-8 Center,,,,,,,203593.0,,,,,,,,,,1.0,0.0,Brooks,1628415.0
74,PT05M45.00S,2023-04-01T00:22:13.9Z,1,REGULAR,substitution,out,[],1630214,,,1610612763,9,18,2023-04-01T00:22:17Z,740000,False,,,0,,SUB out: X. Tillman,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M45.00S,2023-04-01T00:22:13.9Z,1,REGULAR,substitution,in,[],1630583,,,1610612763,9,18,2023-04-01T00:22:17Z,750000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M45.00S,2023-04-01T00:22:30.3Z,1,REGULAR,freethrow,1 of 1,[],1628415,,,1610612763,10,18,2023-04-01T00:22:30Z,760000,False,,,0,,D. Brooks Free Throw 1 of 1 (3 PTS),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
77,PT05M30.00S,2023-04-01T00:22:47.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'defensivegoaltending']",1627826,11.12023653088042,48.77450980392157,1610612746,10,20,2023-04-01T00:22:59Z,770000,False,6.0,52.0,1,left,I. Zubac turnaround Hook (7 PTS) (R. Westbrook 4 AST),"[1627826, 201566]",1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,5.24,Made,7.0,,R. Westbrook,201566.0,4.0,,,,,,,,,,
79,PT05M30.00S,2023-04-01T00:22:52.5Z,1,REGULAR,violation,defensive goaltending,[],1628991,,,1610612746,10,20,2023-04-01T00:22:59Z,790000,False,,,0,,J. Jackson Jr. defensive goaltending VIOLATION,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,1627964.0,,,,,,,,,,,,,
80,PT05M19.00S,2023-04-01T00:23:11.0Z,1,REGULAR,3pt,Jump Shot,[],1628415,74.85216819973719,12.990196078431374,1610612763,10,20,2023-04-01T00:23:14Z,800000,False,-185.0,184.0,1,right,MISS D. Brooks 26' 3PT,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,,,,26.09,Missed,,,,,,,,,,,,,,,
81,PT05M16.00S,2023-04-01T00:23:14.0Z,1,REGULAR,rebound,defensive,[],201566,,,1610612746,10,20,2023-04-01T00:23:14Z,810000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,80.0,1.0,1.0,0.0,,,,,,
