actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
32,PT09M41.00S,2023-01-12T01:13:24.9Z,1,REGULAR,foul,personal,['1freethrow'],1631110,,,1610612763,5,5,2023-01-12T01:13:34Z,320000,False,,,0,,J. Sochan shooting personal FOUL (1 PF) (Morant 1 FT),"[1631110, 1629630]",1610612759.0,SAS,shooting,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1155.0,,1.0,0.0,Morant,1629630.0,,
34,PT09M41.00S,2023-01-12T01:13:46.0Z,1,REGULAR,freethrow,1 of 1,[],1629630,,,1610612763,6,5,2023-01-12T01:13:46Z,340000,False,,,0,,J. Morant Free Throw 1 of 1 (3 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,,,,3.0,,,,,,,,,,,,,,
35,PT09M30.00S,2023-01-12T01:13:59.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,90.88370565045992,44.11764705882353,1610612759,6,5,2023-01-12T01:14:04Z,350000,False,-29.0,33.0,1,right,MISS T. Jones driving floating bank Shot,[1630200],1610612759.0,SAS,driving floating bank,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,4.43,Missed,,,,,,,,,,,,,,,,,,
36,PT09M30.00S,2023-01-12T01:14:03.3Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,6,5,2023-01-12T01:14:03Z,360000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,35.0,,,,,1.0,0.0,1.0,,,,,,,,
37,PT09M30.00S,2023-01-12T01:14:04.2Z,1,REGULAR,foul,personal,['2freethrow'],203500,,,1610612759,6,5,2023-01-12T01:14:13Z,370000,False,,,0,,S. Adams shooting personal FOUL (1 PF) (Poeltl 2 FT),"[203500, 1627751]",1610612763.0,MEM,shooting,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1155.0,,1.0,0.0,Poeltl,1627751.0,,
39,PT09M30.00S,2023-01-12T01:14:28.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1627751,,,1610612759,6,5,2023-01-12T01:14:28Z,390000,False,,,0,,MISS J. Poeltl Free Throw 1 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
40,PT09M30.00S,2023-01-12T01:14:28.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,6,5,2023-01-12T01:14:28Z,400000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,
41,PT09M30.00S,2023-01-12T01:14:48.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1627751,,,1610612759,6,6,2023-01-12T01:14:48Z,410000,False,,,0,,J. Poeltl Free Throw 2 of 2 (3 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,Made,,,,3.0,,,,,,,,,,,,,,
42,PT09M17.00S,2023-01-12T01:15:04.9Z,1,REGULAR,turnover,out-of-bounds,[],1630217,,,1610612763,6,6,2023-01-12T01:15:10Z,420000,False,,,0,,D. Bane lost ball out-of-bounds TURNOVER (1 TO),[1630217],1610612763.0,MEM,lost ball,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,101284.0,1.0,,,,,,
43,PT08M58.00S,2023-01-12T01:15:28.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1631110,92.06636005256242,70.58823529411765,1610612759,6,8,2023-01-12T01:15:33Z,430000,False,103.0,22.0,1,right,J. Sochan 10' Jump Shot (2 PTS) (R. Langford 1 AST),"[1631110, 1629641]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,8-16 Right,10.52,Made,,,,2.0,R. Langford,1629641.0,1.0,,,,,,,,,,,
45,PT08M42.00S,2023-01-12T01:15:43.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,19.004599211563733,50.49019607843137,1610612763,6,8,2023-01-12T01:15:49Z,450000,False,-2.0,126.0,1,left,MISS D. Brooks 12' pullup Shot,[1628415],1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,12.61,Missed,,,,,,,,,,,,,,,,,,
46,PT08M39.00S,2023-01-12T01:15:46.6Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,6,8,2023-01-12T01:15:49Z,460000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,,,45.0,,,,,2.0,1.0,1.0,,,,,,,,
47,PT08M35.00S,2023-01-12T01:15:52.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631110,92.85479632063075,50.98039215686274,1610612759,6,10,2023-01-12T01:15:57Z,470000,False,5.0,15.0,1,right,J. Sochan driving DUNK (4 PTS) (T. Jones 1 AST),"[1631110, 1630200]",1610612759.0,SAS,driving,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,1.55,Made,,,,4.0,T. Jones,1630200.0,1.0,,,,,,,,,,,
49,PT08M35.00S,2023-01-12T01:15:57.0Z,1,REGULAR,foul,personal,['1freethrow'],1628991,,,1610612759,6,10,2023-01-12T01:16:17Z,490000,False,,,0,,J. Jackson Jr. shooting personal FOUL (1 PF) (Sochan 1 FT),"[1628991, 1631110]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,101284.0,,1.0,0.0,Sochan,1631110.0,,
51,PT08M35.00S,2023-01-12T01:16:18.3Z,1,REGULAR,freethrow,1 of 1,[],1631110,,,1610612759,6,11,2023-01-12T01:16:18Z,510000,False,,,0,,J. Sochan Free Throw 1 of 1 (5 PTS),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,Made,,,,5.0,,,,,,,,,,,,,,
52,PT08M22.00S,2023-01-12T01:16:33.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,8.229303547963205,47.05882352941176,1610612763,6,11,2023-01-12T01:16:38Z,520000,False,15.0,25.0,1,left,MISS D. Brooks cutting finger roll Layup - blocked,"[1628415, 1627751]",1610612763.0,MEM,cutting finger roll,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,2.89,Missed,Poeltl,1627751.0,,,,,,,,,,,,,,,,
53,PT08M22.00S,2023-01-12T01:16:33.3Z,1,REGULAR,block,,[],1627751,,,1610612763,6,11,2023-01-12T01:16:35Z,530000,False,,,0,,J. Poeltl BLOCK (3 BLK),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
54,PT08M19.00S,2023-01-12T01:16:36.3Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,6,11,2023-01-12T01:16:38Z,540000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,52.0,,,,,1.0,1.0,0.0,,,,,,,,
55,PT08M13.00S,2023-01-12T01:16:41.9Z,1,REGULAR,3pt,Jump Shot,[],1629641,91.40932982917214,96.07843137254902,1610612759,6,11,2023-01-12T01:16:46Z,550000,False,230.0,28.0,1,right,MISS R. Langford 3PT,[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,Right Corner 3,24+ Right,23.21,Missed,,,,,,,,,,,,,,,,,,
56,PT08M09.00S,2023-01-12T01:16:45.9Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612763,6,11,2023-01-12T01:26:17Z,560000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Right Corner 3,24+ Right,,,,,55.0,,,,,1.0,1.0,0.0,,,,,,,,
57,PT08M03.00S,2023-01-12T01:16:51.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,7.966491458607096,53.92156862745098,1610612763,6,11,2023-01-12T01:16:58Z,570000,False,-20.0,22.0,1,left,MISS D. Bane driving finger roll Layup - blocked,"[1630217, 1627751]",1610612763.0,MEM,driving finger roll,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,2.98,Missed,Poeltl,1627751.0,,,,,,,,,,,,,,,,
58,PT08M03.00S,2023-01-12T01:16:51.8Z,1,REGULAR,block,,[],1627751,,,1610612763,6,11,2023-01-12T01:16:54Z,580000,False,,,0,,J. Poeltl BLOCK (4 BLK),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT07M59.00S,2023-01-12T01:16:55.8Z,1,REGULAR,rebound,offensive,[],1630217,,,1610612763,6,11,2023-01-12T01:16:58Z,590000,False,,,0,,D. Bane REBOUND (Off:1 Def:0),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,,,,,57.0,,,,,1.0,0.0,1.0,,,,,,,,
60,PT07M59.00S,2023-01-12T01:16:55.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630217,5.590000152587891,50.0,1610612763,8,11,2023-01-12T01:16:55Z,600000,False,0.0,0.0,1,left,D. Bane putback Layup (5 PTS),[1630217],1610612763.0,MEM,putback,,,Bane,D. Bane,,,,,Mid-Range,8-16 Left,0.0,Made,,,,5.0,,,,,,,,,,,,,,
61,PT07M51.00S,2023-01-12T01:17:03.3Z,1,REGULAR,3pt,Jump Shot,[],1631110,68.54467805519053,34.55882352941176,1610612759,8,11,2023-01-12T01:17:08Z,610000,False,-77.0,243.0,1,right,MISS J. Sochan 25' 3PT,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Center,25.52,Missed,,,,,,,,,,,,,,,,,,
62,PT07M49.00S,2023-01-12T01:17:05.3Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,8,11,2023-01-12T01:17:08Z,620000,False,,,0,,S. Adams REBOUND (Off:0 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Above the Break 3,24+ Center,,,,,61.0,,,,,2.0,2.0,0.0,,,,,,,,
63,PT07M43.00S,2023-01-12T01:17:14.2Z,1,REGULAR,foul,personal,['2freethrow'],1629641,,,1610612763,8,11,2023-01-12T01:17:38Z,630000,False,,,0,,R. Langford shooting personal FOUL (1 PF) (Morant 2 FT),"[1629641, 1629630]",1610612759.0,SAS,shooting,,,Langford,R. Langford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,101284.0,,1.0,0.0,Morant,1629630.0,,
65,PT07M43.00S,2023-01-12T01:17:39.9Z,1,REGULAR,freethrow,1 of 2,[],1629630,,,1610612763,9,11,2023-01-12T01:17:39Z,650000,False,,,0,,J. Morant Free Throw 1 of 2 (4 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,,,,4.0,,,,,,,,,,,,,,
66,PT07M43.00S,2023-01-12T01:17:53.9Z,1,REGULAR,freethrow,2 of 2,[],1629630,,,1610612763,10,11,2023-01-12T01:17:53Z,660000,False,,,0,,J. Morant Free Throw 2 of 2 (5 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,,,,5.0,,,,,,,,,,,,,,
67,PT07M29.00S,2023-01-12T01:18:11.6Z,1,REGULAR,2pt,Jump Shot,[],1629641,73.01248357424441,38.23529411764706,1610612759,10,11,2023-01-12T01:18:16Z,670000,False,-59.0,201.0,1,right,MISS R. Langford 20' pullup Shot,[1629641],1610612759.0,SAS,pullup,,,Langford,R. Langford,,,,,Mid-Range,16-24 Center,20.96,Missed,,,,,,,,,,,,,,,,,,
68,PT07M26.00S,2023-01-12T01:18:14.6Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,10,11,2023-01-12T01:18:16Z,680000,False,,,0,,D. Bane REBOUND (Off:1 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,16-24 Center,,,,,67.0,,,,,2.0,1.0,1.0,,,,,,,,
69,PT07M22.00S,2023-01-12T01:18:23.3Z,1,REGULAR,foul,offensive,[],203500,,,1610612763,10,11,2023-01-12T01:18:29Z,690000,False,,,0,,S. Adams offensive FOUL (2 PF),"[203500, 1629641]",1610612763.0,MEM,,,,Adams,S. Adams,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1628172.0,,2.0,0.0,Langford,1629641.0,,
71,PT07M22.00S,2023-01-12T01:18:23.3Z,1,REGULAR,turnover,offensive foul,[],203500,,,1610612763,10,11,2023-01-12T01:18:23Z,710000,False,,,0,,S. Adams offensive foul TURNOVER (1 TO),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1628172.0,1.0,,,,,,
72,PT07M22.00S,2023-01-12T01:18:29.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,10,11,2023-01-12T01:18:29Z,720000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT07M22.00S,2023-01-12T01:21:00.4Z,1,REGULAR,substitution,out,[],203500,,,1610612759,10,11,2023-01-12T01:21:15Z,730000,False,,,0,,SUB out: S. Adams,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT07M22.00S,2023-01-12T01:21:00.4Z,1,REGULAR,substitution,in,[],1630214,,,1610612759,10,11,2023-01-12T01:21:15Z,740000,False,,,0,,SUB in: X. Tillman,[1630214],1610612763.0,MEM,,,,Tillman,X. Tillman,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT07M11.00S,2023-01-12T01:21:31.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629640,78.13731931668858,89.95098039215686,1610612759,10,11,2023-01-12T01:21:36Z,750000,False,200.0,153.0,1,right,MISS K. Johnson 25' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,25.17,Missed,,,,,,,,,,,,,,,,,,
76,PT07M07.00S,2023-01-12T01:21:35.6Z,1,REGULAR,rebound,offensive,[],1631110,,,1610612759,10,11,2023-01-12T01:21:35Z,760000,False,,,0,,J. Sochan REBOUND (Off:1 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Right Center,,,,,75.0,,,,,2.0,1.0,1.0,,,,,,,,
77,PT07M02.00S,2023-01-12T01:21:40.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631110,89.04402102496715,64.4607843137255,1610612759,10,13,2023-01-12T01:28:09Z,770000,False,72.0,50.0,1,right,J. Sochan 8' pullup Jump Shot (7 PTS),[1631110],1610612759.0,SAS,pullup,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),8-16 Right,8.82,Made,,,,7.0,,,,,,,,,,,,,,
78,PT06M52.00S,2023-01-12T01:21:54.0Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612763,10,13,2023-01-12T01:22:09Z,780000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Morant 2 FT),"[1627751, 1629630]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1628172.0,,1.0,0.0,Morant,1629630.0,,
80,PT06M52.00S,2023-01-12T01:22:13.1Z,1,REGULAR,freethrow,1 of 2,[],1629630,,,1610612763,10,13,2023-01-12T01:22:13Z,800000,False,,,0,,MISS J. Morant Free Throw 1 of 2,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
81,PT06M52.00S,2023-01-12T01:22:13.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,10,13,2023-01-12T01:22:13Z,810000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,
82,PT06M52.00S,2023-01-12T01:22:18.2Z,1,REGULAR,substitution,out,[],1627751,,,1610612763,10,13,2023-01-12T01:22:22Z,820000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M52.00S,2023-01-12T01:22:18.2Z,1,REGULAR,substitution,in,[],1628380,,,1610612763,10,13,2023-01-12T01:22:22Z,830000,False,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M52.00S,2023-01-12T01:22:32.5Z,1,REGULAR,freethrow,2 of 2,[],1629630,,,1610612763,11,13,2023-01-12T01:22:32Z,840000,False,,,0,,J. Morant Free Throw 2 of 2 (6 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,,,,6.0,,,,,,,,,,,,,,
