actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
30,PT10M10.00S,2022-10-25T00:14:09.1Z,1,REGULAR,steal,,[],1630217,,,1610612763,5,2,2022-10-25T00:14:11Z,290000,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
31,PT10M06.00S,2022-10-25T00:14:13.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629630,5.995400788436268,49.01960784313725,1610612763,7,2,2022-10-25T00:14:18Z,300000,5.0,4.0,1,left,J. Morant running DUNK (4 PTS) (D. Bane 1 AST),"[1629630, 1630217]",1610612763.0,MEM,running,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,0.63,Made,,,,,,,,,,,,4.0,D. Bane,1630217.0,1.0,,,
33,PT09M50.00S,2022-10-25T00:14:29.0Z,1,REGULAR,2pt,Jump Shot,[],202681,85.23324572930355,65.93137254901961,1610612751,7,4,2022-10-25T00:14:37Z,320000,80.0,86.0,1,right,K. Irving 11' turnaround fadeaway Jump Shot (2 PTS) (K. Durant 1 AST),"[202681, 201142]",1610612751.0,BKN,turnaround fadeaway,,,Irving,K. Irving,,,,,Mid-Range,8-16 Right,11.75,Made,,,,,,,,,,,,2.0,K. Durant,201142.0,1.0,,,
35,PT09M32.00S,2022-10-25T00:14:46.9Z,1,REGULAR,turnover,bad pass,[],1628415,,,1610612763,7,4,2022-10-25T00:14:50Z,340000,,,0,,D. Brooks bad pass TURNOVER (1 TO),"[1628415, 1627732]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,1.0,Simmons,1627732.0
36,PT09M32.00S,2022-10-25T00:14:46.9Z,1,REGULAR,steal,,[],1627732,,,1610612751,7,4,2022-10-25T00:14:48Z,350000,,,0,,B. Simmons STEAL (1 STL),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
37,PT09M19.00S,2022-10-25T00:15:00.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201142,87.20433639947439,77.94117647058823,1610612751,7,6,2022-10-25T00:15:04Z,360000,140.0,68.0,1,right,K. Durant 15' pullup Jump Shot (2 PTS) (K. Irving 1 AST),"[201142, 202681]",1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,15.53,Made,,,,,,,,,,,,2.0,K. Irving,202681.0,1.0,,,
39,PT09M07.00S,2022-10-25T00:15:11.5Z,1,REGULAR,3pt,Jump Shot,[],1628415,28.728646517739815,23.284313725490197,1610612763,7,6,2022-10-25T00:15:16Z,380000,134.0,218.0,1,left,MISS D. Brooks 25' pullup 3PT,[1628415],1610612763.0,MEM,pullup,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,25.53,Missed,,,,,,,,,,,,,,,,,,
40,PT09M04.00S,2022-10-25T00:15:14.5Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,7,6,2022-10-25T00:15:16Z,390000,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,
41,PT08M56.00S,2022-10-25T00:15:22.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626220,87.99277266754271,37.254901960784316,1610612751,7,6,2022-10-25T00:15:29Z,400000,-64.0,60.0,1,right,MISS R. O'Neale 8' driving floating Shot,[1626220],1610612751.0,BKN,driving floating,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),8-16 Left,8.78,Missed,,,,,,,,,,,,,,,,,,
42,PT08M52.00S,2022-10-25T00:15:26.7Z,1,REGULAR,rebound,offensive,[],1626220,,,1610612751,7,6,2022-10-25T00:15:29Z,410000,,,0,,R. O'Neale REBOUND (Off:1 Def:0),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),8-16 Left,,,41.0,1.0,0.0,1.0,,,,,,,,,,,,,,
43,PT08M52.00S,2022-10-25T00:15:26.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626220,94.40999984741211,50.0,1610612751,7,8,2022-10-25T00:15:30Z,420000,0.0,0.0,1,right,R. O'Neale tip Layup (2 PTS),[1626220],1610612751.0,BKN,tip,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,,,2.0,,,,,,
44,PT08M39.00S,2022-10-25T00:15:40.1Z,1,REGULAR,3pt,Jump Shot,[],1629630,31.488173455978973,35.78431372549019,1610612763,10,8,2022-10-25T00:15:46Z,430000,71.0,243.0,1,left,J. Morant 25' 3PT  (7 PTS) (D. Bane 2 AST),"[1629630, 1630217]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Center,25.37,Made,,,,,,,,,,,,7.0,D. Bane,1630217.0,2.0,,,
46,PT08M24.00S,2022-10-25T00:15:55.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201142,93.24901445466492,46.07843137254902,1610612751,10,10,2022-10-25T00:16:00Z,450000,-20.0,11.0,1,right,K. Durant cutting DUNK (4 PTS) (B. Simmons 1 AST),"[201142, 1627732]",1610612751.0,BKN,cutting,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,2.25,Made,,,,,,,,,,,,4.0,B. Simmons,1627732.0,1.0,,,
48,PT08M23.00S,2022-10-25T00:16:01.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,10,10,2022-10-25T00:16:01Z,470000,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M11.00S,2022-10-25T00:19:09.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,7.30946123521682,47.05882352941176,1610612763,12,10,2022-10-25T00:19:14Z,480000,15.0,16.0,1,left,D. Brooks cutting Layup (2 PTS) (J. Morant 2 AST),"[1628415, 1629630]",1610612763.0,MEM,cutting,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,2.19,Made,,,,,,,,,,,,2.0,J. Morant,1629630.0,2.0,,,
51,PT07M57.00S,2022-10-25T00:19:23.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,92.9862023653088,45.83333333333333,1610612751,12,10,2022-10-25T00:19:29Z,500000,-21.0,13.0,1,right,MISS N. Claxton cutting Layup,[1629651],1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,2.47,Missed,,,,,,,,,,,,,,,,,,
52,PT07M53.00S,2022-10-25T00:19:27.4Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,12,10,2022-10-25T00:19:27Z,510000,,,0,,S. Adams REBOUND (Off:1 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,51.0,3.0,2.0,1.0,,,,,,,,,,,,,,
53,PT07M53.00S,2022-10-25T00:19:30.1Z,1,REGULAR,foul,personal,[],1629651,,,1610612763,12,10,2022-10-25T00:19:36Z,520000,,,0,,N. Claxton personal FOUL (1 PF),"[1629651, 203500]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Right Center,,,,,,,202037.0,1.0,0.0,Adams,203500.0,,,,,,,,,
55,PT07M43.00S,2022-10-25T00:20:06.1Z,1,REGULAR,2pt,Jump Shot,[],1630217,21.23850197109067,47.549019607843135,1610612763,12,10,2022-10-25T00:20:11Z,540000,12.0,147.0,1,left,MISS D. Bane 14' Jump Shot,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,8-16 Center,14.76,Missed,,,,,,,,,,,,,,,,,,
56,PT07M40.00S,2022-10-25T00:20:09.1Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612751,12,10,2022-10-25T00:20:11Z,550000,,,0,,R. O'Neale REBOUND (Off:1 Def:1),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Mid-Range,8-16 Center,,,55.0,2.0,1.0,1.0,,,,,,,,,,,,,,
57,PT07M35.00S,2022-10-25T00:20:14.1Z,1,REGULAR,2pt,Jump Shot,[],202681,84.70762155059133,79.90196078431373,1610612751,12,10,2022-10-25T00:20:21Z,560000,150.0,91.0,1,right,MISS K. Irving 17' pullup Shot,[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,Mid-Range,16-24 Right,17.51,Missed,,,,,,,,,,,,,,,,,,
58,PT07M31.00S,2022-10-25T00:20:18.1Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,12,10,2022-10-25T00:20:21Z,570000,,,0,,S. Adams REBOUND (Off:1 Def:3),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Mid-Range,16-24 Right,,,57.0,4.0,3.0,1.0,,,,,,,,,,,,,,
59,PT07M27.00S,2022-10-25T00:20:22.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628415,27.54599211563732,11.029411764705882,1610612763,12,10,2022-10-25T00:20:26Z,580000,195.0,206.0,1,left,MISS D. Brooks 28' 3PT,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,28.39,Missed,,,,,,,,,,,,,,,,,,
60,PT07M24.00S,2022-10-25T00:20:25.1Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,12,10,2022-10-25T00:20:26Z,590000,,,0,,K. Irving REBOUND (Off:0 Def:2),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,,,59.0,2.0,2.0,0.0,,,,,,,,,,,,,,
61,PT07M21.00S,2022-10-25T00:20:35.5Z,1,REGULAR,foul,personal,['2freethrow'],1629630,,,1610612751,12,10,2022-10-25T00:20:43Z,600000,,,0,,J. Morant shooting personal FOUL (1 PF) (Durant 2 FT),"[1629630, 201142]",1610612763.0,MEM,shooting,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627962.0,1.0,0.0,Durant,201142.0,,,,,,,,,
63,PT07M21.00S,2022-10-25T00:20:55.1Z,1,REGULAR,freethrow,1 of 2,[],201142,,,1610612751,12,11,2022-10-25T00:20:55Z,620000,,,0,,K. Durant Free Throw 1 of 2 (5 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,Made,,,,,,,,,,,,5.0,,,,,,
64,PT07M21.00S,2022-10-25T00:20:58.0Z,1,REGULAR,substitution,out,[],1628415,,,1610612751,12,11,2022-10-25T00:21:06Z,630000,,,0,,SUB out: D. Brooks,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M21.00S,2022-10-25T00:20:58.0Z,1,REGULAR,substitution,in,[],1629723,,,1610612751,12,11,2022-10-25T00:21:06Z,640000,,,0,,SUB in: J. Konchar,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M21.00S,2022-10-25T00:21:17.3Z,1,REGULAR,freethrow,2 of 2,[],201142,,,1610612751,12,12,2022-10-25T00:21:17Z,650000,,,0,,K. Durant Free Throw 2 of 2 (6 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,Made,,,,,,,,,,,,6.0,,,,,,
67,PT07M13.00S,2022-10-25T00:21:26.1Z,1,REGULAR,3pt,Jump Shot,[],1630583,26.888961892247043,77.20588235294117,1610612763,15,12,2022-10-25T00:21:31Z,660000,-136.0,200.0,1,left,S. Aldama 24' 3PT  (3 PTS) (J. Morant 3 AST),"[1630583, 1629630]",1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Left Center,24.21,Made,,,,,,,,,,,,3.0,J. Morant,1629630.0,3.0,,,
69,PT07M00.00S,2022-10-25T00:21:38.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,86.81011826544021,42.40196078431372,1610612751,15,14,2022-10-25T00:21:46Z,680000,-38.0,71.0,1,right,K. Durant 8' driving floating Jump Shot (8 PTS) (B. Simmons 2 AST),"[201142, 1627732]",1610612751.0,BKN,driving floating,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,8.1,Made,,,,,,,,,,,,8.0,B. Simmons,1627732.0,2.0,,,
71,PT06M33.00S,2022-10-25T00:22:05.4Z,1,REGULAR,2pt,Jump Shot,[],1630583,14.536793692509855,19.852941176470587,1610612763,17,14,2022-10-25T00:22:10Z,700000,151.0,84.0,1,left,S. Aldama 17' turnaround fadeaway Jump Shot (5 PTS),[1630583],1610612763.0,MEM,turnaround fadeaway,,,Aldama,S. Aldama,,,,,Mid-Range,16-24 Right,17.26,Made,,,,,,,,,,,,5.0,,,,,,
72,PT06M15.00S,2022-10-25T00:22:23.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,82.47371879106439,35.53921568627451,1610612751,17,14,2022-10-25T00:22:32Z,710000,-72.0,112.0,1,right,MISS K. Irving 13' step back Shot,[202681],1610612751.0,BKN,step back,,,Irving,K. Irving,,,,,In The Paint (Non-RA),8-16 Left,13.35,Missed,,,,,,,,,,,,,,,,,,
73,PT06M12.00S,2022-10-25T00:22:26.4Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,17,14,2022-10-25T00:22:32Z,720000,,,0,,S. Aldama REBOUND (Off:0 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),8-16 Left,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,,,
74,PT06M09.00S,2022-10-25T00:22:32.4Z,1,REGULAR,foul,personal,['2freethrow'],1629651,,,1610612763,17,14,2022-10-25T00:22:43Z,730000,,,0,,N. Claxton shooting personal FOUL (2 PF) (Morant 2 FT),"[1629651, 1629630]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627962.0,2.0,0.0,Morant,1629630.0,,,,,,,,,
76,PT06M09.00S,2022-10-25T00:22:56.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629630,,,1610612763,18,14,2022-10-25T00:23:46Z,750000,,,0,,J. Morant Free Throw 1 of 2 (8 PTS),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Made,,,,,,,,,,,,8.0,,,,,,
77,PT06M09.00S,2022-10-25T00:22:58.2Z,1,REGULAR,substitution,out,[],1630217,,,1610612763,18,14,2022-10-25T00:23:05Z,760000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M09.00S,2022-10-25T00:22:58.2Z,1,REGULAR,substitution,out,[],202681,,,1610612763,18,14,2022-10-25T00:23:05Z,770000,,,0,,SUB out: K. Irving,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M09.00S,2022-10-25T00:22:58.2Z,1,REGULAR,substitution,in,[],1626145,,,1610612763,18,14,2022-10-25T00:23:05Z,780000,,,0,,SUB in: T. Jones,[1626145],1610612763.0,MEM,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M09.00S,2022-10-25T00:22:58.2Z,1,REGULAR,substitution,in,[],201988,,,1610612763,18,14,2022-10-25T00:23:05Z,790000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M09.00S,2022-10-25T00:22:56.9Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629630,,,1610612763,18,14,2022-10-25T00:23:46Z,800000,,,0,,MISS J. Morant Free Throw 2 of 2,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
82,PT06M09.00S,2022-10-25T00:22:56.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,18,14,2022-10-25T00:23:46Z,810000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,
83,PT06M09.00S,2022-10-25T00:23:23.9Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630583,,,1610612751,18,14,2022-10-25T00:23:40Z,820000,,,0,,S. Aldama loose ball personal FOUL (1 PF) (Simmons 2 FT),"[1630583, 1627732]",1610612763.0,MEM,loose ball,,,Aldama,S. Aldama,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202037.0,1.0,0.0,Simmons,1627732.0,,,,,,,,,
85,PT06M09.00S,2022-10-25T00:23:59.8Z,1,REGULAR,freethrow,1 of 2,[],1627732,,,1610612751,18,14,2022-10-25T00:23:59Z,840000,,,0,,MISS B. Simmons Free Throw 1 of 2,[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
86,PT06M09.00S,2022-10-25T00:23:59.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,18,14,2022-10-25T00:23:59Z,850000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,
87,PT06M09.00S,2022-10-25T00:24:00.5Z,1,REGULAR,substitution,out,[],1629651,,,1610612751,18,14,2022-10-25T00:24:09Z,860000,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT06M09.00S,2022-10-25T00:24:00.5Z,1,REGULAR,substitution,in,[],1630549,,,1610612751,18,14,2022-10-25T00:24:09Z,870000,,,0,,SUB in: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
