actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
56,PT06M36.00S,2023-03-29T23:53:45.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,10.068988173455978,58.333333333333336,1610612755,7,12,2023-03-29T23:53:50Z,560000,False,-42.0,42.0,1,left,MISS J. Embiid driving Layup,[203954],1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,5.93,Missed,,,,,,,,,,,,,,,,
57,PT06M33.00S,2023-03-29T23:53:48.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,7,12,2023-03-29T23:53:50Z,570000,False,,,0,,L. Doncic REBOUND (Off:0 Def:3),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,56.0,3.0,3.0,0.0,,,,
58,PT06M29.00S,2023-03-29T23:53:52.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203493,95.3515111695138,4.6568627450980395,1610612742,7,12,2023-03-29T23:54:00Z,580000,False,-227.0,-9.0,1,right,MISS R. Bullock running 3PT,[203493],1610612742.0,DAL,running,,,Bullock,R. Bullock,,,,,Left Corner 3,24+ Left,,,22.69,Missed,,,,,,,,,,,,,,,,
59,PT06M26.00S,2023-03-29T23:53:55.3Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,7,12,2023-03-29T23:54:00Z,590000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,58.0,1.0,1.0,0.0,,,,
60,PT06M14.00S,2023-03-29T23:54:07.1Z,1,REGULAR,3pt,Jump Shot,[],1630178,31.225361366622867,27.450980392156865,1610612755,10,12,2023-03-29T23:54:11Z,600000,False,113.0,241.0,1,left,T. Maxey 26' 3PT pullup (3 PTS) (J. Harden 2 AST),"[1630178, 201935]",1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,26.6,Made,3.0,J. Harden,201935.0,2.0,,,,,,,,,,,,
62,PT06M13.00S,2023-03-29T23:54:16.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,10,12,2023-03-29T23:54:16Z,620000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M13.00S,2023-03-29T23:57:34.3Z,1,REGULAR,substitution,out,[],203493,,,1610612742,10,12,2023-03-29T23:57:37Z,630000,False,,,0,,SUB out: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M13.00S,2023-03-29T23:57:34.3Z,1,REGULAR,substitution,in,[],1630182,,,1610612742,10,12,2023-03-29T23:57:37Z,640000,False,,,0,,SUB in: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M58.00S,2023-03-29T23:57:49.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,88.64980289093299,53.92156862745098,1610612742,10,12,2023-03-29T23:57:54Z,650000,False,20.0,54.0,1,right,MISS K. Irving pullup Shot,[202681],1610612742.0,DAL,pullup,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,,,5.76,Missed,,,,,,,,,,,,,,,,
66,PT05M56.00S,2023-03-29T23:57:51.8Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,10,12,2023-03-29T23:57:51Z,660000,False,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,65.0,2.0,2.0,0.0,,,,
67,PT05M55.00S,2023-03-29T23:57:56.2Z,1,REGULAR,foul,personal,[],1629029,,,1610612755,10,12,2023-03-29T23:58:05Z,670000,False,,,0,,L. Doncic personal FOUL (1 PF),"[1629029, 201935]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,204059.0,,,,,,,,1.0,0.0,Harden,201935.0,,,,,,,,
69,PT05M39.00S,2023-03-29T23:58:49.1Z,1,REGULAR,turnover,lost ball,[],203954,,,1610612755,10,12,2023-03-29T23:58:55Z,690000,False,,,0,,J. Embiid lost ball TURNOVER (2 TO),"[203954, 202681]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,2.0,,,,,,,,,,,,,,,Irving,202681.0,,
70,PT05M39.00S,2023-03-29T23:58:49.1Z,1,REGULAR,steal,,[],202681,,,1610612742,10,12,2023-03-29T23:59:35Z,700000,False,,,0,,K. Irving STEAL (1 STL),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
