actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT11M10.00S,2023-01-07T00:11:57.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2023-01-07T00:11:59Z,150000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT11M09.00S,2023-01-07T00:11:59.3Z,1,REGULAR,turnover,lost ball,[],1630245,,,1610612741,0,0,2023-01-07T00:12:04Z,160000,False,,,0,,A. Dosunmu lost ball TURNOVER (1 TO),"[1630245, 201935]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,8-16 Right,,,,,,,,,1.0,Harden,201935.0,,,,,,,,,
17,PT11M09.00S,2023-01-07T00:11:59.3Z,1,REGULAR,steal,,[],201935,,,1610612755,0,0,2023-01-07T00:12:01Z,170000,False,,,0,,J. Harden STEAL (1 STL),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
18,PT11M04.00S,2023-01-07T00:12:03.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630178,22.2568988173456,6.372549019607845,1610612755,3,0,2023-01-07T00:12:08Z,180000,False,218.0,157.0,1,left,T. Maxey 26' 3PT running (3 PTS) (J. Harden 1 AST),"[1630178, 201935]",1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,26.86,Made,,,,,,,,,,3.0,J. Harden,201935.0,1.0,,,,,
20,PT10M42.00S,2023-01-07T00:12:25.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,82.57227332457293,48.28431372549019,1610612741,3,0,2023-01-07T00:12:30Z,200000,False,-9.0,111.0,1,right,MISS N. Vucevic 11' turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Center,11.16,Missed,,,,,,,,,,,,,,,,,,
21,PT10M40.00S,2023-01-07T00:12:27.1Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,3,0,2023-01-07T00:12:30Z,210000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M29.00S,2023-01-07T00:12:42.0Z,1,REGULAR,violation,kicked ball,[],1630172,,,1610612755,3,0,2023-01-07T00:12:47Z,220000,False,,,0,,P. Williams kicked ball VIOLATION,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,1627534.0,,,,
23,PT10M15.00S,2023-01-07T00:13:10.1Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612755,3,0,2023-01-07T00:13:15Z,230000,False,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 203897]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,,,,,,,,,1.0,LaVine,203897.0,,,,,,,,,
24,PT10M15.00S,2023-01-07T00:13:10.1Z,1,REGULAR,steal,,[],203897,,,1610612741,3,0,2023-01-07T00:13:13Z,240000,False,,,0,,Z. LaVine STEAL (1 STL),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT10M10.00S,2023-01-07T00:13:15.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630245,94.92444152431011,47.30392156862745,1610612741,3,2,2023-01-07T00:13:21Z,250000,False,-13.0,-5.0,1,right,A. Dosunmu running Layup (2 PTS) (Z. LaVine 1 AST),"[1630245, 203897]",1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,1.43,Made,,,,,,,,,,2.0,Z. LaVine,203897.0,1.0,,,,,
27,PT09M53.00S,2023-01-07T00:13:31.9Z,1,REGULAR,2pt,Jump Shot,[],202699,22.2568988173456,53.18627450980392,1610612755,5,2,2023-01-07T00:13:36Z,270000,False,-16.0,157.0,1,left,T. Harris 15' Jump Shot (2 PTS) (J. Harden 2 AST),"[202699, 201935]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Center,15.75,Made,,,,,,,,,,2.0,J. Harden,201935.0,2.0,,,,,
29,PT09M31.00S,2023-01-07T00:13:53.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,93.87319316688567,44.11764705882353,1610612741,5,4,2023-01-07T00:13:58Z,290000,False,-29.0,5.0,1,right,N. Vucevic turnaround Hook (2 PTS),[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,2.98,Made,,,,,,,,,,2.0,,,,,,,,
30,PT09M17.00S,2023-01-07T00:14:07.8Z,1,REGULAR,3pt,Jump Shot,[],202699,30.009855453350852,74.26470588235294,1610612755,5,4,2023-01-07T00:14:12Z,300000,False,-121.0,230.0,1,left,MISS T. Harris 25' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,25.97,Missed,,,,,,,,,,,,,,,,,,
31,PT09M14.00S,2023-01-07T00:14:10.8Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,5,4,2023-01-07T00:14:12Z,310000,False,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT09M07.00S,2023-01-07T00:14:18.0Z,1,REGULAR,turnover,bad pass,[],202696,,,1610612741,5,4,2023-01-07T00:14:24Z,320000,False,,,0,,N. Vucevic bad pass TURNOVER (1 TO),"[202696, 1630178]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Center,,,,,,,,,1.0,Maxey,1630178.0,,,,,,,,,
33,PT09M07.00S,2023-01-07T00:14:18.0Z,1,REGULAR,steal,,[],1630178,,,1610612755,5,4,2023-01-07T00:14:20Z,330000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
34,PT09M03.00S,2023-01-07T00:14:23.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202699,6.356767411300922,51.470588235294116,1610612755,7,4,2023-01-07T00:14:28Z,340000,False,-7.0,7.0,1,left,T. Harris running Layup (4 PTS),[202699],1610612755.0,PHI,running,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,1.04,Made,,,,,,,,,,4.0,,,,,,,,
35,PT08M46.00S,2023-01-07T00:14:38.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,92.29632063074901,55.14705882352941,1610612741,7,6,2023-01-07T00:14:42Z,350000,False,26.0,20.0,1,right,N. Vucevic Hook (4 PTS) (A. Dosunmu 1 AST),"[202696, 1630245]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,3.25,Made,,,,,,,,,,4.0,A. Dosunmu,1630245.0,1.0,,,,,
37,PT08M38.00S,2023-01-07T00:14:47.2Z,1,REGULAR,3pt,Jump Shot,[],1629001,18.446123521681997,3.1862745098039227,1610612755,7,6,2023-01-07T00:14:51Z,370000,False,234.0,121.0,1,left,MISS D. Melton 26' pullup 3PT,[1629001],1610612755.0,PHI,pullup,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,26.35,Missed,,,,,,,,,,,,,,,,,,
38,PT08M35.00S,2023-01-07T00:14:50.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,7,6,2023-01-07T00:14:51Z,380000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Right Center,,,37.0,2.0,2.0,0.0,,,,,,,,,,,,,,
39,PT08M25.00S,2023-01-07T00:14:59.6Z,1,REGULAR,2pt,Jump Shot,[],1630245,93.61038107752957,71.56862745098039,1610612741,7,6,2023-01-07T00:15:45Z,390000,False,108.0,8.0,1,right,MISS A. Dosunmu 10' pullup Shot,[1630245],1610612741.0,CHI,pullup,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,8-16 Right,10.81,Missed,,,,,,,,,,,,,,,,,,
40,PT08M23.00S,2023-01-07T00:15:01.6Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,7,6,2023-01-07T00:15:03Z,400000,False,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Right,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,,,
41,PT08M14.00S,2023-01-07T00:15:10.9Z,1,REGULAR,3pt,Jump Shot,[],1629001,21.20565045992116,5.882352941176478,1610612755,10,6,2023-01-07T00:15:14Z,410000,False,221.0,147.0,1,left,D. Melton 26' 3PT  (3 PTS) (T. Maxey 1 AST),"[1629001, 1630178]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,26.5,Made,,,,,,,,,,3.0,T. Maxey,1630178.0,1.0,,,,,
43,PT08M13.00S,2023-01-07T00:15:19.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,10,6,2023-01-07T00:15:19Z,430000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M01.00S,2023-01-07T00:18:21.6Z,1,REGULAR,2pt,Jump Shot,[],201942,73.11103810775296,47.79411764705882,1610612741,10,6,2023-01-07T00:18:26Z,440000,False,-11.0,200.0,1,right,MISS D. DeRozan 20' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,20.06,Missed,,,,,,,,,,,,,,,,,,
45,PT07M58.00S,2023-01-07T00:18:24.6Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,10,6,2023-01-07T00:18:26Z,450000,False,,,0,,T. Harris REBOUND (Off:0 Def:3),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,16-24 Center,,,44.0,3.0,3.0,0.0,,,,,,,,,,,,,,
46,PT07M54.00S,2023-01-07T00:18:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,10.036136662286467,65.68627450980392,1610612755,10,6,2023-01-07T00:18:56Z,460000,False,-78.0,42.0,1,left,MISS T. Harris 8' running Layup - blocked,"[202699, 201942]",1610612755.0,PHI,running,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Left,8.88,Missed,,,,,DeRozan,201942.0,,,,,,,,,,,,
47,PT07M54.00S,2023-01-07T00:18:31.3Z,1,REGULAR,block,,[],201942,,,1610612755,10,6,2023-01-07T00:18:34Z,470000,False,,,0,,D. DeRozan BLOCK (1 BLK),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
48,PT07M54.00S,2023-01-07T00:18:31.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,10,6,2023-01-07T00:18:36Z,480000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,46.0,,,,,,,,,,,,,,,,,
50,PT07M39.00S,2023-01-07T00:18:59.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201935,33.6892247043364,37.254901960784316,1610612755,10,6,2023-01-07T00:19:05Z,500000,False,64.0,264.0,1,left,MISS J. Harden 27' step back 3PT,[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,27.18,Missed,,,,,,,,,,,,,,,,,,
51,PT07M38.00S,2023-01-07T00:19:00.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,10,6,2023-01-07T00:19:05Z,510000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Center,,,50.0,,,,,,,,,,,,,,,,,
53,PT07M27.00S,2023-01-07T00:19:21.3Z,1,REGULAR,3pt,Jump Shot,[],203897,66.40932982917215,61.029411764705884,1610612741,10,9,2023-01-07T00:19:25Z,530000,False,55.0,263.0,1,right,Z. LaVine 26' 3PT pullup (3 PTS),[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Center,26.9,Made,,,,,,,,,,3.0,,,,,,,,
54,PT07M03.00S,2023-01-07T00:19:44.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,7.145203679369246,60.049019607843135,1610612755,10,9,2023-01-07T00:19:49Z,540000,False,-50.0,15.0,1,left,MISS T. Maxey driving finger roll Layup,[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,5.23,Missed,,,,,,,,,,,,,,,,,,
55,PT07M01.00S,2023-01-07T00:19:46.9Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,10,9,2023-01-07T00:19:49Z,550000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,54.0,3.0,3.0,0.0,,,,,,,,,,,,,,
56,PT06M48.00S,2023-01-07T00:20:00.6Z,1,REGULAR,2pt,Jump Shot,[],201942,81.7838370565046,32.59803921568627,1610612741,10,9,2023-01-07T00:20:04Z,560000,False,-87.0,119.0,1,right,MISS D. DeRozan 14' step back Shot,[201942],1610612741.0,CHI,step back,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,14.72,Missed,,,,,,,,,,,,,,,,,,
57,PT06M46.00S,2023-01-07T00:20:02.6Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,10,9,2023-01-07T00:20:04Z,570000,False,,,0,,J. Harden REBOUND (Off:2 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Mid-Range,8-16 Left,,,56.0,3.0,1.0,2.0,,,,,,,,,,,,,,
58,PT06M41.00S,2023-01-07T00:20:07.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,8.065045992115643,43.872549019607845,1610612755,10,9,2023-01-07T00:20:16Z,580000,False,31.0,23.0,1,left,MISS J. Harden driving Layup - blocked,"[201935, 203897]",1610612755.0,PHI,driving,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,3.85,Missed,,,,,LaVine,203897.0,,,,,,,,,,,,
62,PT06M41.00S,2023-01-07T00:20:07.7Z,1,REGULAR,block,,[],203897,,,1610612755,10,9,2023-01-07T00:20:33Z,585000,False,,,0,,Z. LaVine BLOCK (1 BLK),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT06M38.00S,2023-01-07T00:20:10.7Z,1,REGULAR,rebound,offensive,[],201935,,,1610612755,10,9,2023-01-07T00:20:33Z,590000,False,,,0,,J. Harden REBOUND (Off:3 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,,,58.0,4.0,1.0,3.0,,,,,,,,,,,,,,
60,PT06M29.00S,2023-01-07T00:20:20.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630178,22.2568988173456,91.42156862745098,1610612755,13,9,2023-01-07T00:20:33Z,600000,False,-207.0,157.0,1,left,T. Maxey 25' 3PT  (6 PTS) (D. Melton 1 AST),"[1630178, 1629001]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,25.97,Made,,,,,,,,,,6.0,D. Melton,1629001.0,1.0,,,,,
63,PT06M05.00S,2023-01-07T00:20:43.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,85.85742444152432,49.50980392156863,1610612741,13,9,2023-01-07T00:20:48Z,620000,False,-2.0,80.0,1,right,MISS N. Vucevic 8' turnaround Hook - blocked,"[202696, 202699]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Center,8.04,Missed,,,,,Harris,202699.0,,,,,,,,,,,,
64,PT06M05.00S,2023-01-07T00:20:43.3Z,1,REGULAR,block,,[],202699,,,1610612741,13,9,2023-01-07T00:22:05Z,630000,False,,,0,,T. Harris BLOCK (1 BLK),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
65,PT06M00.00S,2023-01-07T00:20:48.3Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,13,9,2023-01-07T00:20:48Z,640000,False,,,0,,N. Vucevic REBOUND (Off:1 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Center,,,63.0,4.0,3.0,1.0,,,,,,,,,,,,,,
66,PT06M00.00S,2023-01-07T00:20:48.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202696,86.64586070959264,49.26470588235294,1610612741,13,9,2023-01-07T00:22:51Z,650000,False,-4.0,73.0,1,right,MISS N. Vucevic 7' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,7.31,Missed,,,,,,,,,,,,,,,,,,
67,PT05M55.00S,2023-01-07T00:20:53.6Z,1,REGULAR,rebound,defensive,[],200782,,,1610612755,13,9,2023-01-07T00:22:51Z,660000,False,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,,
68,PT05M50.00S,2023-01-07T00:20:58.7Z,1,REGULAR,2pt,Jump Shot,[],1630178,20.68002628120894,42.892156862745104,1610612755,13,9,2023-01-07T00:21:04Z,670000,False,36.0,142.0,1,left,MISS T. Maxey 14' pullup Shot,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Center,14.63,Missed,,,,,,,,,,,,,,,,,,
69,PT05M47.00S,2023-01-07T00:21:01.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,13,9,2023-01-07T00:21:04Z,680000,False,,,0,,N. Vucevic REBOUND (Off:1 Def:4),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Center,,,68.0,5.0,4.0,1.0,,,,,,,,,,,,,,
70,PT05M43.00S,2023-01-07T00:21:05.5Z,1,REGULAR,turnover,lost ball,[],1630172,,,1610612741,13,9,2023-01-07T00:21:10Z,690000,False,,,0,,P. Williams lost ball TURNOVER (1 TO),"[1630172, 200782]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,16-24 Right Center,,,,,,,,,1.0,Tucker,200782.0,,,,,,,,,
71,PT05M43.00S,2023-01-07T00:21:05.5Z,1,REGULAR,steal,,[],200782,,,1610612755,13,9,2023-01-07T00:30:00Z,700000,False,,,0,,P. Tucker STEAL (1 STL),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
72,PT05M38.00S,2023-01-07T00:21:10.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630178,7.539421813403408,50.98039215686275,1610612755,15,9,2023-01-07T00:21:18Z,710000,False,-5.0,18.0,1,left,T. Maxey running Layup (8 PTS),[1630178],1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,1.9,Made,,,,,,,,,,8.0,,,,,,,,
73,PT05M25.00S,2023-01-07T00:21:23.0Z,1,REGULAR,3pt,Jump Shot,[],1630172,71.00854139290408,19.117647058823522,1610612741,15,9,2023-01-07T00:21:26Z,720000,False,-154.0,220.0,1,right,MISS P. Williams 26' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,26.88,Missed,,,,,,,,,,,,,,,,,,
74,PT05M22.00S,2023-01-07T00:21:26.0Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,15,9,2023-01-07T00:21:26Z,730000,False,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Left Center,,,73.0,1.0,1.0,0.0,,,,,,,,,,,,,,
75,PT05M04.00S,2023-01-07T00:21:47.4Z,1,REGULAR,foul,personal,['2freethrow'],203897,,,1610612755,15,9,2023-01-07T00:22:11Z,740000,False,,,0,,Z. LaVine shooting personal FOUL (1 PF) (Harden 2 FT),"[203897, 201935]",1610612741.0,CHI,shooting,,,LaVine,Z. LaVine,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1662.0,1.0,0.0,Harden,201935.0
77,PT05M04.00S,2023-01-07T00:22:15.3Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612755,15,9,2023-01-07T00:22:56Z,760000,False,,,0,,MISS J. Harden Free Throw 1 of 2,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
78,PT05M04.00S,2023-01-07T00:22:15.3Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612755,15,9,2023-01-07T00:22:56Z,770000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,
79,PT05M04.00S,2023-01-07T00:22:18.7Z,1,REGULAR,substitution,out,[],201942,,,1610612755,15,9,2023-01-07T00:22:23Z,780000,False,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M04.00S,2023-01-07T00:22:18.7Z,1,REGULAR,substitution,out,[],1630172,,,1610612755,15,9,2023-01-07T00:22:23Z,790000,False,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
