actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
16,PT10M12.00S,2023-01-03T00:12:41.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,16.080814717476997,63.72549019607843,1610612755,7,4,2023-01-03T00:12:47Z,160000,False,-69.0,99.0,1,left,J. Embiid 12' pullup Jump Shot (7 PTS),[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Left,12.02,Made,7.0,,,,,,,,,,,,,,,,,
17,PT09M46.00S,2023-01-03T00:13:07.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630530,82.83508541392904,44.85294117647059,1610612740,7,4,2023-01-03T00:13:11Z,170000,False,-26.0,109.0,1,right,MISS T. Murphy III 11' driving floating Shot,[1630530],1610612740.0,NOP,driving floating,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Center,11.19,Missed,,,,,,,,,,,,,,,,,,
18,PT09M44.00S,2023-01-03T00:13:09.9Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,7,4,2023-01-03T00:13:11Z,180000,False,,,0,,J. Embiid REBOUND (Off:1 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,,,,17.0,2.0,1.0,1.0,,,,,,,,,,,
19,PT09M41.00S,2023-01-03T00:13:19.0Z,1,REGULAR,foul,offensive,[],201935,,,1610612755,7,4,2023-01-03T00:13:27Z,190000,False,,,0,,J. Harden offensive FOUL (1 PF),"[201935, 1630529]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,2882.0,1.0,0.0,Jones,1630529.0,,
21,PT09M41.00S,2023-01-03T00:13:19.0Z,1,REGULAR,turnover,offensive foul,[],201935,,,1610612755,7,4,2023-01-03T00:13:19Z,210000,False,,,0,,J. Harden offensive foul TURNOVER (1 TO),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1.0,,,,2882.0,,,,,,
22,PT09M28.00S,2023-01-03T00:13:43.1Z,1,REGULAR,turnover,bad pass,[],1629627,,,1610612740,7,4,2023-01-03T00:13:53Z,220000,False,,,0,,Z. Williamson bad pass TURNOVER (2 TO),"[1629627, 203954]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,2.0,,,,,,,,,Embiid,203954.0
23,PT09M28.00S,2023-01-03T00:13:43.1Z,1,REGULAR,steal,,[],203954,,,1610612755,7,4,2023-01-03T00:13:45Z,230000,False,,,0,,J. Embiid STEAL (1 STL),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT09M23.00S,2023-01-03T00:13:47.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629001,22.651116951379763,8.333333333333343,1610612755,10,4,2023-01-03T00:13:59Z,240000,False,208.0,160.0,1,left,D. Melton 26' 3PT running (3 PTS) (J. Embiid 1 AST),"[1629001, 203954]",1610612755.0,PHI,running,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,26.29,Made,3.0,,,,,,,,J. Embiid,203954.0,1.0,,,,,,,
26,PT09M22.00S,2023-01-03T00:13:56.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,10,4,2023-01-03T00:13:56Z,260000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M00.00S,2023-01-03T00:17:04.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630529,90.06241787122208,44.607843137254896,1610612740,10,6,2023-01-03T00:17:10Z,270000,False,-27.0,41.0,1,right,H. Jones driving floating Jump Shot (4 PTS),[1630529],1610612740.0,NOP,driving floating,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,4.9,Made,4.0,,,,,,,,,,,,,,,,,
29,PT08M41.00S,2023-01-03T00:17:23.9Z,1,REGULAR,2pt,Jump Shot,[],202699,18.84034165571616,65.93137254901961,1610612755,12,6,2023-01-03T00:18:29Z,290000,False,-80.0,125.0,1,left,T. Harris 14' step back Jump Shot (2 PTS),[202699],1610612755.0,PHI,step back,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,14.79,Made,2.0,,,,,,,,,,,,,,,,,
30,PT08M25.00S,2023-01-03T00:17:38.7Z,1,REGULAR,3pt,Jump Shot,[],202685,71.92838370565046,16.666666666666657,1610612740,12,9,2023-01-03T00:17:42Z,300000,False,-167.0,211.0,1,right,J. Valanciunas 26' 3PT  (3 PTS) (C. McCollum 1 AST),"[202685, 203468]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,26.92,Made,3.0,,,,,,,,C. McCollum,203468.0,1.0,,,,,,,
32,PT08M03.00S,2023-01-03T00:18:01.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,8.459264126149804,53.92156862745098,1610612755,12,9,2023-01-03T00:18:06Z,320000,False,-20.0,27.0,1,left,MISS J. Harden driving Layup,[201935],1610612755.0,PHI,driving,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,3.34,Missed,,,,,,,,,,,,,,,,,,
33,PT08M01.00S,2023-01-03T00:18:03.4Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,12,9,2023-01-03T00:18:06Z,330000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,
34,PT07M56.00S,2023-01-03T00:18:08.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203468,72.32260183968462,15.931372549019613,1610612740,12,12,2023-01-03T00:18:17Z,340000,False,-170.0,208.0,1,right,C. McCollum 26' 3PT running (3 PTS) (Z. Williamson 1 AST),"[203468, 1629627]",1610612740.0,NOP,running,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,26.86,Made,3.0,,,,,,,,Z. Williamson,1629627.0,1.0,,,,,,,
36,PT07M44.00S,2023-01-03T00:18:21.4Z,1,REGULAR,turnover,lost ball,[],203954,,,1610612755,12,12,2023-01-03T00:18:31Z,360000,False,,,0,,J. Embiid lost ball TURNOVER (1 TO),"[203954, 1630529]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Left,,,,,,,,,,1.0,,,,,,,,,Jones,1630529.0
37,PT07M44.00S,2023-01-03T00:18:21.4Z,1,REGULAR,steal,,[],1630529,,,1610612740,12,12,2023-01-03T00:18:23Z,370000,False,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
38,PT07M44.00S,2023-01-03T00:18:24.8Z,1,REGULAR,foul,personal,[],203954,,,1610612740,12,12,2023-01-03T00:18:36Z,380000,False,,,0,,J. Embiid personal FOUL (1 PF),"[203954, 1630529]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,1627519.0,1.0,0.0,Jones,1630529.0,,
40,PT07M24.00S,2023-01-03T00:19:06.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630529,88.48554533508542,55.3921568627451,1610612740,12,12,2023-01-03T00:19:10Z,400000,False,27.0,56.0,1,right,MISS H. Jones 6' driving floating Shot,[1630529],1610612740.0,NOP,driving floating,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,6.19,Missed,,,,,,,,,,,,,,,,,,
41,PT07M22.00S,2023-01-03T00:19:08.7Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,12,12,2023-01-03T00:19:10Z,410000,False,,,0,,J. Embiid REBOUND (Off:1 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,40.0,3.0,2.0,1.0,,,,,,,,,,,
42,PT07M18.00S,2023-01-03T00:19:15.2Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612755,12,12,2023-01-03T00:19:29Z,420000,False,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Embiid 2 FT),"[202685, 203954]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1627519.0,1.0,0.0,Embiid,203954.0,,
44,PT07M18.00S,2023-01-03T00:19:43.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],203954,,,1610612755,13,12,2023-01-03T00:19:43Z,440000,False,,,0,,J. Embiid Free Throw 1 of 2 (8 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
45,PT07M18.00S,2023-01-03T00:20:00.9Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],203954,,,1610612755,14,12,2023-01-03T00:20:00Z,450000,False,,,0,,J. Embiid Free Throw 2 of 2 (9 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
46,PT07M10.00S,2023-01-03T00:20:09.5Z,1,REGULAR,foul,personal,['2freethrow'],200782,,,1610612740,14,12,2023-01-03T00:20:28Z,460000,False,,,0,,P. Tucker shooting personal FOUL (1 PF) (McCollum 2 FT),"[200782, 203468]",1610612755.0,PHI,shooting,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1627519.0,1.0,0.0,McCollum,203468.0,,
48,PT07M10.00S,2023-01-03T00:20:36.8Z,1,REGULAR,freethrow,1 of 2,[],203468,,,1610612740,14,13,2023-01-03T00:20:59Z,480000,False,,,0,,C. McCollum Free Throw 1 of 2 (4 PTS),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
49,PT07M10.00S,2023-01-03T00:20:39.6Z,1,REGULAR,substitution,out,[],1629627,,,1610612740,14,13,2023-01-03T00:20:43Z,490000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M10.00S,2023-01-03T00:20:39.6Z,1,REGULAR,substitution,in,[],1629637,,,1610612740,14,13,2023-01-03T00:20:43Z,500000,False,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M10.00S,2023-01-03T00:20:36.8Z,1,REGULAR,freethrow,2 of 2,[],203468,,,1610612740,14,13,2023-01-03T00:20:59Z,510000,False,,,0,,MISS C. McCollum Free Throw 2 of 2,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
52,PT07M08.00S,2023-01-03T00:20:38.8Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,14,13,2023-01-03T00:20:59Z,520000,False,,,0,,J. Embiid REBOUND (Off:1 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,51.0,4.0,3.0,1.0,,,,,,,,,,,
53,PT06M51.00S,2023-01-03T00:21:15.3Z,1,REGULAR,turnover,bad pass,[],203954,,,1610612755,14,13,2023-01-03T00:21:18Z,530000,False,,,0,,J. Embiid bad pass TURNOVER (2 TO),"[203954, 203468]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Center,,,,,,,,,,2.0,,,,,,,,,McCollum,203468.0
54,PT06M51.00S,2023-01-03T00:21:15.3Z,1,REGULAR,steal,,[],203468,,,1610612740,14,13,2023-01-03T00:21:17Z,540000,False,,,0,,C. McCollum STEAL (1 STL),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
55,PT06M48.00S,2023-01-03T00:21:18.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629637,94.87516425755585,49.4064031862745,1610612740,14,15,2023-01-03T00:21:28Z,550000,False,-3.0,-4.0,1,right,J. Hayes running DUNK (2 PTS) (C. McCollum 2 AST),"[1629637, 203468]",1610612740.0,NOP,running,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,0.52,Made,2.0,,,,,,,,C. McCollum,203468.0,2.0,,,,,,,
57,PT06M27.00S,2023-01-03T00:21:40.1Z,1,REGULAR,foul,personal,['2freethrow'],1629637,,,1610612755,14,15,2023-01-03T00:21:47Z,570000,False,,,0,,J. Hayes shooting personal FOUL (1 PF) (Embiid 2 FT),"[1629637, 203954]",1610612740.0,NOP,shooting,,,Hayes,J. Hayes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,2882.0,1.0,0.0,Embiid,203954.0,,
59,PT06M27.00S,2023-01-03T00:22:16.4Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,15,15,2023-01-03T00:22:16Z,590000,False,,,0,,J. Embiid Free Throw 1 of 2 (10 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
60,PT06M27.00S,2023-01-03T00:22:26.8Z,1,REGULAR,substitution,out,[],200782,,,1610612755,15,15,2023-01-03T00:22:37Z,600000,False,,,0,,SUB out: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M27.00S,2023-01-03T00:22:26.8Z,1,REGULAR,substitution,in,[],1630178,,,1610612755,15,15,2023-01-03T00:22:37Z,610000,False,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M27.00S,2023-01-03T00:22:50.9Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,16,15,2023-01-03T00:22:50Z,620000,False,,,0,,J. Embiid Free Throw 2 of 2 (11 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
63,PT06M14.00S,2023-01-03T00:23:08.6Z,1,REGULAR,turnover,out-of-bounds,[],1630529,,,1610612740,16,15,2023-01-03T00:23:15Z,630000,False,,,0,,H. Jones step out-of-bounds TURNOVER (1 TO),[1630529],1610612740.0,NOP,step,,,Jones,H. Jones,,,,,Left Corner 3,24+ Left,,,,,,,,,,1.0,,,,1627519.0,,,,,,
64,PT06M14.00S,2023-01-03T00:23:12.9Z,1,REGULAR,substitution,out,[],1630530,,,1610612755,16,15,2023-01-03T00:23:17Z,640000,False,,,0,,SUB out: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M14.00S,2023-01-03T00:23:12.9Z,1,REGULAR,substitution,in,[],1630230,,,1610612755,16,15,2023-01-03T00:23:17Z,650000,False,,,0,,SUB in: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M00.00S,2023-01-03T00:23:38.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201935,7.408015768725363,39.4607843137255,1610612755,16,15,2023-01-03T00:23:44Z,660000,False,53.0,17.0,1,left,MISS J. Harden driving floating Shot - blocked,"[201935, 202685]",1610612755.0,PHI,driving floating,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,5.54,Missed,,Valanciunas,202685.0,,,,,,,,,,,,,,,
67,PT06M00.00S,2023-01-03T00:23:38.9Z,1,REGULAR,block,,[],202685,,,1610612755,16,15,2023-01-03T00:23:41Z,670000,False,,,0,,J. Valanciunas BLOCK (2 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
68,PT06M00.00S,2023-01-03T00:23:38.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,16,15,2023-01-03T00:23:44Z,680000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,66.0,,,,,,,,,,,,,,
70,PT05M58.00S,2023-01-03T00:23:56.8Z,1,REGULAR,foul,personal,[],202685,,,1610612755,16,15,2023-01-03T00:24:03Z,700000,False,,,0,,J. Valanciunas personal FOUL (2 PF),"[202685, 203954]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1627519.0,2.0,0.0,Embiid,203954.0,,
72,PT05M58.00S,2023-01-03T00:24:06.6Z,1,REGULAR,substitution,out,[],202685,,,1610612755,16,15,2023-01-03T00:24:18Z,720000,False,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M58.00S,2023-01-03T00:24:06.6Z,1,REGULAR,substitution,in,[],1626195,,,1610612755,16,15,2023-01-03T00:24:18Z,730000,False,,,0,,SUB in: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M47.00S,2023-01-03T00:24:33.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203954,6.225361366622863,52.450980392156865,1610612755,18,15,2023-01-03T00:25:07Z,740000,False,-12.0,6.0,1,left,J. Embiid cutting Layup (13 PTS) (J. Harden 1 AST),"[203954, 201935]",1610612755.0,PHI,cutting,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,1.37,Made,13.0,,,,,,,,J. Harden,201935.0,1.0,,,,,,,
76,PT05M33.00S,2023-01-03T00:24:49.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629637,90.8508541392904,46.568627450980394,1610612740,18,15,2023-01-03T00:24:53Z,760000,False,-17.0,34.0,1,right,MISS J. Hayes Layup - blocked,"[1629637, 1629001]",1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,3.77,Missed,,Melton,1629001.0,,,,,,,,,,,,,,,
77,PT05M33.00S,2023-01-03T00:24:49.2Z,1,REGULAR,block,,[],1629001,,,1610612740,18,15,2023-01-03T00:24:52Z,770000,False,,,0,,D. Melton BLOCK (1 BLK),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
78,PT05M33.00S,2023-01-03T00:24:49.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,18,15,2023-01-03T00:24:53Z,780000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Restricted Area,0-8 Center,,,,,,76.0,,,,,,,,,,,,,,
79,PT05M30.00S,2023-01-03T00:25:03.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203468,93.2161629434954,1.7156862745098067,1610612740,18,18,2023-01-03T00:25:08Z,790000,False,-241.0,11.0,1,right,C. McCollum 24' 3PT  (7 PTS) (H. Jones 1 AST),"[203468, 1630529]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Left Corner 3,24+ Left,24.17,Made,7.0,,,,,,,,H. Jones,1630529.0,1.0,,,,,,,
81,PT05M08.00S,2023-01-03T00:25:25.6Z,1,REGULAR,3pt,Jump Shot,[],1630178,3.860052562417877,96.32352941176471,1610612755,18,18,2023-01-03T00:25:31Z,810000,False,-232.0,-16.0,1,left,MISS T. Maxey 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Left Corner 3,24+ Left,23.22,Missed,,,,,,,,,,,,,,,,,,
82,PT05M05.00S,2023-01-03T00:25:28.6Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612740,18,18,2023-01-03T00:25:31Z,820000,False,,,0,,J. Hayes REBOUND (Off:0 Def:1),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,Left Corner 3,24+ Left,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,,,
83,PT04M52.00S,2023-01-03T00:25:42.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629637,94.00459921156373,50.73529411764706,1610612740,18,18,2023-01-03T00:25:46Z,830000,False,4.0,4.0,1,right,MISS J. Hayes driving Layup,[1629637],1610612740.0,NOP,driving,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,0.54,Missed,,,,,,,,,,,,,,,,,,
84,PT04M48.00S,2023-01-03T00:25:45.9Z,1,REGULAR,rebound,offensive,[],1626195,,,1610612740,18,18,2023-01-03T00:25:45Z,840000,False,,,0,,W. Hernangomez REBOUND (Off:1 Def:0),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,Restricted Area,0-8 Center,,,,,,83.0,1.0,0.0,1.0,,,,,,,,,,,
85,PT04M48.00S,2023-01-03T00:25:45.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626195,94.40999984741211,50.0,1610612740,18,18,2023-01-03T00:28:13Z,850000,False,0.0,0.0,1,right,MISS W. Hernangomez tip Layup,[1626195],1610612740.0,NOP,tip,,,Hernangomez,W. Hernangomez,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
86,PT04M48.00S,2023-01-03T00:25:45.9Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,18,18,2023-01-03T00:25:53Z,860000,False,,,0,,J. Embiid REBOUND (Off:1 Def:4),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,85.0,5.0,4.0,1.0,,,,,,,,,,,
