actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
34,PT09M34.00S,2022-11-04T23:14:37.0Z,1,REGULAR,2pt,Jump Shot,[],203944,76.5604467805519,24.754901960784316,1610612752,4,2,2022-11-04T23:14:44Z,340000,-126.0,168.0,1,right,J. Randle 21' Jump Shot (2 PTS) (Q. Grimes 1 AST),"[203944, 1629656]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,16-24 Left Center,,,,,,,,,21.0,Made,,,,,2.0,Q. Grimes,1629656.0,1.0,,
36,PT09M21.00S,2022-11-04T23:14:50.2Z,1,REGULAR,3pt,Jump Shot,[],1630178,29.122864651773984,78.43137254901961,1610612755,7,2,2022-11-04T23:14:55Z,360000,-142.0,221.0,1,left,T. Maxey 26' 3PT  (3 PTS) (D. Melton 2 AST),"[1630178, 1629001]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,26.3,Made,,,,,3.0,D. Melton,1629001.0,2.0,,
38,PT09M08.00S,2022-11-04T23:15:03.4Z,1,REGULAR,turnover,lost ball,[],1628973,,,1610612752,7,2,2022-11-04T23:15:09Z,380000,,,0,,J. Brunson lost ball TURNOVER (1 TO),"[1628973, 1630178]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,1.0,Maxey,1630178.0,,,,,,,,,,,,,,,,,
39,PT09M08.00S,2022-11-04T23:15:03.4Z,1,REGULAR,steal,,[],1630178,,,1610612755,7,2,2022-11-04T23:15:05Z,390000,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
40,PT09M05.00S,2022-11-04T23:15:08.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630178,6.783837056504599,55.63725490196079,1610612755,7,2,2022-11-04T23:21:30Z,400000,-28.0,11.0,1,left,MISS T. Maxey running Layup - blocked,"[1630178, 1629656]",1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,,,,,3.04,Missed,,,,,,,,,Grimes,1629656.0
41,PT09M05.00S,2022-11-04T23:15:08.2Z,1,REGULAR,block,,[],1629656,,,1610612755,7,2,2022-11-04T23:15:11Z,410000,,,0,,Q. Grimes BLOCK (1 BLK),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT09M05.00S,2022-11-04T23:15:08.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,7,2,2022-11-04T23:15:14Z,420000,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,40.0,,,,,,,,,
44,PT08M57.00S,2022-11-04T23:15:22.6Z,1,REGULAR,3pt,Jump Shot,[],203944,76.03482260183968,11.519607843137255,1610612752,7,2,2022-11-04T23:15:28Z,440000,-192.0,173.0,1,right,MISS J. Randle 25' pullup 3PT,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,,,,,,,25.86,Missed,,,,,,,,,,
45,PT08M52.00S,2022-11-04T23:15:26.4Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,7,2,2022-11-04T23:15:26Z,450000,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,44.0,1.0,0.0,1.0,,,,,,
46,PT08M50.00S,2022-11-04T23:15:32.5Z,1,REGULAR,foul,personal,[],1629001,,,1610612752,7,2,2022-11-04T23:15:41Z,460000,,,0,,D. Melton personal FOUL (2 PF),"[1629001, 1629628]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,Mid-Range,16-24 Right Center,,,,203054.0,2.0,0.0,Barrett,1629628.0,,,,,,,,,,,,
48,PT08M40.00S,2022-11-04T23:16:00.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629656,91.80354796320631,4.411764705882353,1610612752,7,2,2022-11-04T23:16:05Z,480000,-228.0,25.0,1,right,MISS Q. Grimes 3PT,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Left Corner 3,24+ Left,,,,,,,,,22.92,Missed,,,,,,,,,,
49,PT08M37.00S,2022-11-04T23:16:03.8Z,1,REGULAR,rebound,defensive,[],1626149,,,1610612755,7,2,2022-11-04T23:16:05Z,490000,,,0,,M. Harrell REBOUND (Off:0 Def:1),[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,Left Corner 3,24+ Left,,,,,,,,,,,48.0,1.0,1.0,0.0,,,,,,
50,PT08M27.00S,2022-11-04T23:16:16.5Z,1,REGULAR,2pt,Jump Shot,[],1630178,8.623521681997373,33.33333333333333,1610612755,7,2,2022-11-04T23:29:29Z,500000,83.0,29.0,1,left,MISS T. Maxey 8' driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Right,,,,,,,,,8.81,Missed,,,,,,,,,,
51,PT08M26.00S,2022-11-04T23:16:17.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,7,2,2022-11-04T23:29:29Z,510000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,8-16 Right,,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,
126,PT08M24.00S,2022-11-04T23:16:20.7Z,1,REGULAR,turnover,lost ball,[],203944,,,1610612752,7,2,2022-11-04T23:30:28Z,535000,,,0,,J. Randle lost ball TURNOVER (2 TO),"[203944, 1626149]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,2.0,Harrell,1626149.0,,,,,,,,,,,,,,,,,
127,PT08M24.00S,2022-11-04T23:16:20.7Z,1,REGULAR,steal,,[],1626149,,,1610612755,7,2,2022-11-04T23:29:06Z,537500,,,0,,M. Harrell STEAL (1 STL),[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
52,PT08M21.00S,2022-11-04T23:16:21.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1626149,5.732588699080158,49.754901960784316,1610612755,9,2,2022-11-04T23:29:47Z,538750,1.0,1.0,1,left,M. Harrell DUNK (2 PTS) (P. Tucker 1 AST),"[1626149, 200782]",1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,Restricted Area,0-8 Center,,,,,,,,,0.18,Made,,,,,2.0,P. Tucker,200782.0,1.0,,
54,PT07M58.00S,2022-11-04T23:16:43.5Z,1,REGULAR,3pt,Jump Shot,[],1629628,76.03482260183968,87.74509803921569,1610612752,9,5,2022-11-04T23:16:47Z,540000,189.0,173.0,1,right,R. Barrett 25' 3PT  (3 PTS) (J. Randle 1 AST),"[1629628, 203944]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,,,,,,,,,25.59,Made,,,,,3.0,J. Randle,203944.0,1.0,,
56,PT07M52.00S,2022-11-04T23:16:56.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,9,5,2022-11-04T23:16:57Z,560000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M52.00S,2022-11-04T23:19:30.8Z,1,REGULAR,substitution,out,[],1629001,,,1610612755,9,5,2022-11-04T23:19:38Z,570000,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M52.00S,2022-11-04T23:19:30.8Z,1,REGULAR,substitution,in,[],1629003,,,1610612755,9,5,2022-11-04T23:19:38Z,580000,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M45.00S,2022-11-04T23:19:54.2Z,1,REGULAR,foul,personal,['2freethrow'],1629656,,,1610612755,9,5,2022-11-04T23:20:00Z,590000,,,0,,Q. Grimes shooting personal FOUL (2 PF) (Maxey 2 FT),"[1629656, 1630178]",1610612752.0,NYK,shooting,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),0-8 Center,,,,203593.0,2.0,0.0,Maxey,1630178.0,,,,,,,,,,,,
61,PT07M45.00S,2022-11-04T23:20:18.7Z,1,REGULAR,freethrow,1 of 2,[],1630178,,,1610612755,10,5,2022-11-04T23:20:18Z,610000,,,0,,T. Maxey Free Throw 1 of 2 (4 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,Made,,,,,4.0,,,,,
62,PT07M45.00S,2022-11-04T23:20:34.1Z,1,REGULAR,freethrow,2 of 2,[],1630178,,,1610612755,11,5,2022-11-04T23:20:34Z,620000,,,0,,T. Maxey Free Throw 2 of 2 (5 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,Made,,,,,5.0,,,,,
63,PT07M29.00S,2022-11-04T23:20:50.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,86.94152431011827,46.568627450980394,1610612752,11,5,2022-11-04T23:20:57Z,630000,-17.0,70.0,1,right,MISS J. Randle 7' Jump Shot - blocked,"[203944, 200782]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,7.23,Missed,,,,,,,,,Tucker,200782.0
64,PT07M29.00S,2022-11-04T23:20:50.7Z,1,REGULAR,block,,[],200782,,,1610612752,11,5,2022-11-04T23:20:53Z,640000,,,0,,P. Tucker BLOCK (1 BLK),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
65,PT07M25.00S,2022-11-04T23:20:54.7Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,11,5,2022-11-04T23:20:57Z,650000,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,63.0,2.0,2.0,0.0,,,,,,
66,PT07M22.00S,2022-11-04T23:20:57.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1630178,5.863994743758213,36.029411764705884,1610612755,13,5,2022-11-04T23:21:02Z,660000,70.0,3.0,1,left,T. Maxey 6' driving floating Jump Shot (7 PTS) (T. Harris 1 AST),"[1630178, 202699]",1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,6.99,Made,,,,,7.0,T. Harris,202699.0,1.0,,
68,PT07M10.00S,2022-11-04T23:21:12.4Z,1,REGULAR,foul,personal,[],1629003,,,1610612752,13,5,2022-11-04T23:21:18Z,680000,,,0,,S. Milton personal FOUL (1 PF),"[1629003, 1629011]",1610612755.0,PHI,,,,Milton,S. Milton,,,,,Restricted Area,0-8 Center,,,,203054.0,1.0,0.0,Robinson,1629011.0,,,,,,,,,,,,
70,PT07M10.00S,2022-11-04T23:21:26.2Z,1,REGULAR,substitution,out,[],1629656,,,1610612752,13,5,2022-11-04T23:21:31Z,700000,,,0,,SUB out: Q. Grimes,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M10.00S,2022-11-04T23:21:26.2Z,1,REGULAR,substitution,in,[],1630193,,,1610612752,13,5,2022-11-04T23:21:31Z,710000,,,0,,SUB in: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M58.00S,2022-11-04T23:21:56.5Z,1,REGULAR,2pt,Jump Shot,[],203944,78.66294349540078,54.166666666666664,1610612752,13,7,2022-11-04T23:24:01Z,720000,21.0,148.0,1,right,J. Randle 14' pullup Jump Shot (4 PTS),[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,Mid-Range,8-16 Center,,,,,,,,,14.96,Made,,,,,4.0,,,,,
74,PT06M58.00S,2022-11-04T23:22:00.7Z,1,REGULAR,foul,personal,['1freethrow'],200782,,,1610612752,13,7,2022-11-04T23:22:10Z,740000,,,0,,P. Tucker shooting personal FOUL (1 PF) (Randle 1 FT),"[200782, 203944]",1610612755.0,PHI,shooting,,,Tucker,P. Tucker,,,,,Mid-Range,8-16 Center,,,,203593.0,1.0,0.0,Randle,203944.0,,,,,,,,,,,,
76,PT06M58.00S,2022-11-04T23:22:26.2Z,1,REGULAR,freethrow,1 of 1,[],203944,,,1610612752,13,7,2022-11-04T23:22:26Z,760000,,,0,,MISS J. Randle Free Throw 1 of 1,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,Missed,,,,,,,,,,
77,PT06M56.00S,2022-11-04T23:22:27.2Z,1,REGULAR,rebound,defensive,[],1626149,,,1610612755,13,7,2022-11-04T23:22:27Z,770000,,,0,,M. Harrell REBOUND (Off:0 Def:2),[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,76.0,2.0,2.0,0.0,,,,,,
78,PT06M37.00S,2022-11-04T23:22:45.5Z,1,REGULAR,3pt,Jump Shot,[],1630178,25.04927726675427,89.70588235294117,1610612755,13,7,2022-11-04T23:22:50Z,780000,-199.0,183.0,1,left,MISS T. Maxey 27' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,27.0,Missed,,,,,,,,,,
79,PT06M35.00S,2022-11-04T23:22:47.5Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,13,7,2022-11-04T23:22:50Z,790000,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,78.0,1.0,1.0,0.0,,,,,,
80,PT06M25.00S,2022-11-04T23:22:57.9Z,1,REGULAR,3pt,Jump Shot,[],1628973,89.30683311432325,98.0392156862745,1610612752,13,7,2022-11-04T23:23:04Z,800000,240.0,48.0,1,right,MISS J. Brunson 24' 3PT,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Right Corner 3,24+ Right,,,,,,,,,24.49,Missed,,,,,,,,,,
81,PT06M21.00S,2022-11-04T23:23:01.9Z,1,REGULAR,rebound,defensive,[],1626149,,,1610612755,13,7,2022-11-04T23:23:04Z,810000,,,0,,M. Harrell REBOUND (Off:0 Def:3),[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,Right Corner 3,24+ Right,,,,,,,,,,,80.0,3.0,3.0,0.0,,,,,,
82,PT06M15.00S,2022-11-04T23:23:08.5Z,1,REGULAR,3pt,Jump Shot,[],202699,13.091327201051248,3.6764705882352944,1610612755,13,7,2022-11-04T23:23:12Z,820000,232.0,71.0,1,left,MISS T. Harris 24' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Right Corner 3,24+ Right,,,,,,,,,24.21,Missed,,,,,,,,,,
83,PT06M12.00S,2022-11-04T23:23:11.5Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,13,7,2022-11-04T23:23:12Z,830000,,,0,,R. Barrett REBOUND (Off:0 Def:3),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,,,,,,,,,,,82.0,3.0,3.0,0.0,,,,,,
84,PT05M59.00S,2022-11-04T23:23:28.1Z,1,REGULAR,foul,offensive,[],203944,,,1610612752,13,7,2022-11-04T23:23:35Z,840000,,,0,,J. Randle offensive FOUL (1 PF),"[203944, 1626149]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,203054.0,1.0,0.0,Harrell,1626149.0,,,,,,,,,,,,
86,PT05M59.00S,2022-11-04T23:23:28.1Z,1,REGULAR,turnover,offensive foul,[],203944,,,1610612752,13,7,2022-11-04T23:23:28Z,860000,,,0,,J. Randle offensive foul TURNOVER (3 TO),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,3.0,,,203054.0,,,,,,,,,,,,,,,,
87,PT05M59.00S,2022-11-04T23:23:47.7Z,1,REGULAR,substitution,out,[],1629011,,,1610612755,13,7,2022-11-04T23:23:54Z,870000,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M59.00S,2022-11-04T23:23:47.7Z,1,REGULAR,substitution,in,[],1628392,,,1610612755,13,7,2022-11-04T23:23:54Z,880000,,,0,,SUB in: I. Hartenstein,[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M47.00S,2022-11-04T23:24:12.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629003,28.86005256241787,20.833333333333336,1610612755,13,7,2022-11-04T23:24:16Z,890000,146.0,219.0,1,left,MISS S. Milton 26' 3PT,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,Above the Break 3,24+ Right Center,,,,,,,,,26.29,Missed,,,,,,,,,,
90,PT05M45.00S,2022-11-04T23:24:14.4Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612752,13,7,2022-11-04T23:24:16Z,900000,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,89.0,1.0,1.0,0.0,,,,,,
