actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
18,PT10M37.00S,2022-10-22T22:13:51.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630178,6.1268068331143235,44.85294117647059,1610612755,0,0,2022-10-22T22:17:54Z,180000,26.0,5.0,1,left,MISS T. Maxey driving Layup,[1630178],1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,2.62,Missed,,,,,,,,,,,,,,,,,,
20,PT10M33.00S,2022-10-22T22:13:55.3Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,0,0,2022-10-22T22:14:15Z,200000,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M11.00S,2022-10-22T22:14:16.8Z,1,REGULAR,2pt,Jump Shot,[],1629640,77.79237844940867,48.06219362745098,1610612759,0,0,2022-10-22T22:14:41Z,210000,-10.0,156.0,1,right,MISS K. Johnson 15' driving floating Shot,[1629640],1610612759.0,SAS,driving floating,,,Johnson,K. Johnson,,,,,Mid-Range,8-16 Center,15.66,Missed,,,,,,,,,,,,,,,,,,
22,PT10M08.00S,2022-10-22T22:14:19.8Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,0,2022-10-22T22:14:41Z,220000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT09M59.00S,2022-10-22T22:14:29.3Z,1,REGULAR,2pt,Jump Shot,[],201935,12.171484888304862,33.57843137254902,1610612755,0,0,2022-10-22T22:14:33Z,230000,82.0,62.0,1,left,MISS J. Harden 10' pullup Shot,[201935],1610612755.0,PHI,pullup,,,Harden,J. Harden,,,,,Mid-Range,8-16 Right,10.28,Missed,,,,,,,,,,,,,,,,,,
24,PT09M57.00S,2022-10-22T22:14:31.3Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,0,0,2022-10-22T22:14:33Z,240000,,,0,,J. Sochan REBOUND (Off:0 Def:2),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,8-16 Right,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,
25,PT09M54.00S,2022-10-22T22:14:41.5Z,1,REGULAR,foul,personal,[],201935,,,1610612759,0,0,2022-10-22T22:14:47Z,250000,,,0,,J. Harden personal FOUL (1 PF),"[201935, 1631110]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202027.0,1.0,0.0,Sochan,1631110.0,,,,,,,,
27,PT09M47.00S,2022-10-22T22:15:13.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,89.70105124835742,53.92156862745098,1610612759,0,0,2022-10-22T22:15:26Z,270000,20.0,44.0,1,right,MISS T. Jones driving Layup - blocked,"[1630200, 203954]",1610612759.0,SAS,driving,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,4.84,Missed,,,,,,,,,,,Embiid,203954.0,,,,,,
28,PT09M47.00S,2022-10-22T22:15:13.5Z,1,REGULAR,block,,[],203954,,,1610612759,0,0,2022-10-22T22:15:19Z,280000,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT09M47.00S,2022-10-22T22:15:13.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,0,0,2022-10-22T22:15:26Z,290000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,27.0,,,,,,,,,,,,,,,,,
30,PT09M39.00S,2022-10-22T22:15:38.9Z,1,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612759,0,0,2022-10-22T22:15:45Z,300000,,,0,,T. Maxey shooting personal FOUL (1 PF) (Poeltl 2 FT),"[1630178, 1627751]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1628172.0,1.0,0.0,Poeltl,1627751.0,,,,,,,,
32,PT09M39.00S,2022-10-22T22:16:05.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1627751,,,1610612759,0,1,2022-10-22T22:17:18Z,320000,,,0,,J. Poeltl Free Throw 1 of 2 (1 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
34,PT09M39.00S,2022-10-22T22:16:05.5Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1627751,,,1610612759,0,1,2022-10-22T22:17:18Z,340000,,,0,,MISS J. Poeltl Free Throw 2 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
35,PT09M39.00S,2022-10-22T22:16:05.5Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,0,1,2022-10-22T22:17:18Z,350000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
36,PT09M27.00S,2022-10-22T22:16:31.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,7.5722733245729295,51.71568627450981,1610612755,2,1,2022-10-22T22:16:35Z,360000,-9.0,19.0,1,left,J. Embiid driving Layup (2 PTS) (T. Maxey 1 AST),"[203954, 1630178]",1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,2.06,Made,,,,,,,,,,,,,2.0,T. Maxey,1630178.0,1.0,,
38,PT09M15.00S,2022-10-22T22:16:43.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631110,91.27792378449409,59.55882352941176,1610612759,2,1,2022-10-22T22:16:48Z,380000,48.0,29.0,1,right,MISS J. Sochan driving Layup,[1631110],1610612759.0,SAS,driving,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,5.62,Missed,,,,,,,,,,,,,,,,,,
39,PT09M13.00S,2022-10-22T22:16:45.3Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,2,1,2022-10-22T22:16:45Z,390000,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,38.0,2.0,1.0,1.0,,,,,,,,,,,,,,
40,PT09M10.00S,2022-10-22T22:16:48.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630170,66.96780551905388,58.333333333333336,1610612759,2,4,2022-10-22T22:16:53Z,400000,42.0,258.0,1,right,D. Vassell 26' 3PT  (3 PTS) (T. Jones 1 AST),"[1630170, 1630200]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Center,26.13,Made,,,,,,,,,,,,,3.0,T. Jones,1630200.0,1.0,,
43,PT08M48.00S,2022-10-22T22:17:17.1Z,1,REGULAR,3pt,Jump Shot,[],1630178,7.966491458607096,97.79411764705883,1610612755,2,4,2022-10-22T22:17:24Z,430000,-239.0,22.0,1,left,MISS T. Maxey 24' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Left Corner 3,24+ Left,24.0,Missed,,,,,,,,,,,,,,,,,,
44,PT08M48.00S,2022-10-22T22:17:20.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,2,4,2022-10-22T22:17:20Z,440000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Left Corner 3,24+ Left,,,43.0,,,,,,,,,,,,,,,,,
46,PT08M45.00S,2022-10-22T22:17:38.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202699,12.828515111695138,44.36274509803921,1610612755,4,4,2022-10-22T22:17:42Z,460000,28.0,68.0,1,left,T. Harris 7' alley-oop Layup (2 PTS) (J. Harden 1 AST),"[202699, 201935]",1610612755.0,PHI,alley-oop,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,7.37,Made,,,,,,,,,,,,,2.0,J. Harden,201935.0,1.0,,
51,PT08M39.00S,2022-10-22T22:18:07.6Z,1,REGULAR,foul,personal,['2freethrow'],200782,,,1610612759,4,4,2022-10-22T22:18:14Z,510000,,,0,,P. Tucker shooting personal FOUL (1 PF) (Sochan 2 FT),"[200782, 1631110]",1610612755.0,PHI,shooting,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202026.0,1.0,0.0,Sochan,1631110.0,,,,,,,,
53,PT08M39.00S,2022-10-22T22:18:16.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631110,,,1610612759,4,5,2022-10-22T22:18:16Z,530000,,,0,,J. Sochan Free Throw 1 of 2 (1 PTS),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
54,PT08M39.00S,2022-10-22T22:18:16.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631110,,,1610612759,4,5,2022-10-22T22:18:31Z,540000,,,0,,MISS J. Sochan Free Throw 2 of 2,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
55,PT08M37.00S,2022-10-22T22:18:18.0Z,1,REGULAR,rebound,defensive,[],200782,,,1610612755,4,5,2022-10-22T22:18:31Z,550000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,,
56,PT08M19.00S,2022-10-22T22:18:48.0Z,1,REGULAR,turnover,bad pass,[],200782,,,1610612755,4,5,2022-10-22T22:18:51Z,560000,,,0,,P. Tucker bad pass TURNOVER (1 TO),"[200782, 1630170]",1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,,,,,,,,,,,,Vassell,1630170.0
57,PT08M19.00S,2022-10-22T22:18:48.0Z,1,REGULAR,steal,,[],1630170,,,1610612759,4,5,2022-10-22T22:18:50Z,570000,,,0,,D. Vassell STEAL (1 STL),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
58,PT08M08.00S,2022-10-22T22:19:00.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627751,94.43166885676742,51.470588235294116,1610612759,4,5,2022-10-22T22:19:04Z,580000,7.0,0.0,1,right,MISS J. Poeltl driving finger roll Layup,[1627751],1610612759.0,SAS,driving finger roll,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,0.74,Missed,,,,,,,,,,,,,,,,,,
59,PT08M04.00S,2022-10-22T22:19:02.5Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,4,5,2022-10-22T22:19:02Z,590000,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,,,
60,PT08M00.00S,2022-10-22T22:19:07.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,29.6484888304862,22.54901960784314,1610612755,7,5,2022-10-22T22:19:13Z,600000,137.0,226.0,1,left,T. Maxey 26' 3PT  (3 PTS) (J. Harden 2 AST),"[1630178, 201935]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,26.46,Made,,,,,,,,,,,,,3.0,J. Harden,201935.0,2.0,,
62,PT07M46.00S,2022-10-22T22:19:21.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,91.01511169513797,51.470588235294116,1610612759,7,7,2022-10-22T22:19:25Z,620000,7.0,32.0,1,right,T. Jones pullup Jump Shot (2 PTS),[1630200],1610612759.0,SAS,pullup,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,3.28,Made,,,,,,,,,,,,,2.0,,,,,
63,PT07M23.00S,2022-10-22T22:19:45.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,14.273981603153747,43.872549019607845,1610612755,7,7,2022-10-22T22:19:48Z,630000,31.0,82.0,1,left,MISS T. Harris 8' driving floating Shot,[202699],1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,8.72,Missed,,,,,,,,,,,,,,,,,,
64,PT07M20.00S,2022-10-22T22:19:48.3Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,7,7,2022-10-22T22:19:48Z,640000,,,0,,J. Poeltl REBOUND (Off:1 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,63.0,3.0,2.0,1.0,,,,,,,,,,,,,,
65,PT07M11.00S,2022-10-22T22:19:56.6Z,1,REGULAR,turnover,bad pass,[],1631110,,,1610612759,7,7,2022-10-22T22:20:03Z,650000,,,0,,J. Sochan bad pass TURNOVER (1 TO),"[1631110, 1630178]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,,,1.0,,,,,,,,,,,,Maxey,1630178.0
66,PT07M11.00S,2022-10-22T22:19:56.6Z,1,REGULAR,steal,,[],1630178,,,1610612755,7,7,2022-10-22T22:19:58Z,660000,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
67,PT07M05.00S,2022-10-22T22:20:02.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630178,5.206964520367937,46.81372549019608,1610612755,9,7,2022-10-22T22:20:08Z,670000,16.0,-4.0,1,left,T. Maxey running Layup (5 PTS) (J. Harden 3 AST),"[1630178, 201935]",1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,1.63,Made,,,,,,,,,,,,,5.0,J. Harden,201935.0,3.0,,
69,PT07M05.00S,2022-10-22T22:20:09.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,9,7,2022-10-22T22:20:09Z,690000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M50.00S,2022-10-22T22:23:30.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,87.20433639947439,52.69607843137255,1610612759,9,9,2022-10-22T22:23:33Z,700000,13.0,68.0,1,right,T. Jones 6' driving floating Jump Shot (4 PTS),[1630200],1610612759.0,SAS,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,6.91,Made,,,,,,,,,,,,,4.0,,,,,
71,PT06M21.00S,2022-10-22T22:23:58.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,19.398817345597898,46.32352941176471,1610612755,11,9,2022-10-22T22:24:02Z,710000,18.0,130.0,1,left,J. Embiid 13' turnaround fadeaway Jump Shot (4 PTS),[203954],1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,13.11,Made,,,,,,,,,,,,,4.0,,,,,
72,PT06M13.00S,2022-10-22T22:24:07.2Z,1,REGULAR,turnover,bad pass,[],1630200,,,1610612759,11,9,2022-10-22T22:24:16Z,720000,,,0,,T. Jones bad pass TURNOVER (1 TO),"[1630200, 201935]",1610612759.0,SAS,,,,Jones,T. Jones,,,,,Mid-Range,8-16 Right,,,,,,,1.0,,,,,,,,,,,,Harden,201935.0
73,PT06M13.00S,2022-10-22T22:24:07.2Z,1,REGULAR,steal,,[],201935,,,1610612755,11,9,2022-10-22T22:24:16Z,730000,,,0,,J. Harden STEAL (1 STL),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
74,PT06M08.00S,2022-10-22T22:24:18.4Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202699,5.469776609724048,52.450980392156865,1610612755,13,9,2022-10-22T22:24:36Z,740000,-12.0,-1.0,1,left,T. Harris running alley-oop DUNK (4 PTS) (J. Harden 4 AST),"[202699, 201935]",1610612755.0,PHI,running alley-oop,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,1.23,Made,,,,,,,,,,,,,4.0,J. Harden,201935.0,4.0,,
76,PT05M48.00S,2022-10-22T22:24:32.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,80.76544021024968,44.85294117647059,1610612759,13,9,2022-10-22T22:24:39Z,760000,-26.0,128.0,1,right,MISS K. Johnson 13' pullup Shot,[1629640],1610612759.0,SAS,pullup,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Center,13.08,Missed,,,,,,,,,,,,,,,,,,
77,PT05M48.00S,2022-10-22T22:24:32.5Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,13,9,2022-10-22T22:24:39Z,770000,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,76.0,2.0,2.0,0.0,,,,,,,,,,,,,,
78,PT05M39.00S,2022-10-22T22:24:41.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,6.521024967148489,45.34313725490196,1610612755,13,9,2022-10-22T22:25:01Z,780000,23.0,9.0,1,left,MISS J. Embiid cutting finger roll Layup,[203954],1610612755.0,PHI,cutting finger roll,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,2.49,Missed,,,,,,,,,,,,,,,,,,
79,PT05M37.00S,2022-10-22T22:24:43.2Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,13,9,2022-10-22T22:24:46Z,790000,,,0,,J. Sochan REBOUND (Off:0 Def:3),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,78.0,3.0,3.0,0.0,,,,,,,,,,,,,,
80,PT05M31.00S,2022-10-22T22:24:49.0Z,1,REGULAR,3pt,Jump Shot,[],1629640,91.40932982917214,5.637254901960785,1610612759,13,12,2022-10-22T22:24:55Z,800000,-222.0,28.0,1,right,K. Johnson 3PT  (3 PTS) (J. Sochan 1 AST),"[1629640, 1631110]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Left Corner 3,24+ Left,22.36,Made,,,,,,,,,,,,,3.0,J. Sochan,1631110.0,1.0,,
82,PT05M13.00S,2022-10-22T22:25:07.0Z,1,REGULAR,3pt,Jump Shot,[],202699,27.283180026281208,17.647058823529413,1610612755,16,12,2022-10-22T22:25:11Z,820000,162.0,204.0,1,left,T. Harris 26' 3PT  (7 PTS) (J. Harden 5 AST),"[202699, 201935]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,26.04,Made,,,,,,,,,,,,,7.0,J. Harden,201935.0,5.0,,
88,PT05M04.00S,2022-10-22T22:25:24.7Z,1,REGULAR,substitution,out,[],203954,,,1610612759,16,12,2022-10-22T22:25:41Z,880000,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M04.00S,2022-10-22T22:25:24.7Z,1,REGULAR,substitution,out,[],1631110,,,1610612759,16,12,2022-10-22T22:25:41Z,890000,,,0,,SUB out: J. Sochan,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M04.00S,2022-10-22T22:25:24.7Z,1,REGULAR,substitution,out,[],1630200,,,1610612759,16,12,2022-10-22T22:25:41Z,900000,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M04.00S,2022-10-22T22:25:24.7Z,1,REGULAR,substitution,in,[],1626149,,,1610612759,16,12,2022-10-22T22:25:41Z,910000,,,0,,SUB in: M. Harrell,[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M04.00S,2022-10-22T22:25:24.7Z,1,REGULAR,substitution,in,[],1630563,,,1610612759,16,12,2022-10-22T22:25:41Z,920000,,,0,,SUB in: J. Primo,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M04.00S,2022-10-22T22:25:24.7Z,1,REGULAR,substitution,in,[],1626196,,,1610612759,16,12,2022-10-22T22:25:41Z,930000,,,0,,SUB in: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT05M04.00S,2022-10-22T22:25:24.7Z,1,REGULAR,substitution,out,[],1630170,,,1610612759,16,12,2022-10-22T22:26:03Z,935000,,,0,,SUB out: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT05M04.00S,2022-10-22T22:25:24.7Z,1,REGULAR,substitution,in,[],1629676,,,1610612759,16,12,2022-10-22T22:26:03Z,937500,,,0,,SUB in: I. Roby,[1629676],1610612759.0,SAS,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M56.00S,2022-10-22T22:25:50.6Z,1,REGULAR,3pt,Jump Shot,[],1629640,75.1149802890933,9.558823529411764,1610612759,16,12,2022-10-22T22:32:05Z,940000,-202.0,181.0,1,right,MISS K. Johnson 27' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,27.16,Missed,,,,,,,,,,,,,,,,,,
95,PT04M56.00S,2022-10-22T22:25:53.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,16,12,2022-10-22T22:25:53Z,950000,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Left Center,,,94.0,,,,,,,,,,,,,,,,,
