actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M28.00S,2022-10-24T23:12:17.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201935,31.225361366622867,31.61764705882353,1610612755,3,2,2022-10-24T23:12:22Z,170000,92.0,241.0,1,left,MISS J. Harden 25' step back 3PT,[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,25.79,Missed,,,,,,,,,,,,,,,,,,
18,PT10M25.00S,2022-10-24T23:12:20.4Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,3,2,2022-10-24T23:12:22Z,180000,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Right Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M15.00S,2022-10-24T23:12:31.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630174,93.64323258869908,50.73529411764706,1610612754,3,4,2022-10-24T23:12:36Z,190000,4.0,7.0,1,right,A. Nesmith driving Layup (4 PTS) (B. Hield 1 AST),"[1630174, 1627741]",1610612754.0,IND,driving,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,0.82,Made,,,,,4.0,B. Hield,1627741.0,1.0,,,,,,,,,,
21,PT10M04.00S,2022-10-24T23:12:44.1Z,1,REGULAR,turnover,out-of-bounds,[],1630178,,,1610612755,3,4,2022-10-24T23:12:52Z,210000,,,0,,T. Maxey bad pass out-of-bounds TURNOVER (1 TO),[1630178],1610612755.0,PHI,bad pass,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,,,203177.0,,,,,,
22,PT09M53.00S,2022-10-24T23:12:57.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630543,95.74572930354796,44.11764705882353,1610612754,3,4,2022-10-24T23:13:03Z,220000,-29.0,-13.0,1,right,MISS I. Jackson cutting Layup,[1630543],1610612754.0,IND,cutting,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,3.19,Missed,,,,,,,,,,,,,,,,,,
23,PT09M49.00S,2022-10-24T23:13:01.4Z,1,REGULAR,rebound,offensive,[],1630169,,,1610612754,3,4,2022-10-24T23:13:03Z,230000,,,0,,T. Haliburton REBOUND (Off:1 Def:0),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,,,
24,PT09M49.00S,2022-10-24T23:13:00.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630169,94.40999984741211,50.0,1610612754,3,6,2022-10-24T23:13:00Z,240000,0.0,0.0,1,right,T. Haliburton tip Layup (2 PTS),[1630169],1610612754.0,IND,tip,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
25,PT09M34.00S,2022-10-24T23:13:15.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201935,6.1268068331143235,50.49019607843137,1610612755,5,6,2022-10-24T23:13:19Z,250000,-2.0,5.0,1,left,J. Harden cutting DUNK (2 PTS) (J. Embiid 1 AST),"[201935, 203954]",1610612755.0,PHI,cutting,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,0.57,Made,,,,,2.0,J. Embiid,203954.0,1.0,,,,,,,,,,
27,PT09M20.00S,2022-10-24T23:13:29.7Z,1,REGULAR,3pt,Jump Shot,[],1630188,68.41327201051249,76.9607843137255,1610612754,5,9,2022-10-24T23:13:33Z,270000,135.0,244.0,1,right,J. Smith 27' 3PT  (3 PTS) (T. Haliburton 2 AST),"[1630188, 1630169]",1610612754.0,IND,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Right Center,27.91,Made,,,,,3.0,T. Haliburton,1630169.0,2.0,,,,,,,,,,
29,PT09M02.00S,2022-10-24T23:13:48.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,8.754927726675426,42.64705882352941,1610612755,5,9,2022-10-24T23:13:56Z,290000,37.0,30.0,1,left,MISS T. Maxey cutting Layup - blocked,"[1630178, 1630188]",1610612755.0,PHI,cutting,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,4.74,Missed,,,,,,,,,,,,,Smith,1630188.0,,,,
39,PT09M02.00S,2022-10-24T23:13:48.1Z,1,REGULAR,block,,[],1630188,,,1610612755,5,9,2022-10-24T23:14:46Z,295000,,,0,,J. Smith BLOCK (1 BLK),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT08M59.00S,2022-10-24T23:13:51.1Z,1,REGULAR,rebound,offensive,[],1630178,,,1610612755,5,9,2022-10-24T23:14:34Z,300000,,,0,,T. Maxey REBOUND (Off:1 Def:0),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,29.0,1.0,0.0,1.0,,,,,,,,,,,,,,
31,PT08M59.00S,2022-10-24T23:13:57.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],200782,7.966491458607096,97.54901960784314,1610612755,8,9,2022-10-24T23:19:33Z,310000,-238.0,22.0,1,left,P. Tucker 3PT  (3 PTS) (T. Maxey 1 AST),"[200782, 1630178]",1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Left Corner 3,24+ Left,23.88,Made,,,,,3.0,T. Maxey,1630178.0,1.0,,,,,,,,,,
33,PT08M50.00S,2022-10-24T23:14:05.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630188,86.15308804204993,55.392156862745104,1610612754,8,9,2022-10-24T23:14:25Z,330000,27.0,78.0,1,right,MISS J. Smith 8' Jump Shot,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,In The Paint (Non-RA),8-16 Center,8.23,Missed,,,,,,,,,,,,,,,,,,
34,PT08M50.00S,2022-10-24T23:14:08.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,8,9,2022-10-24T23:14:08Z,340000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,33.0,,,,,,,,,,,,,,,,,
35,PT08M50.00S,2022-10-24T23:14:12.7Z,1,REGULAR,foul,personal,[],201935,,,1610612754,8,9,2022-10-24T23:37:56Z,350000,,,0,,J. Harden loose ball personal FOUL (1 PF),"[201935, 1630543]",1610612755.0,PHI,loose ball,,,Harden,J. Harden,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,1148.0,,,1.0,0.0,Jackson,1630543.0
37,PT08M40.00S,2022-10-24T23:14:31.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630169,87.20433639947439,67.15686274509804,1610612754,8,9,2022-10-24T23:14:37Z,370000,86.0,68.0,1,right,MISS T. Haliburton 10' fadeaway Shot,[1630169],1610612754.0,IND,fadeaway,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Right,10.94,Missed,,,,,,,,,,,,,,,,,,
38,PT08M37.00S,2022-10-24T23:14:34.1Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,8,9,2022-10-24T23:14:34Z,380000,,,0,,J. Embiid REBOUND (Off:1 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Right,,,37.0,2.0,1.0,1.0,,,,,,,,,,,,,,
40,PT08M23.00S,2022-10-24T23:14:48.3Z,1,REGULAR,2pt,Jump Shot,[],203954,22.026938239159,50.98039215686274,1610612755,10,9,2022-10-24T23:14:52Z,390000,-5.0,155.0,1,left,J. Embiid 15' pullup Jump Shot (2 PTS),[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Center,15.47,Made,,,,,2.0,,,,,,,,,,,,,
41,PT08M13.00S,2022-10-24T23:14:57.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630174,90.88370565045992,47.30392156862745,1610612754,10,9,2022-10-24T23:15:03Z,400000,-13.0,33.0,1,right,MISS A. Nesmith driving Layup - blocked,"[1630174, 203954]",1610612754.0,IND,driving,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,3.58,Missed,,,,,,,,,,,,,Embiid,203954.0,,,,
42,PT08M13.00S,2022-10-24T23:14:57.9Z,1,REGULAR,block,,[],203954,,,1610612754,10,9,2022-10-24T23:15:00Z,410000,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
43,PT08M13.00S,2022-10-24T23:14:57.9Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,10,9,2022-10-24T23:15:03Z,420000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
44,PT07M57.00S,2022-10-24T23:15:14.4Z,1,REGULAR,3pt,Jump Shot,[],202699,6.1268068331143235,96.56862745098039,1610612755,10,9,2022-10-24T23:15:20Z,430000,-233.0,5.0,1,left,MISS T. Harris 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Left Corner 3,24+ Left,23.29,Missed,,,,,,,,,,,,,,,,,,
45,PT07M51.00S,2022-10-24T23:15:20.4Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,10,9,2022-10-24T23:15:20Z,440000,,,0,,I. Jackson REBOUND (Off:0 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Left Corner 3,24+ Left,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,,
46,PT07M48.00S,2022-10-24T23:15:25.6Z,1,REGULAR,foul,personal,['3freethrow'],202699,,,1610612754,10,9,2022-10-24T23:15:35Z,450000,,,0,,T. Harris shooting personal FOUL (1 PF) (Hield 3 FT),"[202699, 1627741]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,1148.0,,,1.0,0.0,Hield,1627741.0
48,PT07M48.00S,2022-10-24T23:15:52.5Z,1,REGULAR,freethrow,1 of 3,['fastbreak'],1627741,,,1610612754,10,10,2022-10-24T23:15:52Z,470000,,,0,,B. Hield Free Throw 1 of 3 (1 PTS),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
49,PT07M48.00S,2022-10-24T23:16:07.3Z,1,REGULAR,freethrow,2 of 3,['fastbreak'],1627741,,,1610612754,10,11,2022-10-24T23:16:07Z,480000,,,0,,B. Hield Free Throw 2 of 3 (2 PTS),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
50,PT07M48.00S,2022-10-24T23:16:20.0Z,1,REGULAR,freethrow,3 of 3,['fastbreak'],1627741,,,1610612754,10,12,2022-10-24T23:16:20Z,490000,,,0,,B. Hield Free Throw 3 of 3 (3 PTS),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
51,PT07M33.00S,2022-10-24T23:16:35.7Z,1,REGULAR,3pt,Jump Shot,[],201935,30.305519053876477,24.509803921568626,1610612755,13,12,2022-10-24T23:16:40Z,500000,127.0,232.0,1,left,J. Harden 26' 3PT pullup (5 PTS) (P. Tucker 1 AST),"[201935, 200782]",1610612755.0,PHI,pullup,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,26.51,Made,,,,,5.0,P. Tucker,200782.0,1.0,,,,,,,,,,
53,PT07M27.00S,2022-10-24T23:16:43.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,94.30026281208936,50.98039215686274,1610612754,13,14,2022-10-24T23:23:38Z,520000,5.0,1.0,1,right,J. Smith running Layup (5 PTS) (T. Haliburton 3 AST),"[1630188, 1630169]",1610612754.0,IND,running,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,0.5,Made,,,,,5.0,T. Haliburton,1630169.0,3.0,,,,,,,,,,
55,PT07M27.00S,2022-10-24T23:16:47.4Z,1,REGULAR,foul,personal,['1freethrow'],200782,,,1610612754,13,14,2022-10-24T23:17:01Z,540000,,,0,,P. Tucker shooting personal FOUL (1 PF) (Smith 1 FT),"[200782, 1630188]",1610612755.0,PHI,shooting,,,Tucker,P. Tucker,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1627529.0,,,1.0,0.0,Smith,1630188.0
57,PT07M27.00S,2022-10-24T23:17:12.7Z,1,REGULAR,freethrow,1 of 1,[],1630188,,,1610612754,13,14,2022-10-24T23:17:14Z,560000,,,0,,MISS J. Smith Free Throw 1 of 1,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
58,PT07M25.00S,2022-10-24T23:17:14.7Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,13,14,2022-10-24T23:17:14Z,570000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,,,
59,PT07M15.00S,2022-10-24T23:17:23.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203954,9.280551905387648,57.59803921568627,1610612755,13,14,2022-10-24T23:17:29Z,580000,-38.0,35.0,1,left,MISS J. Embiid turnaround Hook,[203954],1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,5.15,Missed,,,,,,,,,,,,,,,,,,
60,PT07M12.00S,2022-10-24T23:17:26.0Z,1,REGULAR,rebound,offensive,[],202699,,,1610612755,13,14,2022-10-24T23:17:26Z,590000,,,0,,T. Harris REBOUND (Off:1 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,59.0,2.0,1.0,1.0,,,,,,,,,,,,,,
61,PT07M06.00S,2022-10-24T23:17:34.4Z,1,REGULAR,foul,personal,['2freethrow'],1630543,,,1610612755,13,14,2022-10-24T23:17:44Z,600000,,,0,,I. Jackson shooting personal FOUL (1 PF) (Embiid 2 FT),"[1630543, 203954]",1610612754.0,IND,shooting,,,Jackson,I. Jackson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1627529.0,,,1.0,0.0,Embiid,203954.0
63,PT07M06.00S,2022-10-24T23:17:57.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203954,,,1610612755,14,14,2022-10-24T23:17:57Z,620000,,,0,,J. Embiid Free Throw 1 of 2 (3 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
64,PT07M06.00S,2022-10-24T23:18:19.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203954,,,1610612755,15,14,2022-10-24T23:18:19Z,630000,,,0,,J. Embiid Free Throw 2 of 2 (4 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
65,PT06M55.00S,2022-10-24T23:18:31.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627741,82.34231274638634,45.34313725490196,1610612754,15,14,2022-10-24T23:18:37Z,640000,-23.0,113.0,1,right,MISS B. Hield 11' driving floating Shot,[1627741],1610612754.0,IND,driving floating,,,Hield,B. Hield,,,,,In The Paint (Non-RA),8-16 Center,11.59,Missed,,,,,,,,,,,,,,,,,,
66,PT06M52.00S,2022-10-24T23:18:34.2Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,15,14,2022-10-24T23:18:37Z,650000,,,0,,T. Harris REBOUND (Off:1 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,65.0,3.0,2.0,1.0,,,,,,,,,,,,,,
67,PT06M40.00S,2022-10-24T23:18:46.1Z,1,REGULAR,3pt,Jump Shot,[],202699,24.78646517739816,14.460784313725492,1610612755,15,14,2022-10-24T23:18:50Z,660000,178.0,180.0,1,left,MISS T. Harris 25' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,25.33,Missed,,,,,,,,,,,,,,,,,,
68,PT06M37.00S,2022-10-24T23:18:49.1Z,1,REGULAR,rebound,offensive,[],200782,,,1610612755,15,14,2022-10-24T23:18:50Z,670000,,,0,,P. Tucker REBOUND (Off:1 Def:0),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Above the Break 3,24+ Right Center,,,67.0,1.0,0.0,1.0,,,,,,,,,,,,,,
69,PT06M21.00S,2022-10-24T23:19:04.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201935,35.43035479632063,46.07843137254902,1610612755,15,14,2022-10-24T23:19:11Z,680000,20.0,281.0,1,left,MISS J. Harden 28' 3PT,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,28.12,Missed,,,,,,,,,,,,,,,,,,
70,PT06M18.00S,2022-10-24T23:19:08.3Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,15,14,2022-10-24T23:19:08Z,690000,,,0,,T. Haliburton REBOUND (Off:1 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,,,69.0,2.0,1.0,1.0,,,,,,,,,,,,,,
71,PT06M17.00S,2022-10-24T23:19:13.1Z,1,REGULAR,turnover,traveling,[],1630169,,,1610612754,15,14,2022-10-24T23:19:21Z,700000,,,0,,T. Haliburton traveling TURNOVER (1 TO),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,1148.0,,,,,,
72,PT06M17.00S,2022-10-24T23:19:21.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,15,14,2022-10-24T23:19:21Z,710000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M17.00S,2022-10-24T23:21:47.2Z,1,REGULAR,substitution,out,[],203954,,,1610612755,15,14,2022-10-24T23:21:51Z,720000,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M17.00S,2022-10-24T23:21:47.2Z,1,REGULAR,substitution,in,[],1626149,,,1610612755,15,14,2022-10-24T23:21:51Z,730000,,,0,,SUB in: M. Harrell,[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M02.00S,2022-10-24T23:22:28.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202699,6.521024967148489,98.2843137254902,1610612755,15,14,2022-10-24T23:22:32Z,740000,-241.0,9.0,1,left,MISS T. Harris 24' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Left Corner 3,24+ Left,24.16,Missed,,,,,,,,,,,,,,,,,,
76,PT05M59.00S,2022-10-24T23:22:31.2Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612754,15,14,2022-10-24T23:22:32Z,750000,,,0,,J. Smith REBOUND (Off:0 Def:2),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Left Corner 3,24+ Left,,,75.0,2.0,2.0,0.0,,,,,,,,,,,,,,
77,PT05M55.00S,2022-10-24T23:22:35.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627741,72.35545335085413,12.745098039215685,1610612754,15,17,2022-10-24T23:28:37Z,760000,-186.0,207.0,1,right,B. Hield 27' 3PT running (6 PTS) (T. Haliburton 4 AST),"[1627741, 1630169]",1610612754.0,IND,running,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,27.88,Made,,,,,6.0,T. Haliburton,1630169.0,4.0,,,,,,,,,,
80,PT05M35.00S,2022-10-24T23:23:02.0Z,1,REGULAR,substitution,out,[],1630178,,,1610612755,15,17,2022-10-24T23:23:11Z,790000,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M35.00S,2022-10-24T23:23:02.0Z,1,REGULAR,substitution,out,[],200782,,,1610612755,15,17,2022-10-24T23:23:11Z,800000,,,0,,SUB out: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M35.00S,2022-10-24T23:23:02.0Z,1,REGULAR,substitution,in,[],1629001,,,1610612755,15,17,2022-10-24T23:23:11Z,810000,,,0,,SUB in: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M35.00S,2022-10-24T23:23:02.0Z,1,REGULAR,substitution,in,[],1627863,,,1610612755,15,17,2022-10-24T23:23:11Z,820000,,,0,,SUB in: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M28.00S,2022-10-24T23:23:24.8Z,1,REGULAR,3pt,Jump Shot,[],1627863,12.697109067017081,2.941176470588235,1610612755,18,17,2022-10-24T23:23:28Z,830000,235.0,67.0,1,left,D. House Jr. 24' 3PT  (3 PTS) (J. Harden 2 AST),"[1627863, 201935]",1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,Right Corner 3,24+ Right,24.46,Made,,,,,3.0,J. Harden,201935.0,2.0,,,,,,,,,,
86,PT05M13.00S,2022-10-24T23:23:39.4Z,1,REGULAR,2pt,Jump Shot,[],1630174,76.16622864651774,32.59803921568628,1610612754,18,17,2022-10-24T23:23:43Z,850000,-87.0,172.0,1,right,MISS A. Nesmith 19' pullup Shot,[1630174],1610612754.0,IND,pullup,,,Nesmith,A. Nesmith,,,,,Mid-Range,16-24 Left Center,19.23,Missed,,,,,,,,,,,,,,,,,,
