actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
49,PT08M13.00S,2022-11-13T00:48:39.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628381,91.5407358738502,62.254901960784316,1610612737,10,9,2022-11-13T00:48:43Z,490000,False,61.0,27.0,1,right,MISS J. Collins 6' driving floating Shot,[1628381],1610612737.0,ATL,driving floating,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,6.7,Missed,,,,,,,,,,,,,,,,,,
50,PT08M10.00S,2022-11-13T00:48:42.1Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612737,10,9,2022-11-13T00:48:43Z,500000,False,,,0,,J. Collins REBOUND (Off:1 Def:0),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,49.0,1.0,0.0,1.0,,,,
51,PT08M08.00S,2022-11-13T00:48:44.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629631,66.17936925098554,43.872549019607845,1610612737,10,9,2022-11-13T00:48:47Z,510000,False,-31.0,265.0,1,right,MISS D. Hunter 26' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Center,26.72,Missed,,,,,,,,,,,,,,,,,,
52,PT08M06.00S,2022-11-13T00:48:46.0Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,10,9,2022-11-13T00:48:47Z,520000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,51.0,1.0,1.0,0.0,,,,
53,PT07M54.00S,2022-11-13T00:48:58.0Z,1,REGULAR,foul,personal,['3freethrow'],1629631,,,1610612755,10,9,2022-11-13T00:49:08Z,530000,False,,,0,,D. Hunter shooting personal FOUL (1 PF) (Harris 3 FT),"[1629631, 202699]",1610612737.0,ATL,shooting,,,Hunter,D. Hunter,,,,,Left Corner 3,24+ Left,,,,202007.0,1.0,0.0,Harris,202699.0,,,,,,,,,,,,
56,PT07M54.00S,2022-11-13T00:50:53.0Z,1,REGULAR,freethrow,1 of 3,[],202699,,,1610612755,11,9,2022-11-13T00:50:53Z,560000,False,,,0,,T. Harris Free Throw 1 of 3 (1 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
57,PT07M54.00S,2022-11-13T00:51:05.6Z,1,REGULAR,freethrow,2 of 3,[],202699,,,1610612755,12,9,2022-11-13T00:51:05Z,570000,False,,,0,,T. Harris Free Throw 2 of 3 (2 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
58,PT07M54.00S,2022-11-13T00:51:19.8Z,1,REGULAR,freethrow,3 of 3,[],202699,,,1610612755,13,9,2022-11-13T00:51:19Z,580000,False,,,0,,T. Harris Free Throw 3 of 3 (3 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
59,PT07M40.00S,2022-11-13T00:51:35.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,81.8166885676741,60.5392156862745,1610612737,13,11,2022-11-13T00:51:39Z,590000,False,53.0,118.0,1,right,T. Young 12' pullup Jump Shot (2 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,12.96,Made,2.0,,,,,,,,,,,,,,,,,
61,PT07M14.00S,2022-11-13T00:52:16.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,6.389618922470433,53.18627450980392,1610612755,13,11,2022-11-13T00:52:20Z,610000,False,-16.0,8.0,1,left,MISS T. Harris driving finger roll Layup,[202699],1610612755.0,PHI,driving finger roll,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,1.76,Missed,,,,,,,,,,,,,,,,,,
62,PT07M11.00S,2022-11-13T00:52:19.8Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,13,11,2022-11-13T00:52:20Z,620000,False,,,0,,C. Capela REBOUND (Off:1 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,61.0,4.0,3.0,1.0,,,,
63,PT07M04.00S,2022-11-13T00:52:26.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627749,92.32917214191852,54.166666666666664,1610612737,13,11,2022-11-13T00:53:09Z,630000,False,21.0,20.0,1,right,MISS D. Murray driving finger roll Layup,[1627749],1610612737.0,ATL,driving finger roll,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,2.86,Missed,,,,,,,,,,,,,,,,,,
67,PT07M00.00S,2022-11-13T00:53:07.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,13,11,2022-11-13T00:53:07Z,640000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,63.0,,,,,,,
64,PT07M00.00S,2022-11-13T00:53:07.6Z,1,REGULAR,jumpball,recovered,[],202699,,,1610612755,13,11,2022-11-13T00:53:07Z,650000,False,,,0,,Jump Ball J. Embiid vs. D. Murray: Tip to T. Harris,"[202699, 203954, 1627749]",1610612755.0,PHI,heldball,T. Harris,202699.0,Harris,T. Harris,Embiid,203954.0,Murray,1627749.0,,,,,,,,,,,,,,,,,,,,,,
68,PT06M39.00S,2022-11-13T00:53:28.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,8.229303547963205,46.81372549019608,1610612755,15,11,2022-11-13T00:59:43Z,680000,False,16.0,25.0,1,left,T. Harris floating Jump Shot (5 PTS) (J. Embiid 1 AST),"[202699, 203954]",1610612755.0,PHI,floating,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,2.95,Made,5.0,,,,,,J. Embiid,203954.0,1.0,,,,,,,,,
70,PT06M25.00S,2022-11-13T00:53:41.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,84.83902759526939,45.09803921568628,1610612737,15,11,2022-11-13T00:53:46Z,700000,False,-25.0,90.0,1,right,MISS T. Young 9' driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,9.33,Missed,,,,,,,,,,,,,,,,,,
71,PT06M24.00S,2022-11-13T00:53:42.5Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,15,11,2022-11-13T00:53:46Z,710000,False,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,70.0,2.0,2.0,0.0,,,,
72,PT06M24.00S,2022-11-13T00:53:46.1Z,1,REGULAR,foul,personal,[],1629027,,,1610612755,15,11,2022-11-13T00:53:52Z,720000,False,,,0,,T. Young personal FOUL (1 PF),"[1629027, 203954]",1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,16-24 Left Center,,,,202007.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,
74,PT06M24.00S,2022-11-13T00:53:53.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,15,11,2022-11-13T00:53:53Z,740000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M24.00S,2022-11-13T00:56:31.4Z,1,REGULAR,substitution,out,[],1629027,,,1610612755,15,11,2022-11-13T00:56:43Z,750000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M24.00S,2022-11-13T00:56:31.4Z,1,REGULAR,substitution,in,[],1628988,,,1610612755,15,11,2022-11-13T00:56:43Z,760000,False,,,0,,SUB in: A. Holiday,[1628988],1610612737.0,ATL,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M15.00S,2022-11-13T00:56:57.3Z,1,REGULAR,turnover,traveling,[],1630178,,,1610612755,15,11,2022-11-13T00:57:14Z,770000,False,,,0,,T. Maxey traveling TURNOVER (2 TO),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Right Center,,,,204059.0,,,,,,,,2.0,,,,,,,,
78,PT06M05.00S,2022-11-13T00:57:16.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627749,84.05059132720105,74.26470588235294,1610612737,15,11,2022-11-13T00:57:20Z,780000,False,121.0,97.0,1,right,MISS D. Murray 15' pullup Shot,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,8-16 Right,15.56,Missed,,,,,,,,,,,,,,,,,,
79,PT06M02.00S,2022-11-13T00:57:19.4Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,15,11,2022-11-13T00:57:20Z,790000,False,,,0,,J. Embiid REBOUND (Off:0 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,78.0,3.0,3.0,0.0,,,,
80,PT05M40.00S,2022-11-13T00:57:41.2Z,1,REGULAR,3pt,Jump Shot,[],1629680,27.414586070959263,81.61764705882352,1610612755,15,11,2022-11-13T00:57:46Z,800000,False,-158.0,205.0,1,left,MISS M. Thybulle 25' 3PT,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Left Center,25.9,Missed,,,,,,,,,,,,,,,,,,
81,PT05M37.00S,2022-11-13T00:57:44.2Z,1,REGULAR,rebound,offensive,[],200782,,,1610612755,15,11,2022-11-13T00:57:46Z,810000,False,,,0,,P. Tucker REBOUND (Off:1 Def:1),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,80.0,2.0,1.0,1.0,,,,
82,PT05M36.00S,2022-11-13T00:57:45.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203954,31.488173455978973,30.88235294117647,1610612755,15,11,2022-11-13T00:57:50Z,820000,False,96.0,243.0,1,left,MISS J. Embiid 26' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Right Center,26.16,Missed,,,,,,,,,,,,,,,,,,
83,PT05M34.00S,2022-11-13T00:57:47.4Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,15,11,2022-11-13T00:57:50Z,830000,False,,,0,,C. Capela REBOUND (Off:1 Def:4),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,82.0,5.0,4.0,1.0,,,,
84,PT05M34.00S,2022-11-13T00:57:50.7Z,1,REGULAR,foul,personal,[],200782,,,1610612737,15,11,2022-11-13T00:57:57Z,840000,False,,,0,,P. Tucker personal FOUL (2 PF),"[200782, 203991]",1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Restricted Area,0-8 Center,,,,202037.0,2.0,0.0,Capela,203991.0,,,,,,,,,,,,
86,PT05M10.00S,2022-11-13T00:58:33.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628988,87.07293035479631,43.627450980392155,1610612737,15,11,2022-11-13T00:58:40Z,860000,False,-32.0,69.0,1,right,MISS A. Holiday 7' driving Hook,[1628988],1610612737.0,ATL,driving,,,Holiday,A. Holiday,,,,,In The Paint (Non-RA),0-8 Center,7.6,Missed,,,,,,,,,,,,,,,,,,
87,PT05M07.00S,2022-11-13T00:58:36.2Z,1,REGULAR,rebound,defensive,[],1629680,,,1610612755,15,11,2022-11-13T00:58:40Z,870000,False,,,0,,M. Thybulle REBOUND (Off:0 Def:1),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,86.0,1.0,1.0,0.0,,,,
