actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
113,PT00M57.40S,2022-12-24T00:30:29.4Z,1,REGULAR,3pt,Jump Shot,[],1629611,93.74178712220763,0.9803921568627345,1610612746,24,30,2022-12-24T00:30:33Z,1120000,False,-245.0,6.0,1,right,T. Mann 24' 3PT  (3 PTS) (L. Kennard 2 AST),"[1629611, 1628379]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,Left Corner 3,24+ Left,24.52,Made,3.0,L. Kennard,1628379.0,2.0,,,,,,,,,,,,,,
116,PT00M51.10S,2022-12-24T00:30:45.1Z,1,REGULAR,substitution,out,[],1629001,,,1610612755,24,30,2022-12-24T00:31:00Z,1150000,False,,,0,,SUB out: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PT00M51.10S,2022-12-24T00:30:45.1Z,1,REGULAR,substitution,out,[],202699,,,1610612755,24,30,2022-12-24T00:31:00Z,1160000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PT00M51.10S,2022-12-24T00:30:45.1Z,1,REGULAR,substitution,out,[],203954,,,1610612755,24,30,2022-12-24T00:31:00Z,1170000,False,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PT00M51.10S,2022-12-24T00:30:45.1Z,1,REGULAR,substitution,in,[],1629680,,,1610612755,24,30,2022-12-24T00:31:00Z,1180000,False,,,0,,SUB in: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PT00M51.10S,2022-12-24T00:30:45.1Z,1,REGULAR,substitution,in,[],1626149,,,1610612755,24,30,2022-12-24T00:31:00Z,1190000,False,,,0,,SUB in: M. Harrell,[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PT00M51.10S,2022-12-24T00:30:45.1Z,1,REGULAR,substitution,in,[],1627863,,,1610612755,24,30,2022-12-24T00:31:00Z,1200000,False,,,0,,SUB in: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PT00M48.90S,2022-12-24T00:31:11.2Z,1,REGULAR,turnover,out-of-bounds,[],1626149,,,1610612755,24,30,2022-12-24T00:35:28Z,1210000,False,,,0,,M. Harrell lost ball out-of-bounds TURNOVER (1 TO),[1626149],1610612755.0,PHI,lost ball,,,Harrell,M. Harrell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1628171.0,,,,,1.0,,
123,PT00M34.40S,2022-12-24T00:31:34.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202331,70.48291721419186,76.9607843137255,1610612746,24,33,2022-12-24T00:31:39Z,1220000,False,135.0,225.0,1,right,P. George 26' 3PT pullup (12 PTS),[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Above the Break 3,24+ Right Center,26.23,Made,12.0,,,,,,,,,,,,,,,,,
124,PT00M21.20S,2022-12-24T00:31:51.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629003,6.093955321944804,49.01960784313726,1610612755,24,33,2022-12-24T01:07:29Z,1230000,False,5.0,5.0,1,left,MISS S. Milton driving Layup - blocked,"[1629003, 1626181]",1610612755.0,PHI,driving,,,Milton,S. Milton,,,,,Restricted Area,0-8 Center,0.69,Missed,,,,,,,,,Powell,1626181.0,,,,,,,,
125,PT00M21.20S,2022-12-24T00:31:51.8Z,1,REGULAR,block,,[],1626181,,,1610612755,24,33,2022-12-24T00:36:58Z,1240000,False,,,0,,N. Powell BLOCK (1 BLK),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
126,PT00M21.20S,2022-12-24T00:31:51.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,24,33,2022-12-24T00:31:57Z,1250000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,124.0,,,,,,,,,,,,,
128,PT00M21.20S,2022-12-24T00:32:09.4Z,1,REGULAR,substitution,out,[],1629680,,,1610612755,24,33,2022-12-24T00:32:14Z,1270000,False,,,0,,SUB out: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT00M21.20S,2022-12-24T00:32:09.4Z,1,REGULAR,substitution,in,[],1627788,,,1610612755,24,33,2022-12-24T00:32:14Z,1280000,False,,,0,,SUB in: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,,
130,PT00M10.00S,2022-12-24T00:32:38.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629003,15.292378449408673,50.245098039215684,1610612755,24,33,2022-12-24T00:32:42Z,1290000,False,-1.0,91.0,1,left,MISS S. Milton 9' turnaround fadeaway Shot,[1629003],1610612755.0,PHI,turnaround fadeaway,,,Milton,S. Milton,,,,,In The Paint (Non-RA),8-16 Center,9.12,Missed,,,,,,,,,,,,,,,,,,
131,PT00M07.30S,2022-12-24T00:32:41.5Z,1,REGULAR,rebound,defensive,[],1628379,,,1610612746,24,33,2022-12-24T00:32:41Z,1300000,False,,,0,,L. Kennard REBOUND (Off:0 Def:1),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,130.0,1.0,1.0,0.0,,,,,,,,,,
132,PT00M03.10S,2022-12-24T00:32:49.2Z,1,REGULAR,foul,personal,[],1627788,,,1610612746,24,33,2022-12-24T01:06:58Z,1310000,False,,,0,,F. Korkmaz take personal FOUL (1 PF),"[1627788, 1626181]",1610612755.0,PHI,take,,,Korkmaz,F. Korkmaz,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,2530.0,1.0,0.0,Powell,1626181.0,,,
134,PT00M03.10S,2022-12-24T00:32:55.2Z,1,REGULAR,substitution,out,[],1627788,,,1610612746,24,33,2022-12-24T00:33:00Z,1330000,False,,,0,,SUB out: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,,
135,PT00M03.10S,2022-12-24T00:32:55.2Z,1,REGULAR,substitution,in,[],1629680,,,1610612746,24,33,2022-12-24T00:33:00Z,1340000,False,,,0,,SUB in: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
136,PT00M00.20S,2022-12-24T00:33:20.2Z,1,REGULAR,3pt,Jump Shot,[],202331,72.05978975032852,81.12745098039215,1610612746,24,33,2022-12-24T00:33:29Z,1350000,False,156.0,210.0,1,right,MISS P. George 26' pullup 3PT,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Above the Break 3,24+ Right Center,26.14,Missed,,,,,,,,,,,,,,,,,,
137,PT00M00.10S,2022-12-24T00:33:20.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,24,33,2022-12-24T00:33:29Z,1360000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,136.0,,,,,,,,,,,,,
138,PT00M00.00S,2022-12-24T00:33:24.0Z,1,REGULAR,period,end,[],0,,,1610612746,24,33,2022-12-24T00:33:24Z,1370000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,PT12M00.00S,2022-12-24T00:34:36.5Z,2,REGULAR,substitution,out,['startperiod'],1629680,,,1610612746,24,33,2022-12-24T00:35:54Z,1380000,False,,,0,,SUB out: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
140,PT12M00.00S,2022-12-24T00:34:36.5Z,2,REGULAR,substitution,out,['startperiod'],202331,,,1610612746,24,33,2022-12-24T00:35:54Z,1390000,False,,,0,,SUB out: P. George,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
141,PT12M00.00S,2022-12-24T00:34:36.5Z,2,REGULAR,substitution,in,['startperiod'],201935,,,1610612746,24,33,2022-12-24T00:35:54Z,1400000,False,,,0,,SUB in: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PT12M00.00S,2022-12-24T00:34:36.5Z,2,REGULAR,substitution,in,['startperiod'],1627826,,,1610612746,24,33,2022-12-24T00:35:54Z,1410000,False,,,0,,SUB in: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,,
143,PT12M00.00S,2022-12-24T00:36:21.8Z,2,REGULAR,period,start,[],0,,,1610612746,24,33,2022-12-24T00:36:21Z,1420000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PT11M45.00S,2022-12-24T00:37:03.0Z,2,REGULAR,turnover,bad pass,[],1626181,,,1610612746,24,33,2022-12-24T00:37:08Z,1430000,False,,,0,,N. Powell bad pass TURNOVER (2 TO),"[1626181, 1629003]",1610612746.0,LAC,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,2.0,Milton,1629003.0
