actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
16,PT11M16.00S,2024-11-10T23:11:57.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,0,0,2024-11-10T23:12:06Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Restricted Area,0-8 Center,,,14.0,,,,,,,,,,,,,,,,,
18,PT11M14.00S,2024-11-10T23:12:13.4Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,0,0,2024-11-10T23:12:25Z,180000,False,,,0,,J. Suggs bad pass TURNOVER (1 TO),"[1630591, 1641731]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,1.0,Coulibaly,1641731.0,,,,
19,PT11M14.00S,2024-11-10T23:12:13.4Z,1,REGULAR,steal,,[],1641731,,,1610612764,0,0,2024-11-10T23:21:47Z,190000,False,,,0,,B. Coulibaly STEAL (1 STL),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
20,PT11M09.00S,2024-11-10T23:12:17.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641731,92.72339027595268,54.65686274509803,1610612764,0,2,2024-11-10T23:12:32Z,200000,False,23.0,16.0,1,right,B. Coulibaly running Layup (2 PTS) (A. Sarr 1 AST),"[1641731, 1642259]",1610612764.0,WAS,running,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,2.82,Made,,,,,,,,,,,,,,,2.0,A. Sarr,1642259.0,1.0
22,PT10M52.00S,2024-11-10T23:12:38.5Z,1,REGULAR,foul,personal,[],1642267,,,1610612753,0,2,2024-11-10T23:13:07Z,220000,False,,,0,,C. Carrington personal FOUL (1 PF),"[1642267, 1630591]",1610612764.0,WAS,,,,Carrington,C. Carrington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1627526.0,1.0,0.0,Suggs,1630591.0,,,,,,,
24,PT10M52.00S,2024-11-10T23:13:04.0Z,1,REGULAR,foul,personal,['1freethrow'],1641731,,,1610612753,0,2,2024-11-10T23:13:37Z,240000,False,,,0,,B. Coulibaly away-from-play personal FOUL (1 PF) (Wagner 1 FT),"[1641731, 1630532]",1610612764.0,WAS,away-from-play,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1627526.0,1.0,0.0,Wagner,1630532.0,,,,,,,
42,PT10M52.00S,2024-11-10T23:13:24.3Z,1,REGULAR,freethrow,1 of 1,[],203484,,,1610612753,1,2,2024-11-10T23:19:11Z,255000,False,,,0,,K. Caldwell-Pope away-from-play Free Throw 1 of 1 (1 PTS),[203484],1610612753.0,ORL,away-from-play,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,Made,,,,,,,,,,,,,,,1.0,,,
26,PT10M44.00S,2024-11-10T23:13:44.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629048,5.995400788436268,48.28431372549019,1610612753,3,2,2024-11-10T23:14:02Z,260000,False,9.0,4.0,1,left,G. Bitadze cutting DUNK (2 PTS) (K. Caldwell-Pope 1 AST),"[1629048, 203484]",1610612753.0,ORL,cutting,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,0.94,Made,,,,,,,,,,,,,,,2.0,K. Caldwell-Pope,203484.0,1.0
28,PT10M25.00S,2024-11-10T23:14:03.2Z,1,REGULAR,3pt,Jump Shot,[],1642273,68.28186596583443,21.323529411764707,1610612764,3,2,2024-11-10T23:14:17Z,280000,False,-143.0,246.0,1,right,MISS K. George 28' 3PT,[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,28.45,Missed,,,,,,,,,,,,,,,,,,
29,PT10M21.00S,2024-11-10T23:14:07.2Z,1,REGULAR,rebound,defensive,[],203484,,,1610612753,3,2,2024-11-10T23:14:17Z,290000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:2),[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT10M13.00S,2024-11-10T23:14:16.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,8.360709592641262,55.392156862745104,1610612753,5,2,2024-11-10T23:14:23Z,300000,False,-27.0,26.0,1,left,F. Wagner driving Layup (2 PTS) (J. Suggs 1 AST),"[1630532, 1630591]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.76,Made,,,,,,,,,,,,,,,2.0,J. Suggs,1630591.0,1.0
32,PT10M07.00S,2024-11-10T23:14:24.3Z,1,REGULAR,foul,personal,[],1630591,,,1610612764,5,2,2024-11-10T23:14:38Z,320000,False,,,0,,J. Suggs personal FOUL (1 PF),"[1630591, 1629673]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,,,,,,,,,204058.0,1.0,0.0,Poole,1629673.0,,,,,,,
34,PT10M00.00S,2024-11-10T23:15:01.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642267,92.9862023653088,47.30392156862745,1610612764,5,2,2024-11-10T23:21:07Z,340000,False,-13.0,13.0,1,right,MISS C. Carrington Layup - blocked,"[1642267, 1629048]",1610612764.0,WAS,,,,Carrington,C. Carrington,,,,,Restricted Area,0-8 Center,1.9,Missed,,,,,Bitadze,1629048.0,,,,,,,,,,,,
35,PT10M00.00S,2024-11-10T23:15:01.6Z,1,REGULAR,block,,[],1629048,,,1610612764,5,2,2024-11-10T23:15:04Z,350000,False,,,0,,G. Bitadze BLOCK (1 BLK),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT09M55.00S,2024-11-10T23:15:06.6Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,5,2,2024-11-10T23:15:14Z,360000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT09M49.00S,2024-11-10T23:15:13.4Z,1,REGULAR,turnover,out-of-bounds,[],1630591,,,1610612753,5,2,2024-11-10T23:22:14Z,370000,False,,,0,,J. Suggs bad pass out-of-bounds TURNOVER (2 TO),[1630591],1610612753.0,ORL,bad pass,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Right Center,,,,,,,,,204058.0,,,,,2.0,,,,,,
38,PT09M41.00S,2024-11-10T23:15:26.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629673,92.32917214191852,46.32352941176471,1610612764,5,4,2024-11-10T23:15:34Z,380000,False,-18.0,20.0,1,right,J. Poole driving Layup (2 PTS) (C. Carrington 1 AST),"[1629673, 1642267]",1610612764.0,WAS,driving,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,2.69,Made,,,,,,,,,,,,,,,2.0,C. Carrington,1642267.0,1.0
40,PT09M19.00S,2024-11-10T23:15:48.4Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,5,4,2024-11-10T23:15:56Z,400000,False,,,0,,J. Suggs bad pass TURNOVER (3 TO),"[1630591, 1642259]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,3.0,Sarr,1642259.0,,,,
41,PT09M19.00S,2024-11-10T23:15:48.4Z,1,REGULAR,steal,,[],1642259,,,1610612764,5,4,2024-11-10T23:15:50Z,410000,False,,,0,,A. Sarr STEAL (1 STL),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
43,PT09M13.00S,2024-11-10T23:15:54.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629673,67.09921156373193,77.94117647058823,1610612764,5,4,2024-11-10T23:16:06Z,420000,False,140.0,257.0,1,right,MISS J. Poole 29' running 3PT,[1629673],1610612764.0,WAS,running,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,29.23,Missed,,,,,,,,,,,,,,,,,,
44,PT09M08.00S,2024-11-10T23:15:59.6Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,5,4,2024-11-10T23:16:06Z,430000,False,,,0,,G. Bitadze REBOUND (Off:1 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Right Center,,,43.0,2.0,1.0,1.0,,,,,,,,,,,,,,
45,PT09M04.00S,2024-11-10T23:16:02.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203484,11.908672798948752,4.411764705882353,1610612753,5,4,2024-11-10T23:24:12Z,440000,False,228.0,59.0,1,left,MISS K. Caldwell-Pope running 3PT,[203484],1610612753.0,ORL,running,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Right Corner 3,24+ Right,23.55,Missed,,,,,,,,,,,,,,,,,,
46,PT09M04.00S,2024-11-10T23:16:02.9Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,5,4,2024-11-10T23:16:13Z,450000,False,,,0,,C. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,C. Carrington,,,,,Right Corner 3,24+ Right,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
47,PT08M54.00S,2024-11-10T23:16:12.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1641731,93.38042049934296,50.245098039215684,1610612764,5,6,2024-11-10T23:16:29Z,460000,False,1.0,10.0,1,right,B. Coulibaly driving DUNK (4 PTS),[1641731],1610612764.0,WAS,driving,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,0.98,Made,,,,,,,,,,,,,,,4.0,,,
48,PT08M38.00S,2024-11-10T23:16:28.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,6.1268068331143235,50.98039215686274,1610612753,7,6,2024-11-10T23:16:35Z,470000,False,-5.0,5.0,1,left,F. Wagner Layup (4 PTS) (G. Bitadze 1 AST),"[1630532, 1629048]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,0.71,Made,,,,,,,,,,,,,,,4.0,G. Bitadze,1629048.0,1.0
50,PT08M21.00S,2024-11-10T23:16:45.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642267,91.14651773981603,56.86274509803921,1610612764,7,8,2024-11-10T23:16:59Z,490000,False,34.0,31.0,1,right,C. Carrington driving finger roll Layup (2 PTS) (A. Sarr 2 AST),"[1642267, 1642259]",1610612764.0,WAS,driving finger roll,,,Carrington,C. Carrington,,,,,In The Paint (Non-RA),0-8 Center,4.6,Made,,,,,,,,,,,,,,,2.0,A. Sarr,1642259.0,2.0
52,PT08M05.00S,2024-11-10T23:17:01.9Z,1,REGULAR,3pt,Jump Shot,[],1641783,6.258212877792378,3.9215686274509802,1610612753,10,8,2024-11-10T23:17:16Z,510000,False,230.0,6.0,1,left,T. da Silva 3PT  (3 PTS) (K. Caldwell-Pope 2 AST),"[1641783, 203484]",1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Right Corner 3,24+ Right,23.05,Made,,,,,,,,,,,,,,,3.0,K. Caldwell-Pope,203484.0,2.0
54,PT07M47.00S,2024-11-10T23:17:20.7Z,1,REGULAR,2pt,Jump Shot,[],1642267,74.85216819973719,26.96078431372549,1610612764,10,10,2024-11-10T23:17:31Z,530000,False,-115.0,184.0,1,right,C. Carrington 21' pullup Jump Shot (4 PTS),[1642267],1610612764.0,WAS,pullup,,,Carrington,C. Carrington,,,,,Mid-Range,16-24 Left Center,21.7,Made,,,,,,,,,,,,,,,4.0,,,
55,PT07M27.00S,2024-11-10T23:17:39.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641783,6.258212877792378,48.03921568627451,1610612753,10,10,2024-11-10T23:17:49Z,540000,False,10.0,6.0,1,left,MISS T. da Silva driving Layup,[1641783],1610612753.0,ORL,driving,,,da Silva,T. da Silva,,,,,Restricted Area,0-8 Center,1.17,Missed,,,,,,,,,,,,,,,,,,
56,PT07M26.00S,2024-11-10T23:17:40.6Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612753,10,10,2024-11-10T23:26:37Z,550000,False,,,0,,G. Bitadze REBOUND (Off:2 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,55.0,3.0,1.0,2.0,,,,,,,,,,,,,,
57,PT07M26.00S,2024-11-10T23:17:45.2Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1629048,5.590000152587891,50.0,1610612753,12,10,2024-11-10T23:26:52Z,560000,False,0.0,0.0,1,left,G. Bitadze tip DUNK (4 PTS),[1629048],1610612753.0,ORL,tip,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,,,,,,4.0,,,
58,PT07M04.00S,2024-11-10T23:18:02.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642259,91.5407358738502,53.92156862745098,1610612764,12,10,2024-11-11T00:16:50Z,570000,False,20.0,27.0,1,right,MISS A. Sarr driving Layup,[1642259],1610612764.0,WAS,driving,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,3.34,Missed,,,,,,,,,,,,,,,,,,
59,PT07M01.00S,2024-11-10T23:18:05.6Z,1,REGULAR,rebound,offensive,[],1642259,,,1610612764,12,10,2024-11-10T23:18:20Z,580000,False,,,0,,A. Sarr REBOUND (Off:1 Def:0),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,58.0,1.0,0.0,1.0,,,,,,,,,,,,,,
60,PT07M01.00S,2024-11-10T23:18:06.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642259,94.40999984741211,50.0,1610612764,12,12,2024-11-10T23:18:06Z,590000,False,0.0,0.0,1,right,A. Sarr tip Layup (2 PTS),[1642259],1610612764.0,WAS,tip,,,Sarr,A. Sarr,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,,,,,,,2.0,,,
61,PT06M47.00S,2024-11-10T23:18:19.9Z,1,REGULAR,3pt,Jump Shot,[],1630591,26.49474375821288,81.37254901960785,1610612753,12,12,2024-11-10T23:18:39Z,600000,False,-157.0,197.0,1,left,MISS J. Suggs 25' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,25.15,Missed,,,,,,,,,,,,,,,,,,
62,PT06M44.00S,2024-11-10T23:18:22.9Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,12,12,2024-11-10T23:18:39Z,610000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Left Center,,,61.0,1.0,1.0,0.0,,,,,,,,,,,,,,
63,PT06M32.00S,2024-11-10T23:18:34.7Z,1,REGULAR,turnover,bad pass,[],1642273,,,1610612764,12,12,2024-11-10T23:18:44Z,620000,False,,,0,,K. George bad pass TURNOVER (1 TO),"[1642273, 1641783]",1610612764.0,WAS,,,,George,K. George,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,1.0,da Silva,1641783.0,,,,
64,PT06M32.00S,2024-11-10T23:18:34.7Z,1,REGULAR,steal,,[],1641783,,,1610612753,12,12,2024-11-10T23:18:36Z,630000,False,,,0,,T. da Silva STEAL (1 STL),[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
65,PT06M24.00S,2024-11-10T23:18:42.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630532,9.543363994743759,64.70588235294117,1610612753,12,12,2024-11-10T23:28:36Z,640000,False,-74.0,37.0,1,left,MISS F. Wagner 8' driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Left,8.24,Missed,,,,,,,,,,,,,,,,,,
66,PT06M23.00S,2024-11-10T23:18:43.1Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,12,12,2024-11-10T23:20:54Z,650000,False,,,0,,A. Sarr REBOUND (Off:1 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),8-16 Left,,,65.0,2.0,1.0,1.0,,,,,,,,,,,,,,
67,PT06M23.00S,2024-11-10T23:18:46.6Z,1,REGULAR,foul,personal,[],1630591,,,1610612764,12,12,2024-11-10T23:18:53Z,660000,False,,,0,,J. Suggs personal FOUL (2 PF),"[1630591, 1642259]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,,,,,,,,,1627526.0,2.0,0.0,Sarr,1642259.0,,,,,,,
69,PT06M23.00S,2024-11-10T23:20:55.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,12,12,2024-11-10T23:20:55Z,680000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M23.00S,2024-11-10T23:21:17.0Z,1,REGULAR,substitution,out,[],1630591,,,1610612764,12,12,2024-11-10T23:21:46Z,690000,False,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M23.00S,2024-11-10T23:21:17.0Z,1,REGULAR,substitution,out,[],1629673,,,1610612764,12,12,2024-11-10T23:21:46Z,700000,False,,,0,,SUB out: J. Poole,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M23.00S,2024-11-10T23:21:17.0Z,1,REGULAR,substitution,in,[],1641710,,,1610612764,12,12,2024-11-10T23:21:46Z,710000,False,,,0,,SUB in: A. Black,[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M23.00S,2024-11-10T23:21:17.0Z,1,REGULAR,substitution,in,[],1630557,,,1610612764,12,12,2024-11-10T23:21:46Z,720000,False,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M08.00S,2024-11-10T23:22:14.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630557,89.96386333771353,51.470588235294116,1610612764,12,12,2024-11-10T23:22:33Z,730000,False,7.0,42.0,1,right,MISS C. Kispert driving floating Shot,[1630557],1610612764.0,WAS,driving floating,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,4.24,Missed,,,,,,,,,,,,,,,,,,
75,PT06M05.00S,2024-11-10T23:22:17.9Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,12,12,2024-11-10T23:22:17Z,740000,False,,,0,,F. Wagner REBOUND (Off:0 Def:2),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,74.0,2.0,2.0,0.0,,,,,,,,,,,,,,
76,PT05M49.00S,2024-11-10T23:22:33.3Z,1,REGULAR,3pt,Jump Shot,[],1630532,13.091327201051248,4.166666666666666,1610612753,12,12,2024-11-10T23:22:40Z,750000,False,229.0,71.0,1,left,MISS F. Wagner 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Right Corner 3,24+ Right,23.98,Missed,,,,,,,,,,,,,,,,,,
77,PT05M46.00S,2024-11-10T23:22:36.3Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,12,12,2024-11-10T23:22:40Z,760000,False,,,0,,K. George REBOUND (Off:0 Def:2),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Right Corner 3,24+ Right,,,76.0,2.0,2.0,0.0,,,,,,,,,,,,,,
78,PT05M38.00S,2024-11-10T23:22:44.6Z,1,REGULAR,3pt,Jump Shot,[],1642259,69.85873850197109,73.77450980392157,1610612764,12,15,2024-11-10T23:30:01Z,770000,False,119.0,231.0,1,right,A. Sarr 25' 3PT  (5 PTS) (C. Carrington 2 AST),"[1642259, 1642267]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Right Center,25.96,Made,,,,,,,,,,,,,,,5.0,C. Carrington,1642267.0,2.0
80,PT05M22.00S,2024-11-10T23:23:04.4Z,1,REGULAR,foul,personal,[],1642273,,,1610612753,12,15,2024-11-10T23:23:21Z,790000,False,,,0,,K. George personal FOUL (1 PF),"[1642273, 1630532]",1610612764.0,WAS,,,,George,K. George,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,204058.0,1.0,0.0,Wagner,1630532.0,,,,,,,
82,PT05M08.00S,2024-11-10T23:23:39.3Z,1,REGULAR,3pt,Jump Shot,[],203484,6.389618922470433,95.58823529411765,1610612753,12,15,2024-11-10T23:23:46Z,810000,False,-228.0,8.0,1,left,MISS K. Caldwell-Pope 3PT,[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Left Corner 3,24+ Left,22.8,Missed,,,,,,,,,,,,,,,,,,
83,PT05M05.00S,2024-11-10T23:23:42.3Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612753,12,15,2024-11-10T23:23:46Z,820000,False,,,0,,G. Bitadze REBOUND (Off:3 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Left Corner 3,24+ Left,,,82.0,4.0,1.0,3.0,,,,,,,,,,,,,,
84,PT04M58.00S,2024-11-10T23:23:49.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1641710,8.886333771353483,54.41176470588235,1610612753,14,15,2024-11-10T23:23:58Z,830000,False,-22.0,31.0,1,left,A. Black driving Hook (2 PTS),[1641710],1610612753.0,ORL,driving,,,Black,A. Black,,,,,Restricted Area,0-8 Center,3.81,Made,,,,,,,,,,,,,,,2.0,,,
