actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
18,PT10M39.00S,2025-02-13T00:12:13.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,91.98423127463863,38.29656862745098,1610612766,0,2,2025-02-13T00:14:13Z,180000,False,-59.0,23.0,1,right,MISS M. Bridges 6' cutting Layup - blocked,"[1628970, 1631094]",1610612766.0,CHA,cutting,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,6.28,Missed,,,,,,,,,,Banchero,1631094.0,,,,,,,
19,PT10M39.00S,2025-02-13T00:12:13.8Z,1,REGULAR,block,,[],1631094,,,1610612766,0,2,2025-02-13T00:12:18Z,190000,False,,,0,,P. Banchero BLOCK (1 BLK),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M37.00S,2025-02-13T00:12:15.8Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,2,2025-02-13T00:14:13Z,200000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,18.0,,1.0,1.0,0.0,,,,,,,,,
21,PT10M30.00S,2025-02-13T00:12:23.7Z,1,REGULAR,turnover,lost ball,[],1630532,,,1610612753,0,2,2025-02-13T00:14:38Z,210000,False,,,0,,F. Wagner lost ball TURNOVER (1 TO),"[1630532, 1630182]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,1.0,Green,1630182.0,,,,
22,PT10M30.00S,2025-02-13T00:12:23.7Z,1,REGULAR,steal,,[],1630182,,,1610612766,0,2,2025-02-13T00:12:25Z,220000,False,,,0,,J. Green STEAL (1 STL),[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M26.00S,2025-02-13T00:12:27.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630182,86.85939553219448,57.24954044117647,1610612766,0,4,2025-02-13T00:14:57Z,230000,False,36.0,71.0,1,right,J. Green 7' running Layup (2 PTS) (N. Smith Jr. 1 AST),"[1630182, 1641733]",1610612766.0,CHA,running,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,7.97,Made,2.0,N. Smith Jr.,1641733.0,1.0,,,,,,,,,,,,,,
25,PT10M06.00S,2025-02-13T00:12:46.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,16.4257555847569,55.81724877450981,1610612753,2,4,2025-02-13T00:15:18Z,250000,False,-29.0,102.0,1,left,F. Wagner 10' pullup Jump Shot (2 PTS),[1630532],1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,10.6,Made,2.0,,,,,,,,,,,,,,,,,
26,PT09M51.00S,2025-02-13T00:13:02.0Z,1,REGULAR,3pt,Jump Shot,[],1641733,70.54040735873849,76.93780637254902,1610612766,2,4,2025-02-13T00:15:34Z,260000,False,135.0,224.0,1,right,MISS N. Smith Jr. 26' step back 3PT,[1641733],1610612766.0,CHA,step back,,,Smith Jr.,N. Smith Jr.,,,,,Above the Break 3,24+ Right Center,26.17,Missed,,,,,,,,,,,,,,,,,,
27,PT09M48.00S,2025-02-13T00:13:05.0Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,2,4,2025-02-13T00:15:34Z,270000,False,,,0,,P. Banchero REBOUND (Off:0 Def:2),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,,,,,,,26.0,,2.0,2.0,0.0,,,,,,,,,
28,PT09M38.00S,2025-02-13T00:13:12.9Z,1,REGULAR,3pt,Jump Shot,[],1630175,36.16951379763469,41.64368872549019,1610612753,5,4,2025-02-13T00:16:03Z,280000,False,42.0,287.0,1,left,C. Anthony 29' 3PT  (3 PTS) (P. Banchero 1 AST),"[1630175, 1631094]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Center,29.05,Made,3.0,P. Banchero,1631094.0,1.0,,,,,,,,,,,,,,
30,PT09M26.00S,2025-02-13T00:13:28.8Z,1,REGULAR,3pt,Jump Shot,[],1628970,74.55650459921156,16.17647058823529,1610612766,5,7,2025-02-13T00:16:21Z,300000,False,-169.0,187.0,1,right,M. Bridges 25' 3PT pullup (3 PTS) (N. Smith Jr. 2 AST),"[1628970, 1641733]",1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,25.19,Made,3.0,N. Smith Jr.,1641733.0,2.0,,,,,,,,,,,,,,
32,PT09M07.00S,2025-02-13T00:13:45.5Z,1,REGULAR,2pt,Jump Shot,[],1631094,24.704336399474386,35.27113970588235,1610612753,7,7,2025-02-13T00:16:47Z,320000,False,74.0,180.0,1,left,P. Banchero 19' pullup Jump Shot (2 PTS) (G. Bitadze 1 AST),"[1631094, 1629048]",1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,19.42,Made,2.0,G. Bitadze,1629048.0,1.0,,,,,,,,,,,,,,
33,PT08M59.00S,2025-02-13T00:13:54.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203901,88.43626806833115,46.05545343137255,1610612766,7,9,2025-02-13T00:17:56Z,330000,False,-20.0,56.0,1,right,E. Payton driving Layup (2 PTS),[203901],1610612766.0,CHA,driving,,,Payton,E. Payton,,,,,In The Paint (Non-RA),0-8 Center,5.96,Made,2.0,,,,,,,,,,,,,,,,,
34,PT08M46.00S,2025-02-13T00:14:07.3Z,1,REGULAR,2pt,Jump Shot,[],1631094,11.563731931668855,30.61427696078431,1610612753,7,9,2025-02-13T00:18:49Z,340000,False,97.0,56.0,1,left,MISS P. Banchero 11' driving floating bank Shot,[1631094],1610612753.0,ORL,driving floating bank,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Right,11.2,Missed,,,,,,,,,,,,,,,,,,
35,PT08M44.00S,2025-02-13T00:14:09.3Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612753,7,9,2025-02-13T00:18:49Z,350000,False,,,0,,G. Bitadze REBOUND (Off:1 Def:0),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Mid-Range,8-16 Right,,,,,,,34.0,,1.0,0.0,1.0,,,,,,,,,
36,PT08M42.00S,2025-02-13T00:14:13.6Z,1,REGULAR,foul,personal,['2freethrow'],203901,,,1610612753,7,9,2025-02-13T00:14:24Z,360000,False,,,0,,E. Payton shooting personal FOUL (1 PF) (Bitadze 2 FT),"[203901, 1629048]",1610612766.0,CHA,shooting,,,Payton,E. Payton,,,,,Restricted Area,0-8 Center,,,,,,,,200832.0,,,,,,,,,1.0,0.0,Bitadze,1629048.0
38,PT08M42.00S,2025-02-13T00:14:38.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629048,,,1610612753,7,9,2025-02-13T00:14:38Z,380000,False,,,0,,MISS G. Bitadze Free Throw 1 of 2,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
39,PT08M42.00S,2025-02-13T00:14:38.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,7,9,2025-02-13T00:14:38Z,390000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,
40,PT08M42.00S,2025-02-13T00:14:52.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629048,,,1610612753,8,9,2025-02-13T00:14:52Z,400000,False,,,0,,G. Bitadze Free Throw 2 of 2 (1 PTS),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
41,PT08M26.00S,2025-02-13T00:15:11.9Z,1,REGULAR,3pt,Jump Shot,[],1628970,73.90563403416557,13.45741421568627,1610612766,8,9,2025-02-13T00:19:49Z,410000,False,-183.0,193.0,1,right,MISS M. Bridges 26' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,26.56,Missed,,,,,,,,,,,,,,,,,,
42,PT08M24.00S,2025-02-13T00:15:13.9Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,8,9,2025-02-13T00:19:21Z,420000,False,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Left Center,,,,,,,41.0,,1.0,1.0,0.0,,,,,,,,,
43,PT08M13.00S,2025-02-13T00:15:25.0Z,1,REGULAR,3pt,Jump Shot,[],1630175,35.906701708278575,50.61274509803921,1610612753,8,9,2025-02-13T00:19:46Z,430000,False,-3.0,285.0,1,left,MISS C. Anthony 28' 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Center,28.5,Missed,,,,,,,,,,,,,,,,,,
44,PT08M11.00S,2025-02-13T00:15:27.0Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612753,8,9,2025-02-13T00:19:46Z,440000,False,,,0,,G. Bitadze REBOUND (Off:2 Def:0),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Center,,,,,,,43.0,,2.0,0.0,2.0,,,,,,,,,
45,PT08M11.00S,2025-02-13T00:15:31.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629048,11.038107752956634,47.89368872549019,1610612753,8,9,2025-02-13T00:20:03Z,450000,False,11.0,51.0,1,left,MISS G. Bitadze tip Layup,[1629048],1610612753.0,ORL,tip,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,5.24,Missed,,,,,,,,,,,,,,,,,,
46,PT08M09.00S,2025-02-13T00:15:33.4Z,1,REGULAR,rebound,offensive,[],203484,,,1610612753,8,9,2025-02-13T00:20:03Z,460000,False,,,0,,K. Caldwell-Pope REBOUND (Off:1 Def:1),[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,45.0,,2.0,1.0,1.0,,,,,,,,,
47,PT08M09.00S,2025-02-13T00:15:33.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203484,9.461235216819972,49.11917892156863,1610612753,10,9,2025-02-13T00:20:10Z,470000,False,4.0,36.0,1,left,K. Caldwell-Pope tip Layup (2 PTS),[203484],1610612753.0,ORL,tip,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,3.67,Made,2.0,,,,,,,,,,,,,,,,,
48,PT08M01.00S,2025-02-13T00:15:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,91.72141918528253,45.72993259803921,1610612766,10,11,2025-02-13T00:20:38Z,480000,False,-21.0,25.0,1,right,J. Nurkić cutting Layup (4 PTS) (N. Smith Jr. 3 AST),"[203994, 1641733]",1610612766.0,CHA,cutting,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,3.31,Made,4.0,N. Smith Jr.,1641733.0,3.0,,,,,,,,,,,,,,
49,PT07M44.00S,2025-02-13T00:15:55.8Z,1,REGULAR,3pt,Jump Shot,[],1629048,30.075558475689874,21.790747549019613,1610612753,10,11,2025-02-13T00:21:04Z,490000,False,141.0,230.0,1,left,MISS G. Bitadze 27' 3PT,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Right Center,27.0,Missed,,,,,,,,,,,,,,,,,,
50,PT07M41.00S,2025-02-13T00:15:58.8Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,10,11,2025-02-13T00:20:54Z,500000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,,,,49.0,,1.0,1.0,0.0,,,,,,,,,
52,PT07M21.00S,2025-02-13T00:16:17.5Z,1,REGULAR,2pt,Jump Shot,[],1628970,98.02890932982918,78.65349264705883,1610612766,10,11,2025-02-13T00:21:41Z,510000,False,143.0,-34.0,1,right,MISS M. Bridges 14' fadeaway Shot - blocked,"[1628970, 1629048]",1610612766.0,CHA,fadeaway,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,14.73,Missed,,,,,,,,,,Bitadze,1629048.0,,,,,,,
53,PT07M21.00S,2025-02-13T00:16:17.5Z,1,REGULAR,block,,[],1629048,,,1610612766,10,11,2025-02-13T00:16:20Z,520000,False,,,0,,G. Bitadze BLOCK (1 BLK),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
54,PT07M19.00S,2025-02-13T00:16:19.5Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,10,11,2025-02-13T00:21:41Z,530000,False,,,0,,G. Bitadze REBOUND (Off:2 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Mid-Range,8-16 Right,,,,,,,52.0,,3.0,1.0,2.0,,,,,,,,,
55,PT07M09.00S,2025-02-13T00:16:28.6Z,1,REGULAR,3pt,Jump Shot,[],1631094,24.17871222076215,89.92800245098039,1610612753,13,11,2025-02-13T00:22:02Z,540000,False,-200.0,175.0,1,left,P. Banchero 26' 3PT step back (5 PTS) (C. Anthony 1 AST),"[1631094, 1630175]",1610612753.0,ORL,step back,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,26.53,Made,5.0,C. Anthony,1630175.0,1.0,,,,,,,,,,,,,,
57,PT07M08.00S,2025-02-13T00:16:33.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,13,11,2025-02-13T00:16:33Z,560000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M08.00S,2025-02-13T00:17:05.7Z,1,REGULAR,substitution,out,[],203994,,,1610612766,13,11,2025-02-13T00:19:17Z,570000,False,,,0,,SUB out: J. Nurkić,[203994],1610612766.0,CHA,,,,Nurkić,J. Nurkić,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M08.00S,2025-02-13T00:17:05.7Z,1,REGULAR,substitution,in,[],201959,,,1610612766,13,11,2025-02-13T00:19:17Z,580000,False,,,0,,SUB in: T. Gibson,[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M55.00S,2025-02-13T00:19:52.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628970,89.48751642575559,47.77113970588235,1610612766,13,11,2025-02-13T00:22:29Z,590000,False,-11.0,46.0,1,right,MISS M. Bridges driving bank Hook,[1628970],1610612766.0,CHA,driving bank,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,4.76,Missed,,,,,,,,,,,,,,,,,,
63,PT06M54.00S,2025-02-13T00:19:53.7Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,13,11,2025-02-13T00:22:29Z,600000,False,,,0,,C. Anthony REBOUND (Off:0 Def:2),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,62.0,,2.0,2.0,0.0,,,,,,,,,
64,PT06M48.00S,2025-02-13T00:19:59.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631094,32.052808804204986,71.30055147058823,1610612753,13,11,2025-02-13T00:22:58Z,610000,False,-107.0,249.0,1,left,MISS P. Banchero 27' running 3PT,[1631094],1610612753.0,ORL,running,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,27.06,Missed,,,,,,,,,,,,,,,,,,
65,PT06M45.00S,2025-02-13T00:20:02.6Z,1,REGULAR,rebound,defensive,[],201959,,,1610612766,13,11,2025-02-13T00:22:58Z,620000,False,,,0,,T. Gibson REBOUND (Off:0 Def:1),[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,Above the Break 3,24+ Left Center,,,,,,,64.0,,1.0,1.0,0.0,,,,,,,,,
66,PT06M31.00S,2025-02-13T00:20:15.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201959,87.77923784494087,55.43428308823529,1610612766,13,11,2025-02-13T00:23:42Z,630000,False,27.0,62.0,1,right,MISS T. Gibson 6' turnaround Hook,[201959],1610612766.0,CHA,turnaround,,,Gibson,T. Gibson,,,,,In The Paint (Non-RA),0-8 Center,6.81,Missed,,,,,,,,,,,,,,,,,,
67,PT06M29.00S,2025-02-13T00:20:17.7Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,13,11,2025-02-13T00:23:42Z,640000,False,,,0,,G. Bitadze REBOUND (Off:2 Def:2),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,66.0,,4.0,2.0,2.0,,,,,,,,,
68,PT06M15.00S,2025-02-13T00:20:32.8Z,1,REGULAR,3pt,Jump Shot,[],203484,31.718134034165573,72.30392156862744,1610612753,13,11,2025-02-13T00:24:01Z,650000,False,-112.0,246.0,1,left,MISS K. Caldwell-Pope 26' 3PT,[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,26.98,Missed,,,,,,,,,,,,,,,,,,
69,PT06M12.00S,2025-02-13T00:20:35.8Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,13,11,2025-02-13T00:24:01Z,660000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,,68.0,,2.0,2.0,0.0,,,,,,,,,
70,PT06M04.00S,2025-02-13T00:20:42.8Z,1,REGULAR,2pt,Jump Shot,[],1628970,93.29829172141919,72.79794730392157,1610612766,13,13,2025-02-13T00:24:22Z,670000,False,114.0,10.0,1,right,M. Bridges 11' driving floating Jump Shot (5 PTS),[1628970],1610612766.0,CHA,driving floating,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,11.45,Made,5.0,,,,,,,,,,,,,,,,,
71,PT05M44.00S,2025-02-13T00:21:03.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629048,12.089356110381075,50.22212009803921,1610612753,13,13,2025-02-13T00:24:46Z,680000,False,-1.0,61.0,1,left,MISS G. Bitadze 6' driving Hook,[1629048],1610612753.0,ORL,driving,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,6.11,Missed,,,,,,,,,,,,,,,,,,
72,PT05M43.00S,2025-02-13T00:21:04.9Z,1,REGULAR,rebound,defensive,[],201959,,,1610612766,13,13,2025-02-13T00:24:46Z,690000,False,,,0,,T. Gibson REBOUND (Off:0 Def:2),[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,71.0,,2.0,2.0,0.0,,,,,,,,,
73,PT05M33.00S,2025-02-13T00:21:14.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,86.59658344283837,59.34819240196079,1610612766,13,13,2025-02-13T00:25:12Z,700000,False,47.0,73.0,1,right,MISS M. Bridges 8' driving Layup,[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Right,8.71,Missed,,,,,,,,,,,,,,,,,,
74,PT05M31.00S,2025-02-13T00:21:16.7Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,13,13,2025-02-13T00:25:12Z,710000,False,,,0,,P. Banchero REBOUND (Off:0 Def:3),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,73.0,,3.0,3.0,0.0,,,,,,,,,
75,PT05M23.00S,2025-02-13T00:21:23.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,12.352168199737193,49.100030637254896,1610612753,15,13,2025-02-13T00:25:43Z,720000,False,4.0,64.0,1,left,C. Anthony 6' driving Layup (5 PTS),[1630175],1610612753.0,ORL,driving,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),0-8 Center,6.38,Made,5.0,,,,,,,,,,,,,,,,,
76,PT05M08.00S,2025-02-13T00:21:39.5Z,1,REGULAR,foul,personal,[],203484,,,1610612766,15,13,2025-02-13T00:26:03Z,730000,False,,,0,,K. Caldwell-Pope personal FOUL (1 PF),"[203484, 1630182]",1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,,,,,,,,1628480.0,,,,,,,,,1.0,0.0,Green,1630182.0
78,PT05M08.00S,2025-02-13T00:21:47.1Z,1,REGULAR,substitution,out,[],1629048,,,1610612766,15,13,2025-02-13T00:21:59Z,750000,False,,,0,,SUB out: G. Bitadze,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M08.00S,2025-02-13T00:21:47.1Z,1,REGULAR,substitution,out,[],1630182,,,1610612766,15,13,2025-02-13T00:21:59Z,760000,False,,,0,,SUB out: J. Green,[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
