actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
20,PT10M29.00S,2025-03-07T00:13:20.9Z,1,REGULAR,steal,,[],1629632,,,1610612741,2,2,2025-03-07T00:13:23Z,200000,False,,,0,,C. White STEAL (1 STL),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
21,PT10M21.00S,2025-03-07T00:13:28.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630200,26.231931668856767,82.59803921568627,1610612741,2,2,2025-03-07T00:13:34Z,210000,False,-163.0,194.0,1,left,MISS T. Jones 25' 3PT,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,25.35,Missed,,,,,,,,,,,,,,,,,,
22,PT10M20.00S,2025-03-07T00:13:29.2Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612741,2,2,2025-03-07T00:14:33Z,220000,False,,,0,,J. Giddey REBOUND (Off:2 Def:0),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,21.0,2.0,0.0,2.0,,,,,,,,,,,,,,
23,PT10M19.00S,2025-03-07T00:13:33.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1630581,5.590000152587891,50.0,1610612741,2,2,2025-03-07T00:14:19Z,230000,False,0.0,0.0,1,left,MISS J. Giddey tip Layup,[1630581],1610612741.0,CHI,tip,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
24,PT10M18.00S,2025-03-07T00:13:34.4Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,2,2,2025-03-07T00:14:19Z,240000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M59.00S,2025-03-07T00:13:50.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,84.83902759526939,54.90196078431373,1610612753,2,2,2025-03-07T00:14:50Z,250000,False,25.0,90.0,1,right,MISS P. Banchero 9' driving floating Shot,[1631094],1610612753.0,ORL,driving floating,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,9.33,Missed,,,,,,,,,,,,,,,,,,
26,PT09M56.00S,2025-03-07T00:13:53.8Z,1,REGULAR,rebound,offensive,[],1628976,,,1610612753,2,2,2025-03-07T00:13:54Z,260000,False,,,0,,W. Carter Jr. REBOUND (Off:1 Def:0),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
27,PT09M56.00S,2025-03-07T00:13:53.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628976,92.59198423127464,49.50980392156863,1610612753,4,2,2025-03-07T00:14:02Z,270000,False,-2.0,17.0,1,right,W. Carter Jr. putback DUNK (2 PTS),[1628976],1610612753.0,ORL,putback,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,1.73,Made,,,,,,,,,,,2.0,,,,,,,
28,PT09M47.00S,2025-03-07T00:14:05.0Z,1,REGULAR,foul,offensive,[],1628380,,,1610612741,4,2,2025-03-07T00:14:13Z,280000,False,,,0,,Z. Collins offensive FOUL (1 PF),"[1628380, 1630532]",1610612741.0,CHI,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Left Center,,,,,,,1628480.0,,1.0,0.0,Wagner,1630532.0,,,,,,,,
30,PT09M47.00S,2025-03-07T00:14:05.0Z,1,REGULAR,turnover,offensive foul,[],1628380,,,1610612741,4,2,2025-03-07T00:14:05Z,300000,False,,,0,,Z. Collins offensive foul TURNOVER (1 TO),[1628380],1610612741.0,CHI,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Left Center,,,,,,,1628480.0,1.0,,,,,,,,,,,,
31,PT09M31.00S,2025-03-07T00:14:36.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631094,66.04796320630749,59.31372549019608,1610612753,4,2,2025-03-07T00:14:40Z,310000,False,47.0,267.0,1,right,MISS P. Banchero 27' 3PT,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,27.06,Missed,,,,,,,,,,,,,,,,,,
32,PT09M28.00S,2025-03-07T00:14:39.3Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612741,4,2,2025-03-07T00:14:40Z,320000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT09M25.00S,2025-03-07T00:14:43.1Z,1,REGULAR,foul,personal,['2freethrow'],1628976,,,1610612741,4,2,2025-03-07T00:15:06Z,330000,False,,,0,,W. Carter Jr. shooting personal FOUL (2 PF) (Giddey 2 FT),"[1628976, 1630581]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,1627534.0,,2.0,0.0,Giddey,1630581.0,,,,,,,,
35,PT09M25.00S,2025-03-07T00:15:10.0Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630581,,,1610612741,4,3,2025-03-07T00:15:10Z,350000,False,,,0,,J. Giddey Free Throw 1 of 2 (1 PTS),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
36,PT09M25.00S,2025-03-07T00:15:26.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630581,,,1610612741,4,4,2025-03-07T00:15:26Z,360000,False,,,0,,J. Giddey Free Throw 2 of 2 (2 PTS),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
37,PT09M11.00S,2025-03-07T00:15:45.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628976,93.9060446780552,51.9607843137255,1610612753,6,4,2025-03-07T00:15:51Z,370000,False,10.0,5.0,1,right,W. Carter Jr. alley-oop DUNK (4 PTS) (F. Wagner 1 AST),"[1628976, 1630532]",1610612753.0,ORL,alley-oop,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,1.09,Made,,,,,,,,,,,4.0,F. Wagner,1630532.0,1.0,,,,
39,PT09M11.00S,2025-03-07T00:15:48.4Z,1,REGULAR,foul,personal,['1freethrow'],1628380,,,1610612753,6,4,2025-03-07T00:15:56Z,390000,False,,,0,,Z. Collins shooting personal FOUL (2 PF) (Carter Jr. 1 FT),"[1628380, 1628976]",1610612741.0,CHI,shooting,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,,,,,1628480.0,,2.0,0.0,Carter Jr.,1628976.0,,,,,,,,
41,PT09M11.00S,2025-03-07T00:16:16.8Z,1,REGULAR,freethrow,1 of 1,[],1628976,,,1610612753,6,4,2025-03-07T00:16:19Z,410000,False,,,0,,MISS W. Carter Jr. Free Throw 1 of 1,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
42,PT09M09.00S,2025-03-07T00:16:18.8Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612741,6,4,2025-03-07T00:16:19Z,420000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612741.0,CHI,,,,Collins,Z. Collins,,,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT09M03.00S,2025-03-07T00:16:24.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641824,9.280551905387648,44.6078431372549,1610612741,6,4,2025-03-07T00:16:28Z,430000,False,27.0,35.0,1,left,MISS M. Buzelis driving Layup,[1641824],1610612741.0,CHI,driving,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,4.4,Missed,,,,,,,,,,,,,,,,,,
44,PT09M00.00S,2025-03-07T00:16:26.4Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612741,6,4,2025-03-07T00:16:26Z,440000,False,,,0,,J. Giddey REBOUND (Off:3 Def:0),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,43.0,3.0,0.0,3.0,,,,,,,,,,,,,,
45,PT08M50.00S,2025-03-07T00:16:37.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630200,16.245072273324574,41.42156862745098,1610612741,6,4,2025-03-07T00:16:56Z,450000,False,43.0,100.0,1,left,MISS T. Jones 10' driving floating Shot,[1630200],1610612741.0,CHI,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,10.9,Missed,,,,,,,,,,,,,,,,,,
46,PT08M48.00S,2025-03-07T00:16:39.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,6,4,2025-03-07T00:16:56Z,460000,False,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,45.0,,,,,,,,,,,,,,,,,
47,PT08M48.00S,2025-03-07T00:16:43.4Z,1,REGULAR,foul,personal,[],1630581,,,1610612753,6,4,2025-03-07T00:16:50Z,470000,False,,,0,,J. Giddey loose ball personal FOUL (1 PF),"[1630581, 1631094]",1610612741.0,CHI,loose ball,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,,1627534.0,,1.0,0.0,Banchero,1631094.0,,,,,,,,
49,PT08M28.00S,2025-03-07T00:17:14.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,92.9862023653088,53.18627450980392,1610612753,8,4,2025-03-07T00:17:20Z,490000,False,16.0,13.0,1,right,C. Anthony driving finger roll Layup (2 PTS),[1630175],1610612753.0,ORL,driving finger roll,,,Anthony,C. Anthony,,,,,Restricted Area,0-8 Center,2.08,Made,,,,,,,,,,,2.0,,,,,,,
50,PT08M23.00S,2025-03-07T00:17:20.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,7.966491458607096,54.166666666666664,1610612741,8,6,2025-03-07T00:17:45Z,500000,False,-21.0,22.0,1,left,T. Jones driving finger roll Layup (2 PTS) (C. White 1 AST),"[1630200, 1629632]",1610612741.0,CHI,driving finger roll,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,3.06,Made,,,,,,,,,,,2.0,C. White,1629632.0,1.0,,,,
51,PT08M08.00S,2025-03-07T00:17:34.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,81.15965834428384,49.50980392156863,1610612753,8,6,2025-03-07T00:17:39Z,510000,False,-2.0,125.0,1,right,MISS W. Carter Jr. 12' Jump Shot,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Center,12.46,Missed,,,,,,,,,,,,,,,,,,
53,PT08M08.00S,2025-03-07T00:17:34.7Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,8,6,2025-03-07T00:17:39Z,520000,False,,,0,,J. Giddey REBOUND (Off:3 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,,,51.0,4.0,1.0,3.0,,,,,,,,,,,,,,
55,PT08M02.00S,2025-03-07T00:17:44.9Z,1,REGULAR,substitution,out,[],1628380,,,1610612741,8,6,2025-03-07T00:17:57Z,540000,False,,,0,,SUB out: Z. Collins,[1628380],1610612741.0,CHI,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT08M02.00S,2025-03-07T00:17:44.9Z,1,REGULAR,substitution,in,[],1630188,,,1610612741,8,6,2025-03-07T00:17:57Z,550000,False,,,0,,SUB in: J. Smith,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M56.00S,2025-03-07T00:18:15.1Z,1,REGULAR,3pt,Jump Shot,[],1641824,11.383048620236531,3.9215686274509802,1610612741,8,6,2025-03-07T00:18:28Z,560000,False,230.0,55.0,1,left,MISS M. Buzelis 3PT,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Right Corner 3,24+ Right,23.68,Missed,,,,,,,,,,,,,,,,,,
58,PT07M54.00S,2025-03-07T00:18:17.1Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612741,8,6,2025-03-07T00:18:28Z,570000,False,,,0,,J. Giddey REBOUND (Off:4 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Right Corner 3,24+ Right,,,57.0,5.0,1.0,4.0,,,,,,,,,,,,,,
59,PT07M49.00S,2025-03-07T00:18:22.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629632,33.98488830486202,70.58823529411765,1610612741,8,9,2025-03-07T00:18:30Z,580000,False,-103.0,267.0,1,left,C. White 28' 3PT  (3 PTS) (J. Giddey 1 AST),"[1629632, 1630581]",1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,28.61,Made,,,,,,,,,,,3.0,J. Giddey,1630581.0,1.0,,,,
61,PT07M32.00S,2025-03-07T00:18:39.7Z,1,REGULAR,3pt,Jump Shot,[],1630175,86.28449408672799,3.6764705882352944,1610612753,11,9,2025-03-07T00:18:44Z,600000,False,-232.0,76.0,1,right,C. Anthony 24' 3PT  (5 PTS) (W. Carter Jr. 1 AST),"[1630175, 1628976]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Left Corner 3,24+ Left,24.39,Made,,,,,,,,,,,5.0,W. Carter Jr.,1628976.0,1.0,,,,
63,PT07M07.00S,2025-03-07T00:19:05.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630188,7.046649145860711,56.127450980392155,1610612741,11,9,2025-03-07T00:31:15Z,620000,False,-31.0,14.0,1,left,MISS J. Smith bank Shot,[1630188],1610612741.0,CHI,bank,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,3.35,Missed,,,,,,,,,,,,,,,,,,
64,PT07M07.00S,2025-03-07T00:19:05.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,11,9,2025-03-07T00:19:13Z,630000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Restricted Area,0-8 Center,,,63.0,,,,,,,,,,,,,,,,,
65,PT07M07.00S,2025-03-07T00:19:11.0Z,1,REGULAR,foul,personal,[],203484,,,1610612741,11,9,2025-03-07T00:19:28Z,640000,False,,,0,,K. Caldwell-Pope loose ball personal FOUL (1 PF),"[203484, 1630581]",1610612753.0,ORL,loose ball,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,,,,,,,1627534.0,,1.0,0.0,Giddey,1630581.0,,,,,,,,
67,PT07M02.00S,2025-03-07T00:19:30.6Z,1,REGULAR,foul,personal,[],1630175,,,1610612741,11,9,2025-03-07T00:19:49Z,660000,False,,,0,,C. Anthony personal FOUL (1 PF),"[1630175, 1629632]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,200832.0,,1.0,0.0,White,1629632.0,,,,,,,,
69,PT06M56.00S,2025-03-07T00:19:56.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641824,32.53942181340342,60.049019607843135,1610612741,11,12,2025-03-07T00:20:01Z,680000,False,-50.0,253.0,1,left,M. Buzelis 25' 3PT  (3 PTS) (J. Smith 1 AST),"[1641824, 1630188]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Center,25.83,Made,,,,,,,,,,,3.0,J. Smith,1630188.0,1.0,,,,
71,PT06M45.00S,2025-03-07T00:20:09.0Z,1,REGULAR,foul,personal,['2freethrow'],1641824,,,1610612753,11,12,2025-03-07T00:20:22Z,700000,False,,,0,,M. Buzelis shooting personal FOUL (1 PF) (Banchero 2 FT),"[1641824, 1631094]",1610612741.0,CHI,shooting,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,,,,,200832.0,,1.0,0.0,Banchero,1631094.0,,,,,,,,
73,PT06M45.00S,2025-03-07T00:20:25.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,11,12,2025-03-07T00:20:25Z,720000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M45.00S,2025-03-07T00:20:27.8Z,1,REGULAR,substitution,out,[],1630532,,,1610612753,11,12,2025-03-07T00:23:00Z,730000,False,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M45.00S,2025-03-07T00:20:27.8Z,1,REGULAR,substitution,out,[],1628976,,,1610612753,11,12,2025-03-07T00:23:00Z,740000,False,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M45.00S,2025-03-07T00:20:27.8Z,1,REGULAR,substitution,out,[],1629632,,,1610612753,11,12,2025-03-07T00:23:00Z,750000,False,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M45.00S,2025-03-07T00:20:27.8Z,1,REGULAR,substitution,in,[],1629048,,,1610612753,11,12,2025-03-07T00:23:00Z,760000,False,,,0,,SUB in: G. Bitadze,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M45.00S,2025-03-07T00:20:27.8Z,1,REGULAR,substitution,in,[],1641724,,,1610612753,11,12,2025-03-07T00:23:00Z,770000,False,,,0,,SUB in: J. Howard,[1641724],1610612753.0,ORL,,,,Howard,J. Howard,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M45.00S,2025-03-07T00:20:27.8Z,1,REGULAR,substitution,in,[],1628989,,,1610612753,11,12,2025-03-07T00:23:00Z,780000,False,,,0,,SUB in: K. Huerter,[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M45.00S,2025-03-07T00:23:27.9Z,1,REGULAR,freethrow,1 of 2,[],1631094,,,1610612753,12,12,2025-03-07T00:23:27Z,790000,False,,,0,,P. Banchero Free Throw 1 of 2 (1 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
82,PT06M45.00S,2025-03-07T00:23:46.9Z,1,REGULAR,freethrow,2 of 2,[],1631094,,,1610612753,13,12,2025-03-07T00:23:46Z,800000,False,,,0,,P. Banchero Free Throw 2 of 2 (2 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
83,PT06M31.00S,2025-03-07T00:24:02.3Z,1,REGULAR,2pt,Jump Shot,[],1641824,18.347568988173457,84.31372549019608,1610612741,13,14,2025-03-07T00:24:09Z,810000,False,-172.0,120.0,1,left,M. Buzelis 20' pullup Jump Shot (5 PTS) (T. Jones 1 AST),"[1641824, 1630200]",1610612741.0,CHI,pullup,,,Buzelis,M. Buzelis,,,,,Mid-Range,16-24 Left,20.94,Made,,,,,,,,,,,5.0,T. Jones,1630200.0,1.0,,,,
85,PT06M19.00S,2025-03-07T00:24:13.7Z,1,REGULAR,3pt,Jump Shot,[],1630175,61.97437582128777,45.588235294117645,1610612753,13,14,2025-03-07T00:24:19Z,830000,False,-22.0,305.0,1,right,MISS C. Anthony 30' 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Center,30.57,Missed,,,,,,,,,,,,,,,,,,
86,PT06M17.00S,2025-03-07T00:24:15.7Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612741,13,14,2025-03-07T00:24:19Z,840000,False,,,0,,T. Jones REBOUND (Off:0 Def:2),[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,,,85.0,2.0,2.0,0.0,,,,,,,,,,,,,,
