actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
18,PT10M19.00S,2025-01-19T23:12:42.3Z,1,REGULAR,2pt,Jump Shot,[],1631128,77.87450722733246,24.754901960784316,1610612743,4,0,2025-01-19T23:16:24Z,180000,False,-126.0,155.0,1,right,MISS C. Braun 20' pullup Shot,[1631128],1610612743.0,DEN,pullup,,,Braun,C. Braun,,,,,Mid-Range,16-24 Left Center,20.03,Missed,,,,,,,,,,,,,,,,,,
19,PT10M14.00S,2025-01-19T23:12:47.7Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,4,0,2025-01-19T23:12:47Z,190000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Left Center,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT10M04.00S,2025-01-19T23:12:57.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,7.703679369250986,54.90196078431373,1610612753,4,0,2025-01-19T23:13:07Z,200000,False,-25.0,20.0,1,left,MISS W. Carter Jr. Layup - blocked,"[1628976, 1629008]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,3.16,Missed,,,,,,,,,Porter Jr.,1629008.0,,,,,,,,
21,PT10M04.00S,2025-01-19T23:12:57.5Z,1,REGULAR,block,,[],1629008,,,1610612753,4,0,2025-01-19T23:12:59Z,210000,False,,,0,,M. Porter Jr. BLOCK (1 BLK),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M01.00S,2025-01-19T23:13:00.5Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,4,0,2025-01-19T23:13:07Z,220000,False,,,0,,N. Jokić REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,
23,PT09M55.00S,2025-01-19T23:13:06.9Z,1,REGULAR,3pt,Jump Shot,[],201566,72.7496714848883,17.401960784313726,1610612743,4,3,2025-01-19T23:13:22Z,230000,False,-163.0,204.0,1,right,R. Westbrook 26' 3PT  (3 PTS) (J. Murray 1 AST),"[201566, 1627750]",1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Left Center,26.09,Made,3.0,,,,,J. Murray,1627750.0,1.0,,,,,,,,,,
25,PT09M34.00S,2025-01-19T23:13:28.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628976,10.463206307490145,54.65686274509803,1610612753,6,3,2025-01-19T23:13:37Z,250000,False,-23.0,46.0,1,left,W. Carter Jr. floating Jump Shot (4 PTS) (P. Banchero 1 AST),"[1628976, 1631094]",1610612753.0,ORL,floating,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.15,Made,4.0,,,,,P. Banchero,1631094.0,1.0,,,,,,,,,,
28,PT09M16.00S,2025-01-19T23:13:46.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,89.83245729303549,54.41176470588235,1610612743,6,3,2025-01-19T23:13:55Z,270000,False,22.0,43.0,1,right,MISS M. Porter Jr. Layup,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,4.84,Missed,,,,,,,,,,,,,,,,,,
29,PT09M13.00S,2025-01-19T23:13:49.3Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,6,3,2025-01-19T23:13:55Z,280000,False,,,0,,P. Banchero REBOUND (Off:0 Def:2),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,
30,PT09M05.00S,2025-01-19T23:13:57.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,10.726018396846255,44.85294117647059,1610612753,6,3,2025-01-19T23:14:06Z,290000,False,26.0,48.0,1,left,MISS P. Banchero driving floating bank Shot,[1631094],1610612753.0,ORL,driving floating bank,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,5.47,Missed,,,,,,,,,,,,,,,,,,
31,PT08M59.00S,2025-01-19T23:14:03.3Z,1,REGULAR,rebound,offensive,[],203484,,,1610612753,6,3,2025-01-19T23:14:06Z,300000,False,,,0,,K. Caldwell-Pope REBOUND (Off:1 Def:0),[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),0-8 Center,,,,30.0,1.0,0.0,1.0,,,,,,,,,,,,,
32,PT08M59.00S,2025-01-19T23:14:02.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203484,5.590000152587891,50.0,1610612753,6,3,2025-01-19T23:14:02Z,310000,False,0.0,0.0,1,left,MISS K. Caldwell-Pope tip Layup,[203484],1610612753.0,ORL,tip,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
33,PT08M58.00S,2025-01-19T23:14:03.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,6,3,2025-01-19T23:14:03Z,320000,False,,,0,,N. Jokić REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,8-16 Left,,,,32.0,3.0,3.0,0.0,,,,,,,,,,,,,
34,PT08M46.00S,2025-01-19T23:14:16.0Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,6,3,2025-01-19T23:14:22Z,330000,False,,,0,,N. Jokić bad pass TURNOVER (1 TO),"[203999, 1641783]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1.0,da Silva,1641783.0,,,,,
35,PT08M46.00S,2025-01-19T23:14:16.0Z,1,REGULAR,steal,,[],1641783,,,1610612753,6,3,2025-01-19T23:14:18Z,340000,False,,,0,,T. da Silva STEAL (1 STL),[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
36,PT08M42.00S,2025-01-19T23:14:20.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203484,7.703679369250986,52.69607843137255,1610612753,8,3,2025-01-19T23:14:35Z,350000,False,-13.0,20.0,1,left,K. Caldwell-Pope running Layup (4 PTS) (T. da Silva 1 AST),"[203484, 1641783]",1610612753.0,ORL,running,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,2.4,Made,4.0,,,,,T. da Silva,1641783.0,1.0,,,,,,,,,,
38,PT08M41.00S,2025-01-19T23:14:31.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,8,3,2025-01-19T23:14:31Z,370000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M24.00S,2025-01-19T23:17:32.2Z,1,REGULAR,2pt,Jump Shot,[],203999,78.79434954007884,47.794117647058826,1610612743,8,5,2025-01-19T23:17:39Z,380000,False,-11.0,147.0,1,right,N. Jokić 14' Jump Shot (2 PTS) (R. Westbrook 1 AST),"[203999, 201566]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,8-16 Center,14.72,Made,2.0,,,,,R. Westbrook,201566.0,1.0,,,,,,,,,,
41,PT08M01.00S,2025-01-19T23:17:54.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641783,7.966491458607096,52.20588235294118,1610612753,10,5,2025-01-19T23:18:01Z,400000,False,-11.0,22.0,1,left,T. da Silva cutting Layup (2 PTS) (W. Carter Jr. 2 AST),"[1641783, 1628976]",1610612753.0,ORL,cutting,,,da Silva,T. da Silva,,,,,Restricted Area,0-8 Center,2.5,Made,2.0,,,,,W. Carter Jr.,1628976.0,2.0,,,,,,,,,,
43,PT07M45.00S,2025-01-19T23:18:11.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,89.96386333771353,40.44117647058824,1610612743,10,7,2025-01-19T23:24:55Z,420000,False,-48.0,42.0,1,right,J. Murray 6' pullup Jump Shot (2 PTS),[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,6.35,Made,2.0,,,,,,,,,,,,,,,,,
44,PT07M34.00S,2025-01-19T23:18:21.7Z,1,REGULAR,3pt,Jump Shot,[],1628976,25.18068331143233,85.04901960784314,1610612753,13,7,2025-01-19T23:20:15Z,430000,False,-175.0,184.0,1,left,W. Carter Jr. 25' 3PT  (7 PTS) (C. Anthony 1 AST),"[1628976, 1630175]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,25.42,Made,7.0,,,,,C. Anthony,1630175.0,1.0,,,,,,,,,,
46,PT07M20.00S,2025-01-19T23:18:37.9Z,1,REGULAR,foul,personal,['2freethrow'],1641783,,,1610612743,13,7,2025-01-19T23:18:50Z,450000,False,,,0,,T. da Silva shooting personal FOUL (1 PF) (Braun 2 FT),"[1641783, 1631128]",1610612753.0,ORL,shooting,,,da Silva,T. da Silva,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,203593.0,1.0,0.0,Braun,1631128.0
48,PT07M20.00S,2025-01-19T23:19:05.2Z,1,REGULAR,freethrow,1 of 2,[],1631128,,,1610612743,13,8,2025-01-19T23:19:05Z,470000,False,,,0,,C. Braun Free Throw 1 of 2 (1 PTS),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
49,PT07M20.00S,2025-01-19T23:19:23.3Z,1,REGULAR,freethrow,2 of 2,[],1631128,,,1610612743,13,9,2025-01-19T23:19:23Z,480000,False,,,0,,C. Braun Free Throw 2 of 2 (2 PTS),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
50,PT07M05.00S,2025-01-19T23:19:40.5Z,1,REGULAR,3pt,Jump Shot,[],1641783,30.042706964520367,70.34313725490196,1610612753,13,9,2025-01-19T23:19:58Z,490000,False,-102.0,230.0,1,left,MISS T. da Silva 25' 3PT,[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Above the Break 3,24+ Left Center,25.14,Missed,,,,,,,,,,,,,,,,,,
51,PT07M03.00S,2025-01-19T23:19:42.5Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,13,9,2025-01-19T23:19:58Z,500000,False,,,0,,N. Jokić REBOUND (Off:0 Def:4),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Left Center,,,,50.0,4.0,4.0,0.0,,,,,,,,,,,,,
52,PT06M56.00S,2025-01-19T23:19:48.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631128,80.76544021024968,61.274509803921575,1610612743,13,11,2025-01-19T23:26:21Z,510000,False,56.0,128.0,1,right,C. Braun 14' running Layup (4 PTS) (R. Westbrook 2 AST),"[1631128, 201566]",1610612743.0,DEN,running,,,Braun,C. Braun,,,,,In The Paint (Non-RA),8-16 Center,14.01,Made,4.0,,,,,R. Westbrook,201566.0,2.0,,,,,,,,,,
54,PT06M46.00S,2025-01-19T23:19:58.7Z,1,REGULAR,turnover,bad pass,[],1631094,,,1610612753,13,11,2025-01-19T23:20:09Z,530000,False,,,0,,P. Banchero bad pass TURNOVER (1 TO),"[1631094, 203999]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1.0,Jokić,203999.0,,,,,
55,PT06M46.00S,2025-01-19T23:19:58.7Z,1,REGULAR,steal,,[],203999,,,1610612743,13,11,2025-01-19T23:22:23Z,540000,False,,,0,,N. Jokić STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
56,PT06M42.00S,2025-01-19T23:20:02.6Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612743,13,11,2025-01-19T23:20:15Z,550000,False,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 1630175]",1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1.0,Anthony,1630175.0,,,,,
57,PT06M42.00S,2025-01-19T23:20:02.6Z,1,REGULAR,steal,,[],1630175,,,1610612753,13,11,2025-01-19T23:20:04Z,560000,False,,,0,,C. Anthony STEAL (1 STL),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
58,PT06M36.00S,2025-01-19T23:20:08.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630175,25.04927726675427,84.55882352941177,1610612753,13,11,2025-01-19T23:27:22Z,570000,False,-173.0,183.0,1,left,MISS C. Anthony 25' running 3PT,[1630175],1610612753.0,ORL,running,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Left Center,25.17,Missed,,,,,,,,,,,,,,,,,,
59,PT06M31.00S,2025-01-19T23:20:14.1Z,1,REGULAR,rebound,offensive,[],1631094,,,1610612753,13,11,2025-01-19T23:20:14Z,580000,False,,,0,,P. Banchero REBOUND (Off:1 Def:2),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,,58.0,3.0,2.0,1.0,,,,,,,,,,,,,
60,PT06M31.00S,2025-01-19T23:20:14.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631094,5.590000152587891,50.0,1610612753,15,11,2025-01-19T23:20:14Z,590000,False,0.0,0.0,1,left,P. Banchero tip Layup (2 PTS),[1631094],1610612753.0,ORL,tip,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
62,PT06M25.00S,2025-01-19T23:20:19.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,92.72339027595268,49.26470588235294,1610612743,15,11,2025-01-19T23:28:04Z,600000,False,-4.0,16.0,1,right,MISS J. Murray driving Layup,[1627750],1610612743.0,DEN,driving,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,1.63,Missed,,,,,,,,,,,,,,,,,,
63,PT06M23.00S,2025-01-19T23:20:21.9Z,1,REGULAR,rebound,offensive,[],1627750,,,1610612743,15,11,2025-01-19T23:20:35Z,610000,False,,,0,,J. Murray REBOUND (Off:1 Def:0),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,62.0,1.0,0.0,1.0,,,,,,,,,,,,,
64,PT06M20.00S,2025-01-19T23:20:25.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,91.01511169513797,57.107843137254896,1610612743,15,13,2025-01-19T23:29:55Z,620000,False,36.0,32.0,1,right,N. Jokić Layup (4 PTS) (J. Murray 2 AST),"[203999, 1627750]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,4.78,Made,4.0,,,,,J. Murray,1627750.0,2.0,,,,,,,,,,
66,PT06M07.00S,2025-01-19T23:20:38.1Z,1,REGULAR,3pt,Jump Shot,[],1641783,9.017739816031538,3.6764705882352944,1610612753,18,13,2025-01-19T23:20:52Z,640000,False,232.0,32.0,1,left,T. da Silva 3PT  (5 PTS) (K. Caldwell-Pope 1 AST),"[1641783, 203484]",1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Right Corner 3,24+ Right,23.38,Made,5.0,,,,,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,
68,PT05M54.00S,2025-01-19T23:20:51.7Z,1,REGULAR,3pt,Jump Shot,[],1629008,67.09921156373193,65.19607843137256,1610612743,18,16,2025-01-19T23:20:59Z,660000,False,76.0,257.0,1,right,M. Porter Jr. 26' 3PT  (3 PTS) (N. Jokić 1 AST),"[1629008, 203999]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,26.78,Made,3.0,,,,,N. Jokić,203999.0,1.0,,,,,,,,,,
70,PT05M45.00S,2025-01-19T23:21:01.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630175,8.360709592641262,55.392156862745104,1610612753,18,16,2025-01-19T23:21:09Z,680000,False,-27.0,26.0,1,left,MISS C. Anthony turnaround Hook,[1630175],1610612753.0,ORL,turnaround,,,Anthony,C. Anthony,,,,,Restricted Area,0-8 Center,3.76,Missed,,,,,,,,,,,,,,,,,,
71,PT05M41.00S,2025-01-19T23:21:05.2Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,18,16,2025-01-19T23:21:09Z,690000,False,,,0,,J. Murray REBOUND (Off:1 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,70.0,2.0,1.0,1.0,,,,,,,,,,,,,
72,PT05M34.00S,2025-01-19T23:21:10.5Z,1,REGULAR,2pt,Jump Shot,[],1627750,76.69185282522996,31.862745098039213,1610612743,18,16,2025-01-19T23:38:40Z,700000,False,-91.0,167.0,1,right,MISS J. Murray 18' turnaround Shot,[1627750],1610612743.0,DEN,turnaround,,,Murray,J. Murray,,,,,Mid-Range,16-24 Left Center,18.97,Missed,,,,,,,,,,,,,,,,,,
73,PT05M31.00S,2025-01-19T23:21:13.5Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,18,16,2025-01-19T23:21:23Z,710000,False,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Mid-Range,16-24 Left Center,,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,,
74,PT05M22.00S,2025-01-19T23:21:23.0Z,1,REGULAR,3pt,Jump Shot,[],1628976,31.882391590013142,59.068627450980394,1610612753,18,16,2025-01-19T23:21:30Z,720000,False,-45.0,247.0,1,left,MISS W. Carter Jr. 25' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,25.13,Missed,,,,,,,,,,,,,,,,,,
75,PT05M19.00S,2025-01-19T23:21:26.0Z,1,REGULAR,rebound,defensive,[],201566,,,1610612743,18,16,2025-01-19T23:21:30Z,730000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Center,,,,74.0,1.0,1.0,0.0,,,,,,,,,,,,,
76,PT05M08.00S,2025-01-19T23:21:36.6Z,1,REGULAR,3pt,Jump Shot,[],201566,70.64717477003943,21.568627450980394,1610612743,18,16,2025-01-19T23:21:42Z,740000,False,-142.0,223.0,1,right,MISS R. Westbrook 26' 3PT,[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Left Center,26.48,Missed,,,,,,,,,,,,,,,,,,
77,PT05M04.00S,2025-01-19T23:21:40.6Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,18,16,2025-01-19T23:21:42Z,750000,False,,,0,,P. Banchero REBOUND (Off:1 Def:3),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,,76.0,4.0,3.0,1.0,,,,,,,,,,,,,
78,PT05M01.00S,2025-01-19T23:21:49.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,18,16,2025-01-19T23:21:49Z,760000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M01.00S,2025-01-19T23:22:40.8Z,1,REGULAR,substitution,out,[],1631094,,,1610612753,18,16,2025-01-19T23:24:22Z,770000,False,,,0,,SUB out: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M01.00S,2025-01-19T23:22:40.8Z,1,REGULAR,substitution,out,[],1630175,,,1610612753,18,16,2025-01-19T23:24:22Z,780000,False,,,0,,SUB out: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M01.00S,2025-01-19T23:22:40.8Z,1,REGULAR,substitution,out,[],1631128,,,1610612753,18,16,2025-01-19T23:24:22Z,790000,False,,,0,,SUB out: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M01.00S,2025-01-19T23:22:40.8Z,1,REGULAR,substitution,out,[],1629008,,,1610612753,18,16,2025-01-19T23:24:22Z,800000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M01.00S,2025-01-19T23:22:40.8Z,1,REGULAR,substitution,out,[],1627750,,,1610612753,18,16,2025-01-19T23:24:22Z,810000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M01.00S,2025-01-19T23:22:40.8Z,1,REGULAR,substitution,in,[],1630243,,,1610612753,18,16,2025-01-19T23:24:22Z,820000,False,,,0,,SUB in: T. Queen,[1630243],1610612753.0,ORL,,,,Queen,T. Queen,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M01.00S,2025-01-19T23:22:40.8Z,1,REGULAR,substitution,in,[],1641710,,,1610612753,18,16,2025-01-19T23:24:22Z,830000,False,,,0,,SUB in: A. Black,[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,,,,,,,,,,,,,,,,,,,,,,
