actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,value,stealPlayerName,stealPersonId
57,PT06M25.00S,2021-12-09T00:17:43.3Z,1,REGULAR,rebound,defensive,[],203552,,,1610612755,12,10,2021-12-09T00:17:48Z,570000,,,0,,S. Curry REBOUND (Off:1 Def:1),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,55.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
58,PT06M21.00S,2021-12-09T00:17:47.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202699,6.915243101182654,50.73529411764706,1610612755,12,12,2021-12-09T00:18:04Z,580000,-4.0,13.0,1,left,T. Harris Layup (5 PTS) (S. Curry 2 AST),"[202699, 203552]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,1.3,Made,,,,,5.0,S. Curry,203552.0,2.0,,,,,,,,,,,
60,PT06M17.00S,2021-12-09T00:17:55.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,12,12,2021-12-09T00:17:55Z,600000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M17.00S,2021-12-09T00:18:44.9Z,1,REGULAR,substitution,out,[],1630178,,,1610612766,12,12,2021-12-09T00:20:37Z,610000,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M17.00S,2021-12-09T00:18:44.9Z,1,REGULAR,substitution,in,[],1629003,,,1610612766,12,12,2021-12-09T00:20:37Z,620000,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M57.00S,2021-12-09T00:20:08.4Z,1,REGULAR,2pt,Layup,[],1628998,94.7437582128778,70.0750612745098,1610612766,12,12,2021-12-09T00:26:48Z,635000,100.0,-3.0,1,right,MISS C. Martin 10' driving Layup - blocked,"[1628998, 1629003]",1610612766.0,CHA,driving,,,Martin,C. Martin,,,,,10.04,Missed,,,,,,,,,,,,,,,Milton,1629003.0,,,
90,PT05M57.00S,2021-12-09T00:20:08.4Z,1,REGULAR,block,,[],1629003,,,1610612766,12,12,2021-12-09T00:26:48Z,642500,,,0,,S. Milton BLOCK (1 BLK),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M56.00S,2021-12-09T00:20:09.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,12,12,2021-12-09T00:26:48Z,646250,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,
92,PT05M56.00S,2021-12-09T00:20:50.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,12,12,2021-12-09T00:26:57Z,648125,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M53.00S,2021-12-09T00:21:32.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202330,92.85479632063075,51.9607843137255,1610612766,14,12,2021-12-09T00:26:48Z,650000,10.0,15.0,1,right,G. Hayward driving Layup (7 PTS) (C. Martin 1 AST),"[202330, 1628998]",1610612766.0,CHA,driving,,,Hayward,G. Hayward,,,,,1.77,Made,,,,,7.0,C. Martin,1628998.0,1.0,,,,,,,,,,,
67,PT05M53.00S,2021-12-09T00:21:34.4Z,1,REGULAR,foul,personal,['1freethrow'],201980,,,1610612766,14,12,2021-12-09T00:21:42Z,670000,,,0,,D. Green shooting personal FOUL (2 PF) (Hayward 1 FT),"[201980, 202330]",1610612755.0,PHI,shooting,,,Green,D. Green,,,,,,,,,,,,,,,1662.0,2.0,0.0,Hayward,202330.0,,,,,,
69,PT05M53.00S,2021-12-09T00:21:56.3Z,1,REGULAR,substitution,out,[],201980,,,1610612766,14,12,2021-12-09T00:23:14Z,690000,,,0,,SUB out: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M53.00S,2021-12-09T00:21:56.3Z,1,REGULAR,substitution,in,[],1629680,,,1610612766,14,12,2021-12-09T00:23:14Z,700000,,,0,,SUB in: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M53.00S,2021-12-09T00:22:16.0Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],202330,,,1610612766,15,12,2021-12-09T00:26:48Z,710000,,,0,,G. Hayward Free Throw 1 of 1 (8 PTS),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,Made,,,,,8.0,,,,,,,,,,,,,,
72,PT05M40.00S,2021-12-09T00:22:36.7Z,1,REGULAR,foul,technical,['1freethrow'],1630208,,,1610612755,15,12,2021-12-09T00:22:49Z,720000,,,0,,N. Richards defensive-3-second technical FOUL (1 Tech),[1630208],1610612766.0,CHA,defensive-3-second,,,Richards,N. Richards,,,,,,,,,,,,,,,202026.0,0.0,1.0,,,,,,,,
73,PT05M40.00S,2021-12-09T00:22:49.9Z,1,REGULAR,freethrow,1 of 1,[],203552,,,1610612755,15,13,2021-12-09T00:22:49Z,730000,,,0,,S. Curry technical Free Throw 1 of 1 (4 PTS),[203552],1610612755.0,PHI,technical,,,Curry,S. Curry,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
74,PT05M26.00S,2021-12-09T00:23:11.8Z,1,REGULAR,2pt,Jump Shot,[],203954,16.507884362680684,23.52941176470588,1610612755,15,13,2021-12-09T00:23:19Z,740000,132.0,103.0,1,left,MISS J. Embiid 16' fadeaway Shot,[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,16.76,Missed,,,,,,,,,,,,,,,,,,,
75,PT05M24.00S,2021-12-09T00:23:13.8Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,15,13,2021-12-09T00:23:19Z,750000,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:3),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,74.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
76,PT05M19.00S,2021-12-09T00:23:20.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630208,93.24901445466492,51.9607843137255,1610612766,15,13,2021-12-09T00:28:59Z,760000,10.0,11.0,1,right,MISS N. Richards alley-oop DUNK,[1630208],1610612766.0,CHA,alley-oop,,,Richards,N. Richards,,,,,1.47,Missed,,,,,,,,,,,,,,,,,,,
77,PT05M17.00S,2021-12-09T00:23:22.5Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,15,13,2021-12-09T00:23:31Z,770000,,,0,,J. Embiid REBOUND (Off:0 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,76.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
78,PT05M10.00S,2021-12-09T00:23:29.0Z,1,REGULAR,3pt,Jump Shot,[],202699,6.521024967148489,3.1862745098039214,1610612755,15,16,2021-12-09T00:23:39Z,780000,234.0,9.0,1,left,T. Harris 3PT  (8 PTS) (S. Curry 3 AST),"[202699, 203552]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,23.43,Made,,,,,8.0,S. Curry,203552.0,3.0,,,,,,,,,,,
80,PT04M51.00S,2021-12-09T00:23:48.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628998,93.11760840998686,49.754901960784316,1610612766,17,16,2021-12-09T00:23:54Z,800000,-1.0,12.0,1,right,C. Martin cutting DUNK (2 PTS) (K. Oubre Jr. 2 AST),"[1628998, 1626162]",1610612766.0,CHA,cutting,,,Martin,C. Martin,,,,,1.23,Made,,,,,2.0,K. Oubre Jr.,1626162.0,2.0,,,,,,,,,,,
82,PT04M37.00S,2021-12-09T00:24:02.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629680,7.5722733245729295,47.794117647058826,1610612755,17,18,2021-12-09T00:24:06Z,820000,11.0,19.0,1,left,M. Thybulle DUNK (2 PTS) (J. Embiid 1 AST),"[1629680, 203954]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,2.17,Made,,,,,2.0,J. Embiid,203954.0,1.0,,,,,,,,,,,
84,PT04M23.00S,2021-12-09T00:24:15.0Z,1,REGULAR,3pt,Jump Shot,[],1626162,95.3515111695138,98.0392156862745,1610612766,17,18,2021-12-09T00:24:20Z,840000,240.0,-9.0,1,right,MISS K. Oubre Jr. 24' 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,24.04,Missed,,,,,,,,,,,,,,,,,,,
85,PT04M20.00S,2021-12-09T00:24:18.0Z,1,REGULAR,rebound,defensive,[],1629003,,,1610612755,17,18,2021-12-09T00:24:20Z,850000,,,0,,S. Milton REBOUND (Off:0 Def:1),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,84.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
86,PT04M10.00S,2021-12-09T00:24:30.9Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612755,17,18,2021-12-09T00:25:14Z,860000,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Embiid 2 FT),"[1626162, 203954]",1610612766.0,CHA,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,1662.0,1.0,0.0,Embiid,203954.0,,,,,,
88,PT04M10.00S,2021-12-09T00:25:16.3Z,1,REGULAR,instantreplay,request,[],0,,,1610612755,17,18,2021-12-09T00:28:49Z,880000,,,0,,,[],,,support,,,,,,,,,,,,,,,,,,,1662.0,,,,,,,,Common Foul Upheld,,
