actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
14,PT11M03.00S,2022-02-26T00:11:52.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630163,92.85479632063075,50.245098039215684,1610612766,0,0,2022-02-26T00:17:25Z,140000,1.0,15.0,1,right,MISS L. Ball alley-oop DUNK,[1630163],1610612766.0,CHA,alley-oop,,,Ball,L. Ball,,,,,1.47,Missed,,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2022-02-26T00:11:55.0Z,1,REGULAR,rebound,offensive,[],1628970,,,1610612766,0,0,2022-02-26T00:11:55Z,150000,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT10M58.00S,2022-02-26T00:11:56.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1626179,92.85479632063075,4.411764705882353,1610612766,3,0,2022-02-26T00:12:24Z,160000,-228.0,15.0,1,right,T. Rozier 3PT  (3 PTS) (M. Bridges 1 AST),"[1626179, 1628970]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,22.84,Made,,,,,,,,,3.0,M. Bridges,1628970.0,1.0,,,,,,
18,PT10M46.00S,2022-02-26T00:12:09.7Z,1,REGULAR,turnover,bad pass,[],1627832,,,1610612761,3,0,2022-02-26T00:12:27Z,180000,,,0,,F. VanVleet bad pass TURNOVER (2 TO),"[1627832, 1630163]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,2.0,Ball,1630163.0,,,,,,,,,,
19,PT10M46.00S,2022-02-26T00:12:09.7Z,1,REGULAR,steal,,[],1630163,,,1610612766,3,0,2022-02-26T00:12:11Z,190000,,,0,,L. Ball STEAL (1 STL),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M41.00S,2022-02-26T00:12:16.5Z,1,REGULAR,turnover,out-of-bounds,[],1630163,,,1610612766,3,0,2022-02-26T00:18:37Z,200000,,,0,,L. Ball step out-of-bounds TURNOVER (1 TO),[1630163],1610612766.0,CHA,step,,,Ball,L. Ball,,,,,,,,,,,200833.0,1.0,,,,,,,,,,,,
21,PT10M23.00S,2022-02-26T00:12:43.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629018,19.398817345597898,50.73529411764706,1610612761,3,0,2022-02-26T00:12:48Z,210000,-4.0,130.0,1,left,MISS G. Trent Jr. 12' pullup Shot,[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,12.99,Missed,,,,,,,,,,,,,,,,,,
22,PT10M20.00S,2022-02-26T00:12:46.1Z,1,REGULAR,rebound,offensive,[],203920,,,1610612761,3,0,2022-02-26T00:12:48Z,220000,,,0,,K. Birch REBOUND (Off:1 Def:0),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,21.0,1.0,0.0,1.0,,,,,,,,,,,,,,
23,PT10M18.00S,2022-02-26T00:12:46.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629018,10.988830486202366,49.01960784313725,1610612761,3,2,2022-02-26T00:19:36Z,230000,5.0,51.0,1,left,G. Trent Jr. floating Jump Shot (2 PTS) (K. Birch 1 AST),"[1629018, 203920]",1610612761.0,TOR,floating,,,Trent Jr.,G. Trent Jr.,,,,,5.1,Made,,,,,,,,,2.0,K. Birch,203920.0,1.0,,,,,,
25,PT10M00.00S,2022-02-26T00:13:04.4Z,1,REGULAR,3pt,Jump Shot,[],1629023,72.61826544021025,18.872549019607842,1610612766,3,2,2022-02-26T00:13:10Z,250000,-156.0,205.0,1,right,MISS P. Washington 25' 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,25.73,Missed,,,,,,,,,,,,,,,,,,
26,PT09M59.00S,2022-02-26T00:13:05.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,3,2,2022-02-26T00:13:10Z,260000,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,
27,PT09M59.00S,2022-02-26T00:13:10.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,3,2,2022-02-26T00:13:10Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M52.00S,2022-02-26T00:13:20.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,7.966491458607096,49.26470588235294,1610612761,3,2,2022-02-26T00:13:25Z,280000,4.0,22.0,1,left,MISS P. Siakam Layup,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,2.27,Missed,,,,,,,,,,,,,,,,,,
29,PT09M49.00S,2022-02-26T00:13:23.9Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,3,2,2022-02-26T00:13:25Z,290000,,,0,,M. Plumlee REBOUND (Off:2 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,28.0,3.0,1.0,2.0,,,,,,,,,,,,,,
30,PT09M34.00S,2022-02-26T00:13:38.0Z,1,REGULAR,3pt,Jump Shot,[],1626179,72.48685939553219,81.37254901960785,1610612766,3,2,2022-02-26T00:13:41Z,300000,157.0,206.0,1,right,MISS T. Rozier 25' 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,25.9,Missed,,,,,,,,,,,,,,,,,,
31,PT09M32.00S,2022-02-26T00:13:40.0Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,3,2,2022-02-26T00:13:41Z,310000,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT09M26.00S,2022-02-26T00:13:45.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627783,8.09789750328515,95.83333333333334,1610612761,3,2,2022-02-26T00:13:53Z,320000,-229.0,24.0,1,left,MISS P. Siakam 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,23.04,Missed,,,,,,,,,,,,,,,,,,
33,PT09M24.00S,2022-02-26T00:13:47.5Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,3,2,2022-02-26T00:13:53Z,330000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT09M13.00S,2022-02-26T00:13:58.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203486,95.22010512483574,52.20588235294118,1610612766,5,2,2022-02-26T00:14:04Z,340000,11.0,-8.0,1,right,M. Plumlee cutting DUNK (2 PTS) (T. Rozier 1 AST),"[203486, 1626179]",1610612766.0,CHA,cutting,,,Plumlee,M. Plumlee,,,,,1.34,Made,,,,,,,,,2.0,T. Rozier,1626179.0,1.0,,,,,,
36,PT08M53.00S,2022-02-26T00:14:18.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,9.280551905387648,48.529411764705884,1610612761,5,2,2022-02-26T00:14:22Z,360000,7.0,35.0,1,left,MISS S. Barnes Layup,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,3.55,Missed,,,,,,,,,,,,,,,,,,
37,PT08M52.00S,2022-02-26T00:14:19.8Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,5,2,2022-02-26T00:14:22Z,370000,,,0,,M. Plumlee REBOUND (Off:2 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,36.0,4.0,2.0,2.0,,,,,,,,,,,,,,
38,PT08M47.00S,2022-02-26T00:14:25.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,91.27792378449409,98.2843137254902,1610612766,5,2,2022-02-26T00:14:30Z,380000,241.0,29.0,1,right,MISS L. Ball 24' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,24.32,Missed,,,,,,,,,,,,,,,,,,
39,PT08M45.00S,2022-02-26T00:14:27.1Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,5,2,2022-02-26T00:14:30Z,390000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT08M41.00S,2022-02-26T00:14:32.6Z,1,REGULAR,turnover,out-of-bounds,[],1630567,,,1610612761,5,2,2022-02-26T00:14:40Z,400000,,,0,,S. Barnes bad pass out-of-bounds TURNOVER (1 TO),[1630567],1610612761.0,TOR,bad pass,,,Barnes,S. Barnes,,,,,,,,,,,201640.0,1.0,,,,,,,,,,,,
41,PT08M30.00S,2022-02-26T00:14:54.6Z,1,REGULAR,foul,personal,[],1627832,,,1610612766,5,2,2022-02-26T00:15:04Z,410000,,,0,,F. VanVleet personal FOUL (1 PF),"[1627832, 1630163]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,200833.0,,,,,,,,1.0,0.0,Ball,1630163.0,,
43,PT08M24.00S,2022-02-26T00:15:15.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628970,91.67214191852825,49.754901960784316,1610612766,7,2,2022-02-26T00:15:20Z,430000,-1.0,26.0,1,right,M. Bridges driving Layup (2 PTS) (M. Plumlee 1 AST),"[1628970, 203486]",1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,2.58,Made,,,,,,,,,2.0,M. Plumlee,203486.0,1.0,,,,,,
45,PT08M13.00S,2022-02-26T00:15:25.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627832,6.389618922470433,51.9607843137255,1610612761,7,2,2022-02-26T00:15:30Z,450000,-10.0,8.0,1,left,MISS F. VanVleet driving Layup - blocked,"[1627832, 1629023]",1610612761.0,TOR,driving,,,VanVleet,F. VanVleet,,,,,1.24,Missed,,,,,,,,,,,,,,,,,Washington,1629023.0
46,PT08M13.00S,2022-02-26T00:15:25.9Z,1,REGULAR,block,,[],1629023,,,1610612761,7,2,2022-02-26T00:15:28Z,460000,,,0,,P. Washington BLOCK (1 BLK),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M11.00S,2022-02-26T00:15:27.9Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,7,2,2022-02-26T00:15:30Z,470000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
48,PT08M06.00S,2022-02-26T00:15:33.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1630163,88.78120893561103,50.0,1610612766,9,2,2022-02-26T00:15:37Z,480000,0.0,53.0,1,right,L. Ball fadeaway Jump Shot (2 PTS) (M. Bridges 2 AST),"[1630163, 1628970]",1610612766.0,CHA,fadeaway,,,Ball,L. Ball,,,,,5.3,Made,,,,,,,,,2.0,M. Bridges,1628970.0,2.0,,,,,,
50,PT08M06.00S,2022-02-26T00:15:37.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,9,2,2022-02-26T00:15:37Z,500000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M06.00S,2022-02-26T00:18:40.2Z,1,REGULAR,stoppage,court clean up,[],0,,,1610612761,9,2,2022-02-26T00:18:40Z,510000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M50.00S,2022-02-26T00:19:41.3Z,1,REGULAR,3pt,Jump Shot,[],1629018,26.757555847568987,17.15686274509804,1610612761,9,2,2022-02-26T00:19:49Z,520000,164.0,199.0,1,left,MISS G. Trent Jr. 25' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,25.8,Missed,,,,,,,,,,,,,,,,,,
54,PT07M45.00S,2022-02-26T00:19:46.3Z,1,REGULAR,rebound,offensive,[],203920,,,1610612761,9,2,2022-02-26T00:19:49Z,530000,,,0,,K. Birch REBOUND (Off:2 Def:0),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,53.0,2.0,0.0,2.0,,,,,,,,,,,,,,
55,PT07M45.00S,2022-02-26T00:19:45.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203920,5.590000152587891,50.0,1610612761,9,2,2022-02-26T00:19:45Z,540000,0.0,0.0,1,left,MISS K. Birch putback DUNK,[203920],1610612761.0,TOR,putback,,,Birch,K. Birch,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
56,PT07M45.00S,2022-02-26T00:19:46.2Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,9,2,2022-02-26T00:19:46Z,550000,,,0,,T. Rozier REBOUND (Off:0 Def:2),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,55.0,2.0,2.0,0.0,,,,,,,,,,,,,,
57,PT07M42.00S,2022-02-26T00:19:49.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626179,92.85479632063075,53.92156862745098,1610612766,11,2,2022-02-26T00:19:56Z,560000,20.0,15.0,1,right,T. Rozier running Layup (5 PTS),[1626179],1610612766.0,CHA,running,,,Rozier,T. Rozier,,,,,2.45,Made,,,,,,,,,5.0,,,,,,,,,
58,PT07M30.00S,2022-02-26T00:20:00.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627832,16.63929040735874,40.931372549019606,1610612761,11,2,2022-02-26T00:20:06Z,570000,45.0,104.0,1,left,MISS F. VanVleet 11' pullup bank Shot,[1627832],1610612761.0,TOR,pullup bank,,,VanVleet,F. VanVleet,,,,,11.33,Missed,,,,,,,,,,,,,,,,,,
59,PT07M29.00S,2022-02-26T00:20:01.6Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,11,2,2022-02-26T00:20:06Z,580000,,,0,,M. Bridges REBOUND (Off:1 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,58.0,2.0,1.0,1.0,,,,,,,,,,,,,,
60,PT07M22.00S,2022-02-26T00:20:08.9Z,1,REGULAR,3pt,Jump Shot,[],1630163,66.5735873850197,45.83333333333333,1610612766,14,2,2022-02-26T00:20:14Z,590000,-21.0,262.0,1,right,L. Ball 26' 3PT  (5 PTS) (M. Bridges 3 AST),"[1630163, 1628970]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,26.25,Made,,,,,,,,,5.0,M. Bridges,1628970.0,3.0,,,,,,
62,PT07M06.00S,2022-02-26T00:20:26.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,5.601182654402102,48.28431372549019,1610612761,14,4,2022-02-26T00:37:48Z,610000,9.0,0.0,1,left,S. Barnes cutting Layup (2 PTS) (P. Siakam 1 AST),"[1630567, 1627783]",1610612761.0,TOR,cutting,,,Barnes,S. Barnes,,,,,0.86,Made,,,,,,,,,2.0,P. Siakam,1627783.0,1.0,,,,,,
64,PT06M54.00S,2022-02-26T00:20:37.2Z,1,REGULAR,3pt,Jump Shot,[],1630163,87.07293035479631,97.30392156862744,1610612766,14,4,2022-02-26T00:20:44Z,630000,237.0,69.0,1,right,MISS L. Ball 24' step back 3PT,[1630163],1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,24.64,Missed,,,,,,,,,,,,,,,,,,
65,PT06M52.00S,2022-02-26T00:20:39.2Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,14,4,2022-02-26T00:20:44Z,640000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,,,
66,PT06M48.00S,2022-02-26T00:20:44.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630567,6.1268068331143235,49.26470588235294,1610612761,14,6,2022-02-26T00:20:49Z,650000,4.0,5.0,1,left,S. Barnes running Layup (4 PTS),[1630567],1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,0.63,Made,,,,,,,,,4.0,,,,,,,,,
67,PT06M29.00S,2022-02-26T00:21:02.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,84.83902759526939,65.68627450980392,1610612766,16,6,2022-02-26T00:21:08Z,660000,78.0,90.0,1,right,T. Rozier 11' pullup Jump Shot (7 PTS),[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,11.94,Made,,,,,,,,,7.0,,,,,,,,,
68,PT06M09.00S,2022-02-26T00:21:25.2Z,1,REGULAR,foul,offensive,[],203920,,,1610612761,16,6,2022-02-26T00:21:33Z,670000,,,0,,K. Birch offensive FOUL (1 PF),"[203920, 1626179]",1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,201640.0,,,,,,,,1.0,0.0,Rozier,1626179.0,,
70,PT06M09.00S,2022-02-26T00:21:25.2Z,1,REGULAR,turnover,offensive foul,[],203920,,,1610612761,16,6,2022-02-26T00:21:25Z,690000,,,0,,K. Birch offensive foul TURNOVER (1 TO),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,201640.0,1.0,,,,,,,,,,,,
71,PT06M09.00S,2022-02-26T00:21:31.3Z,1,REGULAR,substitution,out,[],1630163,,,1610612766,16,6,2022-02-26T00:21:48Z,700000,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M09.00S,2022-02-26T00:21:31.3Z,1,REGULAR,substitution,out,[],203486,,,1610612766,16,6,2022-02-26T00:21:48Z,710000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M09.00S,2022-02-26T00:21:31.3Z,1,REGULAR,substitution,out,[],1629023,,,1610612766,16,6,2022-02-26T00:21:48Z,720000,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M09.00S,2022-02-26T00:21:31.3Z,1,REGULAR,substitution,out,[],203920,,,1610612766,16,6,2022-02-26T00:21:48Z,730000,,,0,,SUB out: K. Birch,[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M09.00S,2022-02-26T00:21:31.3Z,1,REGULAR,substitution,out,[],1627783,,,1610612766,16,6,2022-02-26T00:21:48Z,740000,,,0,,SUB out: P. Siakam,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M09.00S,2022-02-26T00:21:31.3Z,1,REGULAR,substitution,in,[],1626162,,,1610612766,16,6,2022-02-26T00:21:48Z,750000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M09.00S,2022-02-26T00:21:31.3Z,1,REGULAR,substitution,in,[],1626149,,,1610612766,16,6,2022-02-26T00:21:48Z,760000,,,0,,SUB in: M. Harrell,[1626149],1610612766.0,CHA,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M09.00S,2022-02-26T00:21:31.3Z,1,REGULAR,substitution,in,[],1628998,,,1610612766,16,6,2022-02-26T00:21:48Z,770000,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M09.00S,2022-02-26T00:21:31.3Z,1,REGULAR,substitution,in,[],1630173,,,1610612766,16,6,2022-02-26T00:21:48Z,780000,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M09.00S,2022-02-26T00:21:31.3Z,1,REGULAR,substitution,in,[],1628449,,,1610612766,16,6,2022-02-26T00:21:48Z,790000,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M56.00S,2022-02-26T00:22:02.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628998,89.83245729303549,4.411764705882353,1610612766,16,6,2022-02-26T00:22:07Z,800000,-228.0,43.0,1,right,MISS C. Martin 3PT,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,23.19,Missed,,,,,,,,,,,,,,,,,,
82,PT05M53.00S,2022-02-26T00:22:05.7Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,16,6,2022-02-26T00:22:07Z,810000,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,,,,,,
83,PT05M46.00S,2022-02-26T00:22:13.6Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,16,6,2022-02-26T00:22:19Z,820000,,,0,,S. Barnes bad pass TURNOVER (2 TO),"[1630567, 1626162]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,2.0,Oubre Jr.,1626162.0,,,,,,,,,,
84,PT05M46.00S,2022-02-26T00:22:13.6Z,1,REGULAR,steal,,[],1626162,,,1610612766,16,6,2022-02-26T00:22:15Z,830000,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,
106,PT05M42.00S,2022-02-26T00:22:18.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628998,81.553876478318,49.754901960784316,1610612766,16,6,2022-02-26T00:28:11Z,845000,-1.0,121.0,1,right,MISS C. Martin 12' running Layup - blocked,"[1628998, 1627832]",1610612766.0,CHA,running,,,Martin,C. Martin,,,,,12.09,Missed,,,,,,,,,,,,,,,,,VanVleet,1627832.0
107,PT05M42.00S,2022-02-26T00:22:18.3Z,1,REGULAR,block,,[],1627832,,,1610612766,16,6,2022-02-26T00:26:59Z,852500,,,0,,F. VanVleet BLOCK (1 BLK),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,
108,PT05M40.00S,2022-02-26T00:22:20.3Z,1,REGULAR,rebound,offensive,[],1626149,,,1610612766,16,6,2022-02-26T00:29:02Z,856250,,,0,,M. Harrell REBOUND (Off:1 Def:0),[1626149],1610612766.0,CHA,,,,Harrell,M. Harrell,,,,,,,106.0,1.0,0.0,1.0,,,,,,,,,,,,,,
