actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
16,PT10M23.00S,2022-01-03T00:12:19.8Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,2,4,2022-01-03T00:12:23Z,160000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M20.00S,2022-01-03T00:12:22.6Z,1,REGULAR,turnover,bad pass,[],1628969,,,1610612756,2,4,2022-01-03T00:16:35Z,170000,,,0,,M. Bridges bad pass TURNOVER (1 TO),"[1628969, 203486]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,1.0,Plumlee,203486.0,,,,,,,
18,PT10M20.00S,2022-01-03T00:12:22.6Z,1,REGULAR,steal,,[],203486,,,1610612766,2,4,2022-01-03T00:26:40Z,180000,,,0,,M. Plumlee STEAL (1 STL),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M17.00S,2022-01-03T00:12:26.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630163,6.652431011826544,48.03921568627451,1610612766,4,4,2022-01-03T00:12:35Z,190000,10.0,10.0,1,left,L. Ball Layup (2 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,1.4,Made,2.0,,,,,,,,,,,,,,,,,
20,PT10M16.00S,2022-01-03T00:12:29.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626164,72.48685939553219,16.666666666666664,1610612756,4,7,2022-01-03T00:17:27Z,200000,-167.0,206.0,1,right,D. Booker 26' 3PT running pullup (5 PTS) (C. Paul 1 AST),"[1626164, 101108]",1610612756.0,PHX,running pullup,,,Booker,D. Booker,,,,,26.51,Made,5.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,
22,PT10M07.00S,2022-01-03T00:12:37.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,25.57490144546649,86.51960784313727,1610612766,7,7,2022-01-03T00:17:53Z,220000,-183.0,188.0,1,left,L. Ball 26' 3PT running pullup (5 PTS),[1630163],1610612766.0,CHA,running pullup,,,Ball,L. Ball,,,,,26.2,Made,5.0,,,,,,,,,,,,,,,,,
23,PT09M57.00S,2022-01-03T00:12:49.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630188,87.99277266754271,51.71568627450981,1610612756,7,9,2022-01-03T00:18:27Z,230000,9.0,60.0,1,right,J. Smith 6' floating Jump Shot (4 PTS) (M. Bridges 1 AST),"[1630188, 1628969]",1610612756.0,PHX,floating,,,Smith,J. Smith,,,,,6.1,Made,4.0,M. Bridges,1628969.0,1.0,,,,,,,,,,,,,,
25,PT09M31.00S,2022-01-03T00:13:16.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628970,6.915243101182654,47.05882352941176,1610612766,7,9,2022-01-03T00:19:48Z,250000,15.0,13.0,1,left,MISS M. Bridges driving DUNK - blocked,"[1628970, 1630188]",1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,1.93,Missed,,,,,,,,,,,,Smith,1630188.0,,,,,
35,PT09M31.00S,2022-01-03T00:13:16.7Z,1,REGULAR,block,,[],1630188,,,1610612766,7,9,2022-01-03T00:15:12Z,255000,,,0,,J. Smith BLOCK (1 BLK),[1630188],1610612756.0,PHX,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M31.00S,2022-01-03T00:13:16.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,7,9,2022-01-03T00:15:24Z,260000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,
27,PT09M31.00S,2022-01-03T00:13:25.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612766,7,9,2022-01-03T00:13:31Z,270000,,,0,,CHA shot clock Team TURNOVER,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,1151.0,,,,
28,PT09M19.00S,2022-01-03T00:13:41.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626164,82.7365308804205,57.84313725490197,1610612756,7,11,2022-01-03T00:13:46Z,280000,39.0,110.0,1,right,D. Booker 11' pullup Jump Shot (7 PTS) (C. Paul 2 AST),"[1626164, 101108]",1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,11.66,Made,7.0,C. Paul,101108.0,2.0,,,,,,,,,,,,,,
29,PT09M07.00S,2022-01-03T00:13:54.0Z,1,REGULAR,turnover,bad pass,[],203486,,,1610612766,7,11,2022-01-03T00:14:00Z,290000,,,0,,M. Plumlee bad pass TURNOVER (1 TO),"[203486, 1628969]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,1.0,Bridges,1628969.0,,,,,,,
30,PT09M07.00S,2022-01-03T00:13:54.0Z,1,REGULAR,steal,,[],1628969,,,1610612756,7,11,2022-01-03T00:13:56Z,300000,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M02.00S,2022-01-03T00:13:58.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626164,93.9060446780552,56.127450980392155,1610612756,7,11,2022-01-03T00:14:04Z,310000,31.0,5.0,1,right,MISS D. Booker running Layup,[1626164],1610612756.0,PHX,running,,,Booker,D. Booker,,,,,3.1,Missed,,,,,,,,,,,,,,,,,,
32,PT09M00.00S,2022-01-03T00:14:00.8Z,1,REGULAR,rebound,offensive,[],1629661,,,1610612756,7,11,2022-01-03T00:14:04Z,320000,,,0,,C. Johnson REBOUND (Off:1 Def:0),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,31.0,1.0,0.0,1.0,,,,,,,,,,
33,PT09M00.00S,2022-01-03T00:14:03.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1629661,94.40999984741211,50.0,1610612756,7,13,2022-01-03T00:14:13Z,330000,0.0,0.0,1,right,C. Johnson putback Layup (2 PTS),[1629661],1610612756.0,PHX,putback,,,Johnson,C. Johnson,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,
34,PT09M00.00S,2022-01-03T00:14:14.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,7,13,2022-01-03T00:14:14Z,340000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M49.00S,2022-01-03T00:17:05.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,7,13,2022-01-03T00:17:05Z,350000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M40.00S,2022-01-03T00:17:25.3Z,1,REGULAR,3pt,Jump Shot,[],1630163,29.122864651773984,78.43137254901961,1610612766,7,13,2022-01-03T00:17:30Z,360000,-142.0,221.0,1,left,MISS L. Ball 26' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,26.3,Missed,,,,,,,,,,,,,,,,,,
38,PT08M38.00S,2022-01-03T00:17:27.3Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612756,7,13,2022-01-03T00:17:30Z,370000,,,0,,J. Smith REBOUND (Off:0 Def:2),[1630188],1610612756.0,PHX,,,,Smith,J. Smith,,,,,,,,,,,37.0,2.0,2.0,0.0,,,,,,,,,,
39,PT08M37.00S,2022-01-03T00:17:31.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628969,73.14388961892247,81.86274509803921,1610612756,7,16,2022-01-03T00:22:42Z,380000,159.0,200.0,1,right,M. Bridges 25' 3PT running pullup (3 PTS) (C. Paul 3 AST),"[1628969, 101108]",1610612756.0,PHX,running pullup,,,Bridges,M. Bridges,,,,,25.56,Made,3.0,C. Paul,101108.0,3.0,,,,,,,,,,,,,,
41,PT08M25.00S,2022-01-03T00:17:42.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,7.703679369250986,48.28431372549019,1610612766,9,16,2022-01-03T00:17:50Z,400000,9.0,20.0,1,left,L. Ball driving Layup (7 PTS),[1630163],1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,2.17,Made,7.0,,,,,,,,,,,,,,,,,
42,PT08M25.00S,2022-01-03T00:17:46.3Z,1,REGULAR,foul,personal,['1freethrow'],1630188,,,1610612766,9,16,2022-01-03T00:17:59Z,410000,,,0,,J. Smith shooting personal FOUL (1 PF) (Ball 1 FT),"[1630188, 1630163]",1610612756.0,PHX,shooting,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Ball,1630163.0
44,PT08M25.00S,2022-01-03T00:18:12.2Z,1,REGULAR,freethrow,1 of 1,[],1630163,,,1610612766,10,16,2022-01-03T00:18:12Z,430000,,,0,,L. Ball Free Throw 1 of 1 (8 PTS),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
45,PT08M14.00S,2022-01-03T00:18:25.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,88.51839684625493,57.35294117647059,1610612756,10,16,2022-01-03T00:18:29Z,440000,37.0,55.0,1,right,MISS M. Bridges 6' Jump Shot,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,6.65,Missed,,,,,,,,,,,,,,,,,,
46,PT08M12.00S,2022-01-03T00:18:27.0Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,10,16,2022-01-03T00:18:29Z,450000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,
47,PT08M05.00S,2022-01-03T00:18:34.0Z,1,REGULAR,3pt,Jump Shot,[],1626179,7.5722733245729295,95.58823529411765,1610612766,10,16,2022-01-03T00:18:37Z,460000,-228.0,19.0,1,left,MISS T. Rozier 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,22.87,Missed,,,,,,,,,,,,,,,,,,
48,PT08M02.00S,2022-01-03T00:18:37.0Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612756,10,16,2022-01-03T00:18:37Z,470000,,,0,,J. Smith REBOUND (Off:0 Def:3),[1630188],1610612756.0,PHX,,,,Smith,J. Smith,,,,,,,,,,,47.0,3.0,3.0,0.0,,,,,,,,,,
49,PT07M54.00S,2022-01-03T00:18:45.2Z,1,REGULAR,3pt,Jump Shot,[],1629661,83.39356110381078,94.6078431372549,1610612756,10,16,2022-01-03T00:18:49Z,480000,223.0,104.0,1,right,MISS C. Johnson 24' 3PT,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,24.59,Missed,,,,,,,,,,,,,,,,,,
50,PT07M51.00S,2022-01-03T00:18:48.2Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,10,16,2022-01-03T00:18:49Z,490000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,
51,PT07M35.00S,2022-01-03T00:19:03.3Z,1,REGULAR,3pt,Jump Shot,[],202330,29.38567674113009,78.18627450980392,1610612766,10,16,2022-01-03T00:19:07Z,500000,-141.0,224.0,1,left,MISS G. Hayward 26' 3PT,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,26.44,Missed,,,,,,,,,,,,,,,,,,
52,PT07M32.00S,2022-01-03T00:19:06.3Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612756,10,16,2022-01-03T00:19:07Z,510000,,,0,,C. Johnson REBOUND (Off:1 Def:1),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,51.0,2.0,1.0,1.0,,,,,,,,,,
53,PT07M28.00S,2022-01-03T00:19:11.6Z,1,REGULAR,foul,personal,['2freethrow'],202330,,,1610612756,10,16,2022-01-03T00:19:27Z,520000,,,0,,G. Hayward shooting personal FOUL (1 PF) (Booker 2 FT),"[202330, 1626164]",1610612766.0,CHA,shooting,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Booker,1626164.0
55,PT07M28.00S,2022-01-03T00:19:40.2Z,1,REGULAR,freethrow,1 of 2,[],1626164,,,1610612756,10,17,2022-01-03T00:19:40Z,540000,,,0,,D. Booker Free Throw 1 of 2 (8 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
56,PT07M28.00S,2022-01-03T00:19:41.5Z,1,REGULAR,substitution,out,[],202330,,,1610612756,10,17,2022-01-03T00:19:50Z,550000,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M28.00S,2022-01-03T00:19:41.5Z,1,REGULAR,substitution,out,[],1628969,,,1610612756,10,17,2022-01-03T00:19:50Z,560000,,,0,,SUB out: M. Bridges,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M28.00S,2022-01-03T00:19:41.5Z,1,REGULAR,substitution,in,[],1626162,,,1610612756,10,17,2022-01-03T00:19:50Z,570000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M28.00S,2022-01-03T00:19:41.5Z,1,REGULAR,substitution,in,[],1629013,,,1610612756,10,17,2022-01-03T00:19:50Z,580000,,,0,,SUB in: L. Shamet,[1629013],1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M28.00S,2022-01-03T00:19:58.3Z,1,REGULAR,freethrow,2 of 2,[],1626164,,,1610612756,10,18,2022-01-03T00:19:58Z,590000,,,0,,D. Booker Free Throw 2 of 2 (9 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
61,PT07M11.00S,2022-01-03T00:20:17.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203486,11.908672798948752,54.90196078431373,1610612766,10,18,2022-01-03T00:24:25Z,600000,-25.0,59.0,1,left,MISS M. Plumlee 6' turnaround Hook,[203486],1610612766.0,CHA,turnaround,,,Plumlee,M. Plumlee,,,,,6.43,Missed,,,,,,,,,,,,,,,,,,
62,PT07M09.00S,2022-01-03T00:20:19.4Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612756,10,18,2022-01-03T00:20:21Z,610000,,,0,,J. Smith REBOUND (Off:0 Def:4),[1630188],1610612756.0,PHX,,,,Smith,J. Smith,,,,,,,,,,,61.0,4.0,4.0,0.0,,,,,,,,,,
63,PT07M01.00S,2022-01-03T00:20:28.9Z,1,REGULAR,3pt,Jump Shot,[],1629013,93.24901445466492,97.30392156862744,1610612756,10,18,2022-01-03T00:20:34Z,620000,237.0,11.0,1,right,MISS L. Shamet 3PT - blocked,"[1629013, 1630163]",1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,23.68,Missed,,,,,,,,,,,,Ball,1630163.0,,,,,
64,PT07M01.00S,2022-01-03T00:20:28.9Z,1,REGULAR,block,,[],1630163,,,1610612756,10,18,2022-01-03T00:20:31Z,630000,,,0,,L. Ball BLOCK (1 BLK),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M01.00S,2022-01-03T00:20:28.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,10,18,2022-01-03T00:20:34Z,640000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,
66,PT07M01.00S,2022-01-03T00:20:34.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,10,18,2022-01-03T00:20:34Z,650000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M53.00S,2022-01-03T00:20:54.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630188,88.51839684625493,51.470588235294116,1610612756,10,20,2022-01-03T00:25:58Z,660000,7.0,55.0,1,right,J. Smith floating Jump Shot (6 PTS) (C. Johnson 1 AST),"[1630188, 1629661]",1610612756.0,PHX,floating,,,Smith,J. Smith,,,,,5.59,Made,6.0,C. Johnson,1629661.0,1.0,,,,,,,,,,,,,,
70,PT06M40.00S,2022-01-03T00:21:05.6Z,1,REGULAR,3pt,Jump Shot,[],1630163,19.92444152431012,92.40196078431373,1610612766,10,20,2022-01-03T00:21:10Z,680000,-212.0,135.0,1,left,MISS L. Ball 25' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,25.12,Missed,,,,,,,,,,,,,,,,,,
71,PT06M37.00S,2022-01-03T00:21:08.5Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612766,10,20,2022-01-03T00:21:08Z,690000,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:0),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,70.0,1.0,0.0,1.0,,,,,,,,,,
72,PT06M33.00S,2022-01-03T00:21:12.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626162,6.521024967148489,97.30392156862744,1610612766,13,20,2022-01-03T00:21:16Z,700000,-237.0,9.0,1,left,K. Oubre Jr. 3PT  (3 PTS),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,23.67,Made,3.0,,,,,,,,,,,,,,,,,
73,PT06M18.00S,2022-01-03T00:21:27.2Z,1,REGULAR,3pt,Jump Shot,[],1629013,92.32917214191852,4.901960784313726,1610612756,13,23,2022-01-03T00:21:31Z,710000,-225.0,20.0,1,right,L. Shamet 3PT  (3 PTS) (C. Paul 4 AST),"[1629013, 101108]",1610612756.0,PHX,,,,Shamet,L. Shamet,,,,,22.64,Made,3.0,C. Paul,101108.0,4.0,,,,,,,,,,,,,,
76,PT06M05.00S,2022-01-03T00:21:40.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,7.835085413929041,45.09803921568628,1610612766,15,23,2022-01-03T00:21:52Z,740000,25.0,21.0,1,left,M. Bridges driving Layup (2 PTS) (M. Plumlee 1 AST),"[1628970, 203486]",1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,3.23,Made,2.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,,,,
78,PT05M54.00S,2022-01-03T00:21:51.1Z,1,REGULAR,3pt,Jump Shot,[],1629661,66.5735873850197,59.068627450980394,1610612756,15,26,2022-01-03T00:21:56Z,760000,45.0,262.0,1,right,C. Johnson 26' 3PT  (5 PTS) (C. Paul 5 AST),"[1629661, 101108]",1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,26.56,Made,5.0,C. Paul,101108.0,5.0,,,,,,,,,,,,,,
79,PT05M39.00S,2022-01-03T00:22:10.2Z,1,REGULAR,foul,personal,[],1626164,,,1610612766,15,26,2022-01-03T00:22:20Z,770000,,,0,,D. Booker personal FOUL (1 PF),"[1626164, 1626162]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Oubre Jr.,1626162.0
81,PT05M39.00S,2022-01-03T00:22:33.1Z,1,REGULAR,substitution,out,[],1628970,,,1610612766,15,26,2022-01-03T00:22:56Z,790000,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M39.00S,2022-01-03T00:22:33.1Z,1,REGULAR,substitution,out,[],1630163,,,1610612766,15,26,2022-01-03T00:22:56Z,800000,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M39.00S,2022-01-03T00:22:33.1Z,1,REGULAR,substitution,out,[],203486,,,1610612766,15,26,2022-01-03T00:22:56Z,810000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M39.00S,2022-01-03T00:22:33.1Z,1,REGULAR,substitution,out,[],1630188,,,1610612766,15,26,2022-01-03T00:22:56Z,820000,,,0,,SUB out: J. Smith,[1630188],1610612756.0,PHX,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M39.00S,2022-01-03T00:22:33.1Z,1,REGULAR,substitution,in,[],1630208,,,1610612766,15,26,2022-01-03T00:22:56Z,830000,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M39.00S,2022-01-03T00:22:33.1Z,1,REGULAR,substitution,in,[],202397,,,1610612766,15,26,2022-01-03T00:22:56Z,840000,,,0,,SUB in: I. Smith,[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M39.00S,2022-01-03T00:22:33.1Z,1,REGULAR,substitution,in,[],1628998,,,1610612766,15,26,2022-01-03T00:22:56Z,850000,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M39.00S,2022-01-03T00:22:33.1Z,1,REGULAR,substitution,in,[],202687,,,1610612766,15,26,2022-01-03T00:22:56Z,860000,,,0,,SUB in: B. Biyombo,[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M25.00S,2022-01-03T00:23:00.0Z,1,REGULAR,2pt,Jump Shot,[],202397,24.52365308804205,31.372549019607842,1610612766,15,26,2022-01-03T00:23:05Z,870000,93.0,178.0,1,left,MISS I. Smith 20' pullup Shot,[202397],1610612766.0,CHA,pullup,,,Smith,I. Smith,,,,,20.09,Missed,,,,,,,,,,,,,,,,,,
