actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
16,PT10M55.00S,2022-03-21T23:11:30.2Z,1,REGULAR,turnover,bad pass,[],1629637,,,1610612740,0,2,2022-03-21T23:11:36Z,160000,,,0,,J. Hayes bad pass TURNOVER (1 TO),"[1629637, 1626179]",1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,1.0,Rozier,1626179.0,,,,,,
17,PT10M55.00S,2022-03-21T23:11:30.2Z,1,REGULAR,steal,,[],1626179,,,1610612766,0,2,2022-03-21T23:11:32Z,170000,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M48.00S,2022-03-21T23:11:37.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626179,32.013797634691194,55.88235294117647,1610612766,3,2,2022-03-21T23:13:49Z,180000,-29.0,248.0,1,left,T. Rozier 25' 3PT running (3 PTS) (L. Ball 1 AST),"[1626179, 1630163]",1610612766.0,CHA,running,,,Rozier,T. Rozier,,,,,25.01,Made,3.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,,,,
20,PT10M21.00S,2022-03-21T23:12:03.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628984,90.75229960578186,50.0,1610612740,3,2,2022-03-21T23:12:13Z,200000,0.0,34.0,1,right,MISS D. Graham driving Layup,[1628984],1610612740.0,NOP,driving,,,Graham,D. Graham,,,,,3.44,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M20.00S,2022-03-21T23:12:04.9Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,3,2,2022-03-21T23:12:13Z,210000,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,20.0,2.0,1.0,1.0,,,,,,,,,,,
22,PT10M20.00S,2022-03-21T23:12:09.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,94.40999984741211,50.0,1610612740,3,2,2022-03-21T23:12:09Z,220000,0.0,0.0,1,right,MISS J. Valanciunas putback Layup,[202685],1610612740.0,NOP,putback,,,Valanciunas,J. Valanciunas,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M20.00S,2022-03-21T23:12:09.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,3,2,2022-03-21T23:12:09Z,230000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,
24,PT10M20.00S,2022-03-21T23:12:10.6Z,1,REGULAR,foul,personal,[],1629023,,,1610612740,3,2,2022-03-21T23:12:23Z,240000,,,0,,P. Washington loose ball personal FOUL (1 PF),"[1629023, 202685]",1610612766.0,CHA,loose ball,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,2003.0,1.0,0.0,Valanciunas,202685.0,
26,PT10M06.00S,2022-03-21T23:12:43.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203468,64.47109067017082,43.627450980392155,1610612740,3,5,2022-03-21T23:12:49Z,260000,-32.0,281.0,1,right,C. McCollum 28' 3PT  (3 PTS) (H. Jones 1 AST),"[203468, 1630529]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,28.33,Made,3.0,H. Jones,1630529.0,1.0,,,,,,,,,,,,,,,
28,PT09M51.00S,2022-03-21T23:12:56.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,6.1268068331143235,46.81372549019608,1610612766,5,5,2022-03-21T23:13:01Z,280000,16.0,5.0,1,left,M. Bridges alley-oop Layup (2 PTS) (P. Washington 1 AST),"[1628970, 1629023]",1610612766.0,CHA,alley-oop,,,Bridges,M. Bridges,,,,,1.67,Made,2.0,P. Washington,1629023.0,1.0,,,,,,,,,,,,,,,
30,PT09M37.00S,2022-03-21T23:13:14.9Z,1,REGULAR,turnover,traveling,[],1628984,,,1610612740,5,5,2022-03-21T23:13:21Z,300000,,,0,,D. Graham traveling TURNOVER (1 TO),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,1.0,,,1627961.0,,,,,
31,PT09M25.00S,2022-03-21T23:13:33.7Z,1,REGULAR,turnover,bad pass,[],203486,,,1610612766,5,5,2022-03-21T23:13:38Z,310000,,,0,,M. Plumlee bad pass TURNOVER (1 TO),"[203486, 202685]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,1.0,Valanciunas,202685.0,,,,,,
32,PT09M25.00S,2022-03-21T23:13:33.7Z,1,REGULAR,steal,,[],202685,,,1610612740,5,5,2022-03-21T23:17:47Z,320000,,,0,,J. Valanciunas STEAL (1 STL),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M18.00S,2022-03-21T23:13:39.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202685,89.83245729303549,43.38235294117647,1610612740,5,7,2022-03-21T23:13:46Z,330000,-33.0,43.0,1,right,J. Valanciunas running Layup (4 PTS),[202685],1610612740.0,NOP,running,,,Valanciunas,J. Valanciunas,,,,,5.43,Made,4.0,,,,,,,,,,,,,,,,,,
34,PT08M54.00S,2022-03-21T23:14:03.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,6.783837056504599,44.11764705882353,1610612766,5,7,2022-03-21T23:14:07Z,340000,29.0,11.0,1,left,MISS M. Bridges driving Layup - blocked,"[1628970, 1630529]",1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,3.15,Missed,,,,,,,,,Jones,1630529.0,,,,,,,,,
35,PT08M54.00S,2022-03-21T23:14:03.7Z,1,REGULAR,block,,[],1630529,,,1610612766,5,7,2022-03-21T23:14:06Z,350000,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M51.00S,2022-03-21T23:14:06.7Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,5,7,2022-03-21T23:14:07Z,360000,,,0,,H. Jones REBOUND (Off:0 Def:1),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,
37,PT08M44.00S,2022-03-21T23:14:13.8Z,1,REGULAR,3pt,Jump Shot,[],203468,91.80354796320631,95.34313725490196,1610612740,5,7,2022-03-21T23:14:19Z,370000,227.0,25.0,1,right,MISS C. McCollum 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,22.8,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M43.00S,2022-03-21T23:14:16.0Z,1,REGULAR,rebound,offensive,[],1629637,,,1610612740,5,7,2022-03-21T23:14:16Z,380000,,,0,,J. Hayes REBOUND (Off:1 Def:0),[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,37.0,1.0,0.0,1.0,,,,,,,,,,,
39,PT08M30.00S,2022-03-21T23:14:28.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203468,93.11760840998686,66.91176470588235,1610612740,5,7,2022-03-21T23:14:37Z,390000,85.0,12.0,1,right,MISS C. McCollum 8' turnaround fadeaway Shot,[203468],1610612740.0,NOP,turnaround fadeaway,,,McCollum,C. McCollum,,,,,8.55,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M28.00S,2022-03-21T23:14:30.2Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,5,7,2022-03-21T23:38:04Z,400000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,
41,PT08M25.00S,2022-03-21T23:14:32.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,30.831143232588698,33.088235294117645,1610612766,8,7,2022-03-21T23:23:09Z,410000,85.0,237.0,1,left,L. Ball 25' 3PT running pullup (3 PTS) (M. Bridges 1 AST),"[1630163, 1628970]",1610612766.0,CHA,running pullup,,,Ball,L. Ball,,,,,25.19,Made,3.0,M. Bridges,1628970.0,1.0,,,,,,,,,,,,,,,
42,PT08M10.00S,2022-03-21T23:14:47.5Z,1,REGULAR,2pt,Jump Shot,[],202685,84.44480946123521,71.81372549019608,1610612740,8,7,2022-03-21T23:14:56Z,420000,109.0,94.0,1,right,MISS J. Valanciunas 14' Jump Shot,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,14.38,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M07.00S,2022-03-21T23:14:50.5Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,8,7,2022-03-21T23:14:56Z,430000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,
44,PT08M02.00S,2022-03-21T23:14:55.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,26.888961892247043,6.127450980392156,1610612766,8,7,2022-03-21T23:23:44Z,440000,219.0,200.0,1,left,MISS L. Ball 29' running pullup 3PT,[1630163],1610612766.0,CHA,running pullup,,,Ball,L. Ball,,,,,29.71,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M00.00S,2022-03-21T23:14:57.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,8,7,2022-03-21T23:15:01Z,450000,,,0,,J. Valanciunas REBOUND (Off:1 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,44.0,3.0,2.0,1.0,,,,,,,,,,,
46,PT07M56.00S,2022-03-21T23:15:02.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628984,69.59592641261499,25.245098039215684,1610612740,8,7,2022-03-21T23:23:57Z,460000,-124.0,233.0,1,right,MISS D. Graham 26' running pullup 3PT,[1628984],1610612740.0,NOP,running pullup,,,Graham,D. Graham,,,,,26.41,Missed,,,,,,,,,,,,,,,,,,,
47,PT07M52.00S,2022-03-21T23:15:06.7Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,8,7,2022-03-21T23:15:08Z,470000,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,
48,PT07M36.00S,2022-03-21T23:15:22.2Z,1,REGULAR,3pt,Jump Shot,[],1629023,7.046649145860711,3.431372549019608,1610612766,8,7,2022-03-21T23:15:26Z,480000,233.0,14.0,1,left,MISS P. Washington 3PT,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,23.32,Missed,,,,,,,,,,,,,,,,,,,
49,PT07M34.00S,2022-03-21T23:15:24.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,8,7,2022-03-21T23:15:26Z,490000,,,0,,J. Valanciunas REBOUND (Off:1 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,48.0,4.0,3.0,1.0,,,,,,,,,,,
50,PT07M21.00S,2022-03-21T23:15:37.5Z,1,REGULAR,3pt,Jump Shot,[],1630529,70.77858081471747,76.47058823529412,1610612740,8,7,2022-03-21T23:15:42Z,500000,132.0,222.0,1,right,MISS H. Jones 25' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,25.87,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M17.00S,2022-03-21T23:15:41.5Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,8,7,2022-03-21T23:15:42Z,510000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,
52,PT07M07.00S,2022-03-21T23:15:51.9Z,1,REGULAR,2pt,Jump Shot,[],1630163,20.318659658344284,70.58823529411765,1610612766,8,7,2022-03-21T23:15:58Z,520000,-103.0,138.0,1,left,MISS L. Ball 17' pullup Shot,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,17.25,Missed,,,,,,,,,,,,,,,,,,,
53,PT07M03.00S,2022-03-21T23:15:54.5Z,1,REGULAR,rebound,defensive,[],1630529,,,1610612740,8,7,2022-03-21T23:15:54Z,530000,,,0,,H. Jones REBOUND (Off:0 Def:2),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,52.0,2.0,2.0,0.0,,,,,,,,,,,
54,PT06M58.00S,2022-03-21T23:16:01.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628984,92.72339027595268,50.73529411764706,1610612740,8,9,2022-03-21T23:16:08Z,540000,4.0,16.0,1,right,D. Graham driving finger roll Layup (2 PTS),[1628984],1610612740.0,NOP,driving finger roll,,,Graham,D. Graham,,,,,1.63,Made,2.0,,,,,,,,,,,,,,,,,,
55,PT06M58.00S,2022-03-21T23:16:10.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,8,9,2022-03-21T23:16:10Z,550000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M58.00S,2022-03-21T23:16:12.3Z,1,REGULAR,substitution,out,[],1629023,,,1610612766,8,9,2022-03-21T23:19:03Z,560000,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M58.00S,2022-03-21T23:16:12.3Z,1,REGULAR,substitution,in,[],1628998,,,1610612766,8,9,2022-03-21T23:19:03Z,570000,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M58.00S,2022-03-21T23:19:13.1Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612766,8,9,2022-03-21T23:25:50Z,580000,,,0,,TEAM delay-of-game VIOLATION,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,2003.0,,,,,
59,PT06M47.00S,2022-03-21T23:19:22.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203486,7.178055190538765,50.0,1610612766,8,9,2022-03-21T23:26:13Z,590000,0.0,15.0,1,left,MISS M. Plumlee cutting Layup,[203486],1610612766.0,CHA,cutting,,,Plumlee,M. Plumlee,,,,,1.5,Missed,,,,,,,,,,,,,,,,,,,
60,PT06M44.00S,2022-03-21T23:19:25.2Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,8,9,2022-03-21T23:19:26Z,600000,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,59.0,2.0,1.0,1.0,,,,,,,,,,,
61,PT06M44.00S,2022-03-21T23:19:25.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203486,5.590000152587891,50.0,1610612766,8,9,2022-03-21T23:26:34Z,610000,0.0,0.0,1,left,MISS M. Plumlee tip Layup,[203486],1610612766.0,CHA,tip,,,Plumlee,M. Plumlee,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
62,PT06M43.00S,2022-03-21T23:19:26.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,8,9,2022-03-21T23:26:34Z,620000,,,0,,J. Valanciunas REBOUND (Off:1 Def:4),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,61.0,5.0,4.0,1.0,,,,,,,,,,,
63,PT06M24.00S,2022-03-21T23:19:45.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629637,93.38042049934296,62.745098039215684,1610612740,8,9,2022-03-21T23:27:02Z,630000,64.0,10.0,1,right,MISS J. Hayes 6' floating Shot,[1629637],1610612740.0,NOP,floating,,,Hayes,J. Hayes,,,,,6.44,Missed,,,,,,,,,,,,,,,,,,,
64,PT06M22.00S,2022-03-21T23:19:46.9Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,8,9,2022-03-21T23:19:46Z,640000,,,0,,M. Plumlee REBOUND (Off:1 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,63.0,3.0,2.0,1.0,,,,,,,,,,,
65,PT06M17.00S,2022-03-21T23:20:01.2Z,1,REGULAR,foul,offensive,[],203486,,,1610612766,8,9,2022-03-21T23:27:27Z,650000,,,0,,M. Plumlee charge offensive FOUL (1 PF),"[203486, 1628984]",1610612766.0,CHA,charge,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,1627961.0,1.0,0.0,Graham,1628984.0,
67,PT06M17.00S,2022-03-21T23:20:01.2Z,1,REGULAR,turnover,offensive foul,[],203486,,,1610612766,8,9,2022-03-21T23:20:01Z,670000,,,0,,M. Plumlee offensive foul TURNOVER (2 TO),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,2.0,,,1627961.0,,,,,
68,PT06M17.00S,2022-03-21T23:20:11.7Z,1,REGULAR,substitution,out,[],1630163,,,1610612740,8,9,2022-03-21T23:20:20Z,680000,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M17.00S,2022-03-21T23:20:11.7Z,1,REGULAR,substitution,out,[],203486,,,1610612740,8,9,2022-03-21T23:20:20Z,690000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M17.00S,2022-03-21T23:20:11.7Z,1,REGULAR,substitution,in,[],1626162,,,1610612740,8,9,2022-03-21T23:20:20Z,700000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M17.00S,2022-03-21T23:20:11.7Z,1,REGULAR,substitution,in,[],1626149,,,1610612740,8,9,2022-03-21T23:20:20Z,710000,,,0,,SUB in: M. Harrell,[1626149],1610612766.0,CHA,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M04.00S,2022-03-21T23:20:30.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629637,90.62089356110381,50.49019607843137,1610612740,8,9,2022-03-21T23:20:37Z,720000,2.0,36.0,1,right,MISS J. Hayes cutting Layup - blocked,"[1629637, 1626162]",1610612740.0,NOP,cutting,,,Hayes,J. Hayes,,,,,3.58,Missed,,,,,,,,,Oubre Jr.,1626162.0,,,,,,,,,
73,PT06M04.00S,2022-03-21T23:20:30.0Z,1,REGULAR,block,,[],1626162,,,1610612740,8,9,2022-03-21T23:20:32Z,730000,,,0,,K. Oubre Jr. BLOCK (1 BLK),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M01.00S,2022-03-21T23:20:33.0Z,1,REGULAR,rebound,defensive,[],1626149,,,1610612766,8,9,2022-03-21T23:20:37Z,740000,,,0,,M. Harrell REBOUND (Off:0 Def:1),[1626149],1610612766.0,CHA,,,,Harrell,M. Harrell,,,,,,,,,,,72.0,1.0,1.0,0.0,,,,,,,,,,,
75,PT05M56.00S,2022-03-21T23:20:37.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628970,6.1268068331143235,2.696078431372549,1610612766,8,9,2022-03-21T23:28:23Z,750000,237.0,5.0,1,left,MISS M. Bridges running 3PT,[1628970],1610612766.0,CHA,running,,,Bridges,M. Bridges,,,,,23.66,Missed,,,,,,,,,,,,,,,,,,,
76,PT05M54.00S,2022-03-21T23:20:39.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,8,9,2022-03-21T23:20:41Z,760000,,,0,,J. Valanciunas REBOUND (Off:1 Def:5),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,75.0,6.0,5.0,1.0,,,,,,,,,,,
77,PT05M51.00S,2022-03-21T23:20:44.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629637,89.70105124835742,53.18627450980392,1610612740,8,9,2022-03-21T23:20:53Z,770000,16.0,44.0,1,right,MISS J. Hayes running Layup - blocked,"[1629637, 1626179]",1610612740.0,NOP,running,,,Hayes,J. Hayes,,,,,4.71,Missed,,,,,,,,,Rozier,1626179.0,,,,,,,,,
78,PT05M51.00S,2022-03-21T23:20:44.8Z,1,REGULAR,block,,[],1626179,,,1610612740,8,9,2022-03-21T23:20:48Z,780000,,,0,,T. Rozier BLOCK (1 BLK),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M51.00S,2022-03-21T23:20:44.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,8,9,2022-03-21T23:20:53Z,790000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,
80,PT05M51.00S,2022-03-21T23:20:52.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612740,8,9,2022-03-21T23:20:52Z,800000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M51.00S,2022-03-21T23:20:53.4Z,1,REGULAR,substitution,out,[],1628984,,,1610612740,8,9,2022-03-21T23:20:58Z,810000,,,0,,SUB out: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M51.00S,2022-03-21T23:20:53.4Z,1,REGULAR,substitution,out,[],202685,,,1610612740,8,9,2022-03-21T23:20:58Z,820000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M51.00S,2022-03-21T23:20:53.4Z,1,REGULAR,substitution,in,[],1630631,,,1610612740,8,9,2022-03-21T23:20:58Z,830000,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M51.00S,2022-03-21T23:20:53.4Z,1,REGULAR,substitution,in,[],1626195,,,1610612740,8,9,2022-03-21T23:20:58Z,840000,,,0,,SUB in: W. Hernangomez,[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,
