actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
16,PT10M52.00S,2022-02-13T00:12:16.7Z,1,REGULAR,turnover,out-of-bounds,[],1630217,,,1610612763,0,2,2022-02-13T00:13:54Z,150000,,,0,,D. Bane lost ball out-of-bounds TURNOVER (1 TO),[1630217],1610612763.0,MEM,lost ball,,,Bane,D. Bane,,,,,,,,,,,,1.0,,,202058.0,,,,,,,,,,
17,PT10M49.00S,2022-02-13T00:12:28.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626162,20.45006570302234,5.88235294117647,1610612766,0,2,2022-02-13T00:12:32Z,160000,221.0,140.0,1,left,MISS K. Oubre Jr. 26' 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,26.11,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M45.00S,2022-02-13T00:12:32.0Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,0,2,2022-02-13T00:12:32Z,170000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M34.00S,2022-02-13T00:12:42.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,93.11760840998686,54.166666666666664,1610612763,0,2,2022-02-13T00:12:48Z,180000,21.0,12.0,1,right,MISS J. Morant finger roll Layup,[1629630],1610612763.0,MEM,finger roll,,,Morant,J. Morant,,,,,2.41,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M32.00S,2022-02-13T00:12:45.8Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,0,2,2022-02-13T00:12:45Z,190000,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,,
21,PT10M32.00S,2022-02-13T00:12:45.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,94.40999984741211,50.0,1610612763,0,4,2022-02-13T00:12:45Z,200000,0.0,0.0,1,right,S. Adams tip Layup (2 PTS),[203500],1610612763.0,MEM,tip,,,Adams,S. Adams,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
22,PT10M10.00S,2022-02-13T00:13:18.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,8.229303547963205,48.77450980392157,1610612766,2,4,2022-02-13T00:13:23Z,210000,6.0,25.0,1,left,K. Oubre Jr. Layup (2 PTS) (M. Bridges 1 AST),"[1626162, 1628970]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,2.56,Made,2.0,,,,,,,,,M. Bridges,1628970.0,1.0,,,,,,,
24,PT09M51.00S,2022-02-13T00:13:37.5Z,1,REGULAR,3pt,Jump Shot,[],1628991,88.91261498028909,98.77450980392157,1610612763,2,4,2022-02-13T00:13:41Z,230000,244.0,52.0,1,right,MISS J. Jackson Jr. 24' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,24.93,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M49.00S,2022-02-13T00:13:39.5Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,2,4,2022-02-13T00:13:41Z,240000,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:0),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,24.0,1.0,0.0,1.0,,,,,,,,,,,,,,
26,PT09M48.00S,2022-02-13T00:13:40.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628991,92.06636005256242,51.470588235294116,1610612763,2,4,2022-02-13T00:15:57Z,250000,7.0,22.0,1,right,MISS J. Jackson Jr. driving finger roll Layup,[1628991],1610612763.0,MEM,driving finger roll,,,Jackson Jr.,J. Jackson Jr.,,,,,2.33,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M46.00S,2022-02-13T00:13:42.6Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,2,4,2022-02-13T00:13:43Z,260000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT09M41.00S,2022-02-13T00:13:49.1Z,1,REGULAR,foul,personal,[],1630217,,,1610612766,2,4,2022-02-13T00:14:23Z,270000,,,0,,D. Bane personal FOUL (1 PF),"[1630217, 1626162]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,1627964.0,,,,1.0,0.0,Oubre Jr.,1626162.0,,,
30,PT09M38.00S,2022-02-13T00:14:31.4Z,1,REGULAR,foul,offensive,[],203486,,,1610612766,2,4,2022-02-13T00:14:48Z,290000,,,0,,M. Plumlee offensive FOUL (1 PF),"[203486, 1628991]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,202058.0,,,,1.0,0.0,Jackson Jr.,1628991.0,,,
32,PT09M38.00S,2022-02-13T00:14:31.4Z,1,REGULAR,turnover,offensive foul,[],203486,,,1610612766,2,4,2022-02-13T00:14:31Z,310000,,,0,,M. Plumlee offensive foul TURNOVER (1 TO),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,1.0,,,202058.0,,,,,,,,,,
33,PT09M23.00S,2022-02-13T00:15:04.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630217,89.43823915900131,97.54901960784314,1610612763,2,7,2022-02-13T00:15:08Z,320000,238.0,47.0,1,right,D. Bane 24' 3PT  (3 PTS) (J. Morant 1 AST),"[1630217, 1629630]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,24.23,Made,3.0,,,,,,,,,J. Morant,1629630.0,1.0,,,,,,,
35,PT09M09.00S,2022-02-13T00:15:17.6Z,1,REGULAR,3pt,Jump Shot,[],1630163,33.459264126149804,45.09803921568628,1610612766,2,7,2022-02-13T00:15:21Z,340000,25.0,262.0,1,left,MISS L. Ball 26' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,26.31,Missed,,,,,,,,,,,,,,,,,,,
36,PT09M06.00S,2022-02-13T00:15:20.6Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,2,7,2022-02-13T00:15:21Z,350000,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,35.0,2.0,1.0,1.0,,,,,,,,,,,,,,
37,PT08M59.00S,2022-02-13T00:15:30.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,2,7,2022-02-13T00:15:30Z,360000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M50.00S,2022-02-13T00:15:53.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203500,93.77463863337714,53.18627450980392,1610612763,2,9,2022-02-13T00:16:00Z,370000,16.0,6.0,1,right,S. Adams Layup (4 PTS) (D. Bane 1 AST),"[203500, 1630217]",1610612763.0,MEM,,,,Adams,S. Adams,,,,,1.7,Made,4.0,,,,,,,,,D. Bane,1630217.0,1.0,,,,,,,
40,PT08M34.00S,2022-02-13T00:16:08.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,17.821944809461236,50.49019607843137,1610612766,2,9,2022-02-13T00:16:13Z,390000,-2.0,115.0,1,left,MISS T. Rozier 11' pullup Shot,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,11.5,Missed,,,,,,,,,,,,,,,,,,,
41,PT08M31.00S,2022-02-13T00:16:11.5Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,2,9,2022-02-13T00:16:13Z,400000,,,0,,S. Adams REBOUND (Off:1 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,40.0,3.0,2.0,1.0,,,,,,,,,,,,,,
42,PT08M27.00S,2022-02-13T00:16:17.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,92.9862023653088,49.26470588235294,1610612763,2,11,2022-02-13T00:16:35Z,410000,-4.0,13.0,1,right,D. Bane running Layup (5 PTS),[1630217],1610612763.0,MEM,running,,,Bane,D. Bane,,,,,1.39,Made,5.0,,,,,,,,,,,,,,,,,,
43,PT08M27.00S,2022-02-13T00:16:19.6Z,1,REGULAR,foul,personal,['1freethrow'],1626179,,,1610612763,2,11,2022-02-13T00:16:29Z,420000,,,0,,T. Rozier shooting personal FOUL (1 PF) (Bane 1 FT),"[1626179, 1630217]",1610612766.0,CHA,shooting,,,Rozier,T. Rozier,,,,,,,,,,,,,,,1627964.0,,,,1.0,0.0,Bane,1630217.0,,,
45,PT08M27.00S,2022-02-13T00:16:49.8Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1630217,,,1610612763,2,12,2022-02-13T00:16:57Z,440000,,,0,,D. Bane Free Throw 1 of 1 (6 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,Made,6.0,,,,,,,,,,,,,,,,,,
46,PT08M18.00S,2022-02-13T00:17:01.2Z,1,REGULAR,3pt,Jump Shot,[],1626162,8.360709592641262,4.411764705882353,1610612766,2,12,2022-02-13T00:17:09Z,450000,228.0,26.0,1,left,MISS K. Oubre Jr. 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,22.94,Missed,,,,,,,,,,,,,,,,,,,
47,PT08M15.00S,2022-02-13T00:17:04.2Z,1,REGULAR,rebound,offensive,[],1626179,,,1610612766,2,12,2022-02-13T00:19:47Z,460000,,,0,,T. Rozier REBOUND (Off:1 Def:0),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,46.0,1.0,0.0,1.0,,,,,,,,,,,,,,
48,PT08M04.00S,2022-02-13T00:17:15.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626179,11.514454664914586,49.50980392156863,1610612766,2,12,2022-02-13T00:20:11Z,470000,2.0,56.0,1,left,MISS T. Rozier driving floating Shot,[1626179],1610612766.0,CHA,driving floating,,,Rozier,T. Rozier,,,,,5.58,Missed,,,,,,,,,,,,,,,,,,,
49,PT07M58.00S,2022-02-13T00:17:21.5Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612766,2,12,2022-02-13T00:17:21Z,480000,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:0),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,48.0,1.0,0.0,1.0,,,,,,,,,,,,,,
50,PT07M58.00S,2022-02-13T00:17:21.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626162,5.590000152587891,50.0,1610612766,2,12,2022-02-13T00:17:21Z,490000,0.0,0.0,1,left,MISS K. Oubre Jr. tip Layup,[1626162],1610612766.0,CHA,tip,,,Oubre Jr.,K. Oubre Jr.,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M57.00S,2022-02-13T00:17:22.7Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612766,2,12,2022-02-13T00:17:22Z,500000,,,0,,K. Oubre Jr. REBOUND (Off:2 Def:0),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,50.0,2.0,0.0,2.0,,,,,,,,,,,,,,
52,PT07M57.00S,2022-02-13T00:17:22.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626162,5.590000152587891,50.0,1610612766,2,12,2022-02-13T00:17:27Z,510000,0.0,0.0,1,left,MISS K. Oubre Jr. tip Layup,[1626162],1610612766.0,CHA,tip,,,Oubre Jr.,K. Oubre Jr.,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
53,PT07M57.00S,2022-02-13T00:17:22.7Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612766,2,12,2022-02-13T00:17:27Z,520000,,,0,,K. Oubre Jr. REBOUND (Off:3 Def:0),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,52.0,3.0,0.0,3.0,,,,,,,,,,,,,,
54,PT07M55.00S,2022-02-13T00:17:25.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626162,5.590000152587891,50.0,1610612766,2,12,2022-02-13T00:18:30Z,530000,0.0,0.0,1,left,MISS K. Oubre Jr. putback Layup,[1626162],1610612766.0,CHA,putback,,,Oubre Jr.,K. Oubre Jr.,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
56,PT07M53.00S,2022-02-13T00:17:27.4Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,2,12,2022-02-13T00:18:30Z,550000,,,0,,D. Bane REBOUND (Off:0 Def:2),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,54.0,2.0,2.0,0.0,,,,,,,,,,,,,,
57,PT07M53.00S,2022-02-13T00:17:28.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,90.75229960578186,54.166666666666664,1610612763,2,14,2022-02-13T00:18:41Z,560000,21.0,34.0,1,right,J. Morant reverse Layup (4 PTS) (D. Bane 2 AST),"[1629630, 1630217]",1610612763.0,MEM,reverse,,,Morant,J. Morant,,,,,4.02,Made,4.0,,,,,,,,,D. Bane,1630217.0,2.0,,,,,,,
59,PT07M53.00S,2022-02-13T00:17:33.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,2,14,2022-02-13T00:17:33Z,580000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M44.00S,2022-02-13T00:20:41.3Z,1,REGULAR,foul,personal,[],1630533,,,1610612766,2,14,2022-02-13T00:20:48Z,590000,,,0,,Z. Williams personal FOUL (1 PF),"[1630533, 1630163]",1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,204058.0,,,,1.0,0.0,Ball,1630163.0,,,
62,PT07M34.00S,2022-02-13T00:21:03.8Z,1,REGULAR,3pt,Jump Shot,[],1630163,5.469776609724048,95.34313725490196,1610612766,2,14,2022-02-13T00:21:08Z,610000,-227.0,-1.0,1,left,MISS L. Ball 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,22.67,Missed,,,,,,,,,,,,,,,,,,,
63,PT07M30.00S,2022-02-13T00:21:07.8Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,2,14,2022-02-13T00:21:08Z,620000,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,62.0,2.0,1.0,1.0,,,,,,,,,,,,,,
64,PT07M25.00S,2022-02-13T00:21:11.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630217,89.96386333771353,53.18627450980392,1610612763,2,14,2022-02-13T00:21:18Z,630000,16.0,42.0,1,right,MISS D. Bane driving finger roll Layup,[1630217],1610612763.0,MEM,driving finger roll,,,Bane,D. Bane,,,,,4.47,Missed,,,,,,,,,,,,,,,,,,,
65,PT07M21.00S,2022-02-13T00:21:15.9Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,2,14,2022-02-13T00:21:18Z,640000,,,0,,S. Adams REBOUND (Off:2 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,64.0,4.0,2.0,2.0,,,,,,,,,,,,,,
66,PT07M21.00S,2022-02-13T00:21:16.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,94.40999984741211,50.0,1610612763,2,16,2022-02-13T00:21:16Z,650000,0.0,0.0,1,right,S. Adams tip Layup (6 PTS),[203500],1610612763.0,MEM,tip,,,Adams,S. Adams,,,,,0.0,Made,6.0,,,,,,,,,,,,,,,,,,
67,PT07M14.00S,2022-02-13T00:21:23.4Z,1,REGULAR,turnover,bad pass,[],1628970,,,1610612766,2,16,2022-02-13T00:21:27Z,660000,,,0,,M. Bridges bad pass TURNOVER (1 TO),"[1628970, 1630533]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,1.0,Williams,1630533.0,,,,,,,,,,,
68,PT07M14.00S,2022-02-13T00:21:23.4Z,1,REGULAR,steal,,[],1630533,,,1610612763,2,16,2022-02-13T00:21:24Z,670000,,,0,,Z. Williams STEAL (1 STL),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M08.00S,2022-02-13T00:21:28.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630217,92.32917214191852,97.54901960784314,1610612763,2,19,2022-02-13T00:21:35Z,680000,238.0,20.0,1,right,D. Bane 3PT  (9 PTS) (J. Morant 2 AST),"[1630217, 1629630]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,23.85,Made,9.0,,,,,,,,,J. Morant,1629630.0,2.0,,,,,,,
71,PT06M58.00S,2022-02-13T00:21:41.0Z,1,REGULAR,foul,personal,['2freethrow'],203500,,,1610612766,2,19,2022-02-13T00:21:57Z,700000,,,0,,S. Adams shooting personal FOUL (1 PF) (Rozier 2 FT),"[203500, 1626179]",1610612763.0,MEM,shooting,,,Adams,S. Adams,,,,,,,,,,,,,,,202058.0,,,,1.0,0.0,Rozier,1626179.0,,,
73,PT06M58.00S,2022-02-13T00:22:06.4Z,1,REGULAR,freethrow,1 of 2,[],1626179,,,1610612766,3,19,2022-02-13T00:22:06Z,720000,,,0,,T. Rozier Free Throw 1 of 2 (1 PTS),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
74,PT06M58.00S,2022-02-13T00:22:08.0Z,1,REGULAR,substitution,out,[],1626162,,,1610612766,3,19,2022-02-13T00:22:31Z,730000,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M58.00S,2022-02-13T00:22:08.0Z,1,REGULAR,substitution,out,[],203486,,,1610612766,3,19,2022-02-13T00:22:31Z,740000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M58.00S,2022-02-13T00:22:08.0Z,1,REGULAR,substitution,out,[],1630217,,,1610612766,3,19,2022-02-13T00:22:31Z,750000,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M58.00S,2022-02-13T00:22:08.0Z,1,REGULAR,substitution,out,[],1628991,,,1610612766,3,19,2022-02-13T00:22:31Z,760000,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M58.00S,2022-02-13T00:22:08.0Z,1,REGULAR,substitution,in,[],1629023,,,1610612766,3,19,2022-02-13T00:22:31Z,770000,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M58.00S,2022-02-13T00:22:08.0Z,1,REGULAR,substitution,in,[],1626149,,,1610612766,3,19,2022-02-13T00:22:31Z,780000,,,0,,SUB in: M. Harrell,[1626149],1610612766.0,CHA,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M58.00S,2022-02-13T00:22:08.0Z,1,REGULAR,substitution,in,[],203937,,,1610612766,3,19,2022-02-13T00:22:31Z,790000,,,0,,SUB in: K. Anderson,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M58.00S,2022-02-13T00:22:08.0Z,1,REGULAR,substitution,in,[],1629001,,,1610612766,3,19,2022-02-13T00:22:31Z,800000,,,0,,SUB in: D. Melton,[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M58.00S,2022-02-13T00:22:35.5Z,1,REGULAR,freethrow,2 of 2,[],1626179,,,1610612766,4,19,2022-02-13T00:22:35Z,810000,,,0,,T. Rozier Free Throw 2 of 2 (2 PTS),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
83,PT06M45.00S,2022-02-13T00:22:53.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629001,91.67214191852825,52.69607843137255,1610612763,4,21,2022-02-13T00:22:56Z,820000,13.0,26.0,1,right,D. Melton cutting Layup (2 PTS) (S. Adams 1 AST),"[1629001, 203500]",1610612763.0,MEM,cutting,,,Melton,D. Melton,,,,,2.91,Made,2.0,,,,,,,,,S. Adams,203500.0,1.0,,,,,,,
85,PT06M30.00S,2022-02-13T00:23:08.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,10.988830486202366,49.754901960784316,1610612766,4,21,2022-02-13T00:23:13Z,840000,1.0,51.0,1,left,MISS M. Bridges driving Layup - blocked,"[1628970, 203500]",1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,5.08,Missed,,,,,,,,,,,,,,,,,Adams,203500.0,
86,PT06M30.00S,2022-02-13T00:23:08.3Z,1,REGULAR,block,,[],203500,,,1610612766,4,21,2022-02-13T00:23:10Z,850000,,,0,,S. Adams BLOCK (1 BLK),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M27.00S,2022-02-13T00:23:11.3Z,1,REGULAR,rebound,offensive,[],1629023,,,1610612766,4,21,2022-02-13T00:23:13Z,860000,,,0,,P. Washington REBOUND (Off:1 Def:0),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,85.0,1.0,0.0,1.0,,,,,,,,,,,,,,
88,PT06M25.00S,2022-02-13T00:23:13.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628970,8.623521681997373,3.1862745098039214,1610612766,4,21,2022-02-13T00:23:16Z,870000,234.0,29.0,1,left,MISS M. Bridges 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,23.58,Missed,,,,,,,,,,,,,,,,,,,
89,PT06M23.00S,2022-02-13T00:23:15.2Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612763,4,21,2022-02-13T00:23:16Z,880000,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],1610612763.0,MEM,,,,Melton,D. Melton,,,,,,,,88.0,1.0,1.0,0.0,,,,,,,,,,,,,,
