actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
19,PT10M28.00S,2021-11-27T00:12:33.7Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,2,2,2021-11-27T00:14:32Z,190000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M18.00S,2021-11-27T00:12:42.5Z,1,REGULAR,3pt,Jump Shot,[],1626157,30.305519053876477,70.58823529411765,1610612750,2,5,2021-11-27T00:12:47Z,200000,-103.0,232.0,1,left,K. Towns 25' 3PT  (3 PTS) (D. Russell 1 AST),"[1626157, 1626156]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,25.42,Made,,,,,3.0,D. Russell,1626156.0,1.0,,,,,,,,,,
23,PT10M01.00S,2021-11-27T00:13:02.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,2,5,2021-11-27T00:13:02Z,220000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M58.00S,2021-11-27T00:13:20.9Z,1,REGULAR,3pt,Jump Shot,[],202330,74.85216819973719,15.196078431372548,1610612766,2,5,2021-11-27T00:13:25Z,230000,-174.0,184.0,1,right,MISS G. Hayward 25' 3PT,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,25.32,Missed,,,,,,,,,,,,,,,,,,
26,PT09M55.00S,2021-11-27T00:13:23.9Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,2,5,2021-11-27T00:13:25Z,240000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M48.00S,2021-11-27T00:13:33.3Z,1,REGULAR,3pt,Jump Shot,[],1630162,31.61957950065703,33.088235294117645,1610612750,2,5,2021-11-27T00:16:13Z,250000,85.0,245.0,1,left,MISS A. Edwards 25' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,25.89,Missed,,,,,,,,,,,,,,,,,,
28,PT09M45.00S,2021-11-27T00:13:36.3Z,1,REGULAR,rebound,offensive,[],1630183,,,1610612750,2,5,2021-11-27T00:16:13Z,260000,,,0,,J. McDaniels REBOUND (Off:1 Def:0),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,27.0,1.0,0.0,1.0,,,,,,,,,,,,,,
29,PT09M44.00S,2021-11-27T00:13:37.3Z,1,REGULAR,turnover,out-of-bounds,[],1630183,,,1610612750,2,5,2021-11-27T00:13:44Z,270000,,,0,,J. McDaniels step out-of-bounds TURNOVER (1 TO),[1630183],1610612750.0,MIN,step,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,1628480.0,1.0,,,,,,,,
41,PT09M44.00S,2021-11-27T00:13:47.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,2,5,2021-11-27T00:16:49Z,275000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M33.00S,2021-11-27T00:13:57.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629023,70.77858081471747,75.0,1610612766,5,5,2021-11-27T00:14:01Z,280000,125.0,222.0,1,right,P. Washington 25' 3PT  (3 PTS) (L. Ball 1 AST),"[1629023, 1630163]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,25.49,Made,,,,,3.0,L. Ball,1630163.0,1.0,,,,,,,,,,
33,PT09M10.00S,2021-11-27T00:14:19.6Z,1,REGULAR,3pt,Jump Shot,[],1626156,20.318659658344284,6.61764705882353,1610612750,5,8,2021-11-27T00:14:27Z,300000,217.0,138.0,1,left,D. Russell 25' 3PT  (5 PTS) (A. Edwards 1 AST),"[1626156, 1630162]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,25.73,Made,,,,,5.0,A. Edwards,1630162.0,1.0,,,,,,,,,,
35,PT09M06.00S,2021-11-27T00:14:23.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1626179,92.72339027595268,50.73529411764706,1610612766,7,8,2021-11-27T00:14:33Z,320000,4.0,16.0,1,right,T. Rozier running DUNK (2 PTS) (L. Ball 2 AST),"[1626179, 1630163]",1610612766.0,CHA,running,,,Rozier,T. Rozier,,,,,1.63,Made,,,,,2.0,L. Ball,1630163.0,2.0,,,,,,,,,,
37,PT08M52.00S,2021-11-27T00:14:38.3Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,7,8,2021-11-27T00:15:05Z,340000,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 1626179]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,1.0,Rozier,1626179.0,,,,,,
38,PT08M52.00S,2021-11-27T00:14:38.3Z,1,REGULAR,steal,,[],1626179,,,1610612766,7,8,2021-11-27T00:14:42Z,350000,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M50.00S,2021-11-27T00:14:43.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626179,93.51182654402102,48.28431372549019,1610612766,9,8,2021-11-27T00:14:55Z,360000,-9.0,8.0,1,right,T. Rozier running finger roll Layup (4 PTS),[1626179],1610612766.0,CHA,running finger roll,,,Rozier,T. Rozier,,,,,1.21,Made,,,,,4.0,,,,,,,,,,,,,
40,PT08M50.00S,2021-11-27T00:14:51.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,9,8,2021-11-27T00:14:51Z,370000,,,0,,MIN Timeout,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M35.00S,2021-11-27T00:17:48.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,7.966491458607096,50.98039215686274,1610612750,9,8,2021-11-27T00:18:15Z,380000,-5.0,22.0,1,left,MISS A. Edwards driving finger roll Layup,[1630162],1610612750.0,MIN,driving finger roll,,,Edwards,A. Edwards,,,,,2.29,Missed,,,,,,,,,,,,,,,,,,
43,PT08M33.00S,2021-11-27T00:17:50.7Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,9,8,2021-11-27T00:17:54Z,390000,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,
44,PT08M29.00S,2021-11-27T00:17:54.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",202330,91.93495400788436,52.20588235294118,1610612766,9,8,2021-11-27T00:18:48Z,400000,11.0,23.0,1,right,MISS G. Hayward running DUNK,[202330],1610612766.0,CHA,running,,,Hayward,G. Hayward,,,,,2.58,Missed,,,,,,,,,,,,,,,,,,
45,PT08M27.00S,2021-11-27T00:17:56.3Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,9,8,2021-11-27T00:17:59Z,410000,,,0,,J. McDaniels REBOUND (Off:1 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,44.0,2.0,1.0,1.0,,,,,,,,,,,,,,
46,PT08M07.00S,2021-11-27T00:18:16.1Z,1,REGULAR,2pt,Jump Shot,[],1626156,25.443495400788436,44.85294117647059,1610612750,9,10,2021-11-27T00:19:46Z,420000,26.0,187.0,1,left,D. Russell 18' step back Jump Shot (7 PTS),[1626156],1610612750.0,MIN,step back,,,Russell,D. Russell,,,,,18.85,Made,,,,,7.0,,,,,,,,,,,,,
47,PT07M57.00S,2021-11-27T00:18:26.1Z,1,REGULAR,3pt,Jump Shot,[],1630163,65.65374507227332,59.55882352941176,1610612766,9,10,2021-11-27T00:18:30Z,430000,48.0,270.0,1,right,MISS L. Ball 27' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,27.46,Missed,,,,,,,,,,,,,,,,,,
48,PT07M55.00S,2021-11-27T00:18:28.1Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,9,10,2021-11-27T00:18:30Z,440000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,,
49,PT07M40.00S,2021-11-27T00:18:43.2Z,1,REGULAR,2pt,Jump Shot,[],1626157,21.895532194480946,50.73529411764706,1610612750,9,10,2021-11-27T00:20:29Z,450000,-4.0,153.0,1,left,MISS K. Towns 15' fadeaway Shot,[1626157],1610612750.0,MIN,fadeaway,,,Towns,K. Towns,,,,,15.33,Missed,,,,,,,,,,,,,,,,,,
50,PT07M38.00S,2021-11-27T00:18:45.2Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,9,10,2021-11-27T00:18:48Z,460000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,,
51,PT07M33.00S,2021-11-27T00:18:49.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202330,91.27792378449409,2.450980392156863,1610612766,12,10,2021-11-27T00:21:17Z,470000,-238.0,29.0,1,right,G. Hayward 3PT running (5 PTS) (L. Ball 3 AST),"[202330, 1630163]",1610612766.0,CHA,running,,,Hayward,G. Hayward,,,,,23.95,Made,,,,,5.0,L. Ball,1630163.0,3.0,,,,,,,,,,
53,PT07M20.00S,2021-11-27T00:19:02.7Z,1,REGULAR,2pt,Jump Shot,[],1626156,20.318659658344284,73.0392156862745,1610612750,12,12,2021-11-27T00:19:06Z,490000,-115.0,138.0,1,left,D. Russell 18' pullup Jump Shot (9 PTS),[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,18.01,Made,,,,,9.0,,,,,,,,,,,,,
54,PT07M11.00S,2021-11-27T00:19:11.8Z,1,REGULAR,3pt,Jump Shot,[],1626179,71.82982917214193,19.607843137254903,1610612766,15,12,2021-11-27T00:19:16Z,500000,-152.0,212.0,1,right,T. Rozier 26' 3PT  (7 PTS) (L. Ball 4 AST),"[1626179, 1630163]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,26.11,Made,,,,,7.0,L. Ball,1630163.0,4.0,,,,,,,,,,
56,PT06M56.00S,2021-11-27T00:19:26.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,6.1268068331143235,49.01960784313725,1610612750,15,14,2021-11-27T00:19:33Z,520000,5.0,5.0,1,left,A. Edwards driving reverse Layup (2 PTS),[1630162],1610612750.0,MIN,driving reverse,,,Edwards,A. Edwards,,,,,0.71,Made,,,,,2.0,,,,,,,,,,,,,
57,PT06M49.00S,2021-11-27T00:19:33.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202330,91.01511169513797,48.77450980392157,1610612766,15,14,2021-11-27T00:23:15Z,530000,-6.0,32.0,1,right,MISS G. Hayward running Layup - blocked,"[202330, 1629020]",1610612766.0,CHA,running,,,Hayward,G. Hayward,,,,,3.26,Missed,,,,,,,,,,,,,Vanderbilt,1629020.0,,,,
58,PT06M49.00S,2021-11-27T00:19:33.6Z,1,REGULAR,block,,[],1629020,,,1610612766,15,14,2021-11-27T00:28:36Z,540000,,,0,,J. Vanderbilt BLOCK (1 BLK),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M46.00S,2021-11-27T00:19:36.6Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,15,14,2021-11-27T00:26:15Z,550000,,,0,,J. McDaniels REBOUND (Off:1 Def:2),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,57.0,3.0,2.0,1.0,,,,,,,,,,,,,,
60,PT06M45.00S,2021-11-27T00:19:37.7Z,1,REGULAR,turnover,bad pass,[],1630183,,,1610612750,15,14,2021-11-27T00:26:28Z,560000,,,0,,J. McDaniels bad pass TURNOVER (2 TO),"[1630183, 1630163]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,2.0,Ball,1630163.0,,,,,,
61,PT06M45.00S,2021-11-27T00:19:37.7Z,1,REGULAR,steal,,[],1630163,,,1610612766,15,14,2021-11-27T00:26:28Z,570000,,,0,,L. Ball STEAL (1 STL),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
116,PT06M45.00S,2021-11-27T00:19:43.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202330,93.08475689881735,43.38235294117647,1610612766,15,14,2021-11-27T00:27:53Z,575000,-33.0,13.0,1,right,MISS G. Hayward Jump Shot,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,3.54,Missed,,,,,,,,,,,,,,,,,,
117,PT06M45.00S,2021-11-27T00:19:43.0Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,15,14,2021-11-27T00:27:06Z,577500,,,0,,D. Russell REBOUND (Off:0 Def:2),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,116.0,2.0,2.0,0.0,,,,,,,,,,,,,,
62,PT06M36.00S,2021-11-27T00:19:48.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,11.251642575558476,49.754901960784316,1610612750,15,16,2021-11-27T00:26:28Z,580000,1.0,53.0,1,left,K. Towns cutting Layup (5 PTS) (D. Russell 2 AST),"[1626157, 1626156]",1610612750.0,MIN,cutting,,,Towns,K. Towns,,,,,5.33,Made,,,,,5.0,D. Russell,1626156.0,2.0,,,,,,,,,,
64,PT06M27.00S,2021-11-27T00:19:56.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629023,93.24901445466492,51.225490196078425,1610612766,17,16,2021-11-27T00:26:37Z,600000,6.0,11.0,1,right,P. Washington cutting DUNK (5 PTS) (G. Hayward 1 AST),"[1629023, 202330]",1610612766.0,CHA,cutting,,,Washington,P. Washington,,,,,1.26,Made,,,,,5.0,G. Hayward,202330.0,1.0,,,,,,,,,,
66,PT06M03.00S,2021-11-27T00:20:22.4Z,1,REGULAR,foul,offensive,[],1626157,,,1610612750,17,16,2021-11-27T00:20:37Z,620000,,,0,,K. Towns offensive FOUL (1 PF),"[1626157, 1626179]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,1162.0,,,,,,1.0,0.0,Rozier,1626179.0
68,PT06M03.00S,2021-11-27T00:20:22.4Z,1,REGULAR,turnover,offensive foul,[],1626157,,,1610612750,17,16,2021-11-27T00:20:22Z,640000,,,0,,K. Towns offensive foul TURNOVER (1 TO),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,1162.0,1.0,,,,,,,,
69,PT06M03.00S,2021-11-27T00:20:39.2Z,1,REGULAR,substitution,out,[],1629023,,,1610612766,17,16,2021-11-27T00:20:45Z,650000,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M03.00S,2021-11-27T00:20:39.2Z,1,REGULAR,substitution,out,[],202330,,,1610612766,17,16,2021-11-27T00:20:45Z,660000,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M03.00S,2021-11-27T00:20:39.2Z,1,REGULAR,substitution,in,[],1630208,,,1610612766,17,16,2021-11-27T00:20:45Z,670000,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M03.00S,2021-11-27T00:20:39.2Z,1,REGULAR,substitution,in,[],1628998,,,1610612766,17,16,2021-11-27T00:20:45Z,680000,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M45.00S,2021-11-27T00:20:58.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628998,93.11760840998686,48.77450980392157,1610612766,19,16,2021-11-27T00:21:03Z,690000,-6.0,12.0,1,right,C. Martin driving Layup (2 PTS) (L. Ball 5 AST),"[1628998, 1630163]",1610612766.0,CHA,driving,,,Martin,C. Martin,,,,,1.36,Made,,,,,2.0,L. Ball,1630163.0,5.0,,,,,,,,,,
75,PT05M34.00S,2021-11-27T00:21:12.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,19,16,2021-11-27T00:21:12Z,710000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M34.00S,2021-11-27T00:21:13.7Z,1,REGULAR,substitution,out,[],1626179,,,1610612750,19,16,2021-11-27T00:21:27Z,720000,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M34.00S,2021-11-27T00:21:13.7Z,1,REGULAR,substitution,out,[],1626156,,,1610612750,19,16,2021-11-27T00:21:27Z,730000,,,0,,SUB out: D. Russell,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M34.00S,2021-11-27T00:21:13.7Z,1,REGULAR,substitution,in,[],1626162,,,1610612750,19,16,2021-11-27T00:21:27Z,740000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M34.00S,2021-11-27T00:21:13.7Z,1,REGULAR,substitution,in,[],1629162,,,1610612750,19,16,2021-11-27T00:21:27Z,750000,,,0,,SUB in: J. McLaughlin,[1629162],1610612750.0,MIN,,,,McLaughlin,J. McLaughlin,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M29.00S,2021-11-27T00:21:38.8Z,1,REGULAR,turnover,traveling,[],1626157,,,1610612750,19,16,2021-11-27T00:21:44Z,760000,,,0,,K. Towns traveling TURNOVER (2 TO),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,1162.0,2.0,,,,,,,,
81,PT05M14.00S,2021-11-27T00:22:09.9Z,1,REGULAR,foul,personal,[],1630162,,,1610612766,19,16,2021-11-27T00:22:16Z,770000,,,0,,A. Edwards personal FOUL (1 PF),"[1630162, 1628970]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,1162.0,,,,,,1.0,0.0,Bridges,1628970.0
83,PT05M14.00S,2021-11-27T00:22:15.0Z,1,REGULAR,substitution,out,[],1628970,,,1610612766,19,16,2021-11-27T00:22:21Z,790000,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M14.00S,2021-11-27T00:22:15.0Z,1,REGULAR,substitution,out,[],1630183,,,1610612766,19,16,2021-11-27T00:22:21Z,800000,,,0,,SUB out: J. McDaniels,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M14.00S,2021-11-27T00:22:15.0Z,1,REGULAR,substitution,in,[],1629667,,,1610612766,19,16,2021-11-27T00:22:21Z,810000,,,0,,SUB in: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M14.00S,2021-11-27T00:22:15.0Z,1,REGULAR,substitution,in,[],1627736,,,1610612766,19,16,2021-11-27T00:22:21Z,820000,,,0,,SUB in: M. Beasley,[1627736],1610612750.0,MIN,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M06.00S,2021-11-27T00:22:37.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626162,92.72339027595268,10.049019607843137,1610612766,21,16,2021-11-27T00:23:01Z,830000,-200.0,16.0,1,right,K. Oubre Jr. 20' Jump Shot (2 PTS) (C. Martin 1 AST),"[1626162, 1628998]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,20.04,Made,,,,,2.0,C. Martin,1628998.0,1.0,,,,,,,,,,
89,PT04M48.00S,2021-11-27T00:22:55.2Z,1,REGULAR,3pt,Jump Shot,[],1630162,30.436925098554536,24.509803921568626,1610612750,21,16,2021-11-27T00:23:04Z,850000,127.0,234.0,1,left,MISS A. Edwards 26' 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,26.61,Missed,,,,,,,,,,,,,,,,,,
90,PT04M48.00S,2021-11-27T00:22:55.2Z,1,REGULAR,rebound,defensive,[],1629667,,,1610612766,21,16,2021-11-27T00:23:04Z,860000,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,89.0,1.0,1.0,0.0,,,,,,,,,,,,,,
91,PT04M40.00S,2021-11-27T00:23:06.1Z,1,REGULAR,foul,personal,[],1630162,,,1610612766,21,16,2021-11-27T00:23:13Z,870000,,,0,,A. Edwards personal FOUL (2 PF),"[1630162, 1630163]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,1198.0,,,,,,2.0,0.0,Ball,1630163.0
