actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
17,PT10M37.00S,2022-01-24T00:11:54.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,6.389618922470433,51.225490196078425,1610612737,2,4,2022-01-24T00:11:58Z,170000,-6.0,8.0,1,left,D. Hunter driving Layup (2 PTS),[1629631],1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,0.97,Made,2.0,,,,,,,,,,,,,,,,,,
18,PT10M20.00S,2022-01-24T00:12:11.5Z,1,REGULAR,turnover,out-of-bounds,[],1630163,,,1610612766,2,4,2022-01-24T00:12:17Z,180000,,,0,,L. Ball bad pass out-of-bounds TURNOVER (1 TO),[1630163],1610612766.0,CHA,bad pass,,,Ball,L. Ball,,,,,,,,,,,,,,,1627962.0,1.0,,,,,,,,,
19,PT10M05.00S,2022-01-24T00:12:36.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629027,26.49474375821288,16.666666666666664,1610612737,2,7,2022-01-24T00:12:45Z,190000,167.0,197.0,1,left,T. Young 25' 3PT fadeaway (3 PTS),[1629027],1610612737.0,ATL,fadeaway,,,Young,T. Young,,,,,25.78,Made,3.0,,,,,,,,,,,,,,,,,,
20,PT09M45.00S,2022-01-24T00:12:56.6Z,1,REGULAR,3pt,Jump Shot,[],1626179,91.01511169513797,4.411764705882353,1610612766,2,7,2022-01-24T00:13:02Z,200000,-228.0,32.0,1,right,MISS T. Rozier 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,23.01,Missed,,,,,,,,,,,,,,,,,,,
21,PT09M42.00S,2022-01-24T00:12:59.6Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,2,7,2022-01-24T00:13:02Z,210000,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,20.0,2.0,1.0,1.0,,,,,,,,,,,
22,PT09M34.00S,2022-01-24T00:13:07.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203486,91.67214191852825,52.94117647058824,1610612766,2,7,2022-01-24T00:13:12Z,220000,15.0,26.0,1,right,MISS M. Plumlee reverse Layup,[203486],1610612766.0,CHA,reverse,,,Plumlee,M. Plumlee,,,,,2.97,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M32.00S,2022-01-24T00:13:09.8Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,2,7,2022-01-24T00:13:09Z,230000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
24,PT09M27.00S,2022-01-24T00:13:15.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629027,31.225361366622867,72.79411764705883,1610612737,2,7,2022-01-24T00:13:21Z,240000,-114.0,241.0,1,left,MISS T. Young 26' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,26.66,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M24.00S,2022-01-24T00:13:18.1Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,2,7,2022-01-24T00:13:21Z,250000,,,0,,M. Plumlee REBOUND (Off:1 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,24.0,3.0,2.0,1.0,,,,,,,,,,,
26,PT09M04.00S,2022-01-24T00:13:38.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628998,89.70105124835742,55.14705882352941,1610612766,2,7,2022-01-24T00:13:42Z,260000,26.0,44.0,1,right,MISS C. Martin Layup,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,5.12,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M02.00S,2022-01-24T00:13:40.4Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,2,7,2022-01-24T00:13:42Z,270000,,,0,,C. Capela REBOUND (Off:0 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,26.0,3.0,3.0,0.0,,,,,,,,,,,
28,PT08M52.00S,2022-01-24T00:13:49.8Z,1,REGULAR,3pt,Jump Shot,[],1628989,32.802233902759525,47.549019607843135,1610612737,2,7,2022-01-24T00:15:11Z,280000,12.0,256.0,1,left,MISS K. Huerter 25' step back 3PT,[1628989],1610612737.0,ATL,step back,,,Huerter,K. Huerter,,,,,25.61,Missed,,,,,,,,,,,,,,,,,,,
29,PT08M49.00S,2022-01-24T00:13:52.8Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,2,7,2022-01-24T00:13:54Z,290000,,,0,,M. Plumlee REBOUND (Off:1 Def:3),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,28.0,4.0,3.0,1.0,,,,,,,,,,,
30,PT08M36.00S,2022-01-24T00:14:08.5Z,1,REGULAR,foul,personal,['2freethrow'],203991,,,1610612766,2,7,2022-01-24T00:14:15Z,300000,,,0,,C. Capela shooting personal FOUL (1 PF) (Rozier 2 FT),"[203991, 1626179]",1610612737.0,ATL,shooting,,,Capela,C. Capela,,,,,,,,,,,,,,,1627962.0,,1.0,0.0,Rozier,1626179.0,,,,,
32,PT08M36.00S,2022-01-24T00:14:39.8Z,1,REGULAR,freethrow,1 of 2,[],1626179,,,1610612766,2,7,2022-01-24T00:14:39Z,320000,,,0,,MISS T. Rozier Free Throw 1 of 2,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,Missed,,,,,,,,,,,,,,,,,,,
33,PT08M36.00S,2022-01-24T00:14:39.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,2,7,2022-01-24T00:14:39Z,330000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,
34,PT08M36.00S,2022-01-24T00:14:59.0Z,1,REGULAR,freethrow,2 of 2,[],1626179,,,1610612766,3,7,2022-01-24T00:14:59Z,340000,,,0,,T. Rozier Free Throw 2 of 2 (1 PTS),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
35,PT08M17.00S,2022-01-24T00:15:20.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,7.835085413929041,51.470588235294116,1610612737,3,9,2022-01-24T00:15:24Z,350000,-7.0,21.0,1,left,C. Capela reverse Layup (4 PTS) (J. Collins 1 AST),"[203991, 1628381]",1610612737.0,ATL,reverse,,,Capela,C. Capela,,,,,2.24,Made,4.0,J. Collins,1628381.0,1.0,,,,,,,,,,,,,,,
37,PT07M58.00S,2022-01-24T00:15:38.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203486,91.5407358738502,48.28431372549019,1610612766,5,9,2022-01-24T00:15:46Z,370000,-9.0,27.0,1,right,M. Plumlee alley-oop DUNK (2 PTS) (L. Ball 1 AST),"[203486, 1630163]",1610612766.0,CHA,alley-oop,,,Plumlee,M. Plumlee,,,,,2.83,Made,2.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,,,,
39,PT07M43.00S,2022-01-24T00:15:53.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,8.886333771353483,52.450980392156865,1610612737,5,9,2022-01-24T00:15:59Z,390000,-12.0,31.0,1,left,MISS C. Capela alley-oop Layup,[203991],1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,3.34,Missed,,,,,,,,,,,,,,,,,,,
40,PT07M41.00S,2022-01-24T00:15:55.8Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,5,9,2022-01-24T00:15:59Z,400000,,,0,,M. Plumlee REBOUND (Off:1 Def:4),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,39.0,5.0,4.0,1.0,,,,,,,,,,,
41,PT07M38.00S,2022-01-24T00:15:58.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628970,92.85479632063075,49.26470588235294,1610612766,7,9,2022-01-24T00:16:49Z,410000,-4.0,15.0,1,right,M. Bridges running alley-oop DUNK (4 PTS) (M. Plumlee 1 AST),"[1628970, 203486]",1610612766.0,CHA,running alley-oop,,,Bridges,M. Bridges,,,,,1.52,Made,4.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,,,,,
43,PT07M22.00S,2022-01-24T00:16:14.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203991,8.492115637319317,53.67647058823529,1610612737,7,9,2022-01-24T00:16:21Z,430000,-18.0,27.0,1,left,MISS C. Capela alley-oop Layup,[203991],1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,3.29,Missed,,,,,,,,,,,,,,,,,,,
44,PT07M20.00S,2022-01-24T00:16:16.0Z,1,REGULAR,rebound,defensive,[],1628998,,,1610612766,7,9,2022-01-24T00:16:21Z,440000,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,
45,PT07M18.00S,2022-01-24T00:16:18.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630163,92.46057818659659,51.71568627450981,1610612766,9,9,2022-01-24T00:17:34Z,450000,9.0,18.0,1,right,L. Ball running DUNK (2 PTS) (C. Martin 1 AST),"[1630163, 1628998]",1610612766.0,CHA,running,,,Ball,L. Ball,,,,,2.03,Made,2.0,C. Martin,1628998.0,1.0,,,,,,,,,,,,,,,
47,PT06M59.00S,2022-01-24T00:16:37.1Z,1,REGULAR,3pt,Jump Shot,[],1629631,14.011169513797633,2.696078431372549,1610612737,9,9,2022-01-24T00:16:41Z,470000,237.0,79.0,1,left,MISS D. Hunter 24' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,24.94,Missed,,,,,,,,,,,,,,,,,,,
48,PT06M56.00S,2022-01-24T00:16:40.1Z,1,REGULAR,rebound,defensive,[],1628998,,,1610612766,9,9,2022-01-24T00:16:41Z,480000,,,0,,C. Martin REBOUND (Off:0 Def:2),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,,,
49,PT06M40.00S,2022-01-24T00:16:57.8Z,1,REGULAR,foul,personal,['2freethrow'],1628381,,,1610612766,9,9,2022-01-24T00:17:08Z,490000,,,0,,J. Collins shooting personal FOUL (1 PF) (Plumlee 2 FT),"[1628381, 203486]",1610612737.0,ATL,shooting,,,Collins,J. Collins,,,,,,,,,,,,,,,204058.0,,1.0,0.0,Plumlee,203486.0,,,,,
51,PT06M40.00S,2022-01-24T00:17:11.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,9,9,2022-01-24T00:17:11Z,510000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M40.00S,2022-01-24T00:20:22.0Z,1,REGULAR,freethrow,1 of 2,[],203486,,,1610612766,9,9,2022-01-24T00:20:57Z,520000,,,0,,MISS M. Plumlee Free Throw 1 of 2,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,Missed,,,,,,,,,,,,,,,,,,,
53,PT06M40.00S,2022-01-24T00:20:22.0Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612766,9,9,2022-01-24T00:20:57Z,530000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,
54,PT06M40.00S,2022-01-24T00:20:22.0Z,1,REGULAR,freethrow,2 of 2,[],203486,,,1610612766,9,9,2022-01-24T00:20:57Z,540000,,,0,,MISS M. Plumlee Free Throw 2 of 2,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,Missed,,,,,,,,,,,,,,,,,,,
55,PT06M39.00S,2022-01-24T00:20:23.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,9,9,2022-01-24T00:20:57Z,550000,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,
64,PT06M39.00S,2022-01-24T00:20:42.9Z,1,REGULAR,violation,lane,[],1628998,,,1610612737,9,9,2022-01-24T00:22:46Z,565000,,,0,,C. Martin lane VIOLATION,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,2882.0,,,,,,,,,,
58,PT06M25.00S,2022-01-24T00:21:03.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,11.645860709592641,47.794117647058826,1610612737,9,11,2022-01-24T00:21:39Z,580000,11.0,57.0,1,left,K. Huerter Layup (2 PTS) (J. Collins 2 AST),"[1628989, 1628381]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,5.81,Made,2.0,J. Collins,1628381.0,2.0,,,,,,,,,,,,,,,
60,PT06M25.00S,2022-01-24T00:21:06.7Z,1,REGULAR,foul,personal,['1freethrow'],1630163,,,1610612737,9,11,2022-01-24T00:21:23Z,600000,,,0,,L. Ball shooting personal FOUL (1 PF) (Huerter 1 FT),"[1630163, 1628989]",1610612766.0,CHA,shooting,,,Ball,L. Ball,,,,,,,,,,,,,,,1627962.0,,1.0,0.0,Huerter,1628989.0,,,,,
62,PT06M25.00S,2022-01-24T00:21:26.1Z,1,REGULAR,freethrow,1 of 1,[],1628989,,,1610612737,9,12,2022-01-24T00:21:26Z,620000,,,0,,K. Huerter Free Throw 1 of 1 (3 PTS),[1628989],1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
63,PT06M11.00S,2022-01-24T00:21:45.8Z,1,REGULAR,turnover,out-of-bounds,[],1630163,,,1610612766,9,12,2022-01-24T00:22:22Z,630000,,,0,,L. Ball bad pass out-of-bounds TURNOVER (2 TO),[1630163],1610612766.0,CHA,bad pass,,,Ball,L. Ball,,,,,,,,,,,,,,,2882.0,2.0,,,,,,,,,
65,PT05M51.00S,2022-01-24T00:22:11.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628381,14.536793692509855,68.62745098039215,1610612737,9,12,2022-01-24T00:22:27Z,640000,-93.0,84.0,1,left,MISS J. Collins 12' Jump Shot,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,12.55,Missed,,,,,,,,,,,,,,,,,,,
66,PT05M50.00S,2022-01-24T00:22:12.9Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,9,12,2022-01-24T00:22:12Z,650000,,,0,,M. Plumlee REBOUND (Off:1 Def:5),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,65.0,6.0,5.0,1.0,,,,,,,,,,,
67,PT05M41.00S,2022-01-24T00:22:21.3Z,1,REGULAR,3pt,Jump Shot,[],1628970,95.22010512483574,4.166666666666666,1610612766,9,12,2022-01-24T00:22:31Z,660000,-229.0,-8.0,1,right,MISS M. Bridges 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,22.93,Missed,,,,,,,,,,,,,,,,,,,
68,PT05M41.00S,2022-01-24T00:22:30.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,9,12,2022-01-24T00:22:30Z,670000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,
69,PT05M41.00S,2022-01-24T00:22:31.5Z,1,REGULAR,foul,personal,[],203991,,,1610612766,9,12,2022-01-24T00:22:55Z,680000,,,0,,C. Capela loose ball personal FOUL (2 PF),"[203991, 203486]",1610612737.0,ATL,loose ball,,,Capela,C. Capela,,,,,,,,,,,,,,,204058.0,,2.0,0.0,Plumlee,203486.0,,,,,
71,PT05M41.00S,2022-01-24T00:22:48.3Z,1,REGULAR,substitution,out,[],203991,,,1610612766,9,12,2022-01-24T00:22:51Z,700000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M41.00S,2022-01-24T00:22:48.3Z,1,REGULAR,substitution,in,[],201568,,,1610612766,9,12,2022-01-24T00:22:51Z,710000,,,0,,SUB in: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M30.00S,2022-01-24T00:23:06.5Z,1,REGULAR,foul,personal,['2freethrow'],1628989,,,1610612766,9,12,2022-01-24T00:23:16Z,720000,,,0,,K. Huerter shooting personal FOUL (1 PF) (Rozier 2 FT),"[1628989, 1626179]",1610612737.0,ATL,shooting,,,Huerter,K. Huerter,,,,,,,,,,,,,,,1627962.0,,1.0,0.0,Rozier,1626179.0,,,,,
75,PT05M30.00S,2022-01-24T00:23:40.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626179,,,1610612766,9,12,2022-01-24T00:23:40Z,740000,,,0,,MISS T. Rozier Free Throw 1 of 2,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,Missed,,,,,,,,,,,,,,,,,,,
76,PT05M30.00S,2022-01-24T00:23:40.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,9,12,2022-01-24T00:23:40Z,750000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,
77,PT05M30.00S,2022-01-24T00:23:56.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1626179,,,1610612766,10,12,2022-01-24T00:23:56Z,760000,,,0,,T. Rozier Free Throw 2 of 2 (2 PTS),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
78,PT05M15.00S,2022-01-24T00:24:11.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628381,5.995400788436268,38.48039215686275,1610612737,10,14,2022-01-24T00:24:18Z,770000,58.0,4.0,1,left,J. Collins bank Hook (2 PTS) (D. Gallinari 1 AST),"[1628381, 201568]",1610612737.0,ATL,bank,,,Collins,J. Collins,,,,,5.77,Made,2.0,D. Gallinari,201568.0,1.0,,,,,,,,,,,,,,,
80,PT05M03.00S,2022-01-24T00:24:23.9Z,1,REGULAR,3pt,Jump Shot,[],1630163,63.6826544021025,48.529411764705884,1610612766,10,14,2022-01-24T00:24:29Z,790000,-7.0,289.0,1,right,MISS L. Ball 28' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,28.9,Missed,,,,,,,,,,,,,,,,,,,
81,PT05M00.00S,2022-01-24T00:24:26.9Z,1,REGULAR,rebound,defensive,[],201568,,,1610612737,10,14,2022-01-24T00:24:29Z,800000,,,0,,D. Gallinari REBOUND (Off:0 Def:1),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,,,,
82,PT04M53.00S,2022-01-24T00:24:34.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,8.886333771353483,44.36274509803921,1610612737,10,14,2022-01-24T00:24:37Z,810000,28.0,31.0,1,left,MISS T. Young floating Shot - blocked,"[1629027, 1630163]",1610612737.0,ATL,floating,,,Young,T. Young,,,,,4.19,Missed,,,,,,,,,,,,,,,Ball,1630163.0,,,
83,PT04M53.00S,2022-01-24T00:24:34.0Z,1,REGULAR,block,,[],1630163,,,1610612737,10,14,2022-01-24T00:24:36Z,820000,,,0,,L. Ball BLOCK (1 BLK),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M51.00S,2022-01-24T00:24:36.0Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,10,14,2022-01-24T00:24:37Z,830000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,82.0,1.0,1.0,0.0,,,,,,,,,,,
85,PT04M48.00S,2022-01-24T00:24:39.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",203486,90.09526938239159,50.49019607843137,1610612766,12,14,2022-01-24T00:26:38Z,840000,2.0,41.0,1,right,M. Plumlee running reverse DUNK (4 PTS) (L. Ball 2 AST),"[203486, 1630163]",1610612766.0,CHA,running reverse,,,Plumlee,M. Plumlee,,,,,4.07,Made,4.0,L. Ball,1630163.0,2.0,,,,,,,,,,,,,,,
87,PT04M36.00S,2022-01-24T00:24:53.1Z,1,REGULAR,foul,personal,[],203486,,,1610612737,12,14,2022-01-24T00:25:03Z,860000,,,0,,M. Plumlee personal FOUL (1 PF),"[203486, 1628989]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,204058.0,,1.0,0.0,Huerter,1628989.0,,,,,
89,PT04M36.00S,2022-01-24T00:25:01.3Z,1,REGULAR,substitution,out,[],203486,,,1610612737,12,14,2022-01-24T00:25:08Z,880000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M36.00S,2022-01-24T00:25:01.3Z,1,REGULAR,substitution,in,[],1629023,,,1610612737,12,14,2022-01-24T00:25:08Z,890000,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M24.00S,2022-01-24T00:25:28.9Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,12,14,2022-01-24T00:25:35Z,900000,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1628998]",1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,1.0,,,,,,,Martin,1628998.0,
92,PT04M24.00S,2022-01-24T00:25:28.9Z,1,REGULAR,steal,,[],1628998,,,1610612766,12,14,2022-01-24T00:25:30Z,910000,,,0,,C. Martin STEAL (1 STL),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
