actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
17,PT10M38.00S,2021-10-31T23:13:03.4Z,1,REGULAR,3pt,Jump Shot,[],1630163,72.35545335085413,81.12745098039215,1610612766,0,2,2021-10-31T23:13:08Z,170000,156.0,207.0,1,right,MISS L. Ball 25' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,25.93,Missed,,,,,,,,,,,,,,,,,,
18,PT10M35.00S,2021-10-31T23:13:06.4Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,2,2021-10-31T23:13:08Z,180000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,17.0,,,,,,,,,,,1.0,1.0,0.0,,,,
19,PT10M25.00S,2021-10-31T23:13:17.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203994,6.652431011826544,50.98039215686274,1610612757,0,4,2021-10-31T23:13:28Z,190000,-5.0,10.0,1,left,J. Nurkic cutting DUNK (4 PTS) (C. McCollum 1 AST),"[203994, 203468]",1610612757.0,POR,cutting,,,Nurkic,J. Nurkic,,,,,1.11,Made,,4.0,C. McCollum,203468.0,1.0,,,,,,,,,,,,,
21,PT10M09.00S,2021-10-31T23:13:32.8Z,1,REGULAR,3pt,Jump Shot,[],1628970,89.70105124835742,97.79411764705883,1610612766,3,4,2021-10-31T23:13:39Z,210000,239.0,44.0,1,right,M. Bridges 24' 3PT  (3 PTS) (T. Rozier 1 AST),"[1628970, 1626179]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,24.31,Made,,3.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,
23,PT09M55.00S,2021-10-31T23:13:46.1Z,1,REGULAR,3pt,Jump Shot,[],203468,10.85742444152431,2.2058823529411766,1610612757,3,4,2021-10-31T23:13:53Z,230000,239.0,50.0,1,left,MISS C. McCollum 24' 3PT,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,24.41,Missed,,,,,,,,,,,,,,,,,,
24,PT09M52.00S,2021-10-31T23:13:49.7Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,3,4,2021-10-31T23:13:49Z,240000,,,0,,J. Nurkic REBOUND (Off:1 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,23.0,,,,,,,,,,,2.0,1.0,1.0,,,,
25,PT09M42.00S,2021-10-31T23:13:59.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626181,27.283180026281208,79.65686274509804,1610612757,3,7,2021-10-31T23:14:03Z,250000,-148.0,204.0,1,left,N. Powell 25' 3PT  (3 PTS) (D. Lillard 2 AST),"[1626181, 203081]",1610612757.0,POR,,,,Powell,N. Powell,,,,,25.22,Made,,3.0,D. Lillard,203081.0,2.0,,,,,,,,,,,,,
27,PT09M22.00S,2021-10-31T23:14:19.1Z,1,REGULAR,3pt,Jump Shot,[],1626179,94.82588699080158,2.941176470588235,1610612766,6,7,2021-10-31T23:14:24Z,270000,-235.0,-4.0,1,right,T. Rozier 3PT  (3 PTS) (L. Ball 1 AST),"[1626179, 1630163]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,23.53,Made,,3.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,,
29,PT09M12.00S,2021-10-31T23:14:29.7Z,1,REGULAR,3pt,Jump Shot,[],203994,33.065045992115635,48.77450980392157,1610612757,6,7,2021-10-31T23:14:34Z,290000,6.0,258.0,1,left,MISS J. Nurkic 25' 3PT,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,25.84,Missed,,,,,,,,,,,,,,,,,,
30,PT09M09.00S,2021-10-31T23:14:32.7Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,6,7,2021-10-31T23:14:34Z,300000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,29.0,,,,,,,,,,,1.0,1.0,0.0,,,,
31,PT09M00.00S,2021-10-31T23:14:42.0Z,1,REGULAR,3pt,Jump Shot,[],1626179,92.46057818659659,4.166666666666666,1610612766,6,7,2021-10-31T23:14:46Z,310000,-229.0,18.0,1,right,MISS T. Rozier 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,22.99,Missed,,,,,,,,,,,,,,,,,,
32,PT08M57.00S,2021-10-31T23:14:45.0Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,6,7,2021-10-31T23:14:46Z,320000,,,0,,J. Nurkic REBOUND (Off:1 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,31.0,,,,,,,,,,,3.0,2.0,1.0,,,,
33,PT08M47.00S,2021-10-31T23:14:54.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,7.703679369250986,48.529411764705884,1610612757,6,9,2021-10-31T23:18:21Z,330000,7.0,20.0,1,left,J. Nurkic cutting Layup (6 PTS) (D. Lillard 3 AST),"[203994, 203081]",1610612757.0,POR,cutting,,,Nurkic,J. Nurkic,,,,,2.12,Made,,6.0,D. Lillard,203081.0,3.0,,,,,,,,,,,,,
35,PT08M32.00S,2021-10-31T23:15:09.4Z,1,REGULAR,3pt,Jump Shot,[],202330,79.97700394218134,93.13725490196079,1610612766,9,9,2021-10-31T23:15:15Z,350000,216.0,136.0,1,right,G. Hayward 25' 3PT  (3 PTS) (T. Rozier 2 AST),"[202330, 1626179]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,25.48,Made,,3.0,T. Rozier,1626179.0,2.0,,,,,,,,,,,,,
37,PT08M22.00S,2021-10-31T23:15:19.8Z,1,REGULAR,3pt,Jump Shot,[],1626181,21.369908015768726,87.99019607843137,1610612757,9,9,2021-10-31T23:18:32Z,370000,-190.0,148.0,1,left,MISS N. Powell 24' step back 3PT,[1626181],1610612757.0,POR,step back,,,Powell,N. Powell,,,,,24.11,Missed,,,,,,,,,,,,,,,,,,
38,PT08M20.00S,2021-10-31T23:15:21.8Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,9,9,2021-10-31T23:15:23Z,380000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,37.0,,,,,,,,,,,1.0,1.0,0.0,,,,
39,PT08M05.00S,2021-10-31T23:15:37.0Z,1,REGULAR,3pt,Jump Shot,[],1630163,97.19119579500656,98.77450980392157,1610612766,12,9,2021-10-31T23:15:42Z,390000,244.0,-26.0,1,right,L. Ball 24' 3PT  (3 PTS) (T. Rozier 3 AST),"[1630163, 1626179]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,24.53,Made,,3.0,T. Rozier,1626179.0,3.0,,,,,,,,,,,,,
41,PT07M42.00S,2021-10-31T23:15:59.6Z,1,REGULAR,3pt,Jump Shot,[],203468,34.510512483574246,54.166666666666664,1610612757,12,12,2021-10-31T23:16:07Z,410000,-21.0,272.0,1,left,C. McCollum 27' 3PT pullup (3 PTS),[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,27.27,Made,,3.0,,,,,,,,,,,,,,,,
42,PT07M32.00S,2021-10-31T23:16:12.0Z,1,REGULAR,foul,personal,['2freethrow'],203468,,,1610612766,12,12,2021-10-31T23:16:23Z,420000,,,0,,C. McCollum shooting personal FOUL (1 PF) (Rozier 2 FT),"[203468, 1626179]",1610612757.0,POR,shooting,,,McCollum,C. McCollum,,,,,,,,,,,,203592.0,1.0,0.0,Rozier,1626179.0,,,,,,,,
44,PT07M32.00S,2021-10-31T23:16:39.0Z,1,REGULAR,freethrow,1 of 2,[],1626179,,,1610612766,13,12,2021-10-31T23:16:39Z,440000,,,0,,T. Rozier Free Throw 1 of 2 (4 PTS),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,Made,,4.0,,,,,,,,,,,,,,,,
45,PT07M32.00S,2021-10-31T23:16:58.2Z,1,REGULAR,freethrow,2 of 2,[],1626179,,,1610612766,14,12,2021-10-31T23:16:58Z,450000,,,0,,T. Rozier Free Throw 2 of 2 (5 PTS),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,Made,,5.0,,,,,,,,,,,,,,,,
46,PT07M14.00S,2021-10-31T23:17:18.5Z,1,REGULAR,3pt,Jump Shot,[],203081,34.247700394218136,45.83333333333333,1610612757,14,12,2021-10-31T23:17:23Z,460000,21.0,269.0,1,left,MISS D. Lillard 27' pullup 3PT,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,27.02,Missed,,,,,,,,,,,,,,,,,,
47,PT07M11.00S,2021-10-31T23:17:21.5Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,14,12,2021-10-31T23:17:23Z,470000,,,0,,G. Hayward REBOUND (Off:0 Def:2),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,46.0,,,,,,,,,,,2.0,2.0,0.0,,,,
48,PT07M00.00S,2021-10-31T23:17:32.0Z,1,REGULAR,3pt,Jump Shot,[],1626179,74.45795006570303,88.97058823529412,1610612766,17,12,2021-10-31T23:17:38Z,480000,195.0,188.0,1,right,T. Rozier 27' 3PT  (8 PTS) (M. Plumlee 1 AST),"[1626179, 203486]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,27.05,Made,,8.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,,,
50,PT06M59.00S,2021-10-31T23:17:39.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,17,12,2021-10-31T23:17:39Z,500000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M59.00S,2021-10-31T23:18:26.5Z,1,REGULAR,substitution,out,[],202330,,,1610612757,17,12,2021-10-31T23:20:35Z,510000,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M59.00S,2021-10-31T23:18:26.5Z,1,REGULAR,substitution,out,[],1626181,,,1610612757,17,12,2021-10-31T23:20:35Z,520000,,,0,,SUB out: N. Powell,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M59.00S,2021-10-31T23:18:26.5Z,1,REGULAR,substitution,in,[],1626162,,,1610612757,17,12,2021-10-31T23:20:35Z,530000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M59.00S,2021-10-31T23:18:26.5Z,1,REGULAR,substitution,in,[],1629642,,,1610612757,17,12,2021-10-31T23:20:35Z,540000,,,0,,SUB in: N. Little,[1629642],1610612757.0,POR,,,,Little,N. Little,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M43.00S,2021-10-31T23:20:55.0Z,1,REGULAR,turnover,out-of-bounds,[],203994,,,1610612757,17,12,2021-10-31T23:21:07Z,550000,,,0,,J. Nurkic lost ball out-of-bounds TURNOVER (1 TO),[203994],1610612757.0,POR,lost ball,,,Nurkic,J. Nurkic,,,,,,,,,,,,203592.0,,,,,1.0,,,,,,,
56,PT06M25.00S,2021-10-31T23:21:16.6Z,1,REGULAR,turnover,bad pass,[],1626179,,,1610612766,17,12,2021-10-31T23:21:21Z,560000,,,0,,T. Rozier bad pass TURNOVER (1 TO),"[1626179, 203994]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,1.0,,,,Nurkic,203994.0,,
57,PT06M25.00S,2021-10-31T23:21:16.6Z,1,REGULAR,steal,,[],203994,,,1610612757,17,12,2021-10-31T23:26:36Z,570000,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M18.00S,2021-10-31T23:21:23.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203468,28.203022339027594,20.34313725490196,1610612757,17,12,2021-10-31T23:21:29Z,580000,148.0,213.0,1,left,MISS C. McCollum 25' 3PT,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,25.92,Missed,,,,,,,,,,,,,,,,,,
59,PT06M15.00S,2021-10-31T23:21:26.9Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,17,12,2021-10-31T23:21:26Z,590000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,58.0,,,,,,,,,,,1.0,1.0,0.0,,,,
60,PT06M04.00S,2021-10-31T23:21:38.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,92.46057818659659,52.94117647058824,1610612766,17,12,2021-10-31T23:39:45Z,600000,15.0,18.0,1,right,MISS L. Ball driving finger roll Layup,[1630163],1610612766.0,CHA,driving finger roll,,,Ball,L. Ball,,,,,2.36,Missed,,,,,,,,,,,,,,,,,,
61,PT06M03.00S,2021-10-31T23:21:39.1Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,17,12,2021-10-31T23:21:44Z,610000,,,0,,J. Nurkic REBOUND (Off:1 Def:3),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,60.0,,,,,,,,,,,4.0,3.0,1.0,,,,
62,PT05M55.00S,2021-10-31T23:21:47.6Z,1,REGULAR,3pt,Jump Shot,[],203081,31.09395532194481,26.225490196078432,1610612757,17,12,2021-10-31T23:21:52Z,620000,119.0,240.0,1,left,MISS D. Lillard 26' 3PT,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,26.77,Missed,,,,,,,,,,,,,,,,,,
63,PT05M52.00S,2021-10-31T23:21:50.6Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,17,12,2021-10-31T23:21:52Z,630000,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,62.0,,,,,,,,,,,1.0,1.0,0.0,,,,
64,PT05M41.00S,2021-10-31T23:22:01.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,92.72339027595268,50.98039215686274,1610612766,17,12,2021-10-31T23:39:53Z,640000,5.0,16.0,1,right,MISS L. Ball driving finger roll Layup,[1630163],1610612766.0,CHA,driving finger roll,,,Ball,L. Ball,,,,,1.66,Missed,,,,,,,,,,,,,,,,,,
65,PT05M39.00S,2021-10-31T23:22:03.6Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,17,12,2021-10-31T23:22:06Z,650000,,,0,,J. Nurkic REBOUND (Off:1 Def:4),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,64.0,,,,,,,,,,,5.0,4.0,1.0,,,,
66,PT05M35.00S,2021-10-31T23:22:12.5Z,1,REGULAR,foul,offensive,[],203468,,,1610612757,17,12,2021-10-31T23:22:22Z,660000,,,0,,C. McCollum offensive FOUL (2 PF),"[203468, 1626179]",1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,1148.0,2.0,0.0,Rozier,1626179.0,,,,,,,,
68,PT05M35.00S,2021-10-31T23:22:12.5Z,1,REGULAR,turnover,offensive foul,[],203468,,,1610612757,17,12,2021-10-31T23:22:12Z,680000,,,0,,C. McCollum offensive foul TURNOVER (1 TO),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,1148.0,,,,,1.0,,,,,,,
69,PT05M35.00S,2021-10-31T23:22:19.7Z,1,REGULAR,substitution,out,[],1630163,,,1610612766,17,12,2021-10-31T23:22:33Z,690000,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M35.00S,2021-10-31T23:22:19.7Z,1,REGULAR,substitution,out,[],203486,,,1610612766,17,12,2021-10-31T23:22:33Z,700000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M35.00S,2021-10-31T23:22:19.7Z,1,REGULAR,substitution,out,[],203994,,,1610612766,17,12,2021-10-31T23:22:33Z,710000,,,0,,SUB out: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M35.00S,2021-10-31T23:22:19.7Z,1,REGULAR,substitution,in,[],202397,,,1610612766,17,12,2021-10-31T23:22:33Z,720000,,,0,,SUB in: I. Smith,[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M35.00S,2021-10-31T23:22:19.7Z,1,REGULAR,substitution,in,[],1629023,,,1610612766,17,12,2021-10-31T23:22:33Z,730000,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M35.00S,2021-10-31T23:22:19.7Z,1,REGULAR,substitution,in,[],203469,,,1610612766,17,12,2021-10-31T23:22:33Z,740000,,,0,,SUB in: C. Zeller,[203469],1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M35.00S,2021-10-31T23:22:19.7Z,1,REGULAR,substitution,out,[],203468,,,1610612766,17,12,2021-10-31T23:23:45Z,745000,,,0,,SUB out: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M35.00S,2021-10-31T23:22:19.7Z,1,REGULAR,substitution,in,[],1629014,,,1610612766,17,12,2021-10-31T23:23:45Z,747500,,,0,,SUB in: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M25.00S,2021-10-31T23:22:39.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628970,72.09264126149803,19.11764705882353,1610612766,17,12,2021-10-31T23:22:44Z,750000,-154.0,210.0,1,right,MISS M. Bridges 26' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,26.05,Missed,,,,,,,,,,,,,,,,,,
76,PT05M23.00S,2021-10-31T23:22:41.5Z,1,REGULAR,rebound,defensive,[],203469,,,1610612757,17,12,2021-10-31T23:22:44Z,760000,,,0,,C. Zeller REBOUND (Off:0 Def:1),[203469],1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,,75.0,,,,,,,,,,,1.0,1.0,0.0,,,,
77,PT05M12.00S,2021-10-31T23:22:52.8Z,1,REGULAR,3pt,Jump Shot,[],1629014,32.802233902759525,32.84313725490196,1610612757,17,15,2021-10-31T23:23:07Z,770000,86.0,256.0,1,left,A. Simons 26' 3PT pullup (3 PTS) (C. Zeller 1 AST),"[1629014, 203469]",1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,26.98,Made,,3.0,C. Zeller,203469.0,1.0,,,,,,,,,,,,,
78,PT05M00.00S,2021-10-31T23:23:05.2Z,1,REGULAR,3pt,Jump Shot,[],1626162,88.64980289093299,96.32352941176471,1610612766,20,15,2021-10-31T23:23:13Z,780000,232.0,54.0,1,right,K. Oubre Jr. 3PT  (3 PTS) (P. Washington 1 AST),"[1626162, 1629023]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,23.79,Made,,3.0,P. Washington,1629023.0,1.0,,,,,,,,,,,,,
80,PT04M42.00S,2021-10-31T23:23:26.9Z,1,REGULAR,foul,personal,[],202397,,,1610612757,20,15,2021-10-31T23:23:36Z,800000,,,0,,I. Smith personal FOUL (1 PF),"[202397, 203081]",1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,1148.0,1.0,0.0,Lillard,203081.0,,,,,,,,
84,PT04M42.00S,2021-10-31T23:23:48.0Z,1,REGULAR,substitution,out,[],203496,,,1610612757,20,15,2021-10-31T23:23:51Z,820000,,,0,,SUB out: R. Covington,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M42.00S,2021-10-31T23:23:48.0Z,1,REGULAR,substitution,in,[],1626204,,,1610612757,20,15,2021-10-31T23:23:51Z,830000,,,0,,SUB in: L. Nance Jr.,[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M31.00S,2021-10-31T23:24:03.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203469,5.732588699080158,50.73529411764706,1610612757,20,17,2021-10-31T23:24:10Z,840000,-4.0,1.0,1,left,C. Zeller cutting DUNK (2 PTS) (D. Lillard 4 AST),"[203469, 203081]",1610612757.0,POR,cutting,,,Zeller,C. Zeller,,,,,0.4,Made,,2.0,D. Lillard,203081.0,4.0,,,,,,,,,,,,,
88,PT04M13.00S,2021-10-31T23:24:20.5Z,1,REGULAR,3pt,Jump Shot,[],1626179,75.24638633377135,12.745098039215685,1610612766,20,17,2021-10-31T23:24:25Z,860000,-186.0,180.0,1,right,MISS T. Rozier 25' 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,25.92,Missed,,,,,,,,,,,,,,,,,,
89,PT04M09.00S,2021-10-31T23:24:24.5Z,1,REGULAR,rebound,defensive,[],1626204,,,1610612757,20,17,2021-10-31T23:24:25Z,870000,,,0,,L. Nance Jr. REBOUND (Off:0 Def:1),[1626204],1610612757.0,POR,,,,Nance Jr.,L. Nance Jr.,,,,,,,88.0,,,,,,,,,,,1.0,1.0,0.0,,,,
90,PT03M58.00S,2021-10-31T23:24:35.5Z,1,REGULAR,3pt,Jump Shot,[],203081,32.013797634691194,27.696078431372552,1610612757,20,17,2021-10-31T23:40:04Z,880000,112.0,248.0,1,left,MISS D. Lillard 27' pullup 3PT,[203081],1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,27.23,Missed,,,,,,,,,,,,,,,,,,
91,PT03M55.00S,2021-10-31T23:24:38.5Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,20,17,2021-10-31T23:24:40Z,890000,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,90.0,,,,,,,,,,,2.0,2.0,0.0,,,,
92,PT03M52.00S,2021-10-31T23:24:44.2Z,1,REGULAR,foul,personal,[],203469,,,1610612766,20,17,2021-10-31T23:25:00Z,900000,,,0,,C. Zeller personal FOUL (1 PF),"[203469, 1626179]",1610612757.0,POR,,,,Zeller,C. Zeller,,,,,,,,,,,,203592.0,1.0,0.0,Rozier,1626179.0,,,,,,,,
94,PT03M52.00S,2021-10-31T23:24:55.8Z,1,REGULAR,substitution,out,[],1628970,,,1610612766,20,17,2021-10-31T23:24:59Z,920000,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,
