actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
19,PT10M48.00S,2022-03-06T00:12:09.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,90.62089356110381,46.81372549019608,1610612766,2,3,2022-03-06T00:12:15Z,180000,-16.0,36.0,1,right,MISS L. Ball floating Shot,[1630163],1610612766.0,CHA,floating,,,Ball,L. Ball,,,,,,,3.91,Missed,,,,,,,,,,,,,,,,,
20,PT10M46.00S,2022-03-06T00:12:11.1Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,2,3,2022-03-06T00:12:15Z,190000,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
21,PT10M45.00S,2022-03-06T00:12:13.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629640,5.601182654402102,51.9607843137255,1610612759,2,5,2022-03-06T00:12:18Z,200000,-10.0,0.0,1,left,K. Johnson Layup (5 PTS) (D. Murray 1 AST),"[1629640, 1627749]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,0.98,Made,,,,,,,,,5.0,D. Murray,1627749.0,1.0,,,,,
23,PT10M33.00S,2022-03-06T00:12:24.6Z,1,REGULAR,3pt,Jump Shot,[],1629023,66.04796320630749,50.73529411764706,1610612766,5,5,2022-03-06T00:12:29Z,220000,4.0,267.0,1,right,P. Washington 26' 3PT  (3 PTS) (T. Rozier 1 AST),"[1629023, 1626179]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,26.66,Made,,,,,,,,,3.0,T. Rozier,1626179.0,1.0,,,,,
25,PT10M15.00S,2022-03-06T00:12:42.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,12.565703022339028,52.69607843137255,1610612759,5,5,2022-03-06T00:12:46Z,240000,-13.0,66.0,1,left,MISS D. Murray 6' pullup Shot,[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,,,6.7,Missed,,,,,,,,,,,,,,,,,
26,PT10M13.00S,2022-03-06T00:12:44.2Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,5,5,2022-03-06T00:12:44Z,250000,,,0,,M. Plumlee REBOUND (Off:0 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,
27,PT10M09.00S,2022-03-06T00:12:48.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,74.19513797634691,84.55882352941177,1610612766,8,5,2022-03-06T00:12:54Z,260000,173.0,190.0,1,right,L. Ball 25' 3PT  (3 PTS) (M. Plumlee 1 AST),"[1630163, 203486]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,25.69,Made,,,,,,,,,3.0,M. Plumlee,203486.0,1.0,,,,,
29,PT09M53.00S,2022-03-06T00:13:03.9Z,1,REGULAR,3pt,Jump Shot,[],203926,30.17411300919842,73.2843137254902,1610612759,8,5,2022-03-06T00:13:08Z,280000,-116.0,231.0,1,left,MISS D. McDermott 25' pullup 3PT,[203926],1610612759.0,SAS,pullup,,,McDermott,D. McDermott,,,,,,,25.88,Missed,,,,,,,,,,,,,,,,,
30,PT09M51.00S,2022-03-06T00:13:05.9Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,8,5,2022-03-06T00:13:08Z,290000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,
31,PT09M46.00S,2022-03-06T00:13:10.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,71.96123521681997,82.35294117647058,1610612766,8,5,2022-03-06T00:13:15Z,300000,162.0,211.0,1,right,MISS L. Ball 26' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,26.6,Missed,,,,,,,,,,,,,,,,,
32,PT09M43.00S,2022-03-06T00:13:13.9Z,1,REGULAR,rebound,defensive,[],203926,,,1610612759,8,5,2022-03-06T00:13:15Z,310000,,,0,,D. McDermott REBOUND (Off:1 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,31.0,2.0,1.0,1.0,,,,,,,,,,,,,
33,PT09M34.00S,2022-03-06T00:13:23.0Z,1,REGULAR,3pt,Jump Shot,[],1627749,6.1268068331143235,98.0392156862745,1610612759,8,5,2022-03-06T00:13:28Z,320000,-240.0,5.0,1,left,MISS D. Murray 24' 3PT - blocked,"[1627749, 1630163]",1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,24.03,Missed,,,,,,,,,,,,,Ball,1630163.0,,,
34,PT09M34.00S,2022-03-06T00:13:23.0Z,1,REGULAR,block,,[],1630163,,,1610612759,8,5,2022-03-06T00:13:26Z,330000,,,0,,L. Ball BLOCK (1 BLK),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M31.00S,2022-03-06T00:13:26.0Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,8,5,2022-03-06T00:13:28Z,340000,,,0,,M. Plumlee REBOUND (Off:0 Def:3),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,33.0,3.0,3.0,0.0,,,,,,,,,,,,,
36,PT09M25.00S,2022-03-06T00:13:32.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626179,94.03745072273325,51.470588235294116,1610612766,8,5,2022-03-06T00:13:36Z,350000,7.0,4.0,1,right,MISS T. Rozier cutting DUNK,[1626179],1610612766.0,CHA,cutting,,,Rozier,T. Rozier,,,,,,,0.82,Missed,,,,,,,,,,,,,,,,,
37,PT09M23.00S,2022-03-06T00:13:34.5Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,8,5,2022-03-06T00:13:34Z,360000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,
38,PT09M14.00S,2022-03-06T00:13:43.3Z,1,REGULAR,turnover,bad pass,[],1627751,,,1610612759,8,5,2022-03-06T00:13:50Z,370000,,,0,,J. Poeltl bad pass TURNOVER (1 TO),"[1627751, 1629023]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,1.0,,,,,,,,,,,,,,,,,Washington,1629023.0,
39,PT09M14.00S,2022-03-06T00:13:43.3Z,1,REGULAR,steal,,[],1629023,,,1610612766,8,5,2022-03-06T00:13:46Z,380000,,,0,,P. Washington STEAL (1 STL),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT09M07.00S,2022-03-06T00:13:50.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630163,93.11760840998686,52.94117647058824,1610612766,8,5,2022-03-06T00:13:55Z,390000,15.0,12.0,1,right,MISS L. Ball driving Layup - blocked,"[1630163, 1630170]",1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,,,1.91,Missed,,,,,,,,,,,,,Vassell,1630170.0,,,
41,PT09M07.00S,2022-03-06T00:13:50.4Z,1,REGULAR,block,,[],1630170,,,1610612766,8,5,2022-03-06T00:13:52Z,400000,,,0,,D. Vassell BLOCK (1 BLK),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT09M04.00S,2022-03-06T00:13:53.4Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,8,5,2022-03-06T00:13:55Z,410000,,,0,,D. Vassell REBOUND (Off:0 Def:2),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,40.0,2.0,2.0,0.0,,,,,,,,,,,,,
43,PT09M04.00S,2022-03-06T00:13:56.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,8,5,2022-03-06T00:13:56Z,420000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M47.00S,2022-03-06T00:14:26.4Z,1,REGULAR,3pt,Jump Shot,[],1627749,33.722076215505915,52.69607843137255,1610612759,8,5,2022-03-06T00:14:30Z,430000,-13.0,264.0,1,left,MISS D. Murray 26' 3PT,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,26.48,Missed,,,,,,,,,,,,,,,,,
45,PT08M43.00S,2022-03-06T00:14:30.4Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,8,5,2022-03-06T00:14:30Z,440000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,
46,PT08M30.00S,2022-03-06T00:14:42.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,87.72996057818659,51.71568627450981,1610612766,8,5,2022-03-06T00:18:55Z,450000,9.0,63.0,1,right,MISS M. Bridges 6' driving floating Shot,[1628970],1610612766.0,CHA,driving floating,,,Bridges,M. Bridges,,,,,,,6.34,Missed,,,,,,,,,,,,,,,,,
47,PT08M27.00S,2022-03-06T00:14:45.6Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,8,5,2022-03-06T00:14:49Z,460000,,,0,,K. Johnson REBOUND (Off:0 Def:2),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,46.0,2.0,2.0,0.0,,,,,,,,,,,,,
48,PT08M25.00S,2022-03-06T00:14:48.0Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630170,16.63929040735874,71.32352941176471,1610612759,8,7,2022-03-06T00:14:54Z,470000,-107.0,104.0,1,left,D. Vassell 14' Jump Shot (2 PTS) (K. Johnson 1 AST),"[1630170, 1629640]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,14.89,Made,,,,,,,,,2.0,K. Johnson,1629640.0,1.0,,,,,
50,PT07M57.00S,2022-03-06T00:15:15.8Z,1,REGULAR,3pt,Jump Shot,[],1626179,74.32654402102497,13.725490196078432,1610612766,8,7,2022-03-06T00:15:20Z,490000,-181.0,189.0,1,right,MISS T. Rozier 26' 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,26.18,Missed,,,,,,,,,,,,,,,,,
51,PT07M54.00S,2022-03-06T00:15:19.1Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,8,7,2022-03-06T00:15:19Z,500000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,
52,PT07M50.00S,2022-03-06T00:15:23.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203926,5.601182654402102,51.9607843137255,1610612759,8,9,2022-03-06T00:20:03Z,510000,-10.0,0.0,1,left,D. McDermott running Layup (2 PTS) (D. Murray 2 AST),"[203926, 1627749]",1610612759.0,SAS,running,,,McDermott,D. McDermott,,,,,,,0.98,Made,,,,,,,,,2.0,D. Murray,1627749.0,2.0,,,,,
54,PT07M50.00S,2022-03-06T00:15:29.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,8,9,2022-03-06T00:15:29Z,530000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M37.00S,2022-03-06T00:18:29.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,92.06636005256242,50.73529411764706,1610612766,10,9,2022-03-06T00:18:34Z,540000,4.0,22.0,1,right,P. Washington cutting Layup (5 PTS) (L. Ball 2 AST),"[1629023, 1630163]",1610612766.0,CHA,cutting,,,Washington,P. Washington,,,,,,,2.24,Made,,,,,,,,,5.0,L. Ball,1630163.0,2.0,,,,,
57,PT07M22.00S,2022-03-06T00:18:44.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,4.5499342969776615,58.333333333333336,1610612759,10,9,2022-03-06T00:18:52Z,560000,-42.0,-10.0,1,left,MISS D. Murray floating Shot,[1627749],1610612759.0,SAS,floating,,,Murray,D. Murray,,,,,,,4.28,Missed,,,,,,,,,,,,,,,,,
58,PT07M19.00S,2022-03-06T00:18:48.1Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,10,9,2022-03-06T00:18:48Z,570000,,,0,,L. Ball REBOUND (Off:0 Def:2),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,
59,PT07M11.00S,2022-03-06T00:18:56.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,92.19776609724047,50.98039215686274,1610612766,10,9,2022-03-06T00:19:02Z,580000,5.0,21.0,1,right,MISS T. Rozier driving finger roll Layup,[1626179],1610612766.0,CHA,driving finger roll,,,Rozier,T. Rozier,,,,,,,2.14,Missed,,,,,,,,,,,,,,,,,
60,PT07M09.00S,2022-03-06T00:18:58.1Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,10,9,2022-03-06T00:19:02Z,590000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,,
61,PT07M07.00S,2022-03-06T00:19:01.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629640,5.469776609724048,51.470588235294116,1610612759,10,11,2022-03-06T00:19:31Z,600000,-7.0,-1.0,1,left,K. Johnson cutting Layup (7 PTS) (D. Murray 3 AST),"[1629640, 1627749]",1610612759.0,SAS,cutting,,,Johnson,K. Johnson,,,,,,,0.75,Made,,,,,,,,,7.0,D. Murray,1627749.0,3.0,,,,,
62,PT07M07.00S,2022-03-06T00:19:04.1Z,1,REGULAR,foul,personal,['1freethrow'],1629023,,,1610612759,10,11,2022-03-06T00:19:28Z,610000,,,0,,P. Washington shooting personal FOUL (1 PF) (Johnson 1 FT),"[1629023, 1629640]",1610612766.0,CHA,shooting,,,Washington,P. Washington,,,,,201638.0,,,,,,,,1.0,0.0,Johnson,1629640.0,,,,,,,,,
64,PT07M07.00S,2022-03-06T00:19:21.7Z,1,REGULAR,substitution,out,[],1629023,,,1610612759,10,11,2022-03-06T00:19:31Z,630000,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M07.00S,2022-03-06T00:19:21.7Z,1,REGULAR,substitution,in,[],1628998,,,1610612759,10,11,2022-03-06T00:19:31Z,640000,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M07.00S,2022-03-06T00:19:29.1Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1629640,,,1610612759,10,12,2022-03-06T00:19:29Z,650000,,,0,,K. Johnson Free Throw 1 of 1 (8 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,Made,,,,,,,,,8.0,,,,,,,,
68,PT06M56.00S,2022-03-06T00:19:46.0Z,1,REGULAR,foul,personal,['2freethrow'],203926,,,1610612766,10,12,2022-03-06T00:19:58Z,660000,,,0,,D. McDermott shooting personal FOUL (1 PF) (Rozier 2 FT),"[203926, 1626179]",1610612759.0,SAS,shooting,,,McDermott,D. McDermott,,,,,201638.0,,,,,,,,1.0,0.0,Rozier,1626179.0,,,,,,,,,
70,PT06M56.00S,2022-03-06T00:20:08.4Z,1,REGULAR,freethrow,1 of 2,[],1626179,,,1610612766,11,12,2022-03-06T00:20:08Z,680000,,,0,,T. Rozier Free Throw 1 of 2 (1 PTS),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,
71,PT06M56.00S,2022-03-06T00:20:09.2Z,1,REGULAR,substitution,out,[],203926,,,1610612766,11,12,2022-03-06T00:20:12Z,690000,,,0,,SUB out: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M56.00S,2022-03-06T00:20:09.2Z,1,REGULAR,substitution,in,[],1629022,,,1610612766,11,12,2022-03-06T00:20:12Z,700000,,,0,,SUB in: L. Walker IV,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M56.00S,2022-03-06T00:20:24.5Z,1,REGULAR,freethrow,2 of 2,[],1626179,,,1610612766,12,12,2022-03-06T00:20:24Z,710000,,,0,,T. Rozier Free Throw 2 of 2 (2 PTS),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,
74,PT06M45.00S,2022-03-06T00:20:37.7Z,1,REGULAR,turnover,bad pass,[],1627751,,,1610612759,12,12,2022-03-06T00:20:43Z,720000,,,0,,J. Poeltl bad pass TURNOVER (2 TO),"[1627751, 1626179]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,2.0,,,,,,,,,,,,,,,,,Rozier,1626179.0,
75,PT06M45.00S,2022-03-06T00:20:37.7Z,1,REGULAR,steal,,[],1626179,,,1610612766,12,12,2022-03-06T00:20:39Z,730000,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M40.00S,2022-03-06T00:20:42.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630163,80.3712220762155,94.36274509803921,1610612766,12,12,2022-03-06T00:20:49Z,740000,222.0,132.0,1,right,MISS L. Ball 25' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,25.81,Missed,,,,,,,,,,,,,,,,,
77,PT06M37.00S,2022-03-06T00:20:45.9Z,1,REGULAR,rebound,offensive,[],1628998,,,1610612766,12,12,2022-03-06T00:20:45Z,750000,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,76.0,1.0,0.0,1.0,,,,,,,,,,,,,
78,PT06M36.00S,2022-03-06T00:20:47.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628970,68.01905387647832,28.676470588235293,1610612766,12,12,2022-03-06T00:20:55Z,760000,-107.0,248.0,1,right,MISS M. Bridges 27' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,27.0,Missed,,,,,,,,,,,,,,,,,
79,PT06M36.00S,2022-03-06T00:20:47.0Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,12,12,2022-03-06T00:24:40Z,770000,,,0,,K. Johnson REBOUND (Off:0 Def:3),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,78.0,3.0,3.0,0.0,,,,,,,,,,,,,
80,PT06M24.00S,2022-03-06T00:21:00.2Z,1,REGULAR,foul,personal,['2freethrow'],1628998,,,1610612759,12,12,2022-03-06T00:21:13Z,780000,,,0,,C. Martin shooting personal FOUL (1 PF) (Poeltl 2 FT),"[1628998, 1627751]",1610612766.0,CHA,shooting,,,Martin,C. Martin,,,,,1363.0,,,,,,,,1.0,0.0,Poeltl,1627751.0,,,,,,,,,
82,PT06M24.00S,2022-03-06T00:21:27.9Z,1,REGULAR,freethrow,1 of 2,[],1627751,,,1610612759,12,12,2022-03-06T00:21:27Z,800000,,,0,,MISS J. Poeltl Free Throw 1 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,Missed,,,,,,,,,,,,,,,,,
83,PT06M24.00S,2022-03-06T00:21:27.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,12,12,2022-03-06T00:21:27Z,810000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,
84,PT06M24.00S,2022-03-06T00:21:29.0Z,1,REGULAR,substitution,out,[],1630163,,,1610612759,12,12,2022-03-06T00:21:36Z,820000,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M24.00S,2022-03-06T00:21:29.0Z,1,REGULAR,substitution,out,[],203486,,,1610612759,12,12,2022-03-06T00:21:36Z,830000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M24.00S,2022-03-06T00:21:29.0Z,1,REGULAR,substitution,in,[],1626149,,,1610612759,12,12,2022-03-06T00:21:36Z,840000,,,0,,SUB in: M. Harrell,[1626149],1610612766.0,CHA,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M24.00S,2022-03-06T00:21:29.0Z,1,REGULAR,substitution,in,[],1626162,,,1610612759,12,12,2022-03-06T00:21:36Z,850000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT06M24.00S,2022-03-06T00:21:48.5Z,1,REGULAR,freethrow,2 of 2,[],1627751,,,1610612759,12,13,2022-03-06T00:21:48Z,860000,,,0,,J. Poeltl Free Throw 2 of 2 (1 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,
89,PT06M07.00S,2022-03-06T00:22:09.2Z,1,REGULAR,3pt,Jump Shot,[],1626162,92.9862023653088,97.79411764705883,1610612766,15,13,2022-03-06T00:22:15Z,870000,239.0,13.0,1,right,K. Oubre Jr. 3PT step back (3 PTS) (T. Rozier 2 AST),"[1626162, 1626179]",1610612766.0,CHA,step back,,,Oubre Jr.,K. Oubre Jr.,,,,,,,23.94,Made,,,,,,,,,3.0,T. Rozier,1626179.0,2.0,,,,,
91,PT05M55.00S,2022-03-06T00:22:20.4Z,1,REGULAR,3pt,Jump Shot,[],1630170,7.835085413929041,2.941176470588235,1610612759,15,16,2022-03-06T00:22:24Z,890000,235.0,21.0,1,left,D. Vassell 3PT  (5 PTS) (J. Poeltl 1 AST),"[1630170, 1627751]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,23.62,Made,,,,,,,,,5.0,J. Poeltl,1627751.0,1.0,,,,,
