actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
43,PT08M19.00S,2021-11-13T00:15:27.3Z,1,REGULAR,3pt,Jump Shot,[],202689,30.831143232588698,75.49019607843137,1610612752,4,11,2021-11-13T00:15:31Z,430000,-127.0,237.0,1,left,MISS K. Walker 26' 3PT,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,26.94,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M17.00S,2021-11-13T00:15:29.3Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,4,11,2021-11-13T00:15:31Z,440000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,43.0,,,,,,,,,,1.0,1.0,0.0,,,,,,
45,PT08M12.00S,2021-11-13T00:15:35.3Z,1,REGULAR,turnover,lost ball,[],1628970,,,1610612766,4,11,2021-11-13T00:15:40Z,450000,,,0,,M. Bridges lost ball TURNOVER (1 TO),"[1628970, 203944]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,1.0,Randle,203944.0,,,,,,,,,,,,,,,
46,PT08M12.00S,2021-11-13T00:15:35.3Z,1,REGULAR,steal,,[],203944,,,1610612752,4,11,2021-11-13T00:15:37Z,460000,,,0,,J. Randle STEAL (1 STL),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M05.00S,2021-11-13T00:15:43.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,4,11,2021-11-13T00:15:43Z,470000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M03.00S,2021-11-13T00:16:00.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202689,6.783837056504599,51.9607843137255,1610612752,4,11,2021-11-13T00:16:10Z,480000,-10.0,11.0,1,left,MISS K. Walker Layup,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,1.5,Missed,,,,,,,,,,,,,,,,,,,
49,PT07M56.00S,2021-11-13T00:16:06.2Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,4,11,2021-11-13T00:16:06Z,490000,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,48.0,,,,,,,,,,1.0,0.0,1.0,,,,,,
50,PT07M56.00S,2021-11-13T00:16:06.2Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1629011,5.590000152587891,50.0,1610612752,4,13,2021-11-13T00:17:27Z,500000,0.0,0.0,1,left,M. Robinson tip DUNK (2 PTS),[1629011],1610612752.0,NYK,tip,,,Robinson,M. Robinson,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
51,PT07M52.00S,2021-11-13T00:16:10.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628970,93.38042049934296,3.431372549019608,1610612766,7,13,2021-11-13T00:16:16Z,510000,-233.0,10.0,1,right,M. Bridges 3PT  (3 PTS) (L. Ball 1 AST),"[1628970, 1630163]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,23.3,Made,,,,,3.0,L. Ball,1630163.0,1.0,,,,,,,,,,,
53,PT07M38.00S,2021-11-13T00:16:26.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,7.966491458607096,49.754901960784316,1610612752,7,15,2021-11-13T00:16:34Z,530000,1.0,22.0,1,left,K. Walker driving Layup (10 PTS),[202689],1610612752.0,NYK,driving,,,Walker,K. Walker,,,,,2.24,Made,,,,,10.0,,,,,,,,,,,,,,
