actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
15,PT10M22.00S,2021-11-20T00:12:44.2Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,2,2,2021-11-20T00:12:46Z,150000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M09.00S,2021-11-20T00:12:59.8Z,1,REGULAR,foul,personal,['2freethrow'],1626167,,,1610612766,2,2,2021-11-20T00:13:09Z,160000,,,0,,M. Turner shooting personal FOUL (1 PF) (Plumlee 2 FT),"[1626167, 203486]",1610612754.0,IND,shooting,,,Turner,M. Turner,,,,,,,,203593.0,,,,,,,,1.0,0.0,Plumlee,203486.0,,,,,,
18,PT10M09.00S,2021-11-20T00:13:20.4Z,1,REGULAR,freethrow,1 of 2,[],203486,,,1610612766,2,2,2021-11-20T00:13:20Z,180000,,,0,,MISS M. Plumlee Free Throw 1 of 2,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M09.00S,2021-11-20T00:13:20.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,2,2,2021-11-20T00:13:20Z,190000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,
20,PT10M09.00S,2021-11-20T00:13:35.1Z,1,REGULAR,freethrow,2 of 2,[],203486,,,1610612766,3,2,2021-11-20T00:13:35Z,200000,,,0,,M. Plumlee Free Throw 2 of 2 (1 PTS),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
21,PT09M48.00S,2021-11-20T00:13:59.4Z,1,REGULAR,foul,personal,[],203486,,,1610612754,3,2,2021-11-20T00:14:10Z,210000,,,0,,M. Plumlee personal FOUL (1 PF),"[203486, 1627734]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,203593.0,,,,,,,,1.0,0.0,Sabonis,1627734.0,,,,,,
23,PT09M42.00S,2021-11-20T00:14:24.0Z,1,REGULAR,2pt,Jump Shot,[],1627763,85.62746386333771,74.01960784313727,1610612754,3,4,2021-11-20T00:14:28Z,230000,120.0,83.0,1,right,M. Brogdon 14' pullup Jump Shot (2 PTS),[1627763],1610612754.0,IND,pullup,,,Brogdon,M. Brogdon,,,,,14.58,Made,2.0,,,,,,,,,,,,,,,,,,
24,PT09M30.00S,2021-11-20T00:14:36.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,9.017739816031538,49.26470588235294,1610612766,3,4,2021-11-20T00:14:40Z,240000,4.0,32.0,1,left,MISS T. Rozier driving Layup,[1626179],1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,3.25,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M28.00S,2021-11-20T00:14:38.1Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,3,4,2021-11-20T00:14:40Z,250000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,
26,PT09M28.00S,2021-11-20T00:14:39.8Z,1,REGULAR,foul,personal,[],203486,,,1610612754,3,4,2021-11-20T00:41:04Z,260000,,,0,,M. Plumlee personal FOUL (2 PF),"[203486, 1627734]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,203593.0,,,,,,,,2.0,0.0,Sabonis,1627734.0,,,,,,
28,PT09M12.00S,2021-11-20T00:15:15.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,3,4,2021-11-20T00:15:15Z,280000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M07.00S,2021-11-20T00:15:37.5Z,1,REGULAR,2pt,Jump Shot,[],1630537,74.85216819973719,47.794117647058826,1610612754,3,4,2021-11-20T00:15:41Z,290000,-11.0,184.0,1,right,MISS C. Duarte 18' pullup Shot,[1630537],1610612754.0,IND,pullup,,,Duarte,C. Duarte,,,,,18.42,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M04.00S,2021-11-20T00:15:40.5Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,3,4,2021-11-20T00:15:41Z,300000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,
31,PT08M55.00S,2021-11-20T00:15:49.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,7.5722733245729295,49.754901960784316,1610612766,3,4,2021-11-20T00:16:29Z,310000,1.0,19.0,1,left,MISS L. Ball driving floating Shot,[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,1.87,Missed,,,,,,,,,,,,,,,,,,,
32,PT08M50.00S,2021-11-20T00:15:54.7Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612754,3,4,2021-11-20T00:16:29Z,320000,,,0,,C. LeVert REBOUND (Off:0 Def:2),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,,
33,PT08M42.00S,2021-11-20T00:16:02.5Z,1,REGULAR,2pt,Jump Shot,[],1627763,79.58278580814718,64.70588235294117,1610612754,3,6,2021-11-20T00:16:08Z,330000,74.0,139.0,1,right,M. Brogdon 15' pullup Jump Shot (4 PTS) (D. Sabonis 1 AST),"[1627763, 1627734]",1610612754.0,IND,pullup,,,Brogdon,M. Brogdon,,,,,15.76,Made,4.0,,,,,,,,,,,,,D. Sabonis,1627734.0,1.0,,,
34,PT08M27.00S,2021-11-20T00:16:17.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628970,15.850854139290407,50.245098039215684,1610612766,3,6,2021-11-20T00:16:25Z,340000,-1.0,96.0,1,left,MISS M. Bridges 9' turnaround fadeaway Shot,[1628970],1610612766.0,CHA,turnaround fadeaway,,,Bridges,M. Bridges,,,,,9.65,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M25.00S,2021-11-20T00:16:23.3Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,3,6,2021-11-20T00:16:23Z,350000,,,0,,L. Ball REBOUND (Off:1 Def:0),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,34.0,1.0,0.0,1.0,,,,,,,,,,
36,PT08M25.00S,2021-11-20T00:16:24.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,3,6,2021-11-20T00:16:24Z,360000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M16.00S,2021-11-20T00:16:47.1Z,1,REGULAR,foul,personal,[],1627747,,,1610612766,3,6,2021-11-20T00:18:04Z,370000,,,0,,C. LeVert personal FOUL (1 PF),"[1627747, 1626179]",1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,201245.0,,,,,,,,1.0,0.0,Rozier,1626179.0,,,,,,
39,PT08M05.00S,2021-11-20T00:17:12.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630163,6.783837056504599,52.450980392156865,1610612766,3,6,2021-11-20T00:19:42Z,390000,-12.0,11.0,1,left,MISS L. Ball driving floating Shot,[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,1.67,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M04.00S,2021-11-20T00:17:13.8Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,3,6,2021-11-20T00:23:41Z,400000,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,39.0,1.0,0.0,1.0,,,,,,,,,,
41,PT08M04.00S,2021-11-20T00:17:16.5Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",203486,5.590000152587891,50.0,1610612766,5,6,2021-11-20T00:23:47Z,410000,0.0,0.0,1,left,M. Plumlee putback DUNK (3 PTS),[203486],1610612766.0,CHA,putback,,,Plumlee,M. Plumlee,,,,,0.0,Made,3.0,,,,,,,,,,,,,,,,,,
42,PT07M53.00S,2021-11-20T00:17:25.1Z,1,REGULAR,turnover,bad pass,[],1627763,,,1610612754,5,6,2021-11-20T00:17:33Z,420000,,,0,,M. Brogdon bad pass TURNOVER (1 TO),"[1627763, 1630163]",1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,1.0,Ball,1630163.0,,,,,,,,,,,,,,
43,PT07M53.00S,2021-11-20T00:17:25.1Z,1,REGULAR,steal,,[],1630163,,,1610612766,5,6,2021-11-20T00:17:26Z,430000,,,0,,L. Ball STEAL (1 STL),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M50.00S,2021-11-20T00:17:27.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630163,5.469776609724048,49.26470588235294,1610612766,7,6,2021-11-20T00:20:23Z,440000,4.0,-1.0,1,left,L. Ball running DUNK (2 PTS),[1630163],1610612766.0,CHA,running,,,Ball,L. Ball,,,,,0.39,Made,2.0,,,,,,,,,,,,,,,,,,
45,PT07M40.00S,2021-11-20T00:17:40.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,7,6,2021-11-20T00:17:40Z,450000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M25.00S,2021-11-20T00:18:05.4Z,1,REGULAR,3pt,Jump Shot,[],1630537,90.22667542706965,98.2843137254902,1610612754,7,6,2021-11-20T00:18:09Z,460000,241.0,39.0,1,right,MISS C. Duarte 24' 3PT,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,24.46,Missed,,,,,,,,,,,,,,,,,,,
47,PT07M23.00S,2021-11-20T00:18:07.4Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,7,6,2021-11-20T00:18:09Z,470000,,,0,,T. Rozier REBOUND (Off:0 Def:2),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,46.0,2.0,2.0,0.0,,,,,,,,,,
48,PT07M20.00S,2021-11-20T00:18:10.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202330,23.603810775295663,11.029411764705882,1610612766,7,6,2021-11-20T00:21:07Z,480000,195.0,169.0,1,left,MISS G. Hayward 25' running 3PT - blocked,"[202330, 1626167]",1610612766.0,CHA,running,,,Hayward,G. Hayward,,,,,25.82,Missed,,,,,,,,,,,,,,,,,Turner,1626167.0,
49,PT07M20.00S,2021-11-20T00:18:10.5Z,1,REGULAR,block,,[],1626167,,,1610612766,7,6,2021-11-20T00:18:13Z,490000,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M17.00S,2021-11-20T00:18:13.5Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612754,7,6,2021-11-20T00:18:15Z,500000,,,0,,C. LeVert REBOUND (Off:0 Def:3),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,48.0,3.0,3.0,0.0,,,,,,,,,,
51,PT07M12.00S,2021-11-20T00:18:26.3Z,1,REGULAR,foul,personal,[],1628970,,,1610612754,7,6,2021-11-20T00:18:35Z,510000,,,0,,M. Bridges personal FOUL (1 PF),"[1628970, 1627734]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,101283.0,,,,,,,,1.0,0.0,Sabonis,1627734.0,,,,,,
53,PT07M04.00S,2021-11-20T00:18:43.7Z,1,REGULAR,2pt,Jump Shot,[],1630537,79.97700394218134,86.27450980392157,1610612754,7,8,2021-11-20T00:18:49Z,530000,181.0,136.0,1,right,C. Duarte 22' Jump Shot (4 PTS) (M. Brogdon 1 AST),"[1630537, 1627763]",1610612754.0,IND,,,,Duarte,C. Duarte,,,,,22.65,Made,4.0,,,,,,,,,,,,,M. Brogdon,1627763.0,1.0,,,
56,PT06M49.00S,2021-11-20T00:18:58.3Z,1,REGULAR,3pt,Jump Shot,[],1630163,9.149145860709593,2.696078431372549,1610612766,7,8,2021-11-20T00:19:01Z,550000,237.0,34.0,1,left,MISS L. Ball 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,23.89,Missed,,,,,,,,,,,,,,,,,,,
57,PT06M47.00S,2021-11-20T00:19:00.3Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,7,8,2021-11-20T00:19:01Z,560000,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,56.0,2.0,2.0,0.0,,,,,,,,,,
58,PT06M28.00S,2021-11-20T00:19:19.4Z,1,REGULAR,3pt,Jump Shot,[],1627747,67.7562417871222,33.33333333333333,1610612754,7,8,2021-11-20T00:19:24Z,570000,-83.0,251.0,1,right,MISS C. LeVert 26' step back 3PT,[1627747],1610612754.0,IND,step back,,,LeVert,C. LeVert,,,,,26.41,Missed,,,,,,,,,,,,,,,,,,,
59,PT06M24.00S,2021-11-20T00:19:23.4Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,7,8,2021-11-20T00:19:24Z,580000,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,58.0,2.0,1.0,1.0,,,,,,,,,,
60,PT06M17.00S,2021-11-20T00:19:30.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,14.668199737187912,48.77450980392157,1610612766,9,8,2021-11-20T00:19:34Z,590000,6.0,85.0,1,left,T. Rozier 8' floating Jump Shot (2 PTS),[1626179],1610612766.0,CHA,floating,,,Rozier,T. Rozier,,,,,8.56,Made,2.0,,,,,,,,,,,,,,,,,,
61,PT06M00.00S,2021-11-20T00:19:46.4Z,1,REGULAR,3pt,Jump Shot,[],1627734,70.51576872536137,75.24509803921569,1610612754,9,8,2021-11-20T00:19:50Z,600000,126.0,225.0,1,right,MISS D. Sabonis 25' 3PT,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,25.77,Missed,,,,,,,,,,,,,,,,,,,
62,PT05M58.00S,2021-11-20T00:19:48.4Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,9,8,2021-11-20T00:19:50Z,610000,,,0,,T. Rozier REBOUND (Off:0 Def:3),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,61.0,3.0,3.0,0.0,,,,,,,,,,
63,PT05M43.00S,2021-11-20T00:20:03.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,8.492115637319317,47.05882352941176,1610612766,11,8,2021-11-20T00:20:08Z,620000,15.0,27.0,1,left,T. Rozier driving Layup (4 PTS),[1626179],1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,3.1,Made,4.0,,,,,,,,,,,,,,,,,,
64,PT05M28.00S,2021-11-20T00:20:45.3Z,1,REGULAR,foul,personal,['2freethrow'],202330,,,1610612754,11,8,2021-11-20T00:21:03Z,630000,,,0,,G. Hayward shooting personal FOUL (1 PF) (Turner 2 FT),"[202330, 1626167]",1610612766.0,CHA,shooting,,,Hayward,G. Hayward,,,,,,,,203593.0,,,,,,,,1.0,0.0,Turner,1626167.0,,,,,,
66,PT05M28.00S,2021-11-20T00:20:57.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,11,8,2021-11-20T00:20:57Z,650000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M28.00S,2021-11-20T00:22:43.9Z,1,REGULAR,substitution,out,[],202330,,,1610612754,11,8,2021-11-20T00:23:57Z,660000,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M28.00S,2021-11-20T00:22:43.9Z,1,REGULAR,substitution,out,[],203486,,,1610612754,11,8,2021-11-20T00:23:57Z,670000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M28.00S,2021-11-20T00:22:43.9Z,1,REGULAR,substitution,out,[],1630537,,,1610612754,11,8,2021-11-20T00:23:57Z,680000,,,0,,SUB out: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M28.00S,2021-11-20T00:22:43.9Z,1,REGULAR,substitution,out,[],1627747,,,1610612754,11,8,2021-11-20T00:23:57Z,690000,,,0,,SUB out: C. LeVert,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M28.00S,2021-11-20T00:22:43.9Z,1,REGULAR,substitution,out,[],1627734,,,1610612754,11,8,2021-11-20T00:23:57Z,700000,,,0,,SUB out: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M28.00S,2021-11-20T00:22:43.9Z,1,REGULAR,substitution,in,[],1626162,,,1610612754,11,8,2021-11-20T00:23:57Z,710000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M28.00S,2021-11-20T00:22:43.9Z,1,REGULAR,substitution,in,[],1630208,,,1610612754,11,8,2021-11-20T00:23:57Z,720000,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M28.00S,2021-11-20T00:22:43.9Z,1,REGULAR,substitution,in,[],203200,,,1610612754,11,8,2021-11-20T00:23:57Z,730000,,,0,,SUB in: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M28.00S,2021-11-20T00:22:43.9Z,1,REGULAR,substitution,in,[],204456,,,1610612754,11,8,2021-11-20T00:23:57Z,740000,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M28.00S,2021-11-20T00:22:43.9Z,1,REGULAR,substitution,in,[],1628470,,,1610612754,11,8,2021-11-20T00:23:57Z,750000,,,0,,SUB in: T. Craig,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M28.00S,2021-11-20T00:24:06.7Z,1,REGULAR,freethrow,1 of 2,[],1626167,,,1610612754,11,9,2021-11-20T00:24:06Z,760000,,,0,,M. Turner Free Throw 1 of 2 (1 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
78,PT05M28.00S,2021-11-20T00:24:20.9Z,1,REGULAR,freethrow,2 of 2,[],1626167,,,1610612754,11,10,2021-11-20T00:24:20Z,770000,,,0,,M. Turner Free Throw 2 of 2 (2 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
79,PT05M15.00S,2021-11-20T00:24:35.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,15.193823915900131,34.31372549019608,1610612766,13,10,2021-11-20T00:24:39Z,780000,78.0,90.0,1,left,L. Ball 11' floating Jump Shot (4 PTS),[1630163],1610612766.0,CHA,floating,,,Ball,L. Ball,,,,,11.96,Made,4.0,,,,,,,,,,,,,,,,,,
80,PT05M00.00S,2021-11-20T00:24:51.5Z,1,REGULAR,3pt,Jump Shot,[],203200,69.59592641261499,25.98039215686275,1610612754,13,10,2021-11-20T00:24:56Z,790000,-120.0,233.0,1,right,MISS J. Holiday 26' 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,26.24,Missed,,,,,,,,,,,,,,,,,,,
81,PT04M56.00S,2021-11-20T00:24:55.5Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,13,10,2021-11-20T00:24:56Z,800000,,,0,,T. Rozier REBOUND (Off:0 Def:4),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,80.0,4.0,4.0,0.0,,,,,,,,,,
82,PT04M53.00S,2021-11-20T00:24:58.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,27.677398160315374,16.176470588235293,1610612766,13,10,2021-11-20T00:26:06Z,810000,169.0,208.0,1,left,MISS L. Ball 26' running 3PT,[1630163],1610612766.0,CHA,running,,,Ball,L. Ball,,,,,26.78,Missed,,,,,,,,,,,,,,,,,,,
83,PT04M47.00S,2021-11-20T00:25:04.4Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612754,13,10,2021-11-20T00:25:04Z,820000,,,0,,T. Craig REBOUND (Off:0 Def:1),[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,82.0,1.0,1.0,0.0,,,,,,,,,,
84,PT04M30.00S,2021-11-20T00:25:19.8Z,1,REGULAR,3pt,Jump Shot,[],203200,74.98357424441524,12.5,1610612754,13,13,2021-11-20T00:25:28Z,830000,-188.0,183.0,1,right,J. Holiday 26' 3PT  (3 PTS) (T. Craig 1 AST),"[203200, 1628470]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,26.18,Made,3.0,,,,,,,,,,,,,T. Craig,1628470.0,1.0,,,
86,PT04M06.00S,2021-11-20T00:25:44.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,8.492115637319317,47.549019607843135,1610612766,15,13,2021-11-20T00:25:49Z,850000,12.0,27.0,1,left,K. Oubre Jr. turnaround Jump Shot (2 PTS) (N. Richards 1 AST),"[1626162, 1630208]",1610612766.0,CHA,turnaround,,,Oubre Jr.,K. Oubre Jr.,,,,,2.99,Made,2.0,,,,,,,,,,,,,N. Richards,1630208.0,1.0,,,
88,PT03M54.00S,2021-11-20T00:25:56.7Z,1,REGULAR,3pt,Jump Shot,[],1626167,66.04796320630749,51.9607843137255,1610612754,15,13,2021-11-20T00:26:01Z,870000,10.0,267.0,1,right,MISS M. Turner 26' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,26.68,Missed,,,,,,,,,,,,,,,,,,,
