actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
24,PT08M59.00S,2021-12-07T00:13:36.0Z,1,REGULAR,rebound,defensive,[],203552,,,1610612755,8,6,2021-12-07T00:13:36Z,240000,,,0,,S. Curry REBOUND (Off:0 Def:1),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT08M53.00S,2021-12-07T00:13:42.4Z,1,REGULAR,3pt,Jump Shot,[],203552,33.85348226018397,52.20588235294118,1610612755,8,6,2021-12-07T00:20:39Z,250000,-11.0,266.0,1,left,MISS S. Curry 26' pullup 3PT,[203552],1610612755.0,PHI,pullup,,,Curry,S. Curry,,,,,26.59,Missed,,,,,,,,,,,,,,,,,,,
26,PT08M50.00S,2021-12-07T00:13:45.3Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,8,6,2021-12-07T00:13:45Z,260000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT08M43.00S,2021-12-07T00:13:53.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,8,6,2021-12-07T00:13:53Z,270000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT08M31.00S,2021-12-07T00:14:18.2Z,1,REGULAR,2pt,Jump Shot,[],1628998,78.79434954007884,24.754901960784316,1610612766,10,6,2021-12-07T00:21:11Z,280000,-126.0,147.0,1,right,C. Martin 19' step back Jump Shot (2 PTS),[1628998],1610612766.0,CHA,step back,,,Martin,C. Martin,,,,,19.36,Made,2.0,,,,,,,,,,,,,,,,,,
29,PT08M13.00S,2021-12-07T00:14:36.2Z,1,REGULAR,3pt,Jump Shot,[],202699,23.866622864651774,87.99019607843137,1610612755,10,6,2021-12-07T00:18:41Z,290000,-190.0,172.0,1,left,MISS T. Harris 25' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,25.62,Missed,,,,,,,,,,,,,,,,,,,
30,PT08M10.00S,2021-12-07T00:14:38.7Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,10,6,2021-12-07T00:14:38Z,300000,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:2),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,
31,PT08M03.00S,2021-12-07T00:14:46.2Z,1,REGULAR,3pt,Jump Shot,[],202330,67.09921156373193,54.41176470588235,1610612766,10,6,2021-12-07T00:18:36Z,310000,22.0,257.0,1,right,MISS G. Hayward 25' 3PT,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,25.77,Missed,,,,,,,,,,,,,,,,,,,
32,PT08M00.00S,2021-12-07T00:14:49.1Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,10,6,2021-12-07T00:14:49Z,320000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT07M43.00S,2021-12-07T00:15:05.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,10.726018396846255,45.09803921568628,1610612755,10,6,2021-12-07T00:21:57Z,330000,25.0,48.0,1,left,MISS J. Embiid turnaround Shot,[203954],1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,5.42,Missed,,,,,,,,,,,,,,,,,,,
34,PT07M41.00S,2021-12-07T00:15:07.3Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,10,6,2021-12-07T00:15:07Z,340000,,,0,,N. Richards REBOUND (Off:1 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,33.0,2.0,1.0,1.0,,,,,,,,,,,,,,
81,PT07M37.00S,2021-12-07T00:15:09.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628998,89.01116951379764,47.549019607843135,1610612766,10,6,2021-12-07T00:24:37Z,345000,-12.0,51.0,1,right,MISS C. Martin running Layup - blocked,"[1628998, 201980]",1610612766.0,CHA,running,,,Martin,C. Martin,,,,,5.23,Missed,,,,,,,,,,,Green,201980.0,,,,,,,
82,PT07M37.00S,2021-12-07T00:15:09.6Z,1,REGULAR,block,,[],201980,,,1610612766,10,6,2021-12-07T00:24:37Z,347500,,,0,,D. Green BLOCK (1 BLK),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT07M37.00S,2021-12-07T00:15:09.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,10,6,2021-12-07T00:24:37Z,348750,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,
35,PT07M37.00S,2021-12-07T00:15:13.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,10,6,2021-12-07T00:15:13Z,350000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT07M32.00S,2021-12-07T00:15:33.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630208,89.70105124835742,53.431372549019606,1610612766,12,6,2021-12-07T00:24:37Z,360000,17.0,44.0,1,right,N. Richards Layup (6 PTS) (G. Hayward 1 AST),"[1630208, 202330]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,4.75,Made,6.0,,,,,G. Hayward,202330.0,1.0,,,,,,,,,,,
39,PT07M10.00S,2021-12-07T00:15:55.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,8.623521681997373,51.225490196078425,1610612755,12,6,2021-12-07T00:22:39Z,380000,-6.0,29.0,1,left,MISS T. Harris driving Layup,[202699],1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,2.92,Missed,,,,,,,,,,,,,,,,,,,
40,PT07M08.00S,2021-12-07T00:15:57.2Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,12,6,2021-12-07T00:26:02Z,390000,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,,,
41,PT06M57.00S,2021-12-07T00:16:08.0Z,1,REGULAR,3pt,Jump Shot,[],1628970,67.49342969776609,65.44117647058823,1610612766,12,6,2021-12-07T00:18:03Z,400000,77.0,253.0,1,right,MISS M. Bridges 26' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,26.46,Missed,,,,,,,,,,,,,,,,,,,
42,PT06M55.00S,2021-12-07T00:16:10.0Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,12,6,2021-12-07T00:16:10Z,410000,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,
43,PT06M50.00S,2021-12-07T00:16:15.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201980,8.360709592641262,3.1862745098039214,1610612755,12,9,2021-12-07T00:18:00Z,420000,234.0,26.0,1,left,D. Green 3PT  (3 PTS) (S. Curry 1 AST),"[201980, 203552]",1610612755.0,PHI,,,,Green,D. Green,,,,,23.56,Made,3.0,,,,,S. Curry,203552.0,1.0,,,,,,,,,,,
45,PT06M27.00S,2021-12-07T00:16:37.8Z,1,REGULAR,3pt,Jump Shot,[],1628998,89.96386333771353,3.6764705882352944,1610612766,15,9,2021-12-07T00:17:55Z,440000,-232.0,42.0,1,right,C. Martin 3PT  (5 PTS) (M. Bridges 2 AST),"[1628998, 1628970]",1610612766.0,CHA,,,,Martin,C. Martin,,,,,23.53,Made,5.0,,,,,M. Bridges,1628970.0,2.0,,,,,,,,,,,
47,PT06M13.00S,2021-12-07T00:16:51.7Z,1,REGULAR,3pt,Jump Shot,[],1629003,24.917871222076215,86.27450980392157,1610612755,15,12,2021-12-07T00:17:52Z,460000,-181.0,182.0,1,left,S. Milton 25' 3PT  (3 PTS) (J. Embiid 1 AST),"[1629003, 203954]",1610612755.0,PHI,,,,Milton,S. Milton,,,,,25.68,Made,3.0,,,,,J. Embiid,203954.0,1.0,,,,,,,,,,,
48,PT05M56.00S,2021-12-07T00:17:10.0Z,1,REGULAR,3pt,Jump Shot,[],1626162,67.23061760840999,35.78431372549019,1610612766,15,12,2021-12-07T00:28:59Z,470000,-71.0,256.0,1,right,MISS K. Oubre Jr. 26' pullup 3PT,[1626162],1610612766.0,CHA,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,,
49,PT05M56.00S,2021-12-07T00:17:10.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,15,12,2021-12-07T00:28:12Z,480000,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,
50,PT05M56.00S,2021-12-07T00:17:12.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,15,12,2021-12-07T00:28:12Z,490000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT05M56.00S,2021-12-07T00:17:20.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,15,12,2021-12-07T00:28:12Z,500000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT05M56.00S,2021-12-07T00:19:39.5Z,1,REGULAR,substitution,out,[],202330,,,1610612755,15,12,2021-12-07T00:28:12Z,510000,,,0,,SUB out: G. Hayward,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT05M56.00S,2021-12-07T00:19:39.5Z,1,REGULAR,substitution,out,[],201980,,,1610612755,15,12,2021-12-07T00:28:12Z,520000,,,0,,SUB out: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT05M56.00S,2021-12-07T00:19:39.5Z,1,REGULAR,substitution,in,[],1630550,,,1610612755,15,12,2021-12-07T00:28:12Z,530000,,,0,,SUB in: J. Thor,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT05M56.00S,2021-12-07T00:19:39.5Z,1,REGULAR,substitution,in,[],1629680,,,1610612755,15,12,2021-12-07T00:28:12Z,540000,,,0,,SUB in: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT05M43.00S,2021-12-07T00:20:30.2Z,1,REGULAR,2pt,Jump Shot,[],1629003,9.017739816031538,22.058823529411764,1610612755,15,14,2021-12-07T00:21:03Z,550000,140.0,32.0,1,left,S. Milton 14' pullup Jump Shot (5 PTS),[1629003],1610612755.0,PHI,pullup,,,Milton,S. Milton,,,,,14.34,Made,5.0,,,,,,,,,,,,,,,,,,
57,PT05M22.00S,2021-12-07T00:20:54.0Z,1,REGULAR,foul,personal,['2freethrow'],1629680,,,1610612766,15,14,2021-12-07T00:21:07Z,560000,,,0,,M. Thybulle shooting personal FOUL (1 PF) (Bridges 2 FT),"[1629680, 1628970]",1610612755.0,PHI,shooting,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,1627961.0,,,,1.0,0.0,Bridges,1628970.0,,,
59,PT05M22.00S,2021-12-07T00:21:28.4Z,1,REGULAR,freethrow,1 of 2,[],1628970,,,1610612766,16,14,2021-12-07T00:21:28Z,580000,,,0,,M. Bridges Free Throw 1 of 2 (1 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
60,PT05M22.00S,2021-12-07T00:21:36.7Z,1,REGULAR,substitution,out,[],1630208,,,1610612766,16,14,2021-12-07T00:21:40Z,590000,,,0,,SUB out: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT05M22.00S,2021-12-07T00:21:36.7Z,1,REGULAR,substitution,in,[],1629023,,,1610612766,16,14,2021-12-07T00:21:40Z,600000,,,0,,SUB in: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT05M22.00S,2021-12-07T00:21:52.2Z,1,REGULAR,freethrow,2 of 2,[],1628970,,,1610612766,17,14,2021-12-07T00:21:52Z,610000,,,0,,M. Bridges Free Throw 2 of 2 (2 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
63,PT05M06.00S,2021-12-07T00:22:09.9Z,1,REGULAR,3pt,Jump Shot,[],203552,25.969119579500656,84.80392156862744,1610612755,17,14,2021-12-07T00:22:20Z,620000,-174.0,192.0,1,left,MISS S. Curry 25' 3PT,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,25.88,Missed,,,,,,,,,,,,,,,,,,,
64,PT05M02.00S,2021-12-07T00:22:13.9Z,1,REGULAR,rebound,offensive,[],1629680,,,1610612755,17,14,2021-12-07T00:22:20Z,630000,,,0,,M. Thybulle REBOUND (Off:1 Def:0),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,63.0,1.0,0.0,1.0,,,,,,,,,,,,,,
65,PT04M55.00S,2021-12-07T00:22:19.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203552,18.2161629434954,64.4607843137255,1610612755,17,16,2021-12-07T00:22:35Z,640000,-72.0,119.0,1,left,S. Curry 13' Jump Shot (4 PTS) (S. Milton 1 AST),"[203552, 1629003]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,13.9,Made,4.0,,,,,S. Milton,1629003.0,1.0,,,,,,,,,,,
67,PT04M38.00S,2021-12-07T00:22:37.3Z,1,REGULAR,3pt,Jump Shot,[],1630550,67.88764783180025,33.33333333333333,1610612766,17,16,2021-12-07T00:22:45Z,660000,-83.0,249.0,1,right,MISS J. Thor 26' 3PT,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,26.29,Missed,,,,,,,,,,,,,,,,,,,
68,PT04M35.00S,2021-12-07T00:22:40.3Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,17,16,2021-12-07T00:22:45Z,670000,,,0,,J. Embiid REBOUND (Off:0 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,67.0,3.0,3.0,0.0,,,,,,,,,,,,,,
69,PT04M23.00S,2021-12-07T00:22:52.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,6.389618922470433,46.568627450980394,1610612755,17,18,2021-12-07T00:31:16Z,680000,17.0,8.0,1,left,J. Embiid driving Layup (4 PTS) (M. Thybulle 1 AST),"[203954, 1629680]",1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,1.88,Made,4.0,,,,,M. Thybulle,1629680.0,1.0,,,,,,,,,,,
70,PT04M06.00S,2021-12-07T00:23:09.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,92.06636005256242,54.90196078431373,1610612766,19,18,2021-12-07T00:32:42Z,690000,25.0,22.0,1,right,K. Oubre Jr. driving floating Jump Shot (6 PTS) (P. Washington 1 AST),"[1626162, 1629023]",1610612766.0,CHA,driving floating,,,Oubre Jr.,K. Oubre Jr.,,,,,3.3,Made,6.0,,,,,P. Washington,1629023.0,1.0,,,,,,,,,,,
72,PT03M39.00S,2021-12-07T00:23:37.0Z,1,REGULAR,3pt,Jump Shot,[],1629003,33.459264126149804,61.029411764705884,1610612755,19,18,2021-12-07T00:23:42Z,710000,-55.0,262.0,1,left,MISS S. Milton 26' 3PT,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,26.77,Missed,,,,,,,,,,,,,,,,,,,
73,PT03M37.00S,2021-12-07T00:23:39.0Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,19,18,2021-12-07T00:23:42Z,720000,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,,,
74,PT03M33.00S,2021-12-07T00:23:42.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626162,88.25558475689881,3.6764705882352944,1610612766,22,18,2021-12-07T00:23:57Z,730000,-232.0,58.0,1,right,K. Oubre Jr. 3PT  (9 PTS) (P. Washington 2 AST),"[1626162, 1629023]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,23.87,Made,9.0,,,,,P. Washington,1629023.0,2.0,,,,,,,,,,,
76,PT03M03.00S,2021-12-07T00:24:12.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,15.588042049934298,47.794117647058826,1610612755,22,18,2021-12-07T00:33:37Z,750000,11.0,94.0,1,left,MISS T. Harris 9' floating Shot,[202699],1610612755.0,PHI,floating,,,Harris,T. Harris,,,,,9.46,Missed,,,,,,,,,,,,,,,,,,,
77,PT03M00.00S,2021-12-07T00:24:15.2Z,1,REGULAR,rebound,defensive,[],1630550,,,1610612766,22,18,2021-12-07T00:24:18Z,760000,,,0,,J. Thor REBOUND (Off:0 Def:1),[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,,
78,PT02M49.00S,2021-12-07T00:24:26.9Z,1,REGULAR,turnover,lost ball,[],1628970,,,1610612766,22,18,2021-12-07T00:24:58Z,770000,,,0,,M. Bridges lost ball TURNOVER (1 TO),"[1628970, 1629680]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,1.0,,,,,,,Thybulle,1629680.0,
79,PT02M49.00S,2021-12-07T00:24:26.9Z,1,REGULAR,steal,,[],1629680,,,1610612755,22,18,2021-12-07T00:34:30Z,780000,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT02M41.00S,2021-12-07T00:24:35.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629003,8.09789750328515,3.6764705882352944,1610612755,22,21,2021-12-07T00:25:04Z,790000,232.0,24.0,1,left,S. Milton 3PT  (8 PTS) (S. Curry 2 AST),"[1629003, 203552]",1610612755.0,PHI,,,,Milton,S. Milton,,,,,23.28,Made,8.0,,,,,S. Curry,203552.0,2.0,,,,,,,,,,,
85,PT02M26.00S,2021-12-07T00:24:50.4Z,1,REGULAR,turnover,out-of-bounds,[],1628998,,,1610612766,22,21,2021-12-07T00:25:22Z,810000,,,0,,C. Martin bad pass out-of-bounds TURNOVER (1 TO),[1628998],1610612766.0,CHA,bad pass,,,Martin,C. Martin,,,,,,,,,,,,,,,201639.0,1.0,,,,,,,,,
86,PT02M26.00S,2021-12-07T00:24:57.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,22,21,2021-12-07T00:24:57Z,820000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT02M26.00S,2021-12-07T00:26:35.0Z,1,REGULAR,substitution,out,[],1628970,,,1610612755,22,21,2021-12-07T00:27:25Z,830000,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
