actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
32,PT09M23.00S,2022-03-19T23:14:02.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628970,93.77463863337714,53.67647058823529,1610612766,13,2,2022-03-19T23:14:08Z,320000,18.0,6.0,1,right,M. Bridges cutting Layup (5 PTS) (L. Ball 1 AST),"[1628970, 1630163]",1610612766.0,CHA,cutting,,,Bridges,M. Bridges,,,,,1.94,Made,5.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,,,,
34,PT09M06.00S,2022-03-19T23:14:19.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,7.5722733245729295,64.70588235294117,1610612742,13,2,2022-03-19T23:14:23Z,340000,-74.0,19.0,1,left,MISS L. Doncic 7' turnaround Shot,[1629029],1610612742.0,DAL,turnaround,,,Doncic,L. Doncic,,,,,7.58,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M04.00S,2022-03-19T23:14:21.2Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,13,2,2022-03-19T23:14:23Z,350000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,
36,PT09M00.00S,2022-03-19T23:14:25.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626179,88.25558475689881,4.6568627450980395,1610612766,16,2,2022-03-19T23:14:44Z,360000,-227.0,58.0,1,right,T. Rozier 3PT running (8 PTS) (L. Ball 2 AST),"[1626179, 1630163]",1610612766.0,CHA,running,,,Rozier,T. Rozier,,,,,23.4,Made,8.0,L. Ball,1630163.0,2.0,,,,,,,,,,,,,,,
38,PT08M59.00S,2022-03-19T23:14:37.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,16,2,2022-03-19T23:14:37Z,380000,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M41.00S,2022-03-19T23:17:46.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,15.193823915900131,50.0,1610612742,16,4,2022-03-19T23:17:52Z,390000,0.0,90.0,1,left,J. Brunson 9' turnaround Jump Shot (2 PTS),[1628973],1610612742.0,DAL,turnaround,,,Brunson,J. Brunson,,,,,9.03,Made,2.0,,,,,,,,,,,,,,,,,,
40,PT08M22.00S,2022-03-19T23:18:05.3Z,1,REGULAR,3pt,Jump Shot,[],1629023,97.05978975032852,97.30392156862744,1610612766,19,4,2022-03-19T23:18:09Z,400000,237.0,-25.0,1,right,P. Washington 3PT  (3 PTS) (M. Bridges 2 AST),"[1629023, 1628970]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,23.78,Made,3.0,M. Bridges,1628970.0,2.0,,,,,,,,,,,,,,,
42,PT08M10.00S,2022-03-19T23:18:17.4Z,1,REGULAR,3pt,Jump Shot,[],1629029,27.677398160315374,80.88235294117648,1610612742,19,4,2022-03-19T23:18:22Z,420000,-154.0,208.0,1,left,MISS L. Doncic 25' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,25.88,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M07.00S,2022-03-19T23:18:20.4Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,19,4,2022-03-19T23:18:22Z,430000,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,42.0,2.0,2.0,0.0,,,
44,PT07M53.00S,2022-03-19T23:18:34.6Z,1,REGULAR,3pt,Jump Shot,[],1628970,80.76544021024968,94.11764705882352,1610612766,19,4,2022-03-19T23:18:38Z,440000,221.0,128.0,1,right,MISS M. Bridges 25' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,25.52,Missed,,,,,,,,,,,,,,,,,,,
45,PT07M51.00S,2022-03-19T23:18:36.6Z,1,REGULAR,rebound,defensive,[],1628467,,,1610612742,19,4,2022-03-19T23:18:38Z,450000,,,0,,M. Kleber REBOUND (Off:0 Def:1),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,44.0,1.0,1.0,0.0,,,
46,PT07M43.00S,2022-03-19T23:18:44.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203939,5.995400788436268,49.01960784313725,1610612742,19,4,2022-03-19T23:18:57Z,460000,5.0,4.0,1,left,MISS D. Powell alley-oop DUNK - blocked,"[203939, 1628970]",1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,0.63,Missed,,,,,,,,,,,,,,,,,Bridges,1628970.0,
47,PT07M43.00S,2022-03-19T23:18:44.8Z,1,REGULAR,block,,[],1628970,,,1610612742,19,4,2022-03-19T23:18:50Z,470000,,,0,,M. Bridges BLOCK (1 BLK),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M43.00S,2022-03-19T23:18:44.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,19,4,2022-03-19T23:18:57Z,480000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,
