actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
15,PT10M41.00S,2022-04-10T19:42:20.8Z,1,REGULAR,steal,,[],1630166,,,1610612764,0,2,2022-04-10T19:42:23Z,150000,,,0,,D. Avdija STEAL (1 STL),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M37.00S,2022-04-10T19:42:24.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630166,5.863994743758213,50.73529411764706,1610612764,0,4,2022-04-10T19:42:30Z,160000,-4.0,3.0,1,left,D. Avdija running DUNK (4 PTS),[1630166],1610612764.0,WAS,running,,,Avdija,D. Avdija,,,,,0.45,Made,,,,,4.0,,,,,,,,,,,,,,
17,PT10M30.00S,2022-04-10T19:42:31.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,92.19776609724047,42.40196078431372,1610612766,0,4,2022-04-10T19:42:35Z,170000,-38.0,21.0,1,right,MISS T. Rozier driving Layup - blocked,"[1626179, 1629655]",1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,4.33,Missed,,,,,,,,,Gafford,1629655.0,,,,,,,,,
18,PT10M30.00S,2022-04-10T19:42:31.4Z,1,REGULAR,block,,[],1629655,,,1610612766,0,4,2022-04-10T19:42:33Z,180000,,,0,,D. Gafford BLOCK (1 BLK),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M26.00S,2022-04-10T19:42:35.4Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,0,4,2022-04-10T19:42:35Z,190000,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
20,PT10M25.00S,2022-04-10T19:42:36.4Z,1,REGULAR,turnover,bad pass,[],203486,,,1610612766,0,4,2022-04-10T19:42:42Z,200000,,,0,,M. Plumlee bad pass TURNOVER (1 TO),"[203486, 1629060]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,1.0,Hachimura,1629060.0,,,,,,,,,,,
21,PT10M25.00S,2022-04-10T19:42:36.4Z,1,REGULAR,steal,,[],1629060,,,1610612764,0,4,2022-04-10T19:42:38Z,210000,,,0,,R. Hachimura STEAL (1 STL),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M22.00S,2022-04-10T19:42:42.2Z,1,REGULAR,foul,personal,['2freethrow'],1629023,,,1610612764,0,4,2022-04-10T19:43:04Z,220000,,,0,,P. Washington shooting personal FOUL (1 PF) (Gafford 2 FT),"[1629023, 1629655]",1610612766.0,CHA,shooting,,,Washington,P. Washington,,,,,,,,,,,,,,,,,2715.0,1.0,0.0,Gafford,1629655.0,,,,
24,PT10M22.00S,2022-04-10T19:43:08.2Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629655,,,1610612764,0,4,2022-04-10T19:43:31Z,240000,,,0,,MISS D. Gafford Free Throw 1 of 2,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M22.00S,2022-04-10T19:43:08.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612764,0,4,2022-04-10T19:43:31Z,250000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,
26,PT10M22.00S,2022-04-10T19:43:08.2Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1629655,,,1610612764,0,4,2022-04-10T19:43:31Z,260000,,,0,,MISS D. Gafford Free Throw 2 of 2,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,Missed,,,,,,,,,,,,,,,,,,,
27,PT10M19.00S,2022-04-10T19:43:11.2Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,0,4,2022-04-10T19:43:31Z,270000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
28,PT10M09.00S,2022-04-10T19:43:43.5Z,1,REGULAR,foul,personal,[],1629060,,,1610612766,0,4,2022-04-10T19:44:03Z,280000,,,0,,R. Hachimura personal FOUL (1 PF),"[1629060, 203486]",1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,2715.0,1.0,0.0,Plumlee,203486.0,,,,
30,PT10M05.00S,2022-04-10T19:44:09.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629023,93.38042049934296,50.245098039215684,1610612766,2,4,2022-04-10T19:44:14Z,300000,1.0,10.0,1,right,P. Washington cutting DUNK (2 PTS) (L. Ball 1 AST),"[1629023, 1630163]",1610612766.0,CHA,cutting,,,Washington,P. Washington,,,,,0.98,Made,,,,,2.0,,,,,,,,,,,L. Ball,1630163.0,1.0,
32,PT10M05.00S,2022-04-10T19:44:14.7Z,1,REGULAR,foul,personal,['1freethrow'],1629655,,,1610612766,2,4,2022-04-10T19:44:30Z,320000,,,0,,D. Gafford shooting personal FOUL (1 PF) (Washington 1 FT),"[1629655, 1629023]",1610612764.0,WAS,shooting,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,1626302.0,1.0,0.0,Washington,1629023.0,,,,
34,PT10M05.00S,2022-04-10T19:44:32.9Z,1,REGULAR,freethrow,1 of 1,[],1629023,,,1610612766,3,4,2022-04-10T19:44:32Z,340000,,,0,,P. Washington Free Throw 1 of 1 (3 PTS),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
35,PT09M51.00S,2022-04-10T19:44:48.0Z,1,REGULAR,3pt,Jump Shot,[],1630557,5.469776609724048,97.05882352941177,1610612764,3,4,2022-04-10T19:44:51Z,350000,-235.0,-1.0,1,left,MISS C. Kispert 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,23.53,Missed,,,,,,,,,,,,,,,,,,,
36,PT09M48.00S,2022-04-10T19:44:51.0Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,3,4,2022-04-10T19:44:51Z,360000,,,0,,T. Rozier REBOUND (Off:0 Def:2),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
37,PT09M42.00S,2022-04-10T19:44:56.7Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,3,4,2022-04-10T19:45:04Z,370000,,,0,,L. Ball bad pass TURNOVER (2 TO),"[1630163, 203107]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,2.0,Satoransky,203107.0,,,,,,,,,,,
38,PT09M42.00S,2022-04-10T19:44:56.7Z,1,REGULAR,steal,,[],203107,,,1610612764,3,4,2022-04-10T19:44:59Z,380000,,,0,,T. Satoransky STEAL (1 STL),[203107],1610612764.0,WAS,,,,Satoransky,T. Satoransky,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT09M36.00S,2022-04-10T19:45:02.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630166,6.521024967148489,49.754901960784316,1610612764,3,6,2022-04-10T19:45:11Z,390000,1.0,9.0,1,left,D. Avdija running Layup (6 PTS) (T. Satoransky 1 AST),"[1630166, 203107]",1610612764.0,WAS,running,,,Avdija,D. Avdija,,,,,0.89,Made,,,,,6.0,,,,,,,,,,,T. Satoransky,203107.0,1.0,
41,PT09M30.00S,2022-04-10T19:45:09.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203486,93.9060446780552,49.754901960784316,1610612766,5,6,2022-04-10T19:45:15Z,410000,-1.0,5.0,1,right,M. Plumlee Layup (2 PTS) (T. Rozier 1 AST),"[203486, 1626179]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,0.49,Made,,,,,2.0,,,,,,,,,,,T. Rozier,1626179.0,1.0,
43,PT09M20.00S,2022-04-10T19:45:19.5Z,1,REGULAR,3pt,Jump Shot,[],1630166,28.203022339027594,23.52941176470588,1610612764,5,6,2022-04-10T19:45:23Z,430000,132.0,213.0,1,left,MISS D. Avdija 25' 3PT,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,25.05,Missed,,,,,,,,,,,,,,,,,,,
44,PT09M17.00S,2022-04-10T19:45:22.5Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,5,6,2022-04-10T19:45:23Z,440000,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
45,PT09M11.00S,2022-04-10T19:45:27.2Z,1,REGULAR,3pt,Jump Shot,[],1626179,71.56701708278581,78.43137254901961,1610612766,5,6,2022-04-10T19:45:30Z,450000,142.0,215.0,1,right,MISS T. Rozier 25' 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,25.76,Missed,,,,,,,,,,,,,,,,,,,
46,PT09M08.00S,2022-04-10T19:45:30.2Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,5,6,2022-04-10T19:45:30Z,460000,,,0,,D. Gafford REBOUND (Off:0 Def:2),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
47,PT08M55.00S,2022-04-10T19:45:43.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,6.258212877792378,48.77450980392157,1610612764,5,8,2022-04-10T19:46:41Z,470000,6.0,6.0,1,left,D. Gafford Layup (2 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,0.88,Made,,,,,2.0,,,,,,,,,,,,,,
48,PT08M40.00S,2022-04-10T19:45:59.0Z,1,REGULAR,2pt,Jump Shot,[],1630163,87.07293035479631,70.34313725490196,1610612766,5,8,2022-04-10T19:46:03Z,480000,102.0,69.0,1,right,MISS L. Ball 12' driving floating Shot,[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,12.29,Missed,,,,,,,,,,,,,,,,,,,
49,PT08M38.00S,2022-04-10T19:46:01.0Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,5,8,2022-04-10T19:46:03Z,490000,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
50,PT08M33.00S,2022-04-10T19:46:06.3Z,1,REGULAR,3pt,Jump Shot,[],1630557,2.9730617608409986,95.34313725490196,1610612764,5,11,2022-04-10T19:46:11Z,500000,-227.0,-25.0,1,left,C. Kispert 3PT fadeaway (3 PTS) (T. Satoransky 2 AST),"[1630557, 203107]",1610612764.0,WAS,fadeaway,,,Kispert,C. Kispert,,,,,22.8,Made,,,,,3.0,,,,,,,,,,,T. Satoransky,203107.0,2.0,
52,PT08M33.00S,2022-04-10T19:46:14.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,5,11,2022-04-10T19:46:14Z,520000,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M09.00S,2022-04-10T19:49:27.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,92.06636005256242,50.49019607843137,1610612766,7,11,2022-04-10T19:49:31Z,530000,2.0,22.0,1,right,L. Ball driving finger roll Layup (2 PTS),[1630163],1610612766.0,CHA,driving finger roll,,,Ball,L. Ball,,,,,2.22,Made,,,,,2.0,,,,,,,,,,,,,,
54,PT07M53.00S,2022-04-10T19:49:43.3Z,1,REGULAR,3pt,Jump Shot,[],1630557,30.17411300919842,73.2843137254902,1610612764,7,11,2022-04-10T19:49:51Z,540000,-116.0,231.0,1,left,MISS C. Kispert 25' 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,25.88,Missed,,,,,,,,,,,,,,,,,,,
55,PT07M51.00S,2022-04-10T19:49:45.3Z,1,REGULAR,rebound,offensive,[],203107,,,1610612764,7,11,2022-04-10T19:49:51Z,550000,,,0,,T. Satoransky REBOUND (Off:1 Def:0),[203107],1610612764.0,WAS,,,,Satoransky,T. Satoransky,,,,,,,54.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
56,PT07M49.00S,2022-04-10T19:49:48.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203107,18.347568988173457,46.568627450980394,1610612764,7,11,2022-04-10T19:49:54Z,560000,17.0,120.0,1,left,MISS T. Satoransky 12' fadeaway Shot,[203107],1610612764.0,WAS,fadeaway,,,Satoransky,T. Satoransky,,,,,12.12,Missed,,,,,,,,,,,,,,,,,,,
57,PT07M46.00S,2022-04-10T19:49:50.2Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,7,11,2022-04-10T19:49:50Z,570000,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,56.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
58,PT07M29.00S,2022-04-10T19:50:08.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,93.11760840998686,46.07843137254902,1610612766,7,11,2022-04-10T19:50:31Z,580000,-20.0,12.0,1,right,MISS M. Bridges driving reverse Layup,[1628970],1610612766.0,CHA,driving reverse,,,Bridges,M. Bridges,,,,,2.31,Missed,,,,,,,,,,,,,,,,,,,
59,PT07M27.00S,2022-04-10T19:50:10.3Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,7,11,2022-04-10T19:50:12Z,590000,,,0,,D. Gafford REBOUND (Off:0 Def:3),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,58.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
60,PT07M21.00S,2022-04-10T19:50:16.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629060,19.530223390275953,55.392156862745104,1610612764,7,13,2022-04-10T20:11:33Z,600000,-27.0,131.0,1,left,R. Hachimura 13' pullup Jump Shot (2 PTS),[1629060],1610612764.0,WAS,pullup,,,Hachimura,R. Hachimura,,,,,13.39,Made,,,,,2.0,,,,,,,,,,,,,,
61,PT07M08.00S,2022-04-10T19:50:29.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,92.46057818659659,47.794117647058826,1610612766,7,13,2022-04-10T19:50:35Z,610000,-11.0,18.0,1,right,MISS L. Ball driving reverse Layup,[1630163],1610612766.0,CHA,driving reverse,,,Ball,L. Ball,,,,,2.14,Missed,,,,,,,,,,,,,,,,,,,
62,PT07M02.00S,2022-04-10T19:50:35.1Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,7,13,2022-04-10T19:50:35Z,620000,,,0,,L. Ball REBOUND (Off:1 Def:0),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,61.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
63,PT07M02.00S,2022-04-10T19:50:34.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630163,94.40999984741211,50.0,1610612766,7,13,2022-04-10T19:50:34Z,630000,0.0,0.0,1,right,MISS L. Ball putback Layup,[1630163],1610612766.0,CHA,putback,,,Ball,L. Ball,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
64,PT07M01.00S,2022-04-10T19:50:35.3Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,7,13,2022-04-10T19:50:35Z,640000,,,0,,D. Avdija REBOUND (Off:0 Def:2),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,63.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
65,PT06M59.00S,2022-04-10T19:50:37.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630166,27.414586070959263,79.16666666666666,1610612764,7,13,2022-04-10T19:57:01Z,650000,-146.0,205.0,1,left,MISS D. Avdija 25' running 3PT,[1630166],1610612764.0,WAS,running,,,Avdija,D. Avdija,,,,,25.17,Missed,,,,,,,,,,,,,,,,,,,
66,PT06M56.00S,2022-04-10T19:50:40.5Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,7,13,2022-04-10T19:50:44Z,660000,,,0,,M. Bridges REBOUND (Off:0 Def:3),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,65.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
67,PT06M52.00S,2022-04-10T19:50:45.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629023,93.38042049934296,50.98039215686274,1610612766,9,13,2022-04-10T19:50:50Z,670000,5.0,10.0,1,right,P. Washington running DUNK (5 PTS) (M. Bridges 1 AST),"[1629023, 1628970]",1610612766.0,CHA,running,,,Washington,P. Washington,,,,,1.09,Made,,,,,5.0,,,,,,,,,,,M. Bridges,1628970.0,1.0,
69,PT06M35.00S,2022-04-10T19:51:02.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,5.338370565045992,53.18627450980392,1610612764,9,15,2022-04-10T19:51:07Z,690000,-16.0,-2.0,1,left,D. Avdija driving Layup (8 PTS),[1630166],1610612764.0,WAS,driving,,,Avdija,D. Avdija,,,,,1.61,Made,,,,,8.0,,,,,,,,,,,,,,
70,PT06M22.00S,2022-04-10T19:51:15.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203486,93.11760840998686,50.49019607843137,1610612766,11,15,2022-04-10T19:51:18Z,700000,2.0,12.0,1,right,M. Plumlee alley-oop DUNK (4 PTS) (L. Ball 2 AST),"[203486, 1630163]",1610612766.0,CHA,alley-oop,,,Plumlee,M. Plumlee,,,,,1.25,Made,,,,,4.0,,,,,,,,,,,L. Ball,1630163.0,2.0,
72,PT06M04.00S,2022-04-10T19:51:32.7Z,1,REGULAR,2pt,Jump Shot,[],1629060,6.915243101182654,18.38235294117647,1610612764,11,17,2022-04-10T19:51:40Z,720000,158.0,13.0,1,left,R. Hachimura 15' pullup Jump Shot (4 PTS),[1629060],1610612764.0,WAS,pullup,,,Hachimura,R. Hachimura,,,,,15.86,Made,,,,,4.0,,,,,,,,,,,,,,
73,PT05M48.00S,2022-04-10T19:51:48.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,92.9862023653088,48.28431372549019,1610612766,13,17,2022-04-10T19:51:54Z,730000,-9.0,13.0,1,right,P. Washington reverse Layup (7 PTS) (M. Plumlee 1 AST),"[1629023, 203486]",1610612766.0,CHA,reverse,,,Washington,P. Washington,,,,,1.59,Made,,,,,7.0,,,,,,,,,,,M. Plumlee,203486.0,1.0,
75,PT05M29.00S,2022-04-10T19:52:07.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203107,5.732588699080158,54.41176470588235,1610612764,13,19,2022-04-10T19:52:11Z,750000,-22.0,1.0,1,left,T. Satoransky driving Layup (2 PTS) (R. Hachimura 1 AST),"[203107, 1629060]",1610612764.0,WAS,driving,,,Satoransky,T. Satoransky,,,,,2.21,Made,,,,,2.0,,,,,,,,,,,R. Hachimura,1629060.0,1.0,
77,PT05M15.00S,2022-04-10T19:52:22.1Z,1,REGULAR,2pt,Jump Shot,[],1626179,77.34888304862024,31.127450980392158,1610612766,13,19,2022-04-10T19:52:36Z,770000,-94.0,160.0,1,right,MISS T. Rozier 18' pullup Shot,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,18.61,Missed,,,,,,,,,,,,,,,,,,,
78,PT05M14.00S,2022-04-10T19:52:23.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,13,19,2022-04-10T19:52:36Z,780000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,
79,PT05M14.00S,2022-04-10T19:52:34.8Z,1,REGULAR,foul,personal,[],1629655,,,1610612766,13,19,2022-04-10T19:52:42Z,790000,,,0,,D. Gafford loose ball personal FOUL (2 PF),"[1629655, 203486]",1610612764.0,WAS,loose ball,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,202007.0,2.0,0.0,Plumlee,203486.0,,,,
81,PT05M14.00S,2022-04-10T19:52:41.4Z,1,REGULAR,substitution,out,[],1630163,,,1610612766,13,19,2022-04-10T19:52:53Z,810000,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M14.00S,2022-04-10T19:52:41.4Z,1,REGULAR,substitution,out,[],203486,,,1610612766,13,19,2022-04-10T19:52:53Z,820000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M14.00S,2022-04-10T19:52:41.4Z,1,REGULAR,substitution,out,[],1629023,,,1610612766,13,19,2022-04-10T19:52:53Z,830000,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M14.00S,2022-04-10T19:52:41.4Z,1,REGULAR,substitution,in,[],1626149,,,1610612766,13,19,2022-04-10T19:52:53Z,850000,,,0,,SUB in: M. Harrell,[1626149],1610612766.0,CHA,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M14.00S,2022-04-10T19:52:41.4Z,1,REGULAR,substitution,in,[],1628998,,,1610612766,13,19,2022-04-10T19:52:53Z,860000,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M14.00S,2022-04-10T19:52:41.4Z,1,REGULAR,substitution,in,[],1626162,,,1610612766,13,19,2022-04-10T19:52:53Z,870000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
102,PT05M14.00S,2022-04-10T19:52:41.4Z,1,REGULAR,substitution,out,[],1630166,,,1610612766,13,19,2022-04-10T19:57:04Z,880000,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
