actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
18,PT11M19.00S,2022-03-01T00:42:33.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203920,12.434296977660972,37.00980392156863,1610612761,0,1,2022-03-01T00:42:36Z,180000,65.0,64.0,1,left,MISS K. Birch 9' floating Shot,[203920],1610612761.0,TOR,floating,,,Birch,K. Birch,,,,,,,,,,,,,Missed,,,,,,9.15,,,,,,
19,PT11M16.00S,2022-03-01T00:42:36.2Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,0,1,2022-03-01T00:42:36Z,190000,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,18.0,1.0,0.0,1.0,,,,,,,
20,PT11M12.00S,2022-03-01T00:42:40.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627783,17.95335085413929,68.13725490196079,1610612761,0,1,2022-03-01T00:42:48Z,200000,-91.0,116.0,1,left,MISS P. Siakam 14' pullup Shot,[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,,,,,,,,,Missed,,,,,,14.75,,,,,,
21,PT11M09.00S,2022-03-01T00:42:43.8Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,0,1,2022-03-01T00:42:45Z,210000,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,
22,PT11M00.00S,2022-03-01T00:42:56.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,0,1,2022-03-01T00:42:56Z,220000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M54.00S,2022-03-01T00:43:22.0Z,1,REGULAR,foul,personal,[],203920,,,1610612751,0,1,2022-03-01T00:43:29Z,230000,,,0,,K. Birch personal FOUL (1 PF),"[203920, 203083]",1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,202901.0,1.0,0.0,Drummond,203083.0,,,,,,,,,,,,,
25,PT10M42.00S,2022-03-01T00:43:51.6Z,1,REGULAR,3pt,Jump Shot,[],1628971,88.78120893561103,95.83333333333334,1610612751,3,1,2022-03-01T00:43:56Z,250000,229.0,53.0,1,right,B. Brown 3PT  (3 PTS) (S. Curry 1 AST),"[1628971, 203552]",1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,Made,3.0,,,,,23.52,S. Curry,203552.0,1.0,,,
27,PT10M25.00S,2022-03-01T00:44:07.7Z,1,REGULAR,3pt,Jump Shot,[],1630567,25.443495400788436,84.06862745098039,1610612761,3,4,2022-03-01T00:44:12Z,270000,-170.0,187.0,1,left,S. Barnes 25' 3PT  (4 PTS) (G. Trent Jr. 1 AST),"[1630567, 1629018]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,Made,4.0,,,,,25.27,G. Trent Jr.,1629018.0,1.0,,,
29,PT10M09.00S,2022-03-01T00:44:24.3Z,1,REGULAR,2pt,Jump Shot,[],201988,94.95729303547962,78.18627450980392,1610612751,3,4,2022-03-01T00:44:30Z,290000,141.0,-5.0,1,right,MISS P. Mills 14' fadeaway Shot,[201988],1610612751.0,BKN,fadeaway,,,Mills,P. Mills,,,,,,,,,,,,,Missed,,,,,,14.1,,,,,,
30,PT10M08.00S,2022-03-01T00:44:25.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,3,4,2022-03-01T00:44:30Z,300000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,
31,PT10M08.00S,2022-03-01T00:44:29.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,3,4,2022-03-01T00:44:29Z,310000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M59.00S,2022-03-01T00:44:50.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628971,94.43166885676742,53.18627450980392,1610612751,5,4,2022-03-01T00:44:54Z,320000,16.0,0.0,1,right,B. Brown cutting Layup (5 PTS) (S. Curry 2 AST),"[1628971, 203552]",1610612751.0,BKN,cutting,,,Brown,B. Brown,,,,,,,,,,,,,Made,5.0,,,,,1.59,S. Curry,203552.0,2.0,,,
34,PT09M49.00S,2022-03-01T00:45:00.6Z,1,REGULAR,foul,personal,['2freethrow'],201988,,,1610612761,5,4,2022-03-01T00:45:08Z,340000,,,0,,P. Mills shooting personal FOUL (1 PF) (Trent Jr. 2 FT),"[201988, 1629018]",1610612751.0,BKN,shooting,,,Mills,P. Mills,,,,,,,,203591.0,1.0,0.0,Trent Jr.,1629018.0,,,,,,,,,,,,,
36,PT09M49.00S,2022-03-01T00:45:25.9Z,1,REGULAR,freethrow,1 of 2,[],1629018,,,1610612761,5,5,2022-03-01T00:45:48Z,360000,,,0,,G. Trent Jr. Free Throw 1 of 2 (1 PTS),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,
37,PT09M49.00S,2022-03-01T00:45:25.9Z,1,REGULAR,freethrow,2 of 2,[],1629018,,,1610612761,5,5,2022-03-01T00:45:48Z,370000,,,0,,MISS G. Trent Jr. Free Throw 2 of 2,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,Missed,,,,,,,,,,,,
38,PT09M45.00S,2022-03-01T00:45:29.9Z,1,REGULAR,rebound,offensive,[],203920,,,1610612761,5,5,2022-03-01T00:45:48Z,380000,,,0,,K. Birch REBOUND (Off:1 Def:0),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,37.0,1.0,0.0,1.0,,,,,,,
39,PT09M43.00S,2022-03-01T00:45:49.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629018,28.597240473061763,80.3921568627451,1610612761,5,5,2022-03-01T00:45:53Z,390000,-152.0,216.0,1,left,MISS G. Trent Jr. 26' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,Missed,,,,,,26.44,,,,,,
40,PT09M42.00S,2022-03-01T00:45:52.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,5,5,2022-03-01T00:45:52Z,400000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,
41,PT09M42.00S,2022-03-01T00:45:54.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,5,5,2022-03-01T00:45:54Z,410000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT09M34.00S,2022-03-01T00:46:09.6Z,1,REGULAR,turnover,bad pass,[],201988,,,1610612751,5,5,2022-03-01T00:46:15Z,420000,,,0,,P. Mills bad pass TURNOVER (1 TO),"[201988, 1629018]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,1.0,Trent Jr.,1629018.0,,,,,,,,,,,,,,,,,,
43,PT09M34.00S,2022-03-01T00:46:09.6Z,1,REGULAR,steal,,[],1629018,,,1610612761,5,5,2022-03-01T00:46:11Z,430000,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT09M31.00S,2022-03-01T00:46:12.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630567,6.521024967148489,49.50980392156863,1610612761,5,7,2022-03-01T00:47:40Z,440000,2.0,9.0,1,left,S. Barnes cutting DUNK (6 PTS) (G. Trent Jr. 2 AST),"[1630567, 1629018]",1610612761.0,TOR,cutting,,,Barnes,S. Barnes,,,,,,,,,,,,,Made,6.0,,,,,0.91,G. Trent Jr.,1629018.0,2.0,,,
46,PT09M30.00S,2022-03-01T00:46:19.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,5,7,2022-03-01T00:46:19Z,460000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT09M19.00S,2022-03-01T00:49:23.9Z,1,REGULAR,3pt,Jump Shot,[],201988,77.7431011826544,92.40196078431373,1610612751,5,7,2022-03-01T00:49:27Z,470000,212.0,157.0,1,right,MISS P. Mills 26' pullup 3PT,[201988],1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,,,,,,,,,Missed,,,,,,26.36,,,,,,
48,PT09M17.00S,2022-03-01T00:49:26.2Z,1,REGULAR,rebound,offensive,[],203083,,,1610612751,5,7,2022-03-01T00:49:26Z,480000,,,0,,A. Drummond REBOUND (Off:1 Def:2),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,47.0,3.0,2.0,1.0,,,,,,,
49,PT09M15.00S,2022-03-01T00:49:28.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203083,93.11760840998686,46.32352941176471,1610612751,5,7,2022-03-01T00:49:32Z,490000,-18.0,12.0,1,right,MISS A. Drummond Layup - blocked,"[203083, 1627783]",1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,Missed,,,,,,2.21,,,,Siakam,1627783.0,
50,PT09M15.00S,2022-03-01T00:49:28.6Z,1,REGULAR,block,,[],1627783,,,1610612751,5,7,2022-03-01T00:49:30Z,500000,,,0,,P. Siakam BLOCK (1 BLK),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT09M13.00S,2022-03-01T00:49:30.6Z,1,REGULAR,rebound,offensive,[],203083,,,1610612751,5,7,2022-03-01T00:49:32Z,510000,,,0,,A. Drummond REBOUND (Off:2 Def:2),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,49.0,4.0,2.0,2.0,,,,,,,
52,PT09M07.00S,2022-03-01T00:49:37.1Z,1,REGULAR,foul,personal,['2freethrow'],203920,,,1610612751,5,7,2022-03-01T00:49:45Z,520000,,,0,,K. Birch shooting personal FOUL (2 PF) (Brown 2 FT),"[203920, 1628971]",1610612761.0,TOR,shooting,,,Birch,K. Birch,,,,,,,,203591.0,2.0,0.0,Brown,1628971.0,,,,,,,,,,,,,
54,PT09M07.00S,2022-03-01T00:50:04.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628971,,,1610612751,6,7,2022-03-01T00:50:04Z,540000,,,0,,B. Brown Free Throw 1 of 2 (6 PTS),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,Made,6.0,,,,,,,,,,,
55,PT09M07.00S,2022-03-01T00:50:06.2Z,1,REGULAR,substitution,out,[],201949,,,1610612751,6,7,2022-03-01T00:50:09Z,550000,,,0,,SUB out: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT09M07.00S,2022-03-01T00:50:06.2Z,1,REGULAR,substitution,in,[],201933,,,1610612751,6,7,2022-03-01T00:50:09Z,560000,,,0,,SUB in: B. Griffin,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT09M07.00S,2022-03-01T00:50:23.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628971,,,1610612751,7,7,2022-03-01T00:50:23Z,570000,,,0,,B. Brown Free Throw 2 of 2 (7 PTS),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,Made,7.0,,,,,,,,,,,
58,PT08M49.00S,2022-03-01T00:50:43.4Z,1,REGULAR,2pt,Jump Shot,[],1627783,22.28975032851511,74.26470588235294,1610612761,7,7,2022-03-01T00:50:48Z,580000,-121.0,157.0,1,left,MISS P. Siakam 19' pullup Shot,[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,,,,,,,,,Missed,,,,,,19.84,,,,,,
59,PT08M46.00S,2022-03-01T00:50:46.6Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,7,7,2022-03-01T00:50:46Z,590000,,,0,,S. Barnes REBOUND (Off:2 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,58.0,2.0,0.0,2.0,,,,,,,
60,PT08M44.00S,2022-03-01T00:50:48.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630567,5.519053876478318,71.59160539215686,1610612761,7,9,2022-03-01T00:51:17Z,600000,-108.0,-1.0,1,left,S. Barnes 10' floating Jump Shot (8 PTS),[1630567],1610612761.0,TOR,floating,,,Barnes,S. Barnes,,,,,,,,,,,,,Made,8.0,,,,,10.8,,,,,,
61,PT08M20.00S,2022-03-01T00:51:13.1Z,1,REGULAR,3pt,Jump Shot,[],203552,95.3515111695138,3.431372549019608,1610612751,7,9,2022-03-01T00:51:21Z,610000,-233.0,-9.0,1,right,MISS S. Curry 3PT,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,Missed,,,,,,23.3,,,,,,
62,PT08M20.00S,2022-03-01T00:51:13.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,7,9,2022-03-01T00:51:21Z,620000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,
63,PT08M20.00S,2022-03-01T00:51:19.0Z,1,REGULAR,foul,personal,[],203920,,,1610612751,7,9,2022-03-01T00:51:25Z,630000,,,0,,K. Birch loose ball personal FOUL (3 PF),"[203920, 203083]",1610612761.0,TOR,loose ball,,,Birch,K. Birch,,,,,,,,203591.0,3.0,0.0,Drummond,203083.0,,,,,,,,,,,,,
65,PT08M20.00S,2022-03-01T00:51:27.1Z,1,REGULAR,substitution,out,[],1628971,,,1610612751,7,9,2022-03-01T00:51:43Z,650000,,,0,,SUB out: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT08M20.00S,2022-03-01T00:51:27.1Z,1,REGULAR,substitution,out,[],203920,,,1610612751,7,9,2022-03-01T00:51:43Z,660000,,,0,,SUB out: K. Birch,[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT08M20.00S,2022-03-01T00:51:27.1Z,1,REGULAR,substitution,in,[],1630560,,,1610612751,7,9,2022-03-01T00:51:43Z,670000,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT08M20.00S,2022-03-01T00:51:27.1Z,1,REGULAR,substitution,in,[],1630173,,,1610612751,7,9,2022-03-01T00:51:43Z,680000,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT08M15.00S,2022-03-01T00:51:59.4Z,1,REGULAR,timeout,full,['team'],0,,,1610612751,7,9,2022-03-01T00:51:59Z,690000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT08M07.00S,2022-03-01T00:55:15.9Z,1,REGULAR,turnover,bad pass,[],203552,,,1610612751,7,9,2022-03-01T00:55:19Z,700000,,,0,,S. Curry bad pass TURNOVER (1 TO),"[203552, 1627783]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,1.0,Siakam,1627783.0,,,,,,,,,,,,,,,,,,
71,PT08M07.00S,2022-03-01T00:55:15.9Z,1,REGULAR,steal,,[],1627783,,,1610612761,7,9,2022-03-01T00:55:17Z,710000,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT08M03.00S,2022-03-01T00:55:22.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627783,5.601182654402102,45.83333333333333,1610612761,7,11,2022-03-01T00:55:30Z,720000,21.0,0.0,1,left,P. Siakam running Layup (2 PTS),[1627783],1610612761.0,TOR,running,,,Siakam,P. Siakam,,,,,,,,,,,,,Made,2.0,,,,,2.08,,,,,,
73,PT08M03.00S,2022-03-01T00:55:25.4Z,1,REGULAR,foul,personal,['1freethrow'],201933,,,1610612761,7,11,2022-03-01T00:55:33Z,730000,,,0,,B. Griffin shooting personal FOUL (1 PF) (Siakam 1 FT),"[201933, 1627783]",1610612751.0,BKN,shooting,,,Griffin,B. Griffin,,,,,,,,203591.0,1.0,0.0,Siakam,1627783.0,,,,,,,,,,,,,
75,PT08M03.00S,2022-03-01T00:55:49.9Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1627783,,,1610612761,7,12,2022-03-01T00:55:49Z,750000,,,0,,P. Siakam Free Throw 1 of 1 (3 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,Made,3.0,,,,,,,,,,,
76,PT07M52.00S,2022-03-01T00:56:04.6Z,1,REGULAR,3pt,Jump Shot,[],201988,73.01248357424441,13.23529411764706,1610612751,10,12,2022-03-01T00:56:07Z,760000,-184.0,201.0,1,right,P. Mills 27' 3PT  (3 PTS) (C. Thomas 1 AST),"[201988, 1630560]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,Made,3.0,,,,,27.25,C. Thomas,1630560.0,1.0,,,
78,PT07M38.00S,2022-03-01T00:56:18.4Z,1,REGULAR,2pt,Jump Shot,[],1630201,18.610381077529567,26.225490196078432,1610612761,10,14,2022-03-01T00:56:21Z,780000,119.0,122.0,1,left,M. Flynn 17' pullup Jump Shot (2 PTS) (P. Achiuwa 1 AST),"[1630201, 1630173]",1610612761.0,TOR,pullup,,,Flynn,M. Flynn,,,,,,,,,,,,,Made,2.0,,,,,17.06,P. Achiuwa,1630173.0,1.0,,,
80,PT07M24.00S,2022-03-01T00:56:32.2Z,1,REGULAR,3pt,Jump Shot,[],201988,68.54467805519053,69.36274509803921,1610612751,10,14,2022-03-01T00:56:35Z,800000,97.0,243.0,1,right,MISS P. Mills 26' pullup 3PT,[201988],1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,,,,,,,,,Missed,,,,,,26.18,,,,,,
81,PT07M22.00S,2022-03-01T00:56:34.2Z,1,REGULAR,rebound,defensive,[],1630201,,,1610612761,10,14,2022-03-01T00:56:35Z,810000,,,0,,M. Flynn REBOUND (Off:0 Def:1),[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,,,,,,,,,,,80.0,1.0,1.0,0.0,,,,,,,
82,PT07M19.00S,2022-03-01T00:56:37.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627783,28.07161629434954,16.666666666666664,1610612761,10,14,2022-03-01T00:56:43Z,820000,167.0,211.0,1,left,MISS P. Siakam 26' running 3PT,[1627783],1610612761.0,TOR,running,,,Siakam,P. Siakam,,,,,,,,,,,,,Missed,,,,,,26.92,,,,,,
83,PT07M15.00S,2022-03-01T00:56:41.5Z,1,REGULAR,rebound,defensive,[],201988,,,1610612751,10,14,2022-03-01T00:56:43Z,830000,,,0,,P. Mills REBOUND (Off:0 Def:1),[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,82.0,1.0,1.0,0.0,,,,,,,
84,PT07M11.00S,2022-03-01T00:56:45.4Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],203552,77.21747700394218,34.31372549019608,1610612751,10,14,2022-03-01T00:56:49Z,840000,-78.0,162.0,1,right,MISS S. Curry 17' pullup Shot,[203552],1610612751.0,BKN,pullup,,,Curry,S. Curry,,,,,,,,,,,,,Missed,,,,,,17.97,,,,,,
85,PT07M07.00S,2022-03-01T00:56:49.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,10,14,2022-03-01T00:56:49Z,850000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,84.0,1.0,1.0,0.0,,,,,,,
86,PT07M03.00S,2022-03-01T00:56:55.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630567,6.389618922470433,53.431372549019606,1610612761,10,16,2022-03-01T00:57:00Z,860000,-17.0,8.0,1,left,S. Barnes Layup (10 PTS) (P. Siakam 1 AST),"[1630567, 1627783]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,Made,10.0,,,,,1.88,P. Siakam,1627783.0,1.0,,,
88,PT07M03.00S,2022-03-01T00:56:57.7Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630560,,,1610612761,10,16,2022-03-01T00:57:14Z,880000,,,0,,C. Thomas shooting personal FOUL (1 PF) (Barnes 1 FT),"[1630560, 1630567]",1610612751.0,BKN,shooting,,,Thomas,C. Thomas,,,,,,,,200832.0,1.0,0.0,Barnes,1630567.0,,,,,,,,,,,,,
90,PT07M03.00S,2022-03-01T00:57:07.8Z,1,REGULAR,substitution,out,[],203552,,,1610612761,10,16,2022-03-01T00:57:13Z,900000,,,0,,SUB out: S. Curry,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT07M03.00S,2022-03-01T00:57:07.8Z,1,REGULAR,substitution,out,[],1630201,,,1610612761,10,16,2022-03-01T00:57:13Z,910000,,,0,,SUB out: M. Flynn,[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT07M03.00S,2022-03-01T00:57:07.8Z,1,REGULAR,substitution,in,[],1630556,,,1610612761,10,16,2022-03-01T00:57:13Z,920000,,,0,,SUB in: K. Edwards,[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT07M03.00S,2022-03-01T00:57:07.8Z,1,REGULAR,substitution,in,[],1628449,,,1610612761,10,16,2022-03-01T00:57:13Z,930000,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,
