actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
29,PT09M08.00S,2021-10-25T23:43:37.8Z,1,REGULAR,rebound,offensive,[],201933,,,1610612751,8,8,2021-10-25T23:43:37Z,290000,,,0,,B. Griffin REBOUND (Off:1 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,28.0,2.0,1.0,1.0,,,,,,,,,,,
30,PT09M08.00S,2021-10-25T23:43:42.7Z,1,REGULAR,foul,personal,[],1629655,,,1610612751,8,8,2021-10-25T23:43:56Z,300000,,,0,,D. Gafford personal FOUL (1 PF),"[1629655, 201933]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Griffin,201933.0,,,
32,PT09M02.00S,2021-10-25T23:44:04.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203925,66.96780551905388,58.57843137254902,1610612751,11,8,2021-10-25T23:44:08Z,320000,43.0,258.0,1,right,J. Harris 26' 3PT  (3 PTS) (J. Harden 2 AST),"[203925, 201935]",1610612751.0,BKN,,,,Harris,J. Harris,,,,,26.15,Made,3.0,J. Harden,201935.0,2.0,,,,,,,,,,,,,,,
34,PT08M38.00S,2021-10-25T23:44:28.9Z,1,REGULAR,3pt,Jump Shot,[],203484,8.754927726675426,4.411764705882353,1610612764,11,8,2021-10-25T23:44:33Z,340000,228.0,30.0,1,left,MISS K. Caldwell-Pope 3PT,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,22.98,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M35.00S,2021-10-25T23:44:31.9Z,1,REGULAR,rebound,defensive,[],203925,,,1610612751,11,8,2021-10-25T23:44:33Z,350000,,,0,,J. Harris REBOUND (Off:0 Def:2),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,
36,PT08M30.00S,2021-10-25T23:44:37.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628971,94.30026281208936,52.20588235294118,1610612751,13,8,2021-10-25T23:44:54Z,360000,11.0,1.0,1,right,B. Brown cutting Layup (4 PTS) (J. Harden 3 AST),"[1628971, 201935]",1610612751.0,BKN,cutting,,,Brown,B. Brown,,,,,1.11,Made,4.0,J. Harden,201935.0,3.0,,,,,,,,,,,,,,,
38,PT08M10.00S,2021-10-25T23:45:03.1Z,1,REGULAR,foul,personal,[],201933,,,1610612764,13,8,2021-10-25T23:45:12Z,380000,,,0,,B. Griffin personal FOUL (1 PF),"[201933, 203078]",1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Beal,203078.0,,,
40,PT08M03.00S,2021-10-25T23:45:26.9Z,1,REGULAR,2pt,Jump Shot,[],203078,10.988830486202366,68.38235294117648,1610612764,13,10,2021-10-25T23:45:32Z,400000,-92.0,51.0,1,left,B. Beal 10' turnaround fadeaway Jump Shot (2 PTS),[203078],1610612764.0,WAS,turnaround fadeaway,,,Beal,B. Beal,,,,,10.5,Made,2.0,,,,,,,,,,,,,,,,,,
41,PT07M46.00S,2021-10-25T23:45:43.7Z,1,REGULAR,2pt,Jump Shot,[],201142,83.919185282523,29.166666666666668,1610612751,13,10,2021-10-25T23:45:51Z,410000,-104.0,99.0,1,right,MISS K. Durant 14' fadeaway Shot,[201142],1610612751.0,BKN,fadeaway,,,Durant,K. Durant,,,,,14.35,Missed,,,,,,,,,,,,,,,,,,,
42,PT07M42.00S,2021-10-25T23:45:47.7Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,13,10,2021-10-25T23:45:51Z,420000,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,,
43,PT07M36.00S,2021-10-25T23:45:54.1Z,1,REGULAR,3pt,Jump Shot,[],203484,18.74178712220762,7.352941176470589,1610612764,13,10,2021-10-25T23:46:09Z,430000,213.0,124.0,1,left,MISS K. Caldwell-Pope 24' 3PT,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,24.65,Missed,,,,,,,,,,,,,,,,,,,
44,PT07M31.00S,2021-10-25T23:45:58.9Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,13,10,2021-10-25T23:45:59Z,440000,,,0,,D. Gafford REBOUND (Off:1 Def:0),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,43.0,1.0,0.0,1.0,,,,,,,,,,,
45,PT07M31.00S,2021-10-25T23:45:58.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629655,5.590000152587891,50.0,1610612764,13,10,2021-10-25T23:47:43Z,450000,0.0,0.0,1,left,MISS D. Gafford tip Layup,[1629655],1610612764.0,WAS,tip,,,Gafford,D. Gafford,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
46,PT07M28.00S,2021-10-25T23:46:01.9Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,13,10,2021-10-25T23:53:55Z,460000,,,0,,D. Gafford REBOUND (Off:2 Def:0),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,45.0,2.0,0.0,2.0,,,,,,,,,,,
100,PT07M27.00S,2021-10-25T23:46:02.3Z,1,REGULAR,turnover,lost ball,[],1629655,,,1610612764,13,10,2021-10-25T23:54:30Z,465000,,,0,,D. Gafford lost ball TURNOVER (1 TO),"[1629655, 201935]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,1.0,Harden,201935.0,,,,,,,,
101,PT07M27.00S,2021-10-25T23:46:02.3Z,1,REGULAR,steal,,[],201935,,,1610612751,13,10,2021-10-25T23:54:30Z,467500,,,0,,J. Harden STEAL (1 STL),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,
106,PT07M26.00S,2021-10-25T23:46:04.0Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612751,13,10,2021-10-25T23:55:05Z,468750,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 203484]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,1.0,Caldwell-Pope,203484.0,,,,,,,,
107,PT07M26.00S,2021-10-25T23:46:04.0Z,1,REGULAR,steal,,[],203484,,,1610612764,13,10,2021-10-25T23:55:05Z,469375,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M24.00S,2021-10-25T23:46:05.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203484,7.440867279894875,49.26470588235294,1610612764,13,12,2021-10-25T23:55:15Z,470000,4.0,17.0,1,left,K. Caldwell-Pope Layup (7 PTS),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,1.78,Made,7.0,,,,,,,,,,,,,,,,,,
48,PT07M14.00S,2021-10-25T23:46:16.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,93.51182654402102,49.01960784313725,1610612751,15,12,2021-10-25T23:46:22Z,480000,-5.0,8.0,1,right,J. Harden driving Layup (4 PTS),[201935],1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,0.98,Made,4.0,,,,,,,,,,,,,,,,,,
49,PT06M51.00S,2021-10-25T23:46:37.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203915,6.258212877792378,46.81372549019608,1610612764,15,12,2021-10-25T23:46:42Z,490000,16.0,6.0,1,left,MISS S. Dinwiddie driving Layup,[203915],1610612764.0,WAS,driving,,,Dinwiddie,S. Dinwiddie,,,,,1.71,Missed,,,,,,,,,,,,,,,,,,,
50,PT06M50.00S,2021-10-25T23:46:38.9Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,15,12,2021-10-25T23:46:42Z,500000,,,0,,D. Gafford REBOUND (Off:3 Def:0),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,49.0,3.0,0.0,3.0,,,,,,,,,,,
51,PT06M49.00S,2021-10-25T23:46:40.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203078,5.338370565045992,95.58823529411765,1610612764,15,12,2021-10-25T23:46:44Z,510000,-228.0,-2.0,1,left,MISS B. Beal 3PT,[203078],1610612764.0,WAS,,,,Beal,B. Beal,,,,,22.79,Missed,,,,,,,,,,,,,,,,,,,
52,PT06M49.00S,2021-10-25T23:46:40.5Z,1,REGULAR,rebound,defensive,[],203925,,,1610612751,15,12,2021-10-25T23:46:44Z,520000,,,0,,J. Harris REBOUND (Off:0 Def:3),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,51.0,3.0,3.0,0.0,,,,,,,,,,,
53,PT06M44.00S,2021-10-25T23:46:45.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1628971,94.30026281208936,50.98039215686274,1610612751,17,12,2021-10-25T23:47:19Z,530000,5.0,1.0,1,right,B. Brown cutting DUNK (6 PTS) (J. Harden 4 AST),"[1628971, 201935]",1610612751.0,BKN,cutting,,,Brown,B. Brown,,,,,0.5,Made,6.0,J. Harden,201935.0,4.0,,,,,,,,,,,,,,,
55,PT06M44.00S,2021-10-25T23:46:54.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,17,12,2021-10-25T23:46:55Z,550000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M44.00S,2021-10-25T23:46:56.2Z,1,REGULAR,substitution,out,[],203925,,,1610612764,17,12,2021-10-25T23:49:35Z,560000,,,0,,SUB out: J. Harris,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M44.00S,2021-10-25T23:46:56.2Z,1,REGULAR,substitution,out,[],203915,,,1610612764,17,12,2021-10-25T23:49:35Z,570000,,,0,,SUB out: S. Dinwiddie,[203915],1610612764.0,WAS,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,
