actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
16,PT10M50.00S,2022-02-09T00:37:11.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,2,2022-02-09T00:37:13Z,160000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M47.00S,2022-02-09T00:37:18.0Z,1,REGULAR,foul,personal,[],1627761,,,1610612738,0,2,2022-02-09T00:37:33Z,170000,,,0,,D. Bembry personal FOUL (1 PF),"[1627761, 1627759]",1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,1155.0,1.0,0.0,Brown,1627759.0,,,,,,
19,PT10M39.00S,2022-02-09T00:37:38.3Z,1,REGULAR,3pt,Jump Shot,[],201143,95.6143232588699,96.07843137254902,1610612738,0,2,2022-02-09T00:37:43Z,190000,230.0,-11.0,1,right,MISS A. Horford 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,23.07,Missed,,,,,,,,,,,,,,,,,,
20,PT10M35.00S,2022-02-09T00:37:42.3Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,0,2,2022-02-09T00:37:43Z,200000,,,0,,B. Griffin REBOUND (Off:1 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,19.0,2.0,1.0,1.0,,,,,,,,,,,,,,
21,PT10M24.00S,2022-02-09T00:37:53.4Z,1,REGULAR,3pt,Jump Shot,[],201933,27.677398160315374,21.813725490196077,1610612751,0,2,2022-02-09T00:37:58Z,210000,141.0,208.0,1,left,MISS B. Griffin 25' step back 3PT,[201933],1610612751.0,BKN,step back,,,Griffin,B. Griffin,,,,,25.1,Missed,,,,,,,,,,,,,,,,,,
22,PT10M21.00S,2022-02-09T00:37:56.4Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,2,2022-02-09T00:37:58Z,220000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,
23,PT10M15.00S,2022-02-09T00:38:02.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,93.77463863337714,53.67647058823529,1610612738,0,4,2022-02-09T00:38:06Z,230000,18.0,6.0,1,right,A. Horford Layup (2 PTS) (J. Brown 1 AST),"[201143, 1627759]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,1.94,Made,,,,,,,2.0,,,,,,J. Brown,1627759.0,1.0,,,
25,PT10M06.00S,2022-02-09T00:38:12.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627761,7.046649145860711,44.36274509803921,1610612751,0,4,2022-02-09T00:38:29Z,250000,28.0,14.0,1,left,MISS D. Bembry driving Layup - blocked,"[1627761, 201143]",1610612751.0,BKN,driving,,,Bembry,D. Bembry,,,,,3.14,Missed,,,,,Horford,201143.0,,,,,,,,,,,,
26,PT10M06.00S,2022-02-09T00:38:12.4Z,1,REGULAR,block,,[],201143,,,1610612751,0,4,2022-02-09T00:38:14Z,260000,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M05.00S,2022-02-09T00:38:13.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,0,4,2022-02-09T00:38:29Z,270000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,
28,PT10M05.00S,2022-02-09T00:38:18.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,0,4,2022-02-09T00:38:18Z,280000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M57.00S,2022-02-09T00:38:40.1Z,1,REGULAR,turnover,out-of-bounds,[],201933,,,1610612751,0,4,2022-02-09T00:38:45Z,290000,,,0,,B. Griffin bad pass out-of-bounds TURNOVER (1 TO),[201933],1610612751.0,BKN,bad pass,,,Griffin,B. Griffin,,,,,,,,,,,,,,1155.0,,,,,,,,1.0,,
31,PT09M43.00S,2022-02-09T00:38:57.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629057,89.96386333771353,48.28431372549019,1610612738,0,6,2022-02-09T00:39:01Z,310000,-9.0,42.0,1,right,R. Williams III cutting Layup (2 PTS) (J. Brown 2 AST),"[1629057, 1627759]",1610612738.0,BOS,cutting,,,Williams III,R. Williams III,,,,,4.27,Made,,,,,,,2.0,,,,,,J. Brown,1627759.0,2.0,,,
33,PT09M36.00S,2022-02-09T00:39:05.4Z,1,REGULAR,3pt,Jump Shot,[],1627761,29.6484888304862,32.35294117647059,1610612751,0,6,2022-02-09T00:39:10Z,330000,88.0,226.0,1,left,MISS D. Bembry 24' 3PT,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,24.28,Missed,,,,,,,,,,,,,,,,,,
34,PT09M32.00S,2022-02-09T00:39:08.6Z,1,REGULAR,rebound,offensive,[],1630556,,,1610612751,0,6,2022-02-09T00:39:08Z,340000,,,0,,K. Edwards REBOUND (Off:1 Def:0),[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,33.0,1.0,0.0,1.0,,,,,,,,,,,,,,
35,PT09M24.00S,2022-02-09T00:39:16.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630556,2.9730617608409986,96.81372549019608,1610612751,0,6,2022-02-09T00:39:21Z,350000,-234.0,-25.0,1,left,MISS K. Edwards 3PT,[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,23.54,Missed,,,,,,,,,,,,,,,,,,
36,PT09M20.00S,2022-02-09T00:39:20.7Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,0,6,2022-02-09T00:39:53Z,360000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT09M13.00S,2022-02-09T00:39:31.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.64323258869908,53.18627450980392,1610612738,0,8,2022-02-09T00:39:40Z,370000,16.0,7.0,1,right,J. Brown driving Layup (4 PTS) (A. Horford 1 AST),"[1627759, 201143]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,1.75,Made,,,,,,,4.0,,,,,,A. Horford,201143.0,1.0,,,
39,PT09M13.00S,2022-02-09T00:39:33.6Z,1,REGULAR,foul,personal,['1freethrow'],1628971,,,1610612738,0,8,2022-02-09T00:39:58Z,390000,,,0,,B. Brown shooting personal FOUL (1 PF) (Brown 1 FT),"[1628971, 1627759]",1610612751.0,BKN,shooting,,,Brown,B. Brown,,,,,,,,,,,,,,1627534.0,1.0,0.0,Brown,1627759.0,,,,,,
41,PT09M13.00S,2022-02-09T00:39:55.6Z,1,REGULAR,freethrow,1 of 1,[],1627759,,,1610612738,0,9,2022-02-09T00:39:55Z,410000,,,0,,J. Brown Free Throw 1 of 1 (5 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
42,PT09M01.00S,2022-02-09T00:40:09.3Z,1,REGULAR,3pt,Jump Shot,[],201988,31.225361366622867,41.911764705882355,1610612751,0,9,2022-02-09T00:40:14Z,420000,40.0,241.0,1,left,MISS P. Mills 24' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,24.44,Missed,,,,,,,,,,,,,,,,,,
43,PT08M57.00S,2022-02-09T00:40:13.3Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,0,9,2022-02-09T00:40:14Z,430000,,,0,,R. Williams III REBOUND (Off:0 Def:3),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,42.0,3.0,3.0,0.0,,,,,,,,,,,,,,
44,PT08M43.00S,2022-02-09T00:40:26.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,88.25558475689881,48.529411764705884,1610612738,0,11,2022-02-09T00:40:30Z,440000,-7.0,58.0,1,right,A. Horford Hook (4 PTS),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,5.84,Made,,,,,,,4.0,,,,,,,,,,,
45,PT08M32.00S,2022-02-09T00:40:40.2Z,1,REGULAR,turnover,out-of-bounds,[],1628971,,,1610612751,0,11,2022-02-09T00:40:48Z,450000,,,0,,B. Brown bad pass out-of-bounds TURNOVER (1 TO),[1628971],1610612751.0,BKN,bad pass,,,Brown,B. Brown,,,,,,,,,,,,,,1627534.0,,,,,,,,1.0,,
46,PT08M22.00S,2022-02-09T00:40:55.2Z,1,REGULAR,violation,kicked ball,[],201933,,,1610612738,0,11,2022-02-09T00:41:17Z,460000,,,0,,B. Griffin kicked ball VIOLATION,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,2003.0,,,,,,,,,,
47,PT08M12.00S,2022-02-09T00:41:24.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,69.46452036793693,72.79411764705883,1610612738,0,14,2022-02-09T00:41:31Z,470000,114.0,235.0,1,right,J. Brown 26' 3PT  (8 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.07,Made,,,,,,,8.0,,,,,,J. Tatum,1628369.0,1.0,,,
49,PT08M10.00S,2022-02-09T00:41:31.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,0,14,2022-02-09T00:41:31Z,490000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M00.00S,2022-02-09T00:45:11.6Z,1,REGULAR,foul,personal,[],203935,,,1610612751,0,14,2022-02-09T00:45:18Z,500000,,,0,,M. Smart personal FOUL (1 PF),"[203935, 201933]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,2003.0,1.0,0.0,Griffin,201933.0,,,,,,
52,PT07M49.00S,2022-02-09T00:45:40.8Z,1,REGULAR,2pt,Jump Shot,[],201933,23.47240473061761,49.50980392156863,1610612751,2,14,2022-02-09T00:45:45Z,520000,2.0,168.0,1,left,B. Griffin 16' Jump Shot (2 PTS) (P. Mills 1 AST),"[201933, 201988]",1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,16.81,Made,,,,,,,2.0,,,,,,P. Mills,201988.0,1.0,,,
54,PT07M30.00S,2022-02-09T00:45:58.6Z,1,REGULAR,3pt,Jump Shot,[],201143,90.48948751642575,95.09803921568627,1610612738,2,17,2022-02-09T00:46:03Z,540000,225.0,37.0,1,right,A. Horford 3PT  (7 PTS) (J. Tatum 2 AST),"[201143, 1628369]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,22.85,Made,,,,,,,7.0,,,,,,J. Tatum,1628369.0,2.0,,,
56,PT07M22.00S,2022-02-09T00:46:11.3Z,1,REGULAR,foul,offensive,[],1627761,,,1610612751,2,17,2022-02-09T00:46:26Z,560000,,,0,,D. Bembry offensive FOUL (2 PF),"[1627761, 203935]",1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,2003.0,2.0,0.0,Smart,203935.0,,,,,,
58,PT07M22.00S,2022-02-09T00:46:11.3Z,1,REGULAR,turnover,offensive foul,[],1627761,,,1610612751,2,17,2022-02-09T00:46:11Z,580000,,,0,,D. Bembry offensive foul TURNOVER (1 TO),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,2003.0,,,,,,,,1.0,,
59,PT07M12.00S,2022-02-09T00:46:36.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,70.51576872536137,75.24509803921569,1610612738,2,20,2022-02-09T00:47:42Z,590000,126.0,225.0,1,right,J. Tatum 25' 3PT pullup (3 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.77,Made,,,,,,,3.0,,,,,,,,,,,
60,PT06M56.00S,2022-02-09T00:46:53.8Z,1,REGULAR,2pt,Jump Shot,[],201988,14.14257555847569,72.79411764705883,1610612751,2,20,2022-02-09T00:46:59Z,600000,-114.0,80.0,1,left,MISS P. Mills 13' pullup Shot,[201988],1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,13.95,Missed,,,,,,,,,,,,,,,,,,
61,PT06M53.00S,2022-02-09T00:46:56.8Z,1,REGULAR,rebound,offensive,[],1627761,,,1610612751,2,20,2022-02-09T00:46:59Z,610000,,,0,,D. Bembry REBOUND (Off:1 Def:0),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,60.0,1.0,0.0,1.0,,,,,,,,,,,,,,
62,PT06M53.00S,2022-02-09T00:46:57.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627761,5.590000152587891,50.0,1610612751,2,20,2022-02-09T00:47:00Z,620000,0.0,0.0,1,left,MISS D. Bembry tip Layup,[1627761],1610612751.0,BKN,tip,,,Bembry,D. Bembry,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
63,PT06M53.00S,2022-02-09T00:46:57.6Z,1,REGULAR,rebound,offensive,[],1630556,,,1610612751,2,20,2022-02-09T00:47:00Z,630000,,,0,,K. Edwards REBOUND (Off:2 Def:0),[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,62.0,2.0,0.0,2.0,,,,,,,,,,,,,,
64,PT06M48.00S,2022-02-09T00:47:01.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201933,30.56833114323259,69.6078431372549,1610612751,2,20,2022-02-09T00:47:06Z,640000,-98.0,235.0,1,left,MISS B. Griffin 25' 3PT,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,25.44,Missed,,,,,,,,,,,,,,,,,,
65,PT06M45.00S,2022-02-09T00:47:04.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,20,2022-02-09T00:47:06Z,650000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,64.0,2.0,2.0,0.0,,,,,,,,,,,,,,
66,PT06M40.00S,2022-02-09T00:47:09.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,94.03745072273325,53.67647058823529,1610612738,2,22,2022-02-09T00:47:21Z,660000,18.0,4.0,1,right,J. Brown cutting Layup (10 PTS),[1627759],1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,1.87,Made,,,,,,,10.0,,,,,,,,,,,
68,PT06M33.00S,2022-02-09T00:47:20.5Z,1,REGULAR,turnover,out-of-bounds,[],1630556,,,1610612751,2,22,2022-02-09T00:48:11Z,680000,,,0,,K. Edwards step out-of-bounds TURNOVER (1 TO),[1630556],1610612751.0,BKN,step,,,Edwards,K. Edwards,,,,,,,,,,,,,,1155.0,,,,,,,,1.0,,
70,PT06M33.00S,2022-02-09T00:47:24.7Z,1,REGULAR,substitution,in,[],1630560,,,1610612738,2,22,2022-02-09T00:47:53Z,700000,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,
92,PT06M33.00S,2022-02-09T00:47:24.7Z,1,REGULAR,substitution,out,[],1627761,,,1610612738,2,22,2022-02-09T00:50:34Z,715000,,,0,,SUB out: D. Bembry,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M18.00S,2022-02-09T00:48:14.1Z,1,REGULAR,foul,personal,[],1630560,,,1610612738,2,22,2022-02-09T00:48:35Z,720000,,,0,,C. Thomas personal FOUL (1 PF),"[1630560, 1629057]",1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,1155.0,1.0,0.0,Williams III,1629057.0,,,,,,
74,PT06M18.00S,2022-02-09T00:48:26.6Z,1,REGULAR,substitution,out,[],201933,,,1610612738,2,22,2022-02-09T00:48:30Z,740000,,,0,,SUB out: B. Griffin,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M18.00S,2022-02-09T00:48:26.6Z,1,REGULAR,substitution,in,[],1630549,,,1610612738,2,22,2022-02-09T00:48:30Z,750000,,,0,,SUB in: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M13.00S,2022-02-09T00:48:38.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627759,83.26215505913272,48.03921568627451,1610612738,2,24,2022-02-09T00:48:42Z,760000,-10.0,105.0,1,right,J. Brown 10' floating Jump Shot (12 PTS) (A. Horford 2 AST),"[1627759, 201143]",1610612738.0,BOS,floating,,,Brown,J. Brown,,,,,10.53,Made,,,,,,,12.0,,,,,,A. Horford,201143.0,2.0,,,
78,PT06M00.00S,2022-02-09T00:48:51.1Z,1,REGULAR,2pt,Jump Shot,[],1630560,14.799605781865965,22.794117647058822,1610612751,2,24,2022-02-09T00:48:56Z,780000,136.0,87.0,1,left,MISS C. Thomas 16' fadeaway Shot,[1630560],1610612751.0,BKN,fadeaway,,,Thomas,C. Thomas,,,,,16.12,Missed,,,,,,,,,,,,,,,,,,
79,PT05M55.00S,2022-02-09T00:48:56.1Z,1,REGULAR,rebound,offensive,[],1630549,,,1610612751,2,24,2022-02-09T00:48:56Z,790000,,,0,,D. Sharpe REBOUND (Off:1 Def:0),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,78.0,1.0,0.0,1.0,,,,,,,,,,,,,,
80,PT05M55.00S,2022-02-09T00:48:55.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630549,5.590000152587891,50.0,1610612751,2,24,2022-02-09T00:48:55Z,800000,0.0,0.0,1,left,MISS D. Sharpe tip DUNK,[1630549],1610612751.0,BKN,tip,,,Sharpe,D. Sharpe,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
81,PT05M55.00S,2022-02-09T00:48:56.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,24,2022-02-09T00:48:56Z,810000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,,,
82,PT05M47.00S,2022-02-09T00:49:03.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,69.99014454664915,73.77450980392157,1610612738,2,24,2022-02-09T00:49:08Z,820000,119.0,230.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.86,Missed,,,,,,,,,,,,,,,,,,
83,PT05M44.00S,2022-02-09T00:49:06.8Z,1,REGULAR,rebound,defensive,[],1630556,,,1610612751,2,24,2022-02-09T00:49:08Z,830000,,,0,,K. Edwards REBOUND (Off:2 Def:1),[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,82.0,3.0,1.0,2.0,,,,,,,,,,,,,,
84,PT05M36.00S,2022-02-09T00:49:14.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630560,11.777266754270697,54.65686274509803,1610612751,2,24,2022-02-09T00:49:20Z,840000,-23.0,58.0,1,left,MISS C. Thomas 6' floating Shot,[1630560],1610612751.0,BKN,floating,,,Thomas,C. Thomas,,,,,6.27,Missed,,,,,,,,,,,,,,,,,,
85,PT05M33.00S,2022-02-09T00:49:17.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,2,24,2022-02-09T00:49:17Z,850000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,84.0,1.0,1.0,0.0,,,,,,,,,,,,,,
86,PT05M29.00S,2022-02-09T00:49:22.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,93.77463863337714,53.431372549019606,1610612738,2,26,2022-02-09T00:49:33Z,860000,17.0,6.0,1,right,J. Tatum driving Layup (5 PTS) (A. Horford 3 AST),"[1628369, 201143]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,1.82,Made,,,,,,,5.0,,,,,,A. Horford,201143.0,3.0,,,
88,PT05M11.00S,2022-02-09T00:49:40.6Z,1,REGULAR,turnover,bad pass,[],1628971,,,1610612751,2,26,2022-02-09T00:49:45Z,880000,,,0,,B. Brown bad pass TURNOVER (2 TO),"[1628971, 1628369]",1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,2.0,Tatum,1628369.0
89,PT05M11.00S,2022-02-09T00:49:40.6Z,1,REGULAR,steal,,[],1628369,,,1610612738,2,26,2022-02-09T00:49:42Z,890000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M08.00S,2022-02-09T00:49:45.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,93.11760840998686,50.245098039215684,1610612738,2,28,2022-02-09T00:49:55Z,900000,1.0,12.0,1,right,J. Tatum running finger roll Layup (7 PTS),[1628369],1610612738.0,BOS,running finger roll,,,Tatum,J. Tatum,,,,,1.23,Made,,,,,,,7.0,,,,,,,,,,,
91,PT05M08.00S,2022-02-09T00:49:50.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,2,28,2022-02-09T00:49:50Z,910000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M08.00S,2022-02-09T00:49:55.2Z,1,REGULAR,substitution,out,[],1630556,,,1610612751,2,28,2022-02-09T00:52:54Z,920000,,,0,,SUB out: K. Edwards,[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M08.00S,2022-02-09T00:49:55.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612751,2,28,2022-02-09T00:52:54Z,930000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
