actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
21,PT09M56.00S,2022-03-04T00:43:22.0Z,1,REGULAR,3pt,Jump Shot,[],1629622,30.831143232588698,64.70588235294117,1610612748,5,3,2022-03-04T00:43:36Z,210000,-74.0,237.0,1,left,M. Strus 24' 3PT pullup (3 PTS) (B. Adebayo 1 AST),"[1629622, 1628389]",1610612748.0,MIA,pullup,,,Strus,M. Strus,,,,,24.84,Made,,,,,,,3.0,B. Adebayo,1628389.0,1.0,,,,,,,,,
23,PT09M44.00S,2022-03-04T00:43:35.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203083,92.59198423127464,51.225490196078425,1610612751,5,3,2022-03-04T00:43:42Z,230000,6.0,17.0,1,right,MISS A. Drummond Layup - blocked,"[203083, 1630209]",1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,1.82,Missed,,,,,,,,,,,,,,,Yurtseven,1630209.0,,,
24,PT09M44.00S,2022-03-04T00:43:35.2Z,1,REGULAR,block,,[],1630209,,,1610612751,5,3,2022-03-04T00:43:37Z,240000,,,0,,O. Yurtseven BLOCK (1 BLK),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M44.00S,2022-03-04T00:43:35.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,5,3,2022-03-04T00:43:42Z,250000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,
26,PT09M44.00S,2022-03-04T00:43:39.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,5,3,2022-03-04T00:43:39Z,260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M35.00S,2022-03-04T00:43:57.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628971,92.59198423127464,49.50980392156863,1610612751,7,3,2022-03-04T00:44:19Z,270000,-2.0,17.0,1,right,B. Brown driving Layup (4 PTS) (S. Curry 2 AST),"[1628971, 203552]",1610612751.0,BKN,driving,,,Brown,B. Brown,,,,,1.73,Made,,,,,,,4.0,S. Curry,203552.0,2.0,,,,,,,,,
28,PT09M35.00S,2022-03-04T00:44:05.3Z,1,REGULAR,foul,personal,['1freethrow'],1630209,,,1610612751,7,3,2022-03-04T00:44:16Z,280000,,,0,,O. Yurtseven shooting personal FOUL (1 PF) (Brown 1 FT),"[1630209, 1628971]",1610612748.0,MIA,shooting,,,Yurtseven,O. Yurtseven,,,,,,,,,,,202049.0,,,,,,1.0,0.0,Brown,1628971.0,,,,,
31,PT09M35.00S,2022-03-04T00:44:23.6Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1628971,,,1610612751,7,3,2022-03-04T00:44:25Z,300000,,,0,,MISS B. Brown Free Throw 1 of 1,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M33.00S,2022-03-04T00:44:25.6Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,7,3,2022-03-04T00:44:25Z,310000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
33,PT09M21.00S,2022-03-04T00:44:36.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,15.456636005256241,44.6078431372549,1610612748,7,5,2022-03-04T00:44:42Z,320000,27.0,93.0,1,left,B. Adebayo 9' driving Hook (2 PTS) (G. Vincent 1 AST),"[1628389, 1629216]",1610612748.0,MIA,driving,,,Adebayo,B. Adebayo,,,,,9.66,Made,,,,,,,2.0,G. Vincent,1629216.0,1.0,,,,,,,,,
35,PT09M12.00S,2022-03-04T00:44:46.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201609,90.22667542706965,44.6078431372549,1610612751,7,5,2022-03-04T00:45:00Z,340000,-27.0,39.0,1,right,MISS G. Dragic driving finger roll Layup,[201609],1610612751.0,BKN,driving finger roll,,,Dragic,G. Dragic,,,,,4.78,Missed,,,,,,,,,,,,,,,,,,,
36,PT09M10.00S,2022-03-04T00:44:47.9Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612751,7,5,2022-03-04T00:44:47Z,350000,,,0,,B. Brown REBOUND (Off:1 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,35.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
37,PT09M07.00S,2022-03-04T00:44:53.7Z,1,REGULAR,foul,personal,[],1629130,,,1610612751,7,5,2022-03-04T00:45:02Z,360000,,,0,,D. Robinson personal FOUL (1 PF),"[1629130, 201142]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,2715.0,,,,,,1.0,0.0,Durant,201142.0,,,,,
39,PT09M03.00S,2022-03-04T00:45:23.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201142,82.86793692509855,94.36274509803921,1610612751,7,5,2022-03-04T00:45:27Z,380000,222.0,109.0,1,right,MISS K. Durant 24' 3PT,[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,24.69,Missed,,,,,,,,,,,,,,,,,,,
40,PT09M01.00S,2022-03-04T00:45:25.1Z,1,REGULAR,rebound,defensive,[],1630209,,,1610612748,7,5,2022-03-04T00:45:27Z,390000,,,0,,O. Yurtseven REBOUND (Off:0 Def:3),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,39.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
41,PT08M44.00S,2022-03-04T00:45:45.8Z,1,REGULAR,foul,personal,[],203083,,,1610612748,7,5,2022-03-04T00:45:52Z,400000,,,0,,A. Drummond personal FOUL (1 PF),"[203083, 1628389]",1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,2715.0,,,,,,1.0,0.0,Adebayo,1628389.0,,,,,
43,PT08M37.00S,2022-03-04T00:46:10.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,17.16491458607096,46.568627450980394,1610612748,7,5,2022-03-04T00:46:22Z,420000,17.0,109.0,1,left,MISS B. Adebayo 11' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,11.02,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M33.00S,2022-03-04T00:46:14.7Z,1,REGULAR,rebound,offensive,[],1629622,,,1610612748,7,5,2022-03-04T00:46:22Z,430000,,,0,,M. Strus REBOUND (Off:1 Def:0),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,43.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
45,PT08M31.00S,2022-03-04T00:46:17.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630209,7.30946123521682,59.068627450980394,1610612748,7,7,2022-03-04T00:46:32Z,440000,-45.0,16.0,1,left,O. Yurtseven driving bank Jump Shot (2 PTS) (D. Robinson 1 AST),"[1630209, 1629130]",1610612748.0,MIA,driving bank,,,Yurtseven,O. Yurtseven,,,,,4.81,Made,,,,,,,2.0,D. Robinson,1629130.0,1.0,,,,,,,,,
47,PT08M15.00S,2022-03-04T00:46:32.0Z,1,REGULAR,2pt,Jump Shot,[],201142,72.48685939553219,46.32352941176471,1610612751,9,7,2022-03-04T00:46:54Z,460000,-18.0,206.0,1,right,K. Durant 20' pullup Jump Shot (2 PTS),[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,20.69,Made,,,,,,,2.0,,,,,,,,,,,,
48,PT08M04.00S,2022-03-04T00:46:43.0Z,1,REGULAR,3pt,Jump Shot,[],1629622,31.750985545335087,48.77450980392157,1610612748,9,7,2022-03-04T00:47:11Z,470000,6.0,246.0,1,left,MISS M. Strus 24' pullup 3PT,[1629622],1610612748.0,MIA,pullup,,,Strus,M. Strus,,,,,24.61,Missed,,,,,,,,,,,,,,,,,,,
49,PT08M04.00S,2022-03-04T00:46:49.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,9,7,2022-03-04T00:46:49Z,480000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,
50,PT08M04.00S,2022-03-04T00:46:50.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,9,7,2022-03-04T00:46:50Z,490000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M55.00S,2022-03-04T00:47:02.1Z,1,REGULAR,foul,technical,['1freethrow'],1629622,,,1610612751,9,7,2022-03-04T00:47:13Z,500000,,,0,,M. Strus technical FOUL (1 Tech),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,2715.0,,,,,,0.0,1.0,,,,,,,
52,PT07M55.00S,2022-03-04T00:47:21.5Z,1,REGULAR,freethrow,1 of 1,[],201142,,,1610612751,10,7,2022-03-04T00:47:21Z,510000,,,0,,K. Durant technical Free Throw 1 of 1 (3 PTS),[201142],1610612751.0,BKN,technical,,,Durant,K. Durant,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,
53,PT07M46.00S,2022-03-04T00:47:46.8Z,1,REGULAR,2pt,Jump Shot,[],201142,76.69185282522996,46.07843137254902,1610612751,12,7,2022-03-04T00:48:09Z,520000,-20.0,167.0,1,right,K. Durant 16' turnaround Jump Shot (5 PTS) (G. Dragic 1 AST),"[201142, 201609]",1610612751.0,BKN,turnaround,,,Durant,K. Durant,,,,,16.77,Made,,,,,,,5.0,G. Dragic,201609.0,1.0,,,,,,,,,
55,PT07M29.00S,2022-03-04T00:48:03.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629216,7.178055190538765,49.754901960784316,1610612748,12,7,2022-03-04T00:48:25Z,540000,1.0,15.0,1,left,MISS G. Vincent driving Layup - blocked,"[1629216, 201142]",1610612748.0,MIA,driving,,,Vincent,G. Vincent,,,,,1.5,Missed,,,,,,,,,,,,,,,Durant,201142.0,,,
56,PT07M29.00S,2022-03-04T00:48:03.6Z,1,REGULAR,block,,[],201142,,,1610612748,12,7,2022-03-04T00:48:38Z,550000,,,0,,K. Durant BLOCK (1 BLK),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M29.00S,2022-03-04T00:48:03.6Z,1,REGULAR,rebound,defensive,[],201609,,,1610612751,12,7,2022-03-04T00:48:25Z,560000,,,0,,G. Dragic REBOUND (Off:0 Def:1),[201609],1610612751.0,BKN,,,,Dragic,G. Dragic,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
58,PT07M23.00S,2022-03-04T00:48:09.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203552,77.34888304862024,87.99019607843137,1610612751,15,7,2022-03-04T00:48:33Z,570000,190.0,160.0,1,right,S. Curry 24' 3PT  (3 PTS) (G. Dragic 2 AST),"[203552, 201609]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,24.87,Made,,,,,,,3.0,G. Dragic,201609.0,2.0,,,,,,,,,
60,PT07M22.00S,2022-03-04T00:48:14.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,15,7,2022-03-04T00:48:14Z,590000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M02.00S,2022-03-04T00:51:32.9Z,1,REGULAR,turnover,bad pass,[],1629622,,,1610612748,15,7,2022-03-04T00:51:37Z,600000,,,0,,M. Strus bad pass TURNOVER (1 TO),"[1629622, 201609]",1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,1.0,,,,,,,,,,,Dragic,201609.0,
62,PT07M02.00S,2022-03-04T00:51:32.9Z,1,REGULAR,steal,,[],201609,,,1610612751,15,7,2022-03-04T00:51:35Z,610000,,,0,,G. Dragic STEAL (1 STL),[201609],1610612751.0,BKN,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M54.00S,2022-03-04T00:51:40.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203083,94.82588699080158,49.754901960784316,1610612751,17,7,2022-03-04T00:51:44Z,620000,-1.0,-4.0,1,right,A. Drummond DUNK (2 PTS) (G. Dragic 3 AST),"[203083, 201609]",1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,0.41,Made,,,,,,,2.0,G. Dragic,201609.0,3.0,,,,,,,,,
65,PT06M43.00S,2022-03-04T00:51:52.3Z,1,REGULAR,foul,personal,['2freethrow'],201609,,,1610612748,17,7,2022-03-04T02:53:07Z,640000,,,0,,G. Dragic shooting personal FOUL (1 PF) (Vincent 2 FT),"[201609, 1629216]",1610612751.0,BKN,shooting,,,Dragic,G. Dragic,,,,,,,,,,,202037.0,,,,,,1.0,0.0,Vincent,1629216.0,,,,,
67,PT06M43.00S,2022-03-04T00:52:16.5Z,1,REGULAR,freethrow,1 of 2,[],1629216,,,1610612748,17,7,2022-03-04T02:53:19Z,660000,,,0,,MISS G. Vincent Free Throw 1 of 2,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,Missed,,,,,,,,,,,,,,,,,,,
68,PT06M43.00S,2022-03-04T00:52:16.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612748,17,7,2022-03-04T02:53:19Z,670000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,
71,PT06M43.00S,2022-03-04T00:52:16.5Z,1,REGULAR,freethrow,2 of 2,[],1629216,,,1610612748,17,8,2022-03-04T02:53:19Z,700000,,,0,,G. Vincent Free Throw 2 of 2 (1 PTS),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
69,PT06M43.00S,2022-03-04T00:52:19.4Z,1,REGULAR,substitution,out,[],203552,,,1610612751,17,8,2022-03-04T00:53:33Z,705000,,,0,,SUB out: S. Curry,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M43.00S,2022-03-04T00:52:19.4Z,1,REGULAR,substitution,in,[],1630560,,,1610612751,17,8,2022-03-04T00:53:33Z,707500,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M28.00S,2022-03-04T00:52:49.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,94.95729303547962,65.68627450980392,1610612751,19,8,2022-03-04T00:52:54Z,710000,78.0,-5.0,1,right,K. Durant 7' fadeaway Jump Shot (7 PTS) (G. Dragic 4 AST),"[201142, 201609]",1610612751.0,BKN,fadeaway,,,Durant,K. Durant,,,,,7.86,Made,,,,,,,7.0,G. Dragic,201609.0,4.0,,,,,,,,,
74,PT06M11.00S,2022-03-04T00:53:06.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630209,6.1268068331143235,56.372549019607845,1610612748,19,8,2022-03-04T00:53:28Z,730000,-32.0,5.0,1,left,MISS O. Yurtseven cutting Layup,[1630209],1610612748.0,MIA,cutting,,,Yurtseven,O. Yurtseven,,,,,3.23,Missed,,,,,,,,,,,,,,,,,,,
75,PT06M09.00S,2022-03-04T00:53:08.3Z,1,REGULAR,rebound,defensive,[],1630560,,,1610612751,19,8,2022-03-04T00:53:28Z,740000,,,0,,C. Thomas REBOUND (Off:0 Def:1),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,74.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
76,PT06M07.00S,2022-03-04T00:53:13.1Z,1,REGULAR,foul,personal,[],1630209,,,1610612751,19,8,2022-03-04T00:53:22Z,750000,,,0,,O. Yurtseven personal FOUL (2 PF),"[1630209, 201142]",1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,202037.0,,,,,,2.0,0.0,Durant,201142.0,,,,,
78,PT06M03.00S,2022-03-04T00:53:41.5Z,1,REGULAR,violation,kicked ball,[],1630209,,,1610612751,19,8,2022-03-04T01:24:00Z,770000,,,0,,O. Yurtseven kicked ball VIOLATION,[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,202037.0,,,,,,,,,,,,,,
79,PT06M03.00S,2022-03-04T00:53:44.2Z,1,REGULAR,substitution,out,[],1629216,,,1610612751,19,8,2022-03-04T00:53:52Z,780000,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M03.00S,2022-03-04T00:53:44.2Z,1,REGULAR,substitution,in,[],1629639,,,1610612751,19,8,2022-03-04T00:53:52Z,790000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M03.00S,2022-03-04T00:53:44.2Z,1,REGULAR,substitution,out,[],1630209,,,1610612751,19,8,2022-03-04T00:54:03Z,800000,,,0,,SUB out: O. Yurtseven,[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M03.00S,2022-03-04T00:53:44.2Z,1,REGULAR,substitution,in,[],1628997,,,1610612751,19,8,2022-03-04T00:54:03Z,810000,,,0,,SUB in: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M56.00S,2022-03-04T00:54:23.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,19,8,2022-03-04T00:54:23Z,820000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M49.00S,2022-03-04T00:54:47.1Z,1,REGULAR,3pt,Jump Shot,[],1630560,75.3777923784494,13.23529411764706,1610612751,19,8,2022-03-04T00:54:53Z,830000,-184.0,179.0,1,right,MISS C. Thomas 25' pullup 3PT,[1630560],1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,25.65,Missed,,,,,,,,,,,,,,,,,,,
85,PT05M42.00S,2022-03-04T00:54:54.1Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,19,8,2022-03-04T00:54:53Z,840000,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,84.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
86,PT05M34.00S,2022-03-04T00:55:01.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,15.719448094612352,43.38235294117647,1610612748,19,10,2022-03-04T00:55:05Z,850000,33.0,95.0,1,left,B. Adebayo 10' driving floating Jump Shot (4 PTS),[1628389],1610612748.0,MIA,driving floating,,,Adebayo,B. Adebayo,,,,,10.09,Made,,,,,,,4.0,,,,,,,,,,,,
87,PT05M34.00S,2022-03-04T00:55:04.9Z,1,REGULAR,foul,personal,['1freethrow'],203083,,,1610612748,19,10,2022-03-04T00:55:39Z,860000,,,0,,A. Drummond shooting personal FOUL (2 PF) (Adebayo 1 FT),"[203083, 1628389]",1610612751.0,BKN,shooting,,,Drummond,A. Drummond,,,,,,,,,,,202049.0,,,,,,2.0,0.0,Adebayo,1628389.0,,,,,
89,PT05M34.00S,2022-03-04T00:55:12.4Z,1,REGULAR,substitution,out,[],201609,,,1610612748,19,10,2022-03-04T00:55:33Z,880000,,,0,,SUB out: G. Dragic,[201609],1610612751.0,BKN,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M34.00S,2022-03-04T00:55:12.4Z,1,REGULAR,substitution,out,[],203083,,,1610612748,19,10,2022-03-04T00:55:33Z,890000,,,0,,SUB out: A. Drummond,[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M34.00S,2022-03-04T00:55:12.4Z,1,REGULAR,substitution,out,[],1628971,,,1610612748,19,10,2022-03-04T00:55:33Z,900000,,,0,,SUB out: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M34.00S,2022-03-04T00:55:12.4Z,1,REGULAR,substitution,in,[],201988,,,1610612748,19,10,2022-03-04T00:55:33Z,910000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M34.00S,2022-03-04T00:55:12.4Z,1,REGULAR,substitution,in,[],201949,,,1610612748,19,10,2022-03-04T00:55:33Z,920000,,,0,,SUB in: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M34.00S,2022-03-04T00:55:12.4Z,1,REGULAR,substitution,in,[],200746,,,1610612748,19,10,2022-03-04T00:55:33Z,930000,,,0,,SUB in: L. Aldridge,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,,
