actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
51,PT07M35.00S,2022-01-09T17:16:03.2Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,9,5,2022-01-09T17:16:04Z,500000,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
52,PT07M26.00S,2022-01-09T17:16:12.4Z,1,REGULAR,2pt,Jump Shot,[],201988,78.13731931668858,53.92156862745098,1610612751,11,5,2022-01-09T17:16:16Z,510000,20.0,153.0,1,right,P. Mills 15' pullup Jump Shot (2 PTS) (J. Harden 3 AST),"[201988, 201935]",1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,15.43,Made,,,,,,,,,,,2.0,J. Harden,201935.0,3.0,,,,,
54,PT07M25.00S,2022-01-09T17:16:19.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,11,5,2022-01-09T17:16:19Z,530000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M25.00S,2022-01-09T17:16:39.1Z,1,REGULAR,substitution,out,[],1630563,,,1610612759,11,5,2022-01-09T17:19:05Z,540000,,,0,,SUB out: J. Primo,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M25.00S,2022-01-09T17:16:39.1Z,1,REGULAR,substitution,in,[],1627854,,,1610612759,11,5,2022-01-09T17:19:05Z,550000,,,0,,SUB in: B. Forbes,[1627854],1610612759.0,SAS,,,,Forbes,B. Forbes,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M07.00S,2022-01-09T17:19:29.9Z,1,REGULAR,2pt,Jump Shot,[],1629022,5.338370565045992,10.784313725490197,1610612759,11,5,2022-01-09T17:19:34Z,560000,196.0,-2.0,1,left,MISS L. Walker IV 19' pullup Shot,[1629022],1610612759.0,SAS,pullup,,,Walker IV,L. Walker IV,,,,,19.61,Missed,,,,,,,,,,,,,,,,,,,
58,PT07M03.00S,2022-01-09T17:19:33.9Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,11,5,2022-01-09T17:19:34Z,570000,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
59,PT06M51.00S,2022-01-09T17:19:45.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,91.80354796320631,49.754901960784316,1610612751,11,5,2022-01-09T17:19:50Z,580000,-1.0,25.0,1,right,MISS N. Claxton cutting finger roll Layup,[1629651],1610612751.0,BKN,cutting finger roll,,,Claxton,N. Claxton,,,,,2.45,Missed,,,,,,,,,,,,,,,,,,,
60,PT06M47.00S,2022-01-09T17:19:48.9Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,11,5,2022-01-09T17:19:48Z,590000,,,0,,N. Claxton REBOUND (Off:1 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,59.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
61,PT06M45.00S,2022-01-09T17:19:51.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201142,66.96780551905388,35.53921568627451,1610612751,11,5,2022-01-09T17:20:02Z,600000,-72.0,258.0,1,right,MISS K. Durant 26' pullup 3PT,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,26.79,Missed,,,,,,,,,,,,,,,,,,,
62,PT06M42.00S,2022-01-09T17:19:54.3Z,1,REGULAR,rebound,defensive,[],1629022,,,1610612759,11,5,2022-01-09T17:20:02Z,610000,,,0,,L. Walker IV REBOUND (Off:1 Def:1),[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,61.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
63,PT06M35.00S,2022-01-09T17:20:02.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629022,4.5499342969776615,46.568627450980394,1610612759,11,7,2022-01-09T17:20:06Z,620000,17.0,-10.0,1,left,L. Walker IV driving Layup (7 PTS) (D. Murray 2 AST),"[1629022, 1627749]",1610612759.0,SAS,driving,,,Walker IV,L. Walker IV,,,,,1.97,Made,,,,,,,,,,,7.0,D. Murray,1627749.0,2.0,,,,,
65,PT06M35.00S,2022-01-09T17:20:05.4Z,1,REGULAR,foul,personal,['1freethrow'],201142,,,1610612759,11,7,2022-01-09T17:20:22Z,640000,,,0,,K. Durant shooting personal FOUL (1 PF) (Walker IV 1 FT),"[201142, 1629022]",1610612751.0,BKN,shooting,,,Durant,K. Durant,,,,,,,,,,,1179.0,1.0,0.0,Walker IV,1629022.0,,,,,,,,,,
67,PT06M35.00S,2022-01-09T17:20:14.8Z,1,REGULAR,substitution,out,[],201988,,,1610612759,11,7,2022-01-09T17:20:29Z,660000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M35.00S,2022-01-09T17:20:14.8Z,1,REGULAR,substitution,in,[],1630560,,,1610612759,11,7,2022-01-09T17:20:29Z,670000,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M35.00S,2022-01-09T17:20:28.3Z,1,REGULAR,freethrow,1 of 1,[],1629022,,,1610612759,11,7,2022-01-09T17:20:30Z,680000,,,0,,MISS L. Walker IV Free Throw 1 of 1,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,Missed,,,,,,,,,,,,,,,,,,,
70,PT06M33.00S,2022-01-09T17:20:30.3Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,11,7,2022-01-09T17:20:30Z,690000,,,0,,N. Claxton REBOUND (Off:1 Def:3),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,69.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
71,PT06M28.00S,2022-01-09T17:20:35.1Z,1,REGULAR,turnover,lost ball,[],201142,,,1610612751,11,7,2022-01-09T17:20:39Z,700000,,,0,,K. Durant lost ball TURNOVER (1 TO),"[201142, 1627751]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,1.0,,,,,,,Poeltl,1627751.0,
72,PT06M28.00S,2022-01-09T17:20:35.1Z,1,REGULAR,steal,,[],1627751,,,1610612759,11,7,2022-01-09T17:20:37Z,710000,,,0,,J. Poeltl STEAL (2 STL),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M20.00S,2022-01-09T17:20:42.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629022,29.122864651773984,24.019607843137255,1610612759,11,10,2022-01-09T17:20:50Z,720000,130.0,221.0,1,left,L. Walker IV 25' 3PT  (10 PTS) (D. Murray 3 AST),"[1629022, 1627749]",1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,25.66,Made,,,,,,,,,,,10.0,D. Murray,1627749.0,3.0,,,,,
75,PT06M04.00S,2022-01-09T17:20:58.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,90.62089356110381,43.38235294117647,1610612751,11,10,2022-01-09T17:21:02Z,740000,-33.0,36.0,1,right,MISS N. Claxton cutting Layup,[1629651],1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,4.87,Missed,,,,,,,,,,,,,,,,,,,
76,PT06M02.00S,2022-01-09T17:21:00.1Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,11,10,2022-01-09T17:21:02Z,750000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,75.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
77,PT05M54.00S,2022-01-09T17:21:12.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629022,13.091327201051248,44.6078431372549,1610612759,11,12,2022-01-09T17:21:16Z,760000,27.0,71.0,1,left,L. Walker IV 7' driving floating bank Jump Shot (12 PTS) (D. Murray 4 AST),"[1629022, 1627749]",1610612759.0,SAS,driving floating bank,,,Walker IV,L. Walker IV,,,,,7.56,Made,,,,,,,,,,,12.0,D. Murray,1627749.0,4.0,,,,,
79,PT05M54.00S,2022-01-09T17:21:15.4Z,1,REGULAR,foul,personal,['1freethrow'],1630560,,,1610612759,11,12,2022-01-09T17:21:42Z,780000,,,0,,C. Thomas shooting personal FOUL (1 PF) (Walker IV 1 FT),"[1630560, 1629022]",1610612751.0,BKN,shooting,,,Thomas,C. Thomas,,,,,,,,,,,202053.0,1.0,0.0,Walker IV,1629022.0,,,,,,,,,,
81,PT05M54.00S,2022-01-09T17:21:31.4Z,1,REGULAR,substitution,out,[],1630561,,,1610612759,11,12,2022-01-09T17:21:39Z,800000,,,0,,SUB out: D. Duke Jr.,[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M54.00S,2022-01-09T17:21:31.4Z,1,REGULAR,substitution,in,[],1627761,,,1610612759,11,12,2022-01-09T17:21:39Z,810000,,,0,,SUB in: D. Bembry,[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M54.00S,2022-01-09T17:21:53.3Z,1,REGULAR,freethrow,1 of 1,[],1629022,,,1610612759,11,12,2022-01-09T17:21:56Z,820000,,,0,,MISS L. Walker IV Free Throw 1 of 1,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,Missed,,,,,,,,,,,,,,,,,,,
84,PT05M51.00S,2022-01-09T17:21:56.3Z,1,REGULAR,rebound,defensive,[],1627761,,,1610612751,11,12,2022-01-09T17:21:56Z,830000,,,0,,D. Bembry REBOUND (Off:0 Def:1),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,83.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
85,PT05M43.00S,2022-01-09T17:22:02.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201142,93.9060446780552,50.245098039215684,1610612751,13,12,2022-01-09T17:22:07Z,840000,1.0,5.0,1,right,K. Durant alley-oop Layup (5 PTS) (J. Harden 4 AST),"[201142, 201935]",1610612751.0,BKN,alley-oop,,,Durant,K. Durant,,,,,0.49,Made,,,,,,,,,,,5.0,J. Harden,201935.0,4.0,,,,,
87,PT05M22.00S,2022-01-09T17:22:24.5Z,1,REGULAR,3pt,Jump Shot,[],1627749,30.17411300919842,67.8921568627451,1610612759,13,15,2022-01-09T17:23:07Z,860000,-89.0,231.0,1,left,D. Murray 24' 3PT pullup (3 PTS),[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,24.78,Made,,,,,,,,,,,3.0,,,,,,,,
