actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
16,PT10M50.00S,2022-01-08T00:47:38.3Z,1,REGULAR,steal,,[],1629651,,,1610612751,2,2,2022-01-08T00:47:40Z,160000,,,0,,N. Claxton STEAL (1 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M44.00S,2022-01-08T00:47:43.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",201935,4.944152431011826,51.9607843137255,1610612751,2,2,2022-01-08T00:49:02Z,170000,-10.0,-6.0,1,left,MISS J. Harden running reverse Layup,[201935],1610612751.0,BKN,running reverse,,,Harden,J. Harden,,,,,1.15,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M42.00S,2022-01-08T00:47:45.8Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,2,2,2022-01-08T00:47:52Z,180000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
19,PT10M38.00S,2022-01-08T00:47:49.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203507,93.77463863337714,47.794117647058826,1610612749,2,4,2022-01-08T00:48:07Z,190000,-11.0,6.0,1,right,G. Antetokounmpo running Layup (2 PTS),[203507],1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,1.25,Made,,,,,2.0,,,,,,,,,,,,,,
20,PT10M24.00S,2022-01-08T00:48:02.7Z,1,REGULAR,2pt,Jump Shot,[],201142,7.835085413929041,69.36274509803921,1610612751,4,4,2022-01-08T00:48:10Z,200000,-97.0,21.0,1,left,K. Durant 9' fadeaway Jump Shot (2 PTS) (J. Harden 1 AST),"[201142, 201935]",1610612751.0,BKN,fadeaway,,,Durant,K. Durant,,,,,9.91,Made,,,,,2.0,,,,,,,,,J. Harden,201935.0,1.0,,,
22,PT10M07.00S,2022-01-08T00:48:21.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202083,94.1688567674113,55.14705882352941,1610612749,4,6,2022-01-08T00:48:40Z,220000,26.0,2.0,1,right,W. Matthews driving Layup (4 PTS) (G. Antetokounmpo 1 AST),"[202083, 203507]",1610612749.0,MIL,driving,,,Matthews,W. Matthews,,,,,2.58,Made,,,,,4.0,,,,,,,,,G. Antetokounmpo,203507.0,1.0,,,
24,PT09M59.00S,2022-01-08T00:48:36.4Z,1,REGULAR,violation,kicked ball,[],203114,,,1610612751,4,6,2022-01-08T00:48:49Z,240000,,,0,,K. Middleton kicked ball VIOLATION,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,201245.0,,,,,,,,,,,,,
25,PT09M45.00S,2022-01-08T00:49:02.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,12.302890932982917,46.568627450980394,1610612751,4,6,2022-01-08T00:49:10Z,250000,17.0,63.0,1,left,MISS J. Harden 6' driving floating Shot,[201935],1610612751.0,BKN,driving floating,,,Harden,J. Harden,,,,,6.54,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M40.00S,2022-01-08T00:49:07.9Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,4,6,2022-01-08T00:49:10Z,260000,,,0,,K. Middleton REBOUND (Off:0 Def:2),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
27,PT09M36.00S,2022-01-08T00:49:12.4Z,1,REGULAR,turnover,bad pass,[],202083,,,1610612749,4,6,2022-01-08T00:54:16Z,270000,,,0,,W. Matthews bad pass TURNOVER (1 TO),"[202083, 201142]",1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,1.0,Durant,201142.0,,,,,,
28,PT09M36.00S,2022-01-08T00:49:12.4Z,1,REGULAR,steal,,[],201142,,,1610612751,4,6,2022-01-08T00:49:15Z,280000,,,0,,K. Durant STEAL (1 STL),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M23.00S,2022-01-08T00:49:24.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630561,3.4986859395532193,96.56862745098039,1610612751,4,6,2022-01-08T00:49:36Z,290000,-233.0,-20.0,1,left,MISS D. Duke Jr. 3PT,[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,23.36,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M18.00S,2022-01-08T00:49:29.9Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,4,6,2022-01-08T00:49:36Z,300000,,,0,,B. Portis REBOUND (Off:0 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
31,PT09M14.00S,2022-01-08T00:49:34.3Z,1,REGULAR,3pt,Jump Shot,[],203507,69.07030223390277,29.65686274509804,1610612749,4,6,2022-01-08T00:53:52Z,310000,-102.0,238.0,1,right,MISS G. Antetokounmpo 25' pullup 3PT,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,25.9,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M10.00S,2022-01-08T00:49:38.3Z,1,REGULAR,rebound,defensive,[],201988,,,1610612751,4,6,2022-01-08T00:49:40Z,320000,,,0,,P. Mills REBOUND (Off:0 Def:1),[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
33,PT09M06.00S,2022-01-08T00:49:42.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630561,5.338370565045992,50.245098039215684,1610612751,4,6,2022-01-08T00:50:12Z,330000,-1.0,-2.0,1,left,MISS D. Duke Jr. cutting Layup,[1630561],1610612751.0,BKN,cutting,,,Duke Jr.,D. Duke Jr.,,,,,0.26,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M04.00S,2022-01-08T00:49:44.5Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,4,6,2022-01-08T00:49:50Z,340000,,,0,,K. Middleton REBOUND (Off:0 Def:3),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,33.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
35,PT08M59.00S,2022-01-08T00:49:49.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629670,76.2976346911958,86.76470588235294,1610612749,4,9,2022-01-08T00:50:08Z,350000,184.0,170.0,1,right,J. Nwora 25' 3PT  (3 PTS) (G. Antetokounmpo 2 AST),"[1629670, 203507]",1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,25.06,Made,,,,,3.0,,,,,,,,,G. Antetokounmpo,203507.0,2.0,,,
37,PT08M40.00S,2022-01-08T00:50:11.3Z,1,REGULAR,foul,personal,[],202083,,,1610612751,4,9,2022-01-08T00:50:28Z,370000,,,0,,W. Matthews personal FOUL (1 PF),"[202083, 201142]",1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,201245.0,1.0,0.0,Durant,201142.0,,,,,,,,,
39,PT08M33.00S,2022-01-08T00:50:32.3Z,1,REGULAR,3pt,Jump Shot,[],201988,26.757555847568987,80.14705882352942,1610612751,4,9,2022-01-08T00:50:37Z,390000,-151.0,199.0,1,left,MISS P. Mills 24' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,24.96,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M29.00S,2022-01-08T00:50:36.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,4,9,2022-01-08T00:50:37Z,400000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
41,PT08M23.00S,2022-01-08T00:50:41.4Z,1,REGULAR,3pt,Jump Shot,[],1626171,66.44218134034165,48.77450980392157,1610612749,4,9,2022-01-08T00:50:45Z,410000,-6.0,263.0,1,right,MISS B. Portis 26' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,26.3,Missed,,,,,,,,,,,,,,,,,,,
42,PT08M20.00S,2022-01-08T00:50:44.4Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,4,9,2022-01-08T00:50:45Z,420000,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
43,PT08M17.00S,2022-01-08T00:50:52.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,15.719448094612352,50.0,1610612751,4,9,2022-01-08T00:51:06Z,430000,0.0,95.0,1,left,MISS J. Harden 9' driving Layup,[201935],1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,9.53,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M17.00S,2022-01-08T00:50:52.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,4,9,2022-01-08T00:51:06Z,450000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,
46,PT08M17.00S,2022-01-08T00:50:57.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,4,9,2022-01-08T00:50:57Z,460000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M14.00S,2022-01-08T00:51:16.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],201142,13.485545335085414,71.07843137254902,1610612751,4,9,2022-01-08T00:51:21Z,470000,-105.0,74.0,1,left,MISS K. Durant 12' fadeaway Shot,[201142],1610612751.0,BKN,fadeaway,,,Durant,K. Durant,,,,,12.9,Missed,,,,,,,,,,,,,,,,,,,
49,PT08M08.00S,2022-01-08T00:51:22.3Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,4,9,2022-01-08T00:51:21Z,480000,,,0,,B. Portis REBOUND (Off:0 Def:3),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,48.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
50,PT08M04.00S,2022-01-08T00:51:25.8Z,1,REGULAR,3pt,Jump Shot,[],203114,73.66951379763469,85.04901960784314,1610612749,4,9,2022-01-08T00:51:33Z,490000,175.0,195.0,1,right,MISS K. Middleton 26' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,26.21,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M58.00S,2022-01-08T00:51:32.0Z,1,REGULAR,rebound,offensive,[],1629670,,,1610612749,4,9,2022-01-08T00:51:32Z,500000,,,0,,J. Nwora REBOUND (Off:1 Def:0),[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,50.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
52,PT07M57.00S,2022-01-08T00:51:33.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202083,70.90998685939553,22.058823529411764,1610612749,4,9,2022-01-08T00:56:18Z,510000,-140.0,221.0,1,right,MISS W. Matthews 26' pullup 3PT,[202083],1610612749.0,MIL,pullup,,,Matthews,W. Matthews,,,,,26.14,Missed,,,,,,,,,,,,,,,,,,,
53,PT07M52.00S,2022-01-08T00:51:37.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,4,9,2022-01-08T00:51:37Z,520000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
54,PT07M49.00S,2022-01-08T00:51:40.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201988,31.35676741130092,37.99019607843137,1610612751,7,9,2022-01-08T00:51:56Z,530000,60.0,242.0,1,left,P. Mills 24' 3PT  (3 PTS) (K. Durant 1 AST),"[201988, 201142]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,24.96,Made,,,,,3.0,,,,,,,,,K. Durant,201142.0,1.0,,,
56,PT07M37.00S,2022-01-08T00:51:53.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,90.48948751642575,54.65686274509803,1610612749,7,11,2022-01-08T00:59:36Z,550000,23.0,37.0,1,right,G. Antetokounmpo cutting finger roll Layup (4 PTS) (K. Middleton 1 AST),"[203507, 203114]",1610612749.0,MIL,cutting finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,4.36,Made,,,,,4.0,,,,,,,,,K. Middleton,203114.0,1.0,,,
58,PT07M27.00S,2022-01-08T00:52:02.7Z,1,REGULAR,3pt,Jump Shot,[],201988,21.369908015768726,89.70588235294117,1610612751,7,11,2022-01-08T00:52:14Z,570000,-199.0,148.0,1,left,MISS P. Mills 24' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,24.78,Missed,,,,,,,,,,,,,,,,,,,
59,PT07M27.00S,2022-01-08T00:52:02.7Z,1,REGULAR,rebound,defensive,[],202083,,,1610612749,7,11,2022-01-08T00:52:14Z,580000,,,0,,W. Matthews REBOUND (Off:0 Def:1),[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
60,PT07M21.00S,2022-01-08T00:52:08.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203507,68.28186596583443,62.254901960784316,1610612749,7,11,2022-01-08T01:00:17Z,590000,61.0,246.0,1,right,MISS G. Antetokounmpo 25' pullup 3PT,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,25.32,Missed,,,,,,,,,,,,,,,,,,,
61,PT07M17.00S,2022-01-08T00:52:12.8Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,7,11,2022-01-08T00:52:12Z,600000,,,0,,B. Portis REBOUND (Off:1 Def:3),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,60.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
62,PT07M14.00S,2022-01-08T00:52:16.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626171,86.41590013140605,43.872549019607845,1610612749,7,13,2022-01-08T01:00:24Z,610000,-31.0,75.0,1,right,B. Portis 8' turnaround fadeaway Jump Shot (2 PTS),[1626171],1610612749.0,MIL,turnaround fadeaway,,,Portis,B. Portis,,,,,8.12,Made,,,,,2.0,,,,,,,,,,,,,,
63,PT06M51.00S,2022-01-08T00:52:38.3Z,1,REGULAR,2pt,Jump Shot,[],201988,23.47240473061761,28.431372549019606,1610612751,7,13,2022-01-08T00:52:50Z,620000,108.0,168.0,1,left,MISS P. Mills 19' pullup Shot,[201988],1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,19.97,Missed,,,,,,,,,,,,,,,,,,,
64,PT06M48.00S,2022-01-08T00:52:41.3Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,7,13,2022-01-08T00:52:50Z,630000,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,63.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
65,PT06M42.00S,2022-01-08T00:52:48.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630561,12.171484888304862,18.38235294117647,1610612751,9,13,2022-01-08T00:52:56Z,640000,158.0,62.0,1,left,D. Duke Jr. 16' pullup Jump Shot (4 PTS) (P. Mills 1 AST),"[1630561, 201988]",1610612751.0,BKN,pullup,,,Duke Jr.,D. Duke Jr.,,,,,16.98,Made,,,,,4.0,,,,,,,,,P. Mills,201988.0,1.0,,,
67,PT06M19.00S,2022-01-08T00:53:11.4Z,1,REGULAR,foul,personal,['2freethrow'],201142,,,1610612749,9,13,2022-01-08T00:56:30Z,660000,,,0,,K. Durant shooting personal FOUL (1 PF) (Portis 2 FT),"[201142, 1626171]",1610612751.0,BKN,shooting,,,Durant,K. Durant,,,,,,,,,,,,202053.0,1.0,0.0,Portis,1626171.0,,,,,,,,,
69,PT06M19.00S,2022-01-08T00:53:29.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,9,13,2022-01-08T00:53:29Z,680000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M19.00S,2022-01-08T00:53:30.9Z,1,REGULAR,substitution,out,[],1630561,,,1610612749,9,13,2022-01-08T00:56:28Z,690000,,,0,,SUB out: D. Duke Jr.,[1630561],1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M19.00S,2022-01-08T00:53:30.9Z,1,REGULAR,substitution,out,[],201988,,,1610612749,9,13,2022-01-08T00:56:28Z,700000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M19.00S,2022-01-08T00:53:30.9Z,1,REGULAR,substitution,out,[],1629670,,,1610612749,9,13,2022-01-08T00:56:28Z,710000,,,0,,SUB out: J. Nwora,[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M19.00S,2022-01-08T00:53:30.9Z,1,REGULAR,substitution,in,[],201949,,,1610612749,9,13,2022-01-08T00:56:28Z,720000,,,0,,SUB in: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M19.00S,2022-01-08T00:53:30.9Z,1,REGULAR,substitution,in,[],1630560,,,1610612749,9,13,2022-01-08T00:56:28Z,730000,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M19.00S,2022-01-08T00:53:30.9Z,1,REGULAR,substitution,in,[],203918,,,1610612749,9,13,2022-01-08T00:56:28Z,740000,,,0,,SUB in: R. Hood,[203918],1610612749.0,MIL,,,,Hood,R. Hood,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M19.00S,2022-01-08T00:53:30.9Z,1,REGULAR,substitution,out,[],203507,,,1610612749,9,13,2022-01-08T00:58:41Z,745000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M19.00S,2022-01-08T00:53:30.9Z,1,REGULAR,substitution,in,[],204038,,,1610612749,9,13,2022-01-08T00:58:41Z,747500,,,0,,SUB in: L. Galloway,[204038],1610612749.0,MIL,,,,Galloway,L. Galloway,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M19.00S,2022-01-08T00:57:10.0Z,1,REGULAR,freethrow,1 of 2,[],1626171,,,1610612749,9,14,2022-01-08T00:57:10Z,750000,,,0,,B. Portis Free Throw 1 of 2 (3 PTS),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
77,PT06M19.00S,2022-01-08T00:57:25.5Z,1,REGULAR,freethrow,2 of 2,[],1626171,,,1610612749,9,15,2022-01-08T00:57:25Z,760000,,,0,,B. Portis Free Throw 2 of 2 (4 PTS),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
78,PT06M03.00S,2022-01-08T00:57:44.7Z,1,REGULAR,turnover,bad pass,[],1629651,,,1610612751,9,15,2022-01-08T00:57:48Z,770000,,,0,,N. Claxton bad pass TURNOVER (1 TO),"[1629651, 203918]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,1.0,Hood,203918.0,,,,,,
79,PT06M03.00S,2022-01-08T00:57:44.7Z,1,REGULAR,steal,,[],203918,,,1610612749,9,15,2022-01-08T01:02:49Z,780000,,,0,,R. Hood STEAL (1 STL),[203918],1610612749.0,MIL,,,,Hood,R. Hood,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M56.00S,2022-01-08T00:57:52.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203114,87.07293035479631,47.05882352941176,1610612749,9,15,2022-01-08T00:58:09Z,790000,-15.0,69.0,1,right,MISS K. Middleton 7' driving floating Shot,[203114],1610612749.0,MIL,driving floating,,,Middleton,K. Middleton,,,,,7.05,Missed,,,,,,,,,,,,,,,,,,,
81,PT05M52.00S,2022-01-08T00:57:56.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,9,15,2022-01-08T00:58:09Z,800000,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,80.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
82,PT05M44.00S,2022-01-08T00:58:03.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,7.835085413929041,65.19607843137256,1610612751,9,15,2022-01-08T00:58:20Z,810000,-76.0,21.0,1,left,MISS K. Durant 7' pullup Shot,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,7.89,Missed,,,,,,,,,,,,,,,,,,,
83,PT05M39.00S,2022-01-08T00:58:08.2Z,1,REGULAR,rebound,defensive,[],204038,,,1610612749,9,15,2022-01-08T00:58:20Z,820000,,,0,,L. Galloway REBOUND (Off:0 Def:1),[204038],1610612749.0,MIL,,,,Galloway,L. Galloway,,,,,,,82.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
84,PT05M27.00S,2022-01-08T00:58:19.7Z,1,REGULAR,2pt,Jump Shot,[],1626171,93.64323258869908,80.88235294117648,1610612749,9,17,2022-01-08T01:03:33Z,830000,154.0,7.0,1,right,B. Portis 15' pullup Jump Shot (6 PTS),[1626171],1610612749.0,MIL,pullup,,,Portis,B. Portis,,,,,15.46,Made,,,,,6.0,,,,,,,,,,,,,,
87,PT05M01.00S,2022-01-08T00:58:46.4Z,1,REGULAR,2pt,Jump Shot,[],201142,8.229303547963205,23.774509803921568,1610612751,9,17,2022-01-08T00:58:53Z,840000,131.0,25.0,1,left,MISS K. Durant 13' pullup Shot - blocked,"[201142, 202083]",1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,13.34,Missed,,,,,,,,,,,,,,,,,Matthews,202083.0,
