actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
15,PT10M43.00S,2022-02-18T00:42:06.9Z,1,REGULAR,2pt,Jump Shot,[],201988,70.90998685939553,45.83333333333333,1610612751,0,2,2022-02-18T00:42:11Z,150000,-21.0,221.0,1,right,MISS P. Mills 22' pullup Shot - blocked,"[201988, 1628418]",1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,22.19,Missed,,,,,,Bryant,1628418.0,,,,,,,,,,,,
16,PT10M43.00S,2022-02-18T00:42:06.9Z,1,REGULAR,block,,[],1628418,,,1610612751,0,2,2022-02-18T00:42:10Z,160000,,,0,,T. Bryant BLOCK (1 BLK),[1628418],1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M40.00S,2022-02-18T00:42:09.9Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,2,2022-02-18T00:42:11Z,170000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
18,PT10M38.00S,2022-02-18T00:42:13.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628418,5.995400788436268,47.30392156862745,1610612764,0,4,2022-02-18T00:42:18Z,180000,13.0,4.0,1,left,T. Bryant running Layup (4 PTS) (K. Kuzma 1 AST),"[1628418, 1628398]",1610612764.0,WAS,running,,,Bryant,T. Bryant,,,,,1.41,Made,,,,,4.0,,,K. Kuzma,1628398.0,1.0,,,,,,,,,
20,PT10M23.00S,2022-02-18T00:42:28.1Z,1,REGULAR,3pt,Jump Shot,[],1630556,71.96123521681997,77.69607843137256,1610612751,0,4,2022-02-18T00:42:32Z,200000,138.0,211.0,1,right,MISS K. Edwards 25' pullup 3PT,[1630556],1610612751.0,BKN,pullup,,,Edwards,K. Edwards,,,,,25.25,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M19.00S,2022-02-18T00:42:32.1Z,1,REGULAR,rebound,offensive,[],203552,,,1610612751,0,4,2022-02-18T00:42:32Z,210000,,,0,,S. Curry REBOUND (Off:1 Def:0),[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
22,PT10M12.00S,2022-02-18T00:42:38.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201988,96.27135348226018,96.32352941176471,1610612751,3,4,2022-02-18T00:42:42Z,220000,232.0,-17.0,1,right,P. Mills 3PT  (3 PTS) (B. Brown 1 AST),"[201988, 1628971]",1610612751.0,BKN,,,,Mills,P. Mills,,,,,23.23,Made,,,,,3.0,,,B. Brown,1628971.0,1.0,,,,,,,,,
24,PT09M59.00S,2022-02-18T00:42:51.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203484,8.09789750328515,54.166666666666664,1610612764,3,4,2022-02-18T00:42:56Z,240000,-21.0,24.0,1,left,MISS K. Caldwell-Pope cutting Layup,[203484],1610612764.0,WAS,cutting,,,Caldwell-Pope,K. Caldwell-Pope,,,,,3.15,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M55.00S,2022-02-18T00:42:55.4Z,1,REGULAR,rebound,offensive,[],203484,,,1610612764,3,4,2022-02-18T00:42:56Z,250000,,,0,,K. Caldwell-Pope REBOUND (Off:1 Def:0),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,24.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
26,PT09M55.00S,2022-02-18T00:42:55.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203484,5.590000152587891,50.0,1610612764,3,6,2022-02-18T00:43:04Z,260000,0.0,0.0,1,left,K. Caldwell-Pope tip Layup (2 PTS),[203484],1610612764.0,WAS,tip,,,Caldwell-Pope,K. Caldwell-Pope,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
27,PT09M40.00S,2022-02-18T00:43:12.4Z,1,REGULAR,turnover,backcourt,[],203552,,,1610612751,3,6,2022-02-18T00:43:18Z,270000,,,0,,S. Curry backcourt TURNOVER (1 TO),[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,201245.0,1.0,,,,,,,
28,PT09M34.00S,2022-02-18T00:43:40.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203526,5.732588699080158,44.6078431372549,1610612764,3,8,2022-02-18T00:43:44Z,280000,27.0,1.0,1,left,R. Neto driving Layup (2 PTS),[203526],1610612764.0,WAS,driving,,,Neto,R. Neto,,,,,2.7,Made,,,,,2.0,,,,,,,,,,,,,,
29,PT09M12.00S,2022-02-18T00:44:01.2Z,1,REGULAR,3pt,Jump Shot,[],203552,92.72339027595268,3.1862745098039214,1610612751,6,8,2022-02-18T00:44:05Z,290000,-234.0,16.0,1,right,S. Curry 3PT  (3 PTS) (K. Edwards 1 AST),"[203552, 1630556]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,23.46,Made,,,,,3.0,,,K. Edwards,1630556.0,1.0,,,,,,,,,
31,PT09M01.00S,2022-02-18T00:44:13.0Z,1,REGULAR,3pt,Jump Shot,[],1628418,31.61957950065703,36.76470588235294,1610612764,6,8,2022-02-18T00:44:20Z,310000,66.0,245.0,1,left,MISS T. Bryant 25' 3PT,[1628418],1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,25.35,Missed,,,,,,,,,,,,,,,,,,,
32,PT08M58.00S,2022-02-18T00:44:16.0Z,1,REGULAR,rebound,defensive,[],201988,,,1610612751,6,8,2022-02-18T00:44:20Z,320000,,,0,,P. Mills REBOUND (Off:0 Def:1),[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
33,PT08M53.00S,2022-02-18T00:44:20.8Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],201988,73.80091984231275,41.42156862745098,1610612751,8,8,2022-02-18T00:44:25Z,330000,-43.0,194.0,1,right,P. Mills 19' pullup Jump Shot (5 PTS),[201988],1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,19.85,Made,,,,,5.0,,,,,,,,,,,,,,
34,PT08M37.00S,2022-02-18T00:44:37.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628418,6.1268068331143235,49.754901960784316,1610612764,8,10,2022-02-18T00:44:41Z,340000,1.0,5.0,1,left,T. Bryant cutting DUNK (6 PTS) (R. Neto 1 AST),"[1628418, 203526]",1610612764.0,WAS,cutting,,,Bryant,T. Bryant,,,,,0.52,Made,,,,,6.0,,,R. Neto,203526.0,1.0,,,,,,,,,
36,PT08M17.00S,2022-02-18T00:44:56.3Z,1,REGULAR,turnover,bad pass,[],203083,,,1610612751,8,10,2022-02-18T00:44:59Z,360000,,,0,,A. Drummond bad pass TURNOVER (1 TO),"[203083, 203526]",1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,1.0,Neto,203526.0,,,,,
37,PT08M17.00S,2022-02-18T00:44:56.3Z,1,REGULAR,steal,,[],203526,,,1610612764,8,10,2022-02-18T00:44:58Z,370000,,,0,,R. Neto STEAL (1 STL),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M12.00S,2022-02-18T00:45:01.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630557,3.3672798948751645,96.07843137254902,1610612764,8,13,2022-02-18T00:45:09Z,380000,-230.0,-21.0,1,left,C. Kispert 3PT running (3 PTS) (K. Kuzma 2 AST),"[1630557, 1628398]",1610612764.0,WAS,running,,,Kispert,C. Kispert,,,,,23.13,Made,,,,,3.0,,,K. Kuzma,1628398.0,2.0,,,,,,,,,
40,PT07M45.00S,2022-02-18T00:45:28.3Z,1,REGULAR,3pt,Jump Shot,[],1628971,69.33311432325887,71.56862745098039,1610612751,8,13,2022-02-18T00:45:33Z,400000,108.0,236.0,1,right,MISS B. Brown 25' 3PT,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,25.93,Missed,,,,,,,,,,,,,,,,,,,
41,PT07M42.00S,2022-02-18T00:45:31.9Z,1,REGULAR,rebound,offensive,[],1630556,,,1610612751,8,13,2022-02-18T00:45:31Z,410000,,,0,,K. Edwards REBOUND (Off:1 Def:0),[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,40.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
42,PT07M39.00S,2022-02-18T00:45:38.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,8,13,2022-02-18T00:45:38Z,420000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT07M39.00S,2022-02-18T00:45:47.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,8,13,2022-02-18T00:45:47Z,430000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M32.00S,2022-02-18T00:48:50.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203083,93.38042049934296,49.50980392156863,1610612751,10,13,2022-02-18T00:48:55Z,440000,-2.0,10.0,1,right,A. Drummond driving DUNK (2 PTS),[203083],1610612751.0,BKN,driving,,,Drummond,A. Drummond,,,,,1.0,Made,,,,,2.0,,,,,,,,,,,,,,
45,PT07M13.00S,2022-02-18T00:49:08.7Z,1,REGULAR,3pt,Jump Shot,[],203484,25.837713534822605,81.12745098039215,1610612764,10,13,2022-02-18T00:49:13Z,450000,-156.0,190.0,1,left,MISS K. Caldwell-Pope 24' 3PT,[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,24.59,Missed,,,,,,,,,,,,,,,,,,,
46,PT07M10.00S,2022-02-18T00:49:11.7Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,10,13,2022-02-18T00:49:13Z,460000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
47,PT06M59.00S,2022-02-18T00:49:27.7Z,1,REGULAR,foul,offensive,[],203083,,,1610612751,10,13,2022-02-18T00:49:32Z,470000,,,0,,A. Drummond charge offensive FOUL (1 PF),"[203083, 203526]",1610612751.0,BKN,charge,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,202053.0,,,,1.0,0.0,Neto,203526.0,
49,PT06M59.00S,2022-02-18T00:49:27.7Z,1,REGULAR,turnover,offensive foul,[],203083,,,1610612751,10,13,2022-02-18T00:49:27Z,490000,,,0,,A. Drummond offensive foul TURNOVER (2 TO),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,202053.0,2.0,,,,,,,
50,PT06M59.00S,2022-02-18T00:49:34.1Z,1,REGULAR,substitution,out,[],201988,,,1610612764,10,13,2022-02-18T00:49:50Z,500000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M59.00S,2022-02-18T00:49:34.1Z,1,REGULAR,substitution,out,[],1628418,,,1610612764,10,13,2022-02-18T00:49:50Z,510000,,,0,,SUB out: T. Bryant,[1628418],1610612764.0,WAS,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M59.00S,2022-02-18T00:49:34.1Z,1,REGULAR,substitution,out,[],1630557,,,1610612764,10,13,2022-02-18T00:49:50Z,520000,,,0,,SUB out: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M59.00S,2022-02-18T00:49:34.1Z,1,REGULAR,substitution,in,[],1630560,,,1610612764,10,13,2022-02-18T00:49:50Z,530000,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M59.00S,2022-02-18T00:49:34.1Z,1,REGULAR,substitution,in,[],1630166,,,1610612764,10,13,2022-02-18T00:49:50Z,540000,,,0,,SUB in: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M59.00S,2022-02-18T00:49:34.1Z,1,REGULAR,substitution,in,[],1629655,,,1610612764,10,13,2022-02-18T00:49:50Z,550000,,,0,,SUB in: D. Gafford,[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M43.00S,2022-02-18T00:50:18.1Z,1,REGULAR,foul,personal,[],1628971,,,1610612764,10,13,2022-02-18T00:50:22Z,560000,,,0,,B. Brown personal FOUL (1 PF),"[1628971, 1628398]",1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,202053.0,,,,1.0,0.0,Kuzma,1628398.0,
58,PT06M37.00S,2022-02-18T00:50:39.8Z,1,REGULAR,turnover,bad pass,[],1629655,,,1610612764,10,13,2022-02-18T00:50:42Z,580000,,,0,,D. Gafford bad pass TURNOVER (1 TO),"[1629655, 1630560]",1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,1.0,Thomas,1630560.0,,,,,
59,PT06M37.00S,2022-02-18T00:50:39.8Z,1,REGULAR,steal,,[],1630560,,,1610612751,10,13,2022-02-18T00:50:41Z,590000,,,0,,C. Thomas STEAL (1 STL),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M24.00S,2022-02-18T00:50:55.3Z,1,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612751,10,13,2022-02-18T00:51:08Z,600000,,,0,,D. Gafford shooting personal FOUL (1 PF) (Drummond 2 FT),"[1629655, 203083]",1610612764.0,WAS,shooting,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,202053.0,,,,1.0,0.0,Drummond,203083.0,
62,PT06M24.00S,2022-02-18T00:51:19.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203083,,,1610612751,10,13,2022-02-18T00:51:36Z,620000,,,0,,MISS A. Drummond Free Throw 1 of 2,[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,Missed,,,,,,,,,,,,,,,,,,,
63,PT06M24.00S,2022-02-18T00:51:19.9Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612751,10,13,2022-02-18T00:51:36Z,630000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,
64,PT06M24.00S,2022-02-18T00:51:19.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203083,,,1610612751,10,13,2022-02-18T00:51:36Z,640000,,,0,,MISS A. Drummond Free Throw 2 of 2,[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,Missed,,,,,,,,,,,,,,,,,,,
65,PT06M21.00S,2022-02-18T00:51:22.9Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,10,13,2022-02-18T00:51:36Z,650000,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
66,PT06M07.00S,2022-02-18T00:51:50.2Z,1,REGULAR,foul,personal,['2freethrow'],1630560,,,1610612764,10,13,2022-02-18T00:52:03Z,660000,,,0,,C. Thomas shooting personal FOUL (1 PF) (Avdija 2 FT),"[1630560, 1630166]",1610612751.0,BKN,shooting,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,1148.0,,,,1.0,0.0,Avdija,1630166.0,
68,PT06M07.00S,2022-02-18T00:52:12.5Z,1,REGULAR,freethrow,1 of 2,[],1630166,,,1610612764,10,14,2022-02-18T00:52:12Z,680000,,,0,,D. Avdija Free Throw 1 of 2 (1 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
69,PT06M07.00S,2022-02-18T00:52:25.5Z,1,REGULAR,freethrow,2 of 2,[],1630166,,,1610612764,10,15,2022-02-18T00:52:25Z,690000,,,0,,D. Avdija Free Throw 2 of 2 (2 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
70,PT05M54.00S,2022-02-18T00:52:41.8Z,1,REGULAR,2pt,Jump Shot,[],1630560,94.69448094612353,72.79411764705883,1610612751,12,15,2022-02-18T00:52:45Z,700000,114.0,-3.0,1,right,C. Thomas 11' pullup Jump Shot (2 PTS),[1630560],1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,11.4,Made,,,,,2.0,,,,,,,,,,,,,,
71,PT05M40.00S,2022-02-18T00:52:58.5Z,1,REGULAR,foul,personal,[],203083,,,1610612764,12,15,2022-02-18T00:53:05Z,710000,,,0,,A. Drummond personal FOUL (2 PF),"[203083, 1628398]",1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,201245.0,,,,2.0,0.0,Kuzma,1628398.0,
73,PT05M40.00S,2022-02-18T00:53:05.9Z,1,REGULAR,substitution,out,[],203083,,,1610612764,12,15,2022-02-18T00:53:10Z,730000,,,0,,SUB out: A. Drummond,[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M40.00S,2022-02-18T00:53:05.9Z,1,REGULAR,substitution,out,[],1630556,,,1610612764,12,15,2022-02-18T00:53:10Z,740000,,,0,,SUB out: K. Edwards,[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M40.00S,2022-02-18T00:53:05.9Z,1,REGULAR,substitution,in,[],200746,,,1610612764,12,15,2022-02-18T00:53:10Z,750000,,,0,,SUB in: L. Aldridge,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M40.00S,2022-02-18T00:53:05.9Z,1,REGULAR,substitution,in,[],1628975,,,1610612764,12,15,2022-02-18T00:53:10Z,760000,,,0,,SUB in: J. Carter,[1628975],1610612751.0,BKN,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M30.00S,2022-02-18T00:53:30.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203526,11.908672798948752,48.03921568627451,1610612764,12,15,2022-02-18T00:53:33Z,770000,10.0,59.0,1,left,MISS R. Neto 6' driving floating Shot,[203526],1610612764.0,WAS,driving floating,,,Neto,R. Neto,,,,,6.02,Missed,,,,,,,,,,,,,,,,,,,
78,PT05M27.00S,2022-02-18T00:53:33.1Z,1,REGULAR,rebound,offensive,[],203526,,,1610612764,12,15,2022-02-18T00:53:33Z,780000,,,0,,R. Neto REBOUND (Off:1 Def:1),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,77.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
79,PT05M27.00S,2022-02-18T00:53:33.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203526,5.590000152587891,50.0,1610612764,12,15,2022-02-18T00:53:33Z,790000,0.0,0.0,1,left,MISS R. Neto tip Layup,[203526],1610612764.0,WAS,tip,,,Neto,R. Neto,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M27.00S,2022-02-18T00:53:33.8Z,1,REGULAR,rebound,defensive,[],200746,,,1610612751,12,15,2022-02-18T00:53:33Z,800000,,,0,,L. Aldridge REBOUND (Off:0 Def:1),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,79.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
81,PT05M24.00S,2022-02-18T00:53:39.9Z,1,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612751,12,15,2022-02-18T00:53:49Z,810000,,,0,,D. Gafford shooting personal FOUL (2 PF) (Brown 2 FT),"[1629655, 1628971]",1610612764.0,WAS,shooting,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,201245.0,,,,2.0,0.0,Brown,1628971.0,
83,PT05M24.00S,2022-02-18T00:53:59.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628971,,,1610612751,13,15,2022-02-18T00:53:59Z,830000,,,0,,B. Brown Free Throw 1 of 2 (1 PTS),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
84,PT05M24.00S,2022-02-18T00:54:07.4Z,1,REGULAR,substitution,out,[],203526,,,1610612751,13,15,2022-02-18T00:54:13Z,840000,,,0,,SUB out: R. Neto,[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M24.00S,2022-02-18T00:54:07.4Z,1,REGULAR,substitution,in,[],202397,,,1610612751,13,15,2022-02-18T00:54:13Z,850000,,,0,,SUB in: I. Smith,[202397],1610612764.0,WAS,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M24.00S,2022-02-18T00:54:21.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628971,,,1610612751,14,15,2022-02-18T00:54:21Z,860000,,,0,,B. Brown Free Throw 2 of 2 (2 PTS),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
87,PT05M14.00S,2022-02-18T00:54:34.6Z,1,REGULAR,3pt,Jump Shot,[],1630166,27.94021024967148,21.323529411764707,1610612764,14,15,2022-02-18T00:54:40Z,870000,143.0,210.0,1,left,MISS D. Avdija 25' 3PT,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,25.44,Missed,,,,,,,,,,,,,,,,,,,
88,PT05M10.00S,2022-02-18T00:54:38.6Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,14,15,2022-02-18T00:54:40Z,880000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,87.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
89,PT04M58.00S,2022-02-18T00:54:56.2Z,1,REGULAR,foul,technical,['1freethrow'],1629655,,,1610612751,14,15,2022-02-18T00:55:05Z,890000,,,0,,D. Gafford defensive-3-second technical FOUL (1 Tech),[1629655],1610612764.0,WAS,defensive-3-second,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,202053.0,,,,2.0,1.0,,,
