actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
18,PT10M33.00S,2021-11-17T00:35:06.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,88.64980289093299,58.333333333333336,1610612751,5,2,2021-11-17T00:35:09Z,180000,42.0,54.0,1,right,K. Durant 6' pullup Jump Shot (2 PTS) (B. Brown 1 AST),"[201142, 1628971]",1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,,,,,,6.84,Made,2.0,B. Brown,1628971.0,1.0,,,,,,,,,,
20,PT10M21.00S,2021-11-17T00:35:19.1Z,1,REGULAR,3pt,Jump Shot,[],201939,26.10052562417871,85.5392156862745,1610612744,5,5,2021-11-17T00:35:22Z,200000,-178.0,193.0,1,left,S. Curry 26' 3PT pullup (3 PTS),[201939],1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,,,,,,26.22,Made,3.0,,,,,,,,,,,,,
21,PT10M00.00S,2021-11-17T00:35:41.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,94.69448094612353,52.20588235294118,1610612751,7,5,2021-11-17T00:35:46Z,210000,11.0,-3.0,1,right,B. Brown cutting Layup (2 PTS) (J. Harden 1 AST),"[1628971, 201935]",1610612751.0,BKN,cutting,,,Brown,B. Brown,,,,,,,,,,1.13,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,
23,PT10M00.00S,2021-11-17T00:35:43.8Z,1,REGULAR,foul,personal,['1freethrow'],1626172,,,1610612751,7,5,2021-11-17T00:35:56Z,230000,,,0,,K. Looney shooting personal FOUL (1 PF) (Brown 1 FT),"[1626172, 1628971]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,203593.0,1.0,0.0,Brown,1628971.0,,,,,,,,,,,,,,,,
25,PT10M00.00S,2021-11-17T00:36:06.7Z,1,REGULAR,freethrow,1 of 1,[],1628971,,,1610612751,7,5,2021-11-17T00:36:06Z,250000,,,0,,MISS B. Brown Free Throw 1 of 1,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,Missed,,,,,,,,,,,,,,
26,PT09M58.00S,2021-11-17T00:36:08.7Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,7,5,2021-11-17T00:36:09Z,260000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,
27,PT09M43.00S,2021-11-17T00:36:24.6Z,1,REGULAR,foul,personal,[],201933,,,1610612744,7,5,2021-11-17T00:36:35Z,270000,,,0,,B. Griffin personal FOUL (1 PF),"[201933, 1626172]",1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,2715.0,1.0,0.0,Looney,1626172.0,,,,,,,,,,,,,,,,
29,PT09M38.00S,2021-11-17T00:36:43.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,7.178055190538765,54.65686274509803,1610612744,7,7,2021-11-17T00:37:40Z,290000,-23.0,15.0,1,left,J. Poole driving reverse Layup (2 PTS) (S. Curry 1 AST),"[1629673, 201939]",1610612744.0,GSW,driving reverse,,,Poole,J. Poole,,,,,,,,,,2.77,Made,2.0,S. Curry,201939.0,1.0,,,,,,,,,,
31,PT09M27.00S,2021-11-17T00:36:56.0Z,1,REGULAR,foul,personal,['2freethrow'],203110,,,1610612751,7,7,2021-11-17T00:37:07Z,310000,,,0,,D. Green shooting personal FOUL (1 PF) (Griffin 2 FT),"[203110, 201933]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,2715.0,1.0,0.0,Griffin,201933.0,,,,,,,,,,,,,,,,
33,PT09M27.00S,2021-11-17T00:37:26.4Z,1,REGULAR,freethrow,1 of 2,[],201933,,,1610612751,8,7,2021-11-17T00:37:26Z,330000,,,0,,B. Griffin Free Throw 1 of 2 (1 PTS),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
34,PT09M27.00S,2021-11-17T00:37:46.1Z,1,REGULAR,freethrow,2 of 2,[],201933,,,1610612751,9,7,2021-11-17T00:37:46Z,340000,,,0,,B. Griffin Free Throw 2 of 2 (2 PTS),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
35,PT09M13.00S,2021-11-17T00:38:00.7Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,9,7,2021-11-17T00:38:04Z,350000,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 201933]",1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,1.0,,,,,Griffin,201933.0,,,
36,PT09M13.00S,2021-11-17T00:38:00.7Z,1,REGULAR,steal,,[],201933,,,1610612751,9,7,2021-11-17T00:38:02Z,360000,,,0,,B. Griffin STEAL (1 STL),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M04.00S,2021-11-17T00:38:10.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201142,78.97503285151117,64.48376225490196,1610612751,11,7,2021-11-17T00:38:21Z,370000,72.0,145.0,1,right,K. Durant 16' pullup Jump Shot (4 PTS),[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,,,,,,16.22,Made,4.0,,,,,,,,,,,,,
38,PT08M46.00S,2021-11-17T00:38:27.3Z,1,REGULAR,3pt,Jump Shot,[],203110,4.155716162943495,96.56862745098039,1610612744,11,7,2021-11-17T00:38:33Z,380000,-233.0,-13.0,1,left,MISS D. Green 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,23.32,Missed,,,,,,,,,,,,,,
39,PT08M43.00S,2021-11-17T00:38:30.3Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,11,7,2021-11-17T00:38:33Z,390000,,,0,,B. Griffin REBOUND (Off:0 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,
40,PT08M36.00S,2021-11-17T00:38:38.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,92.59198423127464,42.15686274509804,1610612751,13,7,2021-11-17T00:38:46Z,400000,-39.0,17.0,1,right,B. Brown turnaround Jump Shot (4 PTS) (J. Harden 2 AST),"[1628971, 201935]",1610612751.0,BKN,turnaround,,,Brown,B. Brown,,,,,,,,,,4.28,Made,4.0,J. Harden,201935.0,2.0,,,,,,,,,,
42,PT08M29.00S,2021-11-17T00:38:47.7Z,1,REGULAR,foul,offensive,[],201939,,,1610612744,13,7,2021-11-17T00:38:57Z,420000,,,0,,S. Curry charge offensive FOUL (1 PF),"[201939, 201988]",1610612744.0,GSW,charge,,,Curry,S. Curry,,,,,203591.0,1.0,0.0,Mills,201988.0,,,,,,,,,,,,,,,,
44,PT08M29.00S,2021-11-17T00:38:47.7Z,1,REGULAR,turnover,offensive foul,[],201939,,,1610612744,13,7,2021-11-17T00:38:47Z,440000,,,0,,S. Curry offensive foul TURNOVER (1 TO),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,203591.0,,,,,,,,,,,1.0,,,,,,,,,
45,PT08M13.00S,2021-11-17T00:39:15.9Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612751,13,7,2021-11-17T00:39:21Z,450000,,,0,,J. Harden bad pass TURNOVER (2 TO),"[201935, 201939]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,2.0,,,,,Curry,201939.0,,,
46,PT08M13.00S,2021-11-17T00:39:15.9Z,1,REGULAR,steal,,[],201939,,,1610612744,13,7,2021-11-17T00:39:18Z,460000,,,0,,S. Curry STEAL (1 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M04.00S,2021-11-17T00:39:24.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629673,6.652431011826544,53.431372549019606,1610612744,13,9,2021-11-17T00:39:33Z,470000,-17.0,10.0,1,left,J. Poole running Layup (4 PTS),[1629673],1610612744.0,GSW,running,,,Poole,J. Poole,,,,,,,,,,1.99,Made,4.0,,,,,,,,,,,,,
48,PT07M52.00S,2021-11-17T00:39:36.8Z,1,REGULAR,turnover,lost ball,[],201935,,,1610612751,13,9,2021-11-17T00:39:40Z,480000,,,0,,J. Harden lost ball TURNOVER (3 TO),"[201935, 201939]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,3.0,,,,,Curry,201939.0,,,
49,PT07M52.00S,2021-11-17T00:39:36.8Z,1,REGULAR,steal,,[],201939,,,1610612744,13,9,2021-11-17T00:39:38Z,490000,,,0,,S. Curry STEAL (2 STL),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M46.00S,2021-11-17T00:39:43.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203110,6.783837056504599,54.41176470588235,1610612744,13,11,2021-11-17T00:39:48Z,500000,-22.0,11.0,1,left,D. Green Layup (2 PTS) (S. Curry 2 AST),"[203110, 201939]",1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,2.48,Made,2.0,S. Curry,201939.0,2.0,,,,,,,,,,
52,PT07M31.00S,2021-11-17T00:39:59.3Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612751,13,11,2021-11-17T00:40:06Z,520000,,,0,,K. Looney shooting personal FOUL (2 PF) (Harden 2 FT),"[1626172, 201935]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,203591.0,2.0,0.0,Harden,201935.0,,,,,,,,,,,,,,,,
54,PT07M31.00S,2021-11-17T00:40:39.3Z,1,REGULAR,freethrow,1 of 2,[],201935,,,1610612751,14,11,2021-11-17T00:40:39Z,540000,,,0,,J. Harden Free Throw 1 of 2 (1 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
55,PT07M31.00S,2021-11-17T00:41:01.3Z,1,REGULAR,freethrow,2 of 2,[],201935,,,1610612751,15,11,2021-11-17T00:41:01Z,550000,,,0,,J. Harden Free Throw 2 of 2 (2 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
56,PT07M19.00S,2021-11-17T00:41:15.6Z,1,REGULAR,3pt,Jump Shot,[],1629673,6.521024967148489,5.637254901960785,1610612744,15,11,2021-11-17T00:41:19Z,560000,222.0,9.0,1,left,MISS J. Poole 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,22.2,Missed,,,,,,,,,,,,,,
57,PT07M18.00S,2021-11-17T00:41:17.0Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,15,11,2021-11-17T00:41:17Z,570000,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,56.0,2.0,1.0,1.0,,,,,
58,PT07M08.00S,2021-11-17T00:41:26.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201939,27.283180026281208,20.833333333333336,1610612744,15,14,2021-11-17T00:41:33Z,580000,146.0,204.0,1,left,S. Curry 25' 3PT step back (6 PTS),[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,,,,,,25.07,Made,6.0,,,,,,,,,,,,,
60,PT06M57.00S,2021-11-17T00:41:38.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,92.72339027595268,46.07843137254902,1610612751,17,14,2021-11-17T00:41:52Z,600000,-20.0,16.0,1,right,J. Harden driving finger roll Layup (4 PTS),[201935],1610612751.0,BKN,driving finger roll,,,Harden,J. Harden,,,,,,,,,,2.52,Made,4.0,,,,,,,,,,,,,
61,PT06M44.00S,2021-11-17T00:41:50.8Z,1,REGULAR,3pt,Jump Shot,[],203952,32.013797634691194,63.725490196078425,1610612744,17,14,2021-11-17T00:41:54Z,610000,-69.0,248.0,1,left,MISS A. Wiggins 25' pullup 3PT,[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,,,,,,25.77,Missed,,,,,,,,,,,,,,
62,PT06M44.00S,2021-11-17T00:41:50.8Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,17,14,2021-11-17T00:41:54Z,620000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,,61.0,1.0,1.0,0.0,,,,,
63,PT06M31.00S,2021-11-17T00:42:03.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,91.5407358738502,39.705882352941174,1610612751,17,14,2021-11-17T00:42:08Z,630000,-51.0,27.0,1,right,MISS K. Durant driving floating Shot,[201142],1610612751.0,BKN,driving floating,,,Durant,K. Durant,,,,,,,,,,5.81,Missed,,,,,,,,,,,,,,
64,PT06M29.00S,2021-11-17T00:42:05.2Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,17,14,2021-11-17T00:42:05Z,640000,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,63.0,1.0,1.0,0.0,,,,,
65,PT06M23.00S,2021-11-17T00:42:11.2Z,1,REGULAR,3pt,Jump Shot,[],1629673,34.247700394218136,71.32352941176471,1610612744,17,14,2021-11-17T00:42:21Z,650000,-107.0,269.0,1,left,MISS J. Poole 28' pullup 3PT,[1629673],1610612744.0,GSW,pullup,,,Poole,J. Poole,,,,,,,,,,28.97,Missed,,,,,,,,,,,,,,
66,PT06M21.00S,2021-11-17T00:42:13.2Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,17,14,2021-11-17T00:42:21Z,660000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,65.0,1.0,1.0,0.0,,,,,
67,PT06M19.00S,2021-11-17T00:42:19.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,17,14,2021-11-17T00:42:19Z,670000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M19.00S,2021-11-17T00:43:18.4Z,1,REGULAR,substitution,out,[],1626172,,,1610612751,17,14,2021-11-17T00:45:47Z,680000,,,0,,SUB out: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M19.00S,2021-11-17T00:43:18.4Z,1,REGULAR,substitution,out,[],201939,,,1610612751,17,14,2021-11-17T00:45:47Z,690000,,,0,,SUB out: S. Curry,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M19.00S,2021-11-17T00:43:18.4Z,1,REGULAR,substitution,in,[],1627780,,,1610612751,17,14,2021-11-17T00:45:47Z,700000,,,0,,SUB in: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M19.00S,2021-11-17T00:43:18.4Z,1,REGULAR,substitution,in,[],202357,,,1610612751,17,14,2021-11-17T00:45:47Z,710000,,,0,,SUB in: N. Bjelica,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M10.00S,2021-11-17T00:46:02.3Z,1,REGULAR,3pt,Jump Shot,[],201142,68.80749014454665,76.47058823529412,1610612751,20,14,2021-11-17T00:46:06Z,720000,132.0,241.0,1,right,K. Durant 27' 3PT pullup (7 PTS) (P. Mills 1 AST),"[201142, 201988]",1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,,,,,,27.47,Made,7.0,P. Mills,201988.0,1.0,,,,,,,,,,
74,PT05M44.00S,2021-11-17T00:46:27.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203110,6.258212877792378,41.42156862745098,1610612744,20,16,2021-11-17T00:47:21Z,740000,43.0,6.0,1,left,D. Green bank Hook (4 PTS),[203110],1610612744.0,GSW,bank,,,Green,D. Green,,,,,,,,,,4.34,Made,4.0,,,,,,,,,,,,,
75,PT05M32.00S,2021-11-17T00:46:43.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,20,16,2021-11-17T00:46:43Z,750000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M21.00S,2021-11-17T00:47:09.9Z,1,REGULAR,3pt,Jump Shot,[],201935,67.62483574244416,62.5,1610612751,20,16,2021-11-17T00:47:13Z,760000,62.0,252.0,1,right,MISS J. Harden 25' 3PT,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,25.94,Missed,,,,,,,,,,,,,,
77,PT05M19.00S,2021-11-17T00:47:11.9Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,20,16,2021-11-17T00:47:13Z,770000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,76.0,1.0,1.0,0.0,,,,,
78,PT05M10.00S,2021-11-17T00:47:21.1Z,1,REGULAR,2pt,Jump Shot,[],203952,13.091327201051248,13.970588235294118,1610612744,20,16,2021-11-17T00:47:24Z,780000,180.0,71.0,1,left,MISS A. Wiggins 19' pullup Shot,[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,,,,,,19.34,Missed,,,,,,,,,,,,,,
79,PT05M07.00S,2021-11-17T00:47:24.1Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,20,16,2021-11-17T00:47:24Z,790000,,,0,,B. Brown REBOUND (Off:0 Def:2),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,78.0,2.0,2.0,0.0,,,,,
80,PT04M53.00S,2021-11-17T00:47:39.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203952,,,1610612751,20,16,2021-11-17T00:47:45Z,800000,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Griffin 2 FT),"[203952, 201933]",1610612744.0,GSW,shooting,,,Wiggins,A. Wiggins,,,,,2715.0,1.0,0.0,Griffin,201933.0,,,,,,,,,,,,,,,,
82,PT04M53.00S,2021-11-17T00:48:08.1Z,1,REGULAR,freethrow,1 of 2,[],201933,,,1610612751,21,16,2021-11-17T00:48:08Z,820000,,,0,,B. Griffin Free Throw 1 of 2 (3 PTS),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
83,PT04M53.00S,2021-11-17T00:48:25.5Z,1,REGULAR,freethrow,2 of 2,[],201933,,,1610612751,22,16,2021-11-17T00:48:25Z,830000,,,0,,B. Griffin Free Throw 2 of 2 (4 PTS),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
84,PT04M42.00S,2021-11-17T00:48:37.9Z,1,REGULAR,3pt,Jump Shot,[],202357,25.57490144546649,17.647058823529413,1610612744,22,16,2021-11-17T00:48:46Z,840000,162.0,188.0,1,left,MISS N. Bjelica 24' 3PT,[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,24.8,Missed,,,,,,,,,,,,,,
85,PT04M40.00S,2021-11-17T00:48:39.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,22,16,2021-11-17T00:48:46Z,850000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,
86,PT04M40.00S,2021-11-17T00:48:44.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,22,16,2021-11-17T00:48:44Z,860000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M28.00S,2021-11-17T00:48:59.7Z,1,REGULAR,3pt,Jump Shot,[],1628971,91.14651773981603,95.83333333333334,1610612751,25,16,2021-11-17T00:49:05Z,870000,229.0,31.0,1,right,B. Brown 3PT  (7 PTS) (P. Mills 2 AST),"[1628971, 201988]",1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,23.12,Made,7.0,P. Mills,201988.0,2.0,,,,,,,,,,
89,PT04M12.00S,2021-11-17T00:49:16.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627780,5.863994743758213,47.549019607843135,1610612744,25,18,2021-11-17T00:49:23Z,890000,12.0,3.0,1,left,G. Payton II cutting Layup (2 PTS) (J. Poole 1 AST),"[1627780, 1629673]",1610612744.0,GSW,cutting,,,Payton II,G. Payton II,,,,,,,,,,1.26,Made,2.0,J. Poole,1629673.0,1.0,,,,,,,,,,
91,PT03M55.00S,2021-11-17T00:49:38.9Z,1,REGULAR,3pt,Jump Shot,[],201935,66.83639947437582,49.50980392156863,1610612751,25,18,2021-11-17T00:49:43Z,910000,-2.0,259.0,1,right,MISS J. Harden 25' step back 3PT,[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,,,,,,25.92,Missed,,,,,,,,,,,,,,
92,PT03M53.00S,2021-11-17T00:49:40.9Z,1,REGULAR,rebound,defensive,[],202357,,,1610612744,25,18,2021-11-17T00:49:43Z,920000,,,0,,N. Bjelica REBOUND (Off:0 Def:1),[202357],1610612744.0,GSW,,,,Bjelica,N. Bjelica,,,,,,,,,,,,,,,,,91.0,1.0,1.0,0.0,,,,,
93,PT03M46.00S,2021-11-17T00:49:48.4Z,1,REGULAR,2pt,Jump Shot,[],1629673,24.392247043363994,57.35294117647059,1610612744,25,20,2021-11-17T00:49:58Z,930000,-37.0,177.0,1,left,J. Poole 18' pullup Jump Shot (6 PTS),[1629673],1610612744.0,GSW,pullup,,,Poole,J. Poole,,,,,,,,,,18.06,Made,6.0,,,,,,,,,,,,,
94,PT03M34.00S,2021-11-17T00:50:00.3Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612751,25,20,2021-11-17T00:50:06Z,940000,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 203110]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,,,,,,,1.0,,,,,Green,203110.0,,,
95,PT03M34.00S,2021-11-17T00:50:00.3Z,1,REGULAR,steal,,[],203110,,,1610612744,25,20,2021-11-17T00:50:02Z,950000,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
