actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
28,PT09M11.00S,2021-10-31T23:44:35.6Z,1,REGULAR,rebound,defensive,[],203925,,,1610612751,5,4,2021-10-31T23:44:38Z,280000,,,0,,J. Harris REBOUND (Off:0 Def:1),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,27.0,,,1.0,1.0,0.0,,,,,,,,,
29,PT09M09.00S,2021-10-31T23:44:41.5Z,1,REGULAR,violation,kicked ball,[],1630165,,,1610612751,5,4,2021-10-31T23:44:48Z,290000,,,0,,K. Hayes kicked ball VIOLATION,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,1626302.0,,,,,,,,,,,,,,,,,,,,
30,PT08M58.00S,2021-10-31T23:45:03.1Z,1,REGULAR,turnover,bad pass,[],201933,,,1610612751,5,4,2021-10-31T23:45:11Z,300000,,,0,,B. Griffin bad pass TURNOVER (1 TO),"[201933, 1630180]",1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,1.0,Bey,1630180.0,,,
31,PT08M58.00S,2021-10-31T23:45:03.1Z,1,REGULAR,steal,,[],1630180,,,1610612765,5,4,2021-10-31T23:45:05Z,310000,,,0,,S. Bey STEAL (1 STL),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,
32,PT08M52.00S,2021-10-31T23:45:09.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628977,4.944152431011826,48.77450980392157,1610612765,5,4,2021-10-31T23:45:15Z,320000,6.0,-6.0,1,left,MISS H. Diallo reverse Layup,[1628977],1610612765.0,DET,reverse,,,Diallo,H. Diallo,,,,,,,,,,Missed,,,0.86,,,,,,,,,,,,
33,PT08M50.00S,2021-10-31T23:45:11.6Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,5,4,2021-10-31T23:45:15Z,330000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,32.0,,,1.0,1.0,0.0,,,,,,,,,
34,PT08M42.00S,2021-10-31T23:45:19.8Z,1,REGULAR,3pt,Jump Shot,[],201142,69.33311432325887,67.8921568627451,1610612751,8,4,2021-10-31T23:45:24Z,340000,89.0,236.0,1,right,K. Durant 25' 3PT step back (5 PTS),[201142],1610612751.0,BKN,step back,,,Durant,K. Durant,,,,,,,,,,Made,,5.0,25.22,,,,,,,,,,,,
35,PT08M21.00S,2021-10-31T23:45:46.3Z,1,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612765,8,4,2021-10-31T23:45:56Z,350000,,,0,,B. Brown shooting personal FOUL (1 PF) (Hayes 2 FT),"[1628971, 1630165]",1610612751.0,BKN,shooting,,,Brown,B. Brown,,,,,1626302.0,1.0,0.0,Hayes,1630165.0,,,,,,,,,,,,,,,,
37,PT08M21.00S,2021-10-31T23:46:07.2Z,1,REGULAR,freethrow,1 of 2,[],1630165,,,1610612765,8,5,2021-10-31T23:46:07Z,370000,,,0,,K. Hayes Free Throw 1 of 2 (3 PTS),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,Made,,3.0,,,,,,,,,,,,,
38,PT08M21.00S,2021-10-31T23:46:19.3Z,1,REGULAR,freethrow,2 of 2,[],1630165,,,1610612765,8,6,2021-10-31T23:46:19Z,380000,,,0,,K. Hayes Free Throw 2 of 2 (4 PTS),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,Made,,4.0,,,,,,,,,,,,,
39,PT08M11.00S,2021-10-31T23:46:30.4Z,1,REGULAR,3pt,Jump Shot,[],203925,68.15045992115637,36.51960784313725,1610612751,8,6,2021-10-31T23:46:35Z,390000,-67.0,247.0,1,right,MISS J. Harris 25' 3PT,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,Missed,,,25.59,,,,,,,,,,,,
40,PT08M08.00S,2021-10-31T23:46:33.4Z,1,REGULAR,rebound,defensive,[],203924,,,1610612765,8,6,2021-10-31T23:46:35Z,400000,,,0,,J. Grant REBOUND (Off:0 Def:2),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,39.0,,,2.0,2.0,0.0,,,,,,,,,
41,PT07M59.00S,2021-10-31T23:46:42.4Z,1,REGULAR,3pt,Jump Shot,[],1630165,30.831143232588698,34.068627450980394,1610612765,8,6,2021-10-31T23:46:49Z,410000,80.0,237.0,1,left,MISS K. Hayes 25' 3PT,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,Missed,,,25.03,,,,,,,,,,,,
42,PT07M56.00S,2021-10-31T23:46:45.4Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,8,6,2021-10-31T23:46:49Z,420000,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,41.0,,,2.0,2.0,0.0,,,,,,,,,
43,PT07M54.00S,2021-10-31T23:46:49.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201142,94.56307490144546,51.225490196078425,1610612751,10,6,2021-10-31T23:46:55Z,430000,6.0,-1.0,1,right,K. Durant running Layup (7 PTS) (J. Harden 1 AST),"[201142, 201935]",1610612751.0,BKN,running,,,Durant,K. Durant,,,,,,,,,,Made,,7.0,0.63,,,,J. Harden,201935.0,1.0,,,,,,
45,PT07M54.00S,2021-10-31T23:46:51.8Z,1,REGULAR,foul,personal,['1freethrow'],1630165,,,1610612751,10,6,2021-10-31T23:47:02Z,450000,,,0,,K. Hayes shooting personal FOUL (1 PF) (Durant 1 FT),"[1630165, 201142]",1610612765.0,DET,shooting,,,Hayes,K. Hayes,,,,,202053.0,1.0,0.0,Durant,201142.0,,,,,,,,,,,,,,,,
47,PT07M54.00S,2021-10-31T23:47:24.0Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],201142,,,1610612751,11,6,2021-10-31T23:47:24Z,470000,,,0,,K. Durant Free Throw 1 of 1 (8 PTS),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,,,,Made,,8.0,,,,,,,,,,,,,
48,PT07M39.00S,2021-10-31T23:47:43.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,11,6,2021-10-31T23:47:43Z,480000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M39.00S,2021-10-31T23:47:44.2Z,1,REGULAR,substitution,out,[],1628971,,,1610612765,11,6,2021-10-31T23:47:53Z,490000,,,0,,SUB out: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M39.00S,2021-10-31T23:47:44.2Z,1,REGULAR,substitution,in,[],201988,,,1610612765,11,6,2021-10-31T23:47:53Z,500000,,,0,,SUB in: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M30.00S,2021-10-31T23:48:09.6Z,1,REGULAR,2pt,Jump Shot,[],203924,19.92444152431012,74.26470588235294,1610612765,11,6,2021-10-31T23:48:15Z,510000,-121.0,135.0,1,left,MISS J. Grant 18' pullup Shot,[203924],1610612765.0,DET,pullup,,,Grant,J. Grant,,,,,,,,,,Missed,,,18.13,,,,,,,,,,,,
52,PT07M24.00S,2021-10-31T23:48:14.2Z,1,REGULAR,rebound,defensive,[],203925,,,1610612751,11,6,2021-10-31T23:48:14Z,520000,,,0,,J. Harris REBOUND (Off:0 Def:2),[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,,51.0,,,2.0,2.0,0.0,,,,,,,,,
53,PT07M15.00S,2021-10-31T23:48:23.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203925,93.24901445466492,51.470588235294116,1610612751,13,6,2021-10-31T23:48:28Z,530000,7.0,11.0,1,right,J. Harris driving reverse Layup (4 PTS) (J. Harden 2 AST),"[203925, 201935]",1610612751.0,BKN,driving reverse,,,Harris,J. Harris,,,,,,,,,,Made,,4.0,1.33,,,,J. Harden,201935.0,2.0,,,,,,
55,PT07M02.00S,2021-10-31T23:48:36.7Z,1,REGULAR,2pt,Jump Shot,[],1630180,24.26084099868594,69.11764705882352,1610612765,13,8,2021-10-31T23:48:40Z,550000,-96.0,176.0,1,left,S. Bey 19' pullup Jump Shot (2 PTS),[1630180],1610612765.0,DET,pullup,,,Bey,S. Bey,,,,,,,,,,Made,,2.0,19.99,,,,,,,,,,,,
56,PT06M50.00S,2021-10-31T23:48:48.7Z,1,REGULAR,3pt,Jump Shot,[],203925,95.6143232588699,96.81372549019608,1610612751,16,8,2021-10-31T23:48:53Z,560000,234.0,-11.0,1,right,J. Harris 3PT  (7 PTS) (B. Griffin 1 AST),"[203925, 201933]",1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,,,Made,,7.0,23.44,,,,B. Griffin,201933.0,1.0,,,,,,
58,PT06M41.00S,2021-10-31T23:49:02.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,16,8,2021-10-31T23:49:02Z,580000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M26.00S,2021-10-31T23:52:13.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,5.469776609724048,46.568627450980394,1610612765,16,10,2021-10-31T23:52:17Z,590000,17.0,-1.0,1,left,J. Grant driving Layup (4 PTS) (S. Bey 1 AST),"[203924, 1630180]",1610612765.0,DET,driving,,,Grant,J. Grant,,,,,,,,,,Made,,4.0,1.72,,,,S. Bey,1630180.0,1.0,,,,,,
61,PT06M02.00S,2021-10-31T23:52:37.8Z,1,REGULAR,2pt,Jump Shot,[],201142,94.30026281208936,69.6078431372549,1610612751,16,10,2021-10-31T23:52:43Z,610000,98.0,1.0,1,right,MISS K. Durant 9' turnaround fadeaway Shot,[201142],1610612751.0,BKN,turnaround fadeaway,,,Durant,K. Durant,,,,,,,,,,Missed,,,9.8,,,,,,,,,,,,
62,PT05M59.00S,2021-10-31T23:52:40.8Z,1,REGULAR,rebound,defensive,[],1630165,,,1610612765,16,10,2021-10-31T23:52:43Z,620000,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,61.0,,,1.0,1.0,0.0,,,,,,,,,
63,PT05M54.00S,2021-10-31T23:52:49.8Z,1,REGULAR,foul,personal,[],201933,,,1610612765,16,10,2021-10-31T23:52:59Z,630000,,,0,,B. Griffin personal FOUL (1 PF),"[201933, 1630191]",1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,1626302.0,1.0,0.0,Stewart,1630191.0,,,,,,,,,,,,,,,,
65,PT05M44.00S,2021-10-31T23:53:14.2Z,1,REGULAR,3pt,Jump Shot,[],1630180,28.991458607095925,76.22549019607843,1610612765,16,10,2021-10-31T23:53:20Z,650000,-131.0,220.0,1,left,MISS S. Bey 25' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,Missed,,,25.61,,,,,,,,,,,,
66,PT05M44.00S,2021-10-31T23:53:14.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,16,10,2021-10-31T23:53:20Z,660000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,
67,PT05M44.00S,2021-10-31T23:53:18.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,16,10,2021-10-31T23:53:18Z,670000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M30.00S,2021-10-31T23:53:37.7Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612751,16,10,2021-10-31T23:53:41Z,680000,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1630165]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,1.0,Hayes,1630165.0,,,
69,PT05M30.00S,2021-10-31T23:53:37.7Z,1,REGULAR,steal,,[],1630165,,,1610612765,16,10,2021-10-31T23:53:39Z,690000,,,0,,K. Hayes STEAL (1 STL),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M25.00S,2021-10-31T23:53:43.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203924,6.652431011826544,2.696078431372549,1610612765,16,10,2021-10-31T23:53:59Z,700000,237.0,10.0,1,left,MISS J. Grant 3PT,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,Missed,,,23.67,,,,,,,,,,,,
71,PT05M22.00S,2021-10-31T23:53:46.0Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,16,10,2021-10-31T23:53:59Z,710000,,,0,,B. Griffin REBOUND (Off:0 Def:2),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,70.0,,,2.0,2.0,0.0,,,,,,,,,
72,PT05M20.00S,2021-10-31T23:53:52.8Z,1,REGULAR,foul,offensive,[],201142,,,1610612751,16,10,2021-10-31T23:53:57Z,720000,,,0,,K. Durant charge offensive FOUL (1 PF),"[201142, 1630165]",1610612751.0,BKN,charge,,,Durant,K. Durant,,,,,202053.0,1.0,0.0,Hayes,1630165.0,,,,,,,,,,,,,,,,
74,PT05M20.00S,2021-10-31T23:53:52.8Z,1,REGULAR,turnover,offensive foul,[],201142,,,1610612751,16,10,2021-10-31T23:53:52Z,740000,,,0,,K. Durant offensive foul TURNOVER (1 TO),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,202053.0,,,,,,,,,,,,,,,1.0,,,,,
75,PT05M20.00S,2021-10-31T23:53:59.8Z,1,REGULAR,substitution,out,[],1628977,,,1610612765,16,10,2021-10-31T23:54:10Z,750000,,,0,,SUB out: H. Diallo,[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M20.00S,2021-10-31T23:53:59.8Z,1,REGULAR,substitution,out,[],1630165,,,1610612765,16,10,2021-10-31T23:54:10Z,760000,,,0,,SUB out: K. Hayes,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M20.00S,2021-10-31T23:53:59.8Z,1,REGULAR,substitution,out,[],1630191,,,1610612765,16,10,2021-10-31T23:54:10Z,770000,,,0,,SUB out: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M20.00S,2021-10-31T23:53:59.8Z,1,REGULAR,substitution,in,[],1628367,,,1610612765,16,10,2021-10-31T23:54:10Z,780000,,,0,,SUB in: J. Jackson,[1628367],1610612765.0,DET,,,,Jackson,J. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M20.00S,2021-10-31T23:53:59.8Z,1,REGULAR,substitution,in,[],203482,,,1610612765,16,10,2021-10-31T23:54:10Z,790000,,,0,,SUB in: K. Olynyk,[203482],1610612765.0,DET,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M20.00S,2021-10-31T23:53:59.8Z,1,REGULAR,substitution,in,[],202709,,,1610612765,16,10,2021-10-31T23:54:10Z,800000,,,0,,SUB in: C. Joseph,[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M02.00S,2021-10-31T23:54:33.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203924,30.699737187910642,65.68627450980392,1610612765,16,13,2021-10-31T23:54:38Z,810000,-78.0,236.0,1,left,J. Grant 24' 3PT  (7 PTS) (J. Jackson 1 AST),"[203924, 1628367]",1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,Made,,7.0,24.88,,,,J. Jackson,1628367.0,1.0,,,,,,
83,PT04M33.00S,2021-10-31T23:55:02.4Z,1,REGULAR,2pt,Jump Shot,[],201935,75.50919842312747,36.51960784313725,1610612751,18,13,2021-10-31T23:55:06Z,830000,-67.0,178.0,1,right,J. Harden 19' step back Jump Shot (2 PTS),[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,,,,,,Made,,2.0,19.01,,,,,,,,,,,,
84,PT04M12.00S,2021-10-31T23:55:23.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628367,12.171484888304862,44.36274509803921,1610612765,18,13,2021-10-31T23:55:29Z,840000,28.0,62.0,1,left,MISS J. Jackson 6' floating Shot - blocked,"[1628367, 201933]",1610612765.0,DET,floating,,,Jackson,J. Jackson,,,,,,,,,,Missed,,,6.8,,,,,,,,,,Griffin,201933.0,
85,PT04M12.00S,2021-10-31T23:55:23.4Z,1,REGULAR,block,,[],201933,,,1610612765,18,13,2021-10-31T23:55:26Z,850000,,,0,,B. Griffin BLOCK (1 BLK),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M10.00S,2021-10-31T23:55:25.4Z,1,REGULAR,rebound,offensive,[],1628367,,,1610612765,18,13,2021-10-31T23:55:29Z,860000,,,0,,J. Jackson REBOUND (Off:1 Def:0),[1628367],1610612765.0,DET,,,,Jackson,J. Jackson,,,,,,,,,,,84.0,,,1.0,0.0,1.0,,,,,,,,,
87,PT04M10.00S,2021-10-31T23:55:27.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628367,8.754927726675426,47.30392156862745,1610612765,18,13,2021-10-31T23:55:32Z,870000,13.0,30.0,1,left,MISS J. Jackson floating Shot,[1628367],1610612765.0,DET,floating,,,Jackson,J. Jackson,,,,,,,,,,Missed,,,3.27,,,,,,,,,,,,
88,PT04M10.00S,2021-10-31T23:55:27.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,18,13,2021-10-31T23:55:32Z,880000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,87.0,,,,,,,,,,,,,,
89,PT04M10.00S,2021-10-31T23:55:30.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,18,13,2021-10-31T23:55:30Z,890000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M10.00S,2021-10-31T23:55:31.6Z,1,REGULAR,substitution,out,[],201933,,,1610612751,18,13,2021-10-31T23:55:49Z,900000,,,0,,SUB out: B. Griffin,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M10.00S,2021-10-31T23:55:31.6Z,1,REGULAR,substitution,in,[],200746,,,1610612751,18,13,2021-10-31T23:55:49Z,910000,,,0,,SUB in: L. Aldridge,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,,
