actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
20,PT10M31.00S,2021-11-20T00:41:53.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,3,2021-11-20T00:41:55Z,200000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
21,PT10M21.00S,2021-11-20T00:42:03.3Z,1,REGULAR,3pt,Jump Shot,[],1630591,67.09921156373193,58.57843137254902,1610612753,2,6,2021-11-20T00:42:13Z,210000,43.0,257.0,1,right,J. Suggs 26' 3PT step back (6 PTS),[1630591],1610612753.0,ORL,step back,,,Suggs,J. Suggs,,,,,26.04,Made,,,,,,,6.0,,,,,,,,,,,,
22,PT10M08.00S,2021-11-20T00:42:16.2Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612751,2,6,2021-11-20T00:42:21Z,220000,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1630532]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,1.0,Wagner,1630532.0,,,,,,
23,PT10M08.00S,2021-11-20T00:42:16.2Z,1,REGULAR,steal,,[],1630532,,,1610612753,2,6,2021-11-20T00:42:18Z,230000,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M06.00S,2021-11-20T00:42:21.9Z,1,REGULAR,foul,personal,['2freethrow'],201935,,,1610612753,2,6,2021-11-20T00:42:52Z,240000,,,0,,J. Harden shooting personal FOUL (1 PF) (Suggs 2 FT),"[201935, 1630591]",1610612751.0,BKN,shooting,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,1627964.0,1.0,0.0,Suggs,1630591.0,
26,PT10M06.00S,2021-11-20T00:42:52.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630591,,,1610612753,2,6,2021-11-20T00:42:52Z,260000,,,0,,MISS J. Suggs Free Throw 1 of 2,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,Missed,,,,,,,,,,,,,,,,,,,
27,PT10M06.00S,2021-11-20T00:42:52.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,2,6,2021-11-20T00:42:52Z,270000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,
28,PT10M06.00S,2021-11-20T00:42:54.1Z,1,REGULAR,substitution,out,[],1630532,,,1610612753,2,6,2021-11-20T00:42:59Z,280000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT10M06.00S,2021-11-20T00:42:54.1Z,1,REGULAR,substitution,in,[],203082,,,1610612753,2,6,2021-11-20T00:42:59Z,290000,,,0,,SUB in: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT10M06.00S,2021-11-20T00:43:12.1Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630591,,,1610612753,2,7,2021-11-20T00:43:12Z,300000,,,0,,J. Suggs Free Throw 2 of 2 (7 PTS),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,Made,,,,,,,7.0,,,,,,,,,,,,
31,PT09M55.00S,2021-11-20T00:43:24.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,12.302890932982917,52.450980392156865,1610612751,4,7,2021-11-20T00:43:28Z,310000,-12.0,63.0,1,left,J. Harden 6' driving floating Jump Shot (2 PTS),[201935],1610612751.0,BKN,driving floating,,,Harden,J. Harden,,,,,6.43,Made,,,,,,,2.0,,,,,,,,,,,,
32,PT09M42.00S,2021-11-20T00:43:37.7Z,1,REGULAR,3pt,Jump Shot,[],1630175,91.01511169513797,93.87254901960785,1610612753,4,7,2021-11-20T00:43:41Z,320000,219.0,32.0,1,right,MISS C. Anthony 3PT,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,22.17,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M39.00S,2021-11-20T00:43:40.7Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,4,7,2021-11-20T00:43:41Z,330000,,,0,,B. Griffin REBOUND (Off:1 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,32.0,2.0,1.0,1.0,,,,,,,,,,,,,
34,PT09M25.00S,2021-11-20T00:43:54.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,6.389618922470433,57.107843137254896,1610612751,4,7,2021-11-20T00:43:59Z,340000,-36.0,8.0,1,left,MISS J. Harden driving Layup,[201935],1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,3.63,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M23.00S,2021-11-20T00:43:56.8Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,4,7,2021-11-20T00:43:59Z,350000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:2),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,
36,PT09M20.00S,2021-11-20T00:43:59.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630591,89.17542706964521,43.38235294117647,1610612753,4,7,2021-11-20T00:44:16Z,360000,-33.0,49.0,1,right,MISS J. Suggs driving Layup - blocked,"[1630591, 201988]",1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,5.94,Missed,Mills,201988.0,,,,,,,,,,,,,,,,,
37,PT09M20.00S,2021-11-20T00:43:59.7Z,1,REGULAR,block,,[],201988,,,1610612753,4,7,2021-11-20T00:44:02Z,370000,,,0,,P. Mills BLOCK (1 BLK),[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M17.00S,2021-11-20T00:44:02.7Z,1,REGULAR,rebound,offensive,[],1630591,,,1610612753,4,7,2021-11-20T00:44:16Z,380000,,,0,,J. Suggs REBOUND (Off:1 Def:0),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,36.0,1.0,0.0,1.0,,,,,,,,,,,,,
39,PT09M12.00S,2021-11-20T00:44:08.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203082,91.67214191852825,29.166666666666668,1610612753,4,7,2021-11-20T00:44:26Z,390000,-104.0,26.0,1,right,MISS T. Ross 10' driving floating Shot - blocked,"[203082, 1627761]",1610612753.0,ORL,driving floating,,,Ross,T. Ross,,,,,10.73,Missed,Bembry,1627761.0,,,,,,,,,,,,,,,,,
40,PT09M12.00S,2021-11-20T00:44:08.8Z,1,REGULAR,block,,[],1627761,,,1610612753,4,7,2021-11-20T00:44:11Z,400000,,,0,,D. Bembry BLOCK (2 BLK),[1627761],1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT09M12.00S,2021-11-20T00:44:08.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,4,7,2021-11-20T00:44:26Z,410000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,
42,PT09M12.00S,2021-11-20T00:44:14.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,4,7,2021-11-20T00:44:14Z,420000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT09M08.00S,2021-11-20T00:44:28.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1628964,87.33574244415243,51.225490196078425,1610612753,4,9,2021-11-20T00:44:34Z,430000,6.0,67.0,1,right,M. Bamba 6' turnaround Hook (2 PTS) (W. Carter Jr. 1 AST),"[1628964, 1628976]",1610612753.0,ORL,turnaround,,,Bamba,M. Bamba,,,,,6.68,Made,,,,,,,2.0,W. Carter Jr.,1628976.0,1.0,,,,,,,,,
45,PT09M00.00S,2021-11-20T00:44:37.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628971,9.149145860709593,49.26470588235294,1610612751,6,9,2021-11-20T00:44:54Z,450000,4.0,34.0,1,left,B. Brown cutting DUNK (2 PTS) (P. Mills 1 AST),"[1628971, 201988]",1610612751.0,BKN,cutting,,,Brown,B. Brown,,,,,3.37,Made,,,,,,,2.0,P. Mills,201988.0,1.0,,,,,,,,,
47,PT08M44.00S,2021-11-20T00:44:52.4Z,1,REGULAR,3pt,Jump Shot,[],1628976,82.34231274638634,6.127450980392156,1610612753,6,9,2021-11-20T00:44:56Z,470000,-219.0,113.0,1,right,MISS W. Carter Jr. 24' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,24.7,Missed,,,,,,,,,,,,,,,,,,,
48,PT08M44.00S,2021-11-20T00:44:52.4Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,6,9,2021-11-20T00:44:56Z,480000,,,0,,B. Griffin REBOUND (Off:1 Def:2),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,47.0,3.0,2.0,1.0,,,,,,,,,,,,,
49,PT08M33.00S,2021-11-20T00:45:03.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,6.652431011826544,57.107843137254896,1610612751,6,9,2021-11-20T00:45:09Z,490000,-36.0,10.0,1,left,MISS J. Harden driving Layup - blocked,"[201935, 1628964]",1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,3.69,Missed,Bamba,1628964.0,,,,,,,,,,,,,,,,,
50,PT08M33.00S,2021-11-20T00:45:03.2Z,1,REGULAR,block,,[],1628964,,,1610612751,6,9,2021-11-20T00:45:09Z,500000,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M31.00S,2021-11-20T00:45:05.2Z,1,REGULAR,rebound,defensive,[],203082,,,1610612753,6,9,2021-11-20T00:45:09Z,510000,,,0,,T. Ross REBOUND (Off:0 Def:1),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,
52,PT08M28.00S,2021-11-20T00:45:09.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630175,91.80354796320631,43.872549019607845,1610612753,6,11,2021-11-20T00:45:34Z,520000,-31.0,25.0,1,right,C. Anthony running Layup (2 PTS) (T. Ross 1 AST),"[1630175, 203082]",1610612753.0,ORL,running,,,Anthony,C. Anthony,,,,,3.92,Made,,,,,,,2.0,T. Ross,203082.0,1.0,,,,,,,,,
53,PT08M15.00S,2021-11-20T00:45:21.5Z,1,REGULAR,3pt,Jump Shot,[],201988,32.14520367936925,37.745098039215684,1610612751,6,11,2021-11-20T00:45:28Z,530000,61.0,250.0,1,left,MISS P. Mills 25' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,25.71,Missed,,,,,,,,,,,,,,,,,,,
54,PT08M15.00S,2021-11-20T00:45:21.5Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,6,11,2021-11-20T00:45:28Z,540000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,53.0,3.0,3.0,0.0,,,,,,,,,,,,,
56,PT08M02.00S,2021-11-20T00:45:34.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,92.72339027595268,44.36274509803921,1610612753,6,13,2021-11-20T00:45:54Z,550000,-28.0,16.0,1,right,J. Suggs reverse Layup (9 PTS) (C. Anthony 1 AST),"[1630591, 1630175]",1610612753.0,ORL,reverse,,,Suggs,J. Suggs,,,,,3.24,Made,,,,,,,9.0,C. Anthony,1630175.0,1.0,,,,,,,,,
58,PT07M43.00S,2021-11-20T00:45:52.7Z,1,REGULAR,3pt,Jump Shot,[],201933,29.77989487516426,28.676470588235293,1610612751,6,13,2021-11-20T00:45:57Z,570000,107.0,227.0,1,left,MISS B. Griffin 25' 3PT,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,25.11,Missed,,,,,,,,,,,,,,,,,,,
59,PT07M39.00S,2021-11-20T00:45:56.7Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,6,13,2021-11-20T00:45:57Z,580000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,,
60,PT07M27.00S,2021-11-20T00:46:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,91.80354796320631,52.94117647058824,1610612753,6,13,2021-11-20T00:46:12Z,590000,15.0,25.0,1,right,MISS W. Carter Jr. reverse Layup - blocked,"[1628976, 201933]",1610612753.0,ORL,reverse,,,Carter Jr.,W. Carter Jr.,,,,,2.86,Missed,Griffin,201933.0,,,,,,,,,,,,,,,,,
61,PT07M27.00S,2021-11-20T00:46:08.5Z,1,REGULAR,block,,[],201933,,,1610612753,6,13,2021-11-20T00:46:11Z,600000,,,0,,B. Griffin BLOCK (1 BLK),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M24.00S,2021-11-20T00:46:11.5Z,1,REGULAR,rebound,defensive,[],201935,,,1610612751,6,13,2021-11-20T00:46:12Z,610000,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,60.0,2.0,2.0,0.0,,,,,,,,,,,,,
63,PT07M21.00S,2021-11-20T00:46:15.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201935,8.360709592641262,57.107843137254896,1610612751,6,13,2021-11-20T00:46:34Z,620000,-36.0,26.0,1,left,MISS J. Harden running Layup,[201935],1610612751.0,BKN,running,,,Harden,J. Harden,,,,,4.41,Missed,,,,,,,,,,,,,,,,,,,
64,PT07M21.00S,2021-11-20T00:46:17.2Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612751,6,13,2021-11-20T00:46:17Z,630000,,,0,,B. Brown REBOUND (Off:1 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,63.0,2.0,1.0,1.0,,,,,,,,,,,,,
65,PT07M21.00S,2021-11-20T00:46:19.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance', 'defensivegoaltending']",1628971,8.754927726675426,47.05882352941176,1610612751,8,13,2021-11-20T00:46:41Z,640000,15.0,30.0,1,left,B. Brown putback Layup (4 PTS),[1628971],1610612751.0,BKN,putback,,,Brown,B. Brown,,,,,3.32,Made,,,,,,,4.0,,,,,,,,,,,,
66,PT07M21.00S,2021-11-20T00:46:22.8Z,1,REGULAR,violation,defensive goaltending,[],1628964,,,1610612751,8,13,2021-11-20T00:46:41Z,650000,,,0,,M. Bamba defensive goaltending VIOLATION,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,1201.0,,,,,
67,PT07M10.00S,2021-11-20T00:46:52.7Z,1,REGULAR,foul,personal,[],1627761,,,1610612753,8,13,2021-11-20T00:47:23Z,660000,,,0,,D. Bembry personal FOUL (1 PF),"[1627761, 1628976]",1610612751.0,BKN,,,,Bembry,D. Bembry,,,,,,,,,,,,,,,,,,,,1201.0,1.0,0.0,Carter Jr.,1628976.0,
69,PT07M10.00S,2021-11-20T00:47:14.8Z,1,REGULAR,substitution,out,[],201988,,,1610612753,8,13,2021-11-20T00:47:19Z,680000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT07M10.00S,2021-11-20T00:47:14.8Z,1,REGULAR,substitution,out,[],1630591,,,1610612753,8,13,2021-11-20T00:47:19Z,690000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M10.00S,2021-11-20T00:47:14.8Z,1,REGULAR,substitution,in,[],1628975,,,1610612753,8,13,2021-11-20T00:47:19Z,700000,,,0,,SUB in: J. Carter,[1628975],1610612751.0,BKN,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT07M10.00S,2021-11-20T00:47:14.8Z,1,REGULAR,substitution,in,[],203914,,,1610612753,8,13,2021-11-20T00:47:19Z,710000,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M59.00S,2021-11-20T00:47:33.9Z,1,REGULAR,foul,personal,['2freethrow'],201933,,,1610612753,8,13,2021-11-20T00:47:49Z,720000,,,0,,B. Griffin shooting personal FOUL (1 PF) (Anthony 2 FT),"[201933, 1630175]",1610612751.0,BKN,shooting,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,1201.0,1.0,0.0,Anthony,1630175.0,
75,PT06M59.00S,2021-11-20T00:48:02.2Z,1,REGULAR,freethrow,1 of 2,[],1630175,,,1610612753,8,14,2021-11-20T00:48:02Z,740000,,,0,,C. Anthony Free Throw 1 of 2 (3 PTS),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,
76,PT06M59.00S,2021-11-20T00:48:18.3Z,1,REGULAR,freethrow,2 of 2,[],1630175,,,1610612753,8,15,2021-11-20T00:48:18Z,750000,,,0,,C. Anthony Free Throw 2 of 2 (4 PTS),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,Made,,,,,,,4.0,,,,,,,,,,,,
77,PT06M43.00S,2021-11-20T00:48:37.7Z,1,REGULAR,2pt,Jump Shot,[],201933,20.45006570302234,49.26470588235294,1610612751,8,15,2021-11-20T00:48:42Z,760000,4.0,140.0,1,left,MISS B. Griffin 13' Jump Shot,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,13.97,Missed,,,,,,,,,,,,,,,,,,,
78,PT06M39.00S,2021-11-20T00:48:41.7Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,8,15,2021-11-20T00:48:42Z,770000,,,0,,C. Anthony REBOUND (Off:0 Def:2),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,77.0,2.0,2.0,0.0,,,,,,,,,,,,,
79,PT06M29.00S,2021-11-20T00:48:50.5Z,1,REGULAR,2pt,Jump Shot,[],1630175,89.70105124835742,11.519607843137255,1610612753,8,15,2021-11-20T00:48:54Z,780000,-192.0,44.0,1,right,MISS C. Anthony 19' pullup Shot,[1630175],1610612753.0,ORL,pullup,,,Anthony,C. Anthony,,,,,19.74,Missed,,,,,,,,,,,,,,,,,,,
80,PT06M27.00S,2021-11-20T00:48:52.5Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,8,15,2021-11-20T00:48:54Z,790000,,,0,,B. Griffin REBOUND (Off:1 Def:3),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,79.0,4.0,3.0,1.0,,,,,,,,,,,,,
81,PT06M22.00S,2021-11-20T00:49:01.4Z,1,REGULAR,foul,personal,[],203082,,,1610612751,8,15,2021-11-20T00:49:07Z,800000,,,0,,T. Ross personal FOUL (1 PF),"[203082, 201935]",1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,1201.0,1.0,0.0,Harden,201935.0,
83,PT06M22.00S,2021-11-20T00:49:13.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,8,15,2021-11-20T00:49:13Z,820000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M22.00S,2021-11-20T00:51:29.4Z,1,REGULAR,substitution,out,[],1628976,,,1610612751,8,15,2021-11-20T00:51:55Z,830000,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M22.00S,2021-11-20T00:51:29.4Z,1,REGULAR,substitution,in,[],1629643,,,1610612751,8,15,2021-11-20T00:51:55Z,840000,,,0,,SUB in: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M13.00S,2021-11-20T00:52:22.0Z,1,REGULAR,3pt,Jump Shot,[],1628971,7.178055190538765,95.58823529411765,1610612751,8,15,2021-11-20T00:52:25Z,850000,-228.0,15.0,1,left,MISS B. Brown 3PT,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,22.84,Missed,,,,,,,,,,,,,,,,,,,
